unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,facility_type,taxi_pick_up_location,vehicle_type,taxi_company_borough,due_date
58957863,2023-09-29T15:18:31.000,2023-10-04T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Posted Notice Or Order Removed/Tampered With,,11225,346 CROWN STREET,CROWN STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-10-04T00:00:00.000,09 BROOKLYN,BROOKLYN,998525,181979,UNKNOWN,Unspecified,BROOKLYN,40.66615554000303,-73.94854401660808,"{'latitude': '40.66615554000303', 'longitude': '-73.94854401660808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3012970044,N/A,,,,
59449034,2023-09-29T15:18:31.000,2023-09-29T17:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,10305,1 SUNNYMEADE VILLAGE,SUNNYMEADE VILLAGE,,DEAD END,,DEAD END,ADDRESS,STATEN ISLAND,SUNNYMEADE VILLAGE,Closed,,2023-09-29T17:30:00.000,02 STATEN ISLAND,STATEN ISLAND,965965,154805,PHONE,Unspecified,STATEN ISLAND,40.59156128912942,-74.06583689458903,"{'latitude': '40.59156128912942', 'longitude': '-74.06583689458903', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5031220160,,,,,
58956195,2023-09-29T15:17:59.000,2023-09-30T00:40:10.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11385,1711 MADISON STREET,MADISON STREET,CYPRESS AVENUE,SENECA AVENUE,CYPRESS AVENUE,SENECA AVENUE,ADDRESS,RIDGEWOOD,MADISON STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T00:40:14.000,05 QUEENS,QUEENS,1010005,194705,ONLINE,Unspecified,QUEENS,40.70105953603561,-73.90711433482642,"{'latitude': '40.70105953603561', 'longitude': '-73.90711433482642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4034570057,,,,,
59459386,2023-09-29T15:17:52.000,2023-09-30T00:20:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11236,238 DORSET STREET,DORSET STREET,COVENTRY ROAD,DITMAS AVENUE,COVENTRY ROAD,DITMAS AVENUE,ADDRESS,BROOKLYN,DORSET STREET,Closed,,2023-09-30T00:20:00.000,17 BROOKLYN,BROOKLYN,1006720,174807,PHONE,Unspecified,BROOKLYN,40.6464529740693,-73.91902804763073,"{'latitude': '40.6464529740693', 'longitude': '-73.91902804763073', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58958399,2023-09-29T15:17:37.000,2023-10-20T09:15:50.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10040,12 DONGAN PLACE,DONGAN PLACE,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-20T00:00:00.000,12 MANHATTAN,MANHATTAN,1003748,253838,ONLINE,Unspecified,MANHATTAN,40.86337981659301,-73.92950863878826,"{'latitude': '40.86337981659301', 'longitude': '-73.92950863878826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1021750015,,,,,
58964746,2023-09-29T15:17:36.000,2023-10-10T16:21:37.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,11207,633 WILSON AVENUE,WILSON AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-10T00:00:00.000,04 BROOKLYN,BROOKLYN,1010284,190517,ONLINE,Unspecified,BROOKLYN,40.68956363797669,-73.90612430593131,"{'latitude': '40.68956363797669', 'longitude': '-73.90612430593131', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3034360004,,,,,
59445611,2023-09-29T15:17:35.000,2023-09-29T17:15:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11422,235-44 147 DRIVE,147 DRIVE,235 STREET,BROOKVILLE BOULEVARD,235 STREET,BROOKVILLE BOULEVARD,ADDRESS,ROSEDALE,147 DRIVE,Closed,,2023-09-29T17:15:00.000,13 QUEENS,QUEENS,1054601,178449,PHONE,Unspecified,QUEENS,40.656198514374694,-73.74644872601634,"{'latitude': '40.656198514374694', 'longitude': '-73.74644872601634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4137300054,,,,,
58964715,2023-09-29T15:17:20.000,2023-09-29T20:18:12.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11435,135-09 82 AVENUE,82 AVENUE,,,,,ADDRESS,JAMAICA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,08 QUEENS,QUEENS,1033409,199660,PHONE,Unspecified,QUEENS,40.714560745603485,-73.82267157454251,"{'latitude': '40.714560745603485', 'longitude': '-73.82267157454251', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4096690037,,,,,
58962922,2023-09-29T15:17:15.000,2023-10-05T09:34:47.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11226,11 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-05T00:00:00.000,14 BROOKLYN,BROOKLYN,995771,176889,PHONE,Unspecified,BROOKLYN,40.652188623374094,-73.95847984130177,"{'latitude': '40.652188623374094', 'longitude': '-73.95847984130177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3050830104,,,,,
58956778,2023-09-29T15:17:15.000,2023-10-05T09:34:47.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11226,11 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development was unable to access the rooms where the following  conditions were reported. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,14 BROOKLYN,BROOKLYN,995771,176889,PHONE,Unspecified,BROOKLYN,40.652188623374094,-73.95847984130177,"{'latitude': '40.652188623374094', 'longitude': '-73.95847984130177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3050830104,,,,,
58967505,2023-09-29T15:17:15.000,2023-10-05T09:34:46.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11226,11 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development was unable to access the rooms where the following  conditions were reported. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,14 BROOKLYN,BROOKLYN,995771,176889,PHONE,Unspecified,BROOKLYN,40.652188623374094,-73.95847984130177,"{'latitude': '40.652188623374094', 'longitude': '-73.95847984130177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3050830104,,,,,
58967553,2023-09-29T15:17:15.000,2023-10-05T09:34:46.000,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,11226,11 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,14 BROOKLYN,BROOKLYN,995771,176889,PHONE,Unspecified,BROOKLYN,40.652188623374094,-73.95847984130177,"{'latitude': '40.652188623374094', 'longitude': '-73.95847984130177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3050830104,,,,,
58959881,2023-09-29T15:17:15.000,2023-10-05T09:34:46.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11226,11 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-05T00:00:00.000,14 BROOKLYN,BROOKLYN,995771,176889,PHONE,Unspecified,BROOKLYN,40.652188623374094,-73.95847984130177,"{'latitude': '40.652188623374094', 'longitude': '-73.95847984130177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3050830104,,,,,
58967541,2023-09-29T15:17:15.000,2023-10-05T09:34:45.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11226,11 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-05T00:00:00.000,14 BROOKLYN,BROOKLYN,995771,176889,PHONE,Unspecified,BROOKLYN,40.652188623374094,-73.95847984130177,"{'latitude': '40.652188623374094', 'longitude': '-73.95847984130177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3050830104,,,,,
58956729,2023-09-29T15:17:15.000,2023-10-05T09:34:46.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WINDOW/FRAME,RESIDENTIAL BUILDING,11226,11 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development was unable to access the rooms where the following  conditions were reported. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,14 BROOKLYN,BROOKLYN,995771,176889,PHONE,Unspecified,BROOKLYN,40.652188623374094,-73.95847984130177,"{'latitude': '40.652188623374094', 'longitude': '-73.95847984130177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3050830104,,,,,
58961203,2023-09-29T15:17:15.000,2023-10-05T09:34:46.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11226,11 LINDEN BOULEVARD,LINDEN BOULEVARD,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-05T00:00:00.000,14 BROOKLYN,BROOKLYN,995771,176889,PHONE,Unspecified,BROOKLYN,40.652188623374094,-73.95847984130177,"{'latitude': '40.652188623374094', 'longitude': '-73.95847984130177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3050830104,,,,,
58959646,2023-09-29T15:17:13.000,2023-10-06T09:01:44.000,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11226,2500 BEDFORD AVENUE,BEDFORD AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-06T00:00:00.000,14 BROOKLYN,BROOKLYN,996884,173295,PHONE,Unspecified,BROOKLYN,40.64232235399411,-73.95447546869278,"{'latitude': '40.64232235399411', 'longitude': '-73.95447546869278', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3051890012,,,,,
58965705,2023-09-29T15:17:11.000,2023-09-29T15:51:55.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11232,841 42 STREET,42 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,BROOKLYN,42 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T15:51:57.000,12 BROOKLYN,BROOKLYN,984783,174276,ONLINE,Unspecified,BROOKLYN,40.64502398291158,-73.99807934489694,"{'latitude': '40.64502398291158', 'longitude': '-73.99807934489694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58957299,2023-09-29T15:17:07.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,11201,89 TILLARY STREET,TILLARY STREET,ADAMS STREET,JAY STREET,ADAMS STREET,JAY STREET,ADDRESS,BROOKLYN,TILLARY STREET,In Progress,"The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date.",2023-11-20T11:38:56.000,02 BROOKLYN,BROOKLYN,987740,192904,ONLINE,Unspecified,BROOKLYN,40.696153002471476,-73.98741420868772,"{'latitude': '40.696153002471476', 'longitude': '-73.98741420868772', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3000860011,,"89 TILLARY STREET, BROOKLYN, NY, 11201",,,
58961247,2023-09-29T15:17:05.000,2023-10-04T21:16:17.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10009,129 AVENUE C,AVENUE C,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,03 MANHATTAN,MANHATTAN,990260,203357,ONLINE,Unspecified,MANHATTAN,40.72484265202279,-73.97831714340931,"{'latitude': '40.72484265202279', 'longitude': '-73.97831714340931', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1003910037,,,,,
58960022,2023-09-29T15:17:03.000,2023-10-07T09:13:35.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11429,211-10 99 AVENUE,99 AVENUE,,,,,ADDRESS,QUEENS VILLAGE,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-07T00:00:00.000,13 QUEENS,QUEENS,1054008,199504,PHONE,Unspecified,QUEENS,40.71399412868137,-73.74836795480401,"{'latitude': '40.71399412868137', 'longitude': '-73.74836795480401', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4108790005,,,,,
58964294,2023-09-29T15:17:02.000,2023-10-02T14:37:34.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11373,92-34 54 AVENUE,54 AVENUE,,,,,ADDRESS,ELMHURST,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,04 QUEENS,QUEENS,1020196,208211,PHONE,Unspecified,QUEENS,40.73809468479879,-73.87028830971433,"{'latitude': '40.73809468479879', 'longitude': '-73.87028830971433', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4018700015,,,,,
59443142,2023-09-29T15:17:02.000,2023-09-29T00:00:00.000,HPD,Department of Housing Preservation and Development,Electric,Power Outage,Apartment,11435,135-09 82 AVENUE,82 AVENUE,135 STREET,138 STREET,135 STREET,138 STREET,ADDRESS,JAMAICA,82 AVENUE,Closed,,2023-09-29T00:00:00.000,08 QUEENS,QUEENS,1033409,199660,PHONE,Unspecified,QUEENS,40.714560745603485,-73.82267157454251,"{'latitude': '40.714560745603485', 'longitude': '-73.82267157454251', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4096690037,,,,,
58957062,2023-09-29T15:17:01.000,2023-10-05T21:25:05.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10467,770 EAST  214 STREET,EAST  214 STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-05T00:00:00.000,12 BRONX,BRONX,1022255,259624,PHONE,Unspecified,BRONX,40.87920031901141,-73.86256731634536,"{'latitude': '40.87920031901141', 'longitude': '-73.86256731634536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2046610062,,,,,
58955982,2023-09-29T15:17:00.000,2023-09-29T18:00:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10303,17 CONFEDERATION PLACE,CONFEDERATION PLACE,MAPLE PKWY,UNION AVE,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T18:00:00.000,01 STATEN ISLAND,STATEN ISLAND,940607,168669,PHONE,Unspecified,STATEN ISLAND,40.62952647195717,-74.15723026441131,"{'latitude': '40.62952647195717', 'longitude': '-74.15723026441131', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5012200008,,,,,
58957688,2023-09-29T15:17:00.000,2023-09-30T13:30:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11413,224-27 143 AVENUE,143 AVENUE,224 ST,225 ST,,,ADDRESS,SPRINGFIELD GARDENS,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-30T13:30:00.000,13 QUEENS,QUEENS,1052955,182380,PHONE,Unspecified,QUEENS,40.66700112255689,-73.75234096931676,"{'latitude': '40.66700112255689', 'longitude': '-73.75234096931676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4130720018,,,,,
58963626,2023-09-29T15:17:00.000,2023-09-29T16:45:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11414,102-09 DAVENPORT COURT,DAVENPORT COURT,HAWTREE BASIN PEDESTRIAN BRD,104 ST,,,ADDRESS,HOWARD BEACH,,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-29T16:45:00.000,10 QUEENS,QUEENS,1031874,177470,PHONE,Unspecified,QUEENS,40.653662774759994,-73.82836551327456,"{'latitude': '40.653662774759994', 'longitude': '-73.82836551327456', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4142461134,,,,,
58955981,2023-09-29T15:17:00.000,2023-09-30T05:45:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11692,69-35 ALMEDA AVENUE,ALMEDA AVENUE,BEACH 69 ST,BEACH 72 ST,,,ADDRESS,ARVERNE,,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T05:45:00.000,14 QUEENS,QUEENS,1040082,156786,PHONE,Unspecified,QUEENS,40.59684173686623,-73.79895547877842,"{'latitude': '40.59684173686623', 'longitude': '-73.79895547877842', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4160480012,,,,,
58963627,2023-09-29T15:17:00.000,2023-09-30T10:45:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11413,147-40 228 STREET,228 STREET,147 AVE,148 AVE,,,ADDRESS,SPRINGFIELD GARDENS,,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T10:45:00.000,13 QUEENS,QUEENS,1052419,178986,PHONE,Unspecified,QUEENS,40.65768952251956,-73.75430737820022,"{'latitude': '40.65768952251956', 'longitude': '-73.75430737820022', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4137070024,,,,,
58957582,2023-09-29T15:17:00.000,2023-09-30T12:15:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11691,24-11 BAYSWATER AVENUE,BAYSWATER AVENUE,BAY 24 ST,BAY 25 ST,,,ADDRESS,FAR ROCKAWAY,,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T12:15:00.000,14 QUEENS,QUEENS,1050066,160388,PHONE,Unspecified,QUEENS,40.606659940612936,-73.76296932453687,"{'latitude': '40.606659940612936', 'longitude': '-73.76296932453687', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4157190042,,,,,
