unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,due_date,road_ramp
59435438,2023-09-30T09:45:48.000,2023-09-30T14:15:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11364,67-44 215 STREET,215 STREET,67 AVENUE,69 AVENUE,ADDRESS,OAKLAND GARDENS,Closed,,2023-09-30T14:15:00.000,11 QUEENS,4076260027,QUEENS,1050598,210185,ONLINE,Unspecified,QUEENS,40.74333698585657,-73.76056317894093,"{'latitude': '40.74333698585657', 'longitude': '-73.76056317894093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sewer,67 AVENUE,69 AVENUE,215 STREET,,,,,,,
58970857,2023-09-30T09:45:47.000,2023-09-30T10:04:57.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,11223,2965 86 STREET,86 STREET,LAKE STREET,AVENUE X,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T10:05:00.000,15 BROOKLYN,3071700037,BROOKLYN,991380,154301,ONLINE,Unspecified,BROOKLYN,40.590193902888,-73.97432827952257,"{'latitude': '40.590193902888', 'longitude': '-73.97432827952257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,LAKE STREET,AVENUE X,86 STREET,,,,,,,
58974608,2023-09-30T09:45:45.000,2023-09-30T10:00:31.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11233,631 HANCOCK STREET,HANCOCK STREET,STUYVESANT AVENUE,MALCOLM X BOULEVARD,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T10:00:35.000,03 BROOKLYN,3016560049,BROOKLYN,1003600,188783,ONLINE,Unspecified,BROOKLYN,40.68482134406558,-73.93023103092197,"{'latitude': '40.68482134406558', 'longitude': '-73.93023103092197', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,STUYVESANT AVENUE,MALCOLM X BOULEVARD,HANCOCK STREET,,,,,,,
59448555,2023-09-30T09:45:32.000,2023-10-12T00:00:00.000,HPD,Department of Housing Preservation and Development,Plumbing,Basin/Sink,11204,1953 70 STREET,70 STREET,19 AVENUE,20 AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-12T00:00:00.000,11 BROOKLYN,3061620049,BROOKLYN,987066,163092,PHONE,Unspecified,BROOKLYN,40.61432583130282,-73.98985726539595,"{'latitude': '40.61432583130282', 'longitude': '-73.98985726539595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,19 AVENUE,20 AVENUE,70 STREET,,,,,,,
59459425,2023-09-30T09:45:27.000,2023-10-01T03:40:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11422,235-21 148 ROAD,148 ROAD,DEAD END,BROOKVILLE BOULEVARD,ADDRESS,ROSEDALE,Closed,,2023-10-01T03:40:00.000,13 QUEENS,4137320019,QUEENS,1054404,177995,PHONE,Unspecified,QUEENS,40.65495395185656,-73.74716345042587,"{'latitude': '40.65495395185656', 'longitude': '-73.74716345042587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sewer,DEAD END,BROOKVILLE BOULEVARD,148 ROAD,,,,,,,
59442014,2023-09-30T09:45:08.000,2023-09-30T19:00:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11230,1161 EAST    4 STREET,EAST    4 STREET,BAY PARKWAY,DEAD END,ADDRESS,BROOKLYN,Closed,,2023-09-30T19:00:00.000,12 BROOKLYN,3054950820,BROOKLYN,991874,166152,ONLINE,Unspecified,BROOKLYN,40.622722062634644,-73.97253624390011,"{'latitude': '40.622722062634644', 'longitude': '-73.97253624390011', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sewer,BAY PARKWAY,DEAD END,EAST    4 STREET,,,,,,,
58972693,2023-09-30T09:45:03.000,2023-10-12T12:02:36.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,11204,1953 70 STREET,70 STREET,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-12T00:00:00.000,11 BROOKLYN,3061620049,BROOKLYN,987066,163092,PHONE,Unspecified,BROOKLYN,40.61432583130282,-73.98985726539595,"{'latitude': '40.61432583130282', 'longitude': '-73.98985726539595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58975860,2023-09-30T09:45:00.000,2023-09-30T10:50:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,10464,,,,,INTERSECTION,BRONX,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-30T10:50:00.000,10 BRONX,,BRONX,1043059,248914,UNKNOWN,Unspecified,BRONX,40.849690593698234,-73.7874306634545,"{'latitude': '40.849690593698234', 'longitude': '-73.7874306634545', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,CITY ISLAND AVENUE,DITMARS STREET,,N/A,,,,,,
58971564,2023-09-30T09:44:45.000,2023-10-05T19:55:36.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,10030,133 WEST  137 STREET,WEST  137 STREET,,,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development was unable to access the rooms where the following  conditions were reported. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,10 MANHATTAN,1020060011,MANHATTAN,1000585,236525,PHONE,Unspecified,MANHATTAN,40.815867100801576,-73.94098603606946,"{'latitude': '40.815867100801576', 'longitude': '-73.94098603606946', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
59446700,2023-09-30T09:44:40.000,2023-10-07T00:00:00.000,HPD,Department of Housing Preservation and Development,Flooring/Stairs,Floor,11208,659 ESSEX STREET,ESSEX STREET,NEW LOTS AVENUE,HEGEMAN AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-07T00:00:00.000,05 BROOKLYN,3043160001,BROOKLYN,1017599,182362,ONLINE,Unspecified,BROOKLYN,40.66715548923243,-73.87978761781635,"{'latitude': '40.66715548923243', 'longitude': '-73.87978761781635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,NEW LOTS AVENUE,HEGEMAN AVENUE,ESSEX STREET,,,,,,,
59445059,2023-09-30T09:44:39.000,2023-10-07T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Ceiling,11208,659 ESSEX STREET,ESSEX STREET,NEW LOTS AVENUE,HEGEMAN AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-07T00:00:00.000,05 BROOKLYN,3043160001,BROOKLYN,1017599,182362,ONLINE,Unspecified,BROOKLYN,40.66715548923243,-73.87978761781635,"{'latitude': '40.66715548923243', 'longitude': '-73.87978761781635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,NEW LOTS AVENUE,HEGEMAN AVENUE,ESSEX STREET,,,,,,,
59455365,2023-09-30T09:44:38.000,2023-10-07T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Ceiling,11208,659 ESSEX STREET,ESSEX STREET,NEW LOTS AVENUE,HEGEMAN AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-07T00:00:00.000,05 BROOKLYN,3043160001,BROOKLYN,1017599,182362,ONLINE,Unspecified,BROOKLYN,40.66715548923243,-73.87978761781635,"{'latitude': '40.66715548923243', 'longitude': '-73.87978761781635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,NEW LOTS AVENUE,HEGEMAN AVENUE,ESSEX STREET,,,,,,,
59452015,2023-09-30T09:44:37.000,2023-10-30T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Cabinet,11208,659 ESSEX STREET,ESSEX STREET,NEW LOTS AVENUE,HEGEMAN AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-30T00:00:00.000,05 BROOKLYN,3043160001,BROOKLYN,1017599,182362,ONLINE,Unspecified,BROOKLYN,40.66715548923243,-73.87978761781635,"{'latitude': '40.66715548923243', 'longitude': '-73.87978761781635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,NEW LOTS AVENUE,HEGEMAN AVENUE,ESSEX STREET,,,,,,,
58977875,2023-09-30T09:44:37.000,2023-10-17T09:47:51.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,10013,356 BROOME STREET,BROOME STREET,ELIZABETH STREET,MOTT STREET,ADDRESS,NEW YORK,Closed,The Department of Sanitation cleaned the location.,2023-10-02T10:33:53.000,02 MANHATTAN,1004790034,MANHATTAN,985543,201558,ONLINE,Unspecified,MANHATTAN,40.7199067790767,-73.99533546472907,"{'latitude': '40.7199067790767', 'longitude': '-73.99533546472907', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,ELIZABETH STREET,MOTT STREET,BROOME STREET,,,,,,,
58973102,2023-09-30T09:44:36.000,2023-09-30T11:02:05.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,11435,91-08 SUTPHIN BOULEVARD,SUTPHIN BOULEVARD,91 AVENUE,ARCHER AVENUE,ADDRESS,JAMAICA,Closed,N/A,2023-09-30T11:02:07.000,12 QUEENS,4099880035,QUEENS,1037525,194751,ONLINE,Unspecified,QUEENS,40.70106290624611,-73.80786305172354,"{'latitude': '40.70106290624611', 'longitude': '-73.80786305172354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,91 AVENUE,ARCHER AVENUE,SUTPHIN BOULEVARD,,,,,,,
59439042,2023-09-30T09:44:36.000,2023-10-07T00:00:00.000,HPD,Department of Housing Preservation and Development,Unsanitary Condition,Mold,11208,659 ESSEX STREET,ESSEX STREET,NEW LOTS AVENUE,HEGEMAN AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-07T00:00:00.000,05 BROOKLYN,3043160001,BROOKLYN,1017599,182362,ONLINE,Unspecified,BROOKLYN,40.66715548923243,-73.87978761781635,"{'latitude': '40.66715548923243', 'longitude': '-73.87978761781635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,NEW LOTS AVENUE,HEGEMAN AVENUE,ESSEX STREET,,,,,,,
59446741,2023-09-30T09:44:35.000,2023-10-07T00:00:00.000,HPD,Department of Housing Preservation and Development,Flooring/Stairs,Floor,11208,659 ESSEX STREET,ESSEX STREET,NEW LOTS AVENUE,HEGEMAN AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-07T00:00:00.000,05 BROOKLYN,3043160001,BROOKLYN,1017599,182362,ONLINE,Unspecified,BROOKLYN,40.66715548923243,-73.87978761781635,"{'latitude': '40.66715548923243', 'longitude': '-73.87978761781635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,NEW LOTS AVENUE,HEGEMAN AVENUE,ESSEX STREET,,,,,,,
58975665,2023-09-30T09:44:34.000,2023-09-30T10:20:34.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,10040,344 CABRINI BOULEVARD,CABRINI BOULEVARD,WEST  187 STREET,WEST  190 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T10:20:38.000,12 MANHATTAN,1021790436,MANHATTAN,1001638,251387,MOBILE,Unspecified,MANHATTAN,40.856656968570455,-73.93714330361365,"{'latitude': '40.856656968570455', 'longitude': '-73.93714330361365', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,WEST  187 STREET,WEST  190 STREET,CABRINI BOULEVARD,,,,,,,
58976200,2023-09-30T09:44:32.000,2023-10-12T12:02:36.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,11204,1953 70 STREET,70 STREET,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-12T00:00:00.000,11 BROOKLYN,3061620049,BROOKLYN,987066,163092,PHONE,Unspecified,BROOKLYN,40.61432583130282,-73.98985726539595,"{'latitude': '40.61432583130282', 'longitude': '-73.98985726539595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
58971877,2023-09-30T09:44:28.000,2023-10-02T15:42:02.000,DSNY,Department of Sanitation,Missed Collection,Trash,11372,70-06 ROOSEVELT AVENUE,ROOSEVELT AVENUE,70 STREET,BQE WESTBOUND ENTRANCE   37 AVE,ADDRESS,JACKSON HEIGHTS,Closed,The Department of Sanitation collected the requested items.,2023-09-30T12:24:17.000,02 QUEENS,4013020026,QUEENS,1013297,211244,ONLINE,Unspecified,QUEENS,40.74644485687123,-73.89517033236221,"{'latitude': '40.74644485687123', 'longitude': '-73.89517033236221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,70 STREET,BQE WESTBOUND ENTRANCE   37 AVE,ROOSEVELT AVENUE,,,,,,,
58972643,2023-09-30T09:44:22.000,2023-10-01T17:01:16.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,11205,108 FLUSHING AVENUE,FLUSHING AVENUE,,,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-10-01T00:00:00.000,02 BROOKLYN,3020310033,BROOKLYN,991772,193547,MOBILE,Unspecified,BROOKLYN,40.69791537923075,-73.9728731157618,"{'latitude': '40.69791537923075', 'longitude': '-73.9728731157618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
59459623,2023-09-30T09:44:16.000,2023-09-30T17:35:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,11211,610 UNION AVENUE,UNION AVENUE,NORTH   11 STREET,BAYARD STREET,ADDRESS,BROOKLYN,Closed,,2023-09-30T17:35:00.000,01 BROOKLYN,3027217501,BROOKLYN,997452,201105,ONLINE,Unspecified,BROOKLYN,40.71865364691215,-73.95237429249629,"{'latitude': '40.71865364691215', 'longitude': '-73.95237429249629', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,NORTH   11 STREET,BAYARD STREET,UNION AVENUE,,,,,,,
58974405,2023-09-30T09:44:00.000,2023-10-02T11:15:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),11373,,,,,INTERSECTION,QUEENS,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-10-02T11:15:00.000,04 QUEENS,,QUEENS,1016451,206553,PHONE,Unspecified,QUEENS,40.73355831616067,-73.88381011846845,"{'latitude': '40.73355831616067', 'longitude': '-73.88381011846845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,GRAND AVENUE,84 STREET,,,,,,,,
59441815,2023-09-30T09:43:37.000,2023-10-12T00:00:00.000,HPD,Department of Housing Preservation and Development,Plumbing,Toilet,11204,1953 70 STREET,70 STREET,19 AVENUE,20 AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-12T00:00:00.000,11 BROOKLYN,3061620049,BROOKLYN,987066,163092,PHONE,Unspecified,BROOKLYN,40.61432583130282,-73.98985726539595,"{'latitude': '40.61432583130282', 'longitude': '-73.98985726539595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,19 AVENUE,20 AVENUE,70 STREET,,,,,,,
58973735,2023-09-30T09:43:35.000,2023-09-30T09:48:59.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),10019,306 WEST   54 STREET,WEST   54 STREET,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T09:49:05.000,04 MANHATTAN,1010440038,MANHATTAN,988451,217993,ONLINE,Unspecified,MANHATTAN,40.76501585078629,-73.98483450522959,"{'latitude': '40.76501585078629', 'longitude': '-73.98483450522959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,8 AVENUE,9 AVENUE,WEST   54 STREET,,,,,,,
58973396,2023-09-30T09:43:30.000,2023-09-30T10:05:52.000,NYPD,New York City Police Department,Blocked Driveway,No Access,10460,1810 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,CROTONA PARK EAST,EAST  175 STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T10:05:55.000,03 BRONX,2029840010,BRONX,1015569,244936,ONLINE,Unspecified,BRONX,40.83891246204302,-73.88681365450411,"{'latitude': '40.83891246204302', 'longitude': '-73.88681365450411', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,CROTONA PARK EAST,EAST  175 STREET,SOUTHERN BOULEVARD,,,,,,,
59440089,2023-09-30T09:42:55.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,11205,2 ADELPHI STREET,ADELPHI STREET,FLUSHING AVENUE,PARK AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-01T00:00:00.000,02 BROOKLYN,3020310033,BROOKLYN,991804,193455,MOBILE,Unspecified,BROOKLYN,40.6976628334117,-73.97275781609402,"{'latitude': '40.6976628334117', 'longitude': '-73.97275781609402', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Building-Wide,FLUSHING AVENUE,PARK AVENUE,ADELPHI STREET,,,,,,,
59442127,2023-09-30T09:42:32.000,2023-10-02T11:15:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Sunken,11373,84 STREET,84 STREET,84 STREET,GRAND AVENUE,INTERSECTION,,Closed,,2023-10-02T11:15:00.000,04 QUEENS,,QUEENS,1016451,206553,PHONE,Unspecified,QUEENS,40.73355831616067,-73.88381011846845,"{'latitude': '40.73355831616067', 'longitude': '-73.88381011846845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sewer,84 STREET,GRAND AVENUE,,,,,,,,
58970891,2023-09-30T09:42:31.000,2023-09-30T09:58:31.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11201,28 OLD FULTON STREET,OLD FULTON STREET,ELIZABETH PLACE,FRONT STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T09:58:35.000,02 BROOKLYN,3002020001,BROOKLYN,985984,195260,MOBILE,Unspecified,BROOKLYN,40.70262019071403,-73.99374616641713,"{'latitude': '40.70262019071403', 'longitude': '-73.99374616641713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,ELIZABETH PLACE,FRONT STREET,CADMAN PLAZA WEST,,,,,,,
58968906,2023-09-30T09:42:25.000,2023-10-04T22:41:37.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,11238,29 GREENE AVENUE,GREENE AVENUE,,,ADDRESS,BROOKLYN,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-10-04T00:00:00.000,02 BROOKLYN,3021190001,BROOKLYN,992025,189210,PHONE,Unspecified,BROOKLYN,40.68601109747347,-73.97196571756696,"{'latitude': '40.68601109747347', 'longitude': '-73.97196571756696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,
