unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58944715,2023-09-27T14:03:33.000,2023-09-27T15:12:54.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11205,46 CLINTON AVENUE,CLINTON AVENUE,FLUSHING AVENUE,PARK AVENUE,FLUSHING AVENUE,PARK AVENUE,ADDRESS,BROOKLYN,CLINTON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T15:12:58.000,02 BROOKLYN,BROOKLYN,992712,193025,MOBILE,Unspecified,BROOKLYN,40.696481761864355,-73.96948381288429,"{'latitude': '40.696481761864355', 'longitude': '-73.96948381288429', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3018720052,,,,,,,
58938501,2023-09-27T14:03:23.000,2023-09-27T14:20:57.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11373,42-18 79 STREET,79 STREET,WOODSIDE AVENUE,45 AVENUE,WOODSIDE AVENUE,45 AVENUE,ADDRESS,ELMHURST,79 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T14:20:52.000,04 QUEENS,QUEENS,1015800,210133,ONLINE,Unspecified,QUEENS,40.74338686671358,-73.88614230902934,"{'latitude': '40.74338686671358', 'longitude': '-73.88614230902934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58940346,2023-09-27T14:03:16.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11206,618 BUSHWICK AVENUE,BUSHWICK AVENUE,JEFFERSON STREET,STANWIX STREET,JEFFERSON STREET,STANWIX STREET,ADDRESS,BROOKLYN,BUSHWICK AVENUE,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 28 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-30T10:17:01.000,04 BROOKLYN,BROOKLYN,1002579,193659,PHONE,Unspecified,BROOKLYN,40.69820700842793,-73.93389911255557,"{'latitude': '40.69820700842793', 'longitude': '-73.93389911255557', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58944305,2023-09-27T14:03:00.000,2023-09-29T12:01:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10306,103 TITUS AVENUE,TITUS AVENUE,NEW DORP LANE,INA STREET,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Sanitation collected the E-waste.,2023-09-29T12:01:00.000,02 STATEN ISLAND,STATEN ISLAND,954424,145570,PHONE,Unspecified,STATEN ISLAND,40.56618173162824,-74.10735058762656,"{'latitude': '40.56618173162824', 'longitude': '-74.10735058762656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5040310051,,,,,,,
58940898,2023-09-27T14:02:30.000,2023-09-27T15:06:28.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11205,215 PARK AVENUE,PARK AVENUE,VANDERBILT AVENUE,CLINTON AVENUE,VANDERBILT AVENUE,CLINTON AVENUE,ADDRESS,BROOKLYN,PARK AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T15:06:27.000,02 BROOKLYN,BROOKLYN,992493,192893,MOBILE,Unspecified,BROOKLYN,40.69611965925513,-73.97027374569127,"{'latitude': '40.69611965925513', 'longitude': '-73.97027374569127', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58938249,2023-09-27T14:02:00.000,2023-09-27T14:07:00.000,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),,11433,166-14 DOUGLAS AVENUE,DOUGLAS AVENUE,MERRICK BLVD,BEND,,,ADDRESS,JAMAICA,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-27T14:07:00.000,12 QUEENS,QUEENS,1042006,195595,PHONE,Unspecified,QUEENS,40.70335136986349,-73.79169508987691,"{'latitude': '40.70335136986349', 'longitude': '-73.79169508987691', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4101570156,,,,,,,
58938239,2023-09-27T14:02:00.000,2023-09-27T15:56:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11418,107-21 JAMAICA AVENUE,JAMAICA AVENUE,107 ST,108 ST,,,ADDRESS,RICHMOND HILL,,Closed,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-27T15:56:00.000,09 QUEENS,QUEENS,1028689,192714,PHONE,Unspecified,QUEENS,40.69552061020688,-73.83974355725519,"{'latitude': '40.69552061020688', 'longitude': '-73.83974355725519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4092030040,,,,,,,
58938085,2023-09-27T14:01:51.000,2023-09-27T15:03:07.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,10019,1657 BROADWAY,BROADWAY,WEST   51 STREET,WEST   52 STREET,WEST   51 STREET,WEST   52 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,N/A,2023-09-27T15:03:10.000,05 MANHATTAN,MANHATTAN,988830,217016,ONLINE,Unspecified,MANHATTAN,40.76233404946789,-73.98346699132787,"{'latitude': '40.76233404946789', 'longitude': '-73.98346699132787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58938066,2023-09-27T14:01:21.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,10032,47 FORT WASHINGTON AVENUE,FORT WASHINGTON AVENUE,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T00:00:00.000,12 MANHATTAN,MANHATTAN,999623,244126,UNKNOWN,Unspecified,MANHATTAN,40.83673140320787,-73.94444406659096,"{'latitude': '40.83673140320787', 'longitude': '-73.94444406659096', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1021360086,,,,,,,
58936550,2023-09-27T14:01:11.000,,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,1-2 Family Dwelling,11214,78 BAY   50 STREET,BAY   50 STREET,WEST   16 STREET,PRIVATE CATANZARO SQUARE,WEST   16 STREET,PRIVATE CATANZARO SQUARE,ADDRESS,BROOKLYN,BAY   50 STREET,In Progress,,,13 BROOKLYN,BROOKLYN,988282,153121,MOBILE,Unspecified,BROOKLYN,40.58695698911883,-73.9854833998751,"{'latitude': '40.58695698911883', 'longitude': '-73.9854833998751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58945691,2023-09-27T14:01:05.000,2023-10-24T11:52:08.000,DOT,Department of Transportation,Outdoor Dining,Site Setup Condition,Sidewalk,10014,15 GREENWICH AVENUE,GREENWICH AVENUE,CHRISTOPHER STREET,WEST   10 STREET,CHRISTOPHER STREET,WEST   10 STREET,ADDRESS,NEW YORK,GREENWICH AVENUE,Closed,The Department of Transportation has removed the items.,2023-10-24T11:52:11.000,02 MANHATTAN,MANHATTAN,984295,206841,PHONE,Unspecified,MANHATTAN,40.73440742178346,-73.99983762585748,"{'latitude': '40.73440742178346', 'longitude': '-73.99983762585748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58943006,2023-09-27T14:01:04.000,2023-10-04T15:07:59.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10472,1142 ELDER AVENUE,ELDER AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,WATSON AVENUE,WESTCHESTER AVENUE,ADDRESS,BRONX,ELDER AVENUE,Closed,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-10-04T15:08:04.000,09 BRONX,BRONX,1017783,240664,PHONE,Unspecified,BRONX,40.827178933710755,-73.87883366062056,"{'latitude': '40.827178933710755', 'longitude': '-73.87883366062056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58940577,2023-09-27T14:00:59.000,2023-10-03T09:57:15.000,DOT,Department of Transportation,Outdoor Dining,Site Setup Condition,Street,10014,19 GREENWICH AVENUE,GREENWICH AVENUE,CHRISTOPHER STREET,WEST   10 STREET,CHRISTOPHER STREET,WEST   10 STREET,ADDRESS,NEW YORK,GREENWICH AVENUE,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer.""",2023-10-03T09:57:19.000,02 MANHATTAN,MANHATTAN,984277,206886,PHONE,Unspecified,MANHATTAN,40.734530935772995,-73.9999025753339,"{'latitude': '40.734530935772995', 'longitude': '-73.9999025753339', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1006100054,,,,,,,
58941435,2023-09-27T14:00:46.000,2023-10-06T14:09:08.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11212,94 NEW LOTS AVENUE,NEW LOTS AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,16 BROOKLYN,BROOKLYN,1011509,179008,PHONE,Unspecified,BROOKLYN,40.65797035144723,-73.90175364176919,"{'latitude': '40.65797035144723', 'longitude': '-73.90175364176919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",0000000000,,,,,,,
58936365,2023-09-27T14:00:45.000,2023-09-29T17:15:02.000,HPD,Department of Housing Preservation and Development,OUTSIDE BUILDING,PORCH/BALCONY,RESIDENTIAL BUILDING,11208,858 ELTON STREET,ELTON STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-29T00:00:00.000,05 BROOKLYN,BROOKLYN,1018002,180597,PHONE,Unspecified,BROOKLYN,40.66230943316283,-73.87834377071607,"{'latitude': '40.66230943316283', 'longitude': '-73.87834377071607', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3043600129,,,,,,,
58936167,2023-09-27T14:00:45.000,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11208,858 ELTON STREET,ELTON STREET,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-27T00:00:00.000,05 BROOKLYN,BROOKLYN,1018002,180597,PHONE,Unspecified,BROOKLYN,40.66230943316283,-73.87834377071607,"{'latitude': '40.66230943316283', 'longitude': '-73.87834377071607', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3043600129,,,,,,,
58937451,2023-09-27T14:00:45.000,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW PANE,RESIDENTIAL BUILDING,11208,858 ELTON STREET,ELTON STREET,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-27T00:00:00.000,05 BROOKLYN,BROOKLYN,1018002,180597,PHONE,Unspecified,BROOKLYN,40.66230943316283,-73.87834377071607,"{'latitude': '40.66230943316283', 'longitude': '-73.87834377071607', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3043600129,,,,,,,
58940579,2023-09-27T14:00:40.000,2023-10-24T11:44:26.000,DOT,Department of Transportation,Outdoor Dining,Site Setup Condition,Sidewalk,10011,44 GREENWICH AVENUE,GREENWICH AVENUE,CHARLES STREET,PERRY STREET,CHARLES STREET,PERRY STREET,ADDRESS,NEW YORK,GREENWICH AVENUE,Closed,The Department of Transportation has removed the items.,2023-10-24T11:44:28.000,02 MANHATTAN,MANHATTAN,984113,207261,PHONE,Unspecified,MANHATTAN,40.73556021730663,-74.00049434760865,"{'latitude': '40.73556021730663', 'longitude': '-74.00049434760865', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1006060017,,,,,,,
58936631,2023-09-27T14:00:36.000,2023-10-04T15:21:35.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11238,183 PARK PLACE,PARK PLACE,CARLTON AVENUE,VANDERBILT AVENUE,CARLTON AVENUE,VANDERBILT AVENUE,ADDRESS,BROOKLYN,PARK PLACE,Closed,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-10-04T15:21:40.000,08 BROOKLYN,BROOKLYN,992171,186024,ONLINE,Unspecified,BROOKLYN,40.67726612281788,-73.97144303110308,"{'latitude': '40.67726612281788', 'longitude': '-73.97144303110308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58936615,2023-09-27T14:00:22.000,,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,11103,45-02 30 ROAD,30 ROAD,45 STREET,46 STREET,45 STREET,46 STREET,ADDRESS,ASTORIA,30 ROAD,In Progress,An inspection is currently in progress to determine whether the reported condition requires further action.,2023-10-02T10:50:02.000,01 QUEENS,QUEENS,1008797,216650,ONLINE,Unspecified,QUEENS,40.76129658312256,-73.91139093683525,"{'latitude': '40.76129658312256', 'longitude': '-73.91139093683525', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4007140052,,,,,,,
58943027,2023-09-27T14:00:21.000,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Non Passenger,,10011,262 WEST   15 STREET,WEST   15 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,NEW YORK,WEST   15 STREET,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-10-19T14:36:38.000,04 MANHATTAN,MANHATTAN,984009,208859,MOBILE,Unspecified,MANHATTAN,40.739946329482535,-74.00086967603342,"{'latitude': '40.739946329482535', 'longitude': '-74.00086967603342', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,"262 WEST   15 STREET, MANHATTAN (NEW YORK), NY, 10011",,,,,
58942886,2023-09-27T14:00:02.000,2023-11-01T11:53:18.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11104,47-17 39 AVENUE,39 AVENUE,47 STREET,48 STREET,47 STREET,48 STREET,ADDRESS,SUNNYSIDE,39 AVENUE,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-11-01T11:53:25.000,02 QUEENS,QUEENS,1007561,212235,PHONE,Unspecified,QUEENS,40.74918188218389,-73.9158679184002,"{'latitude': '40.74918188218389', 'longitude': '-73.9158679184002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58943467,2023-09-27T13:59:56.000,2023-09-27T14:26:52.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11231,VAN DYKE STREET,VAN DYKE STREET,VANBRUNT STREET,CONOVER STREET,VANBRUNT STREET,CONOVER STREET,BLOCKFACE,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T14:26:57.000,Unspecified BROOKLYN,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,,
