unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location
58918109,2023-09-26T00:05:22.000,2023-09-26T00:32:33.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11359,DUANE ROAD,DUANE ROAD,DUANE ROAD,TOTTEN AVENUE,DUANE ROAD,TOTTEN AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T00:32:37.000,07 QUEENS,,QUEENS,1044914,227707,ONLINE,Unspecified,QUEENS,40.79147099780345,-73.78091737434981,"{'latitude': '40.79147099780345', 'longitude': '-73.78091737434981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58924233,2023-09-26T00:05:05.000,2023-09-26T02:47:29.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10472,1403 ROSEDALE AVENUE,ROSEDALE AVENUE,EAST  174 STREET,EAST  177 STREET,EAST  174 STREET,EAST  177 STREET,ADDRESS,BRONX,ROSEDALE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T02:47:32.000,09 BRONX,2038940001,BRONX,1020233,243494,ONLINE,Unspecified,BRONX,40.834936821655944,-73.86996579520905,"{'latitude': '40.834936821655944', 'longitude': '-73.86996579520905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58933198,2023-09-26T00:05:00.000,2023-09-26T18:28:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10005,67 WALL STREET,WALL STREET,HANOVER ST,PEARL ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-26T18:28:00.000,01 MANHATTAN,1000270017,MANHATTAN,981866,196281,ONLINE,Unspecified,MANHATTAN,40.70542244442376,-74.0085984809701,"{'latitude': '40.70542244442376', 'longitude': '-74.0085984809701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,
58925591,2023-09-26T00:05:00.000,2023-09-26T18:28:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10005,,,,,MAIDEN LANE,PEARL STREET,INTERSECTION,MANHATTAN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-26T18:28:00.000,01 MANHATTAN,,MANHATTAN,982370,196755,ONLINE,Unspecified,MANHATTAN,40.70672358407472,-74.00678081364836,"{'latitude': '40.70672358407472', 'longitude': '-74.00678081364836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,
58925590,2023-09-26T00:05:00.000,2023-09-26T18:28:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10005,,,,,BEAVER STREET,PEARL STREET,INTERSECTION,MANHATTAN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-26T18:28:00.000,01 MANHATTAN,,MANHATTAN,982030,196290,ONLINE,Unspecified,MANHATTAN,40.70544718996902,-74.0080069776994,"{'latitude': '40.70544718996902', 'longitude': '-74.0080069776994', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,
58924567,2023-09-26T00:04:55.000,2023-09-26T00:33:11.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11225,200 STERLING STREET,STERLING STREET,BEDFORD AVENUE,ROGERS AVENUE,BEDFORD AVENUE,ROGERS AVENUE,ADDRESS,BROOKLYN,STERLING STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T00:33:16.000,09 BROOKLYN,3013190040,BROOKLYN,996806,180784,ONLINE,Unspecified,BROOKLYN,40.66287813508452,-73.9547425866676,"{'latitude': '40.66287813508452', 'longitude': '-73.9547425866676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58917941,2023-09-26T00:04:42.000,2023-09-26T01:52:19.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11367,153-45 76 ROAD,76 ROAD,153 STREET,PARSONS BOULEVARD,153 STREET,PARSONS BOULEVARD,ADDRESS,FLUSHING,76 ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T01:52:23.000,08 QUEENS,4068100060,QUEENS,1036523,203230,PHONE,Unspecified,QUEENS,40.72434166307841,-73.81141093077616,"{'latitude': '40.72434166307841', 'longitude': '-73.81141093077616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58920188,2023-09-26T00:04:39.000,2023-09-26T00:21:04.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11230,1123 AVENUE K,AVENUE K,CONEY ISLAND AVENUE,EAST   12 STREET,CONEY ISLAND AVENUE,EAST   12 STREET,ADDRESS,BROOKLYN,AVENUE K,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T00:21:09.000,14 BROOKLYN,3067130041,BROOKLYN,994129,166041,PHONE,Unspecified,BROOKLYN,40.62241516331073,-73.96441327360724,"{'latitude': '40.62241516331073', 'longitude': '-73.96441327360724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58917942,2023-09-26T00:04:12.000,2023-09-26T00:38:08.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10462,1711 MATTHEWS AVENUE,MATTHEWS AVENUE,VAN NEST AVENUE,KINSELLA STREET,VAN NEST AVENUE,KINSELLA STREET,ADDRESS,BRONX,MATTHEWS AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T00:38:11.000,11 BRONX,,BRONX,1022620,247171,PHONE,Unspecified,BRONX,40.845019055332166,-73.86131870869912,"{'latitude': '40.845019055332166', 'longitude': '-73.86131870869912', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58924541,2023-09-26T00:03:44.000,2023-09-26T01:01:49.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11368,104-36 37 DRIVE,37 DRIVE,104 STREET,107 STREET,104 STREET,107 STREET,ADDRESS,CORONA,37 DRIVE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T01:01:53.000,03 QUEENS,4017740010,QUEENS,1022315,213397,MOBILE,Unspecified,QUEENS,40.75232007225624,-73.86261252738953,"{'latitude': '40.75232007225624', 'longitude': '-73.86261252738953', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58924765,2023-09-26T00:03:43.000,2023-09-26T00:17:35.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10458,2330 ARTHUR AVENUE,ARTHUR AVENUE,CRESCENT AVENUE,EAST  186 STREET,CRESCENT AVENUE,EAST  186 STREET,ADDRESS,BRONX,ARTHUR AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T00:17:39.000,06 BRONX,2030730008,BRONX,1014993,250442,MOBILE,Unspecified,BRONX,40.85402682399926,-73.88887006240707,"{'latitude': '40.85402682399926', 'longitude': '-73.88887006240707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58923684,2023-09-26T00:03:34.000,2023-09-26T00:20:23.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11434,160-30 118 ROAD,118 ROAD,LAKEVIEW BOULEVARD EAST,LONG STREET,LAKEVIEW BOULEVARD EAST,LONG STREET,ADDRESS,JAMAICA,118 ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T00:20:26.000,12 QUEENS,,QUEENS,1044029,187923,ONLINE,Unspecified,QUEENS,40.68228013183389,-73.78446697495859,"{'latitude': '40.68228013183389', 'longitude': '-73.78446697495859', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58923441,2023-09-26T00:03:34.000,2023-09-26T01:35:19.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11373,43-17 FORLEY STREET,FORLEY STREET,LAMONT AVENUE,43 AVENUE,LAMONT AVENUE,43 AVENUE,ADDRESS,ELMHURST,FORLEY STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T01:35:23.000,04 QUEENS,4015760056,QUEENS,1019328,210505,ONLINE,Unspecified,QUEENS,40.744394622500586,-73.8734085336844,"{'latitude': '40.744394622500586', 'longitude': '-73.8734085336844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58924646,2023-09-26T00:03:30.000,2023-09-26T01:18:20.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,33-29 111 STREET,111 STREET,NORTHERN BOULEVARD,34 AVENUE,NORTHERN BOULEVARD,34 AVENUE,ADDRESS,CORONA,111 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T01:18:24.000,03 QUEENS,4017260040,QUEENS,1023497,215286,PHONE,Unspecified,QUEENS,40.75749972282789,-73.85833533247792,"{'latitude': '40.75749972282789', 'longitude': '-73.85833533247792', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58920757,2023-09-26T00:02:56.000,2023-09-26T03:22:26.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11372,70-02 34 AVENUE,34 AVENUE,70 STREET,71 STREET,70 STREET,71 STREET,ADDRESS,JACKSON HEIGHTS,34 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T03:22:30.000,03 QUEENS,4012570001,QUEENS,1013054,213475,MOBILE,Unspecified,QUEENS,40.7525691799069,-73.89603775473165,"{'latitude': '40.7525691799069', 'longitude': '-73.89603775473165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58916938,2023-09-26T00:02:52.000,2023-09-26T00:42:42.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10301,42 REVERE STREET,REVERE STREET,HART BOULEVARD,LAKEWOOD ROAD,HART BOULEVARD,LAKEWOOD ROAD,ADDRESS,STATEN ISLAND,REVERE STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T00:42:46.000,01 STATEN ISLAND,5002390001,STATEN ISLAND,956426,168279,ONLINE,Unspecified,STATEN ISLAND,40.628519815740724,-74.10023846886362,"{'latitude': '40.628519815740724', 'longitude': '-74.10023846886362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58924825,2023-09-26T00:02:23.000,2023-09-26T00:42:09.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10457,265 EAST  182 STREET,EAST  182 STREET,RYER AVENUE,VALENTINE AVENUE,RYER AVENUE,VALENTINE AVENUE,ADDRESS,BRONX,EAST  182 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-26T00:42:11.000,05 BRONX,2031500045,BRONX,1012093,251000,ONLINE,Unspecified,BRONX,40.85556798829767,-73.89935066841451,"{'latitude': '40.85556798829767', 'longitude': '-73.89935066841451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58924399,2023-09-26T00:02:20.000,2023-09-26T13:51:22.000,DSNY,Department of Sanitation,Litter Basket Request,New Basket,Sidewalk,11201,8 CADMAN PLAZA WEST,CADMAN PLAZA WEST,FURMAN STREET,WATER STREET,FURMAN STREET,WATER STREET,ADDRESS,BROOKLYN,CADMAN PLAZA WEST,Unspecified,The location does not meet the criteria for Litter Basket placement.,2023-09-26T00:02:27.000,02 BROOKLYN,3002000005,BROOKLYN,985729,195387,ONLINE,Unspecified,BROOKLYN,40.70296882220659,-73.994665819932,"{'latitude': '40.70296882220659', 'longitude': '-73.994665819932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58921965,2023-09-26T00:02:02.000,2023-09-26T10:54:15.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11378,53-56 65 PLACE,65 PLACE,53 AVENUE,53 DRIVE,53 AVENUE,53 DRIVE,ADDRESS,MASPETH,65 PLACE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T10:54:19.000,05 QUEENS,4023740187,QUEENS,1011904,205166,MOBILE,Unspecified,QUEENS,40.72976672912934,-73.9002226044247,"{'latitude': '40.72976672912934', 'longitude': '-73.9002226044247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58929310,2023-09-26T00:02:00.000,2023-09-26T18:28:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10005,63 WALL STREET,WALL STREET,HANOVER ST,PEARL ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-26T18:28:00.000,01 MANHATTAN,1000270009,MANHATTAN,981791,196409,ONLINE,Unspecified,MANHATTAN,40.70577375373337,-74.00886903361369,"{'latitude': '40.70577375373337', 'longitude': '-74.00886903361369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,
58921423,2023-09-26T00:01:48.000,2023-09-26T00:23:47.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11432,170-22 HENLEY ROAD,HENLEY ROAD,HOMELAWN STREET,KINGSTON PLACE,HOMELAWN STREET,KINGSTON PLACE,ADDRESS,JAMAICA,HENLEY ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T00:23:51.000,08 QUEENS,4098800013,QUEENS,1041572,199219,MOBILE,Unspecified,QUEENS,40.713301186663216,-73.79322951204642,"{'latitude': '40.713301186663216', 'longitude': '-73.79322951204642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58918042,2023-09-26T00:01:46.000,2023-09-26T02:04:36.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10472,1015 BOYNTON AVENUE,BOYNTON AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,ADDRESS,BRONX,BOYNTON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T02:04:43.000,09 BRONX,2037140001,BRONX,1018221,239658,PHONE,Unspecified,BRONX,40.82441607894933,-73.87725611053246,"{'latitude': '40.82441607894933', 'longitude': '-73.87725611053246', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58923418,2023-09-26T00:00:58.000,2023-09-26T00:22:37.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10467,2385 BARKER AVENUE,BARKER AVENUE,THWAITES PLACE,WARING AVENUE,THWAITES PLACE,WARING AVENUE,ADDRESS,BRONX,BARKER AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T00:22:41.000,11 BRONX,2043407502,BRONX,1020357,252930,ONLINE,Unspecified,BRONX,40.86083532422503,-73.86946687527605,"{'latitude': '40.86083532422503', 'longitude': '-73.86946687527605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58922578,2023-09-26T00:00:36.000,2023-09-26T00:02:21.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10456,1385 WASHINGTON AVENUE,WASHINGTON AVENUE,EAST  169 STREET,EAST  170 STREET,EAST  169 STREET,EAST  170 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T00:02:25.000,03 BRONX,2029010001,BRONX,1010561,243449,ONLINE,Unspecified,BRONX,40.8348474210791,-73.90491830085918,"{'latitude': '40.8348474210791', 'longitude': '-73.90491830085918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58923748,2023-09-26T00:00:31.000,2023-09-26T00:10:04.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10026,131 WEST  112 STREET,WEST  112 STREET,ST NICHOLAS AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ST NICHOLAS AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ADDRESS,NEW YORK,WEST  112 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T00:10:08.000,10 MANHATTAN,1018220011,MANHATTAN,997213,230799,MOBILE,Unspecified,MANHATTAN,40.80015640838067,-73.95317921995436,"{'latitude': '40.80015640838067', 'longitude': '-73.95317921995436', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58925510,2023-09-26T00:00:07.000,2023-09-26T13:42:26.000,DSNY,Department of Sanitation,Litter Basket Request,New Basket,Sidewalk,11201,2 HENRY STREET,HENRY STREET,OLD FULTON STREET,POPLAR STREET,OLD FULTON STREET,POPLAR STREET,ADDRESS,BROOKLYN,HENRY STREET,Closed,The location does not meet the criteria for Litter Basket placement.,2023-09-25T15:28:56.000,02 BROOKLYN,3002077502,BROOKLYN,986656,194648,ONLINE,Unspecified,BROOKLYN,40.700940236914036,-73.9913227540682,"{'latitude': '40.700940236914036', 'longitude': '-73.9913227540682', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58917442,2023-09-26T00:00:01.000,2023-09-26T03:38:02.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11218,600 EAST    4 STREET,EAST    4 STREET,CORTELYOU ROAD,DITMAS AVENUE,CORTELYOU ROAD,DITMAS AVENUE,ADDRESS,BROOKLYN,EAST    4 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T03:38:08.000,12 BROOKLYN,3053870019,BROOKLYN,991097,171490,PHONE,Unspecified,BROOKLYN,40.637374379858,-73.97532979709837,"{'latitude': '40.637374379858', 'longitude': '-73.97532979709837', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58931817,2023-09-26T00:00:00.000,2023-09-26T14:42:51.000,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Other (Explain Below),11225,1133 WASHINGTON AVENUE,WASHINGTON AVENUE,LEFFERTS AVENUE,FLATBUSH AVENUE,LEFFERTS AVENUE,FLATBUSH AVENUE,ADDRESS,BROOKLYN,WASHINGTON AVENUE,Closed,The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. All food establishments are inspected annually. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.,2023-09-26T14:42:44.000,09 BROOKLYN,3013270001,BROOKLYN,995152,180197,PHONE,Unspecified,BROOKLYN,40.66126914097245,-73.9607052872071,"{'latitude': '40.66126914097245', 'longitude': '-73.9607052872071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58926379,2023-09-26T00:00:00.000,2023-09-27T00:00:01.000,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11106,33-20 31 AVENUE,31 AVENUE,33 STREET,34 STREET,33 STREET,34 STREET,ADDRESS,ASTORIA,31 AVENUE,Closed,The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.,2023-09-29T14:14:01.000,01 QUEENS,4006230044,QUEENS,1005953,217435,ONLINE,Unspecified,QUEENS,40.763458644102265,-73.92165458701328,"{'latitude': '40.763458644102265', 'longitude': '-73.92165458701328', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
