unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,due_date,taxi_company_borough,vehicle_type
58904415,2023-09-23T11:49:13.000,2023-09-23T12:31:56.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11239,1420 FREEPORT LOOP,FREEPORT LOOP,BEND,BEND,BEND,BEND,ADDRESS,BROOKLYN,FREEPORT LOOP,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T12:32:01.000,05 BROOKLYN,3044520020,BROOKLYN,1017076,174597,ONLINE,Unspecified,BROOKLYN,40.64584423999384,-73.88171065919408,"{'latitude': '40.64584423999384', 'longitude': '-73.88171065919408', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58904243,2023-09-23T11:48:58.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Spoiled,Restaurant/Bar/Deli/Bakery,11224,1205 BOARDWALK,BOARDWALK,THEODORA LULA VOURDERIS WAY,STILLWELL AVENUE,THEODORA LULA VOURDERIS WAY,STILLWELL AVENUE,ADDRESS,BROOKLYN,BOARDWALK WEST,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-25T13:49:35.000,13 BROOKLYN,3086950085,BROOKLYN,989835,148094,PHONE,Unspecified,BROOKLYN,40.57315802453335,-73.9798962145136,"{'latitude': '40.57315802453335', 'longitude': '-73.9798962145136', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907847,2023-09-23T11:48:39.000,2023-09-25T00:00:00.000,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11228,1528 73 STREET,73 STREET,,,,,ADDRESS,BROOKLYN,,Assigned,The Department of Buildings reviewed this complaint and assigned it to the Construction Division for further action.,2023-09-25T00:00:00.000,11 BROOKLYN,3062020012,BROOKLYN,983957,164552,UNKNOWN,Unspecified,BROOKLYN,40.618333671538004,-74.00105539760939,"{'latitude': '40.618333671538004', 'longitude': '-74.00105539760939', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58904798,2023-09-23T11:48:06.000,2023-09-26T10:57:44.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,11434,137-20 175 STREET,175 STREET,137 AVENUE,138 AVENUE,137 AVENUE,138 AVENUE,ADDRESS,JAMAICA,175 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-25T09:22:23.000,12 QUEENS,4125800131,QUEENS,1049208,184576,ONLINE,Unspecified,QUEENS,40.67305691462184,-73.7658264499225,"{'latitude': '40.67305691462184', 'longitude': '-73.7658264499225', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58904559,2023-09-23T11:48:06.000,2023-10-02T08:12:01.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10021,1065 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST   75 STREET,EAST   76 STREET,EAST   75 STREET,EAST   76 STREET,ADDRESS,NEW YORK,LEXINGTON AVENUE,Closed,The Department of Sanitation collected the requested items.,2023-09-25T05:39:31.000,08 MANHATTAN,1014107502,MANHATTAN,995174,220781,ONLINE,Unspecified,MANHATTAN,40.77266243444053,-73.96056013040825,"{'latitude': '40.77266243444053', 'longitude': '-73.96056013040825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58905746,2023-09-23T11:48:00.000,2023-09-26T13:00:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11378,,,,,CALDWELL AVENUE,69 LANE,INTERSECTION,QUEENS,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-26T13:00:00.000,05 QUEENS,,QUEENS,1014236,203161,UNKNOWN,Unspecified,QUEENS,40.72425589833194,-73.89181754211258,"{'latitude': '40.72425589833194', 'longitude': '-73.89181754211258', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58904077,2023-09-23T11:47:58.000,2023-09-26T10:56:55.000,DSNY,Department of Sanitation,Obstruction,Weeds or Grass,Sidewalk,11434,177-65 URSINA ROAD,URSINA ROAD,IRWIN PLACE,178 STREET,IRWIN PLACE,178 STREET,ADDRESS,JAMAICA,URSINA ROAD,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-25T10:03:24.000,12 QUEENS,4124820148,QUEENS,1049207,188545,PHONE,Unspecified,QUEENS,40.68395088984737,-73.76579179913159,"{'latitude': '40.68395088984737', 'longitude': '-73.76579179913159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907774,2023-09-23T11:47:00.000,2023-09-23T11:53:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11435,147-18 JAMAICA AVENUE,JAMAICA AVENUE,SUTPHIN BLVD,147 PL,,,ADDRESS,JAMAICA,,Closed,"The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",2023-09-23T11:53:00.000,12 QUEENS,4099940028,QUEENS,1037672,195005,PHONE,Unspecified,QUEENS,40.70175918886076,-73.80733088126024,"{'latitude': '40.70175918886076', 'longitude': '-73.80733088126024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906723,2023-09-23T11:47:00.000,2023-09-25T12:25:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11232,432 39 STREET,39 STREET,4 AVE,5 AVE,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-25T12:25:00.000,07 BROOKLYN,3007090017,BROOKLYN,982785,176848,ONLINE,Unspecified,BROOKLYN,40.65208346052007,-74.00527965752728,"{'latitude': '40.65208346052007', 'longitude': '-74.00527965752728', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58903470,2023-09-23T11:46:48.000,2023-09-23T12:13:31.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,11375,68-40 AUSTIN STREET,AUSTIN STREET,YELLOWSTONE BOULEVARD,BEND,YELLOWSTONE BOULEVARD,BEND,ADDRESS,FOREST HILLS,AUSTIN STREET,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-23T12:13:36.000,06 QUEENS,4032340022,QUEENS,1025547,202516,ONLINE,Unspecified,QUEENS,40.7224399589477,-73.8510141316442,"{'latitude': '40.7224399589477', 'longitude': '-73.8510141316442', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58907027,2023-09-23T11:46:41.000,2023-09-30T12:17:23.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10023,34 WEST   75 STREET,WEST   75 STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-30T00:00:00.000,07 MANHATTAN,1011270051,MANHATTAN,991001,222950,PHONE,Unspecified,MANHATTAN,40.77861994140532,-73.97562409597394,"{'latitude': '40.77861994140532', 'longitude': '-73.97562409597394', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58904632,2023-09-23T11:46:18.000,2023-09-23T12:10:56.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11204,2045 60 STREET,60 STREET,20 AVENUE,21 AVENUE,20 AVENUE,21 AVENUE,ADDRESS,BROOKLYN,60 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-23T12:11:01.000,12 BROOKLYN,3055140060,BROOKLYN,989338,164672,MOBILE,Unspecified,BROOKLYN,40.61866159050879,-73.98167273223204,"{'latitude': '40.61866159050879', 'longitude': '-73.98167273223204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909802,2023-09-23T11:45:23.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10453,1738 UNIVERSITY AVENUE,UNIVERSITY AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T00:00:00.000,05 BRONX,2028760112,BRONX,1007077,248609,UNKNOWN,Unspecified,BRONX,40.84901980016448,-73.91749107675265,"{'latitude': '40.84901980016448', 'longitude': '-73.91749107675265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58908443,2023-09-23T11:45:00.000,2023-09-23T12:10:00.000,DOT,Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,,11364,,,,,73 AVENUE,210 STREET,INTERSECTION,QUEENS,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-23T12:10:00.000,08 QUEENS,,QUEENS,1049757,208664,UNKNOWN,Unspecified,QUEENS,40.73916850421756,-73.76361297929081,"{'latitude': '40.73916850421756', 'longitude': '-73.76361297929081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58904460,2023-09-23T11:44:33.000,2023-09-23T17:19:44.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11379,61-57 67 STREET,67 STREET,61 ROAD,61 DRIVE,61 ROAD,61 DRIVE,ADDRESS,MIDDLE VILLAGE,67 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T17:19:48.000,05 QUEENS,4027850001,QUEENS,1013888,200609,MOBILE,Unspecified,QUEENS,40.71725245178833,-73.89308428077719,"{'latitude': '40.71725245178833', 'longitude': '-73.89308428077719', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58903972,2023-09-23T11:44:28.000,2023-09-23T12:03:18.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11235,4607 BEDFORD AVENUE,BEDFORD AVENUE,AVENUE Y,AVENUE Z,AVENUE Y,AVENUE Z,ADDRESS,BROOKLYN,BEDFORD AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T12:03:23.000,15 BROOKLYN,3074410009,BROOKLYN,999633,153989,ONLINE,Unspecified,BROOKLYN,40.58932704447489,-73.9446138891336,"{'latitude': '40.58932704447489', 'longitude': '-73.9446138891336', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58904477,2023-09-23T11:44:21.000,2023-09-23T15:20:45.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,11378,59-64 68 STREET,68 STREET,59 DRIVE,60 AVENUE,59 DRIVE,60 AVENUE,ADDRESS,MASPETH,68 STREET,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-23T15:20:49.000,05 QUEENS,4027800038,QUEENS,1013606,202158,ONLINE,Unspecified,QUEENS,40.72150502113903,-73.89409480705021,"{'latitude': '40.72150502113903', 'longitude': '-73.89409480705021', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909405,2023-09-23T11:44:00.000,2023-09-26T08:55:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11435,147-18 JAMAICA AVENUE,JAMAICA AVENUE,SUTPHIN BLVD,147 PL,,,ADDRESS,JAMAICA,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-26T08:55:00.000,12 QUEENS,4099940028,QUEENS,1037672,195005,PHONE,Unspecified,QUEENS,40.70175918886076,-73.80733088126024,"{'latitude': '40.70175918886076', 'longitude': '-73.80733088126024', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906517,2023-09-23T11:43:35.000,2023-10-20T06:57:56.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11207,580 VERMONT STREET,VERMONT STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-20T00:00:00.000,05 BROOKLYN,3038070046,BROOKLYN,1014153,181681,PHONE,Unspecified,BROOKLYN,40.66529860656595,-73.8922123430088,"{'latitude': '40.66529860656595', 'longitude': '-73.8922123430088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909735,2023-09-23T11:43:35.000,2023-10-20T06:57:56.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11207,580 VERMONT STREET,VERMONT STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-20T00:00:00.000,05 BROOKLYN,3038070046,BROOKLYN,1014153,181681,PHONE,Unspecified,BROOKLYN,40.66529860656595,-73.8922123430088,"{'latitude': '40.66529860656595', 'longitude': '-73.8922123430088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58905976,2023-09-23T11:43:35.000,2023-10-04T20:12:39.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10467,2838 BRONX PARK EAST,BRONX PARK EAST,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,11 BRONX,2045060040,BRONX,1020079,255244,ONLINE,Unspecified,BRONX,40.867187679605046,-73.87045952138652,"{'latitude': '40.867187679605046', 'longitude': '-73.87045952138652', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58909233,2023-09-23T11:43:35.000,2023-10-20T06:57:56.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11207,580 VERMONT STREET,VERMONT STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-20T00:00:00.000,05 BROOKLYN,3038070046,BROOKLYN,1014153,181681,PHONE,Unspecified,BROOKLYN,40.66529860656595,-73.8922123430088,"{'latitude': '40.66529860656595', 'longitude': '-73.8922123430088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58906521,2023-09-23T11:43:35.000,2023-10-20T06:57:56.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11207,580 VERMONT STREET,VERMONT STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-20T00:00:00.000,05 BROOKLYN,3038070046,BROOKLYN,1014153,181681,PHONE,Unspecified,BROOKLYN,40.66529860656595,-73.8922123430088,"{'latitude': '40.66529860656595', 'longitude': '-73.8922123430088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58903236,2023-09-23T11:43:29.000,,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Worker Activity,Mobile Food Vendor,10019,640 5 AVENUE,5 AVENUE,5 AVENUE,ROCKEFELLER PLAZA,5 AVENUE,ROCKEFELLER PLAZA,ADDRESS,NEW YORK,5 AVENUE,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-09-25T09:54:11.000,05 MANHATTAN,1012670034,MANHATTAN,990588,215959,MOBILE,Unspecified,MANHATTAN,40.759431770352215,-73.97712191185279,"{'latitude': '40.759431770352215', 'longitude': '-73.97712191185279', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58904301,2023-09-23T11:43:10.000,2023-09-26T13:07:53.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11106,28-18 33 AVENUE,33 AVENUE,28 STREET,29 STREET,28 STREET,29 STREET,ADDRESS,ASTORIA,33 AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-26T12:19:27.000,01 QUEENS,4005820001,QUEENS,1004175,217034,PHONE,Unspecified,QUEENS,40.76236218865373,-73.92807415457955,"{'latitude': '40.76236218865373', 'longitude': '-73.92807415457955', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58903790,2023-09-23T11:42:51.000,2023-09-26T13:10:03.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11385,63-41 FOREST AVENUE,FOREST AVENUE,MENAHAN STREET,GROVE STREET,MENAHAN STREET,GROVE STREET,ADDRESS,RIDGEWOOD,FOREST AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-09-25T06:03:34.000,05 QUEENS,4034950007,QUEENS,1010695,197866,PHONE,Unspecified,QUEENS,40.70973369607696,-73.90461343096216,"{'latitude': '40.70973369607696', 'longitude': '-73.90461343096216', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58903837,2023-09-23T11:42:32.000,2023-09-23T12:21:01.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11106,32-41 33 STREET,33 STREET,BROADWAY,34 AVENUE,BROADWAY,34 AVENUE,ADDRESS,ASTORIA,33 STREET,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-23T12:21:06.000,01 QUEENS,4006210020,QUEENS,1005275,216472,ONLINE,Unspecified,QUEENS,40.76081709613148,-73.92410510217272,"{'latitude': '40.76081709613148', 'longitude': '-73.92410510217272', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
