unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_company_borough,road_ramp,vehicle_type
58851228,2023-09-18T20:45:45.000,2023-09-19T18:35:48.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385,78-50 64 PLACE,64 PLACE,ADDRESS,RIDGEWOOD,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T18:35:51.000,05 QUEENS,4037190042,QUEENS,1014557,193260,ONLINE,Unspecified,QUEENS,40.69707893204808,-73.89070401936785,"{'latitude': '40.69707893204808', 'longitude': '-73.89070401936785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",78 AVENUE,80 AVENUE,78 AVENUE,80 AVENUE,64 PLACE,,,,,,,,,
58850301,2023-09-18T20:45:35.000,2023-09-19T05:43:11.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11385,70-20 60 LANE,60 LANE,ADDRESS,RIDGEWOOD,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T05:43:19.000,05 QUEENS,4035170033,QUEENS,1012838,195007,MOBILE,Unspecified,QUEENS,40.70187975588009,-73.89689581897603,"{'latitude': '40.70187975588009', 'longitude': '-73.89689581897603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",70 AVENUE,71 AVENUE,70 AVENUE,71 AVENUE,60 LANE,,,,,,,,,
58846627,2023-09-18T20:44:27.000,2023-09-18T20:59:08.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11223,346 AVENUE W,AVENUE W,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T20:59:11.000,15 BROOKLYN,3071760004,BROOKLYN,992511,155213,ONLINE,Unspecified,BROOKLYN,40.592696178079606,-73.9702549746274,"{'latitude': '40.592696178079606', 'longitude': '-73.9702549746274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST STREET,EAST    1 STREET,WEST STREET,EAST    1 STREET,AVENUE W,,,,,,,,,
58853784,2023-09-18T20:44:23.000,2023-09-19T05:21:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11385,64-01 MYRTLE AVENUE,MYRTLE AVENUE,ADDRESS,RIDGEWOOD,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T05:22:04.000,05 QUEENS,4036390036,QUEENS,1014110,194682,ONLINE,Unspecified,QUEENS,40.70098350684144,-73.89230972712505,"{'latitude': '40.70098350684144', 'longitude': '-73.89230972712505', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",64 STREET,64 PLACE,64 STREET,64 PLACE,MYRTLE AVENUE,,,,,,,,,
58850466,2023-09-18T20:44:12.000,2023-09-18T20:55:33.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11102,23-12 30 DRIVE,30 DRIVE,ADDRESS,ASTORIA,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T20:55:36.000,01 QUEENS,4005700030,QUEENS,1004323,218895,PHONE,Unspecified,QUEENS,40.76746981644549,-73.92753434267112,"{'latitude': '40.76746981644549', 'longitude': '-73.92753434267112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",23 STREET,CRESCENT STREET,23 STREET,CRESCENT STREET,30 DRIVE,,,,,,,,,
58846937,2023-09-18T20:44:01.000,2023-09-18T21:18:18.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,527 CLEVELAND STREET,CLEVELAND STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T21:18:21.000,05 BROOKLYN,3040330006,BROOKLYN,1016513,183998,ONLINE,Unspecified,BROOKLYN,40.67164996404989,-73.88369446269238,"{'latitude': '40.67164996404989', 'longitude': '-73.88369446269238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BELMONT AVENUE,SUTTER AVENUE,BELMONT AVENUE,SUTTER AVENUE,CLEVELAND STREET,,,,,,,,,
58846511,2023-09-18T20:44:00.000,2023-09-20T20:15:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10027,171 CLAREMONT AVENUE,CLAREMONT AVENUE,ADDRESS,NEW YORK,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-20T20:15:00.000,09 MANHATTAN,1019940038,MANHATTAN,995107,235872,ONLINE,Unspecified,MANHATTAN,40.81408322955657,-73.9607776305083,"{'latitude': '40.81408322955657', 'longitude': '-73.9607776305083', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",W 122 ST,LA SALLE ST,,,,,N/A,,,,,,,
58849033,2023-09-18T20:44:00.000,2023-09-19T16:30:00.000,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10128,1616 3 AVENUE,3 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. A message was left for the complainant at the phone number provided.,2023-09-19T16:30:00.000,08 MANHATTAN,1015190040,MANHATTAN,997593,224115,ONLINE,Unspecified,MANHATTAN,40.78181006465202,-73.95181998483531,"{'latitude': '40.78181006465202', 'longitude': '-73.95181998483531', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",E 90 ST,E 91 ST,,,,,N/A,,,,,,,
58850341,2023-09-18T20:44:00.000,2023-09-19T22:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11205,174 CLERMONT AVENUE,CLERMONT AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-19T22:45:00.000,02 BROOKLYN,3020747502,BROOKLYN,992365,191573,ONLINE,Unspecified,BROOKLYN,40.69249668357531,-73.97073693487978,"{'latitude': '40.69249668357531', 'longitude': '-73.97073693487978', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MYRTLE AVE,WILLOUGHBY AVE,,,,,N/A,,,,,,,
58850421,2023-09-18T20:43:59.000,2023-09-18T21:43:37.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11420,114-23 116 STREET,116 STREET,ADDRESS,SOUTH OZONE PARK,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T21:43:40.000,10 QUEENS,4116430050,QUEENS,1033401,186197,ONLINE,Unspecified,QUEENS,40.67760805878273,-73.82279867349081,"{'latitude': '40.67760805878273', 'longitude': '-73.82279867349081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LINDEN BOULEVARD,ROCKAWAY BOULEVARD,LINDEN BOULEVARD,ROCKAWAY BOULEVARD,116 STREET,,,,,,,,,
58849147,2023-09-18T20:43:55.000,2023-09-18T21:17:32.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10034,560 WEST  218 STREET,WEST  218 STREET,ADDRESS,NEW YORK,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T21:17:36.000,12 MANHATTAN,1022430378,MANHATTAN,1007210,257130,MOBILE,Unspecified,MANHATTAN,40.872407024531554,-73.91698115462991,"{'latitude': '40.872407024531554', 'longitude': '-73.91698115462991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PARK TERRACE WEST,SEAMAN AVENUE,PARK TERRACE WEST,SEAMAN AVENUE,WEST  218 STREET,,,,,,,,,
58846075,2023-09-18T20:43:39.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,10010,55 WEST   25 STREET,WEST   25 STREET,ADDRESS,NEW YORK,In Progress,,,05 MANHATTAN,1008270001,MANHATTAN,986864,210206,ONLINE,Unspecified,MANHATTAN,40.74364312587524,-73.99056655893058,"{'latitude': '40.74364312587524', 'longitude': '-73.99056655893058', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROADWAY,AVENUE OF THE AMERICAS,BROADWAY,AVENUE OF THE AMERICAS,WEST   25 STREET,,,,,,,,,
