unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,facility_type,taxi_pick_up_location,due_date,road_ramp,taxi_company_borough
58900953,2023-09-22T02:24:18.000,2023-09-22T11:33:38.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11378,61-02 MAURICE AVENUE,MAURICE AVENUE,53 DRIVE,53 AVENUE,53 DRIVE,53 AVENUE,ADDRESS,MASPETH,MAURICE AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T11:33:42.000,05 QUEENS,QUEENS,1010884,205431,ONLINE,Unspecified,QUEENS,40.73049721897964,-73.90390177753764,"{'latitude': '40.73049721897964', 'longitude': '-73.90390177753764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4023710105,,,,,,,,
58900406,2023-09-22T02:24:13.000,2023-09-22T02:24:13.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11209,146 73 STREET,73 STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-22T00:00:00.000,10 BROOKLYN,BROOKLYN,975424,170229,UNKNOWN,Unspecified,BROOKLYN,40.63391145245641,-74.03179902350705,"{'latitude': '40.63391145245641', 'longitude': '-74.03179902350705', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3059160016,,,,,,,,
58898790,2023-09-22T02:22:35.000,2023-09-22T02:37:30.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11379,63-37 METROPOLITAN AVENUE,METROPOLITAN AVENUE,ADMIRAL AVENUE,64 STREET,ADMIRAL AVENUE,64 STREET,ADDRESS,MIDDLE VILLAGE,METROPOLITAN AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T02:37:40.000,05 QUEENS,QUEENS,1012652,198906,MOBILE,Unspecified,QUEENS,40.71258218139572,-73.89755019127733,"{'latitude': '40.71258218139572', 'longitude': '-73.89755019127733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4027710040,,,,,,,,
58901786,2023-09-22T02:21:11.000,2023-09-22T02:21:11.000,DOB,Department of Buildings,Emergency Response Team (ERT),Lights From Parking Lot Shining On Building,,10011,330 WEST   17 STREET,WEST   17 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Buildings reviewed this complaint and determined that no further action was necessary.,2023-09-22T00:00:00.000,04 MANHATTAN,MANHATTAN,983649,209642,UNKNOWN,Unspecified,MANHATTAN,40.74209545252038,-74.00216884712033,"{'latitude': '40.74209545252038', 'longitude': '-74.00216884712033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1007400048,,,,N/A,,,,
58899273,2023-09-22T02:20:14.000,2023-09-22T02:25:12.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11102,30-41 14 STREET,14 STREET,30 ROAD,30 DRIVE,30 ROAD,30 DRIVE,ADDRESS,ASTORIA,14 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T02:25:15.000,01 QUEENS,QUEENS,1003430,219741,ONLINE,Unspecified,QUEENS,40.769793848481186,-73.93075575167943,"{'latitude': '40.769793848481186', 'longitude': '-73.93075575167943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4005350027,,,,,,,,
58898752,2023-09-22T02:20:08.000,2023-09-22T04:14:33.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11432,187-23 WEXFORD TERRACE,WEXFORD TERRACE,CHELSEA STREET,87 DRIVE,CHELSEA STREET,87 DRIVE,ADDRESS,JAMAICA,WEXFORD TERRACE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T04:14:37.000,08 QUEENS,QUEENS,1046517,200028,ONLINE,Unspecified,QUEENS,40.71548827100003,-73.77538462373177,"{'latitude': '40.71548827100003', 'longitude': '-73.77538462373177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4099610013,,,,,,,,
58894813,2023-09-22T02:20:05.000,2023-09-22T03:15:02.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11239,598 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ESSEX STREET,BERRIMAN STREET,ESSEX STREET,BERRIMAN STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-22T03:15:06.000,05 BROOKLYN,BROOKLYN,1020207,178299,ONLINE,Unspecified,BROOKLYN,40.65599325559804,-73.87040829977123,"{'latitude': '40.65599325559804', 'longitude': '-73.87040829977123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3045860945,,,,,,,,
58902613,2023-09-22T02:19:43.000,2023-11-09T12:03:45.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,11249,419 KENT AVENUE,KENT AVENUE,BROADWAY,SOUTH    8 STREET,BROADWAY,SOUTH    8 STREET,ADDRESS,BROOKLYN,KENT AVENUE,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-09T12:03:49.000,01 BROOKLYN,BROOKLYN,992980,198008,ONLINE,Unspecified,BROOKLYN,40.71015866539712,-73.96851087502229,"{'latitude': '40.71015866539712', 'longitude': '-73.96851087502229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3021290001,,,,,"419 KENT AVENUE, BROOKLYN, NY, 11249",,,
58898096,2023-09-22T02:19:09.000,2023-09-22T02:21:55.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11249,419 KENT AVENUE,KENT AVENUE,BROADWAY,SOUTH    8 STREET,BROADWAY,SOUTH    8 STREET,ADDRESS,BROOKLYN,KENT AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T02:21:57.000,01 BROOKLYN,BROOKLYN,992980,198008,ONLINE,Unspecified,BROOKLYN,40.71015866539712,-73.96851087502229,"{'latitude': '40.71015866539712', 'longitude': '-73.96851087502229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3021290001,,,,,,,,
58891912,2023-09-22T02:19:03.000,2023-09-22T02:46:20.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11691,ROCKAWAY BEACH BOULEVARD,ROCKAWAY BEACH BOULEVARD,BEACH   40 STREET,BEACH   41 STREET,BEACH   40 STREET,BEACH   41 STREET,BLOCKFACE,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T02:46:23.000,Unspecified QUEENS,QUEENS,,,ONLINE,Unspecified,QUEENS,,,,,,,,,,,,
58898129,2023-09-22T02:18:59.000,2023-09-22T03:16:19.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,526 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ELTON STREET,ESSEX STREET,ELTON STREET,ESSEX STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-22T03:16:22.000,05 BROOKLYN,BROOKLYN,1019630,177965,ONLINE,Unspecified,BROOKLYN,40.655078823851085,-73.87248959993701,"{'latitude': '40.655078823851085', 'longitude': '-73.87248959993701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3044527505,,,,,,,,
58898052,2023-09-22T02:18:32.000,2023-09-22T19:59:20.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10457,1510 SHERIDAN AVENUE,SHERIDAN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,04 BRONX,BRONX,1008793,245691,ONLINE,Unspecified,BRONX,40.841006147648265,-73.91129922391039,"{'latitude': '40.841006147648265', 'longitude': '-73.91129922391039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2028190005,,,,,,,,
58892536,2023-09-22T02:18:32.000,2023-09-22T19:59:21.000,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,10457,1510 SHERIDAN AVENUE,SHERIDAN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,04 BRONX,BRONX,1008793,245691,ONLINE,Unspecified,BRONX,40.841006147648265,-73.91129922391039,"{'latitude': '40.841006147648265', 'longitude': '-73.91129922391039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2028190005,,,,,,,,
58892535,2023-09-22T02:18:32.000,2023-09-22T19:59:21.000,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,10457,1510 SHERIDAN AVENUE,SHERIDAN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,04 BRONX,BRONX,1008793,245691,ONLINE,Unspecified,BRONX,40.841006147648265,-73.91129922391039,"{'latitude': '40.841006147648265', 'longitude': '-73.91129922391039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2028190005,,,,,,,,
58896605,2023-09-22T02:18:32.000,2023-09-22T19:59:21.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10457,1510 SHERIDAN AVENUE,SHERIDAN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,04 BRONX,BRONX,1008793,245691,ONLINE,Unspecified,BRONX,40.841006147648265,-73.91129922391039,"{'latitude': '40.841006147648265', 'longitude': '-73.91129922391039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2028190005,,,,,,,,
58900882,2023-09-22T02:18:32.000,2023-09-22T19:59:21.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10457,1510 SHERIDAN AVENUE,SHERIDAN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,04 BRONX,BRONX,1008793,245691,ONLINE,Unspecified,BRONX,40.841006147648265,-73.91129922391039,"{'latitude': '40.841006147648265', 'longitude': '-73.91129922391039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2028190005,,,,,,,,
58902257,2023-09-22T02:18:32.000,2023-09-22T19:59:20.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10457,1510 SHERIDAN AVENUE,SHERIDAN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,04 BRONX,BRONX,1008793,245691,ONLINE,Unspecified,BRONX,40.841006147648265,-73.91129922391039,"{'latitude': '40.841006147648265', 'longitude': '-73.91129922391039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2028190005,,,,,,,,
58892454,2023-09-22T02:18:32.000,2023-09-22T20:47:17.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10457,1510 SHERIDAN AVENUE,SHERIDAN AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,04 BRONX,BRONX,1008793,245691,ONLINE,Unspecified,BRONX,40.841006147648265,-73.91129922391039,"{'latitude': '40.841006147648265', 'longitude': '-73.91129922391039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2028190005,,,,,,,,
58895590,2023-09-22T02:18:26.000,2023-10-24T08:08:04.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,11217,198 ASHLAND PLACE,ASHLAND PLACE,DEKALB AVENUE,FULTON STREET,DEKALB AVENUE,FULTON STREET,ADDRESS,BROOKLYN,ASHLAND PLACE,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-10-24T08:08:13.000,02 BROOKLYN,BROOKLYN,990207,190306,ONLINE,Unspecified,BROOKLYN,40.68902077629604,-73.97851990261614,"{'latitude': '40.68902077629604', 'longitude': '-73.97851990261614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3020950039,,,,,"198 ASHLAND PLACE, BROOKLYN, NY, 11217",,,
58898130,2023-09-22T02:18:01.000,2023-09-22T03:16:04.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,526 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ELTON STREET,ESSEX STREET,ELTON STREET,ESSEX STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-22T03:16:07.000,05 BROOKLYN,BROOKLYN,1019630,177965,ONLINE,Unspecified,BROOKLYN,40.655078823851085,-73.87248959993701,"{'latitude': '40.655078823851085', 'longitude': '-73.87248959993701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3044527505,,,,,,,,
58896458,2023-09-22T02:17:58.000,2023-09-22T02:48:36.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10031,610 WEST  141 STREET,WEST  141 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  141 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T02:48:40.000,09 MANHATTAN,MANHATTAN,997302,239524,MOBILE,Unspecified,MANHATTAN,40.82410396969219,-73.95284079702623,"{'latitude': '40.82410396969219', 'longitude': '-73.95284079702623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1020880038,,,,,,,,
58896700,2023-09-22T02:17:46.000,2023-09-22T03:00:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,11217,198 ASHLAND PLACE,ASHLAND PLACE,DEKALB AVENUE,FULTON STREET,DEKALB AVENUE,FULTON STREET,ADDRESS,BROOKLYN,ASHLAND PLACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T03:00:16.000,02 BROOKLYN,BROOKLYN,990207,190306,ONLINE,Unspecified,BROOKLYN,40.68902077629604,-73.97851990261614,"{'latitude': '40.68902077629604', 'longitude': '-73.97851990261614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3020950039,,,,,,,,
58894700,2023-09-22T02:17:31.000,2023-09-22T02:45:03.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11218,45 HINCKLEY PLACE,HINCKLEY PLACE,CONEY ISLAND AVENUE,STRATFORD ROAD,CONEY ISLAND AVENUE,STRATFORD ROAD,ADDRESS,BROOKLYN,HINCKLEY PLACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T02:45:08.000,14 BROOKLYN,BROOKLYN,992576,174116,MOBILE,Unspecified,BROOKLYN,40.64458091979868,-73.9699976200518,"{'latitude': '40.64458091979868', 'longitude': '-73.9699976200518', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3051130024,,,,,,,,
58898136,2023-09-22T02:17:12.000,2023-09-22T03:15:48.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-22T03:15:51.000,05 BROOKLYN,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3044520423,,,,,,,,
58900584,2023-09-22T02:17:03.000,2023-09-22T02:59:43.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10009,587 EAST    5 STREET,EAST    5 STREET,AVENUE A,AVENUE B,AVENUE A,AVENUE B,ADDRESS,NEW YORK,EAST    5 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T02:59:46.000,03 MANHATTAN,MANHATTAN,989066,203094,ONLINE,Unspecified,MANHATTAN,40.72412151145637,-73.98262504043397,"{'latitude': '40.72412151145637', 'longitude': '-73.98262504043397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58898680,2023-09-22T02:17:00.000,2023-09-25T17:28:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10027,,,,,WEST 125 STREET,BROADWAY,INTERSECTION,MANHATTAN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-25T17:28:00.000,09 MANHATTAN,MANHATTAN,995794,236458,ONLINE,Unspecified,MANHATTAN,40.81569076449531,-73.95829474326734,"{'latitude': '40.81569076449531', 'longitude': '-73.95829474326734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,N/A,,,,
58894782,2023-09-22T02:16:39.000,2023-09-22T04:15:57.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11204,1924 65 STREET,65 STREET,19 AVENUE,20 AVENUE,19 AVENUE,20 AVENUE,ADDRESS,BROOKLYN,65 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T04:16:02.000,11 BROOKLYN,BROOKLYN,987758,164219,PHONE,Unspecified,BROOKLYN,40.61741896603546,-73.9873642181145,"{'latitude': '40.61741896603546', 'longitude': '-73.9873642181145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3055550013,,,,,,,,
58900676,2023-09-22T02:16:35.000,2023-09-22T02:21:56.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10458,2465 ARTHUR AVENUE,ARTHUR AVENUE,EAST  188 STREET,EAST  189 STREET,EAST  188 STREET,EAST  189 STREET,ADDRESS,BRONX,ARTHUR AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T02:22:00.000,06 BRONX,BRONX,1015686,251521,ONLINE,Unspecified,BRONX,40.85698591414683,-73.88635994564386,"{'latitude': '40.85698591414683', 'longitude': '-73.88635994564386', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2030660053,,,,,,,,
