unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,resolution_description,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58976552,2023-09-30T22:33:52.000,2023-10-01T02:23:14.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,117-14 124 STREET,124 STREET,ROCKAWAY BOULEVARD,SUTTER AVENUE,ROCKAWAY BOULEVARD,SUTTER AVENUE,ADDRESS,SOUTH OZONE PARK,124 STREET,Closed,2023-10-01T02:23:17.000,10 QUEENS,4117450049,QUEENS,1035942,185291,PHONE,Unspecified,QUEENS,40.67510682537151,-73.8136447254107,"{'latitude': '40.67510682537151', 'longitude': '-73.8136447254107', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
58972343,2023-09-30T22:33:47.000,2023-09-30T22:58:12.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11223,1755 OCEAN PARKWAY,OCEAN PARKWAY,QUENTIN ROAD,KINGS HIGHWAY,QUENTIN ROAD,KINGS HIGHWAY,ADDRESS,BROOKLYN,OCEAN PARKWAY,Closed,2023-09-30T22:58:16.000,15 BROOKLYN,3066630023,BROOKLYN,993414,160028,ONLINE,Unspecified,BROOKLYN,40.60591148974752,-73.96699704996605,"{'latitude': '40.60591148974752', 'longitude': '-73.96699704996605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58976843,2023-09-30T22:33:47.000,2023-10-01T01:01:50.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11220,639 54 STREET,54 STREET,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,54 STREET,Closed,2023-10-01T01:01:53.000,07 BROOKLYN,3008170059,BROOKLYN,981611,172803,MOBILE,Unspecified,BROOKLYN,40.64098053742491,-74.00950900879128,"{'latitude': '40.64098053742491', 'longitude': '-74.00950900879128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department issued a summons in response to the complaint.,,,,,,
59439965,2023-09-30T22:33:37.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Apartment Only,Apartment,11413,223-04 147 AVENUE,147 AVENUE,223 STREET,224 STREET,223 STREET,224 STREET,ADDRESS,SPRINGFIELD GARDENS,147 AVENUE,Closed,2023-10-01T00:00:00.000,13 QUEENS,4134360047,QUEENS,1051323,179547,PHONE,Unspecified,QUEENS,40.65923770814719,-73.75825194754059,"{'latitude': '40.65923770814719', 'longitude': '-73.75825194754059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58973248,2023-09-30T22:33:32.000,2023-09-30T22:54:54.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11226,109 EAST   32 STREET,EAST   32 STREET,SNYDER AVENUE,TILDEN AVENUE,SNYDER AVENUE,TILDEN AVENUE,ADDRESS,BROOKLYN,EAST   32 STREET,Closed,2023-09-30T22:54:56.000,17 BROOKLYN,3049030164,BROOKLYN,998859,175405,MOBILE,Unspecified,BROOKLYN,40.64811081047701,-73.9473543147448,"{'latitude': '40.64811081047701', 'longitude': '-73.9473543147448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department issued a summons in response to the complaint.,,,,,,
58974812,2023-09-30T22:33:27.000,2023-10-01T01:59:15.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11433,111-41 178 STREET,178 STREET,SAYRES AVENUE,112 AVENUE,SAYRES AVENUE,112 AVENUE,ADDRESS,JAMAICA,178 STREET,Closed,2023-10-01T01:59:19.000,12 QUEENS,4102950047,QUEENS,1046782,193165,ONLINE,Unspecified,QUEENS,40.69664914792458,-73.77449242817704,"{'latitude': '40.69664914792458', 'longitude': '-73.77449242817704', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
58972111,2023-09-30T22:33:20.000,2023-10-01T01:23:03.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11378,66-18 53 ROAD,53 ROAD,66 STREET,68 STREET,66 STREET,68 STREET,ADDRESS,MASPETH,53 ROAD,Closed,2023-10-01T01:23:09.000,05 QUEENS,4024030009,QUEENS,1012281,205496,ONLINE,Unspecified,QUEENS,40.730671311087775,-73.89886099085666,"{'latitude': '40.730671311087775', 'longitude': '-73.89886099085666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded and upon arrival those responsible for the condition were gone.,,,,,,
58977316,2023-09-30T22:33:05.000,2023-09-30T23:05:26.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11236,EAST   87 STREET,EAST   87 STREET,AVENUE M,AVENUE N,AVENUE M,AVENUE N,BLOCKFACE,,,Closed,2023-09-30T23:05:31.000,Unspecified BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58969590,2023-09-30T22:33:05.000,2023-09-30T22:48:19.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11208,278 ETNA STREET,ETNA STREET,PINE STREET,CRESCENT STREET,PINE STREET,CRESCENT STREET,ADDRESS,BROOKLYN,ETNA STREET,Closed,2023-09-30T22:48:22.000,05 BROOKLYN,3041180021,BROOKLYN,1019305,189534,MOBILE,Unspecified,BROOKLYN,40.68683439885448,-73.8736007422852,"{'latitude': '40.68683439885448', 'longitude': '-73.8736007422852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department issued a summons in response to the complaint.,,,,,,
58971099,2023-09-30T22:33:03.000,2023-09-30T22:56:04.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11209,305 95 STREET,95 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,95 STREET,Closed,2023-09-30T22:56:11.000,10 BROOKLYN,3061140001,BROOKLYN,975043,164071,PHONE,Unspecified,BROOKLYN,40.61700864747738,-74.03316332128607,"{'latitude': '40.61700864747738', 'longitude': '-74.03316332128607', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint but officers were unable to gain entry into the premises.,,,,,,
58973236,2023-09-30T22:33:02.000,2023-09-30T22:52:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11358,40-22 158 STREET,158 STREET,NORTHERN BOULEVARD,DEPOT ROAD,NORTHERN BOULEVARD,DEPOT ROAD,ADDRESS,FLUSHING,158 STREET,Closed,2023-09-30T22:52:12.000,07 QUEENS,4052760034,QUEENS,1037594,217258,MOBILE,Unspecified,QUEENS,40.76283853141425,-73.8074357642431,"{'latitude': '40.76283853141425', 'longitude': '-73.8074357642431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58970400,2023-09-30T22:32:55.000,2023-09-30T22:52:21.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10009,151 AVENUE C,AVENUE C,EAST    9 STREET,EAST   10 STREET,EAST    9 STREET,EAST   10 STREET,ADDRESS,NEW YORK,AVENUE C,Closed,2023-09-30T22:52:25.000,03 MANHATTAN,1003920035,MANHATTAN,990402,203609,ONLINE,Unspecified,MANHATTAN,40.72553423319804,-73.97780460597261,"{'latitude': '40.72553423319804', 'longitude': '-73.97780460597261', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
58975969,2023-09-30T22:32:53.000,2023-10-01T01:03:21.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11417,106-10 103 AVENUE,103 AVENUE,106 STREET,107 STREET,106 STREET,107 STREET,ADDRESS,OZONE PARK,103 AVENUE,Closed,2023-10-01T01:03:26.000,10 QUEENS,4095110005,QUEENS,1029800,188843,ONLINE,Unspecified,QUEENS,40.684889976656805,-73.83576323833029,"{'latitude': '40.684889976656805', 'longitude': '-73.83576323833029', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58968750,2023-09-30T22:32:51.000,2023-09-30T23:10:29.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11374,99-18 64 AVENUE,64 AVENUE,99 STREET,102 STREET,99 STREET,102 STREET,ADDRESS,REGO PARK,64 AVENUE,Closed,2023-09-30T23:10:31.000,06 QUEENS,4021130014,QUEENS,1024273,205686,MOBILE,Unspecified,QUEENS,40.73114668119292,-73.85559143898134,"{'latitude': '40.73114668119292', 'longitude': '-73.85559143898134', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
58973640,2023-09-30T22:32:50.000,2023-09-30T23:04:47.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11236,1384 EAST   99 STREET,EAST   99 STREET,AVENUE M,AVENUE N,AVENUE M,AVENUE N,ADDRESS,BROOKLYN,EAST   99 STREET,Closed,2023-09-30T23:04:51.000,18 BROOKLYN,3082820001,BROOKLYN,1014669,171345,ONLINE,Unspecified,BROOKLYN,40.636926798869965,-73.89039899889532,"{'latitude': '40.636926798869965', 'longitude': '-73.89039899889532', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58974768,2023-09-30T22:32:36.000,2023-09-30T22:38:48.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11238,466 PROSPECT PLACE,PROSPECT PLACE,GRAND AVENUE,CLASSON AVENUE,GRAND AVENUE,CLASSON AVENUE,ADDRESS,BROOKLYN,PROSPECT PLACE,Closed,2023-09-30T22:38:51.000,08 BROOKLYN,3011620037,BROOKLYN,995044,185573,PHONE,Unspecified,BROOKLYN,40.676025192726364,-73.96108594981892,"{'latitude': '40.676025192726364', 'longitude': '-73.96108594981892', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58973653,2023-09-30T22:32:32.000,2023-09-30T22:52:49.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,ANDERSON AVENUE,ANDERSON AVENUE,ANDERSON AVENUE,WEST  166 STREET,ANDERSON AVENUE,WEST  166 STREET,INTERSECTION,,,Closed,2023-09-30T22:52:52.000,04 BRONX,,BRONX,1004931,243417,PHONE,Unspecified,BRONX,40.834774568844644,-73.92526386989587,"{'latitude': '40.834774568844644', 'longitude': '-73.92526386989587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,
58971089,2023-09-30T22:32:20.000,2023-10-01T00:22:41.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11373,42-42 80 STREET,80 STREET,WOODSIDE AVENUE,45 AVENUE,WOODSIDE AVENUE,45 AVENUE,ADDRESS,ELMHURST,80 STREET,Closed,2023-10-01T00:22:47.000,04 QUEENS,4015250030,QUEENS,1016110,209811,ONLINE,Unspecified,QUEENS,40.74250194644821,-73.88502510702287,"{'latitude': '40.74250194644821', 'longitude': '-73.88502510702287', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58977140,2023-09-30T22:32:16.000,2023-09-30T22:40:28.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11238,GRAND AVENUE,GRAND AVENUE,GRAND AVENUE,PROSPECT PLACE,GRAND AVENUE,PROSPECT PLACE,INTERSECTION,,,Closed,2023-09-30T22:40:31.000,08 BROOKLYN,,BROOKLYN,994551,185711,PHONE,Unspecified,BROOKLYN,40.67640455897275,-73.96286308042025,"{'latitude': '40.67640455897275', 'longitude': '-73.96286308042025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58975990,2023-09-30T22:32:15.000,2023-09-30T22:50:45.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10034,156 SHERMAN AVENUE,SHERMAN AVENUE,ACADEMY STREET,WEST  204 STREET,ACADEMY STREET,WEST  204 STREET,ADDRESS,NEW YORK,SHERMAN AVENUE,Closed,2023-09-30T22:50:48.000,12 MANHATTAN,1022250036,MANHATTAN,1005529,254310,PHONE,Unspecified,MANHATTAN,40.864671199859906,-73.9230682719138,"{'latitude': '40.864671199859906', 'longitude': '-73.9230682719138', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58971249,2023-09-30T22:32:13.000,2023-09-30T22:38:17.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10301,245 HART BOULEVARD,HART BOULEVARD,FOREST AVENUE,REVERE STREET,FOREST AVENUE,REVERE STREET,ADDRESS,STATEN ISLAND,HART BOULEVARD,Closed,2023-09-30T22:38:21.000,01 STATEN ISLAND,5002500070,STATEN ISLAND,956457,168538,ONLINE,Unspecified,STATEN ISLAND,40.62923081300964,-74.1001278552102,"{'latitude': '40.62923081300964', 'longitude': '-74.1001278552102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58974866,2023-09-30T22:32:09.000,2023-09-30T22:41:01.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11370,30-40 70 STREET,70 STREET,30 AVENUE,31 AVENUE,30 AVENUE,31 AVENUE,ADDRESS,EAST ELMHURST,70 STREET,Closed,2023-09-30T22:41:05.000,03 QUEENS,4011180066,QUEENS,1012687,215777,ONLINE,Unspecified,QUEENS,40.758888767393834,-73.89735263009567,"{'latitude': '40.758888767393834', 'longitude': '-73.89735263009567', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and determined that police action was not necessary.,,,,,,
58971230,2023-09-30T22:32:09.000,2023-09-30T22:39:47.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11368,53-01 97 STREET,97 STREET,CHRISTIE AVENUE,55 AVENUE,CHRISTIE AVENUE,55 AVENUE,ADDRESS,CORONA,97 STREET,Closed,2023-09-30T22:39:51.000,04 QUEENS,4018970028,QUEENS,1021604,208913,ONLINE,Unspecified,QUEENS,40.74001566369017,-73.86520362996677,"{'latitude': '40.74001566369017', 'longitude': '-73.86520362996677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58973183,2023-09-30T22:32:00.000,2023-10-03T22:16:00.000,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10021,420 EAST   72 STREET,EAST   72 STREET,1 AVE,YORK AVE,,,ADDRESS,NEW YORK,,Closed,2023-10-03T22:16:00.000,08 MANHATTAN,1014660037,MANHATTAN,996710,218858,ONLINE,Unspecified,MANHATTAN,40.767382269205186,-73.95501814177773,"{'latitude': '40.767382269205186', 'longitude': '-73.95501814177773', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,N/A,,,,,
58972037,2023-09-30T22:32:00.000,2023-10-01T07:05:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10309,,,,,BLOOMINGDALE ROAD,WIRT AVENUE,INTERSECTION,STATEN ISLAND,,Closed,2023-10-01T07:05:00.000,03 STATEN ISLAND,,STATEN ISLAND,923086,138691,PHONE,Unspecified,STATEN ISLAND,40.54713946306012,-74.22008065051016,"{'latitude': '40.54713946306012', 'longitude': '-74.22008065051016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,,,,,,
58972269,2023-09-30T22:31:55.000,2023-09-30T23:15:27.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11106,33-04 34 AVENUE,34 AVENUE,33 STREET,34 STREET,33 STREET,34 STREET,ADDRESS,ASTORIA,34 AVENUE,Closed,2023-09-30T23:15:31.000,01 QUEENS,,QUEENS,1004885,215754,ONLINE,Unspecified,QUEENS,40.758847289663194,-73.92551510604173,"{'latitude': '40.758847289663194', 'longitude': '-73.92551510604173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58976983,2023-09-30T22:31:51.000,2023-09-30T23:34:09.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10034,527 WEST  217 STREET,WEST  217 STREET,PARK TERRACE EAST,PARK TERRACE WEST,PARK TERRACE EAST,PARK TERRACE WEST,ADDRESS,NEW YORK,WEST  217 STREET,Closed,2023-09-30T23:34:12.000,12 MANHATTAN,1022430305,MANHATTAN,1007436,256703,MOBILE,Unspecified,MANHATTAN,40.87123445016581,-73.91616546119305,"{'latitude': '40.87123445016581', 'longitude': '-73.91616546119305', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department issued a summons in response to the complaint.,,,,,,
58973537,2023-09-30T22:31:46.000,2023-09-30T22:45:04.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11374,61-11 ALDERTON STREET,ALDERTON STREET,61 ROAD,62 AVENUE,61 ROAD,62 AVENUE,ADDRESS,REGO PARK,ALDERTON STREET,Closed,2023-09-30T22:45:07.000,06 QUEENS,4031010087,QUEENS,1020122,204620,MOBILE,Unspecified,QUEENS,40.728238583724035,-73.87057448524045,"{'latitude': '40.728238583724035', 'longitude': '-73.87057448524045', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,
58973807,2023-09-30T22:31:41.000,2023-10-04T12:05:38.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11217,54 SOUTH OXFORD STREET,SOUTH OXFORD STREET,,,,,ADDRESS,BROOKLYN,,Closed,2023-10-04T00:00:00.000,02 BROOKLYN,3021000065,BROOKLYN,991511,189976,ONLINE,Unspecified,BROOKLYN,40.688114028409665,-73.97381821941632,"{'latitude': '40.688114028409665', 'longitude': '-73.97381821941632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",,,,,,
