unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction
58825975,2023-09-15T23:56:07.000,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,10304,49 BROWNELL STREET,BROWNELL STREET,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,01 STATEN ISLAND,5005280004,STATEN ISLAND,963364,166674,ONLINE,Unspecified,STATEN ISLAND,40.62413350402601,-74.07523874621491,"{'latitude': '40.62413350402601', 'longitude': '-74.07523874621491', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T10:10:29.000,,,,,,,
58822775,2023-09-15T23:56:07.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,10304,49 BROWNELL STREET,BROWNELL STREET,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,01 STATEN ISLAND,5005280004,STATEN ISLAND,963364,166674,ONLINE,Unspecified,STATEN ISLAND,40.62413350402601,-74.07523874621491,"{'latitude': '40.62413350402601', 'longitude': '-74.07523874621491', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T10:10:29.000,,,,,,,
58825219,2023-09-15T23:56:07.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10304,49 BROWNELL STREET,BROWNELL STREET,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,01 STATEN ISLAND,5005280004,STATEN ISLAND,963364,166674,ONLINE,Unspecified,STATEN ISLAND,40.62413350402601,-74.07523874621491,"{'latitude': '40.62413350402601', 'longitude': '-74.07523874621491', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T10:10:29.000,,,,,,,
58820153,2023-09-15T23:56:07.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10304,49 BROWNELL STREET,BROWNELL STREET,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,01 STATEN ISLAND,5005280004,STATEN ISLAND,963364,166674,ONLINE,Unspecified,STATEN ISLAND,40.62413350402601,-74.07523874621491,"{'latitude': '40.62413350402601', 'longitude': '-74.07523874621491', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T10:10:28.000,,,,,,,
58826069,2023-09-15T23:56:06.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11201,43 COLUMBIA PLACE,COLUMBIA PLACE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-20T00:00:00.000,02 BROOKLYN,3002590008,BROOKLYN,984596,191681,ONLINE,Unspecified,BROOKLYN,40.69279683228778,-73.99875230241244,"{'latitude': '40.69279683228778', 'longitude': '-73.99875230241244', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T21:23:53.000,,,,,,,
58820539,2023-09-15T23:56:03.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11418,100-07 88 AVENUE,88 AVENUE,DEAD END,102 STREET,DEAD END,102 STREET,ADDRESS,RICHMOND HILL,88 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T02:07:16.000,09 QUEENS,4092870029,QUEENS,1027010,191947,MOBILE,Unspecified,QUEENS,40.69342364798294,-73.84580324288551,"{'latitude': '40.69342364798294', 'longitude': '-73.84580324288551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T02:07:10.000,,,,,,,
58825568,2023-09-15T23:56:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10003,,,,,3 AVENUE,EAST 16 STREET,INTERSECTION,MANHATTAN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-18T14:52:00.000,06 MANHATTAN,,MANHATTAN,988071,206918,ONLINE,Unspecified,MANHATTAN,40.734617942572335,-73.98621258752621,"{'latitude': '40.734617942572335', 'longitude': '-73.98621258752621', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T14:52:00.000,N/A,,,,,,
58819955,2023-09-15T23:55:47.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11220,4902 6 AVENUE,6 AVENUE,49 STREET,50 STREET,49 STREET,50 STREET,ADDRESS,BROOKLYN,6 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T00:22:59.000,07 BROOKLYN,3007840038,BROOKLYN,982131,173994,ONLINE,Unspecified,BROOKLYN,40.64424971621447,-74.00763568656913,"{'latitude': '40.64424971621447', 'longitude': '-74.00763568656913', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:22:57.000,,,,,,,
58825781,2023-09-15T23:55:42.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11101,10-36 44 DRIVE,44 DRIVE,10 STREET,11 STREET,10 STREET,11 STREET,ADDRESS,LONG ISLAND CITY,44 DRIVE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:44:49.000,02 QUEENS,4000510028,QUEENS,997876,212076,ONLINE,Unspecified,QUEENS,40.74876569489515,-73.95082251014443,"{'latitude': '40.74876569489515', 'longitude': '-73.95082251014443', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:44:45.000,,,,,,,
58825808,2023-09-15T23:55:35.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11224,2832 WEST   23 STREET,WEST   23 STREET,NEPTUNE AVENUE,MERMAID AVENUE,NEPTUNE AVENUE,MERMAID AVENUE,ADDRESS,BROOKLYN,WEST   23 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T00:30:48.000,13 BROOKLYN,3070150015,BROOKLYN,986923,149719,ONLINE,Unspecified,BROOKLYN,40.577619686746154,-73.99037761720334,"{'latitude': '40.577619686746154', 'longitude': '-73.99037761720334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:30:45.000,,,,,,,
58820010,2023-09-15T23:55:20.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10013,119 LAFAYETTE STREET,LAFAYETTE STREET,CANAL STREET,HOWARD STREET,CANAL STREET,HOWARD STREET,ADDRESS,NEW YORK,LAFAYETTE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:08:08.000,02 MANHATTAN,1002080001,MANHATTAN,984149,201082,ONLINE,Unspecified,MANHATTAN,40.71860036751962,-74.00036435330826,"{'latitude': '40.71860036751962', 'longitude': '-74.00036435330826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:08:04.000,,,,,,,
58824213,2023-09-15T23:55:03.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11233,213 SUMPTER STREET,SUMPTER STREET,HOWARD AVENUE,SARATOGA AVENUE,HOWARD AVENUE,SARATOGA AVENUE,ADDRESS,BROOKLYN,SUMPTER STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:46:00.000,03 BROOKLYN,3015190143,BROOKLYN,1007206,187145,ONLINE,Unspecified,BROOKLYN,40.680316791210835,-73.91723471118816,"{'latitude': '40.680316791210835', 'longitude': '-73.91723471118816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:45:56.000,,,,,,,
58822252,2023-09-15T23:54:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11418,100-07 88 AVENUE,88 AVENUE,DEAD END,102 STREET,DEAD END,102 STREET,ADDRESS,RICHMOND HILL,88 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T02:07:07.000,09 QUEENS,4092870029,QUEENS,1027010,191947,MOBILE,Unspecified,QUEENS,40.69342364798294,-73.84580324288551,"{'latitude': '40.69342364798294', 'longitude': '-73.84580324288551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T02:07:01.000,,,,,,,
58821577,2023-09-15T23:54:54.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,124 ORCHARD STREET,ORCHARD STREET,DELANCEY STREET,RIVINGTON STREET,DELANCEY STREET,RIVINGTON STREET,ADDRESS,NEW YORK,ORCHARD STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T00:51:24.000,03 MANHATTAN,1004100002,MANHATTAN,987174,201455,ONLINE,Unspecified,MANHATTAN,40.71962368014767,-73.98945162937031,"{'latitude': '40.71962368014767', 'longitude': '-73.98945162937031', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:51:18.000,,,,,,,
58824541,2023-09-15T23:54:49.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11223,1980 WEST    6 STREET,WEST    6 STREET,AVENUE S,AVENUE T,AVENUE S,AVENUE T,ADDRESS,BROOKLYN,WEST    6 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T02:20:01.000,11 BROOKLYN,3070820039,BROOKLYN,990340,157664,MOBILE,Unspecified,BROOKLYN,40.59942543638789,-73.97806979062088,"{'latitude': '40.59942543638789', 'longitude': '-73.97806979062088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T02:19:57.000,,,,,,,
58824132,2023-09-15T23:54:44.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10032,2145 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  166 STREET,WEST  167 STREET,WEST  166 STREET,WEST  167 STREET,ADDRESS,NEW YORK,AMSTERDAM AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T23:59:43.000,12 MANHATTAN,1021110083,MANHATTAN,1001495,244885,ONLINE,Unspecified,MANHATTAN,40.8388111804014,-73.93767696356736,"{'latitude': '40.8388111804014', 'longitude': '-73.93767696356736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T23:59:39.000,,,,,,,
58821147,2023-09-15T23:54:42.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,1815 GRAND CONCOURSE,GRAND CONCOURSE,EASTBURN AVENUE,EAST  176 STREET,EASTBURN AVENUE,EAST  176 STREET,ADDRESS,BRONX,GRAND CONCOURSE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T02:10:41.000,05 BRONX,2028260072,BRONX,1009655,247989,ONLINE,Unspecified,BRONX,40.84731104281934,-73.908175168756,"{'latitude': '40.84731104281934', 'longitude': '-73.908175168756', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T02:10:36.000,,,,,,,
58825832,2023-09-15T23:54:36.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11356,5-19 119 STREET,119 STREET,POPPENHUSEN AVENUE,6 AVENUE,POPPENHUSEN AVENUE,6 AVENUE,ADDRESS,COLLEGE POINT,119 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T00:17:24.000,07 QUEENS,,QUEENS,1025607,227766,ONLINE,Unspecified,QUEENS,40.79174438165612,-73.85064235296502,"{'latitude': '40.79174438165612', 'longitude': '-73.85064235296502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:17:22.000,,,,,,,
58822332,2023-09-15T23:54:34.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11223,1735 WEST   11 STREET,WEST   11 STREET,QUENTIN ROAD,HIGHLAWN AVENUE,QUENTIN ROAD,HIGHLAWN AVENUE,ADDRESS,BROOKLYN,WEST   11 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T02:07:11.000,11 BROOKLYN,3066460080,BROOKLYN,988748,159493,PHONE,Unspecified,BROOKLYN,40.60444662072828,-73.98380139573278,"{'latitude': '40.60444662072828', 'longitude': '-73.98380139573278', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T02:07:04.000,,,,,,,
58820570,2023-09-15T23:54:26.000,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10036,9 AVENUE,9 AVENUE,9 AVENUE,WEST   45 STREET,9 AVENUE,WEST   45 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:33:48.000,04 MANHATTAN,,MANHATTAN,986679,216294,PHONE,Unspecified,MANHATTAN,40.76035319755436,-73.99123199048147,"{'latitude': '40.76035319755436', 'longitude': '-73.99123199048147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:33:43.000,,,,,,,
58825896,2023-09-15T23:54:26.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10013,CANAL STREET,CANAL STREET,CANAL STREET,LAFAYETTE STREET,CANAL STREET,LAFAYETTE STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:07:39.000,01 MANHATTAN,,MANHATTAN,984103,201020,ONLINE,Unspecified,MANHATTAN,40.71843019177559,-74.00053029504515,"{'latitude': '40.71843019177559', 'longitude': '-74.00053029504515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:07:36.000,,,,,,,
58821677,2023-09-15T23:54:20.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10035,50 PALADINO AVENUE,PALADINO AVENUE,1 AVENUE,EAST  120 STREET,1 AVENUE,EAST  120 STREET,ADDRESS,NEW YORK,PALADINO AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:08:23.000,11 MANHATTAN,1018080001,MANHATTAN,1003628,230443,ONLINE,Unspecified,MANHATTAN,40.7991675460131,-73.93001005544936,"{'latitude': '40.7991675460131', 'longitude': '-73.93001005544936', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:08:18.000,,,,,,,
58822593,2023-09-15T23:54:08.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10036,9 AVENUE,9 AVENUE,9 AVENUE,WEST   45 STREET,9 AVENUE,WEST   45 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T00:13:08.000,04 MANHATTAN,,MANHATTAN,986679,216294,ONLINE,Unspecified,MANHATTAN,40.76035319755436,-73.99123199048147,"{'latitude': '40.76035319755436', 'longitude': '-73.99123199048147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:13:03.000,,,,,,,
58821562,2023-09-15T23:54:08.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11214,1973 81 STREET,81 STREET,19 AVENUE,20 AVENUE,19 AVENUE,20 AVENUE,ADDRESS,BROOKLYN,81 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:29:28.000,11 BROOKLYN,3062860043,BROOKLYN,985351,160750,ONLINE,Unspecified,BROOKLYN,40.60789790205374,-73.99603477430168,"{'latitude': '40.60789790205374', 'longitude': '-73.99603477430168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:29:22.000,,,,,,,
58822506,2023-09-15T23:53:48.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10025,8 WEST  105 STREET,WEST  105 STREET,CENTRAL PARK WEST,MANHATTAN AVENUE,CENTRAL PARK WEST,MANHATTAN AVENUE,ADDRESS,NEW YORK,WEST  105 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:19:33.000,07 MANHATTAN,1018400039,MANHATTAN,995081,229834,MOBILE,Unspecified,MANHATTAN,40.797510617212545,-73.9608813001546,"{'latitude': '40.797510617212545', 'longitude': '-73.9608813001546', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:19:29.000,,,,,,,
58824384,2023-09-15T23:53:45.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11354,34-15 PARSONS BOULEVARD,PARSONS BOULEVARD,,,,,ADDRESS,FLUSHING,,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-17T00:00:00.000,07 QUEENS,4049950001,QUEENS,1033035,218627,PHONE,Unspecified,QUEENS,40.76662240767543,-73.82388312211818,"{'latitude': '40.76662240767543', 'longitude': '-73.82388312211818', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-17T14:16:08.000,,,,,,,
58823279,2023-09-15T23:53:39.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11224,2832 WEST   23 STREET,WEST   23 STREET,NEPTUNE AVENUE,MERMAID AVENUE,NEPTUNE AVENUE,MERMAID AVENUE,ADDRESS,BROOKLYN,WEST   23 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T00:29:34.000,13 BROOKLYN,3070150015,BROOKLYN,986923,149719,ONLINE,Unspecified,BROOKLYN,40.577619686746154,-73.99037761720334,"{'latitude': '40.577619686746154', 'longitude': '-73.99037761720334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:29:30.000,,,,,,,
58824185,2023-09-15T23:53:37.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,91 2 AVENUE,2 AVENUE,EAST    5 STREET,EAST    6 STREET,EAST    5 STREET,EAST    6 STREET,ADDRESS,NEW YORK,2 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T00:13:53.000,03 MANHATTAN,1004610033,MANHATTAN,987344,204143,ONLINE,Unspecified,MANHATTAN,40.72700153147677,-73.9888371162854,"{'latitude': '40.72700153147677', 'longitude': '-73.9888371162854', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:13:47.000,,,,,,,
58822505,2023-09-15T23:53:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11377,67 STREET,67 STREET,67 STREET,LAUREL HILL BOULEVARD,67 STREET,LAUREL HILL BOULEVARD,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T00:21:53.000,02 QUEENS,,QUEENS,1012613,208838,PHONE,Unspecified,QUEENS,40.73984321230264,-73.89764900924476,"{'latitude': '40.73984321230264', 'longitude': '-73.89764900924476', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:21:49.000,,,,,,,
