unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location,vehicle_type,due_date,taxi_company_borough
58832175,2023-09-16T15:59:39.000,2023-09-16T16:30:14.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11236,1033 EAST  101 STREET,EAST  101 STREET,AVENUE J,AVENUE K,AVENUE J,AVENUE K,ADDRESS,BROOKLYN,EAST  101 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T16:30:17.000,18 BROOKLYN,3082280026,BROOKLYN,1013391,173660,ONLINE,Unspecified,BROOKLYN,40.64328527049689,-73.89499368611473,"{'latitude': '40.64328527049689', 'longitude': '-73.89499368611473', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58836663,2023-09-16T15:59:27.000,2023-09-19T12:52:07.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Street,10471,420 WEST  261 STREET,WEST  261 STREET,LIEBIG AVENUE,DELAFIELD AVENUE,LIEBIG AVENUE,DELAFIELD AVENUE,ADDRESS,BRONX,WEST  261 STREET,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-19T12:52:13.000,08 BRONX,2058790754,BRONX,1011467,270768,PHONE,Unspecified,BRONX,40.909826897828026,-73.90153326040327,"{'latitude': '40.909826897828026', 'longitude': '-73.90153326040327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58833505,2023-09-16T15:59:22.000,2023-09-16T17:32:42.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11433,107-71 159 STREET,159 STREET,107 AVENUE,108 AVENUE,107 AVENUE,108 AVENUE,ADDRESS,JAMAICA,159 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T17:32:45.000,12 QUEENS,,QUEENS,1041350,192711,ONLINE,Unspecified,QUEENS,40.69543974243949,-73.7940854856159,"{'latitude': '40.69543974243949', 'longitude': '-73.7940854856159', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58834362,2023-09-16T15:59:00.000,2023-09-16T19:45:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,10029,127 EAST  107 STREET,EAST  107 STREET,PARK AVE,LEXINGTON AVE,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,2023-09-16T19:45:00.000,11 MANHATTAN,1016350017,MANHATTAN,999101,228256,MOBILE,Unspecified,MANHATTAN,40.79317359387582,-73.94636561891272,"{'latitude': '40.79317359387582', 'longitude': '-73.94636561891272', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58829393,2023-09-16T15:58:55.000,2023-09-16T16:28:21.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10040,79 SHERMAN AVENUE,SHERMAN AVENUE,THAYER STREET,DYCKMAN STREET,THAYER STREET,DYCKMAN STREET,ADDRESS,NEW YORK,SHERMAN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T16:28:25.000,12 MANHATTAN,1021740038,MANHATTAN,1004626,253862,ONLINE,Unspecified,MANHATTAN,40.86344370639763,-73.92633432299584,"{'latitude': '40.86344370639763', 'longitude': '-73.92633432299584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58829252,2023-09-16T15:58:51.000,2023-09-16T16:21:01.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,1 WEST    3 STREET,WEST    3 STREET,BROADWAY,MERCER STREET,BROADWAY,MERCER STREET,ADDRESS,NEW YORK,WEST    3 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T16:21:04.000,02 MANHATTAN,1005357501,MANHATTAN,985672,204464,ONLINE,Unspecified,MANHATTAN,40.72788302506925,-73.99486947945023,"{'latitude': '40.72788302506925', 'longitude': '-73.99486947945023', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58830534,2023-09-16T15:58:17.000,2023-09-16T23:28:47.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11378,53-57 61 STREET,61 STREET,62 STREET,54 AVENUE,62 STREET,54 AVENUE,ADDRESS,MASPETH,61 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-16T23:28:51.000,05 QUEENS,4023670024,QUEENS,1010850,204818,PHONE,Unspecified,QUEENS,40.72881478716921,-73.90402687620221,"{'latitude': '40.72881478716921', 'longitude': '-73.90402687620221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58836424,2023-09-16T15:57:58.000,2023-09-27T19:45:14.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11225,501 LEFFERTS AVENUE,LEFFERTS AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-27T00:00:00.000,09 BROOKLYN,3013240001,BROOKLYN,999590,180736,ONLINE,Unspecified,BROOKLYN,40.6627420000501,-73.94470792299451,"{'latitude': '40.6627420000501', 'longitude': '-73.94470792299451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58836560,2023-09-16T15:57:43.000,2023-09-17T08:53:25.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11419,107-18 112 STREET,112 STREET,107 AVENUE,109 AVENUE,107 AVENUE,109 AVENUE,ADDRESS,SOUTH RICHMOND HILL,112 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T08:53:30.000,10 QUEENS,4095490015,QUEENS,1031693,187930,MOBILE,Unspecified,QUEENS,40.68237406044833,-73.82894421299964,"{'latitude': '40.68237406044833', 'longitude': '-73.82894421299964', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58834232,2023-09-16T15:57:29.000,2023-09-16T16:02:12.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10026,32 MORNINGSIDE AVENUE,MORNINGSIDE AVENUE,WEST  117 STREET,WEST  118 STREET,WEST  117 STREET,WEST  118 STREET,ADDRESS,NEW YORK,MORNINGSIDE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T16:02:17.000,10 MANHATTAN,1019447502,MANHATTAN,996001,233111,MOBILE,Unspecified,MANHATTAN,40.80650390791891,-73.95755276938364,"{'latitude': '40.80650390791891', 'longitude': '-73.95755276938364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58828377,2023-09-16T15:57:04.000,2023-09-16T16:57:10.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11206,991 MYRTLE AVENUE,MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE,MARCUS GARVEY BOULEVARD,ADDRESS,BROOKLYN,MYRTLE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T16:57:13.000,03 BROOKLYN,3017490015,BROOKLYN,1000273,192922,MOBILE,Unspecified,BROOKLYN,40.69618859110066,-73.94221711868975,"{'latitude': '40.69618859110066', 'longitude': '-73.94221711868975', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58834094,2023-09-16T15:57:00.000,2023-09-18T12:29:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10305,192 NORWAY AVENUE,NORWAY AVENUE,MC CLEAN AVENUE,CAMERON AVENUE,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Sanitation collected the E-waste.,2023-09-18T12:29:00.000,02 STATEN ISLAND,5033920041,STATEN ISLAND,962386,155582,PHONE,Unspecified,STATEN ISLAND,40.5936858914575,-74.0787259349945,"{'latitude': '40.5936858914575', 'longitude': '-74.0787259349945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58827898,2023-09-16T15:56:47.000,2023-09-16T18:12:39.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10458,2436 CAMBRELENG AVENUE,CAMBRELENG AVENUE,EAST  188 STREET,EAST  189 STREET,EAST  188 STREET,EAST  189 STREET,ADDRESS,BRONX,CAMBRELENG AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T18:12:44.000,06 BRONX,2030900040,BRONX,1016198,251005,PHONE,Unspecified,BRONX,40.855567811676266,-73.88451154469847,"{'latitude': '40.855567811676266', 'longitude': '-73.88451154469847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58830879,2023-09-16T15:56:36.000,2023-09-16T16:42:32.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,160 MADISON STREET,MADISON STREET,PIKE STREET,RUTGERS STREET,PIKE STREET,RUTGERS STREET,ADDRESS,NEW YORK,MADISON STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T16:42:35.000,03 MANHATTAN,1002550001,MANHATTAN,986489,198855,ONLINE,Unspecified,MANHATTAN,40.71248750259453,-73.9919236411543,"{'latitude': '40.71248750259453', 'longitude': '-73.9919236411543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58834912,2023-09-16T15:56:33.000,2023-09-16T16:10:45.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11217,30 LAFAYETTE AVENUE,LAFAYETTE AVENUE,ASHLAND PLACE,ST FELIX STREET,ASHLAND PLACE,ST FELIX STREET,ADDRESS,BROOKLYN,LAFAYETTE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T16:10:49.000,02 BROOKLYN,3021110015,BROOKLYN,990424,189521,ONLINE,Unspecified,BROOKLYN,40.68686598279913,-73.97773815078145,"{'latitude': '40.68686598279913', 'longitude': '-73.97773815078145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58826915,2023-09-16T15:56:30.000,2023-09-16T18:19:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11434,129-21S 154 STREET,154 STREET,129 AVENUE,132 AVENUE,129 AVENUE,132 AVENUE,ADDRESS,JAMAICA,154 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T18:19:27.000,12 QUEENS,,QUEENS,1044043,184698,ONLINE,Unspecified,QUEENS,40.67342816818678,-73.78444511107647,"{'latitude': '40.67342816818678', 'longitude': '-73.78444511107647', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58830552,2023-09-16T15:56:26.000,2023-09-16T17:17:24.000,DPR,Department of Parks and Recreation,Violation of Park Rules,BBQ Outside Authorized Area,Street/Curbside,11220,4524 5 AVENUE,5 AVENUE,45 STREET,46 STREET,45 STREET,46 STREET,ADDRESS,BROOKLYN,5 AVENUE,Closed,NYC Parks didn't take action because the issue you reported is out of their jurisdiction.,2023-09-16T17:17:28.000,07 BROOKLYN,3007470045,BROOKLYN,982141,175262,PHONE,Unspecified,BROOKLYN,40.647730104866746,-74.00760004860872,"{'latitude': '40.647730104866746', 'longitude': '-74.00760004860872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58836542,2023-09-16T15:56:22.000,2023-09-16T15:56:22.000,DOHMH,Department of Health and Mental Hygiene,Unleashed Dog,Unleashed Dog in Public,Public/Unfenced Area,11419,108-16 101 AVENUE,101 AVENUE,108 STREET,109 STREET,108 STREET,109 STREET,ADDRESS,SOUTH RICHMOND HILL,101 AVENUE,Closed,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",2023-09-19T12:13:19.000,09 QUEENS,4094260003,QUEENS,1030084,189781,ONLINE,Unspecified,QUEENS,40.68746310130753,-73.83473285898938,"{'latitude': '40.68746310130753', 'longitude': '-73.83473285898938', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58831885,2023-09-16T15:56:04.000,2023-09-16T16:56:04.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11234,3411 FILLMORE AVENUE,FILLMORE AVENUE,EAST   34 STREET,EAST   35 STREET,EAST   34 STREET,EAST   35 STREET,ADDRESS,BROOKLYN,FILLMORE AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T16:56:08.000,18 BROOKLYN,3084780006,BROOKLYN,1002445,161723,PHONE,Unspecified,BROOKLYN,40.61054997521997,-73.93446852455627,"{'latitude': '40.61054997521997', 'longitude': '-73.93446852455627', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58836405,2023-09-16T15:55:23.000,2023-09-27T14:43:00.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10039,208 WEST  151 STREET,WEST  151 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-27T00:00:00.000,10 MANHATTAN,1020360038,MANHATTAN,1001791,240054,PHONE,Unspecified,MANHATTAN,40.82555089484149,-73.93661985907333,"{'latitude': '40.82555089484149', 'longitude': '-73.93661985907333', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58826435,2023-09-16T15:54:24.000,2023-09-16T18:36:33.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11365,71-57 161 STREET,161 STREET,SUTTON PLACE,72 AVENUE,SUTTON PLACE,72 AVENUE,ADDRESS,FRESH MEADOWS,161 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T18:36:37.000,08 QUEENS,4068000015,QUEENS,1037432,204767,MOBILE,Unspecified,QUEENS,40.72855492586303,-73.80811932981308,"{'latitude': '40.72855492586303', 'longitude': '-73.80811932981308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58836447,2023-09-16T15:54:01.000,2023-09-18T11:00:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11218,EAST   13 STREET,EAST   13 STREET,CORTELYOU ROAD,DORCHESTER ROAD,,,BLOCKFACE,BROOKLYN,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-18T11:00:00.000,14 BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,N/A,,,,,,,,
58834407,2023-09-16T15:53:35.000,2023-09-16T16:45:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11234,1870 EAST   32 STREET,EAST   32 STREET,AVENUE R,FILLMORE AVENUE,AVENUE R,FILLMORE AVENUE,ADDRESS,BROOKLYN,EAST   32 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T16:45:31.000,18 BROOKLYN,3084750070,BROOKLYN,1001882,161488,PHONE,Unspecified,BROOKLYN,40.609906086829994,-73.9364968494595,"{'latitude': '40.609906086829994', 'longitude': '-73.9364968494595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58834500,2023-09-16T15:53:32.000,2023-09-16T16:12:59.000,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10035,102 RIVERS EDGE ROAD,RIVERS EDGE ROAD,BEND,BEND,BEND,BEND,ADDRESS,NEW YORK,RIVERS EDGE ROAD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T16:13:02.000,11 MANHATTAN,1018190010,MANHATTAN,1003641,226954,PHONE,Unspecified,MANHATTAN,40.78959115975642,-73.92997317573725,"{'latitude': '40.78959115975642', 'longitude': '-73.92997317573725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58832579,2023-09-16T15:53:29.000,2023-09-22T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11226,160 PARKSIDE AVENUE,PARKSIDE AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-09-22T00:00:00.000,14 BROOKLYN,3050530018,BROOKLYN,994541,177719,UNKNOWN,Unspecified,BROOKLYN,40.654468306915255,-73.96291133141843,"{'latitude': '40.654468306915255', 'longitude': '-73.96291133141843', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58833922,2023-09-16T15:53:27.000,2023-10-11T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10467,3440 GATES PLACE,GATES PLACE,,,,,ADDRESS,BRONX,,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-10-11T00:00:00.000,07 BRONX,2033240051,BRONX,1016432,260962,UNKNOWN,Unspecified,BRONX,40.882895863489935,-73.88361784074065,"{'latitude': '40.882895863489935', 'longitude': '-73.88361784074065', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58832899,2023-09-16T15:53:24.000,2023-09-16T18:33:30.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,10463,125 WEST  228 STREET,WEST  228 STREET,MARBLE HILL LANE,MARBLE HILL AVENUE,MARBLE HILL LANE,MARBLE HILL AVENUE,ADDRESS,BRONX,WEST  228 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T18:33:35.000,08 BRONX,1022150623,BRONX,1009558,258629,ONLINE,Unspecified,BRONX,40.876514895888434,-73.90848559174515,"{'latitude': '40.876514895888434', 'longitude': '-73.90848559174515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58833966,2023-09-16T15:53:12.000,2023-09-18T12:45:32.000,DPR,Department of Parks and Recreation,Illegal Tree Damage,Branches Damaged,Street,11232,710 4 AVENUE,4 AVENUE,22 STREET,23 STREET,22 STREET,23 STREET,ADDRESS,BROOKLYN,4 AVENUE,Closed,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information.",2023-09-18T12:45:38.000,07 BROOKLYN,3006450034,BROOKLYN,985257,180484,ONLINE,Unspecified,BROOKLYN,40.66206354696324,-73.9963703682163,"{'latitude': '40.66206354696324', 'longitude': '-73.9963703682163', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
