unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,vehicle_type,taxi_company_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment
58793495,2023-09-12T16:46:17.000,2023-10-09T17:51:08.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10467,3039 WALLACE AVENUE,WALLACE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-09T00:00:00.000,12 BRONX,2045700032,BRONX,1021776,256326,PHONE,Unspecified,BRONX,40.870150385022505,-73.86431793354161,"{'latitude': '40.870150385022505', 'longitude': '-73.86431793354161', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58789360,2023-09-12T16:46:02.000,2023-10-02T08:18:02.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11208,795 FOUNTAIN AVENUE,FOUNTAIN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,05 BROOKLYN,3045650067,BROOKLYN,1020991,180116,PHONE,Unspecified,BROOKLYN,40.66097729732736,-73.86757280976697,"{'latitude': '40.66097729732736', 'longitude': '-73.86757280976697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58793627,2023-09-12T16:46:02.000,2023-10-02T08:18:02.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11208,795 FOUNTAIN AVENUE,FOUNTAIN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,05 BROOKLYN,3045650067,BROOKLYN,1020991,180116,PHONE,Unspecified,BROOKLYN,40.66097729732736,-73.86757280976697,"{'latitude': '40.66097729732736', 'longitude': '-73.86757280976697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58794147,2023-09-12T16:46:01.000,2023-09-13T10:38:33.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10033,711 WEST  181 STREET,WEST  181 STREET,BROADWAY,BENNETT AVENUE,BROADWAY,BENNETT AVENUE,ADDRESS,NEW YORK,WEST  181 STREET,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-13T10:38:37.000,12 MANHATTAN,1021800090,MANHATTAN,1001878,249086,ONLINE,Unspecified,MANHATTAN,40.85034093396441,-73.93628176717353,"{'latitude': '40.85034093396441', 'longitude': '-73.93628176717353', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58794090,2023-09-12T16:45:59.000,2023-09-12T17:24:00.000,NYPD,New York City Police Department,Encampment,N/A,Store/Commercial,10009,400 EAST   13 STREET,EAST   13 STREET,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,ADDRESS,NEW YORK,EAST   13 STREET,Closed,The Police Department visited the location and no Encampment was found.,2023-09-12T17:24:05.000,03 MANHATTAN,1004400008,MANHATTAN,989033,205420,MOBILE,Unspecified,MANHATTAN,40.73050583261899,-73.98274244318435,"{'latitude': '40.73050583261899', 'longitude': '-73.98274244318435', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58790663,2023-09-12T16:45:58.000,2023-09-27T15:28:56.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11225,33 LINCOLN ROAD,LINCOLN ROAD,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,09 BROOKLYN,3050240074,BROOKLYN,994936,180020,PHONE,Unspecified,BROOKLYN,40.66078357838053,-73.96148410898249,"{'latitude': '40.66078357838053', 'longitude': '-73.96148410898249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58796528,2023-09-12T16:45:58.000,2023-09-27T15:28:56.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11225,33 LINCOLN ROAD,LINCOLN ROAD,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,09 BROOKLYN,3050240074,BROOKLYN,994936,180020,PHONE,Unspecified,BROOKLYN,40.66078357838053,-73.96148410898249,"{'latitude': '40.66078357838053', 'longitude': '-73.96148410898249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58797950,2023-09-12T16:45:58.000,2023-09-27T15:28:56.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11225,33 LINCOLN ROAD,LINCOLN ROAD,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-27T00:00:00.000,09 BROOKLYN,3050240074,BROOKLYN,994936,180020,PHONE,Unspecified,BROOKLYN,40.66078357838053,-73.96148410898249,"{'latitude': '40.66078357838053', 'longitude': '-73.96148410898249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58796620,2023-09-12T16:45:57.000,2023-09-12T17:14:28.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11435,144-11 109 AVENUE,109 AVENUE,PINEGROVE STREET,INWOOD STREET,PINEGROVE STREET,INWOOD STREET,ADDRESS,JAMAICA,109 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T17:14:32.000,12 QUEENS,4119320043,QUEENS,1038974,190321,ONLINE,Unspecified,QUEENS,40.688894772301744,-73.80267322304944,"{'latitude': '40.688894772301744', 'longitude': '-73.80267322304944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58794176,2023-09-12T16:45:38.000,2023-09-15T10:07:05.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11429,109-94 COLFAX STREET,COLFAX STREET,208 STREET,110 AVENUE,208 STREET,110 AVENUE,ADDRESS,QUEENS VILLAGE,COLFAX STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T07:03:12.000,13 QUEENS,4109480120,QUEENS,1053930,196964,ONLINE,Unspecified,QUEENS,40.707023075079725,-73.74867560342932,"{'latitude': '40.707023075079725', 'longitude': '-73.74867560342932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58797325,2023-09-12T16:45:33.000,2023-09-12T18:27:02.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11223,1 AVENUE T,AVENUE T,STILLWELL AVENUE,WEST   13 STREET,STILLWELL AVENUE,WEST   13 STREET,ADDRESS,BROOKLYN,AVENUE T,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T18:27:07.000,11 BROOKLYN,3070750048,BROOKLYN,988320,157128,MOBILE,Unspecified,BROOKLYN,40.59795538269864,-73.98534417297984,"{'latitude': '40.59795538269864', 'longitude': '-73.98534417297984', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58789010,2023-09-12T16:45:30.000,2023-09-12T17:01:19.000,NYPD,New York City Police Department,Urinating in Public,N/A,Street/Sidewalk,10025,BROADWAY,BROADWAY,BROADWAY,WEST  103 STREET,BROADWAY,WEST  103 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T17:01:25.000,07 MANHATTAN,,MANHATTAN,992960,230413,PHONE,Unspecified,MANHATTAN,40.79910215965054,-73.96854103795626,"{'latitude': '40.79910215965054', 'longitude': '-73.96854103795626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58790138,2023-09-12T16:45:22.000,2023-09-12T18:33:43.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11223,1994 WEST   13 STREET,WEST   13 STREET,AVENUE S,AVENUE T,AVENUE S,AVENUE T,ADDRESS,BROOKLYN,WEST   13 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T18:33:47.000,11 BROOKLYN,3070750046,BROOKLYN,988531,157313,MOBILE,Unspecified,BROOKLYN,40.59846307088489,-73.98458425735568,"{'latitude': '40.59846307088489', 'longitude': '-73.98458425735568', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58798476,2023-09-12T16:44:54.000,2023-09-13T11:47:35.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11210,1336 ROGERS AVENUE,ROGERS AVENUE,FOSTER AVENUE,FARRAGUT ROAD,FOSTER AVENUE,FARRAGUT ROAD,ADDRESS,BROOKLYN,ROGERS AVENUE,Closed,The Department of Sanitation investigated this complaint and no DSNY related conditions/violations were observed. Location will be referred to the appropriate agency for further action.,2023-09-13T11:47:35.000,14 BROOKLYN,3052280067,BROOKLYN,997838,171434,PHONE,Unspecified,BROOKLYN,40.63721289576337,-73.95104163592175,"{'latitude': '40.63721289576337', 'longitude': '-73.95104163592175', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58796855,2023-09-12T16:44:46.000,2023-09-19T17:16:51.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11205,257 CARLTON AVENUE,CARLTON AVENUE,WILLOUGHBY AVENUE,DEKALB AVENUE,WILLOUGHBY AVENUE,DEKALB AVENUE,ADDRESS,BROOKLYN,CARLTON AVENUE,Closed,The Department of Transportation has approved the sidewalk re-inspection request. The property owner will be notified by mail within 120 days with the date of re-inspection.,2023-09-19T17:16:55.000,02 BROOKLYN,3020900007,BROOKLYN,991948,190720,PHONE,Unspecified,BROOKLYN,40.690155767971255,-73.97224163078141,"{'latitude': '40.690155767971255', 'longitude': '-73.97224163078141', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58790360,2023-09-12T16:44:19.000,2023-09-12T17:40:16.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11377,41-22 56 STREET,56 STREET,ROOSEVELT AVENUE,43 AVENUE,ROOSEVELT AVENUE,43 AVENUE,ADDRESS,WOODSIDE,56 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-12T17:40:21.000,02 QUEENS,4013250058,QUEENS,1009548,210655,ONLINE,Unspecified,QUEENS,40.74483972003458,-73.90870255500461,"{'latitude': '40.74483972003458', 'longitude': '-73.90870255500461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58797390,2023-09-12T16:44:10.000,2023-09-12T18:34:00.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11223,1 AVENUE T,AVENUE T,STILLWELL AVENUE,WEST   13 STREET,STILLWELL AVENUE,WEST   13 STREET,ADDRESS,BROOKLYN,AVENUE T,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T18:34:03.000,11 BROOKLYN,3070750048,BROOKLYN,988320,157128,MOBILE,Unspecified,BROOKLYN,40.59795538269864,-73.98534417297984,"{'latitude': '40.59795538269864', 'longitude': '-73.98534417297984', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58795816,2023-09-12T16:44:00.000,2023-09-12T17:45:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10040,137 NAGLE AVENUE,NAGLE AVENUE,ARDEN ST,THAYER ST,,,ADDRESS,NEW YORK,,Closed,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",2023-09-12T17:45:00.000,12 MANHATTAN,1021730023,MANHATTAN,1004616,252970,PHONE,Unspecified,MANHATTAN,40.86099545951713,-73.92637318668304,"{'latitude': '40.86099545951713', 'longitude': '-73.92637318668304', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58791509,2023-09-12T16:44:00.000,2023-09-13T15:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,10471,6211 BROADWAY,BROADWAY,W 251 ST,W 252 ST,,,ADDRESS,BRONX,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-13T15:00:00.000,08 BRONX,2058251572,BRONX,1012781,265876,ONLINE,Unspecified,BRONX,40.896395792492356,-73.89680027435357,"{'latitude': '40.896395792492356', 'longitude': '-73.89680027435357', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,
58793172,2023-09-12T16:43:53.000,2023-09-14T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,,11219,913 45 STREET,45 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-14T00:00:00.000,12 BROOKLYN,3056070071,BROOKLYN,984786,173275,UNKNOWN,Unspecified,BROOKLYN,40.64227645309862,-73.99806861398618,"{'latitude': '40.64227645309862', 'longitude': '-73.99806861398618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58798778,2023-09-12T16:43:45.000,2023-09-12T18:07:27.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11221,1249 DEKALB AVENUE,DEKALB AVENUE,EVERGREEN AVENUE,MYRTLE AVENUE,EVERGREEN AVENUE,MYRTLE AVENUE,ADDRESS,BROOKLYN,DEKALB AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-12T18:07:31.000,04 BROOKLYN,3032327503,BROOKLYN,1004557,193093,MOBILE,Unspecified,BROOKLYN,40.69664915282313,-73.92676745127983,"{'latitude': '40.69664915282313', 'longitude': '-73.92676745127983', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58799418,2023-09-12T16:43:32.000,2023-09-12T16:52:10.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11432,82-68 164 STREET,164 STREET,82 ROAD,GRAND CENTRAL PARKWAY,82 ROAD,GRAND CENTRAL PARKWAY,ADDRESS,JAMAICA,164 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T16:52:15.000,08 QUEENS,4068580001,QUEENS,1038740,200651,ONLINE,Unspecified,QUEENS,40.71724956934783,-73.80343340538089,"{'latitude': '40.71724956934783', 'longitude': '-73.80343340538089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58791055,2023-09-12T16:43:25.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,10462,2179 WHITE PLAINS ROAD,WHITE PLAINS ROAD,LYDIG AVENUE,PELHAM PARKWAY SOUTH,LYDIG AVENUE,PELHAM PARKWAY SOUTH,ADDRESS,BRONX,WHITE PLAINS ROAD,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-13T09:44:44.000,11 BRONX,2043170056,BRONX,1020859,251081,PHONE,Unspecified,BRONX,40.85575831200495,-73.86766215871786,"{'latitude': '40.85575831200495', 'longitude': '-73.86766215871786', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58798016,2023-09-12T16:43:18.000,2023-09-12T16:53:29.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11432,82-68 164 STREET,164 STREET,82 ROAD,GRAND CENTRAL PARKWAY,82 ROAD,GRAND CENTRAL PARKWAY,ADDRESS,JAMAICA,164 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T16:53:35.000,08 QUEENS,4068580001,QUEENS,1038740,200651,ONLINE,Unspecified,QUEENS,40.71724956934783,-73.80343340538089,"{'latitude': '40.71724956934783', 'longitude': '-73.80343340538089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58790652,2023-09-12T16:43:10.000,,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10451,3213 3 AVENUE,3 AVENUE,,,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-12T00:00:00.000,03 BRONX,2023677502,BRONX,1009423,239317,PHONE,Unspecified,BRONX,40.823509586491795,-73.90904626352118,"{'latitude': '40.823509586491795', 'longitude': '-73.90904626352118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58796561,2023-09-12T16:43:10.000,,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10451,3213 3 AVENUE,3 AVENUE,,,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-12T00:00:00.000,03 BRONX,2023677502,BRONX,1009423,239317,PHONE,Unspecified,BRONX,40.823509586491795,-73.90904626352118,"{'latitude': '40.823509586491795', 'longitude': '-73.90904626352118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58796340,2023-09-12T16:43:10.000,,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,10451,3213 3 AVENUE,3 AVENUE,,,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-12T00:00:00.000,03 BRONX,2023677502,BRONX,1009423,239317,PHONE,Unspecified,BRONX,40.823509586491795,-73.90904626352118,"{'latitude': '40.823509586491795', 'longitude': '-73.90904626352118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
