unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_company_borough
58800992,2023-09-14T01:37:46.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10038,97 NASSAU STREET,NASSAU STREET,ADDRESS,NEW YORK,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T02:14:44.000,01 MANHATTAN,1000890001,MANHATTAN,982164,198112,MOBILE,Unspecified,MANHATTAN,40.71044818165705,-74.00752423810641,"{'latitude': '40.71044818165705', 'longitude': '-74.00752423810641', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T02:14:40.000,FULTON STREET,ANN STREET,FULTON STREET,ANN STREET,NASSAU STREET,,,,,
58808318,2023-09-14T01:37:39.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10023,CENTRAL PARK WEST,CENTRAL PARK WEST,INTERSECTION,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T02:01:22.000,07 MANHATTAN,,MANHATTAN,989759,220002,ONLINE,Unspecified,MANHATTAN,40.770529316094844,-73.98011101458165,"{'latitude': '40.770529316094844', 'longitude': '-73.98011101458165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T02:01:15.000,CENTRAL PARK WEST,WEST   63 STREET,CENTRAL PARK WEST,WEST   63 STREET,,,,,,
58804932,2023-09-14T01:36:31.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10305,25 GARSON AVENUE,GARSON AVENUE,ADDRESS,STATEN ISLAND,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T02:35:02.000,02 STATEN ISLAND,5030850033,STATEN ISLAND,965195,158793,ONLINE,Unspecified,STATEN ISLAND,40.602505918935826,-74.06862060073328,"{'latitude': '40.602505918935826', 'longitude': '-74.06862060073328', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T02:34:58.000,CLEVELAND PLACE,DEAD END,CLEVELAND PLACE,DEAD END,GARSON AVENUE,,,,,
58808246,2023-09-14T01:36:07.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11233,1639 ST JOHNS PLACE,ST JOHNS PLACE,ADDRESS,BROOKLYN,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-14T02:08:07.000,08 BROOKLYN,3013810052,BROOKLYN,1005602,183442,ONLINE,Unspecified,BROOKLYN,40.67015690852923,-73.92302948170764,"{'latitude': '40.67015690852923', 'longitude': '-73.92302948170764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T02:08:01.000,BUFFALO AVENUE,RALPH AVENUE,BUFFALO AVENUE,RALPH AVENUE,ST JOHNS PLACE,,,,,
58808541,2023-09-14T01:35:38.000,DOT,Department of Transportation,Street Condition,Pothole,,10453,JEROME AVENUE,JEROME AVENUE,BLOCKFACE,BRONX,N/A,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-14T09:40:00.000,05 BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,2023-09-14T09:40:00.000,WEST CLIFFORD PLACE,EAST  175 STREET,,,,,,,,
58818968,2023-09-14T01:35:25.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10452,1360 OGDEN AVENUE,OGDEN AVENUE,ADDRESS,BRONX,,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-19T00:00:00.000,04 BRONX,2025220043,BRONX,1005118,245993,PHONE,Unspecified,BRONX,40.841844498389676,-73.92458008252996,"{'latitude': '40.841844498389676', 'longitude': '-73.92458008252996', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T14:51:07.000,,,,,,,,,,
58801804,2023-09-14T01:35:06.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11691,20-17 CORNAGA AVENUE,CORNAGA AVENUE,ADDRESS,FAR ROCKAWAY,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T01:55:31.000,14 QUEENS,4157500029,QUEENS,1052553,158785,ONLINE,Unspecified,QUEENS,40.60224122932259,-73.75402886431083,"{'latitude': '40.60224122932259', 'longitude': '-73.75402886431083', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T01:55:24.000,BEACH   20 STREET,BEACH   21 STREET,BEACH   20 STREET,BEACH   21 STREET,CORNAGA AVENUE,,,,,
58817814,2023-09-14T01:34:28.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10019,330 WEST   56 STREET,WEST   56 STREET,ADDRESS,NEW YORK,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-09T00:00:00.000,04 MANHATTAN,1010460047,MANHATTAN,988570,218524,ONLINE,Unspecified,MANHATTAN,40.76647325108518,-73.98440457722702,"{'latitude': '40.76647325108518', 'longitude': '-73.98440457722702', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-11-09T12:18:16.000,,,,,,,,,,
58800485,2023-09-14T01:33:54.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,675 RIVERSIDE DRIVE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T01:45:59.000,09 MANHATTAN,1021010055,MANHATTAN,997467,240493,ONLINE,Unspecified,MANHATTAN,40.826763353357194,-73.952242713918,"{'latitude': '40.826763353357194', 'longitude': '-73.952242713918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T01:45:54.000,WEST  144 STREET,WEST  145 STREET,WEST  144 STREET,WEST  145 STREET,RIVERSIDE DRIVE,,,,,
58802219,2023-09-14T01:33:49.000,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11103,30-66 37 STREET,37 STREET,ADDRESS,ASTORIA,,In Progress,,,,01 QUEENS,4006510072,QUEENS,1007011,217317,UNKNOWN,Unspecified,QUEENS,40.763132104109005,-73.9178357265758,"{'latitude': '40.763132104109005', 'longitude': '-73.9178357265758', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,30 AVENUE,31 AVENUE,30 AVENUE,31 AVENUE,37 STREET,,,,,
58810279,2023-09-14T01:33:08.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10458,691 EAST  188 STREET,EAST  188 STREET,ADDRESS,BRONX,,Closed,,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-14T14:09:49.000,06 BRONX,2030900036,BRONX,1016255,250877,PHONE,Unspecified,BRONX,40.8552162837402,-73.88430610741526,"{'latitude': '40.8552162837402', 'longitude': '-73.88430610741526', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T14:09:45.000,CAMBRELENG AVENUE,BEAUMONT AVENUE,CAMBRELENG AVENUE,BEAUMONT AVENUE,EAST  188 STREET,,,,,
58803110,2023-09-14T01:32:45.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10040,570 WEST  190 STREET,WEST  190 STREET,ADDRESS,NEW YORK,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T01:51:24.000,12 MANHATTAN,1021580067,MANHATTAN,1003895,250647,ONLINE,Unspecified,MANHATTAN,40.85462115652687,-73.9289865404921,"{'latitude': '40.85462115652687', 'longitude': '-73.9289865404921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T01:51:18.000,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,WEST  190 STREET,,,,,
58807460,2023-09-14T01:32:07.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10465,2918 BRUCKNER BOULEVARD,BRUCKNER BOULEVARD,ADDRESS,BRONX,,Closed,,The Police Department reviewed your complaint and provided additional information below.,2023-09-14T02:20:12.000,10 BRONX,2054190122,BRONX,1031969,242900,MOBILE,Unspecified,BRONX,40.83325085108711,-73.82755893872277,"{'latitude': '40.83325085108711', 'longitude': '-73.82755893872277', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T02:20:06.000,EAST TREMONT AVENUE,EDISON AVENUE,EAST TREMONT AVENUE,EDISON AVENUE,BRUCKNER BOULEVARD,,,,,
58805738,2023-09-14T01:31:46.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10028,350 EAST   85 STREET,EAST   85 STREET,ADDRESS,NEW YORK,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T02:00:44.000,08 MANHATTAN,1015470031,MANHATTAN,997809,222246,ONLINE,Unspecified,MANHATTAN,40.776679825509554,-73.9510438059397,"{'latitude': '40.776679825509554', 'longitude': '-73.9510438059397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T02:00:40.000,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,EAST   85 STREET,,,,,
58800400,2023-09-14T01:31:33.000,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,11693,90-10 ROCKAWAY BEACH BOULEVARD,ROCKAWAY BEACH BOULEVARD,ADDRESS,FAR ROCKAWAY,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T01:58:59.000,14 QUEENS,4161240115,QUEENS,1035902,153198,ONLINE,Unspecified,QUEENS,40.58701876496832,-73.81403455281328,"{'latitude': '40.58701876496832', 'longitude': '-73.81403455281328', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T01:58:54.000,BEACH   90 STREET,BEACH   91 STREET,BEACH   90 STREET,BEACH   91 STREET,ROCKAWAY BEACH BOULEVARD,,,,,
58801013,2023-09-14T01:30:23.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10465,2918 BRUCKNER BOULEVARD,BRUCKNER BOULEVARD,ADDRESS,BRONX,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T02:21:29.000,10 BRONX,2054190122,BRONX,1031969,242900,MOBILE,Unspecified,BRONX,40.83325085108711,-73.82755893872277,"{'latitude': '40.83325085108711', 'longitude': '-73.82755893872277', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T02:21:26.000,EAST TREMONT AVENUE,EDISON AVENUE,EAST TREMONT AVENUE,EDISON AVENUE,BRUCKNER BOULEVARD,,,,,
58800995,2023-09-14T01:29:32.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10468,2531 DAVIDSON AVENUE,DAVIDSON AVENUE,ADDRESS,BRONX,,Closed,,The Police Department reviewed your complaint and provided additional information below.,2023-09-14T02:12:52.000,07 BRONX,2032040040,BRONX,1011729,254397,MOBILE,Unspecified,BRONX,40.86489286589889,-73.90065255960958,"{'latitude': '40.86489286589889', 'longitude': '-73.90065255960958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T02:12:48.000,WEST  190 STREET,WEST  192 STREET,WEST  190 STREET,WEST  192 STREET,DAVIDSON AVENUE,,,,,
58802182,2023-09-14T01:28:43.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11428,222-01 EDMORE AVENUE,EDMORE AVENUE,ADDRESS,QUEENS VILLAGE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T05:24:19.000,13 QUEENS,4107490005,QUEENS,1058026,203394,ONLINE,Unspecified,QUEENS,40.72463860067457,-73.73383161812293,"{'latitude': '40.72463860067457', 'longitude': '-73.73383161812293', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T05:24:16.000,222 STREET,224 STREET,222 STREET,224 STREET,EDMORE AVENUE,,,,,
58803045,2023-09-14T01:28:12.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11435,141-09 84 DRIVE,84 DRIVE,ADDRESS,JAMAICA,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T02:05:52.000,08 QUEENS,4097137501,QUEENS,1035202,198023,MOBILE,Unspecified,QUEENS,40.710057435929734,-73.81621619681424,"{'latitude': '40.710057435929734', 'longitude': '-73.81621619681424', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T02:05:47.000,85 ROAD,BURDEN CRESCENT,85 ROAD,BURDEN CRESCENT,84 DRIVE,,,,,
58801035,2023-09-14T01:27:30.000,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,11201,144 HENRY STREET,HENRY STREET,ADDRESS,BROOKLYN,,Closed,,This request required re-assignment to a new DOT unit.,2023-09-14T15:09:36.000,02 BROOKLYN,3002360131,BROOKLYN,986039,192990,PHONE,Unspecified,BROOKLYN,40.69638955982422,-73.99354840673647,"{'latitude': '40.69638955982422', 'longitude': '-73.99354840673647', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T15:09:28.000,CLARK STREET,LOVE LANE,CLARK STREET,LOVE LANE,HENRY STREET,,,,,
58801766,2023-09-14T01:26:14.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11216,480 GATES AVENUE,GATES AVENUE,ADDRESS,BROOKLYN,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T01:53:59.000,03 BROOKLYN,3018140007,BROOKLYN,999001,189444,ONLINE,Unspecified,BROOKLYN,40.68664449680268,-73.94681187824506,"{'latitude': '40.68664449680268', 'longitude': '-73.94681187824506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T01:53:55.000,MARCY AVENUE,TOMPKINS AVENUE,MARCY AVENUE,TOMPKINS AVENUE,GATES AVENUE,,,,,
58803577,2023-09-14T01:26:05.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10472,1329 COMMONWEALTH AVENUE,COMMONWEALTH AVENUE,ADDRESS,BRONX,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T08:49:44.000,09 BRONX,2038740063,BRONX,1020596,242945,ONLINE,Unspecified,BRONX,40.83342849023004,-73.86865697421297,"{'latitude': '40.83342849023004', 'longitude': '-73.86865697421297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T08:49:38.000,EAST  172 STREET,EAST  174 STREET,EAST  172 STREET,EAST  174 STREET,COMMONWEALTH AVENUE,,,,,
58813854,2023-09-14T01:26:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10036,1567 BROADWAY,BROADWAY,ADDRESS,NEW YORK,N/A,Closed,,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-16T00:15:00.000,05 MANHATTAN,1010187501,MANHATTAN,988359,215891,ONLINE,Unspecified,MANHATTAN,40.75924644465865,-73.98516790753852,"{'latitude': '40.75924644465865', 'longitude': '-73.98516790753852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:15:00.000,W 46 ST,W 47 ST,,,,,,,,
58817887,2023-09-14T01:25:24.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11222,1021 MANHATTAN AVENUE,MANHATTAN AVENUE,ADDRESS,BROOKLYN,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,01 BROOKLYN,3025120049,BROOKLYN,996755,206656,ONLINE,Unspecified,BROOKLYN,40.73389080245851,-73.95487837779348,"{'latitude': '40.73389080245851', 'longitude': '-73.95487837779348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T15:43:53.000,,,,,,,,,,
58810139,2023-09-14T01:25:15.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10455,600 BERGEN AVENUE,BERGEN AVENUE,ADDRESS,BRONX,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T07:02:17.000,01 BRONX,2023617501,BRONX,1007695,236852,ONLINE,Unspecified,BRONX,40.81674861534728,-73.9152983886053,"{'latitude': '40.81674861534728', 'longitude': '-73.9152983886053', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T07:02:12.000,WESTCHESTER AVENUE,EAST  152 STREET,WESTCHESTER AVENUE,EAST  152 STREET,BERGEN AVENUE,,,,,
58806966,2023-09-14T01:24:28.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10002,143 LUDLOW STREET,LUDLOW STREET,ADDRESS,NEW YORK,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T01:45:04.000,03 MANHATTAN,1004110027,MANHATTAN,987543,201798,MOBILE,Unspecified,MANHATTAN,40.72056500284701,-73.98812028894845,"{'latitude': '40.72056500284701', 'longitude': '-73.98812028894845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T01:44:58.000,RIVINGTON STREET,STANTON STREET,RIVINGTON STREET,STANTON STREET,LUDLOW STREET,,,,,
58805683,2023-09-14T01:23:27.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11435,90-12 143 STREET,143 STREET,ADDRESS,JAMAICA,,Closed,,The Police Department issued a summons in response to the complaint.,2023-09-14T01:39:56.000,12 QUEENS,4099790012,QUEENS,1036513,194882,ONLINE,Unspecified,QUEENS,40.70142850452478,-73.81151181429665,"{'latitude': '40.70142850452478', 'longitude': '-73.81151181429665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-14T01:39:53.000,90 AVENUE,91 AVENUE,90 AVENUE,91 AVENUE,143 STREET,,,,,
58812002,2023-09-14T01:22:17.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10002,35 HENRY STREET,HENRY STREET,ADDRESS,NEW YORK,,Closed,,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-18T00:00:00.000,03 MANHATTAN,1002800007,MANHATTAN,985396,199010,MOBILE,Unspecified,MANHATTAN,40.712913149757206,-73.99586620530066,"{'latitude': '40.712913149757206', 'longitude': '-73.99586620530066', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T08:44:24.000,,,,,,,,,,
