unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,facility_type,taxi_pick_up_location,road_ramp
58830298,2023-09-16T01:53:00.000,2023-09-26T23:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10003,,,,,3 AVENUE,EAST 20 STREET,INTERSECTION,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-26T23:00:00.000,06 MANHATTAN,MANHATTAN,988543,207772,ONLINE,Unspecified,MANHATTAN,40.7369617452575,-73.98450891288451,"{'latitude': '40.7369617452575', 'longitude': '-73.98450891288451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MANHATTAN,,,,,,N/A,,
58823721,2023-09-16T01:52:51.000,2023-09-16T02:11:21.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10011,23 WEST    8 STREET,WEST    8 STREET,5 AVENUE,MAC DOUGAL STREET,5 AVENUE,MAC DOUGAL STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T02:11:31.000,02 MANHATTAN,MANHATTAN,984962,206226,ONLINE,Unspecified,MANHATTAN,40.73271936950587,-73.99743094531692,"{'latitude': '40.73271936950587', 'longitude': '-73.99743094531692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST    8 STREET,1005720054,,,,,,
58826259,2023-09-16T01:52:18.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10005,15 WILLIAM STREET,WILLIAM STREET,BEAVER STREET,EXCHANGE PLACE,BEAVER STREET,EXCHANGE PLACE,ADDRESS,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-16T05:06:58.000,01 MANHATTAN,MANHATTAN,981478,196203,MOBILE,Unspecified,MANHATTAN,40.70520823975513,-74.00999786605462,"{'latitude': '40.70520823975513', 'longitude': '-74.00999786605462', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WILLIAM STREET,1000257501,,,,,,
58821998,2023-09-16T01:52:04.000,2023-09-16T02:18:17.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10019,415 WEST   59 STREET,WEST   59 STREET,9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T02:18:26.000,07 MANHATTAN,MANHATTAN,988228,219663,MOBILE,Unspecified,MANHATTAN,40.769599670912015,-73.98563854070757,"{'latitude': '40.769599670912015', 'longitude': '-73.98563854070757', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST   59 STREET,1011310016,,,,,,
58822538,2023-09-16T01:51:49.000,2023-09-16T02:06:47.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10459,941 SIMPSON STREET,SIMPSON STREET,EAST  163 STREET,FIRE ACCESS LANE,EAST  163 STREET,FIRE ACCESS LANE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T02:06:50.000,02 BRONX,BRONX,1013906,238436,ONLINE,Unspecified,BRONX,40.821077578928175,-73.89285243637929,"{'latitude': '40.821077578928175', 'longitude': '-73.89285243637929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,SIMPSON STREET,2027240001,,,,,,
58822825,2023-09-16T01:51:24.000,2023-09-16T02:13:54.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11432,90-71 178 STREET,178 STREET,90 AVENUE,JAMAICA AVENUE,90 AVENUE,JAMAICA AVENUE,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T02:14:01.000,12 QUEENS,QUEENS,1044221,197579,ONLINE,Unspecified,QUEENS,40.708782230852,-73.78368875161495,"{'latitude': '40.708782230852', 'longitude': '-73.78368875161495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JAMAICA,178 STREET,4098940012,,,,,,
58820305,2023-09-16T01:51:16.000,2023-09-16T02:14:45.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11105,36-17 20 AVENUE,20 AVENUE,36 STREET,37 STREET,36 STREET,37 STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T02:14:51.000,01 QUEENS,QUEENS,1011013,222616,ONLINE,Unspecified,QUEENS,40.777665260733514,-73.90336793210147,"{'latitude': '40.777665260733514', 'longitude': '-73.90336793210147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASTORIA,20 AVENUE,4008260001,,,,,,
58823309,2023-09-16T01:50:43.000,2023-09-16T02:07:39.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10036,515 WEST   47 STREET,WEST   47 STREET,AMTRAK-NORTHEAST LINE,11 AVENUE,AMTRAK-NORTHEAST LINE,11 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T02:07:46.000,04 MANHATTAN,MANHATTAN,985903,217325,ONLINE,Unspecified,MANHATTAN,40.76318320670634,-73.99403287955857,"{'latitude': '40.76318320670634', 'longitude': '-73.99403287955857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST   47 STREET,1010760023,,,,,,
58820747,2023-09-16T01:50:22.000,2023-09-16T01:59:25.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11356,5-18 119 STREET,119 STREET,POPPENHUSEN AVENUE,6 AVENUE,POPPENHUSEN AVENUE,6 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T01:59:30.000,07 QUEENS,QUEENS,1025601,227763,ONLINE,Unspecified,QUEENS,40.7917361755539,-73.85066403993508,"{'latitude': '40.7917361755539', 'longitude': '-73.85066403993508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",COLLEGE POINT,119 STREET,4039340015,,,,,,
58825370,2023-09-16T01:50:08.000,2023-09-16T02:18:36.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11236,8022 AVENUE J,AVENUE J,EAST   80 STREET,EAST   81 STREET,EAST   80 STREET,EAST   81 STREET,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T02:18:46.000,18 BROOKLYN,BROOKLYN,1008898,170274,PHONE,Unspecified,BROOKLYN,40.63400507225127,-73.91119606299675,"{'latitude': '40.63400507225127', 'longitude': '-73.91119606299675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,AVENUE J,3080320047,,,,,,
58826170,2023-09-16T01:50:08.000,2023-09-16T03:00:49.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11373,40-66 ITHACA STREET,ITHACA STREET,PETTIT AVENUE,BRITTON AVENUE,PETTIT AVENUE,BRITTON AVENUE,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T03:00:58.000,04 QUEENS,QUEENS,1017091,210923,PHONE,Unspecified,QUEENS,40.74555051711934,-73.88147949433296,"{'latitude': '40.74555051711934', 'longitude': '-73.88147949433296', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ELMHURST,ITHACA STREET,4015060047,,,,,,
58825093,2023-09-16T01:49:27.000,2023-09-16T01:50:46.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11691,1047 BEACH   21 STREET,BEACH   21 STREET,CORNAGA AVENUE,CENTRAL AVENUE,CORNAGA AVENUE,CENTRAL AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T01:50:55.000,14 QUEENS,QUEENS,1052597,159192,MOBILE,Unspecified,QUEENS,40.60335801790573,-73.75386629508971,"{'latitude': '40.60335801790573', 'longitude': '-73.75386629508971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FAR ROCKAWAY,BEACH   21 STREET,4157050069,,,,,,
58820404,2023-09-16T01:49:18.000,2023-10-05T11:06:06.000,DSNY,Department of Sanitation,Sanitation Worker or Vehicle Complaint,Spilled Garbage,Street,11412,113-21 201 STREET,201 STREET,113 AVENUE,MURDOCK AVENUE,113 AVENUE,MURDOCK AVENUE,ADDRESS,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-09-29T04:41:24.000,12 QUEENS,QUEENS,1052403,194836,ONLINE,Unspecified,QUEENS,40.70119413174121,-73.75420475091667,"{'latitude': '40.70119413174121', 'longitude': '-73.75420475091667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SAINT ALBANS,201 STREET,4109960039,,,,,,
58822525,2023-09-16T01:48:56.000,2023-09-16T01:57:11.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1350 WASHINGTON AVENUE,WASHINGTON AVENUE,EAST  169 STREET,EAST  170 STREET,EAST  169 STREET,EAST  170 STREET,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T01:57:16.000,03 BRONX,BRONX,1010450,243175,ONLINE,Unspecified,BRONX,40.834095700581216,-73.90532049838446,"{'latitude': '40.834095700581216', 'longitude': '-73.90532049838446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,WASHINGTON AVENUE,2029100001,,,,,,
58823386,2023-09-16T01:48:29.000,2023-09-16T01:50:41.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11691,1047 BEACH   21 STREET,BEACH   21 STREET,CORNAGA AVENUE,CENTRAL AVENUE,CORNAGA AVENUE,CENTRAL AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T01:50:46.000,14 QUEENS,QUEENS,1052597,159192,MOBILE,Unspecified,QUEENS,40.60335801790573,-73.75386629508971,"{'latitude': '40.60335801790573', 'longitude': '-73.75386629508971', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FAR ROCKAWAY,BEACH   21 STREET,4157050069,,,,,,
58822860,2023-09-16T01:48:21.000,2023-09-16T04:27:12.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11221,1140 MYRTLE AVENUE,MYRTLE AVENUE,BROADWAY,TROUTMAN STREET,BROADWAY,TROUTMAN STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T04:27:19.000,04 BROOKLYN,BROOKLYN,1002351,193231,ONLINE,Unspecified,BROOKLYN,40.697032717704715,-73.93472251150348,"{'latitude': '40.697032717704715', 'longitude': '-73.93472251150348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,MYRTLE AVENUE,3031930026,,,,,,
58822849,2023-09-16T01:47:55.000,2023-09-16T02:11:21.000,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,11237,1446 MYRTLE AVENUE,MYRTLE AVENUE,BLEECKER STREET,MENAHAN STREET,BLEECKER STREET,MENAHAN STREET,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T02:11:31.000,04 BROOKLYN,BROOKLYN,1007300,193935,PHONE,Unspecified,BROOKLYN,40.6989535263125,-73.91687257349851,"{'latitude': '40.6989535263125', 'longitude': '-73.91687257349851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,MYRTLE AVENUE,3033080018,,,,,,
58820304,2023-09-16T01:47:45.000,2023-09-16T02:16:40.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10009,131 AVENUE A,AVENUE A,ST MARKS PLACE,EAST    9 STREET,ST MARKS PLACE,EAST    9 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T02:16:46.000,03 MANHATTAN,MANHATTAN,988964,204077,ONLINE,Unspecified,MANHATTAN,40.72681966256707,-73.98299234311288,"{'latitude': '40.72681966256707', 'longitude': '-73.98299234311288', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,AVENUE A,1004360034,,,,,,
58823719,2023-09-16T01:47:34.000,2023-09-16T02:13:40.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456,1150 GRAND CONCOURSE,GRAND CONCOURSE,MCCLELLAN STREET,TUDOR PLACE,MCCLELLAN STREET,TUDOR PLACE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T02:13:51.000,04 BRONX,BRONX,1006710,242880,ONLINE,Unspecified,BRONX,40.833296314210095,-73.91883679592088,"{'latitude': '40.833296314210095', 'longitude': '-73.91883679592088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,GRAND CONCOURSE,2024560140,,,,,,
58826339,2023-09-16T01:47:20.000,2023-09-16T02:16:53.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11229,AVENUE X,AVENUE X,AVENUE X,EAST   15 STREET,AVENUE X,EAST   15 STREET,INTERSECTION,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T02:17:02.000,15 BROOKLYN,BROOKLYN,996707,155037,ONLINE,Unspecified,BROOKLYN,40.59220818939781,-73.95514694560633,"{'latitude': '40.59220818939781', 'longitude': '-73.95514694560633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58826196,2023-09-16T01:47:05.000,2023-09-16T02:27:10.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10468,2535 GRAND AVENUE,GRAND AVENUE,WEST  190 STREET,WEST  192 STREET,WEST  190 STREET,WEST  192 STREET,ADDRESS,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-16T02:27:16.000,07 BRONX,BRONX,1011527,254549,MOBILE,Unspecified,BRONX,40.865310686039486,-73.90138225011205,"{'latitude': '40.865310686039486', 'longitude': '-73.90138225011205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,GRAND AVENUE,2032140044,,,,,,
58824276,2023-09-16T01:46:56.000,2023-09-16T01:52:43.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,512 WEST  135 STREET,WEST  135 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T01:52:46.000,09 MANHATTAN,MANHATTAN,997298,237738,ONLINE,Unspecified,MANHATTAN,40.81920191118081,-73.9528587225526,"{'latitude': '40.81920191118081', 'longitude': '-73.9528587225526', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST  135 STREET,1019880046,,,,,,
58824546,2023-09-16T01:46:45.000,2023-09-16T02:10:51.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10040,2 THAYER STREET,THAYER STREET,NAGLE AVENUE,SHERMAN AVENUE,NAGLE AVENUE,SHERMAN AVENUE,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T02:10:56.000,12 MANHATTAN,MANHATTAN,1004756,253173,MOBILE,Unspecified,MANHATTAN,40.86155230906727,-73.92586644024453,"{'latitude': '40.86155230906727', 'longitude': '-73.92586644024453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,THAYER STREET,1021740073,,,,,,
58820314,2023-09-16T01:46:39.000,2023-09-18T14:07:27.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,Street,10457,2072 ANTHONY AVENUE,ANTHONY AVENUE,EAST BURNSIDE AVENUE,EAST  180 STREET,EAST BURNSIDE AVENUE,EAST  180 STREET,ADDRESS,Closed,This request required re-assignment to a new DOT unit.,2023-09-18T14:07:41.000,05 BRONX,BRONX,1011361,249971,ONLINE,Unspecified,BRONX,40.85274596970766,-73.90200092574528,"{'latitude': '40.85274596970766', 'longitude': '-73.90200092574528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,ANTHONY AVENUE,2031560049,,,,,,
58825824,2023-09-16T01:45:53.000,2023-09-16T01:55:36.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11214,1845 82 STREET,82 STREET,18 AVENUE,19 AVENUE,18 AVENUE,19 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T01:55:40.000,11 BROOKLYN,BROOKLYN,984496,161097,ONLINE,Unspecified,BROOKLYN,40.6088504109354,-73.99911402412455,"{'latitude': '40.6088504109354', 'longitude': '-73.99911402412455', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,82 STREET,3062960046,,,,,,
58825007,2023-09-16T01:45:21.000,2023-09-16T02:03:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11226,1086 ROGERS AVENUE,ROGERS AVENUE,CORTELYOU ROAD,CLARENDON ROAD,CORTELYOU ROAD,CLARENDON ROAD,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T02:04:05.000,17 BROOKLYN,BROOKLYN,997650,173744,ONLINE,Unspecified,BROOKLYN,40.64355363649858,-73.95171442299126,"{'latitude': '40.64355363649858', 'longitude': '-73.95171442299126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,ROGERS AVENUE,3051707501,,,,,,
58826208,2023-09-16T01:45:09.000,2023-09-16T02:17:18.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10018,485 7 AVENUE,7 AVENUE,WEST   36 STREET,WEST   37 STREET,WEST   36 STREET,WEST   37 STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T02:17:27.000,05 MANHATTAN,MANHATTAN,987147,213420,ONLINE,Unspecified,MANHATTAN,40.75246465912612,-73.98954387994742,"{'latitude': '40.75246465912612', 'longitude': '-73.98954387994742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,7 AVENUE,1008127501,,,,,,
58819899,2023-09-16T01:45:06.000,2023-09-16T01:47:26.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11211,143 FROST STREET,FROST STREET,MANHATTAN AVENUE,GRAHAM AVENUE,MANHATTAN AVENUE,GRAHAM AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T01:47:30.000,01 BROOKLYN,BROOKLYN,999281,200867,ONLINE,Unspecified,BROOKLYN,40.71799747574254,-73.9457767783512,"{'latitude': '40.71799747574254', 'longitude': '-73.9457767783512', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,FROST STREET,3027340032,,,,,,
58821148,2023-09-16T01:44:57.000,2023-09-16T02:29:18.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10473,65 SOUNDVIEW AVENUE,SOUNDVIEW AVENUE,HORIZON LANE,PUGSLEY AVENUE,HORIZON LANE,PUGSLEY AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T02:29:22.000,09 BRONX,BRONX,1025754,233095,ONLINE,Unspecified,BRONX,40.80637032311237,-73.85007853673036,"{'latitude': '40.80637032311237', 'longitude': '-73.85007853673036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,SOUNDVIEW AVENUE,,,,,,,
58825777,2023-09-16T01:44:31.000,2023-09-16T01:56:51.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10013,11 DOYERS STREET,DOYERS STREET,BOWERY,PELL STREET,BOWERY,PELL STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T01:56:55.000,03 MANHATTAN,MANHATTAN,984769,199589,ONLINE,Unspecified,MANHATTAN,40.71450242561791,-73.99812784414995,"{'latitude': '40.71450242561791', 'longitude': '-73.99812784414995', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,DOYERS STREET,1001620028,,,,,,
58823381,2023-09-16T01:44:10.000,2023-09-16T01:57:21.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,561 WEST  141 STREET,WEST  141 STREET,HAMILTON PLACE,BROADWAY,HAMILTON PLACE,BROADWAY,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T01:57:25.000,09 MANHATTAN,MANHATTAN,997700,239309,MOBILE,Unspecified,MANHATTAN,40.82351325869593,-73.95140318332777,"{'latitude': '40.82351325869593', 'longitude': '-73.95140318332777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST  141 STREET,1020730001,,,,,,
58819779,2023-09-16T01:44:07.000,2023-09-16T02:07:56.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11228,1032 72 STREET,72 STREET,10 AVENUE,11 AVENUE,10 AVENUE,11 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T02:08:01.000,10 BROOKLYN,BROOKLYN,981081,167165,ONLINE,Unspecified,BROOKLYN,40.625505249202725,-74.01141609013345,"{'latitude': '40.625505249202725', 'longitude': '-74.01141609013345', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,72 STREET,3059140019,,,,,,
58826209,2023-09-16T01:44:06.000,2023-09-16T02:15:56.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10035,512 EAST  117 STREET,EAST  117 STREET,PLEASANT AVENUE,UNNAMED STREET,PLEASANT AVENUE,UNNAMED STREET,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T02:16:06.000,11 MANHATTAN,MANHATTAN,1002958,229152,ONLINE,Unspecified,MANHATTAN,40.79562554704927,-73.9324335738226,"{'latitude': '40.79562554704927', 'longitude': '-73.9324335738226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST  117 STREET,1017150046,,,,,,
58824190,2023-09-16T01:44:02.000,2023-09-16T02:04:55.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,50 EAST    3 STREET,EAST    3 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T02:05:00.000,03 MANHATTAN,MANHATTAN,987235,203524,ONLINE,Unspecified,MANHATTAN,40.725302564463135,-73.98923065339514,"{'latitude': '40.725302564463135', 'longitude': '-73.98923065339514', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST    3 STREET,1004440014,,,,,,
58826203,2023-09-16T01:44:01.000,2023-09-16T02:23:05.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11373,84-47 KNEELAND AVENUE,KNEELAND AVENUE,CODWISE PLACE,VAN KLEECK STREET,CODWISE PLACE,VAN KLEECK STREET,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T02:23:16.000,04 QUEENS,QUEENS,1016802,207016,ONLINE,Unspecified,QUEENS,40.734827851188484,-73.8825413772993,"{'latitude': '40.734827851188484', 'longitude': '-73.8825413772993', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ELMHURST,KNEELAND AVENUE,4024730160,,,,,,
58823065,2023-09-16T01:43:49.000,2023-09-16T02:07:40.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11413,139-24 223 STREET,223 STREET,139 AVENUE,CARSON STREET,139 AVENUE,CARSON STREET,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-16T02:07:46.000,13 QUEENS,QUEENS,1053387,184013,MOBILE,Unspecified,QUEENS,40.67147996194763,-73.75076701101553,"{'latitude': '40.67147996194763', 'longitude': '-73.75076701101553', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SPRINGFIELD GARDENS,223 STREET,4131460135,,,,,,
58821120,2023-09-16T01:43:46.000,2023-09-16T03:18:10.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11362,240-29 68 AVENUE,68 AVENUE,DOUGLASTON PARKWAY,242 STREET,DOUGLASTON PARKWAY,242 STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T03:18:17.000,11 QUEENS,QUEENS,1056828,212998,PHONE,Unspecified,QUEENS,40.75100899505932,-73.73805011127223,"{'latitude': '40.75100899505932', 'longitude': '-73.73805011127223', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LITTLE NECK,68 AVENUE,4082907501,,,,,,
58822872,2023-09-16T01:43:39.000,2023-09-16T02:12:22.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11360,208 PLACE,208 PLACE,208 PLACE,CROSS ISLAND PARKWAY,208 PLACE,CROSS ISLAND PARKWAY,INTERSECTION,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T02:12:31.000,07 QUEENS,QUEENS,1043946,226728,ONLINE,Unspecified,QUEENS,40.788790506036015,-73.78442190686395,"{'latitude': '40.788790506036015', 'longitude': '-73.78442190686395', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58820710,2023-09-16T01:43:06.000,2023-09-16T01:55:10.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10305,20 FATHER CAPODANNO BOULEVARD,FATHER CAPODANNO BOULEVARD,LILY POND AVENUE,ROBIN ROAD,LILY POND AVENUE,ROBIN ROAD,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T01:55:15.000,02 STATEN ISLAND,STATEN ISLAND,966982,156412,ONLINE,Unspecified,STATEN ISLAND,40.59597421974536,-74.06217919709624,"{'latitude': '40.59597421974536', 'longitude': '-74.06217919709624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,FATHER CAPODANNO BOULEVARD,5031250116,,,,,,
