unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_company_borough,vehicle_type
58885550,2023-09-21T15:54:17.000,DOT,Department of Transportation,Street Condition,Pothole,,11417,103 STREET,103 STREET,103 AVENUE,LIBERTY AVENUE,,,BLOCKFACE,QUEENS,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-21T15:54:17.000,10 QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,2023-09-21T15:54:17.000,N/A,,,,,,,,
58882171,2023-09-21T15:54:16.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,10010,61 LEXINGTON AVENUE,LEXINGTON AVENUE,LEXINGTON AVENUE,3 AVENUE,LEXINGTON AVENUE,3 AVENUE,ADDRESS,NEW YORK,LEXINGTON AVENUE,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-22T05:18:08.000,06 MANHATTAN,1008817501,MANHATTAN,988813,209163,ONLINE,Unspecified,MANHATTAN,40.7407795600591,-73.9835336871717,"{'latitude': '40.7407795600591', 'longitude': '-73.9835336871717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T09:01:21.000,,,,,,,,,
58885590,2023-09-21T15:54:15.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10003,128 SECOND AVENUE,SECOND AVENUE,EAST    7 STREET,ST MARKS PLACE,EAST    7 STREET,ST MARKS PLACE,ADDRESS,NEW YORK,2 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T16:35:33.000,03 MANHATTAN,1004490006,MANHATTAN,987636,204662,PHONE,Unspecified,MANHATTAN,40.7284259530023,-73.98778334447101,"{'latitude': '40.7284259530023', 'longitude': '-73.98778334447101', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T16:35:30.000,,,,,,,,,
58884775,2023-09-21T15:54:09.000,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Letter Grading,Other (explain in Complaint Details),11372,71-20 35 AVENUE,35 AVENUE,71 STREET,72 STREET,71 STREET,72 STREET,ADDRESS,JACKSON HEIGHTS,35 AVENUE,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-22T12:06:49.000,03 QUEENS,4012710006,QUEENS,1013445,212808,PHONE,Unspecified,QUEENS,40.75073715262776,-73.89462941607685,"{'latitude': '40.75073715262776', 'longitude': '-73.89462941607685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58891356,2023-09-21T15:54:02.000,DOT,Department of Transportation,Street Condition,Dumpster - Construction Waste,Street,11201,167 CLINTON STREET,CLINTON STREET,SCHERMERHORN STREET,STATE STREET,SCHERMERHORN STREET,STATE STREET,ADDRESS,BROOKLYN,CLINTON STREET,Closed,"The Department of Transportation inspected the condition and issued a summons to the responsible party. A re-inspection will be done within 10 days. If the condition still exists, a second summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",2023-10-02T10:53:12.000,02 BROOKLYN,3002700022,BROOKLYN,985917,191022,PHONE,Unspecified,BROOKLYN,40.690987879185315,-73.99398885707612,"{'latitude': '40.690987879185315', 'longitude': '-73.99398885707612', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-02T10:53:08.000,,,,,,,,,
58888266,2023-09-21T15:53:51.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10028,115 EAST   82 STREET,EAST   82 STREET,PARK AVENUE,LEXINGTON AVENUE,PARK AVENUE,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST   82 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T16:17:33.000,08 MANHATTAN,1015110008,MANHATTAN,995788,222466,ONLINE,Unspecified,MANHATTAN,40.777286536644276,-73.95834045980769,"{'latitude': '40.777286536644276', 'longitude': '-73.95834045980769', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T16:17:28.000,,,,,,,,,
58890438,2023-09-21T15:53:37.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,11213,805 ST MARKS AVENUE,ST MARKS AVENUE,NEW YORK AVENUE,BROOKLYN AVENUE,NEW YORK AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,ST MARKS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T16:58:20.000,08 BROOKLYN,3012210053,BROOKLYN,999332,185193,ONLINE,Unspecified,BROOKLYN,40.67497591150255,-73.94562789610163,"{'latitude': '40.67497591150255', 'longitude': '-73.94562789610163', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T16:58:16.000,,,,,,,,,
58886627,2023-09-21T15:53:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10019,829 NINTH AVENUE,NINTH AVENUE,WEST   54 STREET,WEST   55 STREET,WEST   54 STREET,WEST   55 STREET,ADDRESS,NEW YORK,9 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T17:22:16.000,04 MANHATTAN,1010640032,MANHATTAN,987863,218435,MOBILE,Unspecified,MANHATTAN,40.766229286340646,-73.98695693148424,"{'latitude': '40.766229286340646', 'longitude': '-73.98695693148424', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T17:22:12.000,,,,,,,,,
58886193,2023-09-21T15:53:27.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,11378,COPERNICUS TRIANGLE,COPERNICUS TRIANGLE,BORDEN AVENUE,55 DRIVE,BORDEN AVENUE,55 DRIVE,UNRECOGNIZED,MASPETH,COPERNICUS TRIANGLE,In Progress,,,05 QUEENS,4201499999,QUEENS,1010359,203812,ONLINE,Unspecified,QUEENS,40.72605502678387,-73.90580231195439,"{'latitude': '40.72605502678387', 'longitude': '-73.90580231195439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58891570,2023-09-21T15:53:12.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Street,10309,251 VETERANS ROAD WEST,VETERANS ROAD WEST,ENGERT STREET,HERVEY STREET,ENGERT STREET,HERVEY STREET,ADDRESS,STATEN ISLAND,VETERANS ROAD WEST,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-22T11:33:47.000,03 STATEN ISLAND,,STATEN ISLAND,924396,141199,PHONE,Unspecified,STATEN ISLAND,40.5540323619784,-74.21538920974392,"{'latitude': '40.5540323619784', 'longitude': '-74.21538920974392', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-23T11:45:38.000,,,,,,,,,
58889194,2023-09-21T15:53:03.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,11201,180 MYRTLE AVENUE,MYRTLE AVENUE,HUDSON WALK,NAVY WALK,HUDSON WALK,NAVY WALK,ADDRESS,BROOKLYN,MYRTLE AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-21T17:02:41.000,02 BROOKLYN,3020617502,BROOKLYN,989559,191953,ONLINE,Unspecified,BROOKLYN,40.69354182375344,-73.9808552006961,"{'latitude': '40.69354182375344', 'longitude': '-73.9808552006961', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T17:02:36.000,,,,,,,,,
58884314,2023-09-21T15:53:01.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,1321 SAINT JOHNS PLACE,SAINT JOHNS PLACE,TROY AVENUE,SCHENECTADY AVENUE,TROY AVENUE,SCHENECTADY AVENUE,ADDRESS,BROOKLYN,ST JOHNS PLACE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-21T16:32:13.000,08 BROOKLYN,3013770043,BROOKLYN,1002363,183673,PHONE,Unspecified,BROOKLYN,40.670798170998786,-73.93470492919619,"{'latitude': '40.670798170998786', 'longitude': '-73.93470492919619', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T16:32:08.000,,,,,,,,,
58881300,2023-09-21T15:53:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),,11105,23-10 STEINWAY STREET,STEINWAY STREET,23 AVE,AMTRAK-CONNECTING RAIL LINE,,,ADDRESS,ASTORIA,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-25T08:35:00.000,01 QUEENS,4008030046,QUEENS,1009572,220113,ONLINE,Unspecified,QUEENS,40.77079943118041,-73.90858031973437,"{'latitude': '40.77079943118041', 'longitude': '-73.90858031973437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T08:35:00.000,,,,,,,,,
58882655,2023-09-21T15:53:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,11223,,,,,WEST STREET,AVENUE Z,INTERSECTION,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T15:00:00.000,13 BROOKLYN,,BROOKLYN,992743,152886,PHONE,Unspecified,BROOKLYN,40.58630880924821,-73.96942254708125,"{'latitude': '40.58630880924821', 'longitude': '-73.96942254708125', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-28T15:00:00.000,N/A,,,,,,,,
58889248,2023-09-21T15:53:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11416,86-40 102 AVENUE,102 AVENUE,86 ST,88 ST,,,ADDRESS,OZONE PARK,,Closed,"The status of this Service Request is currently not available online. Please call 311 for further assistance. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-21T16:46:00.000,09 QUEENS,4090880019,QUEENS,1025013,187593,PHONE,Unspecified,QUEENS,40.68148235667313,-73.85303094980131,"{'latitude': '40.68148235667313', 'longitude': '-73.85303094980131', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T16:46:00.000,,,,,,,,,
58889231,2023-09-21T15:53:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11436,131-01 VAN WYCK EXPRESSWAY,VAN WYCK EXPRESSWAY,131 AVE,132 AVE,,,ADDRESS,JAMAICA,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-26T12:00:00.000,12 QUEENS,4120740009,QUEENS,1039557,183607,PHONE,Unspecified,QUEENS,40.6704627881978,-73.80062611906122,"{'latitude': '40.6704627881978', 'longitude': '-73.80062611906122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-26T12:00:00.000,N/A,,,,,,,,
58885976,2023-09-21T15:52:58.000,DOT,Department of Transportation,Street Condition,Pothole,,11417,103 STREET,103 STREET,103 AVENUE,LIBERTY AVENUE,,,BLOCKFACE,QUEENS,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-26T08:51:00.000,10 QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,2023-09-26T08:51:00.000,N/A,,,,,,,,
58885140,2023-09-21T15:52:53.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Yard,10306,222 FREEBORN STREET,FREEBORN STREET,MAPLETON AVENUE,HEMPSTEAD AVENUE,MAPLETON AVENUE,HEMPSTEAD AVENUE,ADDRESS,STATEN ISLAND,FREEBORN STREET,In Progress,,2023-09-22T10:00:14.000,02 STATEN ISLAND,5038000018,STATEN ISLAND,958436,148454,PHONE,Unspecified,STATEN ISLAND,40.57411033263991,-74.09292150586614,"{'latitude': '40.57411033263991', 'longitude': '-74.09292150586614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58887545,2023-09-21T15:52:42.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11355,41-80 FRAME PLACE,FRAME PLACE,SANFORD AVENUE,EAGLE NEST LANE,SANFORD AVENUE,EAGLE NEST LANE,ADDRESS,FLUSHING,FRAME PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T18:00:32.000,07 QUEENS,4051010039,QUEENS,1031252,214474,PHONE,Unspecified,QUEENS,40.75523316951992,-73.83034888275354,"{'latitude': '40.75523316951992', 'longitude': '-73.83034888275354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T18:00:27.000,,,,,,,,,
58882520,2023-09-21T15:52:33.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10128,1260 MADISON AVENUE,MADISON AVENUE,EAST   90 STREET,EAST   91 STREET,EAST   90 STREET,EAST   91 STREET,ADDRESS,NEW YORK,MADISON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T16:16:58.000,08 MANHATTAN,1015020017,MANHATTAN,996202,224758,MOBILE,Unspecified,MANHATTAN,40.7835769190983,-73.95684157864149,"{'latitude': '40.7835769190983', 'longitude': '-73.95684157864149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T16:16:54.000,,,,,,,,,
58889029,2023-09-21T15:52:31.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10456,1180 TINTON AVENUE,TINTON AVENUE,HOME STREET,EAST  168 STREET,HOME STREET,EAST  168 STREET,ADDRESS,BRONX,TINTON AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-09-23T22:00:15.000,03 BRONX,2026720001,BRONX,1011725,241108,ONLINE,Unspecified,BRONX,40.82841850813345,-73.90072147305051,"{'latitude': '40.82841850813345', 'longitude': '-73.90072147305051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-28T16:31:12.000,,,,,,,,,
58891314,2023-09-21T15:52:30.000,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,10031,418 WEST  145 STREET,WEST  145 STREET,ST NICHOLAS AVENUE,CONVENT AVENUE,ST NICHOLAS AVENUE,CONVENT AVENUE,ADDRESS,NEW YORK,WEST  145 STREET,In Progress,,,09 MANHATTAN,1020500047,MANHATTAN,999278,239641,MOBILE,Unspecified,MANHATTAN,40.824421960544335,-73.94570089639807,"{'latitude': '40.824421960544335', 'longitude': '-73.94570089639807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58891285,2023-09-21T15:52:15.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,11361,42-41 209 STREET,209 STREET,42 AVENUE,43 AVENUE,42 AVENUE,43 AVENUE,ADDRESS,BAYSIDE,209 STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-22T06:28:10.000,11 QUEENS,4062760041,QUEENS,1046411,216588,PHONE,Unspecified,QUEENS,40.76094196366286,-73.77561397587392,"{'latitude': '40.76094196366286', 'longitude': '-73.77561397587392', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58884736,2023-09-21T15:52:01.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11417,107-26 107 STREET,107 STREET,107 AVENUE,109 AVENUE,107 AVENUE,109 AVENUE,ADDRESS,OZONE PARK,107 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T19:36:31.000,10 QUEENS,4095440019,QUEENS,1030429,187450,MOBILE,Unspecified,QUEENS,40.6810632565819,-73.83350484462535,"{'latitude': '40.6810632565819', 'longitude': '-73.83350484462535', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T19:36:27.000,,,,,,,,,
58883214,2023-09-21T15:51:52.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11230,1348 OCEAN AVENUE,OCEAN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2023-09-21T00:00:00.000,14 BROOKLYN,3067030067,BROOKLYN,996172,168490,ONLINE,Unspecified,BROOKLYN,40.62913463995372,-73.9570495319861,"{'latitude': '40.62913463995372', 'longitude': '-73.9570495319861', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T19:36:33.000,,,,,,,,,
58888840,2023-09-21T15:51:46.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,245 BAY   43 STREET,BAY   43 STREET,HARWAY AVENUE,MILL ROAD,HARWAY AVENUE,MILL ROAD,ADDRESS,BROOKLYN,BAY   43 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T16:39:44.000,13 BROOKLYN,3069110020,BROOKLYN,986976,154385,MOBILE,Unspecified,BROOKLYN,40.59042691460235,-73.99018494342857,"{'latitude': '40.59042691460235', 'longitude': '-73.99018494342857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T16:39:41.000,,,,,,,,,
58888655,2023-09-21T15:51:41.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,10031,477 WEST  143 STREET,WEST  143 STREET,CONVENT AVENUE,AMSTERDAM AVENUE,CONVENT AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST  143 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T16:25:33.000,09 MANHATTAN,1020590001,MANHATTAN,998567,239426,ONLINE,Unspecified,MANHATTAN,40.82383302772619,-73.94827033661673,"{'latitude': '40.82383302772619', 'longitude': '-73.94827033661673', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T16:25:27.000,,,,,,,,,
