unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location
58832663,2023-09-16T23:34:09.000,2023-09-17T02:13:14.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11102,25-99 25 ROAD,25 ROAD,DEAD END,27 STREET,DEAD END,27 STREET,ADDRESS,ASTORIA,25 ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T02:13:18.000,01 QUEENS,4008610266,QUEENS,1006042,220503,ONLINE,Unspecified,QUEENS,40.77187928590296,-73.92132335981441,"{'latitude': '40.77187928590296', 'longitude': '-73.92132335981441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58833564,2023-09-16T23:34:04.000,2023-09-17T02:00:14.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,1710 DEKALB AVENUE,DEKALB AVENUE,ST NICHOLAS AVENUE,CYPRESS AVENUE,ST NICHOLAS AVENUE,CYPRESS AVENUE,ADDRESS,BROOKLYN,DEKALB AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T02:00:18.000,04 BROOKLYN,3032500120,BROOKLYN,1007149,196533,ONLINE,Unspecified,BROOKLYN,40.70608481577124,-73.9174083049412,"{'latitude': '40.70608481577124', 'longitude': '-73.9174083049412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58826710,2023-09-16T23:34:04.000,2023-09-16T23:50:19.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,11220,OWL'S HEAD PARK,OWL'S HEAD PARK,67 STREET,SENATOR STREET,67 STREET,SENATOR STREET,UNRECOGNIZED,BROOKLYN,OWLS HEAD PARK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:50:22.000,10 BROOKLYN,3058320002,BROOKLYN,975273,172553,ONLINE,Owl's Head Park,BROOKLYN,40.640290184865776,-74.03234615026558,"{'latitude': '40.640290184865776', 'longitude': '-74.03234615026558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58836096,2023-09-16T23:34:03.000,2023-09-17T00:24:23.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10301,101 VICTORY BOULEVARD,VICTORY BOULEVARD,CORSON AVENUE,BROOK STREET,CORSON AVENUE,BROOK STREET,ADDRESS,STATEN ISLAND,VICTORY BOULEVARD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:24:31.000,01 STATEN ISLAND,5000230054,STATEN ISLAND,962150,171675,ONLINE,Unspecified,STATEN ISLAND,40.637857241089876,-74.07962837697686,"{'latitude': '40.637857241089876', 'longitude': '-74.07962837697686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58831982,2023-09-16T23:33:59.000,2023-09-17T00:07:38.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10012,80 WEST    3 STREET,WEST    3 STREET,THOMPSON STREET,SULLIVAN STREET,THOMPSON STREET,SULLIVAN STREET,ADDRESS,NEW YORK,WEST    3 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:07:42.000,02 MANHATTAN,1005390020,MANHATTAN,984587,205149,PHONE,Unspecified,MANHATTAN,40.729763290694336,-73.99878408283416,"{'latitude': '40.729763290694336', 'longitude': '-73.99878408283416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58827076,2023-09-16T23:33:56.000,2023-09-17T00:11:58.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11214,7709 18 AVENUE,18 AVENUE,77 STREET,78 STREET,77 STREET,78 STREET,ADDRESS,BROOKLYN,18 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T00:12:02.000,11 BROOKLYN,3062490006,BROOKLYN,985005,162279,ONLINE,Unspecified,BROOKLYN,40.61209472930063,-73.99728071424877,"{'latitude': '40.61209472930063', 'longitude': '-73.99728071424877', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58832262,2023-09-16T23:33:55.000,2023-09-17T00:01:11.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10462,930 MORRIS PARK AVENUE,MORRIS PARK AVENUE,FOWLER AVENUE,BOGART AVENUE,FOWLER AVENUE,BOGART AVENUE,ADDRESS,BRONX,MORRIS PARK AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T00:01:15.000,11 BRONX,2040950004,BRONX,1023425,247939,PHONE,Unspecified,BRONX,40.84712345209404,-73.85840470273125,"{'latitude': '40.84712345209404', 'longitude': '-73.85840470273125', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58834043,2023-09-16T23:33:54.000,2023-09-17T04:05:25.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,73 CEDAR STREET,CEDAR STREET,EVERGREEN AVENUE,MYRTLE AVENUE,EVERGREEN AVENUE,MYRTLE AVENUE,ADDRESS,BROOKLYN,CEDAR STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T04:05:27.000,04 BROOKLYN,3032270028,BROOKLYN,1004536,193414,ONLINE,Unspecified,BROOKLYN,40.697530270998165,-73.92684221614626,"{'latitude': '40.697530270998165', 'longitude': '-73.92684221614626', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58836332,2023-09-16T23:33:52.000,2023-09-17T00:30:53.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11385,1659 WOODBINE STREET,WOODBINE STREET,ST NICHOLAS AVENUE,CYPRESS AVENUE,ST NICHOLAS AVENUE,CYPRESS AVENUE,ADDRESS,RIDGEWOOD,WOODBINE STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T00:30:57.000,05 QUEENS,4034490001,QUEENS,1009505,194486,ONLINE,Unspecified,QUEENS,40.70045987370401,-73.90891840975857,"{'latitude': '40.70045987370401', 'longitude': '-73.90891840975857', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58833618,2023-09-16T23:33:50.000,2023-09-17T00:59:38.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10465,2463 ROHR PLACE,ROHR PLACE,BRUSH AVENUE,HUTCHINSON RIVER PARKWAY,BRUSH AVENUE,HUTCHINSON RIVER PARKWAY,ADDRESS,BRONX,ROHR PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:59:43.000,10 BRONX,2055590077,BRONX,1029264,238707,ONLINE,Unspecified,BRONX,40.82175648369486,-73.83736204464792,"{'latitude': '40.82175648369486', 'longitude': '-73.83736204464792', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58829245,2023-09-16T23:33:50.000,2023-09-17T00:51:05.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11428,218-21 JAMAICA AVENUE,JAMAICA AVENUE,218 STREET,AMBOY LANE,218 STREET,AMBOY LANE,ADDRESS,QUEENS VILLAGE,JAMAICA AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T00:51:11.000,13 QUEENS,4106940084,QUEENS,1057282,200987,ONLINE,Unspecified,QUEENS,40.7180381702753,-73.73654191612825,"{'latitude': '40.7180381702753', 'longitude': '-73.73654191612825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58828108,2023-09-16T23:33:46.000,2023-09-17T00:16:44.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10001,426 WEST   27 STREET,WEST   27 STREET,9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,ADDRESS,NEW YORK,WEST   27 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:16:51.000,04 MANHATTAN,1007240015,MANHATTAN,983985,212397,ONLINE,Unspecified,MANHATTAN,40.74965725327792,-74.00095642217364,"{'latitude': '40.74965725327792', 'longitude': '-74.00095642217364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58830881,2023-09-16T23:33:43.000,2023-09-17T00:32:42.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11412,118-30 190 STREET,190 STREET,118 ROAD,119 AVENUE,118 ROAD,119 AVENUE,ADDRESS,SAINT ALBANS,190 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T00:32:47.000,12 QUEENS,,QUEENS,1050745,190683,ONLINE,Unspecified,QUEENS,40.689807767504696,-73.76022533102059,"{'latitude': '40.689807767504696', 'longitude': '-73.76022533102059', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58842348,2023-09-16T23:33:33.000,2023-09-18T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Privately Owned Public Space/Non-Compliance,,10467,3131 DECATUR AVENUE,DECATUR AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Buildings reviewed this complaint and determined that no further action was necessary.,2023-09-18T00:00:00.000,07 BRONX,2033490044,BRONX,1018243,257085,UNKNOWN,Unspecified,BRONX,40.872247918514105,-73.87708826822283,"{'latitude': '40.872247918514105', 'longitude': '-73.87708826822283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58831371,2023-09-16T23:33:18.000,2023-09-17T03:46:08.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11207,40 ELDERT STREET,ELDERT STREET,BROADWAY,BUSHWICK AVENUE,BROADWAY,BUSHWICK AVENUE,ADDRESS,BROOKLYN,ELDERT STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T03:46:12.000,04 BROOKLYN,3034140031,BROOKLYN,1008204,189267,MOBILE,Unspecified,BROOKLYN,40.68613855036953,-73.91362899263132,"{'latitude': '40.68613855036953', 'longitude': '-73.91362899263132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58834844,2023-09-16T23:33:05.000,2023-09-17T00:13:09.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,115-98 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,ROCKAWAY BOULEVARD,SUTTER AVENUE,ROCKAWAY BOULEVARD,SUTTER AVENUE,ADDRESS,SOUTH OZONE PARK,LEFFERTS BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T00:13:15.000,10 QUEENS,4117110001,QUEENS,1034273,185055,ONLINE,Unspecified,QUEENS,40.67446864824971,-73.81966338595954,"{'latitude': '40.67446864824971', 'longitude': '-73.81966338595954', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58826705,2023-09-16T23:32:55.000,2023-09-17T01:06:02.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10457,1805 CARTER AVENUE,CARTER AVENUE,EAST  175 STREET,EAST  176 STREET,EAST  175 STREET,EAST  176 STREET,ADDRESS,BRONX,CARTER AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-17T01:06:06.000,05 BRONX,2028920063,BRONX,1011198,247548,ONLINE,Unspecified,BRONX,40.84609605406589,-73.90259986567719,"{'latitude': '40.84609605406589', 'longitude': '-73.90259986567719', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58829669,2023-09-16T23:32:50.000,2023-09-17T00:29:18.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10034,678 ACADEMY STREET,ACADEMY STREET,BROADWAY,COOPER STREET,BROADWAY,COOPER STREET,ADDRESS,NEW YORK,ACADEMY STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:29:22.000,12 MANHATTAN,1022370045,MANHATTAN,1004893,255115,MOBILE,Unspecified,MANHATTAN,40.86688218990825,-73.92536517445778,"{'latitude': '40.86688218990825', 'longitude': '-73.92536517445778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58832217,2023-09-16T23:32:49.000,2023-09-16T23:35:52.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,EAST  231 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:35:56.000,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,40.89238451539139,-73.8592161325675,"{'latitude': '40.89238451539139', 'longitude': '-73.8592161325675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58833415,2023-09-16T23:32:46.000,2023-09-17T00:53:03.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11369,30-35 87 STREET,87 STREET,30 AVENUE,31 AVENUE,30 AVENUE,31 AVENUE,ADDRESS,EAST ELMHURST,87 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:53:11.000,03 QUEENS,4013850055,QUEENS,1017052,216524,ONLINE,Unspecified,QUEENS,40.760923972369035,-73.8815929189137,"{'latitude': '40.760923972369035', 'longitude': '-73.8815929189137', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58834469,2023-09-16T23:32:41.000,2023-09-17T02:01:43.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11377,51-71 47 STREET,47 STREET,51 ROAD,BEND,51 ROAD,BEND,ADDRESS,WOODSIDE,47 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T02:01:47.000,02 QUEENS,4023050112,QUEENS,1006508,206491,PHONE,Unspecified,QUEENS,40.73341875188607,-73.91968732118748,"{'latitude': '40.73341875188607', 'longitude': '-73.91968732118748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58831986,2023-09-16T23:32:39.000,2023-09-17T00:23:47.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10301,10 MINTHORNE STREET,MINTHORNE STREET,VICTORY BLVD FOOTBRIDGE,BAY STREET,VICTORY BLVD FOOTBRIDGE,BAY STREET,ADDRESS,STATEN ISLAND,MINTHORNE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:23:51.000,01 STATEN ISLAND,5004970009,STATEN ISLAND,963320,171495,ONLINE,Unspecified,STATEN ISLAND,40.63736602165106,-74.07541220081978,"{'latitude': '40.63736602165106', 'longitude': '-74.07541220081978', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58829377,2023-09-16T23:32:33.000,2023-09-17T00:32:49.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11369,30-33 87 STREET,87 STREET,30 AVENUE,31 AVENUE,30 AVENUE,31 AVENUE,ADDRESS,EAST ELMHURST,87 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:32:56.000,03 QUEENS,4013850056,QUEENS,1017050,216535,ONLINE,Unspecified,QUEENS,40.76095417193804,-73.88160008473876,"{'latitude': '40.76095417193804', 'longitude': '-73.88160008473876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58829582,2023-09-16T23:32:22.000,2023-09-17T00:02:15.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10032,1045 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST  162 STREET,WEST  163 STREET,WEST  162 STREET,WEST  163 STREET,ADDRESS,NEW YORK,ST NICHOLAS AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-17T00:02:21.000,12 MANHATTAN,1021220001,MANHATTAN,1000851,243985,ONLINE,Unspecified,MANHATTAN,40.836342176102015,-73.94000659174746,"{'latitude': '40.836342176102015', 'longitude': '-73.94000659174746', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58830877,2023-09-16T23:32:17.000,2023-09-17T00:11:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11236,622 REMSEN AVENUE,REMSEN AVENUE,CHURCH AVENUE,AVENUE A,CHURCH AVENUE,AVENUE A,ADDRESS,BROOKLYN,REMSEN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:11:25.000,17 BROOKLYN,3047100067,BROOKLYN,1006784,176730,ONLINE,Unspecified,BROOKLYN,40.65173102723366,-73.91879099575826,"{'latitude': '40.65173102723366', 'longitude': '-73.91879099575826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58836055,2023-09-16T23:32:16.000,2023-09-17T00:12:08.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,2705 BAINBRIDGE AVENUE,BAINBRIDGE AVENUE,EAST  194 STREET,EAST  196 STREET,EAST  194 STREET,EAST  196 STREET,ADDRESS,BRONX,BAINBRIDGE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:12:16.000,07 BRONX,2032940053,BRONX,1014407,254807,ONLINE,Unspecified,BRONX,40.866009448186574,-73.89096869622344,"{'latitude': '40.866009448186574', 'longitude': '-73.89096869622344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58834882,2023-09-16T23:32:12.000,2023-09-17T00:16:21.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11368,105-04 WESTSIDE AVENUE,WESTSIDE AVENUE,GRANGER STREET,PENROD STREET,GRANGER STREET,PENROD STREET,ADDRESS,CORONA,WESTSIDE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T00:16:27.000,04 QUEENS,4019640038,QUEENS,1024805,208244,ONLINE,Unspecified,QUEENS,40.73816532793514,-73.85365649303131,"{'latitude': '40.73816532793514', 'longitude': '-73.85365649303131', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58831560,2023-09-16T23:31:53.000,2023-09-16T23:50:46.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,10025,WEST   95 STREET,WEST   95 STREET,AMSTERDAM AVENUE,WEST   95 STREET,AMSTERDAM AVENUE,WEST   95 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:50:50.000,07 MANHATTAN,,MANHATTAN,992319,228328,MOBILE,Unspecified,MANHATTAN,40.79338000948269,-73.9708587203699,"{'latitude': '40.79338000948269', 'longitude': '-73.9708587203699', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
58828105,2023-09-16T23:31:50.000,2023-09-17T01:26:52.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10469,3315 LURTING AVENUE,LURTING AVENUE,DUNCAN STREET,EAST GUN HILL ROAD,DUNCAN STREET,EAST GUN HILL ROAD,ADDRESS,BRONX,LURTING AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T01:26:56.000,12 BRONX,2046380043,BRONX,1023922,257487,MOBILE,Unspecified,BRONX,40.873327585720794,-73.85655182012498,"{'latitude': '40.873327585720794', 'longitude': '-73.85655182012498', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,
