unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,taxi_pick_up_location,vehicle_type,bridge_highway_direction
58868477,2023-09-19T21:22:18.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10002,99 SUFFOLK STREET,SUFFOLK STREET,DELANCEY STREET,RIVINGTON STREET,DELANCEY STREET,RIVINGTON STREET,ADDRESS,NEW YORK,SUFFOLK STREET,Closed,The Department of Homeless Services has reviewed your Service Request and determined that the issue is not within its jurisdiction.,2023-09-20T01:19:51.000,03 MANHATTAN,1003530069,MANHATTAN,988068,201129,MOBILE,Unspecified,MANHATTAN,40.718728547929224,-73.9862266969104,"{'latitude': '40.718728547929224', 'longitude': '-73.9862266969104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58857964,2023-09-19T21:22:10.000,2023-09-19T21:33:30.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10035,25 CENTRAL ROAD,CENTRAL ROAD,REILLY BOULEVARD,BEND,REILLY BOULEVARD,BEND,ADDRESS,NEW YORK,CENTRAL ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T21:33:34.000,11 MANHATTAN,1018190203,MANHATTAN,1006125,228643,MOBILE,Unspecified,MANHATTAN,40.7942212081307,-73.92099719649754,"{'latitude': '40.7942212081307', 'longitude': '-73.92099719649754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58856772,2023-09-19T21:21:47.000,2023-09-20T07:15:06.000,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,11373,QUEENS BOULEVARD,QUEENS BOULEVARD,QUEENS BOULEVARD,VAN LOON STREET,QUEENS BOULEVARD,VAN LOON STREET,INTERSECTION,,,Closed,The Department of Transportation investigated this request and determined this street requires a reconstruction project. This location is part of an existing project or may be included in a future project. These projects are long term and vary in length.,2023-09-20T07:15:10.000,04 QUEENS,,QUEENS,1017670,207866,ONLINE,Unspecified,QUEENS,40.73715765192583,-73.87940512126264,"{'latitude': '40.73715765192583', 'longitude': '-73.87940512126264', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58857397,2023-09-19T21:21:43.000,2023-09-19T22:08:40.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11225,243 SULLIVAN PLACE,SULLIVAN PLACE,ROGERS AVENUE,NOSTRAND AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,SULLIVAN PLACE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T22:08:42.000,09 BROOKLYN,,BROOKLYN,997345,181405,ONLINE,Unspecified,BROOKLYN,40.664581861556336,-73.9527985849674,"{'latitude': '40.664581861556336', 'longitude': '-73.9527985849674', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58855983,2023-09-19T21:21:40.000,2023-09-19T22:53:29.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,BUSSING AVENUE,BUSSING AVENUE,BUSSING AVENUE,EAST  232 STREET,BUSSING AVENUE,EAST  232 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T22:53:33.000,12 BRONX,,BRONX,1024492,264185,PHONE,Unspecified,BRONX,40.89170890122164,-73.85445054516224,"{'latitude': '40.89170890122164', 'longitude': '-73.85445054516224', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58869516,2023-09-19T21:21:39.000,2023-09-19T21:24:59.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,3424 BROADWAY,BROADWAY,WEST  139 STREET,WEST  140 STREET,WEST  139 STREET,WEST  140 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T21:25:04.000,09 MANHATTAN,1020710001,MANHATTAN,997239,239060,MOBILE,Unspecified,MANHATTAN,40.82283051428899,-73.95306932541597,"{'latitude': '40.82283051428899', 'longitude': '-73.95306932541597', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58861775,2023-09-19T21:21:12.000,2023-09-19T21:32:27.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10035,25 CENTRAL ROAD,CENTRAL ROAD,REILLY BOULEVARD,BEND,REILLY BOULEVARD,BEND,ADDRESS,NEW YORK,CENTRAL ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T21:32:29.000,11 MANHATTAN,1018190203,MANHATTAN,1006125,228643,MOBILE,Unspecified,MANHATTAN,40.7942212081307,-73.92099719649754,"{'latitude': '40.7942212081307', 'longitude': '-73.92099719649754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58856048,2023-09-19T21:21:04.000,2023-09-19T21:24:55.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,3424 BROADWAY,BROADWAY,WEST  139 STREET,WEST  140 STREET,WEST  139 STREET,WEST  140 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T21:24:58.000,09 MANHATTAN,1020710001,MANHATTAN,997239,239060,MOBILE,Unspecified,MANHATTAN,40.82283051428899,-73.95306932541597,"{'latitude': '40.82283051428899', 'longitude': '-73.95306932541597', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58869238,2023-09-19T21:21:02.000,2023-09-19T22:21:19.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11235,738 OCEANVIEW AVENUE,OCEANVIEW AVENUE,BRIGHTON    8 PLACE,CONEY ISLAND AVENUE,BRIGHTON    8 PLACE,CONEY ISLAND AVENUE,ADDRESS,BROOKLYN,OCEAN VIEW AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T22:21:23.000,13 BROOKLYN,3086780056,BROOKLYN,995294,150581,MOBILE,Unspecified,BROOKLYN,40.57997923053122,-73.96024191792384,"{'latitude': '40.57997923053122', 'longitude': '-73.96024191792384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58866175,2023-09-19T21:20:55.000,2023-09-20T10:00:41.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10463,3227 KINGSBRIDGE AVENUE,KINGSBRIDGE AVENUE,WEST  233 STREET,WEST  234 STREET,WEST  233 STREET,WEST  234 STREET,ADDRESS,BRONX,KINGSBRIDGE AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T10:00:43.000,08 BRONX,2057560243,BRONX,1010615,260554,ONLINE,Unspecified,BRONX,40.88179532656483,-73.90465587784193,"{'latitude': '40.88179532656483', 'longitude': '-73.90465587784193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58867260,2023-09-19T21:20:46.000,2023-09-19T22:43:04.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11377,45-50 47 STREET,47 STREET,GREENPOINT AVENUE,47 AVENUE,GREENPOINT AVENUE,47 AVENUE,ADDRESS,WOODSIDE,47 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T22:43:08.000,02 QUEENS,4001530043,QUEENS,1006991,209712,ONLINE,Unspecified,QUEENS,40.74225836684562,-73.9179336436325,"{'latitude': '40.74225836684562', 'longitude': '-73.9179336436325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58864877,2023-09-19T21:20:43.000,2023-09-20T06:06:50.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11379,64 STREET,64 STREET,64 STREET,ELIOT AVENUE,64 STREET,ELIOT AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T06:06:53.000,05 QUEENS,,QUEENS,1012359,200102,MOBILE,Unspecified,QUEENS,40.715865849355914,-73.89860208666718,"{'latitude': '40.715865849355914', 'longitude': '-73.89860208666718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58870261,2023-09-19T21:20:25.000,2023-09-20T02:00:39.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11230,4822 BAY PARKWAY,BAY PARKWAY,EAST    4 STREET,EAST    3 STREET,EAST    4 STREET,EAST    3 STREET,ADDRESS,BROOKLYN,BAY PARKWAY,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T02:00:44.000,12 BROOKLYN,3054950804,BROOKLYN,991685,166304,MOBILE,Unspecified,BROOKLYN,40.62313943147496,-73.97321690670353,"{'latitude': '40.62313943147496', 'longitude': '-73.97321690670353', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58865633,2023-09-19T21:20:22.000,2023-09-19T21:20:35.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,3424 BROADWAY,BROADWAY,WEST  139 STREET,WEST  140 STREET,WEST  139 STREET,WEST  140 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T21:20:38.000,09 MANHATTAN,1020710001,MANHATTAN,997239,239060,MOBILE,Unspecified,MANHATTAN,40.82283051428899,-73.95306932541597,"{'latitude': '40.82283051428899', 'longitude': '-73.95306932541597', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58868067,2023-09-19T21:20:18.000,2023-09-20T05:24:53.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11356,7-17 123 STREET,123 STREET,7 AVENUE,9 AVENUE,7 AVENUE,9 AVENUE,ADDRESS,COLLEGE POINT,123 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T05:25:01.000,07 QUEENS,4039650046,QUEENS,1027286,227345,PHONE,Unspecified,QUEENS,40.790580834772,-73.84458148273701,"{'latitude': '40.790580834772', 'longitude': '-73.84458148273701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58859122,2023-09-19T21:20:00.000,2023-09-21T17:47:00.000,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10029,1615 MADISON AVENUE,MADISON AVENUE,E 108 ST,E 109 ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-21T17:47:00.000,11 MANHATTAN,1016140021,MANHATTAN,998546,228974,ONLINE,Unspecified,MANHATTAN,40.79514522457591,-73.94836847233883,"{'latitude': '40.79514522457591', 'longitude': '-73.94836847233883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58857199,2023-09-19T21:20:00.000,2023-09-22T22:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10011,312 WEST   21 STREET,WEST   21 STREET,8 AVE,9 AVE,,,ADDRESS,NEW YORK,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-22T22:00:00.000,04 MANHATTAN,1007440048,MANHATTAN,984225,210438,ONLINE,Unspecified,MANHATTAN,40.74428029417955,-74.00009022122485,"{'latitude': '40.74428029417955', 'longitude': '-74.00009022122485', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58858095,2023-09-19T21:20:00.000,2023-09-21T12:19:33.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10468,2512 UNIVERSITY AVENUE,UNIVERSITY AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-21T00:00:00.000,07 BRONX,2032140005,BRONX,1011070,254685,MOBILE,Unspecified,BRONX,40.865685364854315,-73.90303395037606,"{'latitude': '40.865685364854315', 'longitude': '-73.90303395037606', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58855320,2023-09-19T21:20:00.000,2023-09-20T18:20:00.000,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10011,313 WEST   20 STREET,WEST   20 STREET,8 AVE,9 AVE,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-20T18:20:00.000,04 MANHATTAN,1007440030,MANHATTAN,984108,210231,PHONE,Unspecified,MANHATTAN,40.7437121298188,-74.00051245218695,"{'latitude': '40.7437121298188', 'longitude': '-74.00051245218695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58859868,2023-09-19T21:19:54.000,2023-09-19T21:20:34.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,3424 BROADWAY,BROADWAY,WEST  139 STREET,WEST  140 STREET,WEST  139 STREET,WEST  140 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department issued a summons in response to the complaint.,2023-09-19T21:20:37.000,09 MANHATTAN,1020710001,MANHATTAN,997239,239060,MOBILE,Unspecified,MANHATTAN,40.82283051428899,-73.95306932541597,"{'latitude': '40.82283051428899', 'longitude': '-73.95306932541597', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58869518,2023-09-19T21:19:25.000,2023-09-19T21:39:56.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,3647 BROADWAY,BROADWAY,WEST  150 STREET,WEST  151 STREET,WEST  150 STREET,WEST  151 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T21:39:59.000,09 MANHATTAN,1020970027,MANHATTAN,998631,241585,MOBILE,Unspecified,MANHATTAN,40.82975876234579,-73.94803446649952,"{'latitude': '40.82975876234579', 'longitude': '-73.94803446649952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58869659,2023-09-19T21:19:16.000,2023-09-19T22:27:12.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11229,1815 EAST   17 STREET,EAST   17 STREET,AVENUE R,MOORE PLACE,AVENUE R,MOORE PLACE,ADDRESS,BROOKLYN,EAST   17 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T22:27:15.000,15 BROOKLYN,3068210275,BROOKLYN,996536,159911,MOBILE,Unspecified,BROOKLYN,40.605586570194475,-73.95575378891145,"{'latitude': '40.605586570194475', 'longitude': '-73.95575378891145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58855985,2023-09-19T21:19:02.000,2023-09-19T21:21:57.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11207,432 BARBEY STREET,BARBEY STREET,PITKIN AVENUE,BELMONT AVENUE,PITKIN AVENUE,BELMONT AVENUE,ADDRESS,BROOKLYN,BARBEY STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T21:22:02.000,05 BROOKLYN,3040120027,BROOKLYN,1015486,184208,PHONE,Unspecified,BROOKLYN,40.67223004965844,-73.88739573834482,"{'latitude': '40.67223004965844', 'longitude': '-73.88739573834482', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58859311,2023-09-19T21:19:01.000,2023-09-20T00:02:36.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11204,1766 59 STREET,59 STREET,17 AVENUE,18 AVENUE,17 AVENUE,18 AVENUE,ADDRESS,BROOKLYN,59 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T00:02:42.000,12 BROOKLYN,3055110034,BROOKLYN,987717,166294,ONLINE,Unspecified,BROOKLYN,40.62311442500842,-73.9875108340905,"{'latitude': '40.62311442500842', 'longitude': '-73.9875108340905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58865770,2023-09-19T21:19:01.000,2023-09-19T21:39:23.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10030,141 EDGECOMBE AVENUE,EDGECOMBE AVENUE,WEST  141 STREET,WEST  142 STREET,WEST  141 STREET,WEST  142 STREET,ADDRESS,NEW YORK,EDGECOMBE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T21:39:27.000,09 MANHATTAN,1020510015,MANHATTAN,999482,238509,MOBILE,Unspecified,MANHATTAN,40.82131459234107,-73.94496637434622,"{'latitude': '40.82131459234107', 'longitude': '-73.94496637434622', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58864543,2023-09-19T21:19:00.000,2023-09-21T11:55:00.000,DSNY,Department of Sanitation,Electronics Waste Appointment,Ewaste appointment,Sidewalk,10309,200 RAMAPO AVENUE,RAMAPO AVENUE,FOSTER ROAD,LENEVAR AVENUE,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Sanitation collected the E-waste.,2023-09-21T11:55:00.000,03 STATEN ISLAND,5069320073,STATEN ISLAND,926322,136120,PHONE,Unspecified,STATEN ISLAND,40.54010429887064,-74.20841489191152,"{'latitude': '40.54010429887064', 'longitude': '-74.20841489191152', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58857999,2023-09-19T21:19:00.000,2023-09-19T21:56:35.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10454,132 LOCUST AVENUE,LOCUST AVENUE,EAST  134 STREET,EAST  135 STREET,EAST  134 STREET,EAST  135 STREET,ADDRESS,BRONX,LOCUST AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-19T21:56:39.000,01 BRONX,,BRONX,1009345,230777,MOBILE,Unspecified,BRONX,40.800069897384915,-73.90936001681992,"{'latitude': '40.800069897384915', 'longitude': '-73.90936001681992', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
