unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,road_ramp,taxi_company_borough
58935545,2023-09-26T18:22:53.000,2023-09-27T09:54:19.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11385,60-43 67 AVENUE,67 AVENUE,60 PLACE,60 LANE,60 PLACE,60 LANE,ADDRESS,RIDGEWOOD,67 AVENUE,Closed,The Department of Sanitation removed the items.,2023-09-27T09:54:24.000,05 QUEENS,4035110055,QUEENS,1012305,196189,MOBILE,Unspecified,QUEENS,40.70512577194018,-73.89881318652989,"{'latitude': '40.70512577194018', 'longitude': '-73.89881318652989', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58931131,2023-09-26T18:22:52.000,2023-09-29T20:17:00.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11367,79-25 150 STREET,150 STREET,,,,,ADDRESS,FLUSHING,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,08 QUEENS,4067120001,QUEENS,1036022,201509,PHONE,Unspecified,QUEENS,40.7196208909642,-73.81323165737591,"{'latitude': '40.7196208909642', 'longitude': '-73.81323165737591', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58929801,2023-09-26T18:22:52.000,2023-09-28T20:18:10.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11367,79-25 150 STREET,150 STREET,,,,,ADDRESS,FLUSHING,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-28T00:00:00.000,08 QUEENS,4067120001,QUEENS,1036022,201509,PHONE,Unspecified,QUEENS,40.7196208909642,-73.81323165737591,"{'latitude': '40.7196208909642', 'longitude': '-73.81323165737591', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58933876,2023-09-26T18:22:48.000,2023-10-13T14:41:56.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11374,65-74 WETHEROLE STREET,WETHEROLE STREET,,,,,ADDRESS,REGO PARK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-13T00:00:00.000,06 QUEENS,4031000026,QUEENS,1023568,203807,PHONE,Unspecified,QUEENS,40.725992453506166,-73.8581461516734,"{'latitude': '40.725992453506166', 'longitude': '-73.8581461516734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58933774,2023-09-26T18:22:48.000,2023-10-13T14:41:56.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11374,65-74 WETHEROLE STREET,WETHEROLE STREET,,,,,ADDRESS,REGO PARK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-13T00:00:00.000,06 QUEENS,4031000026,QUEENS,1023568,203807,PHONE,Unspecified,QUEENS,40.725992453506166,-73.8581461516734,"{'latitude': '40.725992453506166', 'longitude': '-73.8581461516734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58930002,2023-09-26T18:22:48.000,2023-10-13T14:41:56.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,11374,65-74 WETHEROLE STREET,WETHEROLE STREET,,,,,ADDRESS,REGO PARK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-13T00:00:00.000,06 QUEENS,4031000026,QUEENS,1023568,203807,PHONE,Unspecified,QUEENS,40.725992453506166,-73.8581461516734,"{'latitude': '40.725992453506166', 'longitude': '-73.8581461516734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58928609,2023-09-26T18:22:48.000,2023-10-13T14:41:56.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11374,65-74 WETHEROLE STREET,WETHEROLE STREET,,,,,ADDRESS,REGO PARK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-13T00:00:00.000,06 QUEENS,4031000026,QUEENS,1023568,203807,PHONE,Unspecified,QUEENS,40.725992453506166,-73.8581461516734,"{'latitude': '40.725992453506166', 'longitude': '-73.8581461516734', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58931475,2023-09-26T18:22:40.000,2023-09-28T11:22:31.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,10301,91 HENDERSON AVENUE,HENDERSON AVENUE,LAFAYETTE AVENUE,GRACE COURT,LAFAYETTE AVENUE,GRACE COURT,ADDRESS,STATEN ISLAND,HENDERSON AVENUE,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-09-28T11:22:37.000,01 STATEN ISLAND,5000730064,STATEN ISLAND,957780,172710,UNKNOWN,Unspecified,STATEN ISLAND,40.640686111543296,-74.09537794669882,"{'latitude': '40.640686111543296', 'longitude': '-74.09537794669882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58929538,2023-09-26T18:22:34.000,2023-09-29T00:00:00.000,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,10302,122 TREADWELL AVENUE,TREADWELL AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-29T00:00:00.000,01 STATEN ISLAND,5010880049,STATEN ISLAND,945887,171283,UNKNOWN,Unspecified,STATEN ISLAND,40.636725778223756,-74.13822318903493,"{'latitude': '40.636725778223756', 'longitude': '-74.13822318903493', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58929355,2023-09-26T18:22:33.000,2023-09-26T18:22:33.000,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,11428,94-28 213 STREET,213 STREET,,,,,ADDRESS,QUEENS VILLAGE,,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-26T00:00:00.000,13 QUEENS,4106020020,QUEENS,1054841,200679,UNKNOWN,Unspecified,QUEENS,40.717212601832045,-73.74535084082808,"{'latitude': '40.717212601832045', 'longitude': '-73.74535084082808', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58933962,2023-09-26T18:22:30.000,2023-09-26T20:20:06.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11413,130-49 224 STREET,224 STREET,130 AVENUE,131 AVENUE,130 AVENUE,131 AVENUE,ADDRESS,SPRINGFIELD GARDENS,224 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-26T20:20:10.000,13 QUEENS,4129020012,QUEENS,1055493,187976,PHONE,Unspecified,QUEENS,40.68234075825143,-73.74313321107029,"{'latitude': '40.68234075825143', 'longitude': '-73.74313321107029', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58933257,2023-09-26T18:22:27.000,2023-10-20T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10305,1130 BAY STREET,BAY STREET,,,,,ADDRESS,STATEN ISLAND,,Closed,The City has removed the graffiti from this property.,2023-10-23T06:46:04.000,01 STATEN ISLAND,5028480049,STATEN ISLAND,965586,163545,UNKNOWN,Unspecified,STATEN ISLAND,40.61555001259665,-74.06722567061767,"{'latitude': '40.61555001259665', 'longitude': '-74.06722567061767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-10-26T18:22:27.000,,,,,,
58929367,2023-09-26T18:22:13.000,2023-10-20T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10305,1130 BAY STREET,BAY STREET,,,,,ADDRESS,STATEN ISLAND,,Closed,The City has removed the graffiti from this property.,2023-10-23T06:46:04.000,01 STATEN ISLAND,5028480049,STATEN ISLAND,965586,163545,UNKNOWN,Unspecified,STATEN ISLAND,40.61555001259665,-74.06722567061767,"{'latitude': '40.61555001259665', 'longitude': '-74.06722567061767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-10-26T18:22:13.000,,,,,,
58931381,2023-09-26T18:22:06.000,2023-09-26T18:44:29.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11201,205 SMITH STREET,SMITH STREET,WARREN STREET,BALTIC STREET,WARREN STREET,BALTIC STREET,ADDRESS,BROOKLYN,SMITH STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T18:44:33.000,06 BROOKLYN,3003970001,BROOKLYN,986556,188806,ONLINE,Unspecified,BROOKLYN,40.68490532433471,-73.99168540420952,"{'latitude': '40.68490532433471', 'longitude': '-73.99168540420952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58933086,2023-09-26T18:21:54.000,2023-09-28T11:21:01.000,DSNY,Department of Sanitation,Obstruction,Cone,Street,10019,761 9 AVENUE,9 AVENUE,WEST   51 STREET,WEST   52 STREET,WEST   51 STREET,WEST   52 STREET,ADDRESS,NEW YORK,9 AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-28T11:21:06.000,04 MANHATTAN,1010610029,MANHATTAN,987463,217715,PHONE,Unspecified,MANHATTAN,40.764253226845604,-73.9884012909641,"{'latitude': '40.764253226845604', 'longitude': '-73.9884012909641', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58930932,2023-09-26T18:21:53.000,2023-09-26T18:40:01.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11239,598 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ESSEX STREET,BERRIMAN STREET,ESSEX STREET,BERRIMAN STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-26T18:40:06.000,05 BROOKLYN,3045860945,BROOKLYN,1020207,178299,ONLINE,Unspecified,BROOKLYN,40.65599325559804,-73.87040829977123,"{'latitude': '40.65599325559804', 'longitude': '-73.87040829977123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58933492,2023-09-26T18:21:00.000,2023-09-27T12:20:00.000,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,,11225,,,,,KINGSTON AVENUE,LEFFERTS AVENUE,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-27T12:20:00.000,09 BROOKLYN,,BROOKLYN,1000111,180775,UNKNOWN,Unspecified,BROOKLYN,40.662848128427804,-73.94282991964144,"{'latitude': '40.662848128427804', 'longitude': '-73.94282991964144', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58928862,2023-09-26T18:20:56.000,2023-09-26T18:40:14.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,1132 ESSEX STREET,ESSEX STREET,VANDALIA AVENUE,SCHROEDERS AVENUE,VANDALIA AVENUE,SCHROEDERS AVENUE,ADDRESS,BROOKLYN,ESSEX STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-26T18:40:18.000,05 BROOKLYN,3044520701,BROOKLYN,1019860,178375,ONLINE,Unspecified,BROOKLYN,40.6562032609717,-73.87165851044746,"{'latitude': '40.6562032609717', 'longitude': '-73.87165851044746', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58935518,2023-09-26T18:20:31.000,2023-09-26T19:21:27.000,NYPD,New York City Police Department,Encampment,N/A,Subway,,,,,,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-26T19:21:32.000,Unspecified MANHATTAN,,MANHATTAN,984839,209257,ONLINE,Unspecified,MANHATTAN,40.74103872420417,-73.99787449135968,"{'latitude': '40.74103872420417', 'longitude': '-73.99787449135968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,1,1 Downtown,Platform,,,
58932385,2023-09-26T18:20:10.000,2023-10-18T17:22:19.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10027,2030 ADAM C POWELL BOULEVARD,ADAM C POWELL BOULEVARD,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-18T00:00:00.000,10 MANHATTAN,1019270033,MANHATTAN,998094,233186,PHONE,Unspecified,MANHATTAN,40.806706730552236,-73.94999223383212,"{'latitude': '40.806706730552236', 'longitude': '-73.94999223383212', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58928747,2023-09-26T18:20:10.000,2023-10-18T17:22:19.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,10027,2030 ADAM C POWELL BOULEVARD,ADAM C POWELL BOULEVARD,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-18T00:00:00.000,10 MANHATTAN,1019270033,MANHATTAN,998094,233186,PHONE,Unspecified,MANHATTAN,40.806706730552236,-73.94999223383212,"{'latitude': '40.806706730552236', 'longitude': '-73.94999223383212', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58932195,2023-09-26T18:20:05.000,2023-09-26T18:53:31.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,111-12 39 AVENUE,39 AVENUE,111 STREET,112 STREET,111 STREET,112 STREET,ADDRESS,CORONA,39 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T18:53:34.000,03 QUEENS,4017840006,QUEENS,1024161,213458,MOBILE,Unspecified,QUEENS,40.752479362119395,-73.85594943506246,"{'latitude': '40.752479362119395', 'longitude': '-73.85594943506246', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58931631,2023-09-26T18:20:05.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,11414,88-08 151 AVENUE,151 AVENUE,88 STREET,89 STREET,88 STREET,89 STREET,ADDRESS,HOWARD BEACH,151 AVENUE,In Progress,,,10 QUEENS,4114340007,QUEENS,1026720,182861,ONLINE,Unspecified,QUEENS,40.66848607627237,-73.84690627257683,"{'latitude': '40.66848607627237', 'longitude': '-73.84690627257683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58932709,2023-09-26T18:19:59.000,2023-09-26T18:40:28.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,541 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ELTON STREET,ESSEX STREET,ELTON STREET,ESSEX STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-26T18:40:31.000,05 BROOKLYN,3044520719,BROOKLYN,1019673,177998,ONLINE,Unspecified,BROOKLYN,40.655169229629884,-73.87233445375232,"{'latitude': '40.655169229629884', 'longitude': '-73.87233445375232', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58932746,2023-09-26T18:19:45.000,2023-11-18T12:52:15.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11216,372 QUINCY STREET,QUINCY STREET,MARCY AVENUE,TOMPKINS AVENUE,MARCY AVENUE,TOMPKINS AVENUE,ADDRESS,BROOKLYN,QUINCY STREET,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-11-18T12:52:25.000,03 BROOKLYN,3018090023,BROOKLYN,999149,189739,PHONE,Unspecified,BROOKLYN,40.68745395614842,-73.94627757800346,"{'latitude': '40.68745395614842', 'longitude': '-73.94627757800346', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58927207,2023-09-26T18:19:31.000,2023-09-26T18:39:40.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033,602 WEST  184 STREET,WEST  184 STREET,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ST NICHOLAS AVENUE,WADSWORTH AVENUE,ADDRESS,NEW YORK,WEST  184 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-26T18:39:42.000,12 MANHATTAN,1021650063,MANHATTAN,1002877,249395,MOBILE,Unspecified,MANHATTAN,40.85118699615938,-73.93266992103403,"{'latitude': '40.85118699615938', 'longitude': '-73.93266992103403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58931419,2023-09-26T18:19:15.000,2023-09-26T18:40:42.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ASHFORD STREET,ELTON STREET,ASHFORD STREET,ELTON STREET,ADDRESS,BROOKLYN,SCHROEDERS AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-26T18:40:48.000,05 BROOKLYN,3044520423,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58929547,2023-09-26T18:19:11.000,2023-11-24T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Construction - Change Grade/Watercourse,,11212,169 EAST   92 STREET,EAST   92 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-11-24T00:00:00.000,17 BROOKLYN,3046110053,BROOKLYN,1004674,180055,UNKNOWN,Unspecified,BROOKLYN,40.660862538324274,-73.92638503120641,"{'latitude': '40.660862538324274', 'longitude': '-73.92638503120641', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
