unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,taxi_pick_up_location
58894690,2023-09-22T08:10:22.000,2023-09-22T08:29:38.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11236,GLENWOOD ROAD,GLENWOOD ROAD,EAST   86 STREET,EAST   87 STREET,EAST   86 STREET,EAST   87 STREET,BLOCKFACE,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T08:29:42.000,Unspecified BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
58898318,2023-09-22T08:10:11.000,2023-10-02T09:59:39.000,DOT,Department of Transportation,Sidewalk Condition,Blocked - Construction,Sidewalk,11372,35-52 84 STREET,84 STREET,35 AVENUE,37 AVENUE,35 AVENUE,37 AVENUE,ADDRESS,JACKSON HEIGHTS,84 STREET,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-10-02T09:59:43.000,03 QUEENS,4014570032,QUEENS,1016731,213129,ONLINE,Unspecified,QUEENS,40.75160675590961,-73.88276804895736,"{'latitude': '40.75160675590961', 'longitude': '-73.88276804895736', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894364,2023-09-22T08:10:05.000,2023-09-23T06:55:56.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11420,109-02 113 STREET,113 STREET,109 AVENUE,111 AVENUE,109 AVENUE,111 AVENUE,ADDRESS,SOUTH OZONE PARK,113 STREET,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-23T06:55:56.000,10 QUEENS,4115930006,QUEENS,1032215,187271,ONLINE,Unspecified,QUEENS,40.680562445517616,-73.82706683701556,"{'latitude': '40.680562445517616', 'longitude': '-73.82706683701556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891878,2023-09-22T08:09:57.000,2023-09-22T11:05:21.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204,2049 71 STREET,71 STREET,20 AVENUE,21 AVENUE,20 AVENUE,21 AVENUE,ADDRESS,BROOKLYN,71 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T11:05:25.000,11 BROOKLYN,3061740058,BROOKLYN,987497,162417,MOBILE,Unspecified,BROOKLYN,40.61247294811184,-73.9883052041266,"{'latitude': '40.61247294811184', 'longitude': '-73.9883052041266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894162,2023-09-22T08:09:48.000,2023-10-19T09:43:20.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,10031,MONTEFIORE SQUARE,MONTEFIORE SQUARE,BROADWAY,WEST  138 STREET,BROADWAY,WEST  138 STREET,UNRECOGNIZED,NEW YORK,MONTEFIORE PARK,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-10-19T09:43:23.000,09 MANHATTAN,1019880165,MANHATTAN,997113,238602,MOBILE,Montefiore Square,MANHATTAN,40.82157361843168,-73.95352545503445,"{'latitude': '40.82157361843168', 'longitude': '-73.95352545503445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900755,2023-09-22T08:09:46.000,2023-09-26T08:12:56.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11385,1819 GEORGE STREET,GEORGE STREET,,,,,ADDRESS,RIDGEWOOD,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-26T00:00:00.000,05 QUEENS,4035740051,QUEENS,1011656,194153,ONLINE,Unspecified,QUEENS,40.699539466837884,-73.90116223796252,"{'latitude': '40.699539466837884', 'longitude': '-73.90116223796252', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897082,2023-09-22T08:09:42.000,2023-09-25T13:00:53.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10312,33 COVINGTON CIRCLE,COVINGTON CIRCLE,POWELL STREET,WYCLIFF LANE,POWELL STREET,WYCLIFF LANE,ADDRESS,STATEN ISLAND,COVINGTON CIRCLE,Closed,The Department of Sanitation collected the requested items.,2023-09-23T11:36:55.000,03 STATEN ISLAND,5061060045,STATEN ISLAND,927825,138450,ONLINE,Unspecified,STATEN ISLAND,40.546509380070965,-74.2030268076991,"{'latitude': '40.546509380070965', 'longitude': '-74.2030268076991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893767,2023-09-22T08:09:36.000,2023-09-22T14:37:49.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,10463,3260 HENRY HUDSON PARKWAY EAST,HENRY HUDSON PARKWAY EAST,FAIRFIELD AVENUE,WEST  235 ST-W  236 ST PED OVPS,FAIRFIELD AVENUE,WEST  235 ST-W  236 ST PED OVPS,ADDRESS,BRONX,HENRY HUDSON PARKWAY EAST,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T14:37:47.000,08 BRONX,2057890033,BRONX,1008294,261941,ONLINE,Unspecified,BRONX,40.88560883494196,-73.91304435807986,"{'latitude': '40.88560883494196', 'longitude': '-73.91304435807986', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898494,2023-09-22T08:09:06.000,2023-09-22T15:06:50.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Street,11375,71-55 INGRAM STREET,INGRAM STREET,71 AVENUE,72 AVENUE,71 AVENUE,72 AVENUE,ADDRESS,FOREST HILLS,INGRAM STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-22T14:47:29.000,06 QUEENS,4032460039,QUEENS,1026627,199504,ONLINE,Unspecified,QUEENS,40.7141676475061,-73.84713682035067,"{'latitude': '40.7141676475061', 'longitude': '-73.84713682035067', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896103,2023-09-22T08:09:06.000,2023-10-02T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11249,113 BERRY STREET,BERRY STREET,,,,,ADDRESS,BROOKLYN,,Closed,The City has removed the graffiti from this property.,2023-10-03T09:56:47.000,01 BROOKLYN,3023190005,BROOKLYN,995697,201196,UNKNOWN,Unspecified,BROOKLYN,40.718905864910546,-73.95870523176663,"{'latitude': '40.718905864910546', 'longitude': '-73.95870523176663', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-10-22T08:09:06.000,,,,,
58892885,2023-09-22T08:09:04.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10036,4 TIMES SQUARE,TIMES SQUARE,WEST 42 STREET,WEST 43 STREET,WEST   42 STREET,WEST   43 STREET,ADDRESS,NEW YORK,TIMES SQUARE,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-22T10:32:54.000,05 MANHATTAN,1009950005,MANHATTAN,988061,214774,ONLINE,Unspecified,MANHATTAN,40.75618069843113,-73.9862442193267,"{'latitude': '40.75618069843113', 'longitude': '-73.9862442193267', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893297,2023-09-22T08:09:03.000,2023-09-22T11:47:41.000,NYPD,New York City Police Department,Illegal Parking,Overnight Commercial Storage,Street/Sidewalk,10467,3764 BRONX BOULEVARD,BRONX BOULEVARD,EAST  216 STREET,CARPENTER AVENUE,EAST  216 STREET,CARPENTER AVENUE,ADDRESS,BRONX,BRONX BOULEVARD,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-22T11:47:44.000,12 BRONX,2046490031,BRONX,1021249,261364,PHONE,Unspecified,BRONX,40.883980346342426,-73.86619557019465,"{'latitude': '40.883980346342426', 'longitude': '-73.86619557019465', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898820,2023-09-22T08:08:55.000,2023-09-22T13:36:55.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11219,1049 38 STREET,38 STREET,10 AVENUE,FORT HAMILTON PARKWAY,10 AVENUE,FORT HAMILTON PARKWAY,ADDRESS,BROOKLYN,38 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T13:36:57.000,12 BROOKLYN,3052890061,BROOKLYN,986703,174083,PHONE,Unspecified,BROOKLYN,40.64449391583504,-73.99116073255658,"{'latitude': '40.64449391583504', 'longitude': '-73.99116073255658', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899265,2023-09-22T08:08:47.000,2023-09-22T08:26:16.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10038,180 WATER STREET,WATER STREET,FLETCHER STREET,JOHN STREET,FLETCHER STREET,JOHN STREET,ADDRESS,NEW YORK,WATER STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T08:26:19.000,01 MANHATTAN,1000700032,MANHATTAN,982832,196778,ONLINE,Unspecified,MANHATTAN,40.706786799744656,-74.00511446961036,"{'latitude': '40.706786799744656', 'longitude': '-74.00511446961036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898632,2023-09-22T08:08:43.000,2023-09-26T13:57:19.000,DSNY,Department of Sanitation,Dirty Condition,Syringes,Street,10019,335 WEST   55 STREET,WEST   55 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   55 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-23T11:46:31.000,04 MANHATTAN,1010460117,MANHATTAN,988325,218369,UNKNOWN,Unspecified,MANHATTAN,40.76604793253768,-73.98528913381482,"{'latitude': '40.76604793253768', 'longitude': '-73.98528913381482', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893219,2023-09-22T08:08:39.000,2023-09-22T09:05:16.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10453,137 WEST TREMONT AVENUE,WEST TREMONT AVENUE,HARRISON AVENUE,UNIVERSITY AVENUE,HARRISON AVENUE,UNIVERSITY AVENUE,ADDRESS,BRONX,WEST TREMONT AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T09:05:19.000,05 BRONX,2028680081,BRONX,1007950,248976,MOBILE,Unspecified,BRONX,40.85002480608151,-73.91433429495969,"{'latitude': '40.85002480608151', 'longitude': '-73.91433429495969', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897510,2023-09-22T08:08:09.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,Residential,11249,99 NORTH    8 STREET,NORTH    8 STREET,,,,,ADDRESS,BROOKLYN,,Open,"The City will notify the property owner within 5 days that the City will clean the graffiti unless the property owner responds within 35 days; the property owner may choose to keep the graffiti, clean the property him/herself or request a 15 day extension.",2023-11-09T07:42:06.000,01 BROOKLYN,3023100039,BROOKLYN,995545,201493,UNKNOWN,Unspecified,BROOKLYN,40.719721253726576,-73.9592530695281,"{'latitude': '40.719721253726576', 'longitude': '-73.9592530695281', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-11-14T07:42:06.000,,,,,
58896877,2023-09-22T08:08:07.000,2023-09-23T09:46:43.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11385,78-02 75 STREET,75 STREET,78 AVENUE,MYRTLE AVENUE,78 AVENUE,MYRTLE AVENUE,ADDRESS,RIDGEWOOD,75 STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-23T09:46:45.000,05 QUEENS,4038240001,QUEENS,1019133,195843,ONLINE,Unspecified,QUEENS,40.70415180120811,-73.87418825617416,"{'latitude': '40.70415180120811', 'longitude': '-73.87418825617416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896216,2023-09-22T08:08:00.000,2023-09-22T10:10:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10022,,,,,1 AVENUE,EAST 54 STREET,INTERSECTION,MANHATTAN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-22T10:10:00.000,06 MANHATTAN,,MANHATTAN,994134,214849,UNKNOWN,Unspecified,MANHATTAN,40.75638185110532,-73.96432365522013,"{'latitude': '40.75638185110532', 'longitude': '-73.96432365522013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58899907,2023-09-22T08:08:00.000,2023-09-23T14:19:35.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11385,55-41 MYRTLE AVENUE,MYRTLE AVENUE,MADISON STREET,PUTNAM AVENUE,MADISON STREET,PUTNAM AVENUE,ADDRESS,RIDGEWOOD,MYRTLE AVENUE,Closed,The Department of Sanitation collected the requested items.,2023-09-23T10:32:54.000,05 QUEENS,4034510002,QUEENS,1009957,194321,ONLINE,Unspecified,QUEENS,40.700005686000424,-73.9072889129259,"{'latitude': '40.700005686000424', 'longitude': '-73.9072889129259', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902859,2023-09-22T08:07:55.000,2023-09-26T13:57:16.000,DSNY,Department of Sanitation,Dirty Condition,Syringes,Street,10019,313 WEST   54 STREET,WEST   54 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   54 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-23T11:45:46.000,04 MANHATTAN,1010450024,MANHATTAN,988420,218016,UNKNOWN,Unspecified,MANHATTAN,40.765078994520074,-73.98494640010846,"{'latitude': '40.765078994520074', 'longitude': '-73.98494640010846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898248,2023-09-22T08:07:53.000,2023-10-10T16:39:27.000,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,11436,143-02 119 AVENUE,119 AVENUE,143 STREET,144 STREET,143 STREET,144 STREET,ADDRESS,JAMAICA,119 AVENUE,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-10-10T16:39:31.000,12 QUEENS,4120230092,QUEENS,1040450,186273,PHONE,Unspecified,QUEENS,40.67777471543172,-73.79738476278636,"{'latitude': '40.67777471543172', 'longitude': '-73.79738476278636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891931,2023-09-22T08:07:52.000,2023-09-22T10:34:36.000,NYPD,New York City Police Department,Illegal Parking,Overnight Commercial Storage,Street/Sidewalk,11369,25-38 HUMPHREYS STREET,HUMPHREYS STREET,25 AVENUE,27 AVENUE,25 AVENUE,27 AVENUE,ADDRESS,EAST ELMHURST,HUMPHREYS STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T10:34:39.000,03 QUEENS,4016510025,QUEENS,1020600,217901,ONLINE,Unspecified,QUEENS,40.764689603203344,-73.86877809140935,"{'latitude': '40.764689603203344', 'longitude': '-73.86877809140935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901341,2023-09-22T08:07:45.000,2023-09-22T10:49:51.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11420,125-03 135 STREET,135 STREET,ROCKAWAY BOULEVARD,SUTTER AVENUE,ROCKAWAY BOULEVARD,SUTTER AVENUE,ADDRESS,SOUTH OZONE PARK,135 STREET,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-22T10:49:51.000,10 QUEENS,,QUEENS,1038734,184749,ONLINE,Unspecified,QUEENS,40.673602417519554,-73.80358367633966,"{'latitude': '40.673602417519554', 'longitude': '-73.80358367633966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902678,2023-09-22T08:07:43.000,2023-09-22T19:11:06.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10031,3387 BROADWAY,BROADWAY,WEST  137 STREET,WEST  138 STREET,WEST  137 STREET,WEST  138 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-22T19:11:10.000,09 MANHATTAN,1020860029,MANHATTAN,996991,238622,MOBILE,Unspecified,MANHATTAN,40.821628689585395,-73.95396620796721,"{'latitude': '40.821628689585395', 'longitude': '-73.95396620796721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901280,2023-09-22T08:07:40.000,2023-09-26T12:25:17.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11235,1020 SHORE BOULEVARD,SHORE BOULEVARD,HASTINGS STREET,IRWIN STREET,HASTINGS STREET,IRWIN STREET,ADDRESS,BROOKLYN,SHORE BOULEVARD,Closed,The Department of Sanitation collected the requested items.,2023-09-26T11:46:46.000,15 BROOKLYN,3087470142,BROOKLYN,999580,151015,ONLINE,Unspecified,BROOKLYN,40.58116409900127,-73.94481146047241,"{'latitude': '40.58116409900127', 'longitude': '-73.94481146047241', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896495,2023-09-22T08:07:38.000,2023-09-22T08:29:16.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Residential Building/House,11236,651 EAST  103 STREET,EAST  103 STREET,FARRAGUT ROAD,GLENWOOD ROAD,FARRAGUT ROAD,GLENWOOD ROAD,ADDRESS,BROOKLYN,EAST  103 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T08:29:22.000,18 BROOKLYN,,BROOKLYN,1012379,175668,ONLINE,Unspecified,BROOKLYN,40.64880006525663,-73.89863193782729,"{'latitude': '40.64880006525663', 'longitude': '-73.89863193782729', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894357,2023-09-22T08:07:35.000,2023-09-29T15:37:58.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Street,11216,HERKIMER STREET,HERKIMER STREET,HERKIMER STREET,NOSTRAND AVENUE,HERKIMER STREET,NOSTRAND AVENUE,INTERSECTION,,,Closed,The Department of Sanitation removed the items.,2023-09-28T11:23:29.000,03 BROOKLYN,,BROOKLYN,998234,186890,PHONE,Unspecified,BROOKLYN,40.67963559495174,-73.94958277277725,"{'latitude': '40.67963559495174', 'longitude': '-73.94958277277725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
