unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,facility_type,taxi_pick_up_location
58954262,2023-09-29T01:39:30.000,2023-10-04T13:59:10.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,10019,925 8 AVENUE,8 AVENUE,WEST   54 STREET,WEST   55 STREET,WEST   54 STREET,WEST   55 STREET,ADDRESS,NEW YORK,8 AVENUE,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-10-04T13:59:14.000,04 MANHATTAN,,MANHATTAN,988690,218072,ONLINE,Unspecified,MANHATTAN,40.76523256857017,-73.98397166962089,"{'latitude': '40.76523256857017', 'longitude': '-73.98397166962089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58950053,2023-09-29T01:39:24.000,2023-09-29T02:01:59.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10031,611 WEST  137 STREET,WEST  137 STREET,BROADWAY,RIVERSIDE DRIVE,BROADWAY,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  137 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T02:02:02.000,09 MANHATTAN,1020860011,MANHATTAN,996804,238616,MOBILE,Unspecified,MANHATTAN,40.821612489031935,-73.95464185827556,"{'latitude': '40.821612489031935', 'longitude': '-73.95464185827556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58959744,2023-09-29T01:37:33.000,2023-10-10T16:31:23.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10463,2621 PALISADE AVENUE,PALISADE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-10T00:00:00.000,08 BRONX,2057450001,BRONX,1006050,260622,ONLINE,Unspecified,BRONX,40.88199442223902,-73.92116412070499,"{'latitude': '40.88199442223902', 'longitude': '-73.92116412070499', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58958555,2023-09-29T01:37:33.000,2023-10-10T16:31:23.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10463,2621 PALISADE AVENUE,PALISADE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-10T00:00:00.000,08 BRONX,2057450001,BRONX,1006050,260622,ONLINE,Unspecified,BRONX,40.88199442223902,-73.92116412070499,"{'latitude': '40.88199442223902', 'longitude': '-73.92116412070499', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58962799,2023-09-29T01:37:33.000,2023-10-10T16:31:23.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10463,2621 PALISADE AVENUE,PALISADE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-10T00:00:00.000,08 BRONX,2057450001,BRONX,1006050,260622,ONLINE,Unspecified,BRONX,40.88199442223902,-73.92116412070499,"{'latitude': '40.88199442223902', 'longitude': '-73.92116412070499', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58958213,2023-09-29T01:37:32.000,2023-09-30T18:21:11.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10453,2255 MORRIS AVENUE,MORRIS AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-30T00:00:00.000,05 BRONX,2031820045,BRONX,1011242,251634,ONLINE,Unspecified,BRONX,40.85731077042864,-73.90242438276432,"{'latitude': '40.85731077042864', 'longitude': '-73.90242438276432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58965647,2023-09-29T01:37:00.000,2023-09-29T10:00:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10021,,,,,2 AVENUE,EAST 74 STREET,INTERSECTION,MANHATTAN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-29T10:00:00.000,08 MANHATTAN,,MANHATTAN,996049,219855,UNKNOWN,Unspecified,MANHATTAN,40.77011968174121,-73.95740266786355,"{'latitude': '40.77011968174121', 'longitude': '-73.95740266786355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,N/A,
58946310,2023-09-29T01:36:53.000,2023-09-29T02:00:45.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11103,30-87 44 STREET,44 STREET,30 ROAD,31 AVENUE,30 ROAD,31 AVENUE,ADDRESS,ASTORIA,44 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T02:00:47.000,01 QUEENS,,QUEENS,1008201,216263,MOBILE,Unspecified,QUEENS,40.76023600262132,-73.91354373807219,"{'latitude': '40.76023600262132', 'longitude': '-73.91354373807219', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
59455386,2023-09-29T01:36:44.000,2023-10-10T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Wall,Apartment,10463,2621 PALISADE AVENUE,PALISADE AVENUE,INDEPENDENCE AVENUE,KAPPOCK STREET,INDEPENDENCE AVENUE,KAPPOCK STREET,ADDRESS,BRONX,PALISADE AVENUE,Closed,,2023-10-10T00:00:00.000,08 BRONX,2057450001,BRONX,1006050,260622,ONLINE,Unspecified,BRONX,40.88199442223902,-73.92116412070499,"{'latitude': '40.88199442223902', 'longitude': '-73.92116412070499', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
59448462,2023-09-29T01:36:44.000,2023-10-10T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Ceiling,Apartment,10463,2621 PALISADE AVENUE,PALISADE AVENUE,INDEPENDENCE AVENUE,KAPPOCK STREET,INDEPENDENCE AVENUE,KAPPOCK STREET,ADDRESS,BRONX,PALISADE AVENUE,Closed,,2023-10-10T00:00:00.000,08 BRONX,2057450001,BRONX,1006050,260622,ONLINE,Unspecified,BRONX,40.88199442223902,-73.92116412070499,"{'latitude': '40.88199442223902', 'longitude': '-73.92116412070499', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
59439458,2023-09-29T01:36:42.000,2023-10-10T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Apartment,10463,2621 PALISADE AVENUE,PALISADE AVENUE,INDEPENDENCE AVENUE,KAPPOCK STREET,INDEPENDENCE AVENUE,KAPPOCK STREET,ADDRESS,BRONX,PALISADE AVENUE,Closed,,2023-10-10T00:00:00.000,08 BRONX,2057450001,BRONX,1006050,260622,ONLINE,Unspecified,BRONX,40.88199442223902,-73.92116412070499,"{'latitude': '40.88199442223902', 'longitude': '-73.92116412070499', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58948845,2023-09-29T01:36:29.000,2023-09-29T01:49:24.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10016,344 EAST   28 STREET,EAST   28 STREET,MOUNT CARMEL PLACE,1 AVENUE,MOUNT CARMEL PLACE,1 AVENUE,ADDRESS,NEW YORK,EAST   28 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T01:49:27.000,06 MANHATTAN,1009330025,MANHATTAN,990637,208987,ONLINE,Unspecified,MANHATTAN,40.740295354643706,-73.97695165980414,"{'latitude': '40.740295354643706', 'longitude': '-73.97695165980414', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58959458,2023-09-29T01:36:00.000,2023-09-29T04:10:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10472,,,,,ST LAWRENCE AVENUE,WESTCHESTER AVENUE,INTERSECTION,BRONX,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-29T04:10:00.000,09 BRONX,,BRONX,1020984,242288,UNKNOWN,Unspecified,BRONX,40.831623610991926,-73.86725846399716,"{'latitude': '40.831623610991926', 'longitude': '-73.86725846399716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,N/A,
58957107,2023-09-29T01:35:48.000,2023-09-29T01:35:48.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10467,2515 OLINVILLE AVENUE,OLINVILLE AVENUE,,,,,ADDRESS,BRONX,,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-29T00:00:00.000,11 BRONX,2044280056,BRONX,1020641,253961,UNKNOWN,Unspecified,BRONX,40.86366393876161,-73.8684345690263,"{'latitude': '40.86366393876161', 'longitude': '-73.8684345690263', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
59457274,2023-09-29T01:34:48.000,2023-09-30T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Apartment Only,Apartment,10453,2255 MORRIS AVENUE,MORRIS AVENUE,EAST  182 STREET,EAST  183 STREET,EAST  182 STREET,EAST  183 STREET,ADDRESS,BRONX,MORRIS AVENUE,Closed,,2023-09-30T00:00:00.000,05 BRONX,2031820045,BRONX,1011242,251634,ONLINE,Unspecified,BRONX,40.85731077042864,-73.90242438276432,"{'latitude': '40.85731077042864', 'longitude': '-73.90242438276432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58951775,2023-09-29T01:34:15.000,2023-09-29T02:56:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10456,535 EAST  170 STREET,EAST  170 STREET,3 AVENUE,FULTON AVENUE,3 AVENUE,FULTON AVENUE,ADDRESS,BRONX,EAST  170 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-29T02:56:25.000,03 BRONX,,BRONX,1011052,243480,MOBILE,Unspecified,BRONX,40.83493103062775,-73.90314382114883,"{'latitude': '40.83493103062775', 'longitude': '-73.90314382114883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58948048,2023-09-29T01:34:15.000,2023-09-29T02:11:08.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11212,87 EAST   91 STREET,EAST   91 STREET,EAST NEW YORK AVENUE,RUTLAND ROAD,EAST NEW YORK AVENUE,RUTLAND ROAD,ADDRESS,BROOKLYN,EAST   91 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T02:11:13.000,17 BROOKLYN,3045940077,BROOKLYN,1003904,180561,MOBILE,Unspecified,BROOKLYN,40.662253138816,-73.92915889415447,"{'latitude': '40.662253138816', 'longitude': '-73.92915889415447', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58955460,2023-09-29T01:32:57.000,2023-09-29T02:27:32.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11357,24-25 PARSONS BOULEVARD,PARSONS BOULEVARD,24 AVENUE,25 AVENUE,24 AVENUE,25 AVENUE,ADDRESS,WHITESTONE,PARSONS BOULEVARD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-29T02:27:36.000,07 QUEENS,4046410001,QUEENS,1032927,222443,MOBILE,Unspecified,QUEENS,40.77709690544154,-73.8242453677218,"{'latitude': '40.77709690544154', 'longitude': '-73.8242453677218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58955480,2023-09-29T01:31:36.000,2023-09-29T02:08:45.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10001,385 8 AVENUE,8 AVENUE,WEST   29 STREET,WEST   30 STREET,WEST   29 STREET,WEST   30 STREET,ADDRESS,NEW YORK,8 AVENUE,Closed,The Police Department responded to the complaint and a report was prepared.,2023-09-29T02:08:50.000,04 MANHATTAN,,MANHATTAN,985454,212230,ONLINE,Unspecified,MANHATTAN,40.749198802382196,-73.99565462500784,"{'latitude': '40.749198802382196', 'longitude': '-73.99565462500784', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58967657,2023-09-29T01:31:30.000,2023-10-11T15:37:59.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,11232,225 23 STREET,23 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-11T00:00:00.000,07 BROOKLYN,3006460052,BROOKLYN,985572,179961,ONLINE,Unspecified,BROOKLYN,40.66062798595389,-73.99523508445206,"{'latitude': '40.66062798595389', 'longitude': '-73.99523508445206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58963093,2023-09-29T01:31:30.000,2023-10-11T15:37:59.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11232,225 23 STREET,23 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-11T00:00:00.000,07 BROOKLYN,3006460052,BROOKLYN,985572,179961,ONLINE,Unspecified,BROOKLYN,40.66062798595389,-73.99523508445206,"{'latitude': '40.66062798595389', 'longitude': '-73.99523508445206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
