unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,resolution_description,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,facility_type,bridge_highway_direction,due_date,road_ramp
59446078,2023-09-30T12:57:47.000,2023-10-16T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,11377,41-28 55 STREET,55 STREET,ROOSEVELT AVENUE,QUEENS BOULEVARD,ROOSEVELT AVENUE,QUEENS BOULEVARD,ADDRESS,WOODSIDE,55 STREET,Closed,2023-10-16T00:00:00.000,02 QUEENS,4013230006,QUEENS,1009265,210468,PHONE,Unspecified,QUEENS,40.74432725714171,-73.90972456279701,"{'latitude': '40.74432725714171', 'longitude': '-73.90972456279701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58970569,2023-09-30T12:57:46.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10001,218 5 AVENUE,5 AVENUE,EAST   26 STREET,EAST   27 STREET,EAST   26 STREET,EAST   27 STREET,ADDRESS,NEW YORK,5 AVENUE,In Progress,2023-11-21T15:39:15.000,05 MANHATTAN,1008280035,MANHATTAN,987538,210171,ONLINE,Unspecified,MANHATTAN,40.74354683471103,-73.98813423510246,"{'latitude': '40.74354683471103', 'longitude': '-73.98813423510246', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Taxi and Limousine Commission has issued a notice to the driver, asking the driver to plead guilty to an appropriate charge. If a hearing is needed, you will be notified by mail or email of your hearing date.","218 5 AVENUE, MANHATTAN (NEW YORK), NY, 10001",,,,,,
59439640,2023-09-30T12:57:45.000,2023-10-24T00:00:00.000,HPD,Department of Housing Preservation and Development,Door/Window,Door,Public Area,10457,250 MOUNT HOPE PLACE,MOUNT HOPE PLACE,MONROE AVENUE,ANTHONY AVENUE,MONROE AVENUE,ANTHONY AVENUE,ADDRESS,BRONX,MOUNT HOPE PLACE,Closed,2023-10-24T00:00:00.000,05 BRONX,2028020029,BRONX,1010696,248265,PHONE,Unspecified,BRONX,40.84806552451318,-73.90441145174644,"{'latitude': '40.84806552451318', 'longitude': '-73.90441145174644', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59457417,2023-09-30T12:57:37.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,11237,304 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,LINDEN STREET,GATES AVENUE,LINDEN STREET,GATES AVENUE,ADDRESS,BROOKLYN,ST NICHOLAS AVENUE,Closed,2023-10-02T00:00:00.000,04 BROOKLYN,3033380035,BROOKLYN,1008922,194769,ONLINE,Unspecified,BROOKLYN,40.70123828673443,-73.91101994795562,"{'latitude': '40.70123828673443', 'longitude': '-73.91101994795562', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58977918,2023-09-30T12:57:28.000,2023-10-02T04:38:38.000,DSNY,Department of Sanitation,Obstruction,Cone,Street,11418,87-36 126 STREET,126 STREET,JAMAICA AVENUE,89 AVENUE,JAMAICA AVENUE,89 AVENUE,ADDRESS,RICHMOND HILL,126 STREET,Closed,2023-10-02T04:38:44.000,09 QUEENS,4093340023,QUEENS,1032889,194649,PHONE,Unspecified,QUEENS,40.70080963687264,-73.82458353305472,"{'latitude': '40.70080963687264', 'longitude': '-73.82458353305472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Sanitation investigated this complaint and found no condition at the location.,,,,,,,
58969435,2023-09-30T12:57:25.000,2023-09-30T13:55:21.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11214,168 BAY   13 STREET,BAY   13 STREET,BENSON AVENUE,BATH AVENUE,BENSON AVENUE,BATH AVENUE,ADDRESS,BROOKLYN,BAY   13 STREET,Closed,2023-09-30T13:55:27.000,11 BROOKLYN,3063970001,BROOKLYN,981544,160227,MOBILE,Unspecified,BROOKLYN,40.606462029286845,-74.00974538600039,"{'latitude': '40.606462029286845', 'longitude': '-74.00974538600039', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,,
58975270,2023-09-30T12:57:22.000,2023-10-04T12:43:53.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11204,1516 WEST    4 STREET,WEST    4 STREET,AVENUE O,AVENUE P,AVENUE O,AVENUE P,ADDRESS,BROOKLYN,WEST    4 STREET,Closed,2023-10-04T08:41:53.000,11 BROOKLYN,3066020012,BROOKLYN,990318,161580,ONLINE,Unspecified,BROOKLYN,40.61017407256171,-73.97814549486313,"{'latitude': '40.61017407256171', 'longitude': '-73.97814549486313', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NYC Parks performed the work necessary to correct the condition.,,,,,,,
58977901,2023-09-30T12:57:19.000,2023-09-30T15:14:55.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11373,51-82 VAN KLEECK STREET,VAN KLEECK STREET,CODWISE PLACE,KNEELAND AVENUE,CODWISE PLACE,KNEELAND AVENUE,ADDRESS,ELMHURST,VAN KLEECK STREET,Closed,2023-09-30T15:14:58.000,04 QUEENS,4024730048,QUEENS,1016945,207307,MOBILE,Unspecified,QUEENS,40.73562604624897,-73.88202397139415,"{'latitude': '40.73562604624897', 'longitude': '-73.88202397139415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded and upon arrival those responsible for the condition were gone.,,,,,,,
58976896,2023-09-30T12:56:58.000,2023-09-30T13:40:25.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11435,147-07 94 AVENUE,94 AVENUE,SUTPHIN BOULEVARD,148 STREET,SUTPHIN BOULEVARD,148 STREET,ADDRESS,JAMAICA,94 AVENUE,Closed,2023-09-30T13:40:29.000,12 QUEENS,4099987502,QUEENS,1037866,194052,MOBILE,Unspecified,QUEENS,40.69914225975471,-73.80663879969056,"{'latitude': '40.69914225975471', 'longitude': '-73.80663879969056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,,
58976643,2023-09-30T12:56:55.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,2023-10-06T11:31:16.000,Unspecified MANHATTAN,,MANHATTAN,985936,201694,MOBILE,Unspecified,MANHATTAN,40.72028000014199,-73.99391767168628,"{'latitude': '40.72028000014199', 'longitude': '-73.99391767168628', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The mobile outreach response team went to the location provided but could not find the individual that you reported.,,J,Mezzanine,,,,
58969183,2023-09-30T12:56:44.000,2023-11-14T14:02:07.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Trunk Split,Street,11422,257-04 144 AVENUE,144 AVENUE,MEMPHIS AVENUE,FRANCIS LEWIS BOULEVARD,MEMPHIS AVENUE,FRANCIS LEWIS BOULEVARD,ADDRESS,ROSEDALE,144 AVENUE,Closed,2023-11-14T09:00:34.000,13 QUEENS,4135890008,QUEENS,1058783,179384,ONLINE,Unspecified,QUEENS,40.658730659489265,-73.73136618296166,"{'latitude': '40.658730659489265', 'longitude': '-73.73136618296166', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NYC Parks performed the work necessary to correct the condition.,,,,,,,
58976504,2023-09-30T12:56:41.000,2023-09-30T12:56:41.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10460,1569 HOE AVENUE,HOE AVENUE,EAST 172 STREET,EAST 173 STREET,EAST  172 STREET,EAST  173 STREET,ADDRESS,BRONX,HOE AVENUE,Closed,2023-09-30T12:56:41.000,03 BRONX,2029820027,BRONX,1015209,243474,MOBILE,Unspecified,BRONX,40.834900968256505,-73.88812143532677,"{'latitude': '40.834900968256505', 'longitude': '-73.88812143532677', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,,,,,,,
58969348,2023-09-30T12:56:34.000,2023-09-30T12:58:12.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10013,196 AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,VANDAM STREET,CHARLTON STREET,VANDAM STREET,CHARLTON STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,Closed,2023-09-30T12:58:15.000,02 MANHATTAN,1005040014,MANHATTAN,983258,203997,ONLINE,Unspecified,MANHATTAN,40.726601282493945,-74.00357902847752,"{'latitude': '40.726601282493945', 'longitude': '-74.00357902847752', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department visited the location and no Encampment was found.,,,,,,,
58973410,2023-09-30T12:56:27.000,2023-09-30T13:20:55.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Trespassing,Residential Building/House,10040,45 SICKLES STREET,SICKLES STREET,NAGLE AVENUE,SHERMAN AVENUE,NAGLE AVENUE,SHERMAN AVENUE,ADDRESS,NEW YORK,SICKLES STREET,Closed,2023-09-30T13:21:00.000,12 MANHATTAN,1021740154,MANHATTAN,1004206,253147,ONLINE,Unspecified,MANHATTAN,40.86148220735698,-73.92785488395077,"{'latitude': '40.86148220735698', 'longitude': '-73.92785488395077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,,
58975781,2023-09-30T12:56:18.000,2023-09-30T13:14:40.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11235,611 BANNER AVENUE,BANNER AVENUE,BRIGHTON    6 STREET,BRIGHTON    7 STREET,BRIGHTON    6 STREET,BRIGHTON    7 STREET,ADDRESS,BROOKLYN,BANNER AVENUE,Closed,2023-09-30T13:14:45.000,13 BROOKLYN,3072427501,BROOKLYN,994530,151711,ONLINE,Unspecified,BROOKLYN,40.58308177560426,-73.96299057689384,"{'latitude': '40.58308177560426', 'longitude': '-73.96299057689384', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded to the complaint and took action to fix the condition.,,,,,,,
59441861,2023-09-30T12:56:11.000,2023-10-04T00:00:00.000,HPD,Department of Housing Preservation and Development,Plumbing,Water Supply,Apartment,10030,112 WEST  134 STREET,WEST  134 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ADDRESS,NEW YORK,WEST  134 STREET,Closed,2023-10-04T00:00:00.000,10 MANHATTAN,1019180043,MANHATTAN,1000291,235744,PHONE,Unspecified,MANHATTAN,40.81372401337601,-73.94205004531729,"{'latitude': '40.81372401337601', 'longitude': '-73.94205004531729', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58975424,2023-09-30T12:56:04.000,2023-11-09T11:50:03.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10011,16 5 AVENUE,5 AVENUE,EAST    8 STREET,EAST    9 STREET,EAST    8 STREET,EAST    9 STREET,ADDRESS,NEW YORK,5 AVENUE,Closed,2023-11-09T11:50:08.000,02 MANHATTAN,1005720041,MANHATTAN,985333,206191,ONLINE,Unspecified,MANHATTAN,40.73262326545706,-73.9960923002675,"{'latitude': '40.73262326545706', 'longitude': '-73.9960923002675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,"16 5 AVENUE, MANHATTAN (NEW YORK), NY, 10011",,,,,,
58975611,2023-09-30T12:56:00.000,2023-09-30T16:10:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11694,412 BEACH  142 STREET,BEACH  142 STREET,NEWPORT AVE,CRONSTON AVE,,,ADDRESS,FAR ROCKAWAY,,Closed,2023-09-30T16:10:00.000,14 QUEENS,4162920048,QUEENS,1023129,148670,ONLINE,Unspecified,QUEENS,40.57465554248475,-73.86004781998803,"{'latitude': '40.57465554248475', 'longitude': '-73.86004781998803', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",,,,,,,
58970662,2023-09-30T12:55:53.000,2023-10-03T13:05:56.000,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,10314,145 BURKE AVENUE,BURKE AVENUE,MILDRED AVENUE,DEAD END,MILDRED AVENUE,DEAD END,ADDRESS,STATEN ISLAND,BURKE AVENUE,Closed,2023-10-02T10:30:11.000,02 STATEN ISLAND,5026250113,STATEN ISLAND,932576,155089,PHONE,Unspecified,STATEN ISLAND,40.59220904206877,-74.18605911566208,"{'latitude': '40.59220904206877', 'longitude': '-74.18605911566208', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Sanitation found an open service request already exists for the same location.,,,,,,,
59436718,2023-09-30T12:55:46.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Apartment,10030,100 WEST  141 STREET,WEST  141 STREET,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,LENOX AVENUE,ADAM CLAYTON POWELL JR BOULEVARD,ADDRESS,NEW YORK,WEST  141 STREET,Closed,2023-10-02T00:00:00.000,10 MANHATTAN,1020090033,MANHATTAN,1001255,237336,PHONE,Unspecified,MANHATTAN,40.81809180340186,-73.93856345204237,"{'latitude': '40.81809180340186', 'longitude': '-73.93856345204237', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
