unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,facility_type,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_company_borough
58797365,2023-09-12T13:25:48.000,2023-09-12T14:05:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,10468,2322 LORING PLACE NORTH,LORING PLACE NORTH,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T14:05:08.000,07 BRONX,2032250104,BRONX,1009676,253383,MOBILE,Unspecified,BRONX,40.8621158960497,-73.90807880693437,"{'latitude': '40.8621158960497', 'longitude': '-73.90807880693437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,WEST  183 STREET,WEST FORDHAM ROAD,WEST  183 STREET,WEST FORDHAM ROAD,LORING PLACE,,,,,,,
58795410,2023-09-12T13:25:45.000,2023-09-22T11:02:00.000,DOT,Department of Transportation,Street Sign - Dangling,"No Parking, Standing, Stopping",11102,30-06 33 STREET,33 STREET,ADDRESS,ASTORIA,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-09-22T11:02:05.000,01 QUEENS,4006160038,QUEENS,1006427,218350,PHONE,Unspecified,QUEENS,40.765968905490844,-73.91994048192313,"{'latitude': '40.765968905490844', 'longitude': '-73.91994048192313', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,30 AVENUE,31 AVENUE,30 AVENUE,31 AVENUE,33 STREET,,,,,,,
58799025,2023-09-12T13:25:32.000,2023-09-12T13:55:36.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10019,351 WEST   51 STREET,WEST   51 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-12T13:55:41.000,04 MANHATTAN,1010420010,MANHATTAN,987693,217526,ONLINE,Unspecified,MANHATTAN,40.76373438401567,-73.98757110359855,"{'latitude': '40.76373438401567', 'longitude': '-73.98757110359855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,WEST   51 STREET,,,,,,,
58795396,2023-09-12T13:25:05.000,2023-09-14T11:11:38.000,DOT,Department of Transportation,Street Condition,Blocked - Construction,10036,38 WEST   43 STREET,WEST   43 STREET,ADDRESS,NEW YORK,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-14T11:11:43.000,05 MANHATTAN,1012580009,MANHATTAN,989311,214238,ONLINE,Unspecified,MANHATTAN,40.75470888772988,-73.98173275571018,"{'latitude': '40.75470888772988', 'longitude': '-73.98173275571018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,WEST   43 STREET,,,,,,,
58790884,2023-09-12T13:25:02.000,2023-09-12T14:32:57.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,10314,81 MCVEIGH AVENUE,MCVEIGH AVENUE,ADDRESS,STATEN ISLAND,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-12T14:33:02.000,02 STATEN ISLAND,5023730122,STATEN ISLAND,941953,153642,PHONE,Unspecified,STATEN ISLAND,40.58828703059092,-74.1522869967724,"{'latitude': '40.58828703059092', 'longitude': '-74.1522869967724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,EVANS STREET,KELLY BOULEVARD,EVANS STREET,KELLY BOULEVARD,MC VEIGH AVENUE,,,,,,,
58796986,2023-09-12T13:25:01.000,2023-10-14T13:02:02.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,10009,200 EAST    3 STREET,EAST    3 STREET,ADDRESS,NEW YORK,Closed,The Department of Sanitation cleaned the location.,2023-09-13T05:45:43.000,03 MANHATTAN,1003980029,MANHATTAN,988858,202626,PHONE,Unspecified,MANHATTAN,40.72283707560951,-73.9833757743824,"{'latitude': '40.72283707560951', 'longitude': '-73.9833757743824', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,AVENUE A,AVENUE B,AVENUE A,AVENUE B,EAST    3 STREET,,,,,,,
58797065,2023-09-12T13:24:53.000,2023-09-12T15:01:47.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,10010,687 AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,Closed,N/A,2023-09-12T15:01:53.000,04 MANHATTAN,1007970037,MANHATTAN,986067,209622,ONLINE,Unspecified,MANHATTAN,40.742040391268326,-73.99344294182343,"{'latitude': '40.742040391268326', 'longitude': '-73.99344294182343', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,WEST   21 STREET,WEST   22 STREET,WEST   21 STREET,WEST   22 STREET,AVENUE OF THE AMERICAS,,,,,,,
58795082,2023-09-12T13:24:44.000,2023-10-16T07:59:40.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,10463,3344 FT INDEPENDENCE STREET,FT INDEPENDENCE STREET,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-16T00:00:00.000,08 BRONX,2032580050,BRONX,1012020,259606,PHONE,Unspecified,BRONX,40.87918905376231,-73.89957889097033,"{'latitude': '40.87918905376231', 'longitude': '-73.89957889097033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,
58792329,2023-09-12T13:24:39.000,2023-09-12T16:25:49.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,11378,53-73 66 STREET,66 STREET,ADDRESS,MASPETH,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T16:25:54.000,05 QUEENS,4024000005,QUEENS,1012177,205024,ONLINE,Unspecified,QUEENS,40.72937611637722,-73.89923819322208,"{'latitude': '40.72937611637722', 'longitude': '-73.89923819322208', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,53 DRIVE,53 DRIVE,53 DRIVE,53 DRIVE,66 STREET,,,,,,,
58791016,2023-09-12T13:24:20.000,2023-09-12T13:24:20.000,DOHMH,Department of Health and Mental Hygiene,Standing Water,Other - Explain Below,11434,179-00 115 AVENUE,115 AVENUE,INTERSECTION,QUEENS,Closed,An inspection of the property was conducted and no violations were found.,2023-09-12T13:24:20.000,12 QUEENS,,QUEENS,1047460,191434,PHONE,Unspecified,QUEENS,40.691893153283665,-73.7720636283295,"{'latitude': '40.691893153283665', 'longitude': '-73.7720636283295', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Other,115 AVENUE,177 STREET,115 AVENUE,177 STREET,,,,,,,,
58789953,2023-09-12T13:24:14.000,2023-09-15T12:55:53.000,DSNY,Department of Sanitation,Obstruction,Weeds or Grass,10307,7 PARKER STREET,PARKER STREET,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,2023-09-14T11:08:40.000,03 STATEN ISLAND,5080370006,STATEN ISLAND,918142,126553,ONLINE,Unspecified,STATEN ISLAND,40.513787560968545,-74.23775155508237,"{'latitude': '40.513787560968545', 'longitude': '-74.23775155508237', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,AMBOY ROAD,LENHART STREET,AMBOY ROAD,LENHART STREET,PARKER STREET,,,,,,,
58796537,2023-09-12T13:24:12.000,2023-09-24T16:49:02.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,10456,1390 BOSTON ROAD,BOSTON ROAD,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-24T00:00:00.000,03 BRONX,2029620017,BRONX,1012529,242712,PHONE,Unspecified,BRONX,40.832818487522175,-73.89780952997631,"{'latitude': '40.832818487522175', 'longitude': '-73.89780952997631', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,
58799452,2023-09-12T13:24:03.000,2023-11-15T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,10024,310 WEST   80 STREET,WEST   80 STREET,ADDRESS,NEW YORK,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-11-15T00:00:00.000,07 MANHATTAN,1012440022,MANHATTAN,989520,225327,UNKNOWN,Unspecified,MANHATTAN,40.785145182719205,-73.98096969290741,"{'latitude': '40.785145182719205', 'longitude': '-73.98096969290741', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58797788,2023-09-12T13:23:53.000,,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,10033,4329 BROADWAY,BROADWAY,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-12T00:00:00.000,12 MANHATTAN,1021800122,MANHATTAN,1002350,249863,PHONE,Unspecified,MANHATTAN,40.8524726129897,-73.93457357718036,"{'latitude': '40.8524726129897', 'longitude': '-73.93457357718036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,
58793657,2023-09-12T13:23:53.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,10033,4329 BROADWAY,BROADWAY,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-12T00:00:00.000,12 MANHATTAN,1021800122,MANHATTAN,1002350,249863,PHONE,Unspecified,MANHATTAN,40.8524726129897,-73.93457357718036,"{'latitude': '40.8524726129897', 'longitude': '-73.93457357718036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,
58790939,2023-09-12T13:23:43.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,11426,242-23 90 AVENUE,90 AVENUE,ADDRESS,BELLEROSE,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-12T14:49:18.000,13 QUEENS,4079900018,QUEENS,1060328,204320,PHONE,Unspecified,QUEENS,40.72716073476558,-73.72551606866477,"{'latitude': '40.72716073476558', 'longitude': '-73.72551606866477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,242 STREET,CROSS ISLAND PARKWAY,242 STREET,CROSS ISLAND PARKWAY,90 AVENUE,,,,,,,
58794901,2023-09-12T13:23:40.000,2023-10-10T19:44:20.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,10457,2000 VALENTINE AVENUE,VALENTINE AVENUE,ADDRESS,BRONX,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-10-10T00:00:00.000,05 BRONX,2031420001,BRONX,1011718,249007,PHONE,Unspecified,BRONX,40.85009897385511,-73.90071441609523,"{'latitude': '40.85009897385511', 'longitude': '-73.90071441609523', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,
58796533,2023-09-12T13:23:32.000,2023-09-22T15:37:45.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,10034,73 VERMILYEA AVENUE,VERMILYEA AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,12 MANHATTAN,1022250010,MANHATTAN,1005427,254687,PHONE,Unspecified,MANHATTAN,40.865706195433475,-73.92343584943312,"{'latitude': '40.865706195433475', 'longitude': '-73.92343584943312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,
58795009,2023-09-12T13:23:21.000,2023-09-20T20:16:22.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,11209,230 73 STREET,73 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-20T00:00:00.000,10 BROOKLYN,3059170016,BROOKLYN,976210,169985,PHONE,Unspecified,BROOKLYN,40.63324247254546,-74.02896686892764,"{'latitude': '40.63324247254546', 'longitude': '-74.02896686892764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,
58799351,2023-09-12T13:23:21.000,2023-09-20T20:16:22.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,11209,230 73 STREET,73 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-20T00:00:00.000,10 BROOKLYN,3059170016,BROOKLYN,976210,169985,PHONE,Unspecified,BROOKLYN,40.63324247254546,-74.02896686892764,"{'latitude': '40.63324247254546', 'longitude': '-74.02896686892764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,
58790562,2023-09-12T13:23:21.000,2023-09-23T14:29:21.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,11209,230 73 STREET,73 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-23T00:00:00.000,10 BROOKLYN,3059170016,BROOKLYN,976210,169985,PHONE,Unspecified,BROOKLYN,40.63324247254546,-74.02896686892764,"{'latitude': '40.63324247254546', 'longitude': '-74.02896686892764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,
58799154,2023-09-12T13:23:21.000,2023-09-24T10:55:46.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,11209,230 73 STREET,73 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,10 BROOKLYN,3059170016,BROOKLYN,976210,169985,PHONE,Unspecified,BROOKLYN,40.63324247254546,-74.02896686892764,"{'latitude': '40.63324247254546', 'longitude': '-74.02896686892764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,
58799803,2023-09-12T13:23:15.000,2023-09-12T15:31:10.000,NYPD,New York City Police Department,Encampment,N/A,10028,252 EAST   82 STREET,EAST   82 STREET,ADDRESS,NEW YORK,Closed,The Police Department visited the location and no Encampment was found.,2023-09-12T15:31:14.000,08 MANHATTAN,,MANHATTAN,996795,221902,ONLINE,Unspecified,MANHATTAN,40.77573713337116,-73.9547056010283,"{'latitude': '40.77573713337116', 'longitude': '-73.9547056010283', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,EAST   82 STREET,,,,,,,
58798536,2023-09-12T13:23:03.000,2023-09-12T13:51:26.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,11418,116-10 91 AVENUE,91 AVENUE,ADDRESS,RICHMOND HILL,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-12T13:51:26.000,09 QUEENS,4093480004,QUEENS,1031056,192599,ONLINE,Unspecified,QUEENS,40.69519276012643,-73.83120847381649,"{'latitude': '40.69519276012643', 'longitude': '-73.83120847381649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,116 STREET,117 STREET,116 STREET,117 STREET,91 AVENUE,,,,,,,
58794396,2023-09-12T13:23:00.000,2023-09-12T13:23:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Knocked Over/Missing (WC),10075,1470 1 AVENUE,1 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-12T13:23:00.000,08 MANHATTAN,1014710003,MANHATTAN,997022,220059,PHONE,Unspecified,MANHATTAN,40.770678256276604,-73.9538895081826,"{'latitude': '40.770678256276604', 'longitude': '-73.9538895081826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,E 76 ST,E 77 ST,,,,,,,,,,
58794558,2023-09-12T13:22:57.000,2023-09-12T13:28:37.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11101,11-38 44 DRIVE,44 DRIVE,ADDRESS,LONG ISLAND CITY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T13:28:41.000,02 QUEENS,4000520036,QUEENS,998303,211967,MOBILE,Unspecified,QUEENS,40.74846584910902,-73.94928165590004,"{'latitude': '40.74846584910902', 'longitude': '-73.94928165590004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,11 STREET,21 STREET,11 STREET,21 STREET,44 DRIVE,,,,,,,
58799933,2023-09-12T13:22:52.000,2023-09-13T12:01:36.000,DSNY,Department of Sanitation,Dirty Condition,Trash,11412,186-36 ILION AVENUE,ILION AVENUE,ADDRESS,SAINT ALBANS,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-13T12:01:39.000,12 QUEENS,4104170018,QUEENS,1048258,194050,PHONE,Unspecified,QUEENS,40.69906770580204,-73.76916118056774,"{'latitude': '40.69906770580204', 'longitude': '-73.76916118056774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Yard,WOOD STREET,MAYVILLE STREET,WOOD STREET,MAYVILLE STREET,ILION AVENUE,,,,,,,
58789737,2023-09-12T13:22:51.000,2023-09-13T16:13:23.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,10465,3064 OTIS AVENUE,OTIS AVENUE,ADDRESS,BRONX,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-13T16:13:28.000,10 BRONX,2054220025,BRONX,1032921,243218,ONLINE,Unspecified,BRONX,40.83411847257509,-73.82411641986876,"{'latitude': '40.83411847257509', 'longitude': '-73.82411641986876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,HOLLYWOOD AVENUE,THROGS NECK EXPRESSWAY,HOLLYWOOD AVENUE,THROGS NECK EXPRESSWAY,OTIS AVENUE,,,,,,,
