unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,vehicle_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment
58967030,2023-09-29T12:45:36.000,2023-09-29T19:13:00.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11205,298 CLASSON AVENUE,CLASSON AVENUE,DEKALB AVENUE,LAFAYETTE AVENUE,DEKALB AVENUE,LAFAYETTE AVENUE,ADDRESS,BROOKLYN,CLASSON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T19:13:03.000,02 BROOKLYN,,BROOKLYN,995261,190775,ONLINE,Unspecified,BROOKLYN,40.690303228634036,-73.96029513058312,"{'latitude': '40.690303228634036', 'longitude': '-73.96029513058312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58961551,2023-09-29T12:45:35.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10453,1639 NELSON AVENUE,NELSON AVENUE,,,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,05 BRONX,2028760225,BRONX,1006727,247823,PHONE,Unspecified,BRONX,40.84686336078742,-73.918758797119,"{'latitude': '40.84686336078742', 'longitude': '-73.918758797119', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58962868,2023-09-29T12:45:35.000,2023-10-03T02:03:46.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11233,216 BAINBRIDGE STREET,BAINBRIDGE STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,03 BROOKLYN,3016870012,BROOKLYN,1004231,187506,PHONE,Unspecified,BROOKLYN,40.68131486924192,-73.92795966514,"{'latitude': '40.68131486924192', 'longitude': '-73.92795966514', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59443261,2023-09-29T12:45:30.000,,HPD,Department of Housing Preservation and Development,Flooring/Stairs,Floor,Apartment,10453,1610 SEDGWICK AVENUE,SEDGWICK AVENUE,CROSS BRONX EXPWY WB ET    1 C,WEST  176 STREET,CROSS BRONX EXPWY WB ET    1 C,WEST  176 STREET,ADDRESS,BRONX,SEDGWICK AVENUE,In Progress,,,05 BRONX,,BRONX,1005479,248674,PHONE,Unspecified,BRONX,40.84920219255083,-73.92326689010666,"{'latitude': '40.84920219255083', 'longitude': '-73.92326689010666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59444994,2023-09-29T12:45:29.000,,HPD,Department of Housing Preservation and Development,Paint/Plaster,Wall,Apartment,10453,1610 SEDGWICK AVENUE,SEDGWICK AVENUE,CROSS BRONX EXPWY WB ET    1 C,WEST  176 STREET,CROSS BRONX EXPWY WB ET    1 C,WEST  176 STREET,ADDRESS,BRONX,SEDGWICK AVENUE,In Progress,,,05 BRONX,,BRONX,1005479,248674,PHONE,Unspecified,BRONX,40.84920219255083,-73.92326689010666,"{'latitude': '40.84920219255083', 'longitude': '-73.92326689010666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59442669,2023-09-29T12:45:28.000,,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,10453,1610 SEDGWICK AVENUE,SEDGWICK AVENUE,CROSS BRONX EXPWY WB ET    1 C,WEST  176 STREET,CROSS BRONX EXPWY WB ET    1 C,WEST  176 STREET,ADDRESS,BRONX,SEDGWICK AVENUE,In Progress,,,05 BRONX,,BRONX,1005479,248674,PHONE,Unspecified,BRONX,40.84920219255083,-73.92326689010666,"{'latitude': '40.84920219255083', 'longitude': '-73.92326689010666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58960286,2023-09-29T12:45:28.000,2023-10-03T08:25:25.000,DOT,Department of Transportation,Street Condition,Cave-in,Street,11236,AVENUE K,AVENUE K,AVENUE K,EAST   89 STREET,AVENUE K,EAST   89 STREET,INTERSECTION,,,Closed,This request required re-assignment to a new DOT unit.,2023-10-03T08:25:31.000,18 BROOKLYN,,BROOKLYN,1011197,171111,PHONE,Unspecified,BROOKLYN,40.63629576236747,-73.90290969188642,"{'latitude': '40.63629576236747', 'longitude': '-73.90290969188642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59457191,2023-09-29T12:45:28.000,,HPD,Department of Housing Preservation and Development,General,Cabinet,Apartment,10453,1610 SEDGWICK AVENUE,SEDGWICK AVENUE,CROSS BRONX EXPWY WB ET    1 C,WEST  176 STREET,CROSS BRONX EXPWY WB ET    1 C,WEST  176 STREET,ADDRESS,BRONX,SEDGWICK AVENUE,In Progress,,,05 BRONX,,BRONX,1005479,248674,PHONE,Unspecified,BRONX,40.84920219255083,-73.92326689010666,"{'latitude': '40.84920219255083', 'longitude': '-73.92326689010666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59456435,2023-09-29T12:45:27.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,10468,2849 WEBB AVENUE,WEBB AVENUE,WEST  197 STREET,RESERVOIR AVENUE,WEST  197 STREET,RESERVOIR AVENUE,ADDRESS,BRONX,WEBB AVENUE,Closed,,2023-10-01T00:00:00.000,08 BRONX,,BRONX,1011718,257438,PHONE,Unspecified,BRONX,40.873239511871404,-73.90067986315618,"{'latitude': '40.873239511871404', 'longitude': '-73.90067986315618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59459606,2023-09-29T12:45:24.000,2023-09-29T14:07:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11101,45-57 DAVIS STREET,DAVIS STREET,FLUSHING LINE,DEAD END,FLUSHING LINE,DEAD END,ADDRESS,LONG ISLAND CITY,DAVIS STREET,Closed,,2023-09-29T14:07:00.000,02 QUEENS,,QUEENS,999597,210435,ONLINE,Unspecified,QUEENS,40.74425874322234,-73.94461500871317,"{'latitude': '40.74425874322234', 'longitude': '-73.94461500871317', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59460607,2023-09-29T12:45:22.000,,HPD,Department of Housing Preservation and Development,Flooring/Stairs,Floor,Apartment,10453,1610 SEDGWICK AVENUE,SEDGWICK AVENUE,CROSS BRONX EXPWY WB ET    1 C,WEST  176 STREET,CROSS BRONX EXPWY WB ET    1 C,WEST  176 STREET,ADDRESS,BRONX,SEDGWICK AVENUE,In Progress,,,05 BRONX,,BRONX,1005479,248674,PHONE,Unspecified,BRONX,40.84920219255083,-73.92326689010666,"{'latitude': '40.84920219255083', 'longitude': '-73.92326689010666', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59449815,2023-09-29T12:45:20.000,2023-10-01T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Apartment,10468,2849 WEBB AVENUE,WEBB AVENUE,WEST  197 STREET,RESERVOIR AVENUE,WEST  197 STREET,RESERVOIR AVENUE,ADDRESS,BRONX,WEBB AVENUE,Closed,,2023-10-01T00:00:00.000,08 BRONX,,BRONX,1011718,257438,PHONE,Unspecified,BRONX,40.873239511871404,-73.90067986315618,"{'latitude': '40.873239511871404', 'longitude': '-73.90067986315618', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59460268,2023-09-29T12:45:15.000,2023-09-29T13:05:00.000,DEP,Department of Environmental Protection,Water Maintenance,Leak,N/A,10030,208 WEST  140 STREET,WEST  140 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  140 STREET,Closed,,2023-09-29T13:05:00.000,10 MANHATTAN,1020250043,MANHATTAN,1000291,237571,PHONE,Unspecified,MANHATTAN,40.81873861529042,-73.94204567859477,"{'latitude': '40.81873861529042', 'longitude': '-73.94204567859477', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59446085,2023-09-29T12:45:07.000,2023-10-13T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,11373,92-01 LAMONT AVENUE,LAMONT AVENUE,FORLEY STREET,ELBERTSON STREET,FORLEY STREET,ELBERTSON STREET,ADDRESS,ELMHURST,LAMONT AVENUE,Closed,,2023-10-13T00:00:00.000,04 QUEENS,4015670040,QUEENS,1019245,210596,PHONE,Unspecified,QUEENS,40.7446447233121,-73.87370759487806,"{'latitude': '40.7446447233121', 'longitude': '-73.87370759487806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59459738,2023-09-29T12:45:02.000,2023-10-07T00:00:00.000,HPD,Department of Housing Preservation and Development,Unsanitary Condition,Mold,Apartment,11212,82 ROCKAWAY PARKWAY,ROCKAWAY PARKWAY,RUTLAND ROAD,WINTHROP STREET,RUTLAND ROAD,WINTHROP STREET,ADDRESS,BROOKLYN,ROCKAWAY PARKWAY,Closed,,2023-10-07T00:00:00.000,17 BROOKLYN,3046150006,BROOKLYN,1005477,181245,PHONE,Unspecified,BROOKLYN,40.66412693536968,-73.92348700401172,"{'latitude': '40.66412693536968', 'longitude': '-73.92348700401172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58964836,2023-09-29T12:45:01.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,10306,170 BEACON AVENUE,BEACON AVENUE,WALDEN AVENUE,BOYLE STREET,WALDEN AVENUE,BOYLE STREET,ADDRESS,STATEN ISLAND,BEACON AVENUE,In Progress,,,02 STATEN ISLAND,5009390291,STATEN ISLAND,950779,150524,ONLINE,Unspecified,STATEN ISLAND,40.579766469313995,-74.1204942864859,"{'latitude': '40.579766469313995', 'longitude': '-74.1204942864859', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59434970,2023-09-29T12:45:01.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Ceiling,Apartment,11373,87-01 51 AVENUE,51 AVENUE,87 STREET,90 STREET,87 STREET,90 STREET,ADDRESS,ELMHURST,51 AVENUE,Closed,,2023-10-02T00:00:00.000,04 QUEENS,4018350095,QUEENS,1018578,208538,PHONE,Unspecified,QUEENS,40.73899864597547,-73.87612521080872,"{'latitude': '40.73899864597547', 'longitude': '-73.87612521080872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59439189,2023-09-29T12:44:57.000,2023-10-07T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,11212,82 ROCKAWAY PARKWAY,ROCKAWAY PARKWAY,RUTLAND ROAD,WINTHROP STREET,RUTLAND ROAD,WINTHROP STREET,ADDRESS,BROOKLYN,ROCKAWAY PARKWAY,Closed,,2023-10-07T00:00:00.000,17 BROOKLYN,3046150006,BROOKLYN,1005477,181245,PHONE,Unspecified,BROOKLYN,40.66412693536968,-73.92348700401172,"{'latitude': '40.66412693536968', 'longitude': '-73.92348700401172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59456450,2023-09-29T12:44:55.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,Apartment,11373,87-01 51 AVENUE,51 AVENUE,87 STREET,90 STREET,87 STREET,90 STREET,ADDRESS,ELMHURST,51 AVENUE,Closed,,2023-10-02T00:00:00.000,04 QUEENS,4018350095,QUEENS,1018578,208538,PHONE,Unspecified,QUEENS,40.73899864597547,-73.87612521080872,"{'latitude': '40.73899864597547', 'longitude': '-73.87612521080872', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58957100,2023-09-29T12:44:49.000,2023-09-29T13:04:09.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10036,641 10 AVENUE,10 AVENUE,WEST   45 STREET,WEST   46 STREET,WEST   45 STREET,WEST   46 STREET,ADDRESS,NEW YORK,10 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T13:04:12.000,04 MANHATTAN,1010740031,MANHATTAN,985943,216828,MOBILE,Unspecified,MANHATTAN,40.76181906202269,-73.99388860979937,"{'latitude': '40.76181906202269', 'longitude': '-73.99388860979937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58964852,2023-09-29T12:44:48.000,2023-10-11T12:55:01.000,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,10469,2551 FISH AVENUE,FISH AVENUE,MACE AVENUE,ALLERTON AVENUE,MACE AVENUE,ALLERTON AVENUE,ADDRESS,BRONX,FISH AVENUE,Closed,"The Department of Transportation will inspect the condition to determine if the location can be added to a curb contract (3-5 years). The property owner will be notified if there are sidewalk defects. Property owners are responsible for repairing and installing sidewalks adjoining their property, according to Section 19-152 of the NYC Administrative Code. Community Boards and elected officials may contribute funding for curb, affecting timeframe for construction.",2023-10-11T12:55:04.000,11 BRONX,2044700066,BRONX,1026505,254121,PHONE,Unspecified,BRONX,40.864076968533716,-73.84723331204607,"{'latitude': '40.864076968533716', 'longitude': '-73.84723331204607', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59456767,2023-09-29T12:44:47.000,,HPD,Department of Housing Preservation and Development,Appliance,Electric/Gas Range,Apartment,11203,1250 NEW YORK AVENUE,NEW YORK AVENUE,CLARENDON ROAD,AVENUE D,CLARENDON ROAD,AVENUE D,ADDRESS,BROOKLYN,NEW YORK AVENUE,In Progress,,,17 BROOKLYN,,BROOKLYN,999299,173332,PHONE,Unspecified,BROOKLYN,40.64242013684622,-73.94577333476862,"{'latitude': '40.64242013684622', 'longitude': '-73.94577333476862', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
58963367,2023-09-29T12:44:45.000,2023-09-30T08:51:34.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11385,1708 GEORGE STREET,GEORGE STREET,CYPRESS AVENUE,SENECA AVENUE,CYPRESS AVENUE,SENECA AVENUE,ADDRESS,RIDGEWOOD,GEORGE STREET,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-30T08:51:34.000,05 QUEENS,4035640009,QUEENS,1011313,193682,PHONE,Unspecified,QUEENS,40.698247738131855,-73.90240113426141,"{'latitude': '40.698247738131855', 'longitude': '-73.90240113426141', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59446990,2023-09-29T12:44:42.000,2023-09-30T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,10459,1255 LONGFELLOW AVENUE,LONGFELLOW AVENUE,WEST FARMS ROAD,FREEMAN STREET,WEST FARMS ROAD,FREEMAN STREET,ADDRESS,BRONX,LONGFELLOW AVENUE,Closed,,2023-09-30T00:00:00.000,03 BRONX,,BRONX,1015227,241388,ONLINE,Unspecified,BRONX,40.82917543940849,-73.8880660202654,"{'latitude': '40.82917543940849', 'longitude': '-73.8880660202654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
59459404,2023-09-29T12:44:32.000,2023-09-29T18:35:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11236,8817 AVENUE N,AVENUE N,EAST   88 STREET,EAST   89 STREET,EAST   88 STREET,EAST   89 STREET,ADDRESS,BROOKLYN,AVENUE N,Closed,,2023-09-29T18:35:00.000,18 BROOKLYN,,BROOKLYN,1012516,169264,PHONE,Unspecified,BROOKLYN,40.63122203175239,-73.89816506238813,"{'latitude': '40.63122203175239', 'longitude': '-73.89816506238813', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,
