unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date
58836101,2023-09-16T22:19:45.000,2023-09-16T22:23:59.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,171 EUCLID AVENUE,EUCLID AVENUE,RIDGEWOOD AVENUE,FULTON STREET,RIDGEWOOD AVENUE,FULTON STREET,ADDRESS,BROOKLYN,EUCLID AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-16T22:24:03.000,05 BROOKLYN,3041290021,BROOKLYN,1019087,188608,MOBILE,Unspecified,BROOKLYN,40.68429360394536,-73.8743915805593,"{'latitude': '40.68429360394536', 'longitude': '-73.8743915805593', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58834640,2023-09-16T22:19:43.000,2023-09-16T22:42:53.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11221,812 DEKALB AVENUE,DEKALB AVENUE,TOMPKINS AVENUE,THROOP AVENUE,TOMPKINS AVENUE,THROOP AVENUE,ADDRESS,BROOKLYN,DEKALB AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:42:55.000,03 BROOKLYN,3017810030,BROOKLYN,999841,191482,ONLINE,Unspecified,BROOKLYN,40.692236897108764,-73.94377834953949,"{'latitude': '40.692236897108764', 'longitude': '-73.94377834953949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58832037,2023-09-16T22:19:34.000,2023-09-16T22:42:13.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11373,40-26 BENHAM STREET,BENHAM STREET,ROOSEVELT AVENUE,WHITNEY AVENUE,ROOSEVELT AVENUE,WHITNEY AVENUE,ADDRESS,ELMHURST,BENHAM STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T22:42:15.000,04 QUEENS,4015510024,QUEENS,1018899,211926,ONLINE,Unspecified,QUEENS,40.74829659827454,-73.87494941017859,"{'latitude': '40.74829659827454', 'longitude': '-73.87494941017859', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58832228,2023-09-16T22:19:32.000,2023-09-16T23:00:29.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11419,94-12 116 STREET,116 STREET,ATLANTIC AVENUE,95 AVENUE,ATLANTIC AVENUE,95 AVENUE,ADDRESS,SOUTH RICHMOND HILL,116 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:00:33.000,09 QUEENS,4094010011,QUEENS,1031305,191765,ONLINE,Unspecified,QUEENS,40.69290230712767,-73.83031635961461,"{'latitude': '40.69290230712767', 'longitude': '-73.83031635961461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58832881,2023-09-16T22:19:22.000,2023-09-17T00:25:47.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11103,25-95 41 STREET,41 STREET,25 AVENUE,28 AVENUE,25 AVENUE,28 AVENUE,ADDRESS,ASTORIA,41 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T00:25:51.000,01 QUEENS,4006850007,QUEENS,1008836,218775,MOBILE,Unspecified,QUEENS,40.76712904850509,-73.91124238346424,"{'latitude': '40.76712904850509', 'longitude': '-73.91124238346424', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58830600,2023-09-16T22:19:20.000,2023-09-16T22:54:19.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11235,1708 EMMONS AVENUE,EMMONS AVENUE,EAST   16 STREET,SHEEPSHEAD BAY ROAD,EAST   16 STREET,SHEEPSHEAD BAY ROAD,ADDRESS,BROOKLYN,EMMONS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:54:23.000,15 BROOKLYN,,BROOKLYN,997756,151810,MOBILE,Unspecified,BROOKLYN,40.58334918285489,-73.95137633456613,"{'latitude': '40.58334918285489', 'longitude': '-73.95137633456613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58829933,2023-09-16T22:19:18.000,2023-09-17T12:30:14.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11379,65 STREET,65 STREET,65 STREET,METROPOLITAN AVENUE,65 STREET,METROPOLITAN AVENUE,INTERSECTION,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T12:30:19.000,05 QUEENS,,QUEENS,1013108,198879,MOBILE,Unspecified,QUEENS,40.712506597298706,-73.89590545562318,"{'latitude': '40.712506597298706', 'longitude': '-73.89590545562318', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58835965,2023-09-16T22:19:13.000,2023-09-16T22:23:38.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11379,69-61 JUNIPER BLVD SOUTH,JUNIPER BLVD SOUTH,69 PLACE,69 LANE,69 PLACE,69 LANE,ADDRESS,MIDDLE VILLAGE,JUNIPER BOULEVARD SOUTH,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-16T22:23:43.000,05 QUEENS,4029540039,QUEENS,1015820,200395,MOBILE,Unspecified,QUEENS,40.71665839027937,-73.88611582143672,"{'latitude': '40.71665839027937', 'longitude': '-73.88611582143672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58828648,2023-09-16T22:19:10.000,2023-09-21T10:50:49.000,TLC,Taxi and Limousine Commission,Lost Property,Electronics/Phones,Taxi,10012,9 GREAT JONES STREET,GREAT JONES STREET,GREAT JONES ALLEY,LAFAYETTE STREET,GREAT JONES ALLEY,LAFAYETTE STREET,ADDRESS,NEW YORK,GREAT JONES STREET,Closed,See notes for information.,2023-09-21T10:50:52.000,02 MANHATTAN,1005300012,MANHATTAN,985935,204295,PHONE,Unspecified,MANHATTAN,40.727419115070845,-73.9939206280258,"{'latitude': '40.727419115070845', 'longitude': '-73.9939206280258', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","9 GREAT JONES STREET, MANHATTAN (NEW YORK), NY, 10012",,,,,,
58832278,2023-09-16T22:19:08.000,2023-09-16T22:35:05.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11238,FRANKLIN AVENUE,FRANKLIN AVENUE,FRANKLIN AVENUE,STERLING PLACE,FRANKLIN AVENUE,STERLING PLACE,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T22:35:08.000,08 BROOKLYN,,BROOKLYN,996172,184578,ONLINE,Unspecified,BROOKLYN,40.67329269467008,-73.95702109485504,"{'latitude': '40.67329269467008', 'longitude': '-73.95702109485504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58834759,2023-09-16T22:19:03.000,2023-09-16T22:30:24.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11203,350 EAST   45 STREET,EAST   45 STREET,LINDEN BOULEVARD,CHURCH AVENUE,LINDEN BOULEVARD,CHURCH AVENUE,ADDRESS,BROOKLYN,EAST   45 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:30:28.000,17 BROOKLYN,3048810010,BROOKLYN,1002182,177196,ONLINE,Unspecified,BROOKLYN,40.65302060990888,-73.93537463671572,"{'latitude': '40.65302060990888', 'longitude': '-73.93537463671572', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58830634,2023-09-16T22:18:55.000,2023-09-16T22:20:57.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,11220,OWL'S HEAD PARK,OWL'S HEAD PARK,67 STREET,SENATOR STREET,67 STREET,SENATOR STREET,UNRECOGNIZED,BROOKLYN,OWLS HEAD PARK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:21:00.000,10 BROOKLYN,3058320002,BROOKLYN,975273,172553,ONLINE,Owl's Head Park,BROOKLYN,40.640290184865776,-74.03234615026558,"{'latitude': '40.640290184865776', 'longitude': '-74.03234615026558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58829577,2023-09-16T22:18:55.000,2023-09-16T22:32:12.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11433,111-21 179 PLACE,179 PLACE,SAYRES AVENUE,180 STREET,SAYRES AVENUE,180 STREET,ADDRESS,JAMAICA,179 PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:32:18.000,12 QUEENS,4102980071,QUEENS,1046970,193922,ONLINE,Unspecified,QUEENS,40.69872559931162,-73.77380740230475,"{'latitude': '40.69872559931162', 'longitude': '-73.77380740230475', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58835837,2023-09-16T22:18:47.000,2023-09-16T23:58:50.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11373,90-70 53 AVENUE,53 AVENUE,90 STREET,92 STREET,90 STREET,92 STREET,ADDRESS,ELMHURST,53 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T23:58:55.000,04 QUEENS,4018550034,QUEENS,1019430,208257,ONLINE,Unspecified,QUEENS,40.73822402339626,-73.87305218794849,"{'latitude': '40.73822402339626', 'longitude': '-73.87305218794849', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58829420,2023-09-16T22:18:46.000,2023-09-16T22:23:32.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11208,171 EUCLID AVENUE,EUCLID AVENUE,RIDGEWOOD AVENUE,FULTON STREET,RIDGEWOOD AVENUE,FULTON STREET,ADDRESS,BROOKLYN,EUCLID AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-16T22:23:35.000,05 BROOKLYN,3041290021,BROOKLYN,1019087,188608,MOBILE,Unspecified,BROOKLYN,40.68429360394536,-73.8743915805593,"{'latitude': '40.68429360394536', 'longitude': '-73.8743915805593', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58827114,2023-09-16T22:18:45.000,2023-09-16T22:30:05.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11212,187 DUMONT AVENUE,DUMONT AVENUE,AMBOY STREET,THOMAS S BOYLAND STREET,AMBOY STREET,THOMAS S BOYLAND STREET,ADDRESS,BROOKLYN,DUMONT AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T22:30:08.000,16 BROOKLYN,,BROOKLYN,1008472,181054,ONLINE,Unspecified,BROOKLYN,40.66359499597502,-73.91269218067781,"{'latitude': '40.66359499597502', 'longitude': '-73.91269218067781', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58830903,2023-09-16T22:18:43.000,2023-09-16T22:32:54.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10460,920 EAST  173 STREET,EAST  173 STREET,SOUTHERN BOULEVARD,HOE AVENUE,SOUTHERN BOULEVARD,HOE AVENUE,ADDRESS,BRONX,EAST  173 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T22:32:58.000,03 BRONX,2029820023,BRONX,1015073,243747,MOBILE,Unspecified,BRONX,40.83565074947492,-73.8886116523943,"{'latitude': '40.83565074947492', 'longitude': '-73.8886116523943', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58830738,2023-09-16T22:18:43.000,2023-09-16T22:44:41.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11220,653 57 STREET,57 STREET,6 AVENUE,7 AVENUE,6 AVENUE,7 AVENUE,ADDRESS,BROOKLYN,57 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:44:43.000,07 BROOKLYN,3008410056,BROOKLYN,981187,172142,ONLINE,Unspecified,BROOKLYN,40.63916609745432,-74.01103649184356,"{'latitude': '40.63916609745432', 'longitude': '-74.01103649184356', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58830507,2023-09-16T22:18:42.000,2023-09-16T22:52:02.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10460,1491 VYSE AVENUE,VYSE AVENUE,JENNINGS STREET,EAST  172 STREET,JENNINGS STREET,EAST  172 STREET,ADDRESS,BRONX,VYSE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:52:06.000,03 BRONX,2029880018,BRONX,1015152,242719,MOBILE,Unspecified,BRONX,40.83282891222473,-73.8883308978924,"{'latitude': '40.83282891222473', 'longitude': '-73.8883308978924', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58826754,2023-09-16T22:18:40.000,2023-09-16T22:41:21.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,371 EAST   10 STREET,EAST   10 STREET,AVENUE B,AVENUE C,AVENUE B,AVENUE C,ADDRESS,NEW YORK,EAST   10 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T22:41:23.000,03 MANHATTAN,1003930049,MANHATTAN,990132,203926,PHONE,Unspecified,MANHATTAN,40.72640450476613,-73.97877844400911,"{'latitude': '40.72640450476613', 'longitude': '-73.97877844400911', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58834950,2023-09-16T22:18:39.000,2023-09-16T22:19:38.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11206,105 MOORE STREET,MOORE STREET,GRAHAM AVENUE,HUMBOLDT STREET,GRAHAM AVENUE,HUMBOLDT STREET,ADDRESS,BROOKLYN,MOORE STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T22:19:42.000,01 BROOKLYN,3030970028,BROOKLYN,1000468,195720,ONLINE,Unspecified,BROOKLYN,40.70386809033354,-73.9415071631508,"{'latitude': '40.70386809033354', 'longitude': '-73.9415071631508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58829357,2023-09-16T22:18:33.000,2023-09-16T22:25:49.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10466,672 EAST  231 STREET,EAST  231 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,EAST  231 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:25:53.000,12 BRONX,2048330080,BRONX,1023174,264429,MOBILE,Unspecified,BRONX,40.89238451539139,-73.8592161325675,"{'latitude': '40.89238451539139', 'longitude': '-73.8592161325675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58834936,2023-09-16T22:18:32.000,2023-09-16T22:59:20.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10454,350 ST ANNS AVENUE,ST ANNS AVENUE,EAST  141 STREET,EAST  142 STREET,EAST  141 STREET,EAST  142 STREET,ADDRESS,BRONX,ST ANNS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:59:23.000,01 BRONX,2025560002,BRONX,1007572,234203,ONLINE,Unspecified,BRONX,40.80947817793993,-73.91575196452845,"{'latitude': '40.80947817793993', 'longitude': '-73.91575196452845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58826692,2023-09-16T22:18:29.000,2023-09-16T22:53:06.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11235,1809 EMMONS AVENUE,EMMONS AVENUE,SHEEPSHEAD BAY ROAD,EAST   19 STREET,SHEEPSHEAD BAY ROAD,EAST   19 STREET,ADDRESS,BROOKLYN,EMMONS AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:53:08.000,15 BROOKLYN,3087737501,BROOKLYN,998075,151857,MOBILE,Unspecified,BROOKLYN,40.583477696749796,-73.95022778988424,"{'latitude': '40.583477696749796', 'longitude': '-73.95022778988424', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58831782,2023-09-16T22:18:27.000,2023-09-16T23:15:28.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11220,457 58 STREET,58 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,58 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:15:31.000,07 BROOKLYN,3008470052,BROOKLYN,979821,172894,MOBILE,Unspecified,BROOKLYN,40.64122959868995,-74.01595890764852,"{'latitude': '40.64122959868995', 'longitude': '-74.01595890764852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58826735,2023-09-16T22:18:25.000,2023-09-16T23:18:07.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11385,60-48 68 ROAD,68 ROAD,60 STREET,60 LANE,60 STREET,60 LANE,ADDRESS,RIDGEWOOD,68 ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T23:18:11.000,05 QUEENS,4035140036,QUEENS,1012470,195754,MOBILE,Unspecified,QUEENS,40.703931275406745,-73.89821989954629,"{'latitude': '40.703931275406745', 'longitude': '-73.89821989954629', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58828169,2023-09-16T22:18:17.000,2023-09-16T22:51:46.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11378,53-52 65 PLACE,65 PLACE,53 AVENUE,53 DRIVE,53 AVENUE,53 DRIVE,ADDRESS,MASPETH,65 PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T22:51:50.000,05 QUEENS,4023740185,QUEENS,1011905,205208,MOBILE,Unspecified,QUEENS,40.72988200565723,-73.90021882374785,"{'latitude': '40.72988200565723', 'longitude': '-73.90021882374785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58831752,2023-09-16T22:18:15.000,2023-09-16T22:36:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10026,320 WEST  111 STREET,WEST  111 STREET,FREDERICK DOUGLASS BOULEVARD,MANHATTAN AVENUE,FREDERICK DOUGLASS BOULEVARD,MANHATTAN AVENUE,ADDRESS,NEW YORK,WEST  111 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-16T22:36:59.000,10 MANHATTAN,1018460027,MANHATTAN,995843,231253,MOBILE,Unspecified,MANHATTAN,40.80140441778006,-73.95812670874577,"{'latitude': '40.80140441778006', 'longitude': '-73.95812670874577', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
