unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,road_ramp
58834042,2023-09-17T00:55:11.000,2023-09-17T03:54:03.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,931 HART STREET,HART STREET,IRVING AVENUE,WYCKOFF AVENUE,IRVING AVENUE,WYCKOFF AVENUE,ADDRESS,BROOKLYN,HART STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:54:07.000,04 BROOKLYN,3032210050,BROOKLYN,1006224,195763,MOBILE,Unspecified,BROOKLYN,40.703973693413225,-73.92074708886071,"{'latitude': '40.703973693413225', 'longitude': '-73.92074708886071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58833602,2023-09-17T00:55:09.000,2023-09-17T01:37:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11219,1465 OVINGTON AVENUE,OVINGTON AVENUE,14 AVENUE,15 AVENUE,14 AVENUE,15 AVENUE,ADDRESS,BROOKLYN,OVINGTON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T01:37:23.000,11 BROOKLYN,3057690054,BROOKLYN,984297,165914,ONLINE,Unspecified,BROOKLYN,40.622072082654675,-73.9998306946556,"{'latitude': '40.622072082654675', 'longitude': '-73.9998306946556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58833495,2023-09-17T00:55:09.000,2023-09-17T01:11:53.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10461,2860 ROEBLING AVENUE,ROEBLING AVENUE,MAYFLOWER AVENUE,EDISON AVENUE,MAYFLOWER AVENUE,EDISON AVENUE,ADDRESS,BRONX,ROEBLING AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T01:11:56.000,10 BRONX,2053880012,BRONX,1030125,246363,ONLINE,Unspecified,BRONX,40.84276553494022,-73.834198856839,"{'latitude': '40.84276553494022', 'longitude': '-73.834198856839', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58829498,2023-09-17T00:55:06.000,2023-09-17T01:27:08.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10019,305 WEST   50 STREET,WEST   50 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   50 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T01:27:13.000,04 MANHATTAN,1010410029,MANHATTAN,987995,217061,ONLINE,Unspecified,MANHATTAN,40.76245795602143,-73.9864811719346,"{'latitude': '40.76245795602143', 'longitude': '-73.9864811719346', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58835986,2023-09-17T00:55:01.000,2023-09-17T01:26:30.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11692,57-15 SHORE FRONT PARKWAY,SHORE FRONT PARKWAY,BEACH   56 PLACE,BEACH   59 STREET,BEACH   56 PLACE,BEACH   59 STREET,ADDRESS,ARVERNE,SHORE FRONT PARKWAY,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T01:26:33.000,14 QUEENS,4159260001,QUEENS,1043179,155065,ONLINE,Unspecified,QUEENS,40.59209790098616,-73.78781859628411,"{'latitude': '40.59209790098616', 'longitude': '-73.78781859628411', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58827967,2023-09-17T00:55:00.000,2023-09-17T01:11:38.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,609 GRAND STREET,GRAND STREET,LORIMER STREET,LEONARD STREET,LORIMER STREET,LEONARD STREET,ADDRESS,BROOKLYN,GRAND STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T01:11:41.000,01 BROOKLYN,3027800030,BROOKLYN,998727,198420,PHONE,Unspecified,BROOKLYN,40.71128197048036,-73.94778055419724,"{'latitude': '40.71128197048036', 'longitude': '-73.94778055419724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58834423,2023-09-17T00:54:44.000,2023-09-17T01:07:13.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11238,1040 PACIFIC STREET,PACIFIC STREET,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,ADDRESS,BROOKLYN,PACIFIC STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T01:07:17.000,08 BROOKLYN,3011340009,BROOKLYN,995851,186642,MOBILE,Unspecified,BROOKLYN,40.67895833505748,-73.95817474949328,"{'latitude': '40.67895833505748', 'longitude': '-73.95817474949328', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58832420,2023-09-17T00:54:44.000,2023-09-17T01:09:39.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10031,503 WEST  139 STREET,WEST  139 STREET,AMSTERDAM AVENUE,HAMILTON PLACE,AMSTERDAM AVENUE,HAMILTON PLACE,ADDRESS,NEW YORK,WEST  139 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T01:09:43.000,09 MANHATTAN,1020710027,MANHATTAN,997898,238607,MOBILE,Unspecified,MANHATTAN,40.821586164014654,-73.95068920834854,"{'latitude': '40.821586164014654', 'longitude': '-73.95068920834854', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58829250,2023-09-17T00:54:21.000,2023-09-17T01:38:28.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11354,147-34 NORTHERN BOULEVARD,NORTHERN BOULEVARD,147 STREET,149 STREET,147 STREET,149 STREET,ADDRESS,FLUSHING,NORTHERN BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T01:38:31.000,07 QUEENS,4050160039,QUEENS,1034369,218100,ONLINE,Unspecified,QUEENS,40.765168469919125,-73.81907124237861,"{'latitude': '40.765168469919125', 'longitude': '-73.81907124237861', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58830862,2023-09-17T00:54:20.000,2023-09-17T01:13:01.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11249,65 NORTH    8 STREET,NORTH    8 STREET,KENT AVENUE,WYTHE AVENUE,KENT AVENUE,WYTHE AVENUE,ADDRESS,BROOKLYN,NORTH    8 STREET,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-17T01:13:06.000,01 BROOKLYN,3023090031,BROOKLYN,995205,201769,ONLINE,Unspecified,BROOKLYN,40.72047923472047,-73.96047917670639,"{'latitude': '40.72047923472047', 'longitude': '-73.96047917670639', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58828269,2023-09-17T00:54:17.000,2023-09-17T01:22:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11211,69 HAVEMEYER STREET,HAVEMEYER STREET,NORTH    6 STREET,NORTH    5 STREET,NORTH    6 STREET,NORTH    5 STREET,ADDRESS,BROOKLYN,HAVEMEYER STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T01:22:29.000,01 BROOKLYN,3023390006,BROOKLYN,996819,199657,ONLINE,Unspecified,BROOKLYN,40.71468015644592,-73.95466051893207,"{'latitude': '40.71468015644592', 'longitude': '-73.95466051893207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58834791,2023-09-17T00:54:14.000,2023-09-17T01:16:55.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,195 STANTON STREET,STANTON STREET,ATTORNEY STREET,RIDGE STREET,ATTORNEY STREET,RIDGE STREET,ADDRESS,NEW YORK,STANTON STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T01:16:58.000,03 MANHATTAN,1003440013,MANHATTAN,988922,201526,ONLINE,Unspecified,MANHATTAN,40.71981780760485,-73.98314564592596,"{'latitude': '40.71981780760485', 'longitude': '-73.98314564592596', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58832422,2023-09-17T00:54:04.000,2023-09-17T01:25:52.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10312,30 LORING AVENUE,LORING AVENUE,ALEXANDER AVENUE,FORRESTAL COURT,ALEXANDER AVENUE,FORRESTAL COURT,ADDRESS,STATEN ISLAND,LORING AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T01:25:56.000,03 STATEN ISLAND,5056750065,STATEN ISLAND,934316,141520,MOBILE,Unspecified,STATEN ISLAND,40.554974846618904,-74.17969380859805,"{'latitude': '40.554974846618904', 'longitude': '-74.17969380859805', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58829086,2023-09-17T00:53:54.000,2023-09-17T01:02:15.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10467,3373 DECATUR AVENUE,DECATUR AVENUE,EAST  209 STREET,EAST GUN HILL ROAD,EAST  209 STREET,EAST GUN HILL ROAD,ADDRESS,BRONX,DECATUR AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-17T01:02:19.000,07 BRONX,2033520045,BRONX,1019401,259085,ONLINE,Unspecified,BRONX,40.87773276095203,-73.87289068946885,"{'latitude': '40.87773276095203', 'longitude': '-73.87289068946885', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58836623,2023-09-17T00:53:52.000,2023-09-17T03:57:48.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11207,489 MILLER AVENUE,MILLER AVENUE,SUTTER AVENUE,BLAKE AVENUE,SUTTER AVENUE,BLAKE AVENUE,ADDRESS,BROOKLYN,MILLER AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:57:52.000,05 BROOKLYN,,BROOKLYN,1014698,182982,MOBILE,Unspecified,BROOKLYN,40.66886770177793,-73.89024197480755,"{'latitude': '40.66886770177793', 'longitude': '-73.89024197480755', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58830873,2023-09-17T00:53:48.000,2023-09-17T01:11:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11385,18 ONDERDONK AVENUE,ONDERDONK AVENUE,SCHOLES STREET,DEAD END,SCHOLES STREET,DEAD END,ADDRESS,RIDGEWOOD,ONDERDONK AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T01:12:01.000,05 QUEENS,,QUEENS,1005859,198957,ONLINE,Unspecified,QUEENS,40.71274136297248,-73.92205327120958,"{'latitude': '40.71274136297248', 'longitude': '-73.92205327120958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58834897,2023-09-17T00:53:41.000,2023-09-17T01:02:00.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1465 WASHINGTON AVENUE,WASHINGTON AVENUE,ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T01:02:03.000,03 BRONX,2029020036,BRONX,1010885,244212,ONLINE,Unspecified,BRONX,40.83694066292417,-73.90374441298103,"{'latitude': '40.83694066292417', 'longitude': '-73.90374441298103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58833141,2023-09-17T00:53:40.000,2023-09-17T01:34:16.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10038,SMITH HOUSES,SMITH HOUSES,R F WAGNER SR PLACE,PEDESTRIAN PATH,R F WAGNER SR PLACE,PEDESTRIAN PATH,UNRECOGNIZED,NEW YORK,SMITH HOUSES,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T01:34:21.000,03 MANHATTAN,1001110100,MANHATTAN,984457,198096,PHONE,Unspecified,MANHATTAN,40.71040450893537,-73.99925334790717,"{'latitude': '40.71040450893537', 'longitude': '-73.99925334790717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58836596,2023-09-17T00:53:39.000,2023-09-17T02:28:45.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,2463 TIEBOUT AVENUE,TIEBOUT AVENUE,EAST  188 STREET,EAST FORDHAM ROAD,EAST  188 STREET,EAST FORDHAM ROAD,ADDRESS,BRONX,TIEBOUT AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-17T02:28:50.000,05 BRONX,2031480034,BRONX,1013205,252944,ONLINE,Unspecified,BRONX,40.86090010470804,-73.89532251893831,"{'latitude': '40.86090010470804', 'longitude': '-73.89532251893831', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58836620,2023-09-17T00:53:39.000,2023-09-17T03:21:15.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11207,634 CENTRAL AVENUE,CENTRAL AVENUE,SCHAEFER STREET,DECATUR STREET,SCHAEFER STREET,DECATUR STREET,ADDRESS,BROOKLYN,CENTRAL AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:21:20.000,04 BROOKLYN,3034280037,BROOKLYN,1009624,190165,ONLINE,Unspecified,BROOKLYN,40.688599396200985,-73.90850551614973,"{'latitude': '40.688599396200985', 'longitude': '-73.90850551614973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58834010,2023-09-17T00:53:33.000,2023-09-17T08:19:21.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11208,NORWOOD AVENUE,NORWOOD AVENUE,ETNA STREET,NORWOOD AVENUE,ETNA STREET,NORWOOD AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T08:19:24.000,05 BROOKLYN,,BROOKLYN,1017527,188952,MOBILE,Unspecified,BROOKLYN,40.68524380688512,-73.88001461635614,"{'latitude': '40.68524380688512', 'longitude': '-73.88001461635614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58828208,2023-09-17T00:53:29.000,2023-09-17T01:38:21.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,132 INGRAHAM STREET,INGRAHAM STREET,PORTER AVENUE,VARICK AVENUE,PORTER AVENUE,VARICK AVENUE,ADDRESS,BROOKLYN,INGRAHAM STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T01:38:24.000,01 BROOKLYN,3029990010,BROOKLYN,1004130,197104,MOBILE,Unspecified,BROOKLYN,40.70765937333135,-73.92829548795719,"{'latitude': '40.70765937333135', 'longitude': '-73.92829548795719', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58831392,2023-09-17T00:53:22.000,2023-09-17T03:55:20.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,1841 CARTER AVENUE,CARTER AVENUE,EAST  175 STREET,EAST  176 STREET,EAST  175 STREET,EAST  176 STREET,ADDRESS,BRONX,CARTER AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T03:55:26.000,05 BRONX,2028920049,BRONX,1011282,247748,MOBILE,Unspecified,BRONX,40.84664473813887,-73.9022954522807,"{'latitude': '40.84664473813887', 'longitude': '-73.9022954522807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58827280,2023-09-17T00:53:19.000,2023-09-17T06:13:39.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11370,30-08 84 STREET,84 STREET,30 AVENUE,31 AVENUE,30 AVENUE,31 AVENUE,ADDRESS,EAST ELMHURST,84 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T06:13:41.000,03 QUEENS,4013810009,QUEENS,1016247,216599,ONLINE,Unspecified,QUEENS,40.76113277794169,-73.88449840879122,"{'latitude': '40.76113277794169', 'longitude': '-73.88449840879122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58830745,2023-09-17T00:53:17.000,2023-09-17T02:01:49.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11372,37-44 92 STREET,92 STREET,ELMHURST AVENUE,ROOSEVELT AVENUE,ELMHURST AVENUE,ROOSEVELT AVENUE,ADDRESS,JACKSON HEIGHTS,92 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T02:01:52.000,03 QUEENS,4014790027,QUEENS,1018936,212384,ONLINE,Unspecified,QUEENS,40.749553546567306,-73.87481351259424,"{'latitude': '40.749553546567306', 'longitude': '-73.87481351259424', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58829251,2023-09-17T00:53:02.000,2023-09-17T01:25:43.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11102,28-14 31 STREET,31 STREET,28 AVENUE,28 ROAD,28 AVENUE,28 ROAD,ADDRESS,ASTORIA,31 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T01:25:46.000,01 QUEENS,4005987501,QUEENS,1006331,219151,ONLINE,Unspecified,QUEENS,40.76816768229058,-73.92028441265194,"{'latitude': '40.76816768229058', 'longitude': '-73.92028441265194', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58828375,2023-09-17T00:52:48.000,2023-09-17T01:25:12.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10039,BRADHURST AVENUE,BRADHURST AVENUE,BRADHURST AVENUE,WEST  150 STREET,BRADHURST AVENUE,WEST  150 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T01:25:16.000,10 MANHATTAN,,MANHATTAN,1000691,240368,PHONE,Unspecified,MANHATTAN,40.82641485127078,-73.94059367107405,"{'latitude': '40.82641485127078', 'longitude': '-73.94059367107405', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
