unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_company_borough
58953284,2023-09-28T03:32:00.000,2023-09-28T07:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),11362,253-02 LEEDS ROAD,LEEDS ROAD,LEITH PL,254 ST,ADDRESS,LITTLE NECK,N/A,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T07:00:00.000,11 QUEENS,4082530038,QUEENS,1059491,218586,ONLINE,Unspecified,QUEENS,40.76632429360477,-73.72837628364508,"{'latitude': '40.76632429360477', 'longitude': '-73.72837628364508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58950046,2023-09-28T03:31:02.000,2023-09-28T04:40:44.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10456,1164 SHERIDAN AVENUE,SHERIDAN AVENUE,MCCLELLAN STREET,EAST  167 STREET,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T04:40:49.000,04 BRONX,,BRONX,1007148,242841,ONLINE,Unspecified,BRONX,40.83318814574537,-73.91725413909168,"{'latitude': '40.83318814574537', 'longitude': '-73.91725413909168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,MCCLELLAN STREET,EAST  167 STREET,SHERIDAN AVENUE,,,,,
58950057,2023-09-28T03:30:58.000,2023-09-28T03:43:09.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,10032,600 WEST  161 STREET,WEST  161 STREET,BROADWAY,FORT WASHINGTON AVENUE,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T03:43:16.000,12 MANHATTAN,,MANHATTAN,999931,244102,MOBILE,Unspecified,MANHATTAN,40.836664988649915,-73.94333105285334,"{'latitude': '40.836664988649915', 'longitude': '-73.94333105285334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,BROADWAY,FORT WASHINGTON AVENUE,WEST  161 STREET,,,,,
58953124,2023-09-28T03:26:50.000,2023-09-29T10:12:55.000,DSNY,Department of Sanitation,Missed Collection,Bulky Recycling,11207,387 VAN SICLEN AVENUE,VAN SICLEN AVENUE,BELMONT AVENUE,SUTTER AVENUE,ADDRESS,BROOKLYN,,Closed,The Department of Sanitation collected the requested items.,2023-09-28T12:57:34.000,05 BROOKLYN,,BROOKLYN,1014841,183548,ONLINE,Unspecified,BROOKLYN,40.67042075116629,-73.88972392476616,"{'latitude': '40.67042075116629', 'longitude': '-73.88972392476616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,BELMONT AVENUE,SUTTER AVENUE,VAN SICLEN AVENUE,,,,,
58948838,2023-09-28T03:26:44.000,2023-09-28T03:51:28.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10012,125 SULLIVAN STREET,SULLIVAN STREET,SPRING STREET,PRINCE STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-28T03:51:34.000,02 MANHATTAN,1005030015,MANHATTAN,983537,203853,ONLINE,Unspecified,MANHATTAN,40.72620606441196,-74.00257241146201,"{'latitude': '40.72620606441196', 'longitude': '-74.00257241146201', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,SPRING STREET,PRINCE STREET,SULLIVAN STREET,,,,,
58951685,2023-09-28T03:26:34.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,11238,400 VANDERBILT AVENUE,VANDERBILT AVENUE,GREENE AVENUE,GATES AVENUE,ADDRESS,BROOKLYN,,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-18T17:00:33.000,02 BROOKLYN,,BROOKLYN,993042,188982,UNKNOWN,Unspecified,BROOKLYN,40.685384337875995,-73.96829902306867,"{'latitude': '40.685384337875995', 'longitude': '-73.96829902306867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,GREENE AVENUE,GATES AVENUE,VANDERBILT AVENUE,,,,,
58952848,2023-09-28T03:26:34.000,2023-10-26T10:04:00.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,11238,VANDERBILT AVENUE,VANDERBILT AVENUE,GATES AVENUE,VANDERBILT AVENUE,INTERSECTION,,,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-10-26T10:04:07.000,02 BROOKLYN,,BROOKLYN,993110,188552,UNKNOWN,Unspecified,BROOKLYN,40.6842040183654,-73.96805440352412,"{'latitude': '40.6842040183654', 'longitude': '-73.96805440352412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,GATES AVENUE,VANDERBILT AVENUE,,,,,,
58950212,2023-09-28T03:26:14.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,10040,566 WEST  190 STREET,WEST  190 STREET,,,ADDRESS,NEW YORK,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-28T00:00:00.000,12 MANHATTAN,1021580070,MANHATTAN,1003913,250637,PHONE,Unspecified,MANHATTAN,40.85459366944698,-73.92892150279852,"{'latitude': '40.85459366944698', 'longitude': '-73.92892150279852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,
58953654,2023-09-28T03:26:00.000,2023-10-02T11:28:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,10466,,,,,INTERSECTION,BRONX,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-02T11:28:00.000,12 BRONX,,BRONX,1026013,264198,UNKNOWN,Unspecified,BRONX,40.89173751444919,-73.84894923924506,"{'latitude': '40.89173751444919', 'longitude': '-73.84894923924506', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,EDENWALD AVENUE,GUNTHER AVENUE,,,,,,
58946386,2023-09-28T03:23:43.000,2023-09-28T03:35:59.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),10030,2400 7 AVENUE,7 AVENUE,WEST  140 STREET,WEST  141 STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T03:36:03.000,10 MANHATTAN,1020260029,MANHATTAN,1000482,237497,ONLINE,Unspecified,MANHATTAN,40.81853515725049,-73.94135579635707,"{'latitude': '40.81853515725049', 'longitude': '-73.94135579635707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,WEST  140 STREET,WEST  141 STREET,7 AVENUE,,,,,
58952494,2023-09-28T03:23:42.000,2023-09-28T03:28:08.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11385,74 AVENUE,74 AVENUE,62 STREET,64 PLACE,BLOCKFACE,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T03:28:15.000,Unspecified QUEENS,,QUEENS,,,ONLINE,Unspecified,QUEENS,,,,Residential Building/House,62 STREET,64 PLACE,,,,,,
58948557,2023-09-28T03:22:34.000,2023-09-28T04:14:13.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,11434,117-52 166 STREET,166 STREET,DEAD END,119 AVENUE,ADDRESS,JAMAICA,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-28T04:14:20.000,12 QUEENS,,QUEENS,1045377,188445,MOBILE,Unspecified,QUEENS,40.68370369201644,-73.77960204949079,"{'latitude': '40.68370369201644', 'longitude': '-73.77960204949079', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,DEAD END,119 AVENUE,166 STREET,,,,,
58953630,2023-09-28T03:21:50.000,2023-10-03T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,11232,740 42 STREET,42 STREET,,,ADDRESS,BROOKLYN,N/A,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-03T00:00:00.000,07 BROOKLYN,3009240023,BROOKLYN,984167,174756,UNKNOWN,Unspecified,BROOKLYN,40.646341494989635,-74.00029909478685,"{'latitude': '40.646341494989635', 'longitude': '-74.00029909478685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58947497,2023-09-28T03:21:00.000,2023-09-28T05:00:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,10453,,,,,INTERSECTION,BRONX,N/A,Closed,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2023-09-28T05:00:00.000,05 BRONX,,BRONX,1010725,251778,UNKNOWN,Unspecified,BRONX,40.85770757258183,-73.90429275864669,"{'latitude': '40.85770757258183', 'longitude': '-73.90429275864669', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,JEROME AVENUE,BUCHANAN PLACE,,,,,,
58948777,2023-09-28T03:20:51.000,2023-09-28T04:40:06.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,10452,134 EAST  170 STREET,EAST  170 STREET,WYTHE PLACE,GRAND CONCOURSE,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T04:40:14.000,04 BRONX,,BRONX,1007821,245000,PHONE,Unspecified,BRONX,40.83911220271634,-73.91481455225497,"{'latitude': '40.83911220271634', 'longitude': '-73.91481455225497', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Club/Bar/Restaurant,WYTHE PLACE,GRAND CONCOURSE,EAST  170 STREET,,,,,
58947301,2023-09-28T03:20:46.000,2023-09-28T04:40:41.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,11214,2354 80 STREET,80 STREET,23 AVENUE,STILLWELL AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T04:40:47.000,11 BROOKLYN,,BROOKLYN,987802,159132,MOBILE,Unspecified,BROOKLYN,40.60345617894187,-73.98720840625161,"{'latitude': '40.60345617894187', 'longitude': '-73.98720840625161', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,23 AVENUE,STILLWELL AVENUE,80 STREET,,,,,
