unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58892043,2023-09-22T13:02:02.000,2023-09-22T14:24:45.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11378,56-01 MASPETH AVENUE,MASPETH AVENUE,PAGE PLACE,LIRR MONTAUK LINE,PAGE PLACE,LIRR MONTAUK LINE,ADDRESS,MASPETH,MASPETH AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T14:24:48.000,02 QUEENS,4025750130,QUEENS,1007611,202454,PHONE,Unspecified,QUEENS,40.72233533182283,-73.91572142611835,"{'latitude': '40.72233533182283', 'longitude': '-73.91572142611835', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897293,2023-09-22T13:02:00.000,2023-09-22T21:10:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,10314,152 WALCOTT AVENUE,WALCOTT AVENUE,FIELDS AVE,BEND,,,ADDRESS,STATEN ISLAND,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-22T21:10:00.000,02 STATEN ISLAND,5019750527,STATEN ISLAND,945735,156934,PHONE,Unspecified,STATEN ISLAND,40.59734013864519,-74.13868899501952,"{'latitude': '40.59734013864519', 'longitude': '-74.13868899501952', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901789,2023-09-22T13:01:54.000,2023-10-18T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11103,25-05 STEINWAY STREET,STEINWAY STREET,,,,,ADDRESS,ASTORIA,,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-18T00:00:00.000,01 QUEENS,4006840043,QUEENS,1008632,218940,UNKNOWN,Unspecified,QUEENS,40.76758249548565,-73.911978242309,"{'latitude': '40.76758249548565', 'longitude': '-73.911978242309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58900789,2023-09-22T13:01:52.000,2023-09-28T10:44:17.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WINDOW/FRAME,RESIDENTIAL BUILDING,11435,85-15 139 STREET,139 STREET,,,,,ADDRESS,JAMAICA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-28T00:00:00.000,08 QUEENS,4097100002,QUEENS,1034989,197495,ONLINE,Unspecified,QUEENS,40.7086094282564,-73.8169884642595,"{'latitude': '40.7086094282564', 'longitude': '-73.8169884642595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900851,2023-09-22T13:01:52.000,2023-09-28T10:44:17.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11435,85-15 139 STREET,139 STREET,,,,,ADDRESS,JAMAICA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-28T00:00:00.000,08 QUEENS,4097100002,QUEENS,1034989,197495,ONLINE,Unspecified,QUEENS,40.7086094282564,-73.8169884642595,"{'latitude': '40.7086094282564', 'longitude': '-73.8169884642595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894227,2023-09-22T13:01:33.000,2023-10-07T13:02:32.000,DOT,Department of Transportation,Street Sign - Damaged,St Name - Attached to Pole,Street,11428,217-13 JAMAICA AVENUE,JAMAICA AVENUE,218 STREET,218 STREET,218 STREET,218 STREET,ADDRESS,QUEENS VILLAGE,JAMAICA AVENUE,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-10-07T13:02:38.000,13 QUEENS,4106100034,QUEENS,1057068,200919,ONLINE,Unspecified,QUEENS,40.71785329145641,-73.7373146378802,"{'latitude': '40.71785329145641', 'longitude': '-73.7373146378802', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899739,2023-09-22T13:01:25.000,,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Worker Activity,Mobile Food Vendor,10019,754 5 AVENUE,5 AVENUE,EAST   57 STREET,EAST   58 STREET,EAST   57 STREET,EAST   58 STREET,ADDRESS,NEW YORK,5 AVENUE,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-09-25T09:54:01.000,05 MANHATTAN,1012730033,MANHATTAN,991559,217430,MOBILE,Unspecified,MANHATTAN,40.76346853790619,-73.97361532318583,"{'latitude': '40.76346853790619', 'longitude': '-73.97361532318583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902020,2023-09-22T13:01:16.000,2023-09-22T13:23:55.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10040,730 FORT WASHINGTON AVENUE,FORT WASHINGTON AVENUE,WEST  190 STREET,CABRINI BOULEVARD,WEST  190 STREET,CABRINI BOULEVARD,ADDRESS,NEW YORK,FORT WASHINGTON AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T13:23:58.000,12 MANHATTAN,1021800628,MANHATTAN,1002304,251970,MOBILE,Unspecified,MANHATTAN,40.85825579173524,-73.93473417962548,"{'latitude': '40.85825579173524', 'longitude': '-73.93473417962548', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58895527,2023-09-22T13:01:13.000,2023-10-03T09:55:01.000,DOT,Department of Transportation,Sidewalk Condition,Blocked - Construction,Sidewalk,11358,39 AVENUE,39 AVENUE,39 AVENUE,190 STREET,39 AVENUE,190 STREET,INTERSECTION,,,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-10-03T09:55:04.000,11 QUEENS,,QUEENS,1041935,216865,PHONE,Unspecified,QUEENS,40.76173259235414,-73.79176880225592,"{'latitude': '40.76173259235414', 'longitude': '-73.79176880225592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893514,2023-09-22T13:01:08.000,2023-09-22T15:03:33.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10461,2040 EASTCHESTER ROAD,EASTCHESTER ROAD,STILLWELL AVENUE,SEMINOLE STREET,STILLWELL AVENUE,SEMINOLE STREET,ADDRESS,BRONX,EASTCHESTER ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T15:03:37.000,11 BRONX,2042180014,BRONX,1027532,250556,ONLINE,Unspecified,BRONX,40.85428715405482,-73.84354337402726,"{'latitude': '40.85428715405482', 'longitude': '-73.84354337402726', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899490,2023-09-22T13:01:02.000,2023-09-22T13:15:51.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,10018,241 WEST   36 STREET,WEST   36 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,NEW YORK,WEST   36 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T13:15:54.000,05 MANHATTAN,1007860020,MANHATTAN,986765,213545,ONLINE,Unspecified,MANHATTAN,40.75280786935698,-73.9909225828772,"{'latitude': '40.75280786935698', 'longitude': '-73.9909225828772', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897572,2023-09-22T13:01:00.000,2023-09-23T09:10:00.000,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,11204,,,,,16 AVENUE,52 STREET,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-23T09:10:00.000,12 BROOKLYN,,BROOKLYN,987787,168568,UNKNOWN,Unspecified,BROOKLYN,40.62935604981196,-73.98725748164718,"{'latitude': '40.62935604981196', 'longitude': '-73.98725748164718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58892608,2023-09-22T13:00:46.000,2023-09-22T13:15:33.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11230,1010 EAST    8 STREET,EAST    8 STREET,AVENUE I,AVENUE J,AVENUE I,AVENUE J,ADDRESS,BROOKLYN,EAST    8 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T13:15:37.000,12 BROOKLYN,3065200043,BROOKLYN,993099,166951,PHONE,Unspecified,BROOKLYN,40.624914011416465,-73.96812240812461,"{'latitude': '40.624914011416465', 'longitude': '-73.96812240812461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894087,2023-09-22T13:00:28.000,,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11215,564 7 AVENUE,7 AVENUE,19 STREET,20 STREET,19 STREET,20 STREET,ADDRESS,BROOKLYN,7 AVENUE,In Progress,,,07 BROOKLYN,3008860044,BROOKLYN,987540,179565,PHONE,Unspecified,BROOKLYN,40.65954054065763,-73.98814196925716,"{'latitude': '40.65954054065763', 'longitude': '-73.98814196925716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893424,2023-09-22T13:00:14.000,2023-09-22T13:36:11.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11377,37-38 61 STREET,61 STREET,37 AVENUE,38 AVENUE,37 AVENUE,38 AVENUE,ADDRESS,WOODSIDE,61 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T13:36:14.000,02 QUEENS,4012150076,QUEENS,1011402,212069,PHONE,Unspecified,QUEENS,40.748715294548724,-73.90200598835122,"{'latitude': '40.748715294548724', 'longitude': '-73.90200598835122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898918,2023-09-22T12:59:50.000,2023-09-22T13:56:20.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11235,304 OCEAN VIEW AVENUE,OCEAN VIEW AVENUE,BRIGHTON    3 STREET,BRIGHTON    3 PLACE,BRIGHTON    3 STREET,BRIGHTON    3 PLACE,ADDRESS,BROOKLYN,OCEAN VIEW AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-22T13:56:23.000,13 BROOKLYN,3086730031,BROOKLYN,994046,150233,ONLINE,Unspecified,BROOKLYN,40.5790255061703,-73.96473518582832,"{'latitude': '40.5790255061703', 'longitude': '-73.96473518582832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893466,2023-09-22T12:59:46.000,2023-09-22T12:59:46.000,DOT,Department of Transportation,Street Condition,Pothole,,11209,6 AVENUE,6 AVENUE,,,6 AVENUE,72 STREET,INTERSECTION,BROOKLYN,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-22T12:59:46.000,10 BROOKLYN,,BROOKLYN,978904,169007,UNKNOWN,Unspecified,BROOKLYN,40.630560105131764,-74.01926003179082,"{'latitude': '40.630560105131764', 'longitude': '-74.01926003179082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58900806,2023-09-22T12:59:33.000,2023-09-27T20:49:27.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10453,10 RICHMAN PLAZA,RICHMAN PLAZA,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,05 BRONX,2028820229,BRONX,1005583,249550,PHONE,Unspecified,BRONX,40.851606301604434,-73.92288819061721,"{'latitude': '40.851606301604434', 'longitude': '-73.92288819061721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901574,2023-09-22T12:59:24.000,2023-09-22T13:29:35.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11203,1075 UTICA AVENUE,UTICA AVENUE,TILDEN AVENUE,BEVERLEY ROAD,TILDEN AVENUE,BEVERLEY ROAD,ADDRESS,BROOKLYN,UTICA AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T13:29:39.000,17 BROOKLYN,3047350042,BROOKLYN,1003719,174926,PHONE,Unspecified,BROOKLYN,40.646786708895746,-73.92984197730502,"{'latitude': '40.646786708895746', 'longitude': '-73.92984197730502', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899768,2023-09-22T12:59:11.000,2023-10-27T10:29:54.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11215,320 10 STREET,10 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,10 STREET,Closed,The Department of Transportation contacted the customer and resolved the service request or provided the information requested.,2023-10-27T10:30:03.000,06 BROOKLYN,3010160014,BROOKLYN,987517,183107,PHONE,Unspecified,BROOKLYN,40.66926255393939,-73.9882231510009,"{'latitude': '40.66926255393939', 'longitude': '-73.9882231510009', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897312,2023-09-22T12:59:00.000,2023-09-22T15:30:00.000,DEP,Department of Environmental Protection,Industrial Waste,Oil Spill Into Basin/Sewer - Large (IABL),,11385,60-32 78 AVENUE,78 AVENUE,60 ST,60 LN,,,ADDRESS,RIDGEWOOD,,Closed,The Department of Environmental Protection investigated this complaint and resolved the issue during a field inspection.,2023-09-22T15:30:00.000,05 QUEENS,4035820019,QUEENS,1013087,192926,ONLINE,Unspecified,QUEENS,40.69616709252591,-73.8960066977715,"{'latitude': '40.69616709252591', 'longitude': '-73.8960066977715', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58893169,2023-09-22T12:59:00.000,2023-09-23T17:35:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Search (SC2),,11216,515 NOSTRAND AVENUE,NOSTRAND AVENUE,FULTON ST,HERKIMER ST,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,2023-09-23T17:35:00.000,03 BROOKLYN,3018610071,BROOKLYN,998238,186931,PHONE,Unspecified,BROOKLYN,40.67974812431873,-73.94956826627376,"{'latitude': '40.67974812431873', 'longitude': '-73.94956826627376', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898653,2023-09-22T12:59:00.000,2023-10-03T11:42:00.000,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,10128,1725 YORK AVENUE,YORK AVENUE,E 89 ST,E 90 ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection requires contact with the complainant to investigate this complaint. A message was left for the complainant at the phone number provided.,2023-10-03T11:42:00.000,08 MANHATTAN,1015690016,MANHATTAN,999381,222855,ONLINE,Unspecified,MANHATTAN,40.77834881853699,-73.94536656477096,"{'latitude': '40.77834881853699', 'longitude': '-73.94536656477096', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
