unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,facility_type,due_date,bbl,landmark,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,taxi_pick_up_location,taxi_company_borough
58964826,2023-09-29T07:43:03.000,2023-09-29T07:43:03.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,1-2 Family Dwelling,10469,2455 WILLIAMSBRIDGE ROAD,WILLIAMSBRIDGE ROAD,WARING AVENUE,HONE AVENUE,WARING AVENUE,HONE AVENUE,ADDRESS,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-29T07:43:03.000,11 BRONX,BRONX,1023606,253454,MOBILE,Unspecified,BRONX,40.86225965805171,-73.85771811447368,"{'latitude': '40.86225965805171', 'longitude': '-73.85771811447368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,,2044440001,WILLIAMSBRIDGE ROAD,,,,,,
58963974,2023-09-29T07:42:47.000,2023-09-29T11:34:02.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11207,583 LIBERTY AVENUE,LIBERTY AVENUE,BARBEY STREET,JEROME STREET,BARBEY STREET,JEROME STREET,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-29T11:34:05.000,05 BROOKLYN,BROOKLYN,1015282,185454,MOBILE,Unspecified,BROOKLYN,40.675650754227476,-73.8881254109771,"{'latitude': '40.675650754227476', 'longitude': '-73.8881254109771', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,LIBERTY AVENUE,,,,,,
58965878,2023-09-29T07:42:46.000,2023-10-04T08:37:45.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10452,1183 GERARD AVENUE,GERARD AVENUE,,,,,ADDRESS,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-04T00:00:00.000,04 BRONX,BRONX,1006211,243445,ONLINE,Unspecified,BRONX,40.834848330555566,-73.92063817038486,"{'latitude': '40.834848330555566', 'longitude': '-73.92063817038486', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,,2024880031,,,,,,,
58967471,2023-09-29T07:42:33.000,2023-10-02T08:52:40.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11213,1616 PRESIDENT STREET,PRESIDENT STREET,,,,,ADDRESS,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,09 BROOKLYN,BROOKLYN,1002397,182357,ONLINE,Unspecified,BROOKLYN,40.66718597604843,-73.93458590618614,"{'latitude': '40.66718597604843', 'longitude': '-73.93458590618614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3014070041,,,,,,,
58965497,2023-09-29T07:42:00.000,2023-09-29T08:28:04.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11201,1 CLINTON STREET,CLINTON STREET,,PIERREPONT STREET,,PIERREPONT STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T08:28:10.000,02 BROOKLYN,BROOKLYN,986644,192904,MOBILE,Unspecified,BROOKLYN,40.69615336682547,-73.99136665200248,"{'latitude': '40.69615336682547', 'longitude': '-73.99136665200248', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3002397501,CLINTON STREET,,,,,,
58959254,2023-09-29T07:41:55.000,2023-09-29T08:50:40.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11101,27-18 41 AVENUE,41 AVENUE,27 STREET,28 STREET,27 STREET,28 STREET,ADDRESS,Closed,The Police Department responded to the complaint and a report was prepared.,2023-09-29T08:50:46.000,01 QUEENS,QUEENS,1001394,213147,MOBILE,Unspecified,QUEENS,40.75169919809731,-73.93812299729414,"{'latitude': '40.75169919809731', 'longitude': '-73.93812299729414', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LONG ISLAND CITY,,,,41 AVENUE,,,,,,
59452474,2023-09-29T07:41:27.000,2023-09-29T13:20:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,10065,1275 YORK AVENUE,YORK AVENUE,EAST   67 STREET,EAST   68 STREET,EAST   67 STREET,EAST   68 STREET,ADDRESS,Closed,,2023-09-29T13:20:00.000,08 MANHATTAN,MANHATTAN,996523,217698,PHONE,Unspecified,MANHATTAN,40.76419863122711,-73.95569534859536,"{'latitude': '40.76419863122711', 'longitude': '-73.95569534859536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,,1014620005,YORK AVENUE,,,,,,
58964883,2023-09-29T07:41:22.000,2023-09-29T08:55:55.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11221,1082 GREENE AVENUE,GREENE AVENUE,BROADWAY,GOODWIN PLACE,BROADWAY,GOODWIN PLACE,ADDRESS,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-29T08:56:01.000,04 BROOKLYN,BROOKLYN,1005035,191401,MOBILE,Unspecified,BROOKLYN,40.692003896779745,-73.92504887540309,"{'latitude': '40.692003896779745', 'longitude': '-73.92504887540309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3032930011,GREENE AVENUE,,,,,,
59460703,2023-09-29T07:41:20.000,2023-10-04T00:00:00.000,HPD,Department of Housing Preservation and Development,General,Cooking Gas,Apartment,10452,1183 GERARD AVENUE,GERARD AVENUE,MCCLELLAN STREET,EAST  167 STREET,MCCLELLAN STREET,EAST  167 STREET,ADDRESS,Closed,,2023-10-04T00:00:00.000,04 BRONX,BRONX,1006211,243445,ONLINE,Unspecified,BRONX,40.834848330555566,-73.92063817038486,"{'latitude': '40.834848330555566', 'longitude': '-73.92063817038486', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,,,,GERARD AVENUE,,,,,,
58959209,2023-09-29T07:41:00.000,2023-10-01T11:05:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11422,,,,,147 AVENUE,BROOKVILLE BOULEVARD,INTERSECTION,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-10-01T11:05:00.000,13 QUEENS,QUEENS,1054985,178890,PHONE,Unspecified,QUEENS,40.65740589843868,-73.7450601378565,"{'latitude': '40.65740589843868', 'longitude': '-73.7450601378565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",QUEENS,,,,,,,,,,
58960743,2023-09-29T07:41:00.000,2023-10-05T14:00:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11103,25-63 48 STREET,48 STREET,AMTRAK-CONNECTING RAIL LINE,28 AVE,,,ADDRESS,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-10-05T14:00:00.000,01 QUEENS,QUEENS,1010306,217699,ONLINE,Unspecified,QUEENS,40.76417149801192,-73.905939729542,"{'latitude': '40.76417149801192', 'longitude': '-73.905939729542', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASTORIA,,,4007440018,,,,,,,
58963694,2023-09-29T07:41:00.000,2023-09-29T09:00:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10306,3074 RICHMOND ROAD,RICHMOND ROAD,BEACON AVE,SUMMIT AVE,,,ADDRESS,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T09:00:00.000,03 STATEN ISLAND,STATEN ISLAND,949838,149086,PHONE,Unspecified,STATEN ISLAND,40.57581584355318,-74.12387452448102,"{'latitude': '40.57581584355318', 'longitude': '-74.12387452448102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,,,5043020072,,,,,,,
58960500,2023-09-29T07:41:00.000,2023-09-29T11:10:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11221,1168 HANCOCK STREET,HANCOCK STREET,CENTRAL AVE,WILSON AVE,,,ADDRESS,Closed,NYC DEP investigated and determined the sewer or catchbasin was overtaxed due to heavy rain and no further action is required.,2023-09-29T11:10:00.000,04 BROOKLYN,BROOKLYN,1008578,191075,ONLINE,Unspecified,BROOKLYN,40.691100072473866,-73.91227393194279,"{'latitude': '40.691100072473866', 'longitude': '-73.91227393194279', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3033970116,,,,,,,
58963463,2023-09-29T07:41:00.000,2023-09-29T10:32:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11206,31 LEONARD STREET,LEONARD STREET,MOORE ST,BOERUM ST,,,ADDRESS,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-29T10:32:00.000,01 BROOKLYN,BROOKLYN,999205,195869,ONLINE,Unspecified,BROOKLYN,40.70427928492746,-73.94606204457612,"{'latitude': '40.70427928492746', 'longitude': '-73.94606204457612', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,N/A,,3030770001,,,,,,,
59443553,2023-09-29T07:40:45.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,11213,1616 PRESIDENT STREET,PRESIDENT STREET,TROY AVENUE,SCHENECTADY AVENUE,TROY AVENUE,SCHENECTADY AVENUE,ADDRESS,Closed,,2023-10-02T00:00:00.000,09 BROOKLYN,BROOKLYN,1002397,182357,ONLINE,Unspecified,BROOKLYN,40.66718597604843,-73.93458590618614,"{'latitude': '40.66718597604843', 'longitude': '-73.93458590618614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,PRESIDENT STREET,,,,,,
59000616,2023-09-29T07:40:20.000,2023-10-06T09:44:09.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,10306,165 PLATT STREET,PLATT STREET,CHAMPLAIN AVENUE,MALONE AVENUE,CHAMPLAIN AVENUE,MALONE AVENUE,ADDRESS,Closed,NYC Parks performed the work necessary to correct the condition.,2023-10-06T05:43:02.000,03 STATEN ISLAND,STATEN ISLAND,949054,143799,PHONE,Unspecified,STATEN ISLAND,40.56130099474092,-74.12666920209321,"{'latitude': '40.56130099474092', 'longitude': '-74.12666920209321', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,,,,PLATT STREET,,,,,,
58961629,2023-09-29T07:39:35.000,2023-09-29T20:15:18.000,HPD,Department of Housing Preservation and Development,OUTSIDE BUILDING,ROOFING,RESIDENTIAL BUILDING,11354,147-15 NORTHERN BOULEVARD,NORTHERN BOULEVARD,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-29T00:00:00.000,07 QUEENS,QUEENS,1034360,218105,PHONE,Unspecified,QUEENS,40.765182244615715,-73.81910369486208,"{'latitude': '40.765182244615715', 'longitude': '-73.81910369486208', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLUSHING,,,4050050064,,,,,,,
59452741,2023-09-29T07:39:12.000,2023-10-01T11:05:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11422,147 AVENUE,147 AVENUE,147 AVENUE,BROOKVILLE BOULEVARD,147 AVENUE,BROOKVILLE BOULEVARD,INTERSECTION,Closed,,2023-10-01T11:05:00.000,13 QUEENS,QUEENS,1054985,178890,PHONE,Unspecified,QUEENS,40.65740589843868,-73.7450601378565,"{'latitude': '40.65740589843868', 'longitude': '-73.7450601378565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
59005416,2023-09-29T07:38:57.000,2023-10-04T08:00:42.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-30T18:03:22.000,Unspecified BRONX,BRONX,1012533,253087,MOBILE,Unspecified,BRONX,40.86129477486614,-73.89775131293116,"{'latitude': '40.86129477486614', 'longitude': '-73.89775131293116', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,D,B D to Bedford Pk Blvd & 205 St,Platform,,,
59008604,2023-09-29T07:38:51.000,2023-09-29T09:01:47.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,11373,82-52 BROADWAY,BROADWAY,VIETOR AVENUE,45 AVENUE,VIETOR AVENUE,45 AVENUE,ADDRESS,Closed,N/A,2023-09-29T09:01:46.000,04 QUEENS,QUEENS,1017153,209626,ONLINE,Unspecified,QUEENS,40.74199034902267,-73.8812620864047,"{'latitude': '40.74199034902267', 'longitude': '-73.8812620864047', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ELMHURST,,,,BROADWAY,,,,,,
59455898,2023-09-29T07:38:30.000,2023-09-29T09:00:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,10306,3074 RICHMOND ROAD,RICHMOND ROAD,BEACON AVENUE,SUMMIT AVENUE,BEACON AVENUE,SUMMIT AVENUE,ADDRESS,Closed,,2023-09-29T09:00:00.000,03 STATEN ISLAND,STATEN ISLAND,949838,149086,PHONE,Unspecified,STATEN ISLAND,40.57581584355318,-74.12387452448102,"{'latitude': '40.57581584355318', 'longitude': '-74.12387452448102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,,,5043020072,RICHMOND ROAD,,,,,,
58962516,2023-09-29T07:38:12.000,2023-09-29T07:58:31.000,NYPD,New York City Police Department,Panhandling,N/A,Street/Sidewalk,10001,231 WEST   31 STREET,WEST   31 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T07:58:35.000,05 MANHATTAN,MANHATTAN,986180,212356,ONLINE,Unspecified,MANHATTAN,40.74954451196735,-73.99303437104486,"{'latitude': '40.74954451196735', 'longitude': '-73.99303437104486', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,,,,WEST   31 STREET,,,,,,
59442287,2023-09-29T07:38:07.000,2023-10-05T14:00:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,Street,11103,25-63 48 STREET,48 STREET,AMTRAK-CONNECTING RAIL LINE,28 AVENUE,AMTRAK-CONNECTING RAIL LINE,28 AVENUE,ADDRESS,Closed,,2023-10-05T14:00:00.000,01 QUEENS,QUEENS,1010306,217699,ONLINE,Unspecified,QUEENS,40.76417149801192,-73.905939729542,"{'latitude': '40.76417149801192', 'longitude': '-73.905939729542', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASTORIA,,,4007440018,48 STREET,,,,,,
58965110,2023-09-29T07:38:00.000,2023-10-10T21:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11217,147 LINCOLN PLACE,LINCOLN PLACE,6 AVE,7 AVE,,,ADDRESS,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-10T21:45:00.000,06 BROOKLYN,BROOKLYN,991084,185577,ONLINE,Unspecified,BROOKLYN,40.67604011465859,-73.97536236120077,"{'latitude': '40.67604011465859', 'longitude': '-73.97536236120077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,N/A,,3009480053,,,,,,,
58962162,2023-09-29T07:38:00.000,2023-09-29T09:40:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,10306,156 FINLEY AVENUE,FINLEY AVENUE,MARINE WAY,EBBITTS ST,,,ADDRESS,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-29T09:40:00.000,02 STATEN ISLAND,STATEN ISLAND,955104,144308,PHONE,Unspecified,STATEN ISLAND,40.562720049712524,-74.10489767533758,"{'latitude': '40.562720049712524', 'longitude': '-74.10489767533758', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,,,5040680018,,,,,,,
58966565,2023-09-29T07:37:49.000,2023-09-29T10:38:54.000,DSNY,Department of Sanitation,Lot Condition,Trash,Lot,11101,44-79 23 STREET,23 STREET,44 DRIVE,45 AVENUE,44 DRIVE,45 AVENUE,ADDRESS,Closed,"The Department of Sanitation (DSNY) found an open Service Request already exists for the same location.   DSNY's system can't accept more than one complaint per address at a time. Your Service Request has been closed. DSNY will address the Service Request that was filed previously.  If you filed that Service Request, you can get the status with your Service Request number at nyc.gov/311 or by calling 311.  If you didn't file it, you can get the status by calling DSNY at (212) 291-1220.",2023-09-29T10:37:14.000,02 QUEENS,QUEENS,999440,211534,ONLINE,Unspecified,QUEENS,40.74727549322239,-73.945179115596,"{'latitude': '40.74727549322239', 'longitude': '-73.945179115596', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LONG ISLAND CITY,,,4000790001,23 STREET,,,,,,
59005945,2023-09-29T07:37:47.000,2023-09-29T10:04:38.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11355,131-53 SANFORD AVENUE,SANFORD AVENUE,HAIGHT STREET,COLLEGE POINT BOULEVARD,HAIGHT STREET,COLLEGE POINT BOULEVARD,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-29T10:04:43.000,07 QUEENS,QUEENS,1030261,214217,PHONE,Unspecified,QUEENS,40.75453298354819,-73.83392759238689,"{'latitude': '40.75453298354819', 'longitude': '-73.83392759238689', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLUSHING,,,4050630036,SANFORD AVENUE,,,,,,
59003829,2023-09-29T07:37:35.000,2023-09-29T10:50:14.000,DHS,Department of Homeless Services,Encampment,N/A,Street/Sidewalk,11207,179 ALABAMA AVENUE,ALABAMA AVENUE,GLENMORE AVENUE,PITKIN AVENUE,GLENMORE AVENUE,PITKIN AVENUE,ADDRESS,Closed,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,2023-09-29T10:50:13.000,05 BROOKLYN,BROOKLYN,1012319,184154,MOBILE,Unspecified,BROOKLYN,40.6720924396609,-73.89881283353985,"{'latitude': '40.6720924396609', 'longitude': '-73.89881283353985', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3037180001,ALABAMA AVENUE,,,,,,
59009881,2023-09-29T07:37:35.000,2023-09-29T08:58:28.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,11207,179 ALABAMA AVENUE,ALABAMA AVENUE,GLENMORE AVENUE,PITKIN AVENUE,GLENMORE AVENUE,PITKIN AVENUE,ADDRESS,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-29T08:58:25.000,05 BROOKLYN,BROOKLYN,1012319,184154,MOBILE,Unspecified,BROOKLYN,40.6720924396609,-73.89881283353985,"{'latitude': '40.6720924396609', 'longitude': '-73.89881283353985', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,3037180001,ALABAMA AVENUE,,,,,,
