unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location
58970491,2023-09-30T14:44:05.000,,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,11368,FLUSHING MEADOWS CORONA PARK,FLUSHING MEADOWS CORONA PARK,UNRECOGNIZED,CORONA,In Progress,,,81 QUEENS,4020180001,QUEENS,1027989,209784,MOBILE,Flushing Meadows Corona Park,QUEENS,40.742377064999275,-73.84215697754966,"{'latitude': '40.742377064999275', 'longitude': '-73.84215697754966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",52 AVENUE,53 AVENUE,52 AVENUE,53 AVENUE,FLUSHING MEADOWS CORONA PARK,,,,,,
58972017,2023-09-30T14:44:00.000,2023-09-30T19:15:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11214,176 27 AVENUE,27 AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-09-30T19:15:00.000,13 BROOKLYN,3069120041,BROOKLYN,987458,154172,ONLINE,Unspecified,BROOKLYN,40.58984211086642,-73.98844958702614,"{'latitude': '40.58984211086642', 'longitude': '-73.98844958702614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HARWAY AVE,MILL RD,,,,,,,,,
58976765,2023-09-30T14:44:00.000,2023-10-02T12:07:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11238,36 PLAZA ST EAST,PLAZA ST EAST,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-10-02T12:07:00.000,08 BROOKLYN,3011700005,BROOKLYN,992715,185286,ONLINE,Unspecified,BROOKLYN,40.67523997590344,-73.96948271703901,"{'latitude': '40.67523997590344', 'longitude': '-73.96948271703901', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",VANDERBILT AVE,BUTLER PL,,,,N/A,,,,,
58974066,2023-09-30T14:43:58.000,2023-10-02T07:24:41.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Public Garden,10026,ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,INTERSECTION,MANHATTAN,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-30T14:43:58.000,10 MANHATTAN,,MANHATTAN,997313,231960,ONLINE,Unspecified,MANHATTAN,40.80334288774428,-73.95281577341255,"{'latitude': '40.80334288774428', 'longitude': '-73.95281577341255', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ST NICHOLAS AVENUE,WEST  116 STREET,ST NICHOLAS AVENUE,WEST 116 STREET,,,,,,,
58970990,2023-09-30T14:43:46.000,2023-09-30T14:59:07.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11239,558 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T14:59:13.000,05 BROOKLYN,3044520926,BROOKLYN,1020032,178199,ONLINE,Unspecified,BROOKLYN,40.65571948667194,-73.87103954245387,"{'latitude': '40.65571948667194', 'longitude': '-73.87103954245387', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ESSEX STREET,BERRIMAN STREET,ESSEX STREET,BERRIMAN STREET,SCHROEDERS AVENUE,,,,,,
59445032,2023-09-30T14:43:37.000,2023-10-03T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Ceiling,Apartment,11224,2970 WEST   28 STREET,WEST   28 STREET,ADDRESS,BROOKLYN,Closed,,2023-10-03T00:00:00.000,13 BROOKLYN,,BROOKLYN,985920,148327,PHONE,Unspecified,BROOKLYN,40.57379916573772,-73.99398860452052,"{'latitude': '40.57379916573772', 'longitude': '-73.99398860452052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,WEST   28 STREET,,,,,,
59460144,2023-09-30T14:43:29.000,2023-10-03T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Apartment,11224,2970 WEST   28 STREET,WEST   28 STREET,ADDRESS,BROOKLYN,Closed,,2023-10-03T00:00:00.000,13 BROOKLYN,,BROOKLYN,985920,148327,PHONE,Unspecified,BROOKLYN,40.57379916573772,-73.99398860452052,"{'latitude': '40.57379916573772', 'longitude': '-73.99398860452052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,WEST   28 STREET,,,,,,
58969671,2023-09-30T14:43:05.000,2023-09-30T15:25:01.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10302,774 PORT RICHMOND AVENUE,PORT RICHMOND AVENUE,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T15:25:07.000,01 STATEN ISLAND,5011400004,STATEN ISLAND,944106,167099,MOBILE,Unspecified,STATEN ISLAND,40.62523370543123,-74.14461529335965,"{'latitude': '40.62523370543123', 'longitude': '-74.14461529335965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",VAN RIPER STREET,VILLA AVENUE,VAN RIPER STREET,VILLA AVENUE,PORT RICHMOND AVENUE,,,,,,
58968491,2023-09-30T14:43:00.000,2023-10-01T10:10:00.000,DOT,Department of Transportation,Traffic Signal Condition,Veh Signal Lamp,,11374,,,INTERSECTION,QUEENS,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-01T10:10:00.000,05 QUEENS,,QUEENS,1023129,198652,UNKNOWN,Unspecified,QUEENS,40.711845176752206,-73.85975977516979,"{'latitude': '40.711845176752206', 'longitude': '-73.85975977516979', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,WOODHAVEN BOULEVARD,METROPOLITAN AVENUE,,N/A,,,,,
59453326,2023-09-30T14:42:50.000,2023-10-16T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Apartment,10022,340 EAST   52 STREET,EAST   52 STREET,ADDRESS,NEW YORK,Closed,,2023-10-16T00:00:00.000,06 MANHATTAN,1013440033,MANHATTAN,993513,214594,ONLINE,Unspecified,MANHATTAN,40.755682613498216,-73.96656550874555,"{'latitude': '40.755682613498216', 'longitude': '-73.96656550874555', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,EAST   52 STREET,,,,,,
58969142,2023-09-30T14:42:35.000,2023-09-30T15:02:25.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,1132 ESSEX STREET,ESSEX STREET,ADDRESS,BROOKLYN,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-30T15:02:33.000,05 BROOKLYN,3044520701,BROOKLYN,1019860,178375,ONLINE,Unspecified,BROOKLYN,40.6562032609717,-73.87165851044746,"{'latitude': '40.6562032609717', 'longitude': '-73.87165851044746', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",VANDALIA AVENUE,SCHROEDERS AVENUE,VANDALIA AVENUE,SCHROEDERS AVENUE,ESSEX STREET,,,,,,
58972759,2023-09-30T14:42:12.000,2023-10-01T21:09:33.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11413,130-07 228 STREET,228 STREET,ADDRESS,SPRINGFIELD GARDENS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,13 QUEENS,4129060033,QUEENS,1056546,187794,ONLINE,Unspecified,QUEENS,40.68183267400075,-73.73933859220617,"{'latitude': '40.68183267400075', 'longitude': '-73.73933859220617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58975095,2023-09-30T14:42:12.000,2023-10-03T09:29:33.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11224,2970 WEST   27 STREET,WEST   27 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,986240,148216,PHONE,Unspecified,BROOKLYN,40.573494426424446,-73.99283675303543,"{'latitude': '40.573494426424446', 'longitude': '-73.99283675303543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58973837,2023-09-30T14:42:12.000,2023-10-01T21:09:33.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11413,130-07 228 STREET,228 STREET,ADDRESS,SPRINGFIELD GARDENS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,13 QUEENS,4129060033,QUEENS,1056546,187794,ONLINE,Unspecified,QUEENS,40.68183267400075,-73.73933859220617,"{'latitude': '40.68183267400075', 'longitude': '-73.73933859220617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58975180,2023-09-30T14:42:12.000,2023-10-03T09:29:34.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11224,2970 WEST   27 STREET,WEST   27 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,986240,148216,PHONE,Unspecified,BROOKLYN,40.573494426424446,-73.99283675303543,"{'latitude': '40.573494426424446', 'longitude': '-73.99283675303543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58975009,2023-09-30T14:42:12.000,2023-10-03T09:29:34.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11224,2970 WEST   27 STREET,WEST   27 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,986240,148216,PHONE,Unspecified,BROOKLYN,40.573494426424446,-73.99283675303543,"{'latitude': '40.573494426424446', 'longitude': '-73.99283675303543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58973756,2023-09-30T14:42:12.000,2023-10-07T11:09:16.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW PANE,RESIDENTIAL BUILDING,11224,2970 WEST   27 STREET,WEST   27 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-07T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,986240,148216,PHONE,Unspecified,BROOKLYN,40.573494426424446,-73.99283675303543,"{'latitude': '40.573494426424446', 'longitude': '-73.99283675303543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58976371,2023-09-30T14:42:12.000,2023-10-01T21:09:33.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11413,130-07 228 STREET,228 STREET,ADDRESS,SPRINGFIELD GARDENS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,13 QUEENS,4129060033,QUEENS,1056546,187794,ONLINE,Unspecified,QUEENS,40.68183267400075,-73.73933859220617,"{'latitude': '40.68183267400075', 'longitude': '-73.73933859220617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58975412,2023-09-30T14:41:59.000,,DPR,Department of Parks and Recreation,Uprooted Stump,Remove Stump,Street,11412,116 AVENUE,116 AVENUE,BLOCKFACE,,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.    Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.    For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.     To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-17T10:54:48.000,Unspecified QUEENS,,QUEENS,,,ONLINE,Unspecified,QUEENS,,,,204 STREET,205 STREET,204 STREET,205 STREET,,,,,,,
58974590,2023-09-30T14:41:50.000,2023-09-30T15:02:28.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10002,MECHANICS ALLEY,MECHANICS ALLEY,INTERSECTION,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T15:02:33.000,03 MANHATTAN,,MANHATTAN,985985,198809,MOBILE,Unspecified,MANHATTAN,40.71236135673697,-73.99374164534588,"{'latitude': '40.71236135673697', 'longitude': '-73.99374164534588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MADISON STREET,MECHANICS ALLEY,MADISON STREET,MECHANICS ALLEY,,,,,,,
58971608,2023-09-30T14:41:45.000,2023-09-30T14:59:35.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11239,541 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-30T14:59:38.000,05 BROOKLYN,3044520719,BROOKLYN,1019673,177998,ONLINE,Unspecified,BROOKLYN,40.655169229629884,-73.87233445375232,"{'latitude': '40.655169229629884', 'longitude': '-73.87233445375232', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ELTON STREET,ESSEX STREET,ELTON STREET,ESSEX STREET,SCHROEDERS AVENUE,,,,,,
59445527,2023-09-30T14:41:18.000,2023-09-30T19:15:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11214,176 27 AVENUE,27 AVENUE,ADDRESS,BROOKLYN,Closed,,2023-09-30T19:15:00.000,13 BROOKLYN,3069120041,BROOKLYN,987458,154172,ONLINE,Unspecified,BROOKLYN,40.58984211086642,-73.98844958702614,"{'latitude': '40.58984211086642', 'longitude': '-73.98844958702614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HARWAY AVENUE,MILL ROAD,HARWAY AVENUE,MILL ROAD,27 AVENUE,,,,,,
58976706,2023-09-30T14:41:12.000,2023-09-30T15:07:51.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,10473,2210 TURNBULL AVENUE,TURNBULL AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T15:07:59.000,09 BRONX,2036900011,BRONX,1026176,239555,ONLINE,Unspecified,BRONX,40.82409919667177,-73.84851382990635,"{'latitude': '40.82409919667177', 'longitude': '-73.84851382990635', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CASTLE HILL AVENUE,HAVEMEYER AVENUE,CASTLE HILL AVENUE,HAVEMEYER AVENUE,TURNBULL AVENUE,,,,,,
59443139,2023-09-30T14:41:04.000,2023-10-07T00:00:00.000,HPD,Department of Housing Preservation and Development,Door/Window,Window Pane,Public Area,11224,2970 WEST   28 STREET,WEST   28 STREET,ADDRESS,BROOKLYN,Closed,,2023-10-07T00:00:00.000,13 BROOKLYN,,BROOKLYN,985920,148327,PHONE,Unspecified,BROOKLYN,40.57379916573772,-73.99398860452052,"{'latitude': '40.57379916573772', 'longitude': '-73.99398860452052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,WEST   28 STREET,,,,,,
59436294,2023-09-30T14:41:04.000,2023-10-03T00:00:00.000,HPD,Department of Housing Preservation and Development,Door/Window,Door,Public Area,11224,2970 WEST   28 STREET,WEST   28 STREET,ADDRESS,BROOKLYN,Closed,,2023-10-03T00:00:00.000,13 BROOKLYN,,BROOKLYN,985920,148327,PHONE,Unspecified,BROOKLYN,40.57379916573772,-73.99398860452052,"{'latitude': '40.57379916573772', 'longitude': '-73.99398860452052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,WEST   28 STREET,,,,,,
59456689,2023-09-30T14:41:03.000,2023-10-03T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Public Area,11224,2970 WEST   28 STREET,WEST   28 STREET,ADDRESS,BROOKLYN,Closed,,2023-10-03T00:00:00.000,13 BROOKLYN,,BROOKLYN,985920,148327,PHONE,Unspecified,BROOKLYN,40.57379916573772,-73.99398860452052,"{'latitude': '40.57379916573772', 'longitude': '-73.99398860452052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,WEST   28 STREET,,,,,,
58970007,2023-09-30T14:41:01.000,2023-09-30T15:15:23.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10029,1695 LEXINGTON AVENUE,LEXINGTON AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T15:15:28.000,11 MANHATTAN,1016340022,MANHATTAN,999180,228011,ONLINE,Unspecified,MANHATTAN,40.79250100202552,-73.94608085514925,"{'latitude': '40.79250100202552', 'longitude': '-73.94608085514925', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  106 STREET,EAST  107 STREET,EAST  106 STREET,EAST  107 STREET,LEXINGTON AVENUE,,,,,,
58968254,2023-09-30T14:41:00.000,2023-10-01T01:00:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11234,5711 AVENUE I,AVENUE I,ADDRESS,BROOKLYN,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,2023-10-01T01:00:00.000,18 BROOKLYN,3077610005,BROOKLYN,1006179,169161,PHONE,Unspecified,BROOKLYN,40.63095727280063,-73.92099592134132,"{'latitude': '40.63095727280063', 'longitude': '-73.92099592134132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",E 57 ST,BEND,,,,,,,,,
59441659,2023-09-30T14:40:58.000,2023-10-03T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Ceiling,Public Area,11224,2970 WEST   28 STREET,WEST   28 STREET,ADDRESS,BROOKLYN,Closed,,2023-10-03T00:00:00.000,13 BROOKLYN,,BROOKLYN,985920,148327,PHONE,Unspecified,BROOKLYN,40.57379916573772,-73.99398860452052,"{'latitude': '40.57379916573772', 'longitude': '-73.99398860452052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,WEST   28 STREET,,,,,,
