unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,due_date,bridge_highway_direction,road_ramp
58927174,2023-09-26T23:27:38.000,2023-09-26T23:33:00.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,150 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,GATES AVENUE,MONROE STREET,GATES AVENUE,MONROE STREET,ADDRESS,BROOKLYN,MALCOLM X BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T23:33:04.000,03 BROOKLYN,3016360024,BROOKLYN,1003623,190063,ONLINE,Unspecified,BROOKLYN,40.688334599490894,-73.93014442097454,"{'latitude': '40.688334599490894', 'longitude': '-73.93014442097454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58928449,2023-09-26T23:27:19.000,2023-09-27T00:04:38.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11375,108-25 72 AVENUE,72 AVENUE,AUSTIN STREET,QUEENS BOULEVARD,AUSTIN STREET,QUEENS BOULEVARD,ADDRESS,FOREST HILLS,72 AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-27T00:04:41.000,06 QUEENS,4032570009,QUEENS,1027931,201512,MOBILE,Unspecified,QUEENS,40.71967277518428,-73.84241998485336,"{'latitude': '40.71967277518428', 'longitude': '-73.84241998485336', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58934181,2023-09-26T23:27:08.000,2023-10-02T10:53:19.000,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,10025,WEST  105 STREET,WEST  105 STREET,WEST  105 STREET,WEST END AVENUE,WEST  105 STREET,WEST END AVENUE,INTERSECTION,,,Closed,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",2023-10-02T10:53:23.000,07 MANHATTAN,,MANHATTAN,992817,231090,PHONE,Unspecified,MANHATTAN,40.80096047946833,-73.96905666457744,"{'latitude': '40.80096047946833', 'longitude': '-73.96905666457744', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58932031,2023-09-26T23:26:53.000,2023-09-27T00:36:52.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11435,139-41 87 AVENUE,87 AVENUE,139 STREET,143 STREET,139 STREET,143 STREET,ADDRESS,JAMAICA,87 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T00:36:54.000,08 QUEENS,4097080065,QUEENS,1035677,196864,ONLINE,Unspecified,QUEENS,40.7068735142636,-73.8145117297536,"{'latitude': '40.7068735142636', 'longitude': '-73.8145117297536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58931490,2023-09-26T23:26:18.000,2023-11-17T11:30:39.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted Less Than 2 Years Ago,Street,10023,1981 BROADWAY,BROADWAY,WEST   67 STREET,WEST   68 STREET,WEST   67 STREET,WEST   68 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-11-17T11:30:45.000,07 MANHATTAN,1011390014,MANHATTAN,989179,221558,UNKNOWN,Unspecified,MANHATTAN,40.7748004715986,-73.98220383069906,"{'latitude': '40.7748004715986', 'longitude': '-73.98220383069906', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58925584,2023-09-26T23:26:00.000,2023-09-27T17:07:00.000,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,10024,225 WEST   87 STREET,WEST   87 STREET,AMSTERDAM AVE,BROADWAY,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2023-09-27T17:07:00.000,07 MANHATTAN,1012350042,MANHATTAN,991113,226608,ONLINE,Unspecified,MANHATTAN,40.78866009156155,-73.97521595950525,"{'latitude': '40.78866009156155', 'longitude': '-73.97521595950525', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58934388,2023-09-26T23:25:39.000,2023-10-02T08:05:10.000,DSNY,Department of Sanitation,Dirty Condition,Syringes,Sidewalk,10021,200 EAST   74 STREET,EAST   74 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   74 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-27T05:21:15.000,08 MANHATTAN,1014280045,MANHATTAN,995520,220145,ONLINE,Unspecified,MANHATTAN,40.77091634633182,-73.95931200318341,"{'latitude': '40.77091634633182', 'longitude': '-73.95931200318341', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58927398,2023-09-26T23:25:33.000,2023-10-22T15:23:35.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11226,255 EAST   25 STREET,EAST   25 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-10-22T00:00:00.000,17 BROOKLYN,3051690045,BROOKLYN,997120,173787,PHONE,Unspecified,BROOKLYN,40.643672448256204,-73.9536241432679,"{'latitude': '40.643672448256204', 'longitude': '-73.9536241432679', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58927139,2023-09-26T23:25:30.000,2023-09-27T00:11:19.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11209,8300 4 AVENUE,4 AVENUE,83 STREET,84 STREET,83 STREET,84 STREET,ADDRESS,BROOKLYN,4 AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-27T00:11:24.000,10 BROOKLYN,3060170038,BROOKLYN,976619,166953,ONLINE,Unspecified,BROOKLYN,40.62492063387888,-74.02748987754114,"{'latitude': '40.62492063387888', 'longitude': '-74.02748987754114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58935177,2023-09-26T23:25:30.000,2023-10-17T20:16:16.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10302,137 HEBERTON AVENUE,HEBERTON AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-17T00:00:00.000,01 STATEN ISLAND,5010150001,STATEN ISLAND,947807,171320,PHONE,Unspecified,STATEN ISLAND,40.6368354428596,-74.13130557443678,"{'latitude': '40.6368354428596', 'longitude': '-74.13130557443678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930034,2023-09-26T23:25:30.000,2023-10-17T20:16:17.000,HPD,Department of Housing Preservation and Development,SAFETY,WINDOW GUARD BROKEN/MISSING,RESIDENTIAL BUILDING,10302,137 HEBERTON AVENUE,HEBERTON AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-17T00:00:00.000,01 STATEN ISLAND,5010150001,STATEN ISLAND,947807,171320,PHONE,Unspecified,STATEN ISLAND,40.6368354428596,-74.13130557443678,"{'latitude': '40.6368354428596', 'longitude': '-74.13130557443678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58927278,2023-09-26T23:25:30.000,2023-10-17T20:16:17.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10302,137 HEBERTON AVENUE,HEBERTON AVENUE,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-17T00:00:00.000,01 STATEN ISLAND,5010150001,STATEN ISLAND,947807,171320,PHONE,Unspecified,STATEN ISLAND,40.6368354428596,-74.13130557443678,"{'latitude': '40.6368354428596', 'longitude': '-74.13130557443678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58925739,2023-09-26T23:25:17.000,2023-09-26T23:58:49.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10069,46 RIVERSIDE BOULEVARD,RIVERSIDE BOULEVARD,WEST   61 STREET,WEST   62 STREET,WEST   61 STREET,WEST   62 STREET,ADDRESS,NEW YORK,RIVERSIDE BOULEVARD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-26T23:58:52.000,07 MANHATTAN,1011717509,MANHATTAN,986555,221366,MOBILE,Unspecified,MANHATTAN,40.77427455566878,-73.99167785634782,"{'latitude': '40.77427455566878', 'longitude': '-73.99167785634782', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58934040,2023-09-26T23:24:55.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11234,3501 AVENUE T,AVENUE T,EAST   35 STREET,EAST   36 STREET,EAST   35 STREET,EAST   36 STREET,ADDRESS,BROOKLYN,AVENUE T,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-11-17T15:53:38.000,18 BROOKLYN,3085210009,BROOKLYN,1003641,160690,ONLINE,Unspecified,BROOKLYN,40.607712066446474,-73.93016395494612,"{'latitude': '40.607712066446474', 'longitude': '-73.93016395494612', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58932836,2023-09-26T23:24:27.000,2023-09-27T02:28:18.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,2039 82 STREET,82 STREET,20 AVENUE,21 AVENUE,20 AVENUE,21 AVENUE,ADDRESS,BROOKLYN,82 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T02:28:26.000,11 BROOKLYN,3062980057,BROOKLYN,985652,160180,PHONE,Unspecified,BROOKLYN,40.606333326143854,-73.99495084818459,"{'latitude': '40.606333326143854', 'longitude': '-73.99495084818459', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58931054,2023-09-26T23:24:26.000,2023-09-27T02:08:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10455,626 BERGEN AVENUE,BERGEN AVENUE,EAST  152 STREET,EAST  153 STREET,EAST  152 STREET,EAST  153 STREET,ADDRESS,BRONX,BERGEN AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T02:09:01.000,01 BRONX,2023610025,BRONX,1007900,237079,ONLINE,Unspecified,BRONX,40.81737111990692,-73.9145569693777,"{'latitude': '40.81737111990692', 'longitude': '-73.9145569693777', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58929763,2023-09-26T23:24:20.000,2023-09-26T23:51:36.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11229,1815 EAST   17 STREET,EAST   17 STREET,AVENUE R,MOORE PLACE,AVENUE R,MOORE PLACE,ADDRESS,BROOKLYN,EAST   17 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T23:51:41.000,15 BROOKLYN,3068210275,BROOKLYN,996536,159911,MOBILE,Unspecified,BROOKLYN,40.605586570194475,-73.95575378891145,"{'latitude': '40.605586570194475', 'longitude': '-73.95575378891145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58928437,2023-09-26T23:24:08.000,2023-09-26T23:46:39.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11224,2935 WEST   33 STREET,WEST   33 STREET,MERMAID AVENUE,SURF AVENUE,MERMAID AVENUE,SURF AVENUE,ADDRESS,BROOKLYN,WEST   33 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T23:46:43.000,13 BROOKLYN,3070480015,BROOKLYN,984400,148511,MOBILE,Unspecified,BROOKLYN,40.574304365701316,-73.99946005021478,"{'latitude': '40.574304365701316', 'longitude': '-73.99946005021478', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58934909,2023-09-26T23:23:55.000,2023-09-27T00:07:06.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11377,41-34 72 STREET,72 STREET,41 AVENUE,WOODSIDE AVENUE,41 AVENUE,WOODSIDE AVENUE,ADDRESS,WOODSIDE,72 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T00:07:11.000,02 QUEENS,,QUEENS,1013793,210384,ONLINE,Unspecified,QUEENS,40.74408273089514,-73.89338406400218,"{'latitude': '40.74408273089514', 'longitude': '-73.89338406400218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930388,2023-09-26T23:23:51.000,2023-09-26T23:43:16.000,NYPD,New York City Police Department,Encampment,N/A,Subway,,,,,,,,,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-26T23:43:20.000,Unspecified QUEENS,,QUEENS,1012386,212417,MOBILE,Unspecified,QUEENS,40.74966739007307,-73.89845319094752,"{'latitude': '40.74966739007307', 'longitude': '-73.89845319094752', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,R,Mezzanine,,,,
58928379,2023-09-26T23:23:51.000,2023-09-26T23:52:40.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11223,2085 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,KINGS HIGHWAY,AVENUE R,KINGS HIGHWAY,AVENUE R,ADDRESS,BROOKLYN,CONEY ISLAND AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T23:52:43.000,15 BROOKLYN,3067940069,BROOKLYN,994857,160188,ONLINE,Unspecified,BROOKLYN,40.6063490472925,-73.96180002312028,"{'latitude': '40.6063490472925', 'longitude': '-73.96180002312028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58927118,2023-09-26T23:23:20.000,2023-09-26T23:28:23.000,NYPD,New York City Police Department,Panhandling,N/A,Residential Building/House,10014,112 WASHINGTON PLACE,WASHINGTON PLACE,AVENUE OF THE AMERICAS,BARROW STREET,AVENUE OF THE AMERICAS,BARROW STREET,ADDRESS,NEW YORK,WASHINGTON PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T23:28:28.000,02 MANHATTAN,1005920013,MANHATTAN,983952,206176,MOBILE,Unspecified,MANHATTAN,40.732582155423856,-74.00107524820083,"{'latitude': '40.732582155423856', 'longitude': '-74.00107524820083', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58933534,2023-09-26T23:23:04.000,2023-09-27T00:02:56.000,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Store/Commercial,10035,25 CENTRAL ROAD,CENTRAL ROAD,REILLY BOULEVARD,BEND,REILLY BOULEVARD,BEND,ADDRESS,NEW YORK,CENTRAL ROAD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T00:03:01.000,11 MANHATTAN,1018190203,MANHATTAN,1006125,228643,MOBILE,Unspecified,MANHATTAN,40.7942212081307,-73.92099719649754,"{'latitude': '40.7942212081307', 'longitude': '-73.92099719649754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58930651,2023-09-26T23:23:00.000,2023-10-02T16:19:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10458,2922 GRAND CONCOURSE,GRAND CONCOURSE,E 199 ST,BEDFORD PARK BLVD,,,ADDRESS,BRONX,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-10-02T16:19:00.000,07 BRONX,2033200060,BRONX,1015052,256815,PHONE,Unspecified,BRONX,40.87151856426315,-73.88862749938583,"{'latitude': '40.87151856426315', 'longitude': '-73.88862749938583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58929304,2023-09-26T23:23:00.000,2023-09-27T17:07:00.000,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,10024,247 WEST   87 STREET,WEST   87 STREET,W 87 ST,W 88 ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection researched this complaint and determined that it could be closed.,2023-09-27T17:07:00.000,07 MANHATTAN,1012350042,MANHATTAN,991042,226786,PHONE,Unspecified,MANHATTAN,40.789148708641214,-73.97547217858087,"{'latitude': '40.789148708641214', 'longitude': '-73.97547217858087', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58926884,2023-09-26T23:22:57.000,2023-09-26T23:54:51.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10023,325 WEST   61 STREET,WEST   61 STREET,AMTRAK-NORTHEAST LINE,FREEDOM PLACE SOUTH,AMTRAK-NORTHEAST LINE,FREEDOM PLACE SOUTH,ADDRESS,NEW YORK,WEST   61 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T23:54:53.000,07 MANHATTAN,1011717506,MANHATTAN,986990,220941,MOBILE,Unspecified,MANHATTAN,40.773107917841834,-73.99010747325451,"{'latitude': '40.773107917841834', 'longitude': '-73.99010747325451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58935259,2023-09-26T23:22:44.000,2023-09-27T21:00:44.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11378,59-56 58 ROAD,58 ROAD,59 STREET,FLUSHING AVENUE,59 STREET,FLUSHING AVENUE,ADDRESS,MASPETH,58 ROAD,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-27T21:00:48.000,05 QUEENS,4026980039,QUEENS,1010204,201773,ONLINE,Unspecified,QUEENS,40.72045892473381,-73.90636939336368,"{'latitude': '40.72045892473381', 'longitude': '-73.90636939336368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
