unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_pick_up_location,vehicle_type,taxi_company_borough,road_ramp
58912148,2023-09-24T09:14:40.000,2023-09-27T08:39:00.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11234,1250 EAST   70 STREET,EAST   70 STREET,AVENUE L,AVENUE M,AVENUE L,AVENUE M,ADDRESS,BROOKLYN,EAST   70 STREET,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-27T08:39:05.000,18 BROOKLYN,3083560068,BROOKLYN,1008095,167036,PHONE,Unspecified,BROOKLYN,40.625119647572674,-73.91410061868537,"{'latitude': '40.625119647572674', 'longitude': '-73.91410061868537', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913133,2023-09-24T09:14:40.000,2023-09-24T10:26:52.000,NYPD,New York City Police Department,Animal-Abuse,Tortured,Parking Lot,11230,1624 CHESTNUT AVENUE,CHESTNUT AVENUE,BRIGHTON LINE,EAST   17 STREET,BRIGHTON LINE,EAST   17 STREET,ADDRESS,BROOKLYN,CHESTNUT AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T10:26:58.000,14 BROOKLYN,3067360041,BROOKLYN,995655,164759,ONLINE,Unspecified,BROOKLYN,40.618894507769056,-73.95891839143094,"{'latitude': '40.618894507769056', 'longitude': '-73.95891839143094', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912283,2023-09-24T09:14:38.000,2023-09-26T10:48:50.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10031,1749 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  146 STREET,WEST  147 STREET,WEST  146 STREET,WEST  147 STREET,ADDRESS,NEW YORK,AMSTERDAM AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-26T10:48:54.000,09 MANHATTAN,1020610063,MANHATTAN,998956,240302,MOBILE,Unspecified,MANHATTAN,40.82623675922553,-73.94686289632227,"{'latitude': '40.82623675922553', 'longitude': '-73.94686289632227', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913128,2023-09-24T09:14:12.000,2023-09-24T09:39:53.000,NYPD,New York City Police Department,Panhandling,N/A,Subway,,,,,,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T09:39:58.000,Unspecified MANHATTAN,,MANHATTAN,989336,217208,MOBILE,Unspecified,MANHATTAN,40.76286076343741,-73.98164027353906,"{'latitude': '40.76286076343741', 'longitude': '-73.98164027353906', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,D,Passageway,,,,,
58910263,2023-09-24T09:14:12.000,2023-09-24T09:19:03.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10468,233 LANDING ROAD,LANDING ROAD,CEDAR AVENUE,MAJOR DEEGAN EXPRESSWAY,CEDAR AVENUE,MAJOR DEEGAN EXPRESSWAY,ADDRESS,BRONX,LANDING ROAD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-24T09:19:07.000,07 BRONX,2032367501,BRONX,1008841,253488,ONLINE,Unspecified,BRONX,40.86240645467484,-73.91109714827905,"{'latitude': '40.86240645467484', 'longitude': '-73.91109714827905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914879,2023-09-24T09:14:00.000,2023-09-24T09:14:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,11219,1537 48 STREET,48 STREET,15 AVE,16 AVE,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-24T09:14:00.000,12 BROOKLYN,,BROOKLYN,988073,169674,ONLINE,Unspecified,BROOKLYN,40.63239166724332,-73.98622650167455,"{'latitude': '40.63239166724332', 'longitude': '-73.98622650167455', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913860,2023-09-24T09:13:26.000,2023-10-17T15:16:47.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Alive - in Poor Condition,Street,11230,1129 EAST    8 STREET,EAST    8 STREET,AVENUE K,AVENUE L,AVENUE K,AVENUE L,ADDRESS,BROOKLYN,EAST    8 STREET,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-10-17T15:16:53.000,12 BROOKLYN,3065340081,BROOKLYN,993289,165677,ONLINE,Unspecified,BROOKLYN,40.621416956199596,-73.96743965909123,"{'latitude': '40.621416956199596', 'longitude': '-73.96743965909123', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914815,2023-09-24T09:13:17.000,2023-09-25T12:43:36.000,DSNY,Department of Sanitation,Dead Animal,Cat,Street,11691,BEACH    5 STREET,BEACH    5 STREET,BEACH    5 STREET,SEAGIRT AVENUE,BEACH    5 STREET,SEAGIRT AVENUE,INTERSECTION,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-25T05:53:09.000,14 QUEENS,,QUEENS,1056331,156510,PHONE,Unspecified,QUEENS,40.59596691860462,-73.74044797326721,"{'latitude': '40.59596691860462', 'longitude': '-73.74044797326721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915800,2023-09-24T09:13:07.000,2023-09-24T09:24:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10024,609 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST   89 STREET,WEST   90 STREET,WEST   89 STREET,WEST   90 STREET,ADDRESS,NEW YORK,COLUMBUS AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-24T09:24:32.000,07 MANHATTAN,1012030001,MANHATTAN,992418,226644,MOBILE,Unspecified,MANHATTAN,40.78875779212333,-73.9705032287699,"{'latitude': '40.78875779212333', 'longitude': '-73.9705032287699', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913125,2023-09-24T09:12:52.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-27T08:15:19.000,Unspecified QUEENS,,QUEENS,1025071,204002,MOBILE,Unspecified,QUEENS,40.726520872068576,-73.85272236493427,"{'latitude': '40.726520872068576', 'longitude': '-73.85272236493427', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,R,Platform,M R to Forest Hills,,,,
58910452,2023-09-24T09:12:44.000,2023-10-10T08:44:38.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10463,3111 HEATH AVENUE,HEATH AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-10T00:00:00.000,08 BRONX,2032610046,BRONX,1011697,259371,ONLINE,Unspecified,BRONX,40.878545062435755,-73.90074787653406,"{'latitude': '40.878545062435755', 'longitude': '-73.90074787653406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912007,2023-09-24T09:12:44.000,2023-09-26T13:19:49.000,HPD,Department of Housing Preservation and Development,ELEVATOR,MAINTENANCE,RESIDENTIAL BUILDING,10463,3111 HEATH AVENUE,HEATH AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,08 BRONX,2032610046,BRONX,1011697,259371,ONLINE,Unspecified,BRONX,40.878545062435755,-73.90074787653406,"{'latitude': '40.878545062435755', 'longitude': '-73.90074787653406', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913988,2023-09-24T09:12:41.000,2023-09-25T04:14:47.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11207,84 SCHAEFER STREET,SCHAEFER STREET,BUSHWICK AVENUE,EVERGREEN AVENUE,BUSHWICK AVENUE,EVERGREEN AVENUE,ADDRESS,BROOKLYN,SCHAEFER STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-25T04:14:51.000,04 BROOKLYN,3034270011,BROOKLYN,1009018,189489,MOBILE,Unspecified,BROOKLYN,40.68674564882287,-73.91069313637917,"{'latitude': '40.68674564882287', 'longitude': '-73.91069313637917', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915075,2023-09-24T09:12:23.000,2023-09-24T11:41:51.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11378,54-18 69 LANE,69 LANE,54 AVENUE,GRAND AVENUE,54 AVENUE,GRAND AVENUE,ADDRESS,MASPETH,69 LANE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T11:41:55.000,05 QUEENS,4025010060,QUEENS,1013540,204815,PHONE,Unspecified,QUEENS,40.72879805449891,-73.8943213455003,"{'latitude': '40.72879805449891', 'longitude': '-73.8943213455003', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912846,2023-09-24T09:12:18.000,,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,11218,1319 41 STREET,41 STREET,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-24T00:00:00.000,12 BROOKLYN,3052970070,BROOKLYN,987915,172124,PHONE,Unspecified,BROOKLYN,40.6391164626617,-73.98679441313547,"{'latitude': '40.6391164626617', 'longitude': '-73.98679441313547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911232,2023-09-24T09:12:18.000,,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11218,1319 41 STREET,41 STREET,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-24T00:00:00.000,12 BROOKLYN,3052970070,BROOKLYN,987915,172124,PHONE,Unspecified,BROOKLYN,40.6391164626617,-73.98679441313547,"{'latitude': '40.6391164626617', 'longitude': '-73.98679441313547', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58912620,2023-09-24T09:12:00.000,2023-11-22T11:37:00.000,DOT,Department of Transportation,Street Light Condition,Foreign Attachment On Lamppost,,10011,,,,,AVENUE OF THE AMERICAS,WEST 12 STREET,INTERSECTION,MANHATTAN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-11-22T11:37:00.000,02 MANHATTAN,,MANHATTAN,984858,207434,UNKNOWN,Unspecified,MANHATTAN,40.73603503977133,-73.99780609132893,"{'latitude': '40.73603503977133', 'longitude': '-73.99780609132893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915179,2023-09-24T09:11:48.000,2023-09-24T09:39:25.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10002,38 RUTGERS STREET,RUTGERS STREET,MADISON STREET,CHERRY STREET,MADISON STREET,CHERRY STREET,ADDRESS,NEW YORK,RUTGERS STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T09:39:29.000,03 MANHATTAN,1002550001,MANHATTAN,987033,198874,ONLINE,Unspecified,MANHATTAN,40.71253949867867,-73.98996135586496,"{'latitude': '40.71253949867867', 'longitude': '-73.98996135586496', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911567,2023-09-24T09:11:00.000,2023-09-24T12:10:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11362,252-60 LEITH ROAD,LEITH ROAD,BEND,BRATTLE AVE,,,ADDRESS,LITTLE NECK,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-24T12:10:00.000,11 QUEENS,4082500047,QUEENS,1059008,219030,PHONE,Unspecified,QUEENS,40.76754705037021,-73.73011498800358,"{'latitude': '40.76754705037021', 'longitude': '-73.73011498800358', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914345,2023-09-24T09:10:55.000,2023-09-24T10:26:07.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10458,540 EAST  183 STREET,EAST  183 STREET,BATHGATE AVENUE,3 AVENUE,BATHGATE AVENUE,3 AVENUE,ADDRESS,BRONX,EAST  183 STREET,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-24T10:26:14.000,06 BRONX,2030510027,BRONX,1014314,250555,ONLINE,Unspecified,BRONX,40.85433931330708,-73.89132400541388,"{'latitude': '40.85433931330708', 'longitude': '-73.89132400541388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915034,2023-09-24T09:10:46.000,2023-09-24T11:08:27.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11378,72-47 52 AVENUE,52 AVENUE,DEAD END,73 STREET,DEAD END,73 STREET,ADDRESS,MASPETH,52 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T11:08:33.000,05 QUEENS,4024850061,QUEENS,1014565,206646,PHONE,Unspecified,QUEENS,40.73382024330727,-73.89061488814521,"{'latitude': '40.73382024330727', 'longitude': '-73.89061488814521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915061,2023-09-24T09:10:40.000,2023-09-24T10:26:42.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,1812 HIMROD STREET,HIMROD STREET,SENECA AVENUE,ONDERDONK AVENUE,SENECA AVENUE,ONDERDONK AVENUE,ADDRESS,RIDGEWOOD,HIMROD STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T10:26:44.000,05 QUEENS,4034300017,QUEENS,1008283,196721,MOBILE,Unspecified,QUEENS,40.70659782379754,-73.91331754606176,"{'latitude': '40.70659782379754', 'longitude': '-73.91331754606176', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58910055,2023-09-24T09:10:17.000,2023-09-24T09:33:38.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11238,115 LEXINGTON AVENUE,LEXINGTON AVENUE,CLASSON AVENUE,FRANKLIN AVENUE,CLASSON AVENUE,FRANKLIN AVENUE,ADDRESS,BROOKLYN,LEXINGTON AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T09:33:42.000,03 BROOKLYN,3019670051,BROOKLYN,995934,189531,PHONE,Unspecified,BROOKLYN,40.68688787191354,-73.95787049904733,"{'latitude': '40.68688787191354', 'longitude': '-73.95787049904733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914925,2023-09-24T09:10:12.000,2023-09-24T09:59:27.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11417,132-36 87 STREET,87 STREET,SUTTER AVENUE,133 AVENUE,SUTTER AVENUE,133 AVENUE,ADDRESS,OZONE PARK,87 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-24T09:59:33.000,10 QUEENS,4113490025,QUEENS,1025978,185283,MOBILE,Unspecified,QUEENS,40.675137442066095,-73.8495659981326,"{'latitude': '40.675137442066095', 'longitude': '-73.8495659981326', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58914242,2023-09-24T09:10:12.000,2023-09-24T12:15:39.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11379,79-24 69 AVENUE,69 AVENUE,79 STREET,80 STREET,79 STREET,80 STREET,ADDRESS,MIDDLE VILLAGE,69 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-24T12:15:44.000,05 QUEENS,4038000017,QUEENS,1019666,197904,MOBILE,Unspecified,QUEENS,40.70980663625644,-73.87225505935213,"{'latitude': '40.70980663625644', 'longitude': '-73.87225505935213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58915453,2023-09-24T09:10:05.000,2023-09-24T09:55:18.000,NYPD,New York City Police Department,Drug Activity,Use Indoor,Other,11229,2636 GERRITSEN AVENUE,GERRITSEN AVENUE,CHANNEL AVENUE,DEVON AVENUE,CHANNEL AVENUE,DEVON AVENUE,ADDRESS,BROOKLYN,GERRITSEN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-24T09:55:23.000,15 BROOKLYN,3089390841,BROOKLYN,1004537,155864,ONLINE,Unspecified,BROOKLYN,40.59446367437809,-73.9269515360188,"{'latitude': '40.59446367437809', 'longitude': '-73.9269515360188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58916452,2023-09-24T09:09:57.000,2023-09-24T09:31:41.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10021,1048 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST 74 STREET,EAST 75 STREET,EAST   74 STREET,EAST   75 STREET,ADDRESS,NEW YORK,LEXINGTON AVENUE,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-24T09:31:41.000,08 MANHATTAN,1014097502,MANHATTAN,995061,220588,MOBILE,Unspecified,MANHATTAN,40.77213283885615,-73.96096841458804,"{'latitude': '40.77213283885615', 'longitude': '-73.96096841458804', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58911513,2023-09-24T09:09:49.000,2023-10-10T10:59:38.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,10011,171 MACDOUGAL STREET,MACDOUGAL STREET,WASHINGTON SQUARE NORTH,MAC DOUGAL ALLEY,WASHINGTON SQUARE NORTH,MAC DOUGAL ALLEY,ADDRESS,NEW YORK,MAC DOUGAL STREET,Closed,The Department of Sanitation removed the items.,2023-09-25T13:34:06.000,02 MANHATTAN,1005537502,MANHATTAN,984711,206167,MOBILE,Unspecified,MANHATTAN,40.732557445640445,-73.99833661329937,"{'latitude': '40.732557445640445', 'longitude': '-73.99833661329937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58913771,2023-09-24T09:09:29.000,2023-09-29T20:36:27.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10467,2260 BRONX PARK EAST,BRONX PARK EAST,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-29T00:00:00.000,11 BRONX,2043400001,BRONX,1019981,252360,ONLINE,Unspecified,BRONX,40.859272377172665,-73.87082921773529,"{'latitude': '40.859272377172665', 'longitude': '-73.87082921773529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
