unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,intersection_street_1,intersection_street_2,location_type,landmark,facility_type,taxi_pick_up_location,due_date,vehicle_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp
58966392,2023-09-29T16:16:46.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,11001,255-10 87 TERRACE,87 TERRACE,LITTLE NECK PARKWAY,256 STREET,ADDRESS,FLORAL PARK,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-02T09:12:11.000,13 QUEENS,4088290046,QUEENS,1064532,205206,UNKNOWN,Unspecified,QUEENS,40.72955541931035,-73.71033787745654,"{'latitude': '40.72955541931035', 'longitude': '-73.71033787745654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LITTLE NECK PARKWAY,256 STREET,Street,87 TERRACE,,,,,,,,
58958685,2023-09-29T16:16:46.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,11001,255-10 87 TERRACE,87 TERRACE,LITTLE NECK PARKWAY,256 STREET,ADDRESS,FLORAL PARK,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-02T09:12:11.000,13 QUEENS,4088290046,QUEENS,1064532,205206,UNKNOWN,Unspecified,QUEENS,40.72955541931035,-73.71033787745654,"{'latitude': '40.72955541931035', 'longitude': '-73.71033787745654', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LITTLE NECK PARKWAY,256 STREET,Street,87 TERRACE,,,,,,,,
58958486,2023-09-29T16:16:43.000,2023-10-10T13:22:26.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,10457,2074 ARTHUR AVENUE,ARTHUR AVENUE,,,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-10T00:00:00.000,06 BRONX,2030690065,BRONX,1014151,248544,ONLINE,Unspecified,BRONX,40.84882027257111,-73.89192218974176,"{'latitude': '40.84882027257111', 'longitude': '-73.89192218974176', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,,
58962301,2023-09-29T16:16:39.000,2023-09-29T16:34:55.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11223,1810 EAST    2 STREET,EAST    2 STREET,WOODSIDE AVENUE,KINGS HIGHWAY,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T16:34:58.000,15 BROOKLYN,3066580031,BROOKLYN,992234,159827,PHONE,Unspecified,BROOKLYN,40.605360927514084,-73.97124690324634,"{'latitude': '40.605360927514084', 'longitude': '-73.97124690324634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WOODSIDE AVENUE,KINGS HIGHWAY,Street/Sidewalk,EAST    2 STREET,,,,,,,,
59442497,2023-09-29T16:16:36.000,2023-11-14T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11221,22 STUYVESANT AVENUE,STUYVESANT AVENUE,VERNON AVENUE,WILLOUGHBY AVENUE,ADDRESS,BROOKLYN,Closed,,2023-11-14T00:00:00.000,03 BROOKLYN,3015890047,BROOKLYN,1002380,192782,PHONE,Unspecified,BROOKLYN,40.695800258038176,-73.93461913763683,"{'latitude': '40.695800258038176', 'longitude': '-73.93461913763683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",VERNON AVENUE,WILLOUGHBY AVENUE,Apartment,STUYVESANT AVENUE,,,,,,,,
58956427,2023-09-29T16:16:36.000,2023-09-29T16:31:56.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,11224,2832 WEST   23 STREET,WEST   23 STREET,NEPTUNE AVENUE,MERMAID AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T16:32:01.000,13 BROOKLYN,3070150015,BROOKLYN,986923,149719,ONLINE,Unspecified,BROOKLYN,40.577619686746154,-73.99037761720334,"{'latitude': '40.577619686746154', 'longitude': '-73.99037761720334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEPTUNE AVENUE,MERMAID AVENUE,Residential Building/House,WEST   23 STREET,,,,,,,,
59449243,2023-09-29T16:16:34.000,2023-09-30T13:20:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,11221,25 DITMARS STREET,DITMARS STREET,BROADWAY,MYRTLE AVENUE,ADDRESS,BROOKLYN,Closed,,2023-09-30T13:20:00.000,04 BROOKLYN,3031930006,BROOKLYN,1002766,193163,ONLINE,Unspecified,BROOKLYN,40.696845215003286,-73.93322608789852,"{'latitude': '40.696845215003286', 'longitude': '-73.93322608789852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROADWAY,MYRTLE AVENUE,Street,DITMARS STREET,,,,,,,,
58956172,2023-09-29T16:16:31.000,2023-09-29T16:38:23.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,10021,220 EAST   76 STREET,EAST   76 STREET,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-29T16:38:26.000,08 MANHATTAN,1014300005,MANHATTAN,995863,220558,MOBILE,Unspecified,MANHATTAN,40.77204947947406,-73.95807295936383,"{'latitude': '40.77204947947406', 'longitude': '-73.95807295936383', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3 AVENUE,2 AVENUE,Street/Sidewalk,EAST   76 STREET,,,,,,,,
58958686,2023-09-29T16:16:30.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,11411,118-25 SPRINGFIELD BOULEVARD,SPRINGFIELD BOULEVARD,118 AVENUE,FRANCIS LEWIS BOULEVARD,ADDRESS,CAMBRIA HEIGHTS,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-02T05:12:35.000,13 QUEENS,4127540055,QUEENS,1055151,192261,PHONE,Unspecified,QUEENS,40.694104795411285,-73.74432119168438,"{'latitude': '40.694104795411285', 'longitude': '-73.74432119168438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",118 AVENUE,FRANCIS LEWIS BOULEVARD,Street,SPRINGFIELD BOULEVARD,,,,,,,,
58961536,2023-09-29T16:16:27.000,2023-10-11T19:27:13.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,11414,10 COLEMAN SQUARE,COLEMAN SQUARE,,,ADDRESS,HOWARD BEACH,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-11T00:00:00.000,10 QUEENS,4141820108,QUEENS,1031285,179828,ONLINE,Unspecified,QUEENS,40.6601381036606,-73.83047178764188,"{'latitude': '40.6601381036606', 'longitude': '-73.83047178764188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,,
59453074,2023-09-29T16:16:27.000,2023-10-10T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,10457,2074 ARTHUR AVENUE,ARTHUR AVENUE,EAST  179 STREET,EAST  180 STREET,ADDRESS,BRONX,Closed,,2023-10-10T00:00:00.000,06 BRONX,2030690065,BRONX,1014151,248544,ONLINE,Unspecified,BRONX,40.84882027257111,-73.89192218974176,"{'latitude': '40.84882027257111', 'longitude': '-73.89192218974176', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  179 STREET,EAST  180 STREET,Apartment,ARTHUR AVENUE,,,,,,,,
58959712,2023-09-29T16:16:25.000,2023-09-30T10:07:21.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,10027,540 MANHATTAN AVENUE,MANHATTAN AVENUE,,,ADDRESS,NEW YORK,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-30T00:00:00.000,10 MANHATTAN,1019490047,MANHATTAN,997058,234111,MOBILE,Unspecified,MANHATTAN,40.80924716196946,-73.95373274261046,"{'latitude': '40.80924716196946', 'longitude': '-73.95373274261046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,,
58957172,2023-09-29T16:16:20.000,2023-09-29T16:16:20.000,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Other Animal,10467,375 EAST MOSHOLU PARKWAY NORTH,EAST MOSHOLU PARKWAY NORTH,HULL AVENUE,DECATUR AVENUE,ADDRESS,BRONX,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-29T16:16:20.000,07 BRONX,2033320081,BRONX,1017425,256506,PHONE,Unspecified,BRONX,40.870661854738415,-73.8800488518787,"{'latitude': '40.870661854738415', 'longitude': '-73.8800488518787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HULL AVENUE,DECATUR AVENUE,3+ Family Apartment Building,EAST MOSHOLU PARKWAY NORTH,,,,,,,,
59438843,2023-09-29T16:16:16.000,2023-09-30T08:55:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,11218,CHURCH AVENUE,CHURCH AVENUE,CHURCH AVENUE,STRATFORD ROAD,INTERSECTION,,Closed,,2023-09-30T08:55:00.000,14 BROOKLYN,,BROOKLYN,992767,174994,PHONE,Unspecified,BROOKLYN,40.64699065855479,-73.96930825136621,"{'latitude': '40.64699065855479', 'longitude': '-73.96930825136621', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CHURCH AVENUE,STRATFORD ROAD,Street,,,,,,,,,
58956560,2023-09-29T16:16:15.000,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,10032,408 WEST  154 STREET,WEST  154 STREET,,,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,09 MANHATTAN,1020680029,MANHATTAN,1000290,241784,PHONE,Unspecified,MANHATTAN,40.830302103128155,-73.94203922008579,"{'latitude': '40.830302103128155', 'longitude': '-73.94203922008579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,,
58961157,2023-09-29T16:16:15.000,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,10032,408 WEST  154 STREET,WEST  154 STREET,,,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,09 MANHATTAN,1020680029,MANHATTAN,1000290,241784,PHONE,Unspecified,MANHATTAN,40.830302103128155,-73.94203922008579,"{'latitude': '40.830302103128155', 'longitude': '-73.94203922008579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,,
58959629,2023-09-29T16:16:15.000,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,10032,408 WEST  154 STREET,WEST  154 STREET,,,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,09 MANHATTAN,1020680029,MANHATTAN,1000290,241784,PHONE,Unspecified,MANHATTAN,40.830302103128155,-73.94203922008579,"{'latitude': '40.830302103128155', 'longitude': '-73.94203922008579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,,
58962912,2023-09-29T16:16:12.000,2023-10-04T18:57:36.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10065,351 EAST   61 STREET,EAST   61 STREET,,,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,08 MANHATTAN,1014360122,MANHATTAN,994816,216606,PHONE,Unspecified,MANHATTAN,40.76120357748868,-73.96185921196128,"{'latitude': '40.76120357748868', 'longitude': '-73.96185921196128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,,
58967473,2023-09-29T16:16:12.000,2023-10-15T09:33:06.000,HPD,Department of Housing Preservation and Development,OUTSIDE BUILDING,ROOFING,10021,1413 2 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-15T00:00:00.000,08 MANHATTAN,1014280026,MANHATTAN,995997,219768,PHONE,Unspecified,MANHATTAN,40.76988095867381,-73.95759055286538,"{'latitude': '40.76988095867381', 'longitude': '-73.95759055286538', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,,
58956764,2023-09-29T16:16:12.000,2023-10-04T18:57:36.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,10065,351 EAST   61 STREET,EAST   61 STREET,,,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,08 MANHATTAN,1014360122,MANHATTAN,994816,216606,PHONE,Unspecified,MANHATTAN,40.76120357748868,-73.96185921196128,"{'latitude': '40.76120357748868', 'longitude': '-73.96185921196128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,,
59446159,2023-09-29T16:16:11.000,2023-10-11T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11414,10 COLEMAN SQUARE,COLEMAN SQUARE,103 STREET,159 ROAD,ADDRESS,HOWARD BEACH,Closed,,2023-10-11T00:00:00.000,10 QUEENS,4141820108,QUEENS,1031285,179828,ONLINE,Unspecified,QUEENS,40.6601381036606,-73.83047178764188,"{'latitude': '40.6601381036606', 'longitude': '-73.83047178764188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",103 STREET,159 ROAD,Apartment,COLEMAN SQUARE,,,,,,,,
58962827,2023-09-29T16:16:01.000,,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,10034,127 VERMILYEA AVENUE,VERMILYEA AVENUE,,,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-29T00:00:00.000,12 MANHATTAN,1022260016,MANHATTAN,1006031,254982,PHONE,Unspecified,MANHATTAN,40.86651441086621,-73.92125116665063,"{'latitude': '40.86651441086621', 'longitude': '-73.92125116665063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,,
58967192,2023-09-29T16:16:00.000,2023-09-29T22:45:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,10011,,,,,INTERSECTION,MANHATTAN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-29T22:45:00.000,02 MANHATTAN,,MANHATTAN,983947,207625,UNKNOWN,Unspecified,MANHATTAN,40.73655930330174,-74.0010933545357,"{'latitude': '40.73655930330174', 'longitude': '-74.0010933545357', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST 11 STREET,7 AVENUE SOUTH,,,N/A,,,,,,,
58958468,2023-09-29T16:15:57.000,2023-10-11T08:48:21.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,10451,381 EAST  160 STREET,EAST  160 STREET,,,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-11T00:00:00.000,03 BRONX,2024070029,BRONX,1007785,239433,ONLINE,Unspecified,BRONX,40.823832489682324,-73.91496418674754,"{'latitude': '40.823832489682324', 'longitude': '-73.91496418674754', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,RESIDENTIAL BUILDING,,,,,,,,,
59455988,2023-09-29T16:15:47.000,2023-09-29T19:45:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11422,149-48 256 STREET,256 STREET,149 ROAD,CRAFT AVENUE,ADDRESS,ROSEDALE,Closed,,2023-09-29T19:45:00.000,13 QUEENS,4136760062,QUEENS,1058322,176705,PHONE,Unspecified,QUEENS,40.65138129291957,-73.73305714573354,"{'latitude': '40.65138129291957', 'longitude': '-73.73305714573354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",149 ROAD,CRAFT AVENUE,Sewer,256 STREET,,,,,,,,
58963216,2023-09-29T16:15:37.000,2023-11-13T12:30:20.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Alive - in Poor Condition,11367,144-23 68 ROAD,68 ROAD,MAIN STREET,147 STREET,ADDRESS,FLUSHING,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-11-13T07:30:17.000,08 QUEENS,4065330063,QUEENS,1032996,206336,MOBILE,Unspecified,QUEENS,40.732886996413775,-73.82411300737937,"{'latitude': '40.732886996413775', 'longitude': '-73.82411300737937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MAIN STREET,147 STREET,Street,68 ROAD,,,,,,,,
58967981,2023-09-29T16:15:29.000,2023-10-02T13:08:49.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,11209,103 79 STREET,79 STREET,NARROWS AVENUE,COLONIAL ROAD,ADDRESS,BROOKLYN,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-10-02T13:00:19.000,10 BROOKLYN,3059660051,BROOKLYN,974560,168820,MOBILE,Unspecified,BROOKLYN,40.6300431429501,-74.03490988885775,"{'latitude': '40.6300431429501', 'longitude': '-74.03490988885775', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NARROWS AVENUE,COLONIAL ROAD,Street,79 STREET,,,,,,,,
59459571,2023-09-29T16:15:26.000,2023-09-30T13:20:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,11692,626 BEACH   67 STREET,BEACH   67 STREET,ALMEDA AVENUE,DE COSTA AVENUE,ADDRESS,ARVERNE,Closed,,2023-09-30T13:20:00.000,14 QUEENS,4160270012,QUEENS,1040724,157105,PHONE,Unspecified,QUEENS,40.59771325751674,-73.79664105321731,"{'latitude': '40.59771325751674', 'longitude': '-73.79664105321731', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ALMEDA AVENUE,DE COSTA AVENUE,Sewer,BEACH   67 STREET,,,,,,,,
