unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,due_date,taxi_pick_up_location,bridge_highway_direction
58779771,2023-09-12T02:03:58.000,2023-09-12T02:39:24.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11224,2832 WEST   23 STREET,WEST   23 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T02:39:29.000,13 BROOKLYN,3070150015,BROOKLYN,986923,149719,ONLINE,Unspecified,BROOKLYN,40.577619686746154,-73.99037761720334,"{'latitude': '40.577619686746154', 'longitude': '-73.99037761720334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEPTUNE AVENUE,MERMAID AVENUE,NEPTUNE AVENUE,MERMAID AVENUE,WEST   23 STREET,,,,,,
58788242,2023-09-12T02:02:11.000,2023-09-12T02:28:50.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10472,1329 COMMONWEALTH AVENUE,COMMONWEALTH AVENUE,ADDRESS,BRONX,Closed,The Police Department issued a summons in response to the complaint.,2023-09-12T02:28:59.000,09 BRONX,2038740063,BRONX,1020596,242945,ONLINE,Unspecified,BRONX,40.83342849023004,-73.86865697421297,"{'latitude': '40.83342849023004', 'longitude': '-73.86865697421297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  172 STREET,EAST  174 STREET,EAST  172 STREET,EAST  174 STREET,COMMONWEALTH AVENUE,,,,,,
58782633,2023-09-12T02:02:09.000,2023-09-12T02:39:45.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11224,2832 WEST   23 STREET,WEST   23 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T02:39:50.000,13 BROOKLYN,3070150015,BROOKLYN,986923,149719,ONLINE,Unspecified,BROOKLYN,40.577619686746154,-73.99037761720334,"{'latitude': '40.577619686746154', 'longitude': '-73.99037761720334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEPTUNE AVENUE,MERMAID AVENUE,NEPTUNE AVENUE,MERMAID AVENUE,WEST   23 STREET,,,,,,
58799317,2023-09-12T02:01:59.000,2023-09-18T20:19:36.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10028,1571 YORK AVENUE,YORK AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,08 MANHATTAN,1015630025,MANHATTAN,998547,221352,PHONE,Unspecified,MANHATTAN,40.77422486783118,-73.94838108211508,"{'latitude': '40.77422486783118', 'longitude': '-73.94838108211508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58799247,2023-09-12T02:01:59.000,2023-09-18T20:19:35.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10028,1571 YORK AVENUE,YORK AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,08 MANHATTAN,1015630025,MANHATTAN,998547,221352,PHONE,Unspecified,MANHATTAN,40.77422486783118,-73.94838108211508,"{'latitude': '40.77422486783118', 'longitude': '-73.94838108211508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58799364,2023-09-12T02:01:59.000,2023-09-18T20:19:35.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10028,1571 YORK AVENUE,YORK AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,08 MANHATTAN,1015630025,MANHATTAN,998547,221352,PHONE,Unspecified,MANHATTAN,40.77422486783118,-73.94838108211508,"{'latitude': '40.77422486783118', 'longitude': '-73.94838108211508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58794930,2023-09-12T02:01:59.000,2023-09-18T20:19:36.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10028,1571 YORK AVENUE,YORK AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,08 MANHATTAN,1015630025,MANHATTAN,998547,221352,PHONE,Unspecified,MANHATTAN,40.77422486783118,-73.94838108211508,"{'latitude': '40.77422486783118', 'longitude': '-73.94838108211508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58789246,2023-09-12T02:01:59.000,2023-09-18T20:19:35.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10028,1571 YORK AVENUE,YORK AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,08 MANHATTAN,1015630025,MANHATTAN,998547,221352,PHONE,Unspecified,MANHATTAN,40.77422486783118,-73.94838108211508,"{'latitude': '40.77422486783118', 'longitude': '-73.94838108211508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58792018,2023-09-12T02:01:59.000,2023-09-18T20:19:35.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10028,1571 YORK AVENUE,YORK AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-18T00:00:00.000,08 MANHATTAN,1015630025,MANHATTAN,998547,221352,PHONE,Unspecified,MANHATTAN,40.77422486783118,-73.94838108211508,"{'latitude': '40.77422486783118', 'longitude': '-73.94838108211508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58781231,2023-09-12T02:01:51.000,2023-09-12T02:47:08.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11368,97-69 CORONA AVENUE,CORONA AVENUE,ADDRESS,CORONA,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T02:47:15.000,04 QUEENS,4016260081,QUEENS,1021510,210485,ONLINE,Unspecified,QUEENS,40.744330803289806,-73.86553413172847,"{'latitude': '40.744330803289806', 'longitude': '-73.86553413172847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",97 PLACE,98 STREET,97 PLACE,98 STREET,CORONA AVENUE,,,,,,
58781232,2023-09-12T02:00:36.000,2023-09-12T03:41:09.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10468,EAST  183 STREET,EAST  183 STREET,INTERSECTION,,Closed,Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.,2023-09-12T03:41:16.000,05 BRONX,,BRONX,1011143,252027,ONLINE,Unspecified,BRONX,40.8583897391259,-73.90278068903007,"{'latitude': '40.8583897391259', 'longitude': '-73.90278068903007', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  183 STREET,WALTON AVENUE,EAST  183 STREET,WALTON AVENUE,,,,,,,
58786892,2023-09-12T01:59:54.000,2023-09-12T02:42:41.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10467,2911 BARNES AVENUE,BARNES AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T02:42:45.000,11 BRONX,2045490001,BRONX,1022019,255628,ONLINE,Unspecified,BRONX,40.8682335539516,-73.86344325864486,"{'latitude': '40.8682335539516', 'longitude': '-73.86344325864486', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ARNOW AVENUE,WILLIAMSBRIDGE ROAD,ARNOW AVENUE,WILLIAMSBRIDGE ROAD,BARNES AVENUE,,,,,,
58783794,2023-09-12T01:59:47.000,2023-09-12T02:30:09.000,NYPD,New York City Police Department,Panhandling,N/A,Street/Sidewalk,10128,1811 2 AVENUE,2 AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T02:30:14.000,08 MANHATTAN,1015397501,MANHATTAN,998605,224473,MOBILE,Unspecified,MANHATTAN,40.78279109373486,-73.94816500686927,"{'latitude': '40.78279109373486', 'longitude': '-73.94816500686927', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   93 STREET,EAST   94 STREET,EAST   93 STREET,EAST   94 STREET,2 AVENUE,,,,,,
58798998,2023-09-12T01:59:00.000,2023-09-12T02:45:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11210,,,INTERSECTION,BROOKLYN,Closed,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2023-09-12T02:45:00.000,14 BROOKLYN,,BROOKLYN,996481,166379,UNKNOWN,Unspecified,BROOKLYN,40.62333996767628,-73.95594014700089,"{'latitude': '40.62333996767628', 'longitude': '-73.95594014700089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,AVENUE K,OCEAN AVENUE,,N/A,,,,,
58779762,2023-09-12T01:57:24.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,10025,718 AMSTERDAM AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,In Progress,,,07 MANHATTAN,1012420036,MANHATTAN,992308,228314,ONLINE,Unspecified,MANHATTAN,40.79334159330456,-73.9708984637818,"{'latitude': '40.79334159330456', 'longitude': '-73.9708984637818', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST   94 STREET,WEST   95 STREET,WEST   94 STREET,WEST   95 STREET,AMSTERDAM AVENUE,,,,,,
58785360,2023-09-12T01:56:58.000,2023-11-17T05:33:00.000,DOT,Department of Transportation,Broken Parking Meter,Graffiti,Street,11213,317 TROY AVENUE,TROY AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Transportation has completed the request or corrected the condition.,2023-11-17T05:33:06.000,09 BROOKLYN,3014010006,BROOKLYN,1001790,182552,MOBILE,Unspecified,BROOKLYN,40.667722430845195,-73.9367734376779,"{'latitude': '40.667722430845195', 'longitude': '-73.9367734376779', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",UNION STREET,PRESIDENT STREET,UNION STREET,PRESIDENT STREET,TROY AVENUE,,,,,,
58786923,2023-09-12T01:56:37.000,2023-09-12T07:33:22.000,DOT,Department of Transportation,Street Sign - Missing,Stop,Street,11214,351 BAY   41 STREET,BAY   41 STREET,ADDRESS,BROOKLYN,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-09-12T07:33:26.000,11 BROOKLYN,,BROOKLYN,985878,154283,ONLINE,Unspecified,BROOKLYN,40.59014721468787,-73.9941383546774,"{'latitude': '40.59014721468787', 'longitude': '-73.9941383546774', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SHORE PARKWAY,DEAD END,SHORE PARKWAY,DEAD END,BAY   41 STREET,,,,,,
58778243,2023-09-12T01:55:49.000,2023-09-13T14:12:34.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11357,20-32 FRANCIS LEWIS BOULEVARD,FRANCIS LEWIS BOULEVARD,ADDRESS,WHITESTONE,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-13T14:12:38.000,07 QUEENS,4048770028,QUEENS,1039069,223317,ONLINE,Unspecified,QUEENS,40.779459840709976,-73.802061819341,"{'latitude': '40.779459840709976', 'longitude': '-73.802061819341', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",20 ROAD,21 AVENUE,20 ROAD,21 AVENUE,FRANCIS LEWIS BOULEVARD,,,,,,
58791757,2023-09-12T01:54:42.000,2023-09-12T01:54:42.000,DOB,Department of Buildings,Plumbing,Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler,,11361,39-22 216 STREET,216 STREET,ADDRESS,BAYSIDE,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-12T00:00:00.000,11 QUEENS,4062480027,QUEENS,1048758,218353,UNKNOWN,Unspecified,QUEENS,40.76576960391083,-73.76712498074833,"{'latitude': '40.76576960391083', 'longitude': '-73.76712498074833', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58786841,2023-09-12T01:54:41.000,2023-09-12T02:28:59.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11435,139-72 86 ROAD,86 ROAD,ADDRESS,JAMAICA,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T02:29:04.000,08 QUEENS,4097080040,QUEENS,1035802,197121,ONLINE,Unspecified,QUEENS,40.70757818956982,-73.81405891015764,"{'latitude': '40.70757818956982', 'longitude': '-73.81405891015764', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",139 STREET,143 STREET,139 STREET,143 STREET,86 ROAD,,,,,,
58788078,2023-09-12T01:54:29.000,2023-09-12T03:50:38.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11207,PENNSYLVANIA AVENUE,PENNSYLVANIA AVENUE,INTERSECTION,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-12T03:50:43.000,05 BROOKLYN,,BROOKLYN,1015238,178111,PHONE,Unspecified,BROOKLYN,40.6554960203084,-73.8883177879542,"{'latitude': '40.6554960203084', 'longitude': '-73.8883177879542', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PENNSYLVANIA AVENUE,WORTMAN AVENUE,PENNSYLVANIA AVENUE,WORTMAN AVENUE,,,,,,,
58782634,2023-09-12T01:54:25.000,2023-09-12T02:16:35.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10459,928 KELLY STREET,KELLY STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T02:16:39.000,02 BRONX,2027110010,BRONX,1013042,238161,ONLINE,Unspecified,BRONX,40.82032564052735,-73.89597525800072,"{'latitude': '40.82032564052735', 'longitude': '-73.89597525800072', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",INTERVALE AVENUE,EAST  163 STREET,INTERVALE AVENUE,EAST  163 STREET,KELLY STREET,,,,,,
58779631,2023-09-12T01:54:21.000,2023-09-12T01:54:21.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11203,840 LEFFERTS AVENUE,LEFFERTS AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-12T01:54:21.000,09 BROOKLYN,3014300013,BROOKLYN,1002661,180982,MOBILE,Unspecified,BROOKLYN,40.663411362264604,-73.93363802642139,"{'latitude': '40.663411362264604', 'longitude': '-73.93363802642139', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SCHENECTADY AVENUE,EMPIRE BOULEVARD,SCHENECTADY AVENUE,EMPIRE BOULEVARD,LEFFERTS AVENUE,,,,,,
58785807,2023-09-12T01:54:00.000,2023-09-12T02:05:32.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,11368,104-36 37 DRIVE,37 DRIVE,ADDRESS,CORONA,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T02:05:39.000,03 QUEENS,4017740010,QUEENS,1022315,213397,MOBILE,Unspecified,QUEENS,40.75232007225624,-73.86261252738953,"{'latitude': '40.75232007225624', 'longitude': '-73.86261252738953', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",104 STREET,107 STREET,104 STREET,107 STREET,37 DRIVE,,,,,,
58791837,2023-09-12T01:54:00.000,,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10462,1591 METROPOLITAN AVENUE,METROPOLITAN AVENUE,INTERSECTION,BRONX,Assigned,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-12T14:51:00.000,09 BRONX,2039447501,BRONX,1023821,245395,UNKNOWN,Unspecified,BRONX,40.84013916063089,-73.85698840292275,"{'latitude': '40.84013916063089', 'longitude': '-73.85698840292275', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MAPLE DR,PURDY ST,METROPOLITAN AVENUE,RED OAK DRIVE,,,,,,,
58781228,2023-09-12T01:53:49.000,2023-09-12T02:13:58.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10473,535 HAVEMEYER AVENUE,HAVEMEYER AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T02:14:01.000,09 BRONX,2035370001,BRONX,1027243,237367,ONLINE,Unspecified,BRONX,40.81808863502929,-73.84467259346006,"{'latitude': '40.81808863502929', 'longitude': '-73.84467259346006', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LACOMBE AVENUE,RANDALL AVENUE,LACOMBE AVENUE,RANDALL AVENUE,HAVEMEYER AVENUE,,,,,,
58781509,2023-09-12T01:53:15.000,2023-09-12T02:42:51.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11366,73 AVENUE,73 AVENUE,INTERSECTION,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T02:42:54.000,08 QUEENS,,QUEENS,1040291,204938,PHONE,Unspecified,QUEENS,40.729006626519464,-73.79780266863466,"{'latitude': '40.729006626519464', 'longitude': '-73.79780266863466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",73 AVENUE,172 STREET,73 AVENUE,172 STREET,,,,,,,
58779704,2023-09-12T01:52:54.000,2023-09-12T02:24:13.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11220,5301 SEVENTH AVENUE,SEVENTH AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T02:25:26.000,07 BROOKLYN,3008180011,BROOKLYN,982102,172692,MOBILE,Unspecified,BROOKLYN,40.64067599889989,-74.00773977175092,"{'latitude': '40.64067599889989', 'longitude': '-74.00773977175092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53 STREET,54 STREET,53 STREET,54 STREET,7 AVENUE,,,,,,
