unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date
58895234,2023-09-22T16:37:39.000,2023-10-03T20:32:11.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10460,1796 VYSE AVENUE,VYSE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-03T00:00:00.000,03 BRONX,2029980014,BRONX,1015941,244452,PHONE,Unspecified,BRONX,40.837582696561796,-73.88547154114725,"{'latitude': '40.837582696561796', 'longitude': '-73.88547154114725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899372,2023-09-22T16:37:39.000,2023-10-03T20:32:07.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10460,1796 VYSE AVENUE,VYSE AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-03T00:00:00.000,03 BRONX,2029980014,BRONX,1015941,244452,PHONE,Unspecified,BRONX,40.837582696561796,-73.88547154114725,"{'latitude': '40.837582696561796', 'longitude': '-73.88547154114725', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58895251,2023-09-22T16:37:35.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11207,12161 FLATLANDS AVENUE,FLATLANDS AVENUE,,,,,ADDRESS,BROOKLYN,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-22T00:00:00.000,05 BROOKLYN,3044147501,BROOKLYN,1016173,177326,PHONE,Unspecified,BROOKLYN,40.6533380473186,-73.88495172349555,"{'latitude': '40.6533380473186', 'longitude': '-73.88495172349555', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894431,2023-09-22T16:37:34.000,2023-09-23T05:05:58.000,DSNY,Department of Sanitation,Obstruction,Cone,Street,11223,2487 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE U,AVENUE V,AVENUE U,AVENUE V,ADDRESS,BROOKLYN,CONEY ISLAND AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-23T05:06:03.000,15 BROOKLYN,3073430045,BROOKLYN,995069,156594,ONLINE,Unspecified,BROOKLYN,40.59648399158953,-73.96104228428698,"{'latitude': '40.59648399158953', 'longitude': '-73.96104228428698', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902356,2023-09-22T16:36:58.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11218,540 EAST    9 STREET,EAST    9 STREET,DITMAS AVENUE,18 AVENUE,DITMAS AVENUE,18 AVENUE,ADDRESS,BROOKLYN,EAST    9 STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-13T12:03:23.000,12 BROOKLYN,3054020023,BROOKLYN,992804,170808,PHONE,Unspecified,BROOKLYN,40.63550095118977,-73.9691802259617,"{'latitude': '40.63550095118977', 'longitude': '-73.9691802259617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892582,2023-09-22T16:36:58.000,2023-11-02T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11224,2970 WEST   27 STREET,WEST   27 STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2023-11-02T00:00:00.000,13 BROOKLYN,3070520034,BROOKLYN,986240,148216,UNKNOWN,Unspecified,BROOKLYN,40.573494426424446,-73.99283675303543,"{'latitude': '40.573494426424446', 'longitude': '-73.99283675303543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891826,2023-09-22T16:36:58.000,2023-09-27T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Advertising Sign/Billboard/Posters/Flexible Fabric - Illegal,,,BROADWAY,BROADWAY,,,,,ADDRESS,,,Closed,"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-27T00:00:00.000,Unspecified BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,N/A,,,,,,
58900506,2023-09-22T16:36:51.000,2023-09-22T17:00:47.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10314,5 QUEEN STREET,QUEEN STREET,MANOR ROAD,ELVIN STREET,MANOR ROAD,ELVIN STREET,ADDRESS,STATEN ISLAND,QUEEN STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T17:00:51.000,02 STATEN ISLAND,5007530081,STATEN ISLAND,950663,158991,ONLINE,Unspecified,STATEN ISLAND,40.60300622700657,-74.1209539692598,"{'latitude': '40.60300622700657', 'longitude': '-74.1209539692598', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901608,2023-09-22T16:36:45.000,2023-09-22T20:30:45.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10454,59 BRUCKNER BOULEVARD,BRUCKNER BOULEVARD,ALEXANDER AVENUE,WILLIS AVENUE BRIDGE BIKE PATH,ALEXANDER AVENUE,WILLIS AVENUE BRIDGE BIKE PATH,ADDRESS,BRONX,BRUCKNER BOULEVARD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T20:30:49.000,01 BRONX,2022960047,BRONX,1004576,233104,MOBILE,Unspecified,BRONX,40.80646912872645,-73.92657799115452,"{'latitude': '40.80646912872645', 'longitude': '-73.92657799115452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892723,2023-09-22T16:36:29.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Report,Driver Report - Passenger,,10473,COMMONWEALTH AVENUE,COMMONWEALTH AVENUE,COMMONWEALTH AVENUE,LACOMBE AVENUE,COMMONWEALTH AVENUE,LACOMBE AVENUE,INTERSECTION,,,In Progress,,,09 BRONX,,BRONX,1021825,236108,PHONE,Unspecified,BRONX,40.81465774460776,-73.8642540483738,"{'latitude': '40.81465774460776', 'longitude': '-73.8642540483738', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"COMMONWEALTH AVENUE AND LACOMBE AVENUE, BRONX, NY, 10473",,,,,
58902794,2023-09-22T16:36:28.000,2023-09-22T18:01:50.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,11106,29-10 BROADWAY,BROADWAY,29 STREET,30 STREET,29 STREET,30 STREET,ADDRESS,ASTORIA,BROADWAY,Closed,N/A,2023-09-22T18:01:54.000,01 QUEENS,4005867501,QUEENS,1004523,217134,PHONE,Unspecified,QUEENS,40.76263587169043,-73.92681763304167,"{'latitude': '40.76263587169043', 'longitude': '-73.92681763304167', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893199,2023-09-22T16:36:17.000,2023-09-22T21:57:06.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Collapsed,Sidewalk,11205,51 ST EDWARDS STREET,ST EDWARDS STREET,PARK AVENUE,MONUMENT WALK,PARK AVENUE,MONUMENT WALK,ADDRESS,BROOKLYN,ST EDWARDS STREET,Closed,"The Department of Transportation inspected the condition, sent notice to responsible party, and temporary repairs were made to make the area safe.",2023-09-22T21:57:11.000,02 BROOKLYN,3020390002,BROOKLYN,990291,192715,ONLINE,Unspecified,BROOKLYN,40.69563286768779,-73.97821485023083,"{'latitude': '40.69563286768779', 'longitude': '-73.97821485023083', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894359,2023-09-22T16:36:10.000,2023-10-06T13:37:17.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Street,11356,11-10 129 STREET,129 STREET,11 AVENUE,14 AVENUE,11 AVENUE,14 AVENUE,ADDRESS,COLLEGE POINT,129 STREET,Closed,The Department of Sanitation cleaned the location.,2023-09-26T00:56:47.000,07 QUEENS,4040060022,QUEENS,1028777,226168,PHONE,Unspecified,QUEENS,40.787342904336235,-73.83920475831594,"{'latitude': '40.787342904336235', 'longitude': '-73.83920475831594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894142,2023-09-22T16:36:09.000,2023-09-28T10:51:53.000,DOT,Department of Transportation,Street Sign - Damaged,Stop,Street,11355,42-22 HAIGHT STREET,HAIGHT STREET,SANFORD AVENUE,MAPLE AVENUE,SANFORD AVENUE,MAPLE AVENUE,ADDRESS,FLUSHING,HAIGHT STREET,Closed,This request required re-assignment to a new DOT unit.,2023-09-28T10:52:03.000,07 QUEENS,4050640001,QUEENS,1030241,214097,PHONE,Unspecified,QUEENS,40.75420371867599,-73.83400060113742,"{'latitude': '40.75420371867599', 'longitude': '-73.83400060113742', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894077,2023-09-22T16:36:07.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Blocking Street,Street,11218,540 EAST    9 STREET,EAST    9 STREET,DITMAS AVENUE,18 AVENUE,DITMAS AVENUE,18 AVENUE,ADDRESS,BROOKLYN,EAST    9 STREET,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-31T11:19:39.000,12 BROOKLYN,3054020023,BROOKLYN,992804,170808,PHONE,Unspecified,BROOKLYN,40.63550095118977,-73.9691802259617,"{'latitude': '40.63550095118977', 'longitude': '-73.9691802259617', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894993,2023-09-22T16:35:22.000,2023-09-22T16:44:38.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11214,1606 80 STREET,80 STREET,16 AVENUE,17 AVENUE,16 AVENUE,17 AVENUE,ADDRESS,BROOKLYN,80 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T16:44:42.000,11 BROOKLYN,,BROOKLYN,983331,162676,ONLINE,Unspecified,BROOKLYN,40.61318439699111,-74.00331001907013,"{'latitude': '40.61318439699111', 'longitude': '-74.00331001907013', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902425,2023-09-22T16:35:12.000,2023-09-25T07:55:35.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10035,2400 2 AVENUE,2 AVENUE,EAST 123 STREET,EAST 124 STREET,EAST  123 STREET,EAST  124 STREET,ADDRESS,NEW YORK,2 AVENUE,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-22T16:35:12.000,11 MANHATTAN,1017970001,MANHATTAN,1002403,231268,MOBILE,Unspecified,MANHATTAN,40.80143454654757,-73.93443230896085,"{'latitude': '40.80143454654757', 'longitude': '-73.93443230896085', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901157,2023-09-22T16:35:07.000,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,Street,10012,620 BROADWAY,BROADWAY,EAST HOUSTON STREET,BLEECKER STREET,EAST HOUSTON STREET,BLEECKER STREET,ADDRESS,NEW YORK,BROADWAY,In Progress,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",2023-10-12T11:49:59.000,02 MANHATTAN,1005220004,MANHATTAN,985233,203701,ONLINE,Unspecified,MANHATTAN,40.72578883548112,-73.99645348578403,"{'latitude': '40.72578883548112', 'longitude': '-73.99645348578403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,"620 BROADWAY, MANHATTAN (NEW YORK), NY, 10012",,,,,
58898633,2023-09-22T16:35:05.000,2023-11-05T23:02:42.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Mobile Food Vendor,Business,11201,WASHINGTON STREET,WASHINGTON STREET,WASHINGTON STREET,YORK STREET,WASHINGTON STREET,YORK STREET,INTERSECTION,,,Closed,The Department of Consumer and Worker Protection (DCWP) finished reviewing your complaint. DCWP will contact you directly to report its status.,2023-11-05T23:02:46.000,02 BROOKLYN,,BROOKLYN,987112,194899,ONLINE,Unspecified,BROOKLYN,40.701629037412125,-73.98967808210146,"{'latitude': '40.701629037412125', 'longitude': '-73.98967808210146', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891750,2023-09-22T16:35:00.000,2023-09-24T06:48:00.000,DEP,Department of Environmental Protection,Air Quality,Air: Other Air Problem (Use Comments) (AZZ),,11385,69-20 COOPER AVENUE,COOPER AVENUE,69 ST,69 PL,,,ADDRESS,RIDGEWOOD,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-24T06:48:00.000,05 QUEENS,4037060023,QUEENS,1017003,194751,ONLINE,Unspecified,QUEENS,40.70116266060046,-73.8818757814263,"{'latitude': '40.70116266060046', 'longitude': '-73.8818757814263', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58900102,2023-09-22T16:35:00.000,2023-09-27T12:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11354,133-25 37 AVENUE,37 AVENUE,COLLEGE POINT BLVD,PRINCE ST,,,ADDRESS,FLUSHING,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-27T12:00:00.000,07 QUEENS,4049700011,QUEENS,1030244,216400,PHONE,Unspecified,QUEENS,40.76052483889089,-73.8339740182018,"{'latitude': '40.76052483889089', 'longitude': '-73.8339740182018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58893792,2023-09-22T16:34:46.000,2023-10-12T10:11:14.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,10453,2073 DAVIDSON AVENUE,DAVIDSON AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-12T00:00:00.000,05 BRONX,2031930021,BRONX,1009746,250634,PHONE,Unspecified,BRONX,40.85457051772809,-73.90783619644372,"{'latitude': '40.85457051772809', 'longitude': '-73.90783619644372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902166,2023-09-22T16:34:46.000,2023-10-12T10:11:15.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10453,2073 DAVIDSON AVENUE,DAVIDSON AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-12T00:00:00.000,05 BRONX,2031930021,BRONX,1009746,250634,PHONE,Unspecified,BRONX,40.85457051772809,-73.90783619644372,"{'latitude': '40.85457051772809', 'longitude': '-73.90783619644372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900713,2023-09-22T16:34:46.000,2023-10-12T10:11:14.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10453,2073 DAVIDSON AVENUE,DAVIDSON AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-12T00:00:00.000,05 BRONX,2031930021,BRONX,1009746,250634,PHONE,Unspecified,BRONX,40.85457051772809,-73.90783619644372,"{'latitude': '40.85457051772809', 'longitude': '-73.90783619644372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900783,2023-09-22T16:34:46.000,2023-10-12T10:11:15.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10453,2073 DAVIDSON AVENUE,DAVIDSON AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-12T00:00:00.000,05 BRONX,2031930021,BRONX,1009746,250634,PHONE,Unspecified,BRONX,40.85457051772809,-73.90783619644372,"{'latitude': '40.85457051772809', 'longitude': '-73.90783619644372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896584,2023-09-22T16:34:46.000,2023-10-12T10:11:15.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10453,2073 DAVIDSON AVENUE,DAVIDSON AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-12T00:00:00.000,05 BRONX,2031930021,BRONX,1009746,250634,PHONE,Unspecified,BRONX,40.85457051772809,-73.90783619644372,"{'latitude': '40.85457051772809', 'longitude': '-73.90783619644372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896558,2023-09-22T16:34:46.000,2023-10-12T10:11:14.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,10453,2073 DAVIDSON AVENUE,DAVIDSON AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-12T00:00:00.000,05 BRONX,2031930021,BRONX,1009746,250634,PHONE,Unspecified,BRONX,40.85457051772809,-73.90783619644372,"{'latitude': '40.85457051772809', 'longitude': '-73.90783619644372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900879,2023-09-22T16:34:46.000,2023-10-12T10:11:14.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CABINET,RESIDENTIAL BUILDING,10453,2073 DAVIDSON AVENUE,DAVIDSON AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-12T00:00:00.000,05 BRONX,2031930021,BRONX,1009746,250634,PHONE,Unspecified,BRONX,40.85457051772809,-73.90783619644372,"{'latitude': '40.85457051772809', 'longitude': '-73.90783619644372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
