unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_segment,facility_type,bridge_highway_direction,taxi_pick_up_location,road_ramp,due_date,vehicle_type
58870857,2023-09-20T08:51:54.000,2023-09-20T09:13:20.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10301,64 HIGHVIEW AVENUE,HIGHVIEW AVENUE,EAST BUCHANAN STREET,PARK PLACE,EAST BUCHANAN STREET,PARK PLACE,ADDRESS,STATEN ISLAND,HIGHVIEW AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T09:13:22.000,01 STATEN ISLAND,5000550063,STATEN ISLAND,959461,173600,ONLINE,Unspecified,STATEN ISLAND,40.64313383355344,-74.08932416303197,"{'latitude': '40.64313383355344', 'longitude': '-74.08932416303197', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58870895,2023-09-20T08:51:54.000,2023-09-20T09:30:41.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11421,90-02 86 ROAD,86 ROAD,90 STREET,91 STREET,90 STREET,91 STREET,ADDRESS,WOODHAVEN,86 ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T09:30:46.000,09 QUEENS,4088690001,QUEENS,1024479,192328,MOBILE,Unspecified,QUEENS,40.694481270173426,-73.85492798471508,"{'latitude': '40.694481270173426', 'longitude': '-73.85492798471508', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58875509,2023-09-20T08:51:52.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11364,58-41 OCEANIA STREET,OCEANIA STREET,58 AVENUE,HORACE HARDING EXPRESSWAY,58 AVENUE,HORACE HARDING EXPRESSWAY,ADDRESS,OAKLAND GARDENS,OCEANIA STREET,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-21T08:48:55.000,11 QUEENS,4074600045,QUEENS,1048448,211520,ONLINE,Unspecified,QUEENS,40.74701708262119,-73.7683093245896,"{'latitude': '40.74701708262119', 'longitude': '-73.7683093245896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58876101,2023-09-20T08:51:44.000,2023-09-20T10:49:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10451,910 MORRIS AVENUE,MORRIS AVENUE,EAST  162 STREET,EAST  163 STREET,EAST  162 STREET,EAST  163 STREET,ADDRESS,BRONX,MORRIS AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T10:49:09.000,04 BRONX,2024220001,BRONX,1006980,240449,ONLINE,Unspecified,BRONX,40.826623227805925,-73.91786934009829,"{'latitude': '40.826623227805925', 'longitude': '-73.91786934009829', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58878231,2023-09-20T08:51:33.000,2023-09-21T02:34:00.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10465,950 CLARENCE AVENUE,CLARENCE AVENUE,LAFAYETTE AVENUE,BARKLEY AVENUE,LAFAYETTE AVENUE,BARKLEY AVENUE,ADDRESS,BRONX,CLARENCE AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T02:34:05.000,10 BRONX,2054690044,BRONX,1034586,242974,MOBILE,Unspecified,BRONX,40.83343943156613,-73.81810141673628,"{'latitude': '40.83343943156613', 'longitude': '-73.81810141673628', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58874049,2023-09-20T08:51:29.000,2023-09-25T13:31:57.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10034,677 WEST  204 STREET,WEST  204 STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-25T00:00:00.000,12 MANHATTAN,1022410042,MANHATTAN,1005428,255350,PHONE,Unspecified,MANHATTAN,40.867525925839665,-73.92343013871663,"{'latitude': '40.867525925839665', 'longitude': '-73.92343013871663', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58872535,2023-09-20T08:51:29.000,2023-11-04T18:13:25.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10034,677 WEST  204 STREET,WEST  204 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-11-04T00:00:00.000,12 MANHATTAN,1022410042,MANHATTAN,1005428,255350,PHONE,Unspecified,MANHATTAN,40.867525925839665,-73.92343013871663,"{'latitude': '40.867525925839665', 'longitude': '-73.92343013871663', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58875810,2023-09-20T08:51:25.000,2023-09-29T03:16:09.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,10467,3539 DECATUR AVENUE,DECATUR AVENUE,EAST GUN HILL ROAD,EAST  211 STREET,EAST GUN HILL ROAD,EAST  211 STREET,ADDRESS,BRONX,DECATUR AVENUE,Closed,The Department of Sanitation collected the requested items.,2023-09-21T13:44:00.000,07 BRONX,2033560140,BRONX,1019566,259684,ONLINE,Unspecified,BRONX,40.879376169916405,-73.87229087695226,"{'latitude': '40.879376169916405', 'longitude': '-73.87229087695226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58872597,2023-09-20T08:51:14.000,2023-09-21T16:22:00.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11385,1819 GEORGE STREET,GEORGE STREET,,,,,ADDRESS,RIDGEWOOD,,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-21T00:00:00.000,05 QUEENS,4035740051,QUEENS,1011656,194153,ONLINE,Unspecified,QUEENS,40.699539466837884,-73.90116223796252,"{'latitude': '40.699539466837884', 'longitude': '-73.90116223796252', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58877555,2023-09-20T08:51:11.000,2023-09-20T09:57:24.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11419,112-01 95 AVENUE,95 AVENUE,112 STREET,113 STREET,112 STREET,113 STREET,ADDRESS,SOUTH RICHMOND HILL,95 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T09:57:27.000,09 QUEENS,4093980035,QUEENS,1030568,191025,PHONE,Unspecified,QUEENS,40.69087506948182,-73.83297911495559,"{'latitude': '40.69087506948182', 'longitude': '-73.83297911495559', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58871890,2023-09-20T08:50:50.000,2023-09-20T18:07:39.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,10454,128 ALEXANDER AVENUE,ALEXANDER AVENUE,BRUCKNER BOULEVARD,EAST  134 STREET,BRUCKNER BOULEVARD,EAST  134 STREET,ADDRESS,BRONX,ALEXANDER AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T18:07:43.000,01 BRONX,2022960102,BRONX,1004404,233379,MOBILE,Unspecified,BRONX,40.80722432157343,-73.92719846734377,"{'latitude': '40.80722432157343', 'longitude': '-73.92719846734377', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58874777,2023-09-20T08:50:48.000,2023-09-20T09:07:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11235,154 NEPTUNE AVENUE,NEPTUNE AVENUE,EAST   11 STREET,CONEY ISLAND AVENUE,EAST   11 STREET,CONEY ISLAND AVENUE,ADDRESS,BROOKLYN,NEPTUNE AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T09:07:11.000,13 BROOKLYN,3087010010,BROOKLYN,995594,151360,ONLINE,Unspecified,BROOKLYN,40.58211705249291,-73.95916061926397,"{'latitude': '40.58211705249291', 'longitude': '-73.95916061926397', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58872311,2023-09-20T08:50:47.000,2023-09-20T08:50:47.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11225,513 MIDWOOD STREET,MIDWOOD STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-20T00:00:00.000,09 BROOKLYN,3047980055,BROOKLYN,999881,179939,UNKNOWN,Unspecified,BROOKLYN,40.660553902516675,-73.94366087949149,"{'latitude': '40.660553902516675', 'longitude': '-73.94366087949149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58879822,2023-09-20T08:50:33.000,2023-09-22T15:21:16.000,DSNY,Department of Sanitation,Dirty Condition,Dirt or Gravel,Street,11101,38-34 33 STREET,33 STREET,38 AVENUE,NORTHERN BOULEVARD,38 AVENUE,NORTHERN BOULEVARD,ADDRESS,LONG ISLAND CITY,33 STREET,Closed,The Department of Sanitation cleaned the location.,2023-09-22T07:16:17.000,01 QUEENS,4003810021,QUEENS,1003423,213472,ONLINE,Unspecified,QUEENS,40.75258707385183,-73.93079890281372,"{'latitude': '40.75258707385183', 'longitude': '-73.93079890281372', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58874185,2023-09-20T08:50:31.000,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11370,20-37 HAZEN STREET,HAZEN STREET,74 STREET,73 STREET,74 STREET,73 STREET,ADDRESS,EAST ELMHURST,HAZEN STREET,In Progress,,,01 QUEENS,4009410008,QUEENS,1012971,220190,ONLINE,Unspecified,QUEENS,40.77100038601873,-73.89630863689868,"{'latitude': '40.77100038601873', 'longitude': '-73.89630863689868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58877468,2023-09-20T08:50:27.000,2023-09-20T09:46:16.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10019,9 AVENUE,9 AVENUE,9 AVENUE,WEST   57 STREET,9 AVENUE,WEST   57 STREET,INTERSECTION,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T09:46:22.000,04 MANHATTAN,,MANHATTAN,988207,219050,PHONE,Unspecified,MANHATTAN,40.7679171546502,-73.9857147162529,"{'latitude': '40.7679171546502', 'longitude': '-73.9857147162529', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58871884,2023-09-20T08:50:26.000,2023-09-20T09:29:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11211,850 METROPOLITAN AVENUE,METROPOLITAN AVENUE,ORIENT AVENUE,OLIVE STREET,ORIENT AVENUE,OLIVE STREET,ADDRESS,BROOKLYN,METROPOLITAN AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T09:29:46.000,01 BROOKLYN,3029167505,BROOKLYN,1000785,199651,PHONE,Unspecified,BROOKLYN,40.71465716461344,-73.94035419800211,"{'latitude': '40.71465716461344', 'longitude': '-73.94035419800211', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58872523,2023-09-20T08:50:18.000,2023-09-20T12:05:42.000,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,11233,70 CHAUNCEY STREET,CHAUNCEY STREET,LEWIS AVENUE,STUYVESANT AVENUE,LEWIS AVENUE,STUYVESANT AVENUE,ADDRESS,BROOKLYN,CHAUNCEY STREET,Closed,NYC Parks couldn't respond to your complaint because they had to devote resources to other critical services at the time. The agency will use your complaint for future planning.,2023-09-20T12:05:46.000,03 BROOKLYN,3016900001,BROOKLYN,1003129,187066,PHONE,Unspecified,BROOKLYN,40.680109588463054,-73.93193409316193,"{'latitude': '40.680109588463054', 'longitude': '-73.93193409316193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58877136,2023-09-20T08:50:09.000,2023-10-02T12:13:04.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10465,835 THROGS NECK EXPRESSWAY SVC RD,THROGS NECK EXPRESSWAY SVC RD,PHILIP AVENUE,LAFAYETTE AVENUE,PHILIP AVENUE,LAFAYETTE AVENUE,ADDRESS,BRONX,THROGS NECK EXPRESSWAY SVC RD,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-21T05:53:38.000,10 BRONX,2054300052,BRONX,1033918,241874,ONLINE,Unspecified,BRONX,40.83042403602242,-73.82052349772319,"{'latitude': '40.83042403602242', 'longitude': '-73.82052349772319', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58878180,2023-09-20T08:50:01.000,2023-11-08T15:43:26.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11229,2215 QUENTIN ROAD,QUENTIN ROAD,EAST   22 STREET,EAST   23 STREET,EAST   22 STREET,EAST   23 STREET,ADDRESS,BROOKLYN,QUENTIN ROAD,Closed,"NYC Parks inspected the requested repair site. This site meets the criteria for repair under the Trees & Sidewalks Program. The timeframe for repair work depends on available funding for the program, the severity of damage, and the other sidewalk requests in the surrounding district.",2023-11-08T15:43:31.000,15 BROOKLYN,3067850041,BROOKLYN,997855,161176,ONLINE,Unspecified,BROOKLYN,40.60905680895931,-73.95100105821078,"{'latitude': '40.60905680895931', 'longitude': '-73.95100105821078', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58873378,2023-09-20T08:50:00.000,2023-09-20T09:50:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11427,88-14 214 STREET,214 STREET,HILLSIDE AVE,89 AVE,,,ADDRESS,QUEENS VILLAGE,,Closed,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",2023-09-20T09:50:00.000,13 QUEENS,4106710034,QUEENS,1053154,203771,PHONE,Unspecified,QUEENS,40.72571266112375,-73.75140481773624,"{'latitude': '40.72571266112375', 'longitude': '-73.75140481773624', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58873330,2023-09-20T08:50:00.000,2023-09-21T11:19:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11219,1329 66 STREET,66 STREET,13 AVE,14 AVE,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-21T11:19:00.000,10 BROOKLYN,3057540067,BROOKLYN,983870,166952,ONLINE,Unspecified,BROOKLYN,40.62492116751012,-74.00136891015308,"{'latitude': '40.62492116751012', 'longitude': '-74.00136891015308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,N/A,,,,,
58872055,2023-09-20T08:50:00.000,2023-09-25T08:30:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,10303,300 LAKE AVENUE,LAKE AVENUE,WALKER ST,DIXON AVE,,,ADDRESS,STATEN ISLAND,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-25T08:30:00.000,01 STATEN ISLAND,5011760138,STATEN ISLAND,942152,168402,ONLINE,Unspecified,STATEN ISLAND,40.6288010913374,-74.15166252279211,"{'latitude': '40.6288010913374', 'longitude': '-74.15166252279211', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58873317,2023-09-20T08:50:00.000,2023-09-20T17:44:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Smoke, Vehicular (AA4)",,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVE,78 RD,,,ADDRESS,FRESH MEADOWS,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-20T17:44:00.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,N/A,,,,,
58878339,2023-09-20T08:49:44.000,2023-09-20T09:23:59.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10012,133 WEST    3 STREET,WEST    3 STREET,MAC DOUGAL STREET,AVENUE OF THE AMERICAS,MAC DOUGAL STREET,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST    3 STREET,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-20T09:24:06.000,02 MANHATTAN,1005430067,MANHATTAN,984014,205526,MOBILE,Unspecified,MANHATTAN,40.730798066707564,-74.00085151604503,"{'latitude': '40.730798066707564', 'longitude': '-74.00085151604503', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58874444,2023-09-20T08:49:44.000,2023-09-20T09:55:35.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,10012,133 WEST    3 STREET,WEST    3 STREET,MAC DOUGAL STREET,AVENUE OF THE AMERICAS,MAC DOUGAL STREET,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST    3 STREET,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-20T09:55:35.000,02 MANHATTAN,1005430067,MANHATTAN,984014,205526,MOBILE,Unspecified,MANHATTAN,40.730798066707564,-74.00085151604503,"{'latitude': '40.730798066707564', 'longitude': '-74.00085151604503', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
