unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_company_borough,road_ramp
58843223,2023-09-17T03:15:54.000,2023-09-17T03:19:01.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11238,1009 DEAN STREET,DEAN STREET,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,CLASSON AVENUE,FRANKLIN AVENUE SHUTTLE LINE,ADDRESS,BROOKLYN,DEAN STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T03:19:05.000,08 BROOKLYN,3011340074,BROOKLYN,996195,186252,MOBILE,Unspecified,BROOKLYN,40.67788741591671,-73.95693521284855,"{'latitude': '40.67788741591671', 'longitude': '-73.95693521284855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58840383,2023-09-17T03:15:53.000,2023-09-17T03:42:13.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11221,452 MADISON STREET,MADISON STREET,THROOP AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE,MARCUS GARVEY BOULEVARD,ADDRESS,BROOKLYN,MADISON STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T03:42:21.000,03 BROOKLYN,3018260023,BROOKLYN,1000869,189181,ONLINE,Unspecified,BROOKLYN,40.685919311854924,-73.94007702548694,"{'latitude': '40.685919311854924', 'longitude': '-73.94007702548694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58840381,2023-09-17T03:14:56.000,2023-09-17T03:29:34.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11436,144-18 123 AVENUE,123 AVENUE,144 STREET,145 STREET,144 STREET,145 STREET,ADDRESS,JAMAICA,123 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T03:29:37.000,12 QUEENS,4120470058,QUEENS,1041153,185215,MOBILE,Unspecified,QUEENS,40.674866260961856,-73.79485921159524,"{'latitude': '40.674866260961856', 'longitude': '-73.79485921159524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58837444,2023-09-17T03:14:45.000,2023-09-17T03:53:29.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11377,25 AVENUE,25 AVENUE,25 AVENUE,75 STREET,25 AVENUE,75 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:53:32.000,03 QUEENS,,QUEENS,1013825,217041,ONLINE,Unspecified,QUEENS,40.76235438712948,-73.89323930154362,"{'latitude': '40.76235438712948', 'longitude': '-73.89323930154362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58840506,2023-09-17T03:14:11.000,2023-09-17T03:44:46.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11204,21 AVENUE,21 AVENUE,21 AVENUE,74 STREET,21 AVENUE,74 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:44:51.000,11 BROOKLYN,,BROOKLYN,987322,161558,ONLINE,Unspecified,BROOKLYN,40.610115232238854,-73.98893589649172,"{'latitude': '40.610115232238854', 'longitude': '-73.98893589649172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58844682,2023-09-17T03:13:51.000,2023-09-17T03:38:38.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033,575 WEST  177 STREET,WEST  177 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  177 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-17T03:38:46.000,12 MANHATTAN,1021330084,MANHATTAN,1002240,247674,ONLINE,Unspecified,MANHATTAN,40.84646468157999,-73.93497706967092,"{'latitude': '40.84646468157999', 'longitude': '-73.93497706967092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58843378,2023-09-17T03:13:44.000,2023-09-17T18:14:03.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11419,104-12 122 STREET,122 STREET,LIBERTY AVENUE,107 AVENUE,LIBERTY AVENUE,107 AVENUE,ADDRESS,SOUTH RICHMOND HILL,122 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T18:14:07.000,10 QUEENS,4095750011,QUEENS,1033763,189584,MOBILE,Unspecified,QUEENS,40.686902566361475,-73.82146869188188,"{'latitude': '40.686902566361475', 'longitude': '-73.82146869188188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58844554,2023-09-17T03:13:40.000,2023-09-17T03:47:29.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10458,244 EAST  196 STREET,EAST  196 STREET,VALENTINE AVENUE,BRIGGS AVENUE,VALENTINE AVENUE,BRIGGS AVENUE,ADDRESS,BRONX,EAST  196 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T03:47:32.000,07 BRONX,2033000047,BRONX,1014295,255228,MOBILE,Unspecified,BRONX,40.86716534626754,-73.89137173932373,"{'latitude': '40.86716534626754', 'longitude': '-73.89137173932373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58842781,2023-09-17T03:13:20.000,2023-09-18T10:29:42.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10452,957 WOODYCREST AVENUE,WOODYCREST AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-18T00:00:00.000,04 BRONX,2025110068,BRONX,1003936,242233,PHONE,Unspecified,BRONX,40.8315271048226,-73.92886303221528,"{'latitude': '40.8315271048226', 'longitude': '-73.92886303221528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58841581,2023-09-17T03:12:53.000,2023-09-17T03:45:56.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11370,19-62 79 STREET,79 STREET,19 DRIVE,21 AVENUE,19 DRIVE,21 AVENUE,ADDRESS,EAST ELMHURST,79 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:46:01.000,01 QUEENS,4009477501,QUEENS,1014378,220582,ONLINE,Unspecified,QUEENS,40.77207163952744,-73.89122719564206,"{'latitude': '40.77207163952744', 'longitude': '-73.89122719564206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58841635,2023-09-17T03:12:30.000,2023-09-17T03:21:21.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11378,54 AVENUE,54 AVENUE,54 AVENUE,MAURICE AVENUE,54 AVENUE,MAURICE AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T03:21:25.000,02 QUEENS,,QUEENS,1010380,204710,PHONE,Unspecified,QUEENS,40.728519754603866,-73.90572305998118,"{'latitude': '40.728519754603866', 'longitude': '-73.90572305998118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58838213,2023-09-17T03:12:18.000,2023-09-17T03:51:30.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10030,2400 7 AVENUE,7 AVENUE,WEST  140 STREET,WEST  141 STREET,WEST  140 STREET,WEST  141 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T03:51:36.000,10 MANHATTAN,1020260029,MANHATTAN,1000482,237497,ONLINE,Unspecified,MANHATTAN,40.81853515725049,-73.94135579635707,"{'latitude': '40.81853515725049', 'longitude': '-73.94135579635707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58840394,2023-09-17T03:11:37.000,2023-09-17T04:36:03.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11419,104-64 128 STREET,128 STREET,LIBERTY AVENUE,107 AVENUE,LIBERTY AVENUE,107 AVENUE,ADDRESS,SOUTH RICHMOND HILL,128 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-17T04:36:08.000,10 QUEENS,4095810038,QUEENS,1035040,190188,MOBILE,Unspecified,QUEENS,40.68855316839335,-73.81685961403421,"{'latitude': '40.68855316839335', 'longitude': '-73.81685961403421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58841582,2023-09-17T03:11:35.000,2023-09-17T03:42:10.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10009,424 EAST   14 STREET,EAST   14 STREET,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,ADDRESS,NEW YORK,EAST   14 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:42:21.000,03 MANHATTAN,1004410019,MANHATTAN,989410,205553,ONLINE,Unspecified,MANHATTAN,40.730870673147855,-73.98138208638649,"{'latitude': '40.730870673147855', 'longitude': '-73.98138208638649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58837239,2023-09-17T03:11:19.000,2023-09-17T03:36:01.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10026,255 WEST  114 STREET,WEST  114 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  114 STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-17T03:36:06.000,10 MANHATTAN,1018300011,MANHATTAN,996639,231716,ONLINE,Unspecified,MANHATTAN,40.802674145542895,-73.95525074581207,"{'latitude': '40.802674145542895', 'longitude': '-73.95525074581207', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839358,2023-09-17T03:11:02.000,2023-09-17T03:47:22.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,244 EAST  196 STREET,EAST  196 STREET,VALENTINE AVENUE,BRIGGS AVENUE,VALENTINE AVENUE,BRIGGS AVENUE,ADDRESS,BRONX,EAST  196 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T03:47:31.000,07 BRONX,2033000047,BRONX,1014295,255228,MOBILE,Unspecified,BRONX,40.86716534626754,-73.89137173932373,"{'latitude': '40.86716534626754', 'longitude': '-73.89137173932373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58837367,2023-09-17T03:10:56.000,2023-09-17T03:46:29.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11105,19 AVENUE,19 AVENUE,19 AVENUE,45 STREET,19 AVENUE,45 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:46:32.000,01 QUEENS,,QUEENS,1012898,222101,ONLINE,Unspecified,QUEENS,40.77624581383057,-73.8965640416373,"{'latitude': '40.77624581383057', 'longitude': '-73.8965640416373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58838482,2023-09-17T03:10:24.000,2023-09-17T03:44:17.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11370,20-15 HAZEN STREET,HAZEN STREET,20 AVENUE,74 STREET,20 AVENUE,74 STREET,ADDRESS,EAST ELMHURST,HAZEN STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:44:21.000,01 QUEENS,4009420096,QUEENS,1013186,220422,ONLINE,Unspecified,QUEENS,40.77163646388069,-73.89553142469563,"{'latitude': '40.77163646388069', 'longitude': '-73.89553142469563', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58840283,2023-09-17T03:10:21.000,2023-09-17T08:26:17.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11102,18-18 26 ROAD,26 ROAD,18 STREET,21 STREET,18 STREET,21 STREET,ADDRESS,ASTORIA,26 ROAD,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T08:26:19.000,01 QUEENS,4008850027,QUEENS,1004541,220989,PHONE,Unspecified,QUEENS,40.77321680125565,-73.92674101774993,"{'latitude': '40.77321680125565', 'longitude': '-73.92674101774993', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58841595,2023-09-17T03:09:34.000,2023-09-17T05:16:11.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,50 CLIFFORD PLACE,CLIFFORD PLACE,TOWNSEND AVENUE,WALTON AVENUE,TOWNSEND AVENUE,WALTON AVENUE,ADDRESS,BRONX,CLIFFORD PLACE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T05:16:15.000,05 BRONX,2028480054,BRONX,1008557,247566,MOBILE,Unspecified,BRONX,40.84615312376416,-73.9121453538219,"{'latitude': '40.84615312376416', 'longitude': '-73.9121453538219', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58844611,2023-09-17T03:09:30.000,2023-09-17T03:47:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,244 EAST  196 STREET,EAST  196 STREET,VALENTINE AVENUE,BRIGGS AVENUE,VALENTINE AVENUE,BRIGGS AVENUE,ADDRESS,BRONX,EAST  196 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T03:47:22.000,07 BRONX,2033000047,BRONX,1014295,255228,MOBILE,Unspecified,BRONX,40.86716534626754,-73.89137173932373,"{'latitude': '40.86716534626754', 'longitude': '-73.89137173932373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839898,2023-09-17T03:09:26.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10036,680 8 AVENUE,8 AVENUE,WEST 43 STREET,WEST 44 STREET,WEST   43 STREET,WEST   44 STREET,ADDRESS,NEW YORK,8 AVENUE,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-17T05:17:43.000,05 MANHATTAN,1010150001,MANHATTAN,987237,215436,ONLINE,Unspecified,MANHATTAN,40.7579980362835,-73.98921814803249,"{'latitude': '40.7579980362835', 'longitude': '-73.98921814803249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839451,2023-09-17T03:09:01.000,2023-09-17T03:44:49.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11370,21 AVENUE,21 AVENUE,21 AVENUE,80 STREET,21 AVENUE,80 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:44:52.000,01 QUEENS,,QUEENS,1014709,220123,ONLINE,Unspecified,QUEENS,40.77081067097254,-73.89003424938522,"{'latitude': '40.77081067097254', 'longitude': '-73.89003424938522', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58838275,2023-09-17T03:08:49.000,2023-09-17T04:43:52.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,410 GRAND STREET,GRAND STREET,CLINTON STREET,ATTORNEY STREET,CLINTON STREET,ATTORNEY STREET,ADDRESS,NEW YORK,GRAND STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T04:43:58.000,03 MANHATTAN,1003410058,MANHATTAN,987973,200104,ONLINE,Unspecified,MANHATTAN,40.7159152093453,-73.98656997303071,"{'latitude': '40.7159152093453', 'longitude': '-73.98656997303071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839406,2023-09-17T03:08:47.000,2023-09-17T03:19:46.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10472,1232 MANOR AVENUE,MANOR AVENUE,WESTCHESTER AVENUE,EAST  172 STREET,WESTCHESTER AVENUE,EAST  172 STREET,ADDRESS,BRONX,MANOR AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:19:50.000,09 BRONX,2037760021,BRONX,1018386,241724,ONLINE,Unspecified,BRONX,40.830086017906716,-73.87664942225265,"{'latitude': '40.830086017906716', 'longitude': '-73.87664942225265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58838268,2023-09-17T03:08:26.000,2023-09-17T03:17:45.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11220,539 53 STREET,53 STREET,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,53 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T03:17:50.000,07 BROOKLYN,3008080058,BROOKLYN,981162,173492,ONLINE,Unspecified,BROOKLYN,40.64287154936805,-74.01112718883924,"{'latitude': '40.64287154936805', 'longitude': '-74.01112718883924', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58842453,2023-09-17T03:07:54.000,2023-09-17T03:14:48.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10014,8 CHRISTOPHER STREET,CHRISTOPHER STREET,GREENWICH AVENUE,GAY STREET,GREENWICH AVENUE,GAY STREET,ADDRESS,NEW YORK,CHRISTOPHER STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T03:14:51.000,02 MANHATTAN,1005930012,MANHATTAN,984235,206695,ONLINE,Unspecified,MANHATTAN,40.73400668783107,-74.00005412438867,"{'latitude': '40.73400668783107', 'longitude': '-74.00005412438867', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58839038,2023-09-17T03:07:18.000,2023-09-17T03:20:57.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11235,2444 EAST   23 STREET,EAST   23 STREET,AVENUE X,AVENUE Y,AVENUE X,AVENUE Y,ADDRESS,BROOKLYN,EAST   23 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:21:01.000,15 BROOKLYN,3074220323,BROOKLYN,998945,154994,MOBILE,Unspecified,BROOKLYN,40.59208673512246,-73.94708882983214,"{'latitude': '40.59208673512246', 'longitude': '-73.94708882983214', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58844779,2023-09-17T03:07:17.000,2023-09-17T03:23:35.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11412,119 AVENUE,119 AVENUE,119 AVENUE,202 STREET,119 AVENUE,202 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T03:23:46.000,12 QUEENS,,QUEENS,1053934,191631,PHONE,Unspecified,QUEENS,40.692385264474076,-73.74871635476978,"{'latitude': '40.692385264474076', 'longitude': '-73.74871635476978', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
