unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,facility_type,due_date,bridge_highway_direction,road_ramp
58891063,2023-09-21T10:55:20.000,2023-10-08T19:39:40.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10472,1969 CHATTERTON AVENUE,CHATTERTON AVENUE,,,,,ADDRESS,BRONX,,Closed,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-10-08T00:00:00.000,09 BRONX,2037880052,BRONX,1023703,240740,PHONE,Unspecified,BRONX,40.82736307226162,-73.8574422389174,"{'latitude': '40.82736307226162', 'longitude': '-73.8574422389174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891399,2023-09-21T10:55:18.000,2023-09-21T11:08:36.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11210,1033 EAST   31 STREET,EAST   31 STREET,AVENUE J,AVENUE K,AVENUE J,AVENUE K,ADDRESS,BROOKLYN,EAST   31 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T11:08:42.000,18 BROOKLYN,3076130031,BROOKLYN,999325,167344,PHONE,Unspecified,BROOKLYN,40.62598430713294,-73.94569302474983,"{'latitude': '40.62598430713294', 'longitude': '-73.94569302474983', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58890138,2023-09-21T10:55:12.000,,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Source/Protection,Mobile Food Vendor,10011,120 WEST   23 STREET,WEST   23 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,NEW YORK,WEST   23 STREET,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-09-22T09:57:37.000,04 MANHATTAN,1007980054,MANHATTAN,986012,210063,PHONE,Unspecified,MANHATTAN,40.74325083738835,-73.99364130632112,"{'latitude': '40.74325083738835', 'longitude': '-73.99364130632112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58890159,2023-09-21T10:55:00.000,2023-09-26T10:44:32.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,11220,351 46 STREET,46 STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,46 STREET,Closed,A sidewalk dismissal inspection (work done by owner) has been scheduled. Department of Transportation is in direct contact with the responsible party.,2023-09-26T10:44:35.000,07 BROOKLYN,3007460052,BROOKLYN,981150,175825,PHONE,Unspecified,BROOKLYN,40.64927512644006,-74.01117150133157,"{'latitude': '40.64927512644006', 'longitude': '-74.01117150133157', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58885810,2023-09-21T10:54:50.000,,HPD,Department of Housing Preservation and Development,GENERAL,VENTILATION SYSTEM,RESIDENTIAL BUILDING,10456,1041 FINDLAY AVENUE,FINDLAY AVENUE,,,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-21T00:00:00.000,04 BRONX,2024330028,BRONX,1007930,241405,ONLINE,Unspecified,BRONX,40.829244677725754,-73.91443331831667,"{'latitude': '40.829244677725754', 'longitude': '-73.91443331831667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58889874,2023-09-21T10:54:50.000,,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10456,1041 FINDLAY AVENUE,FINDLAY AVENUE,,,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-21T00:00:00.000,04 BRONX,2024330028,BRONX,1007930,241405,ONLINE,Unspecified,BRONX,40.829244677725754,-73.91443331831667,"{'latitude': '40.829244677725754', 'longitude': '-73.91443331831667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891071,2023-09-21T10:54:50.000,,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10456,1041 FINDLAY AVENUE,FINDLAY AVENUE,,,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-21T00:00:00.000,04 BRONX,2024330028,BRONX,1007930,241405,ONLINE,Unspecified,BRONX,40.829244677725754,-73.91443331831667,"{'latitude': '40.829244677725754', 'longitude': '-73.91443331831667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58881848,2023-09-21T10:54:50.000,,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,10456,1041 FINDLAY AVENUE,FINDLAY AVENUE,,,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-21T00:00:00.000,04 BRONX,2024330028,BRONX,1007930,241405,ONLINE,Unspecified,BRONX,40.829244677725754,-73.91443331831667,"{'latitude': '40.829244677725754', 'longitude': '-73.91443331831667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888532,2023-09-21T10:54:48.000,2023-09-24T07:34:42.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11233,1322 ST MARKS AVENUE,ST MARKS AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,08 BROOKLYN,3013630012,BROOKLYN,1005131,184775,PHONE,Unspecified,BROOKLYN,40.67381681683457,-73.92472323054672,"{'latitude': '40.67381681683457', 'longitude': '-73.92472323054672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58883172,2023-09-21T10:54:48.000,2023-09-24T07:34:42.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW PANE,RESIDENTIAL BUILDING,11233,1322 ST MARKS AVENUE,ST MARKS AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,08 BROOKLYN,3013630012,BROOKLYN,1005131,184775,PHONE,Unspecified,BROOKLYN,40.67381681683457,-73.92472323054672,"{'latitude': '40.67381681683457', 'longitude': '-73.92472323054672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58887170,2023-09-21T10:54:48.000,2023-09-24T07:34:43.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11233,1322 ST MARKS AVENUE,ST MARKS AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,08 BROOKLYN,3013630012,BROOKLYN,1005131,184775,PHONE,Unspecified,BROOKLYN,40.67381681683457,-73.92472323054672,"{'latitude': '40.67381681683457', 'longitude': '-73.92472323054672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888409,2023-09-21T10:54:48.000,2023-09-24T07:34:43.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11233,1322 ST MARKS AVENUE,ST MARKS AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,08 BROOKLYN,3013630012,BROOKLYN,1005131,184775,PHONE,Unspecified,BROOKLYN,40.67381681683457,-73.92472323054672,"{'latitude': '40.67381681683457', 'longitude': '-73.92472323054672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891147,2023-09-21T10:54:48.000,2023-09-24T07:34:43.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,11233,1322 ST MARKS AVENUE,ST MARKS AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,08 BROOKLYN,3013630012,BROOKLYN,1005131,184775,PHONE,Unspecified,BROOKLYN,40.67381681683457,-73.92472323054672,"{'latitude': '40.67381681683457', 'longitude': '-73.92472323054672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58881944,2023-09-21T10:54:48.000,2023-09-24T07:34:43.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11233,1322 ST MARKS AVENUE,ST MARKS AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,08 BROOKLYN,3013630012,BROOKLYN,1005131,184775,PHONE,Unspecified,BROOKLYN,40.67381681683457,-73.92472323054672,"{'latitude': '40.67381681683457', 'longitude': '-73.92472323054672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58881835,2023-09-21T10:54:44.000,2023-10-08T19:39:39.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,10472,1969 CHATTERTON AVENUE,CHATTERTON AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-08T00:00:00.000,09 BRONX,2037880052,BRONX,1023703,240740,PHONE,Unspecified,BRONX,40.82736307226162,-73.8574422389174,"{'latitude': '40.82736307226162', 'longitude': '-73.8574422389174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891149,2023-09-21T10:54:44.000,2023-09-26T13:22:53.000,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,11204,5710 19 AVENUE,19 AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-26T00:00:00.000,12 BROOKLYN,3054940094,BROOKLYN,988832,165979,ONLINE,Unspecified,BROOKLYN,40.62224930933174,-73.98349448611847,"{'latitude': '40.62224930933174', 'longitude': '-73.98349448611847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58888413,2023-09-21T10:54:43.000,,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10474,1220 SENECA AVENUE,SENECA AVENUE,,,,,ADDRESS,BRONX,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-21T00:00:00.000,02 BRONX,2027620051,BRONX,1015158,237585,ONLINE,Unspecified,BRONX,40.818737533653994,-73.88833286632055,"{'latitude': '40.818737533653994', 'longitude': '-73.88833286632055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58882815,2023-09-21T10:54:39.000,2023-09-21T11:24:44.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11229,2224 AVENUE P,AVENUE P,EAST   22 STREET,EAST   23 STREET,EAST   22 STREET,EAST   23 STREET,ADDRESS,BROOKLYN,AVENUE P,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T11:24:42.000,15 BROOKLYN,3067850010,BROOKLYN,997762,161941,MOBILE,Unspecified,BROOKLYN,40.611156718815764,-73.95133447062723,"{'latitude': '40.611156718815764', 'longitude': '-73.95133447062723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58882339,2023-09-21T10:54:11.000,2023-09-22T06:47:44.000,DOT,Department of Transportation,Street Sign - Damaged,"No Parking, Standing, Stopping",Street,11208,315 LINWOOD STREET,LINWOOD STREET,ATLANTIC AVENUE,LIBERTY AVENUE,ATLANTIC AVENUE,LIBERTY AVENUE,ADDRESS,BROOKLYN,LINWOOD STREET,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-09-22T06:47:51.000,05 BROOKLYN,3039710019,BROOKLYN,1016544,186208,PHONE,Unspecified,BROOKLYN,40.67771579835903,-73.88357212131719,"{'latitude': '40.67771579835903', 'longitude': '-73.88357212131719', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58883699,2023-09-21T10:54:11.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-21T22:47:26.000,Unspecified QUEENS,,QUEENS,1044181,198986,MOBILE,Unspecified,QUEENS,40.712644370964966,-73.78382050391308,"{'latitude': '40.712644370964966', 'longitude': '-73.78382050391308', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",F,Mezzanine,,,,,
58885423,2023-09-21T10:54:05.000,2023-09-21T11:21:29.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11372,86-07 35 AVENUE,35 AVENUE,86 STREET,87 STREET,86 STREET,87 STREET,ADDRESS,JACKSON HEIGHTS,35 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T11:21:28.000,03 QUEENS,4014470035,QUEENS,1017280,213348,MOBILE,Unspecified,QUEENS,40.75220582123903,-73.8807854990738,"{'latitude': '40.75220582123903', 'longitude': '-73.8807854990738', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58887432,2023-09-21T10:53:56.000,2023-11-03T07:21:38.000,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,Street,11430,JFK,JFK,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,UNRECOGNIZED,JAMAICA,JOHN F KENNEDY AIRPORT,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-11-03T07:21:41.000,83 QUEENS,4142600001,QUEENS,1043001,175548,PHONE,Unspecified,QUEENS,40.64832048620134,-73.78828125130184,"{'latitude': '40.64832048620134', 'longitude': '-73.78828125130184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,
58886680,2023-09-21T10:53:48.000,2023-09-21T11:07:56.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10025,808 WEST END AVENUE,WEST END AVENUE,BROADWAY,WEST END AVENUE,BROADWAY,WEST END AVENUE,ADDRESS,NEW YORK,WEST END AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T11:08:04.000,07 MANHATTAN,1018710001,MANHATTAN,992190,229732,PHONE,Unspecified,MANHATTAN,40.79723372561255,-73.9713229452436,"{'latitude': '40.79723372561255', 'longitude': '-73.9713229452436', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891250,2023-09-21T10:53:44.000,2023-09-21T13:22:35.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11106,34-21 34 STREET,34 STREET,34 AVENUE,35 AVENUE,34 AVENUE,35 AVENUE,ADDRESS,ASTORIA,34 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T13:22:39.000,01 QUEENS,4006420021,QUEENS,1004970,215479,PHONE,Unspecified,QUEENS,40.758092286462976,-73.92520913443245,"{'latitude': '40.758092286462976', 'longitude': '-73.92520913443245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58889552,2023-09-21T10:53:21.000,2023-09-21T11:23:59.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11206,247 VARET STREET,VARET STREET,WHITE STREET,BOGART STREET,WHITE STREET,BOGART STREET,ADDRESS,BROOKLYN,VARET STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T11:24:02.000,01 BROOKLYN,3031100032,BROOKLYN,1002480,195787,ONLINE,Unspecified,BROOKLYN,40.70404807317634,-73.93425038133091,"{'latitude': '40.70404807317634', 'longitude': '-73.93425038133091', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58890302,2023-09-21T10:53:21.000,2023-09-23T13:05:32.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Street,11231,164 HUNTINGTON STREET,HUNTINGTON STREET,CLINTON STREET,COURT STREET,CLINTON STREET,COURT STREET,ADDRESS,BROOKLYN,HUNTINGTON STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-22T13:37:57.000,06 BROOKLYN,3003810024,BROOKLYN,984319,185576,ONLINE,Unspecified,BROOKLYN,40.676040007527526,-73.99975124421246,"{'latitude': '40.676040007527526', 'longitude': '-73.99975124421246', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58887082,2023-09-21T10:53:20.000,2023-11-05T12:47:19.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10453,1590 UNDERCLIFF AVENUE,UNDERCLIFF AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-11-05T00:00:00.000,05 BRONX,2028770166,BRONX,1005682,248388,PHONE,Unspecified,BRONX,40.848416716909895,-73.9225340526794,"{'latitude': '40.848416716909895', 'longitude': '-73.9225340526794', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58891256,2023-09-21T10:53:18.000,2023-09-21T12:04:53.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11360,28-35 211 STREET,211 STREET,28 AVENUE,29 AVENUE,28 AVENUE,29 AVENUE,ADDRESS,BAYSIDE,211 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T12:04:59.000,11 QUEENS,4060110007,QUEENS,1045718,221920,PHONE,Unspecified,QUEENS,40.77558171740423,-73.7780667618482,"{'latitude': '40.77558171740423', 'longitude': '-73.7780667618482', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58881414,2023-09-21T10:53:17.000,2023-09-21T11:18:13.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11104,41-21 39 STREET,39 STREET,SKILLMAN AVENUE,43 AVENUE,SKILLMAN AVENUE,43 AVENUE,ADDRESS,SUNNYSIDE,39 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T11:18:17.000,02 QUEENS,4001870012,QUEENS,1004890,211496,MOBILE,Unspecified,QUEENS,40.74716015167127,-73.92551012787364,"{'latitude': '40.74716015167127', 'longitude': '-73.92551012787364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
