unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,taxi_pick_up_location,vehicle_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58886778,2023-09-21T14:03:14.000,2023-09-22T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,11214,8678 BAY PARKWAY,BAY PARKWAY,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-22T00:00:00.000,11 BROOKLYN,3063800001,BROOKLYN,985571,158084,UNKNOWN,Unspecified,BROOKLYN,40.60058024525797,-73.99524297087694,"{'latitude': '40.60058024525797', 'longitude': '-73.99524297087694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58888484,2023-09-21T14:03:05.000,2023-09-22T13:57:10.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11432,84-50 169 STREET,169 STREET,,,,,ADDRESS,JAMAICA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,08 QUEENS,4098600040,QUEENS,1041001,199889,PHONE,Unspecified,QUEENS,40.715143852704905,-73.79528355334448,"{'latitude': '40.715143852704905', 'longitude': '-73.79528355334448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58883814,2023-09-21T14:03:00.000,2023-09-21T16:02:12.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,10004,24 BROADWAY,BROADWAY,BEAVER STREET,MORRIS STREET,BEAVER STREET,MORRIS STREET,ADDRESS,NEW YORK,BROADWAY,Closed,N/A,2023-09-21T16:02:17.000,01 MANHATTAN,1000220013,MANHATTAN,980558,196351,ONLINE,Unspecified,MANHATTAN,40.70561412884559,-74.01331614223832,"{'latitude': '40.70561412884559', 'longitude': '-74.01331614223832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881990,2023-09-21T14:02:59.000,2023-10-05T05:03:08.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11212,473 EAST   92 STREET,EAST   92 STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-05T00:00:00.000,17 BROOKLYN,3046890025,BROOKLYN,1006478,177931,PHONE,Unspecified,BROOKLYN,40.65502828220828,-73.919889812903,"{'latitude': '40.65502828220828', 'longitude': '-73.919889812903', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888536,2023-09-21T14:02:55.000,2023-10-06T10:32:49.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10312,4310 AMBOY ROAD,AMBOY ROAD,,,,,ADDRESS,STATEN ISLAND,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,03 STATEN ISLAND,5054950001,STATEN ISLAND,939772,138098,ONLINE,Unspecified,STATEN ISLAND,40.545611165707086,-74.1600372514014,"{'latitude': '40.545611165707086', 'longitude': '-74.1600372514014', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887227,2023-09-21T14:02:53.000,2023-09-29T20:46:33.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11435,144-21 JAMAICA AVENUE,JAMAICA AVENUE,,,,,ADDRESS,JAMAICA,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,12 QUEENS,4096740041,QUEENS,1036747,195136,PHONE,Unspecified,QUEENS,40.70212428826989,-73.81066590843201,"{'latitude': '40.70212428826989', 'longitude': '-73.81066590843201', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58886092,2023-09-21T14:02:36.000,2023-11-16T13:09:43.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,10308,40 EAST FIGUREA AVENUE,EAST FIGUREA AVENUE,ABINGDON AVENUE,ARMSTRONG AVENUE,ABINGDON AVENUE,ARMSTRONG AVENUE,ADDRESS,STATEN ISLAND,EAST FIGUREA AVENUE,Closed,NYC Parks performed the work necessary to correct the condition.,2023-11-16T13:09:45.000,03 STATEN ISLAND,5054670027,STATEN ISLAND,940260,140609,PHONE,Unspecified,STATEN ISLAND,40.552505806074755,-74.158297698913,"{'latitude': '40.552505806074755', 'longitude': '-74.158297698913', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888701,2023-09-21T14:02:31.000,2023-09-21T22:44:04.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,10465,364 HUNTINGTON AVENUE,HUNTINGTON AVENUE,MILES AVENUE,SAMPSON AVENUE,MILES AVENUE,SAMPSON AVENUE,ADDRESS,BRONX,HUNTINGTON AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-21T22:44:08.000,10 BRONX,2055810127,BRONX,1033278,237359,MOBILE,Unspecified,BRONX,40.81803524389487,-73.8228691373687,"{'latitude': '40.81803524389487', 'longitude': '-73.8228691373687', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882307,2023-09-21T14:02:23.000,2023-09-26T09:20:17.000,DOE,Department of Education,School Maintenance,Plumbing Problem,School,10003,345 EAST   15 STREET,EAST   15 STREET,NATHAN D PERLMAN PLACE,1 AVENUE,NATHAN D PERLMAN PLACE,1 AVENUE,ADDRESS,NEW YORK,EAST   15 STREET,Closed,The Department of Education completed the work and corrected the condition.,2023-09-26T09:20:20.000,06 MANHATTAN,1009220008,MANHATTAN,988953,206127,ONLINE,Institute for Collaborative Education,MANHATTAN,40.7324464171464,-73.98303059725197,"{'latitude': '40.7324464171464', 'longitude': '-73.98303059725197', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885381,2023-09-21T14:02:04.000,2023-09-21T14:53:21.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11205,16 CLERMONT AVENUE,CLERMONT AVENUE,FLUSHING AVENUE,PARK AVENUE,FLUSHING AVENUE,PARK AVENUE,ADDRESS,BROOKLYN,CLERMONT AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T14:53:26.000,02 BROOKLYN,3020320034,BROOKLYN,992099,193314,MOBILE,Unspecified,BROOKLYN,40.69727556452384,-73.97169411441446,"{'latitude': '40.69727556452384', 'longitude': '-73.97169411441446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887654,2023-09-21T14:02:02.000,2023-09-23T14:15:14.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11206,87 MONTROSE AVENUE,MONTROSE AVENUE,LEONARD STREET,MANHATTAN AVENUE,LEONARD STREET,MANHATTAN AVENUE,ADDRESS,BROOKLYN,MONTROSE AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-22T17:00:46.000,01 BROOKLYN,3030510034,BROOKLYN,999183,196881,PHONE,Unspecified,BROOKLYN,40.70705702304772,-73.94613914734781,"{'latitude': '40.70705702304772', 'longitude': '-73.94613914734781', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887882,2023-09-21T14:02:00.000,2023-10-20T13:40:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11365,67-06 186 LANE,186 LANE,BEND,BEND,,,ADDRESS,FRESH MEADOWS,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-10-20T13:40:00.000,08 QUEENS,4071150002,QUEENS,1043409,207758,PHONE,Unspecified,QUEENS,40.73672650671051,-73.78652809468593,"{'latitude': '40.73672650671051', 'longitude': '-73.78652809468593', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58881313,2023-09-21T14:02:00.000,2023-09-21T18:20:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,10009,433 EAST   14 STREET,EAST   14 STREET,1 AVE,AVENUE A,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection investigated this complaint and found that a spray cap was in use while the hydrant was running.,2023-09-21T18:20:00.000,06 MANHATTAN,1009720001,MANHATTAN,989323,205608,PHONE,Unspecified,MANHATTAN,40.73102168499668,-73.98169595159347,"{'latitude': '40.73102168499668', 'longitude': '-73.98169595159347', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881343,2023-09-21T14:01:26.000,2023-09-21T14:55:55.000,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,11228,13 AVENUE,13 AVENUE,13 AVENUE,71 STREET,13 AVENUE,71 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T14:56:01.000,10 BROOKLYN,,BROOKLYN,982846,166100,PHONE,Unspecified,BROOKLYN,40.622582502686406,-74.0050575855627,"{'latitude': '40.622582502686406', 'longitude': '-74.0050575855627', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885487,2023-09-21T14:01:25.000,2023-10-10T00:00:00.000,DSNY,Department of Sanitation,Graffiti,Graffiti,Residential,11226,2537 CHURCH AVENUE,CHURCH AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The City has removed the graffiti from this property.,2023-10-11T06:21:06.000,17 BROOKLYN,3050900066,BROOKLYN,997171,176326,UNKNOWN,Unspecified,BROOKLYN,40.65064137900896,-73.95343550610471,"{'latitude': '40.65064137900896', 'longitude': '-73.95343550610471', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-10-21T14:01:25.000,,,,,,
58888346,2023-09-21T14:01:13.000,2023-09-21T16:20:33.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11206,29 LOCUST STREET,LOCUST STREET,BROADWAY,BEAVER STREET,BROADWAY,BEAVER STREET,ADDRESS,BROOKLYN,LOCUST STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T16:20:38.000,04 BROOKLYN,3031340036,BROOKLYN,1001584,194069,ONLINE,Unspecified,BROOKLYN,40.699334367421585,-73.93748637968389,"{'latitude': '40.699334367421585', 'longitude': '-73.93748637968389', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888169,2023-09-21T14:00:39.000,2023-09-21T16:38:44.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11434,154-20 134 AVENUE,134 AVENUE,154 STREET,155 STREET,154 STREET,155 STREET,ADDRESS,JAMAICA,134 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T16:38:48.000,12 QUEENS,4122930009,QUEENS,1044727,183673,MOBILE,Unspecified,QUEENS,40.67061013535169,-73.78198848478081,"{'latitude': '40.67061013535169', 'longitude': '-73.78198848478081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58891415,2023-09-21T14:00:39.000,,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Worker Activity,Mobile Food Vendor,11201,7 EVERIT STREET,EVERIT STREET,OLD FULTON STREET,COLUMBIA HEIGHTS,OLD FULTON STREET,COLUMBIA HEIGHTS,ADDRESS,BROOKLYN,EVERIT STREET,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-09-22T09:57:40.000,02 BROOKLYN,3002010004,BROOKLYN,985826,195229,MOBILE,Unspecified,BROOKLYN,40.70253513253691,-73.99431601548454,"{'latitude': '40.70253513253691', 'longitude': '-73.99431601548454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887510,2023-09-21T14:00:35.000,2023-09-26T10:59:20.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,10003,111 EAST   12 STREET,EAST   12 STREET,4 AVENUE,3 AVENUE,4 AVENUE,3 AVENUE,ADDRESS,NEW YORK,EAST   12 STREET,Closed,"The Department of Transportation is unable to schedule a sidewalk dismissal inspection because there is no record of a permit to make a sidewalk repair. Owner must obtain a permit of record. Once a permit is obtained, the owner must call 3-1-1 to make another request for sidewalk dismissal - work done by owner.",2023-09-26T10:59:19.000,03 MANHATTAN,1005580048,MANHATTAN,987184,206147,ONLINE,Unspecified,MANHATTAN,40.732502075939536,-73.98941350859884,"{'latitude': '40.732502075939536', 'longitude': '-73.98941350859884', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58886821,2023-09-21T14:00:30.000,2023-09-21T14:37:19.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11221,371 KOSCIUSZKO STREET,KOSCIUSZKO STREET,THROOP AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE,MARCUS GARVEY BOULEVARD,ADDRESS,BROOKLYN,KOSCIUSZKO STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T14:37:23.000,03 BROOKLYN,3017820141,BROOKLYN,1000802,191361,PHONE,Unspecified,BROOKLYN,40.6919030350073,-73.94031325079213,"{'latitude': '40.6919030350073', 'longitude': '-73.94031325079213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882312,2023-09-21T14:00:20.000,2023-09-26T09:51:17.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11235,2675 EAST   29 STREET,EAST   29 STREET,AVENUE Z,VOORHIES AVENUE,AVENUE Z,VOORHIES AVENUE,ADDRESS,BROOKLYN,EAST   29 STREET,Closed,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-09-26T09:51:21.000,15 BROOKLYN,3074740001,BROOKLYN,1000767,153477,MOBILE,Unspecified,BROOKLYN,40.58791966642252,-73.9405322028767,"{'latitude': '40.58791966642252', 'longitude': '-73.9405322028767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58883397,2023-09-21T14:00:12.000,2023-11-06T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10034,100 COOPER STREET,COOPER STREET,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-11-06T00:00:00.000,12 MANHATTAN,1022420026,MANHATTAN,1006061,255784,UNKNOWN,Unspecified,MANHATTAN,40.86871558176139,-73.92114009182538,"{'latitude': '40.86871558176139', 'longitude': '-73.92114009182538', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882846,2023-09-21T14:00:02.000,2023-09-21T14:48:43.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10019,925 9 AVENUE,9 AVENUE,WEST   58 STREET,WEST   59 STREET,WEST   58 STREET,WEST   59 STREET,ADDRESS,NEW YORK,9 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T14:48:48.000,04 MANHATTAN,1010680010,MANHATTAN,988438,219474,MOBILE,Unspecified,MANHATTAN,40.76908081808364,-73.98488051207615,"{'latitude': '40.76908081808364', 'longitude': '-73.98488051207615', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888118,2023-09-21T13:59:56.000,,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11385,1882 FLUSHING AVENUE,FLUSHING AVENUE,,,,,ADDRESS,RIDGEWOOD,,Open,The graffiti on this property has been scheduled to be removed by the City.,2023-09-21T13:59:56.000,05 QUEENS,4033940028,QUEENS,1006728,198760,UNKNOWN,Unspecified,QUEENS,40.712198480016056,-73.91891932441854,"{'latitude': '40.712198480016056', 'longitude': '-73.91891932441854', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,2023-10-21T13:59:56.000,,,,,,
58881890,2023-09-21T13:59:52.000,2023-09-23T10:12:29.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10460,1460 BRYANT AVENUE,BRYANT AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-23T00:00:00.000,03 BRONX,2030000004,BRONX,1015287,242372,PHONE,Unspecified,BRONX,40.83187602440449,-73.88784466076338,"{'latitude': '40.83187602440449', 'longitude': '-73.88784466076338', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58883606,2023-09-21T13:59:41.000,2023-10-07T13:17:31.000,DOT,Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,10466,EAST  233 STREET,EAST  233 STREET,EAST  233 STREET,LACONIA AVENUE,EAST  233 STREET,LACONIA AVENUE,INTERSECTION,,,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-10-07T13:17:36.000,12 BRONX,,BRONX,1026856,263472,PHONE,Unspecified,BRONX,40.88974084687959,-73.84590485498367,"{'latitude': '40.88974084687959', 'longitude': '-73.84590485498367', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887207,2023-09-21T13:59:35.000,2023-10-05T05:03:08.000,HPD,Department of Housing Preservation and Development,SAFETY,CARBON MONOXIDE DETECTOR,RESIDENTIAL BUILDING,11212,473 EAST   92 STREET,EAST   92 STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-05T00:00:00.000,17 BROOKLYN,3046890025,BROOKLYN,1006478,177931,PHONE,Unspecified,BROOKLYN,40.65502828220828,-73.919889812903,"{'latitude': '40.65502828220828', 'longitude': '-73.919889812903', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58891097,2023-09-21T13:59:33.000,2023-09-27T16:55:10.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10003,331 EAST   15 STREET,EAST   15 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,06 MANHATTAN,1009220008,MANHATTAN,988901,206156,ONLINE,Unspecified,MANHATTAN,40.73252604252034,-73.98321820402269,"{'latitude': '40.73252604252034', 'longitude': '-73.98321820402269', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
