unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,resolution_description,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp,due_date
58963077,2023-09-29T14:26:53.000,2023-10-02T16:54:20.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10467,2750 OLINVILLE AVENUE,OLINVILLE AVENUE,,,,,ADDRESS,BRONX,,Closed,2023-10-02T00:00:00.000,11 BRONX,2045080010,BRONX,1020667,254814,PHONE,Unspecified,BRONX,40.86600505539814,-73.86833593536616,"{'latitude': '40.86600505539814', 'longitude': '-73.86833593536616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,
58966219,2023-09-29T14:26:47.000,2023-10-04T14:33:26.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11217,267 FLATBUSH AVENUE,FLATBUSH AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,2023-10-04T00:00:00.000,08 BROOKLYN,3011430001,BROOKLYN,991354,186968,PHONE,Unspecified,BROOKLYN,40.67985788242006,-73.97438750276265,"{'latitude': '40.67985788242006', 'longitude': '-73.97438750276265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,
58959738,2023-09-29T14:26:47.000,2023-10-04T14:33:26.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11217,267 FLATBUSH AVENUE,FLATBUSH AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,2023-10-04T00:00:00.000,08 BROOKLYN,3011430001,BROOKLYN,991354,186968,PHONE,Unspecified,BROOKLYN,40.67985788242006,-73.97438750276265,"{'latitude': '40.67985788242006', 'longitude': '-73.97438750276265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,
58962819,2023-09-29T14:26:44.000,2023-10-01T21:09:30.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11001,84-74 LITTLE NECK PARKWAY,LITTLE NECK PARKWAY,,,,,ADDRESS,FLORAL PARK,,Closed,2023-10-01T00:00:00.000,13 QUEENS,4086080116,QUEENS,1063870,207010,ONLINE,Unspecified,QUEENS,40.73451291368761,-73.71270504728245,"{'latitude': '40.73451291368761', 'longitude': '-73.71270504728245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,
58960023,2023-09-29T14:26:44.000,2023-10-01T21:09:29.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11001,84-74 LITTLE NECK PARKWAY,LITTLE NECK PARKWAY,,,,,ADDRESS,FLORAL PARK,,Closed,2023-10-01T00:00:00.000,13 QUEENS,4086080116,QUEENS,1063870,207010,ONLINE,Unspecified,QUEENS,40.73451291368761,-73.71270504728245,"{'latitude': '40.73451291368761', 'longitude': '-73.71270504728245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,
58959641,2023-09-29T14:26:44.000,2023-10-01T21:09:30.000,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,RESIDENTIAL BUILDING,11001,84-74 LITTLE NECK PARKWAY,LITTLE NECK PARKWAY,,,,,ADDRESS,FLORAL PARK,,Closed,2023-10-01T00:00:00.000,13 QUEENS,4086080116,QUEENS,1063870,207010,ONLINE,Unspecified,QUEENS,40.73451291368761,-73.71270504728245,"{'latitude': '40.73451291368761', 'longitude': '-73.71270504728245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,,,,,,,
58965493,2023-09-29T14:26:27.000,2023-09-29T16:42:31.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11209,5 AVENUE,5 AVENUE,5 AVENUE,90 STREET,5 AVENUE,90 STREET,INTERSECTION,,,Closed,2023-09-29T16:42:36.000,10 BROOKLYN,,BROOKLYN,976420,164859,ONLINE,Unspecified,BROOKLYN,40.61917286766031,-74.02820432532206,"{'latitude': '40.61917286766031', 'longitude': '-74.02820432532206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department responded and upon arrival those responsible for the condition were gone.,,,,,,,
59456832,2023-09-29T14:26:23.000,2023-10-22T00:00:00.000,HPD,Department of Housing Preservation and Development,Door/Window,Door,Apartment,10034,600 ACADEMY STREET,ACADEMY STREET,SHERMAN AVENUE,VERMILYEA AVENUE,SHERMAN AVENUE,VERMILYEA AVENUE,ADDRESS,NEW YORK,ACADEMY STREET,Closed,2023-10-22T00:00:00.000,12 MANHATTAN,1022240029,MANHATTAN,1005308,254263,PHONE,Unspecified,MANHATTAN,40.86454272910359,-73.92386741876558,"{'latitude': '40.86454272910359', 'longitude': '-73.92386741876558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59448515,2023-09-29T14:26:18.000,2023-10-22T00:00:00.000,HPD,Department of Housing Preservation and Development,Paint/Plaster,Wall,Apartment,10034,600 ACADEMY STREET,ACADEMY STREET,SHERMAN AVENUE,VERMILYEA AVENUE,SHERMAN AVENUE,VERMILYEA AVENUE,ADDRESS,NEW YORK,ACADEMY STREET,Closed,2023-10-22T00:00:00.000,12 MANHATTAN,1022240029,MANHATTAN,1005308,254263,PHONE,Unspecified,MANHATTAN,40.86454272910359,-73.92386741876558,"{'latitude': '40.86454272910359', 'longitude': '-73.92386741876558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58966521,2023-09-29T14:26:13.000,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,10010,1130 BROADWAY,BROADWAY,WEST   25 STREET,WEST   26 STREET,WEST   25 STREET,WEST   26 STREET,ADDRESS,NEW YORK,BROADWAY,In Progress,2023-11-27T11:48:21.000,05 MANHATTAN,1008270042,MANHATTAN,987278,210122,ONLINE,Unspecified,MANHATTAN,40.74341243479652,-73.98907254756305,"{'latitude': '40.74341243479652', 'longitude': '-73.98907254756305', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",,"1130 BROADWAY, MANHATTAN (NEW YORK), NY, 10010",,,,,
59445625,2023-09-29T14:26:12.000,2023-09-29T14:42:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,10305,201 HURLBERT STREET,HURLBERT STREET,RUTH PLACE,XENIA STREET,RUTH PLACE,XENIA STREET,ADDRESS,STATEN ISLAND,HURLBERT STREET,Closed,2023-09-29T14:42:00.000,02 STATEN ISLAND,5033520055,STATEN ISLAND,960820,155129,PHONE,Unspecified,STATEN ISLAND,40.59243849659795,-74.08436307341273,"{'latitude': '40.59243849659795', 'longitude': '-74.08436307341273', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59460255,2023-09-29T14:26:04.000,2023-09-29T19:50:00.000,DEP,Department of Environmental Protection,Water Maintenance,Leak,N/A,11413,145-51 224 STREET,224 STREET,145 ROAD,146 AVENUE,145 ROAD,146 AVENUE,ADDRESS,SPRINGFIELD GARDENS,224 STREET,Closed,2023-09-29T19:50:00.000,13 QUEENS,,QUEENS,1052008,180452,PHONE,Unspecified,QUEENS,40.661716508692315,-73.75577395286071,"{'latitude': '40.661716508692315', 'longitude': '-73.75577395286071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59449123,2023-09-29T14:26:03.000,2023-09-30T03:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,Sewer,11422,259-24 148 AVENUE,148 AVENUE,259 STREET,FRANCIS LEWIS BOULEVARD,259 STREET,FRANCIS LEWIS BOULEVARD,ADDRESS,ROSEDALE,148 AVENUE,Closed,2023-09-30T03:30:00.000,13 QUEENS,,QUEENS,1059557,178017,PHONE,Unspecified,QUEENS,40.65497201333468,-73.72859179490622,"{'latitude': '40.65497201333468', 'longitude': '-73.72859179490622', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58963730,2023-09-29T14:26:00.000,2023-09-29T14:26:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11238,5 QUINCY STREET,QUINCY STREET,DOWNING ST,CLASSON AVE,,,ADDRESS,BROOKLYN,,Closed,2023-09-29T14:26:00.000,02 BROOKLYN,3019690030,BROOKLYN,995091,189130,PHONE,Unspecified,BROOKLYN,40.68578829151416,-73.96091078517523,"{'latitude': '40.68578829151416', 'longitude': '-73.96091078517523', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The status of this Department of Environmental Protection (DEP) Service Request is not available online. Please call 311 and ask for further assistance with the status. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",,,,,,,
58963785,2023-09-29T14:26:00.000,2023-09-29T19:30:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,10013,70 LAFAYETTE STREET,LAFAYETTE STREET,FRANKLIN ST,WHITE ST,,,ADDRESS,NEW YORK,,Closed,2023-09-29T19:30:00.000,01 MANHATTAN,1001720023,MANHATTAN,983692,200433,ONLINE,Unspecified,MANHATTAN,40.716819001284,-74.00201290804165,"{'latitude': '40.716819001284', 'longitude': '-74.00201290804165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",,,,,,,
58965333,2023-09-29T14:26:00.000,2023-09-29T14:43:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,11413,145-51 224 STREET,224 STREET,145 RD,146 AVE,,,ADDRESS,SPRINGFIELD GARDENS,,Closed,2023-09-29T14:43:00.000,13 QUEENS,4134720027,QUEENS,1052008,180452,PHONE,Unspecified,QUEENS,40.661716508692315,-73.75577395286071,"{'latitude': '40.661716508692315', 'longitude': '-73.75577395286071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Environmental Protection has determined that this issue was previously reported by another customer The original complaint is being addressed. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",,,,,,,
58957472,2023-09-29T14:26:00.000,2023-10-02T11:05:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11434,125-15 172 STREET,172 STREET,125 AVE,126 AVE,,,ADDRESS,JAMAICA,,Closed,2023-10-02T11:05:00.000,12 QUEENS,4125170001,QUEENS,1047412,187590,PHONE,Unspecified,QUEENS,40.681342632057415,-73.77227275225118,"{'latitude': '40.681342632057415', 'longitude': '-73.77227275225118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Environmental Protection inspected your complaint and determined that the catch basin is now functioning properly.  If the condition returns, please call 311 (or 212-639-9675 if calling from a non-New York City area code) to submit a new complaint.",,,,,,,
58961734,2023-09-29T14:26:00.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11207,1220 DECATUR STREET,DECATUR STREET,CENTRAL AVENUE,WILSON AVENUE,CENTRAL AVENUE,WILSON AVENUE,ADDRESS,BROOKLYN,DECATUR STREET,In Progress,,04 BROOKLYN,,BROOKLYN,1010033,190414,UNKNOWN,Unspecified,BROOKLYN,40.68928166158231,-73.90702977738046,"{'latitude': '40.68928166158231', 'longitude': '-73.90702977738046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58966696,2023-09-29T14:26:00.000,2023-09-30T14:05:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11693,357 BEACH   89 STREET,BEACH   89 STREET,GULL CT,BEACH CHANNEL DR,,,ADDRESS,FAR ROCKAWAY,,Closed,2023-09-30T14:05:00.000,14 QUEENS,4161230044,QUEENS,1035723,154104,PHONE,Unspecified,QUEENS,40.58950658987549,-73.81467211294711,"{'latitude': '40.58950658987549', 'longitude': '-73.81467211294711', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Environmental Protection has investigated this complaint and found that debris was obstructing the catch basin.,,,,,,,
58963644,2023-09-29T14:26:00.000,2023-09-30T12:55:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11693,193 BEACH   97 STREET,BEACH   97 STREET,SHORE FRONT PKWY,ROCKAWAY BEACH BLVD,,,ADDRESS,FAR ROCKAWAY,,Closed,2023-09-30T12:55:00.000,14 QUEENS,4161700052,QUEENS,1034634,152321,PHONE,Unspecified,QUEENS,40.584618877630625,-73.818606326012,"{'latitude': '40.584618877630625', 'longitude': '-73.818606326012', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed due to rain intensity or volume.,,,,,,,
58965417,2023-09-29T14:26:00.000,2023-09-29T19:00:00.000,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),,11370,21-27 80 STREET,80 STREET,21 AVE,DITMARS BLVD,,,ADDRESS,EAST ELMHURST,,Closed,2023-09-29T19:00:00.000,01 QUEENS,4009760058,QUEENS,1014743,219898,ONLINE,Unspecified,QUEENS,40.77019298787174,-73.88991252060815,"{'latitude': '40.77019298787174', 'longitude': '-73.88991252060815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",,,,,,,
58957404,2023-09-29T14:26:00.000,2023-09-29T21:40:00.000,DEP,Department of Environmental Protection,Water System,Excessive Water In Basement (WEFB),,11214,104 BAY   41 STREET,BAY   41 STREET,BENSON AVE,BATH AVE,,,ADDRESS,BROOKLYN,,Closed,2023-09-29T21:40:00.000,11 BROOKLYN,3068800058,BROOKLYN,987531,155942,PHONE,Unspecified,BROOKLYN,40.5947003790888,-73.98818589082282,"{'latitude': '40.5947003790888', 'longitude': '-73.98818589082282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",,,,,,,
58956081,2023-09-29T14:26:00.000,2023-09-29T18:15:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10002,550H GRAND STREET,GRAND STREET,GRAND ST,BROOME ST,,,ADDRESS,NEW YORK,,Closed,2023-09-29T18:15:00.000,03 MANHATTAN,1003310120,MANHATTAN,989804,199617,ONLINE,Unspecified,MANHATTAN,40.714577550856305,-73.9799653845844,"{'latitude': '40.714577550856305', 'longitude': '-73.9799653845844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}","The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",,,,,,,
58963228,2023-09-29T14:25:56.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11207,1218 DECATUR STREET,DECATUR STREET,CENTRAL AVENUE,WILSON AVENUE,CENTRAL AVENUE,WILSON AVENUE,ADDRESS,BROOKLYN,DECATUR STREET,In Progress,,04 BROOKLYN,,BROOKLYN,1010025,190403,UNKNOWN,Unspecified,BROOKLYN,40.68925149243003,-73.90705866642695,"{'latitude': '40.68925149243003', 'longitude': '-73.90705866642695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59456110,2023-09-29T14:25:48.000,2023-10-02T11:05:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,Sewer,11434,125-15 172 STREET,172 STREET,125 AVENUE,126 AVENUE,125 AVENUE,126 AVENUE,ADDRESS,JAMAICA,172 STREET,Closed,2023-10-02T11:05:00.000,12 QUEENS,,QUEENS,1047412,187590,PHONE,Unspecified,QUEENS,40.681342632057415,-73.77227275225118,"{'latitude': '40.681342632057415', 'longitude': '-73.77227275225118', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58977015,2023-09-29T14:25:42.000,2023-09-30T13:35:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11102,14-34 ASTORIA BOULEVARD,ASTORIA BOULEVARD,14 STREET,18 STREET,,,ADDRESS,ASTORIA,,Closed,2023-09-30T13:35:00.000,01 QUEENS,4005390017,QUEENS,1003986,220602,UNKNOWN,Unspecified,QUEENS,40.77215584435797,-73.92874593513427,"{'latitude': '40.77215584435797', 'longitude': '-73.92874593513427', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Department of Transportation inspected this complaint and repaired the problem.,N/A,,,,,,
59439386,2023-09-29T14:25:39.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Apartment,10467,2750 OLINVILLE AVENUE,OLINVILLE AVENUE,ALLERTON AVENUE,BRITTON STREET,ALLERTON AVENUE,BRITTON STREET,ADDRESS,BRONX,OLINVILLE AVENUE,Closed,2023-10-02T00:00:00.000,11 BRONX,,BRONX,1020667,254814,PHONE,Unspecified,BRONX,40.86600505539814,-73.86833593536616,"{'latitude': '40.86600505539814', 'longitude': '-73.86833593536616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58960136,2023-09-29T14:25:39.000,2023-09-29T14:36:23.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10010,1130 BROADWAY,BROADWAY,WEST   25 STREET,WEST   26 STREET,WEST   25 STREET,WEST   26 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,2023-09-29T14:36:21.000,05 MANHATTAN,1008270042,MANHATTAN,987278,210122,ONLINE,Unspecified,MANHATTAN,40.74341243479652,-73.98907254756305,"{'latitude': '40.74341243479652', 'longitude': '-73.98907254756305', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Police Department reviewed your complaint and provided additional information below.,,,,,,,
59460235,2023-09-29T14:25:35.000,,HPD,Department of Housing Preservation and Development,Water Leak,Slow Leak,Public Area,10457,1454 GRAND CONCOURSE,GRAND CONCOURSE,EAST  171 STREET,EAST  172 STREET,EAST  171 STREET,EAST  172 STREET,ADDRESS,BRONX,GRAND CONCOURSE,In Progress,,04 BRONX,,BRONX,1008318,245340,PHONE,Unspecified,BRONX,40.84004406278686,-73.91301717836832,"{'latitude': '40.84004406278686', 'longitude': '-73.91301717836832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
59449865,2023-09-29T14:25:35.000,2023-09-29T19:00:00.000,DEP,Department of Environmental Protection,Water Maintenance,Leak,N/A,11370,21-27 80 STREET,80 STREET,21 AVENUE,DITMARS BOULEVARD,21 AVENUE,DITMARS BOULEVARD,ADDRESS,EAST ELMHURST,80 STREET,Closed,2023-09-29T19:00:00.000,01 QUEENS,,QUEENS,1014743,219898,ONLINE,Unspecified,QUEENS,40.77019298787174,-73.88991252060815,"{'latitude': '40.77019298787174', 'longitude': '-73.88991252060815', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
