unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_segment,facility_type,bridge_highway_direction,road_ramp,due_date,taxi_pick_up_location
58862315,2023-09-19T14:56:29.000,2023-10-27T15:39:41.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,Street,11214,8696 24 AVENUE,24 AVENUE,ADDRESS,BROOKLYN,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-10-27T15:39:49.000,11 BROOKLYN,3068750032,BROOKLYN,986579,156828,PHONE,Unspecified,BROOKLYN,40.59713257180902,-73.99161351341448,"{'latitude': '40.59713257180902', 'longitude': '-73.99161351341448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BENSON AVENUE,BATH AVENUE,BENSON AVENUE,BATH AVENUE,24 AVENUE,,,,,,,
58868339,2023-09-19T14:56:08.000,2023-09-28T16:01:17.000,DOT,Department of Transportation,Street Sign - Damaged,St Name - Attached to Pole,Street,11367,78 AVENUE,78 AVENUE,INTERSECTION,,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-09-28T16:01:20.000,08 QUEENS,,QUEENS,1034609,201652,ONLINE,Unspecified,QUEENS,40.7200215469545,-73.818327993429,"{'latitude': '40.7200215469545', 'longitude': '-73.818327993429', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",78 AVENUE,MAIN STREET,78 AVENUE,MAIN STREET,,,,,,,,
58864667,2023-09-19T14:55:53.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,ADDRESS,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-27T08:55:04.000,Unspecified MANHATTAN,,MANHATTAN,993222,217111,MOBILE,Unspecified,MANHATTAN,40.76259143385775,-73.96761250447102,"{'latitude': '40.76259143385775', 'longitude': '-73.96761250447102', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,4,Stairway,,,,,
58870046,2023-09-19T14:55:45.000,2023-09-20T02:21:47.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11361,211-19 41 AVENUE,41 AVENUE,ADDRESS,BAYSIDE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T02:21:52.000,11 QUEENS,4062350025,QUEENS,1046974,217468,ONLINE,Unspecified,QUEENS,40.76335335300496,-73.77357348141868,"{'latitude': '40.76335335300496', 'longitude': '-73.77357348141868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",211 STREET,212 STREET,211 STREET,212 STREET,41 AVENUE,,,,,,,
58869205,2023-09-19T14:55:44.000,2023-09-19T18:58:42.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11423,195-55 WOODHULL AVENUE,WOODHULL AVENUE,ADDRESS,HOLLIS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-19T18:58:46.000,12 QUEENS,4108240018,QUEENS,1049627,198894,PHONE,Unspecified,QUEENS,40.712353287917594,-73.76417700485803,"{'latitude': '40.712353287917594', 'longitude': '-73.76417700485803', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",195 PLACE,196 STREET,195 PLACE,196 STREET,WOODHULL AVENUE,,,,,,,
58862710,2023-09-19T14:55:37.000,2023-09-19T15:33:25.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10010,1 WEST   22 STREET,WEST   22 STREET,ADDRESS,NEW YORK,Closed,"Based on the information you provided, the Department of Homeless Services has referred this request to the New York City Police Department.",2023-09-19T15:33:25.000,05 MANHATTAN,1008240035,MANHATTAN,986870,209276,MOBILE,Unspecified,MANHATTAN,40.74109050599949,-73.99054526829211,"{'latitude': '40.74109050599949', 'longitude': '-73.99054526829211', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,WEST   22 STREET,,,,,,,
58869244,2023-09-19T14:55:35.000,2023-09-19T20:34:49.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11367,64-01 155 STREET,155 STREET,ADDRESS,FLUSHING,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T20:34:52.000,08 QUEENS,4067460026,QUEENS,1035996,208116,MOBILE,Unspecified,QUEENS,40.73775560393907,-73.81327464536338,"{'latitude': '40.73775560393907', 'longitude': '-73.81327464536338', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",64 AVENUE,65 AVENUE,64 AVENUE,65 AVENUE,155 STREET,,,,,,,
58860369,2023-09-19T14:55:34.000,2023-09-19T16:10:52.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,3+ Family Apartment Building,10458,2770 BRIGGS AVENUE,BRIGGS AVENUE,ADDRESS,BRONX,Closed,,2023-09-19T16:10:52.000,07 BRONX,2032950016,BRONX,1014569,255447,ONLINE,Unspecified,BRONX,40.86776549729065,-73.89038009735448,"{'latitude': '40.86776549729065', 'longitude': '-73.89038009735448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST 196 STREET,EAST 197 STREET,EAST  196 STREET,EAST  197 STREET,BRIGGS AVENUE,,,,,,,
58866611,2023-09-19T14:55:10.000,2023-09-22T13:11:07.000,DSNY,Department of Sanitation,Illegal Posting,Flyer or Handbill,Sidewalk,10463,554 WEST  235 STREET,WEST  235 STREET,ADDRESS,BRONX,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-22T13:11:10.000,08 BRONX,2057860204,BRONX,1009220,261938,ONLINE,Unspecified,BRONX,40.88559802933938,-73.90969547272398,"{'latitude': '40.88559802933938', 'longitude': '-73.90969547272398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OXFORD AVENUE,JOHNSON AVENUE,OXFORD AVENUE,JOHNSON AVENUE,WEST  235 STREET,,,,,,,
58863834,2023-09-19T14:55:04.000,2023-09-19T15:30:13.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11226,176 CLARKSON AVENUE,CLARKSON AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-19T15:30:16.000,17 BROOKLYN,3050650040,BROOKLYN,996969,177975,PHONE,Unspecified,BROOKLYN,40.6551678163122,-73.95416036056795,"{'latitude': '40.6551678163122', 'longitude': '-73.95416036056795', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BEDFORD AVENUE,ROGERS AVENUE,BEDFORD AVENUE,ROGERS AVENUE,CLARKSON AVENUE,,,,,,,
58858084,2023-09-19T14:54:57.000,2023-10-11T10:58:28.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10462,2182 BARNES AVENUE,BARNES AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-11T00:00:00.000,11 BRONX,2043220025,BRONX,1021924,251177,PHONE,Unspecified,BRONX,40.85601732268384,-73.86381175775772,"{'latitude': '40.85601732268384', 'longitude': '-73.86381175775772', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58858042,2023-09-19T14:54:54.000,2023-09-25T02:03:23.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10023,400 WEST   61 STREET,WEST   61 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,07 MANHATTAN,1011717513,MANHATTAN,986719,221084,ONLINE,Unspecified,MANHATTAN,40.77350049526065,-73.99108584214919,"{'latitude': '40.77350049526065', 'longitude': '-73.99108584214919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58858184,2023-09-19T14:54:54.000,2023-09-27T20:14:13.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10023,400 WEST   61 STREET,WEST   61 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,07 MANHATTAN,1011717513,MANHATTAN,986719,221084,ONLINE,Unspecified,MANHATTAN,40.77350049526065,-73.99108584214919,"{'latitude': '40.77350049526065', 'longitude': '-73.99108584214919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58856333,2023-09-19T14:54:54.000,2023-09-27T20:14:13.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10023,400 WEST   61 STREET,WEST   61 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,07 MANHATTAN,1011717513,MANHATTAN,986719,221084,ONLINE,Unspecified,MANHATTAN,40.77350049526065,-73.99108584214919,"{'latitude': '40.77350049526065', 'longitude': '-73.99108584214919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58859983,2023-09-19T14:54:54.000,2023-09-27T20:14:12.000,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,RESIDENTIAL BUILDING,10023,400 WEST   61 STREET,WEST   61 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,07 MANHATTAN,1011717513,MANHATTAN,986719,221084,ONLINE,Unspecified,MANHATTAN,40.77350049526065,-73.99108584214919,"{'latitude': '40.77350049526065', 'longitude': '-73.99108584214919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58858138,2023-09-19T14:54:54.000,2023-09-27T20:14:12.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,10023,400 WEST   61 STREET,WEST   61 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,07 MANHATTAN,1011717513,MANHATTAN,986719,221084,ONLINE,Unspecified,MANHATTAN,40.77350049526065,-73.99108584214919,"{'latitude': '40.77350049526065', 'longitude': '-73.99108584214919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58858082,2023-09-19T14:54:54.000,2023-10-01T09:03:54.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10023,400 WEST   61 STREET,WEST   61 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-01T00:00:00.000,07 MANHATTAN,1011717513,MANHATTAN,986719,221084,ONLINE,Unspecified,MANHATTAN,40.77350049526065,-73.99108584214919,"{'latitude': '40.77350049526065', 'longitude': '-73.99108584214919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58860082,2023-09-19T14:54:54.000,2023-09-27T20:14:13.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10023,400 WEST   61 STREET,WEST   61 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,07 MANHATTAN,1011717513,MANHATTAN,986719,221084,ONLINE,Unspecified,MANHATTAN,40.77350049526065,-73.99108584214919,"{'latitude': '40.77350049526065', 'longitude': '-73.99108584214919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58867803,2023-09-19T14:54:54.000,2023-09-25T02:03:23.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10023,400 WEST   61 STREET,WEST   61 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,07 MANHATTAN,1011717513,MANHATTAN,986719,221084,ONLINE,Unspecified,MANHATTAN,40.77350049526065,-73.99108584214919,"{'latitude': '40.77350049526065', 'longitude': '-73.99108584214919', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58865965,2023-09-19T14:54:51.000,2023-10-30T07:51:46.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11208,3358 FULTON STREET,FULTON STREET,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-30T00:00:00.000,05 BROOKLYN,3041470035,BROOKLYN,1019831,188421,PHONE,Unspecified,BROOKLYN,40.6837773726474,-73.87171000259592,"{'latitude': '40.6837773726474', 'longitude': '-73.87171000259592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58869788,2023-09-19T14:54:50.000,2023-09-28T09:52:58.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WINDOW/FRAME,RESIDENTIAL BUILDING,10025,220 WEST  107 STREET,WEST  107 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,07 MANHATTAN,1018780042,MANHATTAN,993659,231265,ONLINE,Unspecified,MANHATTAN,40.80143995006633,-73.96601518135098,"{'latitude': '40.80143995006633', 'longitude': '-73.96601518135098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58858051,2023-09-19T14:54:50.000,2023-09-28T09:52:58.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,10025,220 WEST  107 STREET,WEST  107 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,07 MANHATTAN,1018780042,MANHATTAN,993659,231265,ONLINE,Unspecified,MANHATTAN,40.80143995006633,-73.96601518135098,"{'latitude': '40.80143995006633', 'longitude': '-73.96601518135098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58863869,2023-09-19T14:54:50.000,2023-09-28T09:52:57.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10025,220 WEST  107 STREET,WEST  107 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,07 MANHATTAN,1018780042,MANHATTAN,993659,231265,ONLINE,Unspecified,MANHATTAN,40.80143995006633,-73.96601518135098,"{'latitude': '40.80143995006633', 'longitude': '-73.96601518135098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58867746,2023-09-19T14:54:50.000,2023-09-28T09:52:57.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10025,220 WEST  107 STREET,WEST  107 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,07 MANHATTAN,1018780042,MANHATTAN,993659,231265,ONLINE,Unspecified,MANHATTAN,40.80143995006633,-73.96601518135098,"{'latitude': '40.80143995006633', 'longitude': '-73.96601518135098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58867939,2023-09-19T14:54:50.000,2023-09-28T09:52:58.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10025,220 WEST  107 STREET,WEST  107 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-28T00:00:00.000,07 MANHATTAN,1018780042,MANHATTAN,993659,231265,ONLINE,Unspecified,MANHATTAN,40.80143995006633,-73.96601518135098,"{'latitude': '40.80143995006633', 'longitude': '-73.96601518135098', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,
58866469,2023-09-19T14:54:47.000,2023-09-20T09:47:12.000,DOT,Department of Transportation,Street Condition,Plate Condition - Noisy,Street,10023,CENTRAL PARK WEST,CENTRAL PARK WEST,INTERSECTION,,Closed,"The Department of Transportation inspected the condition and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If the condition still exists, a summons will be issued. In some cases, the Department of Transportation will make the repairs and charge the responsible party for the costs.",2023-09-20T09:47:16.000,07 MANHATTAN,,MANHATTAN,991047,222323,ONLINE,Unspecified,MANHATTAN,40.77689895647993,-73.97545863757868,"{'latitude': '40.77689895647993', 'longitude': '-73.97545863757868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CENTRAL PARK WEST,WEST   73 STREET,CENTRAL PARK WEST,WEST   73 STREET,,,,,,,,
58857424,2023-09-19T14:54:39.000,2023-09-19T15:14:20.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11219,14 AVENUE,14 AVENUE,INTERSECTION,,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-19T15:14:25.000,12 BROOKLYN,,BROOKLYN,987049,170149,PHONE,Unspecified,BROOKLYN,40.633695824304766,-73.98991557019606,"{'latitude': '40.633695824304766', 'longitude': '-73.98991557019606', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14 AVENUE,49 STREET,14 AVENUE,49 STREET,,,,,,,,
