unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,taxi_pick_up_location,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,vehicle_type,due_date
58949032,2023-09-28T17:07:37.000,2023-10-24T09:56:22.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10457,1750 GRAND CONCOURSE,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-24T00:00:00.000,05 BRONX,BRONX,1009070,247425,PHONE,Unspecified,BRONX,40.84576469334086,-73.91029170194108,"{'latitude': '40.84576469334086', 'longitude': '-73.91029170194108', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2028250010,,,,,,,,
58953009,2023-09-28T17:07:36.000,2023-09-29T10:12:56.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Street,11416,97-31 89 STREET,89 STREET,97 AVENUE,101 AVENUE,97 AVENUE,101 AVENUE,ADDRESS,OZONE PARK,89 STREET,Closed,NYC Parks does not perform tree work for phone or cable service. Please contact the appropriate service provider.,2023-09-29T10:13:03.000,09 QUEENS,QUEENS,1025349,188595,ONLINE,Unspecified,QUEENS,40.6842310608251,-73.85181340867723,"{'latitude': '40.6842310608251', 'longitude': '-73.85181340867723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4090630046,,,,,,,,
58946406,2023-09-28T17:07:36.000,2023-10-25T16:14:17.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10467,3055 WEBSTER AVENUE,WEBSTER AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-25T00:00:00.000,07 BRONX,BRONX,1017770,256288,PHONE,Unspecified,BRONX,40.87006220856346,-73.87880252440455,"{'latitude': '40.87006220856346', 'longitude': '-73.87880252440455', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2033310074,,,,,,,,
58954365,2023-09-28T17:07:24.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,House of Worship,10458,211 EAST KINGSBRIDGE ROAD,EAST KINGSBRIDGE ROAD,GRAND CONCOURSE,BEND,GRAND CONCOURSE,BEND,ADDRESS,BRONX,EAST KINGSBRIDGE ROAD,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-28T17:56:38.000,07 BRONX,BRONX,1013597,254730,PHONE,Unspecified,BRONX,40.86580083675086,-73.89389754980473,"{'latitude': '40.86580083675086', 'longitude': '-73.89389754980473', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2033040001,,,,,,,,
58952836,2023-09-28T17:06:46.000,2023-10-11T09:16:17.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,11215,242 13 STREET,13 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,13 STREET,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-10-11T09:16:25.000,06 BROOKLYN,BROOKLYN,987173,182399,UNKNOWN,Unspecified,BROOKLYN,40.66731937204277,-73.98946350574181,"{'latitude': '40.66731937204277', 'longitude': '-73.98946350574181', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58953063,2023-09-28T17:05:40.000,2023-09-29T10:39:22.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Sewage Odor,Other (Explain Below),11421,91-01 76 STREET,76 STREET,91 AVENUE,ROCKAWAY BOULEVARD,91 AVENUE,ROCKAWAY BOULEVARD,ADDRESS,WOODHAVEN,76 STREET,Closed,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.",2023-09-29T10:39:22.000,09 QUEENS,QUEENS,1021866,189279,PHONE,Unspecified,QUEENS,40.686123969500066,-73.86436787699343,"{'latitude': '40.686123969500066', 'longitude': '-73.86436787699343', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4089500049,,,,,,,,
58952812,2023-09-28T17:05:21.000,2023-09-28T20:30:36.000,NYPD,New York City Police Department,Animal-Abuse,Neglected,Residential Building/House,11364,75-05 210 STREET,210 STREET,75 AVENUE,DEAD END,75 AVENUE,DEAD END,ADDRESS,OAKLAND GARDENS,210 STREET,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-28T20:30:41.000,11 QUEENS,QUEENS,1050048,207891,PHONE,Unspecified,QUEENS,40.73704465828769,-73.76257044930473,"{'latitude': '40.73704465828769', 'longitude': '-73.76257044930473', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4077480400,,,,,,,,
58949986,2023-09-28T17:05:11.000,2023-09-28T18:20:19.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11229,1719 QUENTIN ROAD,QUENTIN ROAD,EAST   17 STREET,EAST   18 STREET,EAST   17 STREET,EAST   18 STREET,ADDRESS,BROOKLYN,QUENTIN ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T18:20:23.000,15 BROOKLYN,BROOKLYN,996458,160974,ONLINE,Unspecified,BROOKLYN,40.608504395199596,-73.95603277283551,"{'latitude': '40.608504395199596', 'longitude': '-73.95603277283551', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58953867,2023-09-28T17:04:54.000,2023-10-01T09:04:36.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10033,370 FT WASHINGTON AVENUE,FT WASHINGTON AVENUE,,,,,ADDRESS,NEW YORK,,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-01T00:00:00.000,12 MANHATTAN,MANHATTAN,1000949,248059,PHONE,Unspecified,MANHATTAN,40.84752392884855,-73.9396422906956,"{'latitude': '40.84752392884855', 'longitude': '-73.9396422906956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1021420178,,,,,,,,
58954196,2023-09-28T17:04:49.000,2023-10-12T10:16:49.000,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,11203,649 EAST   34 STREET,EAST   34 STREET,AVENUE D,NEWKIRK AVENUE,AVENUE D,NEWKIRK AVENUE,ADDRESS,BROOKLYN,EAST   34 STREET,Closed,The Department of Transportation requires 30 days to respond to this type of complaint. Please note your Service Request number for future reference.,2023-10-12T10:16:54.000,17 BROOKLYN,BROOKLYN,999630,172683,ONLINE,Unspecified,BROOKLYN,40.64063820281482,-73.9445821089903,"{'latitude': '40.64063820281482', 'longitude': '-73.9445821089903', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58955111,2023-09-28T17:04:38.000,,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10002,221 HENRY STREET,HENRY STREET,,,,,ADDRESS,NEW YORK,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-28T00:00:00.000,03 MANHATTAN,MANHATTAN,988038,199297,ONLINE,Unspecified,MANHATTAN,40.71370015963519,-73.98633595177245,"{'latitude': '40.71370015963519', 'longitude': '-73.98633595177245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1002860007,,,,,,,,
58955102,2023-09-28T17:04:38.000,2023-10-19T20:54:59.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10002,221 HENRY STREET,HENRY STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-19T00:00:00.000,03 MANHATTAN,MANHATTAN,988038,199297,ONLINE,Unspecified,MANHATTAN,40.71370015963519,-73.98633595177245,"{'latitude': '40.71370015963519', 'longitude': '-73.98633595177245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1002860007,,,,,,,,
58953801,2023-09-28T17:04:38.000,2023-10-19T20:55:00.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10002,221 HENRY STREET,HENRY STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-19T00:00:00.000,03 MANHATTAN,MANHATTAN,988038,199297,ONLINE,Unspecified,MANHATTAN,40.71370015963519,-73.98633595177245,"{'latitude': '40.71370015963519', 'longitude': '-73.98633595177245', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1002860007,,,,,,,,
58953745,2023-09-28T17:04:36.000,2023-09-28T17:45:42.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11355,41-31 HAIGHT STREET,HAIGHT STREET,41 AVENUE,SANFORD AVENUE,41 AVENUE,SANFORD AVENUE,ADDRESS,FLUSHING,HAIGHT STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T17:45:47.000,07 QUEENS,QUEENS,1030152,214516,PHONE,Unspecified,QUEENS,40.7553542275785,-73.83431897555259,"{'latitude': '40.7553542275785', 'longitude': '-73.83431897555259', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58954013,2023-09-28T17:04:34.000,2023-10-02T13:00:00.000,DOT,Department of Transportation,Street Condition,Pothole,,11373,,,,,88 STREET,ST JAMES AVENUE,INTERSECTION,QUEENS,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-10-02T13:00:00.000,04 QUEENS,QUEENS,1018346,209277,UNKNOWN,Unspecified,QUEENS,40.74102791284205,-73.87695865082588,"{'latitude': '40.74102791284205', 'longitude': '-73.87695865082588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,N/A,,,,,,
58953708,2023-09-28T17:04:20.000,2023-09-28T17:15:45.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10019,439 WEST   49 STREET,WEST   49 STREET,9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,ADDRESS,NEW YORK,WEST   49 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T17:15:49.000,04 MANHATTAN,MANHATTAN,986854,217393,ONLINE,Unspecified,MANHATTAN,40.76336962022816,-73.99059986380111,"{'latitude': '40.76336962022816', 'longitude': '-73.99059986380111', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1010590015,,,,,,,,
58953437,2023-09-28T17:04:13.000,2023-09-28T21:23:24.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11432,CROYDEN ROAD,CROYDEN ROAD,CROYDEN ROAD,MAYFIELD ROAD,CROYDEN ROAD,MAYFIELD ROAD,INTERSECTION,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T21:23:27.000,08 QUEENS,QUEENS,1042570,200569,PHONE,Unspecified,QUEENS,40.717000080943976,-73.7896178695798,"{'latitude': '40.717000080943976', 'longitude': '-73.7896178695798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58949676,2023-09-28T17:03:57.000,2023-11-08T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,11385,1877 GATES AVENUE,GATES AVENUE,,,,,ADDRESS,RIDGEWOOD,,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-11-08T00:00:00.000,05 QUEENS,QUEENS,1010062,196053,UNKNOWN,Unspecified,QUEENS,40.704759311490065,-73.90690359713759,"{'latitude': '40.704759311490065', 'longitude': '-73.90690359713759', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4034670055,,,,,,,,
58951202,2023-09-28T17:03:56.000,2023-09-29T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,11237,180 NOLL STREET,NOLL STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-29T00:00:00.000,04 BROOKLYN,BROOKLYN,1003617,195743,UNKNOWN,Unspecified,BROOKLYN,40.703924888069885,-73.9301497242385,"{'latitude': '40.703924888069885', 'longitude': '-73.9301497242385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3031550014,,,,,,,,
58948903,2023-09-28T17:03:53.000,2023-09-28T17:31:10.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11231,105 BUTLER STREET,BUTLER STREET,SMITH STREET,HOYT STREET,SMITH STREET,HOYT STREET,ADDRESS,BROOKLYN,BUTLER STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T17:31:13.000,06 BROOKLYN,BROOKLYN,986745,188376,ONLINE,Unspecified,BROOKLYN,40.6837250212309,-73.99100409830035,"{'latitude': '40.6837250212309', 'longitude': '-73.99100409830035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58955310,2023-09-28T17:03:13.000,2023-09-28T22:38:22.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11385,CATALPA AVENUE,CATALPA AVENUE,CATALPA AVENUE,SHALER AVENUE,CATALPA AVENUE,SHALER AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T22:38:26.000,05 QUEENS,QUEENS,1014397,196169,PHONE,Unspecified,QUEENS,40.705063996543075,-73.89126800414233,"{'latitude': '40.705063996543075', 'longitude': '-73.89126800414233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58955708,2023-09-28T17:03:01.000,2023-10-04T14:42:44.000,DSNY,Department of Sanitation,Obstruction,Cone,Street,11204,1615 61 STREET,61 STREET,16 AVENUE,17 AVENUE,16 AVENUE,17 AVENUE,ADDRESS,BROOKLYN,61 STREET,Closed,The Department of Sanitation will address the situation at the location by providing educational outreach about proper sanitation procedures.,2023-10-03T13:43:13.000,12 BROOKLYN,BROOKLYN,986490,166583,ONLINE,Unspecified,BROOKLYN,40.623908064757124,-73.99193075735968,"{'latitude': '40.623908064757124', 'longitude': '-73.99193075735968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3055170001,,,,,,,,
58948224,2023-09-28T17:02:46.000,2023-10-02T22:50:56.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11211,179 BEDFORD AVENUE,BEDFORD AVENUE,NORTH    8 STREET,NORTH    7 STREET,NORTH    8 STREET,NORTH    7 STREET,ADDRESS,BROOKLYN,BEDFORD AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-10-02T22:50:58.000,01 BROOKLYN,BROOKLYN,996024,200869,ONLINE,Unspecified,BROOKLYN,40.718007899441545,-73.95752615955125,"{'latitude': '40.718007899441545', 'longitude': '-73.95752615955125', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58948938,2023-09-28T17:02:31.000,2023-10-19T13:47:33.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11226,280 EAST   21 STREET,EAST   21 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-19T00:00:00.000,14 BROOKLYN,BROOKLYN,995484,175268,PHONE,Unspecified,BROOKLYN,40.647739699497876,-73.95951685098144,"{'latitude': '40.647739699497876', 'longitude': '-73.95951685098144', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3051010044,,,,,,,,
58947821,2023-09-28T17:02:03.000,2023-10-03T15:02:55.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10039,230 WEST  150 STREET,WEST  150 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-03T00:00:00.000,10 MANHATTAN,MANHATTAN,1001475,239932,PHONE,Unspecified,MANHATTAN,40.825216661516,-73.93776196109727,"{'latitude': '40.825216661516', 'longitude': '-73.93776196109727', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1020350001,,,,,,,,
58948460,2023-09-28T17:02:00.000,2023-09-29T09:45:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,11361,202-18 47 AVENUE,47 AVENUE,202 ST,204 ST,,,ADDRESS,BAYSIDE,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-29T09:45:00.000,11 QUEENS,QUEENS,1045491,214022,ONLINE,Unspecified,QUEENS,40.753905391609166,-73.77895831007001,"{'latitude': '40.753905391609166', 'longitude': '-73.77895831007001', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4055610019,,,,,,,,
58947873,2023-09-28T17:02:00.000,2023-09-29T08:07:00.000,DEP,Department of Environmental Protection,Water System,No Water (WNW),,11220,357 56 STREET,56 STREET,GOWANUS EXPWY EB EN BELT PKWY,4 AVE,,,ADDRESS,BROOKLYN,,Closed,The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,2023-09-29T08:07:00.000,07 BROOKLYN,BROOKLYN,979555,173770,PHONE,Unspecified,BROOKLYN,40.64363389348695,-74.01691798855695,"{'latitude': '40.64363389348695', 'longitude': '-74.01691798855695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3008300051,,,,,,,,
58952455,2023-09-28T17:01:42.000,2023-09-28T19:41:16.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11207,585 BLAKE AVENUE,BLAKE AVENUE,ALABAMA AVENUE,GEORGIA AVENUE,ALABAMA AVENUE,GEORGIA AVENUE,ADDRESS,BROOKLYN,BLAKE AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T19:41:20.000,05 BROOKLYN,BROOKLYN,1012738,182472,ONLINE,Unspecified,BROOKLYN,40.667474390214934,-73.89730947175362,"{'latitude': '40.667474390214934', 'longitude': '-73.89730947175362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3037690001,,,,,,,,
58946974,2023-09-28T17:01:34.000,2023-09-29T09:39:12.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10471,6255 BROADWAY,BROADWAY,WEST  252 STREET,LAKEVIEW PLACE,WEST  252 STREET,LAKEVIEW PLACE,ADDRESS,BRONX,BROADWAY,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-29T09:36:57.000,08 BRONX,BRONX,1012720,266455,ONLINE,Unspecified,BRONX,40.89798515853873,-73.8970184556566,"{'latitude': '40.89798515853873', 'longitude': '-73.8970184556566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
