unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,taxi_pick_up_location,landmark,facility_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,taxi_company_borough,road_ramp
58915511,2023-09-25T00:35:49.000,2023-09-25T00:35:49.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10021,1385 YORK AVENUE,YORK AVENUE,ADDRESS,NEW YORK,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-25T00:35:49.000,08 MANHATTAN,1014680021,MANHATTAN,997276,219058,MOBILE,Unspecified,MANHATTAN,40.767930401380234,-73.9529744373984,"{'latitude': '40.767930401380234', 'longitude': '-73.9529744373984', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST 73 STREET,EAST 74 STREET,EAST   73 STREET,EAST   74 STREET,,YORK AVENUE,,,,,,
58911151,2023-09-25T00:35:48.000,2023-09-25T00:49:00.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11204,4412 18 AVENUE,18 AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T00:49:05.000,12 BROOKLYN,3054070088,BROOKLYN,990483,169015,MOBILE,Unspecified,BROOKLYN,40.630581483730566,-73.97754436645052,"{'latitude': '40.630581483730566', 'longitude': '-73.97754436645052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MCDONALD AVENUE,45 STREET,MCDONALD AVENUE,45 STREET,,18 AVENUE,,,,,,
58915030,2023-09-25T00:35:43.000,2023-09-25T00:50:26.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11234,1099 EAST   56 STREET,EAST   56 STREET,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T00:50:30.000,18 BROOKLYN,3077820013,BROOKLYN,1005863,168488,PHONE,Unspecified,BROOKLYN,40.62911080721407,-73.92213653592216,"{'latitude': '40.62911080721407', 'longitude': '-73.92213653592216', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLATLANDS AVENUE,AVENUE J,FLATLANDS AVENUE,AVENUE J,,EAST   56 STREET,,,,,,
58911040,2023-09-25T00:35:29.000,2023-09-25T00:50:35.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11218,395 STRATFORD ROAD,STRATFORD ROAD,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T00:50:38.000,14 BROOKLYN,3051540059,BROOKLYN,993201,172018,ONLINE,Unspecified,BROOKLYN,40.6388217507208,-73.9677482433288,"{'latitude': '40.6388217507208', 'longitude': '-73.9677482433288', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CORTELYOU ROAD,DORCHESTER ROAD,CORTELYOU ROAD,DORCHESTER ROAD,,STRATFORD ROAD,,,,,,
58910814,2023-09-25T00:34:40.000,2023-09-25T01:22:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11214,8320 BAY PARKWAY,BAY PARKWAY,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T01:23:05.000,11 BROOKLYN,3063300038,BROOKLYN,986411,159145,MOBILE,Unspecified,BROOKLYN,40.60349230966157,-73.99221772269495,"{'latitude': '40.60349230966157', 'longitude': '-73.99221772269495', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",83 STREET,84 STREET,83 STREET,84 STREET,,BAY PARKWAY,,,,,,
58913596,2023-09-25T00:34:03.000,2023-09-25T01:11:25.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10454,EAST  136 STREET,EAST  136 STREET,INTERSECTION,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T01:11:28.000,01 BRONX,,BRONX,1008533,231820,ONLINE,Unspecified,BRONX,40.80293491429431,-73.91228908460891,"{'latitude': '40.80293491429431', 'longitude': '-73.91228908460891', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  136 STREET,WILLOW AVENUE,EAST  136 STREET,WILLOW AVENUE,,,,,,,,
58910303,2023-09-25T00:33:04.000,2023-09-25T01:10:07.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10473,750 CROES AVENUE,CROES AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-25T01:10:12.000,09 BRONX,2035930001,BRONX,1020702,237855,ONLINE,Unspecified,BRONX,40.81945746913976,-73.86830157809531,"{'latitude': '40.81945746913976', 'longitude': '-73.86830157809531', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SEWARD AVENUE,CROES PLACE,SEWARD AVENUE,CROES PLACE,,CROES AVENUE,,,,,,
58915210,2023-09-25T00:32:37.000,2023-09-25T01:03:33.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10459,930 FOX STREET,FOX STREET,ADDRESS,BRONX,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-25T01:03:42.000,02 BRONX,2027230006,BRONX,1013624,238275,ONLINE,Unspecified,BRONX,40.82063662196181,-73.89387201026959,"{'latitude': '40.82063662196181', 'longitude': '-73.89387201026959', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BARRETTO STREET,EAST  163 STREET,BARRETTO STREET,EAST  163 STREET,,FOX STREET,,,,,,
58919888,2023-09-25T00:32:00.000,2023-09-25T17:38:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10029,,,INTERSECTION,MANHATTAN,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-25T17:38:00.000,11 MANHATTAN,,MANHATTAN,1001995,229037,ONLINE,Unspecified,MANHATTAN,40.79531188959689,-73.93591187879208,"{'latitude': '40.79531188959689', 'longitude': '-73.93591187879208', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,1 AVENUE,EAST 115 STREET,,,N/A,,,,,
58910820,2023-09-25T00:31:47.000,2023-09-25T01:13:00.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11213,1675 CARROLL STREET,CARROLL STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T01:13:03.000,09 BROOKLYN,3014090072,BROOKLYN,1003498,181959,MOBILE,Unspecified,BROOKLYN,40.66609122973476,-73.9306182935192,"{'latitude': '40.66609122973476', 'longitude': '-73.9306182935192', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",UTICA AVENUE,FORD STREET,UTICA AVENUE,FORD STREET,,CARROLL STREET,,,,,,
58913062,2023-09-25T00:31:29.000,2023-09-25T04:59:02.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10466,3923 CARPENTER AVENUE,CARPENTER AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T04:59:08.000,12 BRONX,2048190013,BRONX,1021835,262618,ONLINE,Unspecified,BRONX,40.88741970287771,-73.86406930615193,"{'latitude': '40.88741970287771', 'longitude': '-73.86406930615193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  223 STREET,EAST  224 STREET,EAST  223 STREET,EAST  224 STREET,,CARPENTER AVENUE,,,,,,
58914328,2023-09-25T00:30:55.000,2023-09-25T01:06:06.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11208,551 RIDGEWOOD AVENUE,RIDGEWOOD AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T01:06:12.000,05 BROOKLYN,3041220001,BROOKLYN,1020666,189388,MOBILE,Unspecified,BROOKLYN,40.68642816773911,-73.86869412484374,"{'latitude': '40.68642816773911', 'longitude': '-73.86869412484374', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NICHOLS AVENUE,GRANT AVENUE,NICHOLS AVENUE,GRANT AVENUE,,RIDGEWOOD AVENUE,,,,,,
58910589,2023-09-25T00:30:54.000,2023-09-25T03:25:13.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11370,30-12 79 STREET,79 STREET,ADDRESS,EAST ELMHURST,Closed,The Police Department issued a summons in response to the complaint.,2023-09-25T03:25:16.000,03 QUEENS,4011270011,QUEENS,1014964,216391,ONLINE,Unspecified,QUEENS,40.7605664219791,-73.88913068015577,"{'latitude': '40.7605664219791', 'longitude': '-73.88913068015577', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",30 AVENUE,31 AVENUE,30 AVENUE,31 AVENUE,,79 STREET,,,,,,
58915505,2023-09-25T00:30:10.000,2023-09-26T17:08:34.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,10461,3110 SANDS PLACE,SANDS PLACE,ADDRESS,BRONX,Closed,"Under NYC Parksâ Tree Risk Management Program, work is prioritized to address the conditions with the highest risk first.  NYC Parks determined that the issue will be addressed in the next pruning cycle through the routine block pruning program.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-26T17:08:38.000,10 BRONX,2042370010,BRONX,1031438,249341,PHONE,Unspecified,BRONX,40.85093233403,-73.8294324745314,"{'latitude': '40.85093233403', 'longitude': '-73.8294324745314', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WESTCHESTER AVENUE,SCHUYLER PLACE,WESTCHESTER AVENUE,SCHUYLER PLACE,,SANDS PLACE,,,,,,
58912217,2023-09-25T00:29:22.000,2023-09-25T02:59:35.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10454,BROOK AVENUE,BROOK AVENUE,INTERSECTION,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T02:59:41.000,01 BRONX,,BRONX,1006227,232807,PHONE,Unspecified,BRONX,40.80564999345584,-73.92061518928583,"{'latitude': '40.80564999345584', 'longitude': '-73.92061518928583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOK AVENUE,EAST  135 STREET,BROOK AVENUE,EAST  135 STREET,,,,,,,,
58923347,2023-09-25T00:29:00.000,2023-09-25T17:40:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10029,2225 1 AVENUE,1 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-25T17:40:00.000,11 MANHATTAN,1016840001,MANHATTAN,1001909,228889,ONLINE,Unspecified,MANHATTAN,40.79490584208142,-73.9362228668038,"{'latitude': '40.79490584208142', 'longitude': '-73.9362228668038', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",E 114 ST,E 115 ST,,,,,N/A,,,,,
58917728,2023-09-25T00:29:00.000,2023-09-25T17:38:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10029,339 EAST  115 STREET,EAST  115 STREET,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-25T17:38:00.000,11 MANHATTAN,1016870021,MANHATTAN,1001776,229160,ONLINE,Unspecified,MANHATTAN,40.79564992822559,-73.93670250136257,"{'latitude': '40.79564992822559', 'longitude': '-73.93670250136257', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2 AVE,1 AVE,,,,,N/A,,,,,
58910083,2023-09-25T00:28:10.000,2023-09-25T01:09:01.000,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,11105,21-62 29 STREET,29 STREET,ADDRESS,ASTORIA,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-25T01:09:07.000,01 QUEENS,4008470057,QUEENS,1008941,222567,ONLINE,Unspecified,QUEENS,40.77753679952427,-73.91084939231008,"{'latitude': '40.77753679952427', 'longitude': '-73.91084939231008', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",21 AVENUE,DITMARS BOULEVARD,21 AVENUE,DITMARS BOULEVARD,,29 STREET,,,,,,
58915276,2023-09-25T00:28:03.000,2023-09-25T01:36:34.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11419,107-40 132 STREET,132 STREET,ADDRESS,SOUTH RICHMOND HILL,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T01:36:39.000,10 QUEENS,4096110026,QUEENS,1036291,189671,MOBILE,Unspecified,QUEENS,40.68712685798354,-73.81235272088018,"{'latitude': '40.68712685798354', 'longitude': '-73.81235272088018', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",107 AVENUE,109 AVENUE,107 AVENUE,109 AVENUE,,132 STREET,,,,,,
58916015,2023-09-25T00:27:44.000,2023-09-25T00:47:30.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11354,31-22 UNION STREET,UNION STREET,ADDRESS,FLUSHING,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T00:47:35.000,07 QUEENS,4044147501,QUEENS,1032276,219730,ONLINE,Unspecified,QUEENS,40.7696540062737,-73.82661527049147,"{'latitude': '40.7696540062737', 'longitude': '-73.82661527049147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",31 DRIVE,32 AVENUE,31 DRIVE,32 AVENUE,,UNION STREET,,,,,,
58913180,2023-09-25T00:27:16.000,2023-10-11T06:46:39.000,DSNY,Department of Sanitation,Dead Animal,Raccoon,Street,11364,227-07 64 AVENUE,64 AVENUE,ADDRESS,OAKLAND GARDENS,Closed,The Department of Sanitation removed the items.,2023-09-25T09:54:44.000,11 QUEENS,4076500030,QUEENS,1053445,212205,ONLINE,Unspecified,QUEENS,40.74885953900978,-73.75026819060169,"{'latitude': '40.74885953900978', 'longitude': '-73.75026819060169', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CLOVERDALE BOULEVARD,228 STREET,CLOVERDALE BOULEVARD,228 STREET,,64 AVENUE,,,,,,
58910089,2023-09-25T00:26:34.000,2023-09-25T01:07:54.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11228,8101 14 AVENUE,14 AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T01:07:58.000,11 BROOKLYN,3062930010,BROOKLYN,981796,163515,ONLINE,Unspecified,BROOKLYN,40.61548698650685,-74.00883902829086,"{'latitude': '40.61548698650685', 'longitude': '-74.00883902829086', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",81 STREET,82 STREET,81 STREET,82 STREET,,14 AVENUE,,,,,,
58916039,2023-09-25T00:25:48.000,2023-09-25T01:22:27.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11434,150-28 121 AVENUE,121 AVENUE,ADDRESS,JAMAICA,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T01:22:30.000,12 QUEENS,4122160019,QUEENS,1042334,186131,ONLINE,Unspecified,QUEENS,40.677372797113584,-73.7905937148028,"{'latitude': '40.677372797113584', 'longitude': '-73.7905937148028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SUTPHIN BOULEVARD,153 STREET,SUTPHIN BOULEVARD,153 STREET,,121 AVENUE,,,,,,
58910344,2023-09-25T00:25:35.000,2023-09-25T01:17:54.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11237,179 STARR STREET,STARR STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T01:17:58.000,04 BROOKLYN,3031870036,BROOKLYN,1005272,195793,MOBILE,Unspecified,BROOKLYN,40.704058349224205,-73.92418054089298,"{'latitude': '40.704058349224205', 'longitude': '-73.92418054089298', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",KNICKERBOCKER AVENUE,IRVING AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,,STARR STREET,,,,,,
58910166,2023-09-25T00:25:00.000,2023-09-26T13:23:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Cycling,,10461,3111 SANDS PLACE,SANDS PLACE,INTERSECTION,BRONX,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-26T13:23:00.000,10 BRONX,2042380063,BRONX,1031281,249340,UNKNOWN,Unspecified,BRONX,40.850930427010724,-73.82999997824353,"{'latitude': '40.850930427010724', 'longitude': '-73.82999997824353', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SCHUYLER PL,WESTCHESTER AVE,SANDS PLACE,WESTCHESTER AVENUE,,,,,,,,
58911599,2023-09-25T00:25:00.000,2023-09-25T01:15:38.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10034,77 COOPER STREET,COOPER STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T01:15:43.000,12 MANHATTAN,1022410014,MANHATTAN,1005738,255624,MOBILE,Unspecified,MANHATTAN,40.86827722290935,-73.9223084439249,"{'latitude': '40.86827722290935', 'longitude': '-73.9223084439249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  204 STREET,WEST  207 STREET,WEST  204 STREET,WEST  207 STREET,,COOPER STREET,,,,,,
58915014,2023-09-25T00:24:54.000,2023-09-25T00:41:31.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11228,8102 14 AVENUE,14 AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T00:41:36.000,10 BROOKLYN,3062920038,BROOKLYN,981789,163515,MOBILE,Unspecified,BROOKLYN,40.615486984565344,-74.00886424149282,"{'latitude': '40.615486984565344', 'longitude': '-74.00886424149282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",81 STREET,82 STREET,81 STREET,82 STREET,,14 AVENUE,,,,,,
