unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,due_date,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_company_borough
58788730,2023-09-12T09:23:00.000,2023-10-15T11:50:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11377,,,INTERSECTION,QUEENS,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-15T11:50:00.000,02 QUEENS,,QUEENS,1011803,209262,UNKNOWN,Unspecified,QUEENS,40.74100954676229,-73.90057024365116,"{'latitude': '40.74100954676229', 'longitude': '-73.90057024365116', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,QUEENS BOULEVARD,65 STREET,,N/A,,,,,,,
58791543,2023-09-12T09:23:00.000,2023-10-13T21:00:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),,10075,1470 1 AVENUE,1 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection investigated this complaint and made a repair.,2023-10-13T21:00:00.000,08 MANHATTAN,1014710003,MANHATTAN,997022,220059,PHONE,Unspecified,MANHATTAN,40.770678256276604,-73.9538895081826,"{'latitude': '40.770678256276604', 'longitude': '-73.9538895081826', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",E 76 ST,E 77 ST,,,,,,,,,,,
58789515,2023-09-12T09:22:56.000,2023-09-26T14:26:50.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,11217,639 WARREN STREET,WARREN STREET,ADDRESS,BROOKLYN,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-09-26T14:26:57.000,06 BROOKLYN,3009340058,BROOKLYN,990078,187259,PHONE,Unspecified,BROOKLYN,40.68065754345062,-73.97898769381636,"{'latitude': '40.68065754345062', 'longitude': '-73.97898769381636', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,WARREN STREET,,,,,,,,
58793858,2023-09-12T09:22:55.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,11210,1258 EAST   29 STREET,EAST   29 STREET,ADDRESS,BROOKLYN,In Progress,,,14 BROOKLYN,3076460069,BROOKLYN,999041,165359,ONLINE,Unspecified,BROOKLYN,40.62053637693242,-73.94672047047096,"{'latitude': '40.62053637693242', 'longitude': '-73.94672047047096', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE L,AVENUE M,AVENUE L,AVENUE M,EAST   29 STREET,,,,,,,,
58791026,2023-09-12T09:22:37.000,,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,11238,409 LINCOLN PLACE,LINCOLN PLACE,ADDRESS,BROOKLYN,In Progress,,2023-09-18T15:47:42.000,08 BROOKLYN,3011770001,BROOKLYN,994655,184308,PHONE,Unspecified,BROOKLYN,40.67255351830959,-73.96249030803997,"{'latitude': '40.67255351830959', 'longitude': '-73.96249030803997', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WASHINGTON AVENUE,CLASSON AVENUE,WASHINGTON AVENUE,CLASSON AVENUE,LINCOLN PLACE,,,,,,,,
58798027,2023-09-12T09:22:31.000,2023-09-12T10:22:01.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10065,EAST   68 STREET,EAST   68 STREET,INTERSECTION,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T10:22:05.000,08 MANHATTAN,,MANHATTAN,994201,219031,PHONE,Unspecified,MANHATTAN,40.767860289547606,-73.96407562786298,"{'latitude': '40.767860289547606', 'longitude': '-73.96407562786298', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   68 STREET,LEXINGTON AVENUE,EAST   68 STREET,LEXINGTON AVENUE,,,,,,,,,
58788903,2023-09-12T09:22:23.000,2023-09-12T09:56:23.000,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10451,891 BROOK AVENUE,BROOK AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T09:56:29.000,03 BRONX,,BRONX,1009028,239157,PHONE,Unspecified,BRONX,40.8230715489424,-73.91047404621315,"{'latitude': '40.8230715489424', 'longitude': '-73.91047404621315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3 AVENUE,EAST  161 STREET,3 AVENUE,EAST  161 STREET,BROOK AVENUE,,,,,,,,
58789739,2023-09-12T09:22:20.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Street,11210,1258 EAST   29 STREET,EAST   29 STREET,ADDRESS,BROOKLYN,In Progress,,,14 BROOKLYN,3076460069,BROOKLYN,999041,165359,ONLINE,Unspecified,BROOKLYN,40.62053637693242,-73.94672047047096,"{'latitude': '40.62053637693242', 'longitude': '-73.94672047047096', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE L,AVENUE M,AVENUE L,AVENUE M,EAST   29 STREET,,,,,,,,
58797430,2023-09-12T09:22:18.000,2023-09-12T10:23:24.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10314,191 BRAISTED AVENUE,BRAISTED AVENUE,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-12T10:23:27.000,02 STATEN ISLAND,5023770024,STATEN ISLAND,941257,154483,PHONE,Unspecified,STATEN ISLAND,40.5905920554249,-74.15479823531528,"{'latitude': '40.5905920554249', 'longitude': '-74.15479823531528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",DENKER PLACE,NEHRING AVENUE,DENKER PLACE,NEHRING AVENUE,BRAISTED AVENUE,,,,,,,,
58788966,2023-09-12T09:22:15.000,2023-09-12T18:23:15.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,213 CYPRESS AVENUE,CYPRESS AVENUE,ADDRESS,RIDGEWOOD,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-12T18:23:18.000,05 QUEENS,4034170081,QUEENS,1006525,197262,MOBILE,Unspecified,QUEENS,40.7080873406085,-73.91965652385453,"{'latitude': '40.7080873406085', 'longitude': '-73.91965652385453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STARR STREET,WILLOUGHBY AVENUE,STARR STREET,WILLOUGHBY AVENUE,CYPRESS AVENUE,,,,,,,,
58793822,2023-09-12T09:22:13.000,2023-10-13T11:35:54.000,DPR,Department of Parks and Recreation,Damaged Tree,Tree Alive - in Poor Condition,Street,11229,2923 FILLMORE AVENUE,FILLMORE AVENUE,ADDRESS,BROOKLYN,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-10-13T11:36:00.000,18 BROOKLYN,3084730001,BROOKLYN,1001446,160874,UNKNOWN,Unspecified,BROOKLYN,40.60822164001657,-73.9380687035261,"{'latitude': '40.60822164001657', 'longitude': '-73.9380687035261', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MADISON PLACE,MARINE PARKWAY,MADISON PLACE,MARINE PARKWAY,FILLMORE AVENUE,,,,,,,,
58794673,2023-09-12T09:22:00.000,2023-09-12T10:35:00.000,DOT,Department of Transportation,Traffic Signal Condition,Veh Sgnl Mult Lamps,,10029,,,INTERSECTION,MANHATTAN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-12T10:35:00.000,11 MANHATTAN,,MANHATTAN,998671,226050,UNKNOWN,Unspecified,MANHATTAN,40.78711943010513,-73.94792329976002,"{'latitude': '40.78711943010513', 'longitude': '-73.94792329976002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,3 AVENUE,EAST 99 STREET,,N/A,,,,,,,
58798469,2023-09-12T09:21:46.000,2023-09-25T10:04:02.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,10029,115 EAST  116 STREET,EAST  116 STREET,ADDRESS,NEW YORK,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-14T05:07:17.000,11 MANHATTAN,1016440008,MANHATTAN,1000184,230373,PHONE,Unspecified,MANHATTAN,40.7989822967647,-73.94244934283556,"{'latitude': '40.7989822967647', 'longitude': '-73.94244934283556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",PARK AVENUE,LEXINGTON AVENUE,PARK AVENUE,LEXINGTON AVENUE,EAST  116 STREET,,,,,,,,
58790553,2023-09-12T09:21:33.000,2023-09-24T15:04:40.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11226,2401 NEWKIRK AVENUE,NEWKIRK AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-24T00:00:00.000,17 BROOKLYN,3052110026,BROOKLYN,997007,172321,PHONE,Unspecified,BROOKLYN,40.63964875682105,-73.95403410025646,"{'latitude': '40.63964875682105', 'longitude': '-73.95403410025646', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58791489,2023-09-12T09:21:29.000,2023-10-13T00:01:11.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Supermarket or Grocery Store,Business,11219,5915 FORT HAMILTON PARKWAY,FORT HAMILTON PARKWAY,ADDRESS,BROOKLYN,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,2023-10-13T00:01:19.000,12 BROOKLYN,3057080062,BROOKLYN,982862,170059,PHONE,Unspecified,BROOKLYN,40.63344912687361,-74.005000763416,"{'latitude': '40.63344912687361', 'longitude': '-74.005000763416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",59 STREET,60 STREET,59 STREET,60 STREET,FORT HAMILTON PARKWAY,,,,,,,,
58790955,2023-09-12T09:21:19.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11369,32 AVENUE,32 AVENUE,INTERSECTION,,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-28T11:49:44.000,03 QUEENS,,QUEENS,1020058,215821,ONLINE,Unspecified,QUEENS,40.758982755971395,-73.87074576429843,"{'latitude': '40.758982755971395', 'longitude': '-73.87074576429843', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32 AVENUE,98 STREET,32 AVENUE,98 STREET,,,,,,,,,
58790775,2023-09-12T09:21:16.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10029,322 EAST  116 STREET,EAST  116 STREET,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-12T00:00:00.000,11 MANHATTAN,1016870041,MANHATTAN,1001692,229531,PHONE,Unspecified,MANHATTAN,40.79666838847821,-73.93700491492574,"{'latitude': '40.79666838847821', 'longitude': '-73.93700491492574', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58794876,2023-09-12T09:21:14.000,2023-09-19T16:40:49.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11226,530 PARKSIDE AVENUE,PARKSIDE AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-19T00:00:00.000,09 BROOKLYN,3050560014,BROOKLYN,996619,178251,PHONE,Unspecified,BROOKLYN,40.6559258716174,-73.9554212641334,"{'latitude': '40.6559258716174', 'longitude': '-73.9554212641334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58797935,2023-09-12T09:21:14.000,2023-09-19T16:40:49.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11226,530 PARKSIDE AVENUE,PARKSIDE AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,09 BROOKLYN,3050560014,BROOKLYN,996619,178251,PHONE,Unspecified,BROOKLYN,40.6559258716174,-73.9554212641334,"{'latitude': '40.6559258716174', 'longitude': '-73.9554212641334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58790598,2023-09-12T09:21:14.000,2023-09-19T16:40:49.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,11226,530 PARKSIDE AVENUE,PARKSIDE AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-19T00:00:00.000,09 BROOKLYN,3050560014,BROOKLYN,996619,178251,PHONE,Unspecified,BROOKLYN,40.6559258716174,-73.9554212641334,"{'latitude': '40.6559258716174', 'longitude': '-73.9554212641334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58793547,2023-09-12T09:21:14.000,2023-09-19T16:40:49.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11226,530 PARKSIDE AVENUE,PARKSIDE AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-19T00:00:00.000,09 BROOKLYN,3050560014,BROOKLYN,996619,178251,PHONE,Unspecified,BROOKLYN,40.6559258716174,-73.9554212641334,"{'latitude': '40.6559258716174', 'longitude': '-73.9554212641334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58799350,2023-09-12T09:21:14.000,2023-09-19T16:40:49.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11226,530 PARKSIDE AVENUE,PARKSIDE AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-19T00:00:00.000,09 BROOKLYN,3050560014,BROOKLYN,996619,178251,PHONE,Unspecified,BROOKLYN,40.6559258716174,-73.9554212641334,"{'latitude': '40.6559258716174', 'longitude': '-73.9554212641334', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58789218,2023-09-12T09:21:08.000,2023-09-21T18:10:26.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11216,57 HERKIMER STREET,HERKIMER STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-21T00:00:00.000,03 BROOKLYN,3018600074,BROOKLYN,997738,186928,PHONE,Unspecified,BROOKLYN,40.67974066599325,-73.95137095040135,"{'latitude': '40.67974066599325', 'longitude': '-73.95137095040135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58792023,2023-09-12T09:21:08.000,2023-09-21T18:10:28.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11216,57 HERKIMER STREET,HERKIMER STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,03 BROOKLYN,3018600074,BROOKLYN,997738,186928,PHONE,Unspecified,BROOKLYN,40.67974066599325,-73.95137095040135,"{'latitude': '40.67974066599325', 'longitude': '-73.95137095040135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58794880,2023-09-12T09:21:08.000,2023-09-21T18:10:28.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11216,57 HERKIMER STREET,HERKIMER STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,03 BROOKLYN,3018600074,BROOKLYN,997738,186928,PHONE,Unspecified,BROOKLYN,40.67974066599325,-73.95137095040135,"{'latitude': '40.67974066599325', 'longitude': '-73.95137095040135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58794967,2023-09-12T09:21:08.000,2023-09-21T18:10:28.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11216,57 HERKIMER STREET,HERKIMER STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,03 BROOKLYN,3018600074,BROOKLYN,997738,186928,PHONE,Unspecified,BROOKLYN,40.67974066599325,-73.95137095040135,"{'latitude': '40.67974066599325', 'longitude': '-73.95137095040135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58796425,2023-09-12T09:21:08.000,2023-09-21T18:10:27.000,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11216,57 HERKIMER STREET,HERKIMER STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,03 BROOKLYN,3018600074,BROOKLYN,997738,186928,PHONE,Unspecified,BROOKLYN,40.67974066599325,-73.95137095040135,"{'latitude': '40.67974066599325', 'longitude': '-73.95137095040135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
58799395,2023-09-12T09:21:08.000,2023-09-21T18:10:28.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,11216,57 HERKIMER STREET,HERKIMER STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-21T00:00:00.000,03 BROOKLYN,3018600074,BROOKLYN,997738,186928,PHONE,Unspecified,BROOKLYN,40.67974066599325,-73.95137095040135,"{'latitude': '40.67974066599325', 'longitude': '-73.95137095040135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,
