unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp,due_date,taxi_company_borough,taxi_pick_up_location
58887225,2023-09-21T07:26:13.000,2023-09-26T14:17:32.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10037,60 WEST  142 STREET,WEST  142 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,10 MANHATTAN,1017370059,MANHATTAN,1001843,237298,PHONE,Unspecified,MANHATTAN,40.81798635263026,-73.93643919542686,"{'latitude': '40.81798635263026', 'longitude': '-73.93643919542686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881481,2023-09-21T07:26:04.000,2023-09-21T09:34:46.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10472,PS   47,PS   47,ST LAWRENCE AVENUE,BEACH AVENUE,ST LAWRENCE AVENUE,BEACH AVENUE,UNRECOGNIZED,BRONX,PS   47,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T09:34:50.000,09 BRONX,2037860016,BRONX,1021059,242659,ONLINE,Unspecified,BRONX,40.83264158590191,-73.86698540959043,"{'latitude': '40.83264158590191', 'longitude': '-73.86698540959043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881838,2023-09-21T07:25:54.000,2023-10-13T06:38:32.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW PANE,RESIDENTIAL BUILDING,10453,1970 UNIVERSITY AVENUE,UNIVERSITY AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-13T00:00:00.000,05 BRONX,2028680123,BRONX,1008651,250544,ONLINE,Unspecified,BRONX,40.85432658889718,-73.91179476435471,"{'latitude': '40.85432658889718', 'longitude': '-73.91179476435471', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887278,2023-09-21T07:25:54.000,2023-10-13T06:38:32.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10453,1970 UNIVERSITY AVENUE,UNIVERSITY AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-13T00:00:00.000,05 BRONX,2028680123,BRONX,1008651,250544,ONLINE,Unspecified,BRONX,40.85432658889718,-73.91179476435471,"{'latitude': '40.85432658889718', 'longitude': '-73.91179476435471', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887255,2023-09-21T07:25:52.000,2023-09-22T19:20:46.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11212,413 EAST   98 STREET,EAST   98 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,16 BROOKLYN,3036070008,BROOKLYN,1007726,179104,PHONE,Unspecified,BROOKLYN,40.6582446879526,-73.91538791350143,"{'latitude': '40.6582446879526', 'longitude': '-73.91538791350143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58890256,2023-09-21T07:25:41.000,2023-10-31T10:46:26.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Debt Collection Agency,Business,10007,291 BROADWAY,BROADWAY,READE STREET,DUANE STREET,READE STREET,DUANE STREET,ADDRESS,NEW YORK,BROADWAY,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,2023-10-31T10:46:36.000,01 MANHATTAN,1001500038,MANHATTAN,982648,199706,ONLINE,Unspecified,MANHATTAN,40.71482343284714,-74.00577882103697,"{'latitude': '40.71482343284714', 'longitude': '-74.00577882103697', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888687,2023-09-21T07:25:28.000,2023-09-21T12:32:31.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11378,57-14 58 PLACE,58 PLACE,MASPETH AVENUE,57 ROAD,MASPETH AVENUE,57 ROAD,ADDRESS,MASPETH,58 PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-21T12:32:38.000,05 QUEENS,4026720097,QUEENS,1009012,202522,MOBILE,Unspecified,QUEENS,40.72251816462465,-73.91066684596471,"{'latitude': '40.72251816462465', 'longitude': '-73.91066684596471', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887000,2023-09-21T07:25:14.000,2023-09-21T13:51:28.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10463,511 WEST  232 STREET,WEST  232 STREET,RIVERDALE AVENUE,CAMBRIDGE AVENUE,RIVERDALE AVENUE,CAMBRIDGE AVENUE,ADDRESS,BRONX,WEST  232 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T13:51:32.000,08 BRONX,2057830300,BRONX,1009414,260876,MOBILE,Unspecified,BRONX,40.88268262189564,-73.908997858203,"{'latitude': '40.88268262189564', 'longitude': '-73.908997858203', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888003,2023-09-21T07:24:41.000,2023-09-21T08:44:07.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11370,31-09 85 STREET,85 STREET,31 AVENUE,32 AVENUE,31 AVENUE,32 AVENUE,ADDRESS,EAST ELMHURST,85 STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-21T08:44:10.000,03 QUEENS,4013970051,QUEENS,1016618,215870,PHONE,Unspecified,QUEENS,40.75913051113699,-73.88316269816458,"{'latitude': '40.75913051113699', 'longitude': '-73.88316269816458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882571,2023-09-21T07:24:34.000,2023-10-02T11:40:36.000,DSNY,Department of Sanitation,Dead Animal,Cat,Sidewalk,10461,1108 ESPLANADE,ESPLANADE,HAIGHT AVENUE,PELHAM PARKWAY SOUTH,HAIGHT AVENUE,PELHAM PARKWAY SOUTH,ADDRESS,BRONX,ESPLANADE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-22T05:25:28.000,11 BRONX,2043310058,BRONX,1023582,251363,PHONE,Unspecified,BRONX,40.85652060570041,-73.85781715051584,"{'latitude': '40.85652060570041', 'longitude': '-73.85781715051584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889336,2023-09-21T07:24:27.000,2023-09-21T08:08:30.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10007,WEST STREET,WEST STREET,WEST STREET,BARCLAY STREET,WEST STREET,BARCLAY STREET,INTERSECTION,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T08:08:29.000,01 MANHATTAN,,MANHATTAN,980484,199584,PHONE,Unspecified,MANHATTAN,40.714487915505735,-74.01358485052825,"{'latitude': '40.714487915505735', 'longitude': '-74.01358485052825', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58888079,2023-09-21T07:24:16.000,2023-09-21T08:10:41.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10458,BRIGGS AVENUE,BRIGGS AVENUE,BRIGGS AVENUE,EAST MOSHOLU PARKWAY SOUTH,BRIGGS AVENUE,EAST MOSHOLU PARKWAY SOUTH,INTERSECTION,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-21T08:10:50.000,07 BRONX,,BRONX,1016619,257376,PHONE,Unspecified,BRONX,40.87305272845063,-73.88295890686051,"{'latitude': '40.87305272845063', 'longitude': '-73.88295890686051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882729,2023-09-21T07:24:14.000,2023-09-21T19:04:45.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10471,6146 DELAFIELD AVENUE,DELAFIELD AVENUE,WEST  261 STREET,DELAFIELD PLACE,WEST  261 STREET,DELAFIELD PLACE,ADDRESS,BRONX,DELAFIELD AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-21T19:04:51.000,08 BRONX,2058861288,BRONX,1011314,271071,MOBILE,Unspecified,BRONX,40.91065900420265,-73.90208556407923,"{'latitude': '40.91065900420265', 'longitude': '-73.90208556407923', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882452,2023-09-21T07:24:08.000,2023-09-22T05:25:09.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11213,122 KINGSTON AVENUE,KINGSTON AVENUE,BERGEN STREET,ST MARKS AVENUE,BERGEN STREET,ST MARKS AVENUE,ADDRESS,BROOKLYN,KINGSTON AVENUE,Closed,The Department of Sanitation cleaned the location.,2023-09-22T05:25:14.000,08 BROOKLYN,3012220041,BROOKLYN,1000439,185369,MOBILE,Unspecified,BROOKLYN,40.67545703655233,-73.94163662984575,"{'latitude': '40.67545703655233', 'longitude': '-73.94163662984575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58883510,2023-09-21T07:23:51.000,2023-09-21T07:23:51.000,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,1-2 Family Mixed Use Building,11429,218-31 110 AVENUE,110 AVENUE,SPRINGFIELD BOULEVARD,DEAD END,SPRINGFIELD BOULEVARD,DEAD END,ADDRESS,QUEENS VILLAGE,110 AVENUE,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-21T07:23:51.000,13 QUEENS,4111970132,QUEENS,1056870,197370,PHONE,Unspecified,QUEENS,40.7081138033095,-73.73806718605755,"{'latitude': '40.7081138033095', 'longitude': '-73.73806718605755', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58886744,2023-09-21T07:23:01.000,2023-09-21T08:02:19.000,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10467,BAINBRIDGE AVENUE,BAINBRIDGE AVENUE,BAINBRIDGE AVENUE,EAST  207 STREET,BAINBRIDGE AVENUE,EAST  207 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T08:02:24.000,07 BRONX,,BRONX,1017558,258353,ONLINE,Unspecified,BRONX,40.87573079672607,-73.87955878101806,"{'latitude': '40.87573079672607', 'longitude': '-73.87955878101806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58890455,2023-09-21T07:23:00.000,2023-09-21T11:37:00.000,DEP,Department of Environmental Protection,Hazardous Materials,"Oil Spill On Street, Large (HQL)",,11367,137-14 71 AVENUE,71 AVENUE,137 ST,141 ST,,,ADDRESS,FLUSHING,,Closed,,2023-09-21T11:37:00.000,08 QUEENS,4065980084,QUEENS,1032338,204135,ONLINE,Unspecified,QUEENS,40.72684940344435,-73.82650294887982,"{'latitude': '40.72684940344435', 'longitude': '-73.82650294887982', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58883959,2023-09-21T07:23:00.000,2023-09-21T20:20:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11231,522A HENRY STREET,HENRY STREET,UNION ST,PRESIDENT ST,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-21T20:20:00.000,06 BROOKLYN,3003430025,BROOKLYN,984301,188224,ONLINE,Unspecified,BROOKLYN,40.68330816737936,-73.9998161169868,"{'latitude': '40.68330816737936', 'longitude': '-73.9998161169868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58889092,2023-09-21T07:22:52.000,2023-09-21T20:52:30.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,11422,CRAFT AVENUE,CRAFT AVENUE,CRAFT AVENUE,HUXLEY STREET,CRAFT AVENUE,HUXLEY STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T20:52:36.000,13 QUEENS,,QUEENS,1057226,176046,PHONE,Unspecified,QUEENS,40.64958158881333,-73.73701404890306,"{'latitude': '40.64958158881333', 'longitude': '-73.73701404890306', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882005,2023-09-21T07:22:49.000,2023-09-22T19:20:45.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11212,413 EAST   98 STREET,EAST   98 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,16 BROOKLYN,3036070008,BROOKLYN,1007726,179104,PHONE,Unspecified,BROOKLYN,40.6582446879526,-73.91538791350143,"{'latitude': '40.6582446879526', 'longitude': '-73.91538791350143', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58885609,2023-09-21T07:22:46.000,2023-09-21T07:49:38.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11233,320 KINGSBOROUGH    3 WALK,KINGSBOROUGH    3 WALK,PACIFIC STREET,BERGEN STREET,PACIFIC STREET,BERGEN STREET,ADDRESS,BROOKLYN,KINGSBOROUGH    3 WALK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-21T07:49:43.000,08 BROOKLYN,3013440001,BROOKLYN,1004842,185506,ONLINE,Unspecified,BROOKLYN,40.675823923542566,-73.9257628522692,"{'latitude': '40.675823923542566', 'longitude': '-73.9257628522692', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58883461,2023-09-21T07:22:38.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11226,180 LENOX ROAD,LENOX ROAD,BEDFORD AVENUE,ROGERS AVENUE,BEDFORD AVENUE,ROGERS AVENUE,ADDRESS,BROOKLYN,LENOX ROAD,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-10-20T15:03:39.000,17 BROOKLYN,3050840042,BROOKLYN,997068,177517,ONLINE,Unspecified,BROOKLYN,40.65391056381976,-73.95380443229466,"{'latitude': '40.65391056381976', 'longitude': '-73.95380443229466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58887139,2023-09-21T07:22:35.000,2023-09-21T08:58:20.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10457,601 EAST  178 STREET,EAST  178 STREET,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-21T00:00:00.000,06 BRONX,2030680061,BRONX,1013892,247851,ONLINE,Unspecified,BRONX,40.8469190666179,-73.89286141354918,"{'latitude': '40.8469190666179', 'longitude': '-73.89286141354918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58883566,2023-09-21T07:22:31.000,2023-10-04T10:10:31.000,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,11101,27-28 THOMSON AVENUE,THOMSON AVENUE,COURT SQUARE,44 DRIVE,COURT SQUARE,44 DRIVE,ADDRESS,LONG ISLAND CITY,THOMSON AVENUE,Closed,The Department of Health and Mental Hygiene has determined that this issue is not within its jurisdiction; it cannot be determined if another agency would regulate the issue reported. This Service Request has been closed.,2023-10-04T10:10:36.000,02 QUEENS,4000827501,QUEENS,1000313,211141,ONLINE,Unspecified,QUEENS,40.74619526443481,-73.94202938810588,"{'latitude': '40.74619526443481', 'longitude': '-73.94202938810588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58882450,2023-09-21T07:22:14.000,2023-09-21T12:48:11.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11357,147-02 16 ROAD,16 ROAD,147 STREET,149 STREET,147 STREET,149 STREET,ADDRESS,WHITESTONE,16 ROAD,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-21T12:48:15.000,07 QUEENS,4046490001,QUEENS,1034600,225394,ONLINE,Unspecified,QUEENS,40.785187229438506,-73.81818268545315,"{'latitude': '40.785187229438506', 'longitude': '-73.81818268545315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58886365,2023-09-21T07:22:09.000,2023-09-22T08:27:20.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11691,13-55 GIPSON STREET,GIPSON STREET,JAYDEE COURT,NAMEOKE AVENUE,JAYDEE COURT,NAMEOKE AVENUE,ADDRESS,FAR ROCKAWAY,GIPSON STREET,Closed,The Department of Sanitation collected the requested items.,2023-09-21T09:13:20.000,14 QUEENS,4156640104,QUEENS,1051389,160760,ONLINE,Unspecified,QUEENS,40.607671075710876,-73.75820097944151,"{'latitude': '40.607671075710876', 'longitude': '-73.75820097944151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58881561,2023-09-21T07:22:07.000,2023-09-21T08:28:37.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11210,1313 ROGERS AVENUE,ROGERS AVENUE,FOSTER AVENUE,FARRAGUT ROAD,FOSTER AVENUE,FARRAGUT ROAD,ADDRESS,BROOKLYN,ROGERS AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-21T08:28:40.000,14 BROOKLYN,3052290033,BROOKLYN,997831,171586,MOBILE,Unspecified,BROOKLYN,40.63763011401736,-73.95106655139284,"{'latitude': '40.63763011401736', 'longitude': '-73.95106655139284', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58886190,2023-09-21T07:22:02.000,2023-10-02T11:06:42.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Garbage or Litter,Park,11222,MCCARREN PARK,MCCARREN PARK,BAYARD STREET,DRIGGS AVENUE,BAYARD STREET,DRIGGS AVENUE,UNRECOGNIZED,BROOKLYN,MCCARREN PARK,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-10-02T11:06:45.000,01 BROOKLYN,3026960001,BROOKLYN,997610,201904,MOBILE,McCarren Park,BROOKLYN,40.72084647199604,-73.95180272776703,"{'latitude': '40.72084647199604', 'longitude': '-73.95180272776703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
