unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,status,resolution_description,resolution_action_updated_date,community_board,borough,open_data_channel_type,park_facility_name,park_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,incident_zip,incident_address,street_name,address_type,city,bbl,x_coordinate_state_plane,y_coordinate_state_plane,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,facility_type,vehicle_type,due_date,taxi_company_borough
58793378,2023-09-12T15:10:15.000,2023-09-12T16:14:49.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T16:14:54.000,02 QUEENS,QUEENS,ONLINE,Unspecified,QUEENS,,,,,11377,44-14 47 AVENUE,47 AVENUE,ADDRESS,WOODSIDE,4001710027,1006218,209373,40.74132985062318,-73.92072430524935,"{'latitude': '40.74132985062318', 'longitude': '-73.92072430524935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",44 STREET,45 STREET,44 STREET,45 STREET,47 AVENUE,,,,,
58790958,2023-09-12T15:10:00.000,2023-09-28T13:08:53.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,Closed,NYC Parks determined that this issue is not within its jurisdiction. Please file a Service Request with the New York City Housing Authority.,2023-09-28T13:08:58.000,03 MANHATTAN,MANHATTAN,PHONE,Unspecified,MANHATTAN,,,,,10009,30 AVENUE D,AVENUE D,ADDRESS,NEW YORK,1003560001,990413,202063,40.72129083003373,-73.9777663355194,"{'latitude': '40.72129083003373', 'longitude': '-73.9777663355194', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST    4 STREET,EAST    5 STREET,EAST    4 STREET,EAST    5 STREET,AVENUE D,,,,,
58796084,2023-09-12T15:09:59.000,2023-09-12T15:35:54.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,Closed,The Police Department issued a summons in response to the complaint.,2023-09-12T15:35:59.000,03 BROOKLYN,BROOKLYN,PHONE,Unspecified,BROOKLYN,,,,,11206,15 VERNON AVENUE,VERNON AVENUE,ADDRESS,BROOKLYN,3017540084,997729,192262,40.6943812849361,-73.95139272743317,"{'latitude': '40.6943812849361', 'longitude': '-73.95139272743317', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NOSTRAND AVENUE,MARCY AVENUE,NOSTRAND AVENUE,MARCY AVENUE,VERNON AVENUE,,,,,
58790376,2023-09-12T15:09:56.000,2023-09-12T16:16:36.000,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,Club/Bar/Restaurant,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T16:16:39.000,04 QUEENS,QUEENS,PHONE,Unspecified,QUEENS,,,,,11373,86-34A BROADWAY,BROADWAY,ADDRESS,ELMHURST,4015490025,1018267,208024,40.73758904638021,-73.87725007190566,"{'latitude': '40.73758904638021', 'longitude': '-73.87725007190566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JUSTICE AVENUE,GRAND AVENUE,JUSTICE AVENUE,GRAND AVENUE,BROADWAY,,,,,
58792642,2023-09-12T15:09:55.000,2023-11-13T07:35:28.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,Closed,The Taxi and Limousine Commission (TLC) reviewed your complaint. The driver or owner pled guilty to a violation and paid a fine. TLC has sent you a written confirmation of this outcome.,2023-11-13T07:35:34.000,07 MANHATTAN,MANHATTAN,ONLINE,Unspecified,MANHATTAN,,,,,10024,87 WEST   87 STREET,WEST   87 STREET,ADDRESS,NEW YORK,,992195,226009,40.78701509058657,-73.9713092907543,"{'latitude': '40.78701509058657', 'longitude': '-73.9713092907543', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CENTRAL PARK WEST,COLUMBUS AVENUE,CENTRAL PARK WEST,COLUMBUS AVENUE,WEST   87 STREET,"87 WEST   87 STREET, MANHATTAN (NEW YORK), NY, 10024",,,,
58793184,2023-09-12T15:09:47.000,2023-09-12T22:54:34.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-12T22:54:38.000,10 BRONX,BRONX,PHONE,Unspecified,BRONX,,,,,10461,1244 BRADFORD AVENUE,BRADFORD AVENUE,ADDRESS,BRONX,2053340027,1031227,243962,40.83616970700501,-73.83023284275707,"{'latitude': '40.83616970700501', 'longitude': '-73.83023284275707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BAISLEY AVENUE,PAINE STREET,BAISLEY AVENUE,PAINE STREET,BRADFORD AVENUE,,,,,
58797545,2023-09-12T15:09:44.000,2023-09-12T15:09:44.000,DOT,Department of Transportation,Street Condition,Pothole,,Closed,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-12T15:09:44.000,05 MANHATTAN,MANHATTAN,UNKNOWN,Unspecified,MANHATTAN,,,,,10019,WEST   55 STREET,WEST   55 STREET,BLOCKFACE,MANHATTAN,,,,,,,5 AVENUE,6 AVENUE,,,,,N/A,,,
58793061,2023-09-12T15:09:37.000,2023-09-12T15:39:00.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T15:39:04.000,04 MANHATTAN,MANHATTAN,PHONE,Unspecified,MANHATTAN,,,,,10001,443 WEST   25 STREET,WEST   25 STREET,ADDRESS,NEW YORK,1007230001,983669,211975,40.74849895448813,-74.00209687404269,"{'latitude': '40.74849895448813', 'longitude': '-74.00209687404269', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9 AVENUE,10 AVENUE,9 AVENUE,10 AVENUE,WEST   25 STREET,,,,,
58794647,2023-09-12T15:09:36.000,2023-09-12T22:59:46.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-12T22:59:51.000,11 QUEENS,QUEENS,MOBILE,Unspecified,QUEENS,,,,,11362,46-18 HANFORD STREET,HANFORD STREET,ADDRESS,LITTLE NECK,4081670017,1054737,217756,40.76408535052564,-73.74554706178921,"{'latitude': '40.76408535052564', 'longitude': '-73.74554706178921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ALAMEDA AVENUE,RUSHMORE AVENUE,ALAMEDA AVENUE,RUSHMORE AVENUE,HANFORD STREET,,,,,
58791270,2023-09-12T15:09:33.000,2023-09-13T13:15:01.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-13T13:15:05.000,07 BROOKLYN,BROOKLYN,ONLINE,Unspecified,BROOKLYN,,,,,11215,156 17 STREET,17 STREET,ADDRESS,BROOKLYN,3006300022,985850,181728,40.66547796415753,-73.99423266322707,"{'latitude': '40.66547796415753', 'longitude': '-73.99423266322707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,17 STREET,,,,,
58797493,2023-09-12T15:09:29.000,2023-09-12T18:57:52.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-12T18:57:59.000,01 QUEENS,QUEENS,MOBILE,Unspecified,QUEENS,,,,,11101,38-36 CRESCENT STREET,CRESCENT STREET,ADDRESS,LONG ISLAND CITY,4003880026,1001924,214486,40.755373368926946,-73.93620657530249,"{'latitude': '40.755373368926946', 'longitude': '-73.93620657530249', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",38 AVENUE,39 AVENUE,38 AVENUE,39 AVENUE,CRESCENT STREET,,,,,
58799947,2023-09-12T15:09:25.000,2023-09-12T17:02:45.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,Closed,N/A,2023-09-12T17:02:50.000,01 MANHATTAN,MANHATTAN,ONLINE,Unspecified,MANHATTAN,,,,,10004,8 SOUTH STREET,SOUTH STREET,ADDRESS,NEW YORK,,981116,194942,40.70174697018535,-74.01130291681848,"{'latitude': '40.70174697018535', 'longitude': '-74.01130291681848', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WHITEHALL STREET,BROAD STREET,WHITEHALL STREET,BROAD STREET,SOUTH STREET,,,,,
58799526,2023-09-12T15:09:10.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-28T13:08:58.000,14 BROOKLYN,BROOKLYN,PHONE,Unspecified,BROOKLYN,,,,,11210,120 KENILWORTH PLACE,KENILWORTH PLACE,ADDRESS,BROOKLYN,3075560053,998329,169941,40.63311416201388,-73.94927564939385,"{'latitude': '40.63311416201388', 'longitude': '-73.94927564939385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GLENWOOD ROAD,HILLEL PLACE,GLENWOOD ROAD,HILLEL PLACE,KENILWORTH PLACE,,,,,
58799472,2023-09-12T15:08:59.000,2023-09-12T15:24:59.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-12T15:25:04.000,12 BRONX,BRONX,PHONE,Unspecified,BRONX,,,,,10469,3308 KINGSLAND AVENUE,KINGSLAND AVENUE,ADDRESS,BRONX,2047490044,1027507,258323,40.875605303286605,-73.84358361044181,"{'latitude': '40.875605303286605', 'longitude': '-73.84358361044181', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GIVAN AVENUE,TILLOTSON AVENUE,GIVAN AVENUE,TILLOTSON AVENUE,KINGSLAND AVENUE,,,,,
58791823,2023-09-12T15:08:50.000,2023-09-12T17:35:24.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Trespassing,Residential Building/House,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T17:35:36.000,07 BROOKLYN,BROOKLYN,ONLINE,Unspecified,BROOKLYN,,,,,11215,400 15 STREET,15 STREET,ADDRESS,BROOKLYN,3011047508,988932,180667,40.66256466088336,-73.98312406775004,"{'latitude': '40.66256466088336', 'longitude': '-73.98312406775004', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,15 STREET,,,,,
58800043,2023-09-12T15:08:37.000,2023-09-12T15:40:40.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T15:40:44.000,01 BROOKLYN,BROOKLYN,MOBILE,Unspecified,BROOKLYN,,,,,11222,149 FRANKLIN STREET,FRANKLIN STREET,ADDRESS,BROOKLYN,3025390020,995924,205801,40.73154517360759,-73.95787834684614,"{'latitude': '40.73154517360759', 'longitude': '-73.95787834684614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JAVA STREET,INDIA STREET,JAVA STREET,INDIA STREET,FRANKLIN STREET,,,,,
58800359,2023-09-12T15:08:37.000,2023-09-13T13:25:00.000,DOT,Department of Transportation,Street Condition,Pothole,,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-13T13:25:00.000,12 BROOKLYN,BROOKLYN,UNKNOWN,Unspecified,BROOKLYN,,,,,11230,960 AVENUE J,AVENUE J,ADDRESS,BROOKLYN,,993533,166838,40.62460340598096,-73.96655912431767,"{'latitude': '40.62460340598096', 'longitude': '-73.96655912431767', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST    9 STREET,EAST   10 STREET,,,,,N/A,,,
58790800,2023-09-12T15:08:32.000,2023-09-13T17:55:00.000,DOT,Department of Transportation,Street Condition,Pothole,,Closed,The Department of Transportation inspected this complaint and found that the problem was fixed.,2023-09-13T17:55:00.000,05 MANHATTAN,MANHATTAN,UNKNOWN,Unspecified,MANHATTAN,,,,,10019,WEST   55 STREET,WEST   55 STREET,BLOCKFACE,MANHATTAN,,,,,,,5 AVENUE,6 AVENUE,,,,,N/A,,,
58793218,2023-09-12T15:08:31.000,2023-09-12T17:31:46.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-12T17:31:51.000,11 QUEENS,QUEENS,MOBILE,Unspecified,QUEENS,,,,,11361,43-18 215 PLACE,215 PLACE,ADDRESS,BAYSIDE,4063080016,1048816,216883,40.76173442377646,-73.76692972030422,"{'latitude': '40.76173442377646', 'longitude': '-73.76692972030422', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",43 AVENUE,NORTHERN BOULEVARD,43 AVENUE,NORTHERN BOULEVARD,215 PLACE,,,,,
58798021,2023-09-12T15:08:24.000,2023-09-12T15:12:30.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-12T15:12:34.000,08 QUEENS,QUEENS,ONLINE,Unspecified,QUEENS,,,,,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,FRESH MEADOWS,4068290001,1037000,202363,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,PARSONS BOULEVARD,,,,,
58798391,2023-09-12T15:08:16.000,2023-09-19T15:08:47.000,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Driver Complaint - Non Passenger,Street,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-09-19T15:08:50.000,03 MANHATTAN,MANHATTAN,ONLINE,Unspecified,MANHATTAN,,,,,10003,188 2 AVENUE,2 AVENUE,ADDRESS,NEW YORK,1004530008,988127,205550,40.730863094296424,-73.98601130956717,"{'latitude': '40.730863094296424', 'longitude': '-73.98601130956717', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   11 STREET,EAST   12 STREET,EAST   11 STREET,EAST   12 STREET,2 AVENUE,"188 2 AVENUE, MANHATTAN (NEW YORK), NY, 10003",,,,
58789584,2023-09-12T15:08:12.000,2023-09-20T10:49:06.000,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,Closed,"The Department of Transportation will inspect the condition to determine if the location can be added to a curb contract (3-5 years). The property owner will be notified if there are sidewalk defects. Property owners are responsible for repairing and installing sidewalks adjoining their property, according to Section 19-152 of the NYC Administrative Code. Community Boards and elected officials may contribute funding for curb, affecting timeframe for construction.",2023-09-20T10:49:09.000,07 BROOKLYN,BROOKLYN,ONLINE,Unspecified,BROOKLYN,,,,,11218,117 EAST    4 STREET,EAST    4 STREET,ADDRESS,BROOKLYN,3052830015,990453,175983,40.64970717231809,-73.97764604126878,"{'latitude': '40.64970717231809', 'longitude': '-73.97764604126878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GREENWOOD AVENUE,FORT HAMILTON PARKWAY,GREENWOOD AVENUE,FORT HAMILTON PARKWAY,EAST    4 STREET,,,,,
58794372,2023-09-12T15:08:00.000,2023-09-19T09:20:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-19T09:20:00.000,03 BRONX,BRONX,PHONE,Unspecified,BRONX,,,,,10451,488 EAST  163 STREET,EAST  163 STREET,ADDRESS,BRONX,2023670001,1009152,239643,40.824405131686454,-73.91002421565749,"{'latitude': '40.824405131686454', 'longitude': '-73.91002421565749', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOK AVE,E 163 ST,,,,,,,,
58798993,2023-09-12T15:08:00.000,2023-09-12T17:10:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-12T17:10:00.000,11 QUEENS,QUEENS,UNKNOWN,Unspecified,QUEENS,,,,,11364,,,INTERSECTION,QUEENS,,1053149,207134,40.734943274847225,-73.75138842149539,"{'latitude': '40.734943274847225', 'longitude': '-73.75138842149539', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,UNION TURNPIKE,220 STREET,,,N/A,,,
58794316,2023-09-12T15:08:00.000,,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Home Improvement Contractor,Business,In Progress,"The Department of Consumer and Worker Protection (DCWP) sent you a complaint form.  To help you, DCWP must get the completed form and any requested documents within 30 days.  You can send requested information by email, fax, or mail. Contact information is on the complaint form.  You may also be able to submit requested information at nyc.gov/dcwp. You must enter your NYC311 Service Request number.  If you didn't receive the complaint form within 15 days from the date you filed your Service Request, call DCWP Consumer Services at (212) 487-4110. You must provide your NYC311 Service Request number.  DCWP will contact you about 30 days after getting your completed form and documents.",2023-09-13T10:17:41.000,09 BRONX,BRONX,ONLINE,Unspecified,BRONX,,,,,10462,2137 GLEASON AVENUE,GLEASON AVENUE,ADDRESS,BRONX,2038120065,1025000,242322,40.831699314551344,-73.85274611465775,"{'latitude': '40.831699314551344', 'longitude': '-73.85274611465775', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  177 STREET,CASTLE HILL AVENUE,EAST  177 STREET,CASTLE HILL AVENUE,GLEASON AVENUE,,,,,
58797246,2023-09-12T15:08:00.000,2023-09-15T03:50:00.000,DEP,Department of Environmental Protection,Water System,Dirty Water (WE),,Closed,The Department of Environmental Protection investigated this complaint and opened fire hydrants to flush water mains in the area.,2023-09-15T03:50:00.000,05 BROOKLYN,BROOKLYN,PHONE,Unspecified,BROOKLYN,,,,,11208,218 HALE AVENUE,HALE AVENUE,ADDRESS,BROOKLYN,3039590048,1017565,187015,40.67992704492674,-73.87988717826113,"{'latitude': '40.67992704492674', 'longitude': '-73.87988717826113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FULTON ST,ATLANTIC AVE,,,,,,,,
58798325,2023-09-12T15:07:54.000,2023-09-18T10:34:51.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Violation,Sidewalk,Closed,A sidewalk dismissal inspection (work done by owner) has been scheduled. Department of Transportation is in direct contact with the responsible party.,2023-09-18T10:34:57.000,06 BROOKLYN,BROOKLYN,ONLINE,Unspecified,BROOKLYN,,,,,11201,155 AMITY STREET,AMITY STREET,ADDRESS,BROOKLYN,3002910033,985512,190315,40.689047393954404,-73.99544940516029,"{'latitude': '40.689047393954404', 'longitude': '-73.99544940516029', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HENRY STREET,CLINTON STREET,HENRY STREET,CLINTON STREET,AMITY STREET,,,,,
58797995,2023-09-12T15:07:53.000,2023-09-17T16:36:54.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-17T00:00:00.000,01 BRONX,BRONX,PHONE,Unspecified,BRONX,,,,,10451,675 MORRIS AVENUE,MORRIS AVENUE,ADDRESS,BRONX,2024420060,1006013,238205,40.82046652212752,-73.92137069238623,"{'latitude': '40.82046652212752', 'longitude': '-73.92137069238623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
