unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,status,resolution_description,resolution_action_updated_date,community_board,borough,open_data_channel_type,park_facility_name,park_borough,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,x_coordinate_state_plane,y_coordinate_state_plane,latitude,longitude,location,bbl,facility_type,taxi_pick_up_location,vehicle_type,taxi_company_borough,due_date
58944074,2023-09-27T17:59:52.000,2023-09-27T18:37:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-27T18:37:27.000,05 BRONX,BRONX,ONLINE,Unspecified,BRONX,,,,,10458,2470 GRAND CONCOURSE,GRAND CONCOURSE,EAST  188 STREET,EAST FORDHAM ROAD,EAST  188 STREET,EAST FORDHAM ROAD,ADDRESS,BRONX,GRAND CONCOURSE,1012595,253240,40.861714514609645,-73.89752652370723,"{'latitude': '40.861714514609645', 'longitude': '-73.89752652370723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58942515,2023-09-27T17:59:33.000,2023-09-27T19:30:26.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T19:30:28.000,01 STATEN ISLAND,STATEN ISLAND,ONLINE,Unspecified,STATEN ISLAND,,,,,10314,91 QUINLAN AVENUE,QUINLAN AVENUE,PURDY AVENUE,NORTH GANNON AVENUE,PURDY AVENUE,NORTH GANNON AVENUE,ADDRESS,STATEN ISLAND,QUINLAN AVENUE,948465,161493,40.6098650952254,-74.12888268305225,"{'latitude': '40.6098650952254', 'longitude': '-74.12888268305225', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5007210075,,,,,
58942841,2023-09-27T17:59:31.000,2023-09-27T18:30:26.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T18:30:30.000,18 BROOKLYN,BROOKLYN,MOBILE,Unspecified,BROOKLYN,,,,,11236,FARRAGUT ROAD,FARRAGUT ROAD,EAST   79 STREET,FARRAGUT ROAD,EAST   79 STREET,FARRAGUT ROAD,INTERSECTION,,,1007104,171819,40.6382505767878,-73.91765440399614,"{'latitude': '40.6382505767878', 'longitude': '-73.91765440399614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58945315,2023-09-27T17:59:27.000,2023-09-29T06:36:00.000,DOT,Department of Transportation,Street Condition,Pothole,,Closed,The Department of Transportation inspected this complaint and did not find the reported problem.,2023-09-29T06:36:00.000,01 STATEN ISLAND,STATEN ISLAND,UNKNOWN,Unspecified,STATEN ISLAND,,,,,10304,MARY STREET,MARY STREET,PALMA DRIVE,RICHMOND ROAD,,,BLOCKFACE,STATEN ISLAND,,,,,,,,N/A,,,,
58944930,2023-09-27T17:59:25.000,2023-09-27T18:15:42.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T18:15:47.000,03 MANHATTAN,MANHATTAN,MOBILE,Unspecified,MANHATTAN,,,,,10002,159 LUDLOW STREET,LUDLOW STREET,RIVINGTON STREET,STANTON STREET,RIVINGTON STREET,STANTON STREET,ADDRESS,NEW YORK,LUDLOW STREET,987613,201980,40.72106452261362,-73.98786766847537,"{'latitude': '40.72106452261362', 'longitude': '-73.98786766847537', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58941672,2023-09-27T17:59:06.000,2023-09-27T17:59:06.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-27T17:59:06.000,07 BRONX,BRONX,PHONE,Unspecified,BRONX,,,,,10467,323 EAST MOSHOLU PARKWAY NORTH,EAST MOSHOLU PARKWAY NORTH,PERRY AVENUE,HULL AVENUE,PERRY AVENUE,HULL AVENUE,ADDRESS,BRONX,EAST MOSHOLU PARKWAY NORTH,1017325,256972,40.87194125612031,-73.88040812200336,"{'latitude': '40.87194125612031', 'longitude': '-73.88040812200336', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2033330001,,,,,
58942902,2023-09-27T17:59:02.000,2023-11-06T13:27:20.000,DPR,Department of Parks and Recreation,Illegal Tree Damage,Unauthorized Tree Pruning,Street,Closed,"The Service Request submitted did not have sufficient location or complaint information for NYC Parks to respond.  Please submit a new Service Request with adequate site details, including a full street address and descriptive location information.",2023-11-06T13:27:25.000,17 BROOKLYN,BROOKLYN,ONLINE,Unspecified,BROOKLYN,,,,,11203,360 EAST   51 STREET,EAST   51 STREET,LINDEN BOULEVARD,CHURCH AVENUE,LINDEN BOULEVARD,CHURCH AVENUE,ADDRESS,BROOKLYN,EAST   51 STREET,1003809,177181,40.65297599408868,-73.92951111661158,"{'latitude': '40.65297599408868', 'longitude': '-73.92951111661158', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3046760015,,,,,
58944475,2023-09-27T17:59:00.000,2023-10-10T10:52:00.000,DEP,Department of Environmental Protection,Sewer,RAIN GARDEN DEBRIS (GIRGD),,Closed,"NYC DEP investigated and determined the infrastructure required cleaning, which was completed at the time of the inspection.",2023-10-10T10:52:00.000,03 QUEENS,QUEENS,PHONE,Unspecified,QUEENS,,,,,11370,30-16 73 STREET,73 STREET,30 AVE,31 AVE,,,ADDRESS,EAST ELMHURST,,1013428,216114,40.75981133109591,-73.89467642581937,"{'latitude': '40.75981133109591', 'longitude': '-73.89467642581937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4011210012,,,,,
58940449,2023-09-27T17:58:52.000,2023-09-28T02:08:12.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T02:08:19.000,10 QUEENS,QUEENS,PHONE,Unspecified,QUEENS,,,,,11420,122-21 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,122 STREET,122 PLACE,122 STREET,122 PLACE,ADDRESS,SOUTH OZONE PARK,ROCKAWAY BOULEVARD,1035354,185494,40.67566742736794,-73.81576298377125,"{'latitude': '40.67566742736794', 'longitude': '-73.81576298377125', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4116790009,,,,,
58945044,2023-09-27T17:58:47.000,2023-09-27T18:21:37.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T18:21:42.000,07 QUEENS,QUEENS,MOBILE,Unspecified,QUEENS,,,,,11354,MAIN STREET,MAIN STREET,MAIN STREET,NORTHERN BOULEVARD,MAIN STREET,NORTHERN BOULEVARD,INTERSECTION,,,1030801,217286,40.76295376154211,-73.83195726744324,"{'latitude': '40.76295376154211', 'longitude': '-73.83195726744324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58937090,2023-09-27T17:58:43.000,2023-09-27T18:08:53.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T18:08:57.000,10 BROOKLYN,BROOKLYN,ONLINE,Unspecified,BROOKLYN,,,,,11219,6823 FORT HAMILTON PARKWAY,FORT HAMILTON PARKWAY,68 STREET,BAY RIDGE AVENUE,68 STREET,BAY RIDGE AVENUE,ADDRESS,BROOKLYN,FORT HAMILTON PARKWAY,981019,168441,40.62900757848322,-74.01164005140062,"{'latitude': '40.62900757848322', 'longitude': '-74.01164005140062', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3057710022,,,,,
58943838,2023-09-27T17:58:41.000,2023-09-27T18:27:34.000,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,Closed,NYC Parks has reviewed the reported condition and corrected the problem.,2023-09-27T18:27:38.000,64 MANHATTAN,MANHATTAN,UNKNOWN,Unspecified,MANHATTAN,,,,,10028,1000 5 AVENUE,5 AVENUE,EAST   81 STREET,EAST   82 STREET,EAST   81 STREET,EAST   82 STREET,ADDRESS,NEW YORK,5 AVENUE,994623,222956,40.77863290127972,-73.96254609596876,"{'latitude': '40.77863290127972', 'longitude': '-73.96254609596876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58943822,2023-09-27T17:58:27.000,2023-09-27T18:25:15.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T18:25:19.000,12 MANHATTAN,MANHATTAN,MOBILE,Unspecified,MANHATTAN,,,,,10040,4480 BROADWAY,BROADWAY,FAIRVIEW AVENUE,WEST  192 STREET,FAIRVIEW AVENUE,WEST  192 STREET,ADDRESS,NEW YORK,BROADWAY,1002985,251649,40.857373324279216,-73.93227323976112,"{'latitude': '40.857373324279216', 'longitude': '-73.93227323976112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58941000,2023-09-27T17:58:24.000,2023-11-13T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-11-13T00:00:00.000,10 QUEENS,QUEENS,UNKNOWN,Unspecified,QUEENS,,,,,11420,111-13 117 STREET,117 STREET,,,,,ADDRESS,SOUTH OZONE PARK,,1033371,186975,40.67974365483853,-73.82290115977312,"{'latitude': '40.67974365483853', 'longitude': '-73.82290115977312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4116220061,,,,,
58935772,2023-09-27T17:58:24.000,2023-09-27T17:58:24.000,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,Open,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,2023-09-27T00:00:00.000,07 QUEENS,QUEENS,UNKNOWN,Unspecified,QUEENS,,,,,11355,54-11 153 STREET,153 STREET,,,,,ADDRESS,FLUSHING,,1035641,210931,40.745484130454386,-73.8145341515288,"{'latitude': '40.745484130454386', 'longitude': '-73.8145341515288', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4051790045,,,,,
58945379,2023-09-27T17:58:14.000,2023-09-27T18:30:21.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T18:30:25.000,18 BROOKLYN,BROOKLYN,MOBILE,Unspecified,BROOKLYN,,,,,11236,FARRAGUT ROAD,FARRAGUT ROAD,EAST   79 STREET,FARRAGUT ROAD,EAST   79 STREET,FARRAGUT ROAD,INTERSECTION,,,1007104,171819,40.6382505767878,-73.91765440399614,"{'latitude': '40.6382505767878', 'longitude': '-73.91765440399614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58938636,2023-09-27T17:58:14.000,2023-09-27T18:46:53.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T18:46:58.000,14 BROOKLYN,BROOKLYN,ONLINE,Unspecified,BROOKLYN,,,,,11218,428 STRATFORD ROAD,STRATFORD ROAD,CORTELYOU ROAD,DORCHESTER ROAD,CORTELYOU ROAD,DORCHESTER ROAD,ADDRESS,BROOKLYN,STRATFORD ROAD,993226,171799,40.63822061723982,-73.96765845603328,"{'latitude': '40.63822061723982', 'longitude': '-73.96765845603328', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58944113,2023-09-27T17:58:13.000,2023-09-27T19:19:33.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-27T19:19:37.000,13 QUEENS,QUEENS,ONLINE,Unspecified,QUEENS,,,,,11426,82-44 242 STREET,242 STREET,82 AVENUE,83 AVENUE,82 AVENUE,83 AVENUE,ADDRESS,BELLEROSE,242 STREET,1060281,207812,40.7367457750972,-73.72564618068853,"{'latitude': '40.7367457750972', 'longitude': '-73.72564618068853', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4079040062,,,,,
58941912,2023-09-27T17:57:48.000,2023-09-28T15:00:24.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Metal/Glass/Rigid Plastic,Street,Closed,The Department of Sanitation collected the requested items.,2023-09-28T12:59:46.000,13 BROOKLYN,BROOKLYN,ONLINE,Unspecified,BROOKLYN,,,,,11214,75 28 AVENUE,28 AVENUE,BATH AVENUE,HARWAY AVENUE,BATH AVENUE,HARWAY AVENUE,ADDRESS,BROOKLYN,28 AVENUE,988243,153896,40.58908422716009,-73.98562335547052,"{'latitude': '40.58908422716009', 'longitude': '-73.98562335547052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3069030010,,,,,
58936396,2023-09-27T17:57:41.000,2023-09-27T18:16:00.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-27T18:16:03.000,03 MANHATTAN,MANHATTAN,MOBILE,Unspecified,MANHATTAN,,,,,10002,183 EAST HOUSTON STREET,EAST HOUSTON STREET,1 AVENUE,ORCHARD STREET,1 AVENUE,ORCHARD STREET,ADDRESS,NEW YORK,EAST HOUSTON STREET,987569,202590,40.72273884184913,-73.98802610170642,"{'latitude': '40.72273884184913', 'longitude': '-73.98802610170642', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58945749,2023-09-27T17:57:01.000,2023-09-27T20:38:02.000,DSNY,Department of Sanitation,Obstruction,Merchandise,Sidewalk,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-27T20:38:05.000,04 MANHATTAN,MANHATTAN,ONLINE,Unspecified,MANHATTAN,,,,,10023,WEST   59 STREET,WEST   59 STREET,WEST   59 STREET,COLUMBUS AVENUE,WEST   59 STREET,COLUMBUS AVENUE,INTERSECTION,,,988470,219527,40.76922627408269,-73.98476495262703,"{'latitude': '40.76922627408269', 'longitude': '-73.98476495262703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58943651,2023-09-27T17:57:00.000,2023-09-29T09:44:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-29T09:44:00.000,08 QUEENS,QUEENS,UNKNOWN,Unspecified,QUEENS,,,,,11367,144-19 76 ROAD,76 ROAD,147 ST,MAIN ST,76 ROAD,MAIN STREET,INTERSECTION,QUEENS,,1034323,202379,40.722018605743436,-73.81935433780315,"{'latitude': '40.722018605743436', 'longitude': '-73.81935433780315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4066660054,,,,,
58941472,2023-09-27T17:56:55.000,2023-10-10T20:14:00.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-10T00:00:00.000,11 MANHATTAN,MANHATTAN,PHONE,Unspecified,MANHATTAN,,,,,10029,126 EAST  103 STREET,EAST  103 STREET,,,,,ADDRESS,NEW YORK,,998554,227311,40.79058072637985,-73.94834312134499,"{'latitude': '40.79058072637985', 'longitude': '-73.94834312134499', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1016300061,,,,,
58940662,2023-09-27T17:56:52.000,2023-09-27T18:17:29.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-27T18:17:34.000,04 QUEENS,QUEENS,MOBILE,Unspecified,QUEENS,,,,,11368,103-26 ALSTYNE AVENUE,ALSTYNE AVENUE,104 STREET,51 AVENUE,104 STREET,51 AVENUE,ADDRESS,CORONA,ALSTYNE AVENUE,1023462,210111,40.743295828261495,-73.85849184271237,"{'latitude': '40.743295828261495', 'longitude': '-73.85849184271237', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58936169,2023-09-27T17:56:47.000,,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-27T00:00:00.000,08 MANHATTAN,MANHATTAN,ONLINE,Unspecified,MANHATTAN,,,,,10065,783 LEXINGTON AVENUE,LEXINGTON AVENUE,,,,,ADDRESS,NEW YORK,,993338,217468,40.76357118836603,-73.96719328028105,"{'latitude': '40.76357118836603', 'longitude': '-73.96719328028105', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1013960022,,,,,
58938867,2023-09-27T17:56:43.000,2023-11-06T08:12:09.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-06T00:00:00.000,14 BROOKLYN,BROOKLYN,ONLINE,Unspecified,BROOKLYN,,,,,11226,220 EAST   18 STREET,EAST   18 STREET,,,,,ADDRESS,BROOKLYN,,994684,174572,40.64583030875887,-73.96240082900569,"{'latitude': '40.64583030875887', 'longitude': '-73.96240082900569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3051210018,,,,,
58937219,2023-09-27T17:56:39.000,2023-09-27T18:51:25.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,Closed,The Police Department issued a summons in response to the complaint.,2023-09-27T18:51:33.000,14 BROOKLYN,BROOKLYN,PHONE,Unspecified,BROOKLYN,,,,,11210,1158 EAST   29 STREET,EAST   29 STREET,AVENUE K,AVENUE L,AVENUE K,AVENUE L,ADDRESS,BROOKLYN,EAST   29 STREET,998914,166229,40.62292455607444,-73.94717605468719,"{'latitude': '40.62292455607444', 'longitude': '-73.94717605468719', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3076280069,,,,,
58941356,2023-09-27T17:56:38.000,2023-09-30T10:44:07.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-30T00:00:00.000,04 BROOKLYN,BROOKLYN,ONLINE,Unspecified,BROOKLYN,,,,,11206,71 TROUTMAN STREET,TROUTMAN STREET,,,,,ADDRESS,BROOKLYN,,1003263,193817,40.6986392383266,-73.93143192045405,"{'latitude': '40.6986392383266', 'longitude': '-73.93143192045405', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3031710048,,,,,
58945714,2023-09-27T17:56:36.000,2023-10-10T12:47:11.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,Closed,The Department of Sanitation cleaned the location.,2023-10-10T11:57:54.000,15 BROOKLYN,BROOKLYN,ONLINE,Unspecified,BROOKLYN,,,,,11223,1878 EAST    4 STREET,EAST    4 STREET,QUENTIN ROAD,KINGS HIGHWAY,QUENTIN ROAD,KINGS HIGHWAY,ADDRESS,BROOKLYN,EAST    4 STREET,992810,159665,40.60491573292105,-73.96917273701858,"{'latitude': '40.60491573292105', 'longitude': '-73.96917273701858', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3066600042,,,,,
