unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,taxi_pick_up_location,due_date
58974573,2023-09-30T18:43:25.000,2023-09-30T20:59:29.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11365,58-50 192 STREET,192 STREET,58 AVENUE,HORACE HARDING EXPRESSWAY,58 AVENUE,HORACE HARDING EXPRESSWAY,ADDRESS,FRESH MEADOWS,192 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-30T20:59:33.000,11 QUEENS,4056940032,QUEENS,1043971,209895,PHONE,Unspecified,QUEENS,40.74258824635499,-73.78448118538942,"{'latitude': '40.74258824635499', 'longitude': '-73.78448118538942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58973323,2023-09-30T18:43:25.000,2023-09-30T19:14:44.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10040,570 WEST  190 STREET,WEST  190 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  190 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T19:14:47.000,12 MANHATTAN,1021580067,MANHATTAN,1003895,250647,ONLINE,Unspecified,MANHATTAN,40.85462115652687,-73.9289865404921,"{'latitude': '40.85462115652687', 'longitude': '-73.9289865404921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58977379,2023-09-30T18:43:20.000,2023-09-30T18:59:50.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Residential Building/House,10030,2647 8 AVENUE,8 AVENUE,WEST  141 STREET,WEST  142 STREET,WEST  141 STREET,WEST  142 STREET,ADDRESS,NEW YORK,8 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T18:59:53.000,10 MANHATTAN,1020430013,MANHATTAN,999836,238188,ONLINE,Unspecified,MANHATTAN,40.82043292062287,-73.94368810873968,"{'latitude': '40.82043292062287', 'longitude': '-73.94368810873968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58972161,2023-09-30T18:43:20.000,2023-09-30T19:16:02.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10040,570 WEST  190 STREET,WEST  190 STREET,AUDUBON AVENUE,ST NICHOLAS AVENUE,AUDUBON AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,WEST  190 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-30T19:16:05.000,12 MANHATTAN,1021580067,MANHATTAN,1003895,250647,ONLINE,Unspecified,MANHATTAN,40.85462115652687,-73.9289865404921,"{'latitude': '40.85462115652687', 'longitude': '-73.9289865404921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58968972,2023-09-30T18:43:17.000,2023-10-02T10:07:01.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10452,1340 MERRIAM AVENUE,MERRIAM AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water. Heat was not required at the time of the inspection. No violations were issued. If the condition still exists, please file a new complaint.",2023-10-02T00:00:00.000,04 BRONX,2025310013,BRONX,1004777,245766,ONLINE,Unspecified,BRONX,40.84122224911729,-73.92581319920582,"{'latitude': '40.84122224911729', 'longitude': '-73.92581319920582', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58970220,2023-09-30T18:42:44.000,2023-10-02T18:41:43.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11236,1169 EAST  104 STREET,EAST  104 STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,18 BROOKLYN,3082500012,BROOKLYN,1014611,173460,PHONE,Unspecified,BROOKLYN,40.64273221574406,-73.89059845796156,"{'latitude': '40.64273221574406', 'longitude': '-73.89059845796156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58970685,2023-09-30T18:42:40.000,2023-10-03T12:32:57.000,DSNY,Department of Sanitation,Illegal Posting,Poster or Sign,Sidewalk,10312,770 HUGUENOT AVENUE,HUGUENOT AVENUE,DRUMGOOLE ROAD WEST,CARLTON COURT,DRUMGOOLE ROAD WEST,CARLTON COURT,ADDRESS,STATEN ISLAND,HUGUENOT AVENUE,Closed,The Department of Sanitation has removed illegal postings from the location. The Department will issue a Notice of Violation to the responsible party once it is identified.,2023-10-03T12:33:01.000,03 STATEN ISLAND,5068270032,STATEN ISLAND,930418,134468,ONLINE,Unspecified,STATEN ISLAND,40.53559568323744,-74.19366510407113,"{'latitude': '40.53559568323744', 'longitude': '-74.19366510407113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58970088,2023-09-30T18:42:24.000,2023-09-30T18:50:10.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033,703 WEST  180 STREET,WEST  180 STREET,BROADWAY,FORT WASHINGTON AVENUE,BROADWAY,FORT WASHINGTON AVENUE,ADDRESS,NEW YORK,WEST  180 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T18:50:15.000,12 MANHATTAN,1021760144,MANHATTAN,1001743,248825,MOBILE,Unspecified,MANHATTAN,40.84962483486739,-73.9367704194685,"{'latitude': '40.84962483486739', 'longitude': '-73.9367704194685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58974691,2023-09-30T18:42:23.000,2023-09-30T18:53:22.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10033,521 FT WASHINGTON AVENUE,FT WASHINGTON AVENUE,WEST  183 STREET,WEST  185 STREET,WEST  183 STREET,WEST  185 STREET,ADDRESS,NEW YORK,FORT WASHINGTON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T18:53:25.000,12 MANHATTAN,,MANHATTAN,1001502,249966,ONLINE,Bennett Park,MANHATTAN,40.852757015007974,-73.93763859319333,"{'latitude': '40.852757015007974', 'longitude': '-73.93763859319333', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58977628,2023-09-30T18:42:23.000,2023-09-30T19:46:03.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10003,1 UNION SQUARE WEST,UNION SQUARE WEST,EAST   14 STREET,EAST   15 STREET,EAST   14 STREET,EAST   15 STREET,ADDRESS,NEW YORK,UNION SQUARE WEST,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-30T19:46:07.000,05 MANHATTAN,1008420021,MANHATTAN,986564,207173,MOBILE,Unspecified,MANHATTAN,40.735318377369765,-73.99165024659625,"{'latitude': '40.735318377369765', 'longitude': '-73.99165024659625', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58971346,2023-09-30T18:42:09.000,2023-09-30T19:17:05.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033,715 WEST  180 STREET,WEST  180 STREET,BROADWAY,FORT WASHINGTON AVENUE,BROADWAY,FORT WASHINGTON AVENUE,ADDRESS,NEW YORK,WEST  180 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T19:17:10.000,12 MANHATTAN,1021760150,MANHATTAN,1001684,248841,ONLINE,Unspecified,MANHATTAN,40.84966886681762,-73.93698363710853,"{'latitude': '40.84966886681762', 'longitude': '-73.93698363710853', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
59436659,2023-09-30T18:42:00.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Apartment Only,Apartment,11236,1169 EAST  104 STREET,EAST  104 STREET,AVENUE K,AVENUE L,AVENUE K,AVENUE L,ADDRESS,BROOKLYN,EAST  104 STREET,Closed,,2023-10-02T00:00:00.000,18 BROOKLYN,3082500012,BROOKLYN,1014611,173460,PHONE,Unspecified,BROOKLYN,40.64273221574406,-73.89059845796156,"{'latitude': '40.64273221574406', 'longitude': '-73.89059845796156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58977020,2023-09-30T18:42:00.000,2023-10-02T11:41:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10465,422 QUINCY AVENUE,QUINCY AVENUE,DEWEY AVE,SAMPSON AVE,QUINCY AVENUE,SAMPSON AVENUE,INTERSECTION,BRONX,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-02T11:41:00.000,10 BRONX,2055780057,BRONX,1033872,237921,UNKNOWN,Unspecified,BRONX,40.81957445578712,-73.8207189542234,"{'latitude': '40.81957445578712', 'longitude': '-73.8207189542234', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
59443574,2023-09-30T18:41:57.000,2023-10-02T00:00:00.000,HPD,Department of Housing Preservation and Development,Heat/Hot Water,Entire Building,Building-Wide,10452,1340 MERRIAM AVENUE,MERRIAM AVENUE,WEST  169 STREET,WEST  170 STREET,WEST  169 STREET,WEST  170 STREET,ADDRESS,BRONX,MERRIAM AVENUE,Closed,,2023-10-02T00:00:00.000,04 BRONX,2025310013,BRONX,1004777,245766,ONLINE,Unspecified,BRONX,40.84122224911729,-73.92581319920582,"{'latitude': '40.84122224911729', 'longitude': '-73.92581319920582', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58977206,2023-09-30T18:41:27.000,2023-09-30T20:05:49.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10455,525 WALES AVENUE,WALES AVENUE,EAST  147 STREET,EAST  149 STREET,EAST  147 STREET,EAST  149 STREET,ADDRESS,BRONX,WALES AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T20:05:51.000,01 BRONX,2025800028,BRONX,1009868,235233,ONLINE,Unspecified,BRONX,40.81229888090316,-73.90745400424441,"{'latitude': '40.81229888090316', 'longitude': '-73.90745400424441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58971070,2023-09-30T18:41:22.000,2023-09-30T19:10:35.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10472,1528 WATSON AVENUE,WATSON AVENUE,ELDER AVENUE,BOYNTON AVENUE,ELDER AVENUE,BOYNTON AVENUE,ADDRESS,BRONX,WATSON AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T19:10:40.000,09 BRONX,2037140030,BRONX,1017972,240263,ONLINE,Unspecified,BRONX,40.82607758447021,-73.87815275454255,"{'latitude': '40.82607758447021', 'longitude': '-73.87815275454255', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58968814,2023-09-30T18:41:16.000,2023-09-30T19:07:09.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1155 GERARD AVENUE,GERARD AVENUE,MCCLELLAN STREET,EAST  167 STREET,MCCLELLAN STREET,EAST  167 STREET,ADDRESS,BRONX,GERARD AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T19:07:12.000,04 BRONX,2024880046,BRONX,1006130,243265,ONLINE,Unspecified,BRONX,40.8343544837579,-73.92093147210099,"{'latitude': '40.8343544837579', 'longitude': '-73.92093147210099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58970852,2023-09-30T18:41:12.000,2023-09-30T19:26:15.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11201,19 GRACE COURT,GRACE COURT,DEAD END,HICKS STREET,DEAD END,HICKS STREET,ADDRESS,BROOKLYN,GRACE COURT,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-30T19:26:21.000,02 BROOKLYN,3002510055,BROOKLYN,984848,192245,MOBILE,Unspecified,BROOKLYN,40.694344868323924,-73.99784352462127,"{'latitude': '40.694344868323924', 'longitude': '-73.99784352462127', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58974515,2023-09-30T18:41:07.000,2023-09-30T19:15:55.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11369,105-37 ASTORIA BOULEVARD,ASTORIA BOULEVARD,31 AVENUE,106 STREET,31 AVENUE,106 STREET,ADDRESS,EAST ELMHURST,ASTORIA BOULEVARD,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-30T19:16:00.000,03 QUEENS,,QUEENS,1021963,216584,MOBILE,Unspecified,QUEENS,40.76106907238198,-73.86386511753388,"{'latitude': '40.76106907238198', 'longitude': '-73.86386511753388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58969521,2023-09-30T18:41:00.000,2023-10-10T19:00:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,11235,,,,,EAST 12 STREET,WILLIAM COURT,INTERSECTION,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-10T19:00:00.000,15 BROOKLYN,,BROOKLYN,995901,153050,PHONE,Unspecified,BROOKLYN,40.58675536824982,-73.95805247938588,"{'latitude': '40.58675536824982', 'longitude': '-73.95805247938588', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58970436,2023-09-30T18:40:21.000,2023-10-06T13:45:35.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Graffiti or Vandalism,Park,10471,VINMONT VETERAN PARK,VINMONT VETERAN PARK,HENRY HUDSON PARKWAY EAST,NETHERLAND AVENUE,HENRY HUDSON PARKWAY EAST,NETHERLAND AVENUE,UNRECOGNIZED,BRONX,VINMONT VETERAN PARK,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-10-06T13:45:39.000,08 BRONX,2058501513,BRONX,1010480,268026,ONLINE,Unspecified,BRONX,40.9023039904388,-73.90511481066437,"{'latitude': '40.9023039904388', 'longitude': '-73.90511481066437', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58972789,2023-09-30T18:40:17.000,2023-09-30T19:19:03.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10002,113 RIVINGTON STREET,RIVINGTON STREET,LUDLOW STREET,ESSEX STREET,LUDLOW STREET,ESSEX STREET,ADDRESS,NEW YORK,RIVINGTON STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-30T19:19:07.000,03 MANHATTAN,1004100051,MANHATTAN,987629,201557,MOBILE,Unspecified,MANHATTAN,40.71990348349608,-73.98781015936233,"{'latitude': '40.71990348349608', 'longitude': '-73.98781015936233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58973377,2023-09-30T18:40:12.000,2023-09-30T19:21:11.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10462,2011 MULINER AVENUE,MULINER AVENUE,NEILL AVENUE,BRADY AVENUE,NEILL AVENUE,BRADY AVENUE,ADDRESS,BRONX,MULINER AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T19:21:16.000,11 BRONX,2042940043,BRONX,1022397,249452,PHONE,Unspecified,BRONX,40.851280685887104,-73.86211172234425,"{'latitude': '40.851280685887104', 'longitude': '-73.86211172234425', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58975520,2023-09-30T18:40:03.000,2023-09-30T20:04:04.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,11237,1595 GATES AVENUE,GATES AVENUE,WYCKOFF AVENUE,ST NICHOLAS AVENUE,WYCKOFF AVENUE,ST NICHOLAS AVENUE,ADDRESS,BROOKLYN,GATES AVENUE,Closed,N/A,2023-09-30T20:04:07.000,04 BROOKLYN,3033380021,BROOKLYN,1008827,194458,ONLINE,Unspecified,BROOKLYN,40.7003849292913,-73.91136370201696,"{'latitude': '40.7003849292913', 'longitude': '-73.91136370201696', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58974101,2023-09-30T18:40:02.000,2023-10-01T05:05:48.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11420,122-07 115 AVENUE,115 AVENUE,122 STREET,123 STREET,122 STREET,123 STREET,ADDRESS,SOUTH OZONE PARK,115 AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-10-01T05:05:51.000,10 QUEENS,4116490038,QUEENS,1035067,186261,PHONE,Unspecified,QUEENS,40.67777431681694,-73.81679187235957,"{'latitude': '40.67777431681694', 'longitude': '-73.81679187235957', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58970994,2023-09-30T18:39:54.000,2023-09-30T19:39:30.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Trespassing,Residential Building/House,10468,131 WEST KINGSBRIDGE ROAD,WEST KINGSBRIDGE ROAD,WEBB AVENUE,SEDGWICK AVENUE,WEBB AVENUE,SEDGWICK AVENUE,ADDRESS,BRONX,WEST KINGSBRIDGE ROAD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-30T19:39:32.000,08 BRONX,2032480140,BRONX,1011123,255881,ONLINE,Unspecified,BRONX,40.868967857741346,-73.90283753608338,"{'latitude': '40.868967857741346', 'longitude': '-73.90283753608338', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58977525,2023-09-30T18:39:50.000,2023-11-17T19:04:00.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11238,416 ADELPHI STREET,ADELPHI STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-17T00:00:00.000,02 BROOKLYN,3019570047,BROOKLYN,992489,188914,PHONE,Unspecified,BROOKLYN,40.68519822546021,-73.97029303693441,"{'latitude': '40.68519822546021', 'longitude': '-73.97029303693441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58968969,2023-09-30T18:39:48.000,2023-10-03T14:38:38.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11217,682 SACKETT STREET,SACKETT STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-10-03T00:00:00.000,06 BROOKLYN,3009520012,BROOKLYN,989291,186191,ONLINE,Unspecified,BROOKLYN,40.67772660861773,-73.98182594714243,"{'latitude': '40.67772660861773', 'longitude': '-73.98182594714243', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
