unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date
58966203,2023-09-29T09:43:53.000,2023-10-04T12:52:11.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,10024,620 WEST END AVENUE,WEST END AVENUE,,,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were previously issued for these conditions. Information about specific violations is available at www.nyc.gov/hpd.,2023-10-04T00:00:00.000,07 MANHATTAN,1012380001,MANHATTAN,990936,227683,PHONE,Unspecified,MANHATTAN,40.79161081317161,-73.9758540814521,"{'latitude': '40.79161081317161', 'longitude': '-73.9758540814521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,
59445709,2023-09-29T09:43:52.000,2023-10-02T10:40:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,11103,25-54 47 STREET,47 STREET,AMTRAK-CONNECTING RAIL LINE,28 AVENUE,ADDRESS,ASTORIA,Closed,,2023-10-02T10:40:00.000,01 QUEENS,,QUEENS,1009983,217680,ONLINE,Unspecified,QUEENS,40.76412029400477,-73.90710580797496,"{'latitude': '40.76412029400477', 'longitude': '-73.90710580797496', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sewer,AMTRAK-CONNECTING RAIL LINE,28 AVENUE,47 STREET,,,,,,
59445471,2023-09-29T09:43:50.000,2023-09-29T15:50:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11369,30-09 90 STREET,90 STREET,30 AVENUE,31 AVENUE,ADDRESS,EAST ELMHURST,Closed,,2023-09-29T15:50:00.000,03 QUEENS,4013880002,QUEENS,1017807,216763,ONLINE,Unspecified,QUEENS,40.76157713198237,-73.87886636665702,"{'latitude': '40.76157713198237', 'longitude': '-73.87886636665702', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sewer,30 AVENUE,31 AVENUE,90 STREET,,,,,,
58961506,2023-09-29T09:43:50.000,2023-10-18T12:42:39.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,10453,2200 AQUEDUCT AVENUE EAST,AQUEDUCT AVENUE EAST,,,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-18T00:00:00.000,05 BRONX,2032070040,BRONX,1009707,251921,PHONE,Unspecified,BRONX,40.858103058610766,-73.90797228726721,"{'latitude': '40.858103058610766', 'longitude': '-73.90797228726721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,
58966266,2023-09-29T09:43:47.000,2023-10-03T17:39:57.000,HPD,Department of Housing Preservation and Development,GENERAL,SIGNAGE MISSING,10029,121 EAST   97 STREET,EAST   97 STREET,,,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,11 MANHATTAN,1016250010,MANHATTAN,997821,225928,ONLINE,Unspecified,MANHATTAN,40.78678591889559,-73.95099304111733,"{'latitude': '40.78678591889559', 'longitude': '-73.95099304111733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,
59459033,2023-09-29T09:43:45.000,,HPD,Department of Housing Preservation and Development,Paint/Plaster,Ceiling,11225,410 EASTERN PARKWAY,EASTERN PARKWAY,BEDFORD AVENUE,ROGERS AVENUE,ADDRESS,BROOKLYN,In Progress,,,09 BROOKLYN,3012670010,BROOKLYN,996798,183410,PHONE,Unspecified,BROOKLYN,40.670085931603296,-73.95476653454561,"{'latitude': '40.670085931603296', 'longitude': '-73.95476653454561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,BEDFORD AVENUE,ROGERS AVENUE,EASTERN PARKWAY,,,,,,
58959997,2023-09-29T09:43:42.000,2023-10-20T10:53:14.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,11416,94-16 94 STREET,94 STREET,,,ADDRESS,OZONE PARK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-20T00:00:00.000,09 QUEENS,4090330040,QUEENS,1026277,189862,PHONE,Unspecified,QUEENS,40.687704323108605,-73.84845951464261,"{'latitude': '40.687704323108605', 'longitude': '-73.84845951464261', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,
59456493,2023-09-29T09:43:41.000,2023-10-04T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11225,410 EASTERN PARKWAY,EASTERN PARKWAY,BEDFORD AVENUE,ROGERS AVENUE,ADDRESS,BROOKLYN,Closed,,2023-10-04T00:00:00.000,09 BROOKLYN,3012670010,BROOKLYN,996798,183410,PHONE,Unspecified,BROOKLYN,40.670085931603296,-73.95476653454561,"{'latitude': '40.670085931603296', 'longitude': '-73.95476653454561', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,BEDFORD AVENUE,ROGERS AVENUE,EASTERN PARKWAY,,,,,,
58961604,2023-09-29T09:43:40.000,2023-10-16T19:30:47.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,11104,44-15 43 AVENUE,43 AVENUE,,,ADDRESS,SUNNYSIDE,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-16T00:00:00.000,02 QUEENS,4001570040,QUEENS,1006426,210745,ONLINE,Unspecified,QUEENS,40.74509512738965,-73.91996917475612,"{'latitude': '40.74509512738965', 'longitude': '-73.91996917475612', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,
59445303,2023-09-29T09:43:38.000,,HPD,Department of Housing Preservation and Development,Plumbing,Toilet,11225,10 MIDWOOD STREET,MIDWOOD STREET,FLATBUSH AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,In Progress,,,09 BROOKLYN,,BROOKLYN,995401,179565,PHONE,Unspecified,BROOKLYN,40.65953413035001,-73.95980884731233,"{'latitude': '40.65953413035001', 'longitude': '-73.95980884731233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,FLATBUSH AVENUE,BEDFORD AVENUE,MIDWOOD STREET,,,,,,
58966972,2023-09-29T09:43:38.000,2023-09-29T09:43:38.000,DOB,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,11237,180 NOLL STREET,NOLL STREET,,,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-29T00:00:00.000,04 BROOKLYN,3031550014,BROOKLYN,1003617,195743,UNKNOWN,Unspecified,BROOKLYN,40.703924888069885,-73.9301497242385,"{'latitude': '40.703924888069885', 'longitude': '-73.9301497242385', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
59006651,2023-09-29T09:43:37.000,2023-11-18T11:30:09.000,DPR,Department of Parks and Recreation,Illegal Tree Damage,Branches Damaged,11220,873 45 STREET,45 STREET,8 AVENUE,9 AVENUE,ADDRESS,BROOKLYN,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-11-18T11:30:12.000,12 BROOKLYN,3007420046,BROOKLYN,984437,173552,MOBILE,Unspecified,BROOKLYN,40.64303677283015,-73.99932616921639,"{'latitude': '40.64303677283015', 'longitude': '-73.99932616921639', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,8 AVENUE,9 AVENUE,45 STREET,,,,,,
59446209,2023-09-29T09:43:35.000,,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11225,10 MIDWOOD STREET,MIDWOOD STREET,FLATBUSH AVENUE,BEDFORD AVENUE,ADDRESS,BROOKLYN,In Progress,,,09 BROOKLYN,,BROOKLYN,995401,179565,PHONE,Unspecified,BROOKLYN,40.65953413035001,-73.95980884731233,"{'latitude': '40.65953413035001', 'longitude': '-73.95980884731233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,FLATBUSH AVENUE,BEDFORD AVENUE,MIDWOOD STREET,,,,,,
59435459,2023-09-29T09:43:32.000,2023-09-29T22:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,11362,51-60 MARATHON PARKWAY,MARATHON PARKWAY,51 AVENUE,52 AVENUE,ADDRESS,LITTLE NECK,Closed,,2023-09-29T22:30:00.000,11 QUEENS,,QUEENS,1058022,217264,PHONE,Unspecified,QUEENS,40.76270814215484,-73.73369392188694,"{'latitude': '40.76270814215484', 'longitude': '-73.73369392188694', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sewer,51 AVENUE,52 AVENUE,MARATHON PARKWAY,,,,,,
58966042,2023-09-29T09:43:32.000,2023-10-07T11:21:43.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,11232,218 25 STREET,25 STREET,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-07T00:00:00.000,07 BROOKLYN,3006550015,BROOKLYN,984944,179787,ONLINE,Unspecified,BROOKLYN,40.66015046579227,-73.99749861746037,"{'latitude': '40.66015046579227', 'longitude': '-73.99749861746037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,
58959973,2023-09-29T09:43:32.000,2023-10-04T20:35:18.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,11232,218 25 STREET,25 STREET,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-04T00:00:00.000,07 BROOKLYN,3006550015,BROOKLYN,984944,179787,ONLINE,Unspecified,BROOKLYN,40.66015046579227,-73.99749861746037,"{'latitude': '40.66015046579227', 'longitude': '-73.99749861746037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,
59449109,2023-09-29T09:43:31.000,2023-09-29T18:45:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11101,24-02 49 AVENUE,49 AVENUE,SKILLMAN AVENUE,25 STREET,ADDRESS,LONG ISLAND CITY,Closed,,2023-09-29T18:45:00.000,02 QUEENS,,QUEENS,999179,209581,ONLINE,Unspecified,QUEENS,40.74191544236603,-73.9461254023033,"{'latitude': '40.74191544236603', 'longitude': '-73.9461254023033', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sewer,SKILLMAN AVENUE,25 STREET,49 AVENUE,,,,,,
58967839,2023-09-29T09:43:30.000,2023-10-04T20:58:26.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,11206,726 WILLOUGHBY AVENUE,WILLOUGHBY AVENUE,,,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-04T00:00:00.000,03 BROOKLYN,3015910012,BROOKLYN,1000970,192473,PHONE,Unspecified,BROOKLYN,40.69495490120232,-73.93970468047122,"{'latitude': '40.69495490120232', 'longitude': '-73.93970468047122', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,
59453094,2023-09-29T09:43:22.000,2023-10-16T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,10459,830 EAST  163 STREET,EAST  163 STREET,UNION AVENUE,PROSPECT AVENUE,ADDRESS,BRONX,Closed,,2023-10-16T00:00:00.000,03 BRONX,2026770070,BRONX,1011616,238851,PHONE,Unspecified,BRONX,40.822224027258486,-73.90112454024609,"{'latitude': '40.822224027258486', 'longitude': '-73.90112454024609', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,UNION AVENUE,PROSPECT AVENUE,EAST  163 STREET,,,,,,
59459969,2023-09-29T09:43:21.000,2023-10-16T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11105,23-60 29 STREET,29 STREET,23 ROAD,24 AVENUE,ADDRESS,ASTORIA,Closed,,2023-10-16T00:00:00.000,01 QUEENS,,QUEENS,1007674,221198,ONLINE,Unspecified,QUEENS,40.77378270435607,-73.91542885765448,"{'latitude': '40.77378270435607', 'longitude': '-73.91542885765448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,23 ROAD,24 AVENUE,29 STREET,,,,,,
59439094,2023-09-29T09:43:20.000,2023-10-16T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Damp Spot,11105,23-60 29 STREET,29 STREET,23 ROAD,24 AVENUE,ADDRESS,ASTORIA,Closed,,2023-10-16T00:00:00.000,01 QUEENS,,QUEENS,1007674,221198,ONLINE,Unspecified,QUEENS,40.77378270435607,-73.91542885765448,"{'latitude': '40.77378270435607', 'longitude': '-73.91542885765448', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,23 ROAD,24 AVENUE,29 STREET,,,,,,
59009125,2023-09-29T09:43:17.000,2023-09-29T10:08:08.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11433,107-16 159 STREET,159 STREET,107 AVENUE,108 AVENUE,ADDRESS,JAMAICA,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-29T10:08:04.000,12 QUEENS,4101250033,QUEENS,1041131,193090,ONLINE,Unspecified,QUEENS,40.69648141686476,-73.79487204187575,"{'latitude': '40.69648141686476', 'longitude': '-73.79487204187575', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,107 AVENUE,108 AVENUE,159 STREET,,,,,,
59435552,2023-09-29T09:43:16.000,2023-09-29T22:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,10473,700 METCALF AVENUE,METCALF AVENUE,SEWARD AVENUE,LAFAYETTE AVENUE,ADDRESS,BRONX,Closed,,2023-09-29T22:30:00.000,09 BRONX,2035910001,BRONX,1020233,237418,ONLINE,Unspecified,BRONX,40.818259951344544,-73.86999838158536,"{'latitude': '40.818259951344544', 'longitude': '-73.86999838158536', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,SEWARD AVENUE,LAFAYETTE AVENUE,METCALF AVENUE,,,,,,
59459887,2023-09-29T09:43:12.000,2023-10-20T00:00:00.000,HPD,Department of Housing Preservation and Development,Water Leak,Heavy Flow,11416,94-16 WOODHAVEN BOULEVARD,WOODHAVEN BOULEVARD,ATLANTIC AVENUE,94 STREET,ADDRESS,OZONE PARK,Closed,,2023-10-20T00:00:00.000,09 QUEENS,,QUEENS,1026277,189862,PHONE,Unspecified,QUEENS,40.687704323108605,-73.84845951464261,"{'latitude': '40.687704323108605', 'longitude': '-73.84845951464261', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Apartment,ATLANTIC AVENUE,94 STREET,WOODHAVEN BOULEVARD,,,,,,
58965501,2023-09-29T09:43:10.000,2023-09-29T10:05:32.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11235,2849 BRIGHTON    6 STREET,BRIGHTON    6 STREET,BRIGHTON    4 TERRACE,NEPTUNE AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-29T10:05:30.000,13 BROOKLYN,,BROOKLYN,994554,151285,PHONE,Unspecified,BROOKLYN,40.581912462212316,-73.96290482304688,"{'latitude': '40.581912462212316', 'longitude': '-73.96290482304688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,BRIGHTON    4 TERRACE,NEPTUNE AVENUE,BRIGHTON    6 STREET,,,,,,
59438701,2023-09-29T09:43:01.000,2023-09-29T13:30:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11369,24-18 88 STREET,88 STREET,24 AVENUE,ASTORIA BOULEVARD,ADDRESS,EAST ELMHURST,Closed,,2023-09-29T13:30:00.000,03 QUEENS,,QUEENS,1017107,217966,PHONE,Unspecified,QUEENS,40.76488168323874,-73.88138733452469,"{'latitude': '40.76488168323874', 'longitude': '-73.88138733452469', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sewer,24 AVENUE,ASTORIA BOULEVARD,88 STREET,,,,,,
59456007,2023-09-29T09:42:57.000,2023-09-29T17:50:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Backup,11370,70-12 31 AVENUE,31 AVENUE,70 STREET,71 STREET,ADDRESS,EAST ELMHURST,Closed,,2023-09-29T17:50:00.000,03 QUEENS,4011410005,QUEENS,1012793,215481,PHONE,Unspecified,QUEENS,40.75807598207492,-73.8969712651458,"{'latitude': '40.75807598207492', 'longitude': '-73.8969712651458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sewer,70 STREET,71 STREET,31 AVENUE,,,,,,
59442269,2023-09-29T09:42:55.000,2023-09-29T18:05:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,11206,482 MARCY AVENUE,MARCY AVENUE,HOPKINS STREET,ELLERY STREET,ADDRESS,BROOKLYN,Closed,,2023-09-29T18:05:00.000,03 BROOKLYN,,BROOKLYN,998167,193712,PHONE,Unspecified,BROOKLYN,40.698360519365316,-73.94981023886807,"{'latitude': '40.698360519365316', 'longitude': '-73.94981023886807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,HOPKINS STREET,ELLERY STREET,MARCY AVENUE,,,,,,
58967953,2023-09-29T09:42:46.000,2023-09-29T11:27:28.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,11239,516 SCHROEDERS AVENUE,SCHROEDERS AVENUE,ASHFORD STREET,ELTON STREET,ADDRESS,BROOKLYN,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-29T11:25:04.000,05 BROOKLYN,,BROOKLYN,1019422,177846,ONLINE,Unspecified,BROOKLYN,40.65475302381683,-73.87323985668276,"{'latitude': '40.65475302381683', 'longitude': '-73.87323985668276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,ASHFORD STREET,ELTON STREET,SCHROEDERS AVENUE,,,,,,
59435506,2023-09-29T09:42:45.000,2023-09-30T14:35:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Catch Basin Clogged,11223,AVENUE U,AVENUE U,AVENUE U,EAST    5 STREET,INTERSECTION,,Closed,,2023-09-30T14:35:00.000,15 BROOKLYN,,BROOKLYN,993456,157030,PHONE,Unspecified,BROOKLYN,40.59768254573046,-73.9668498784211,"{'latitude': '40.59768254573046', 'longitude': '-73.9668498784211', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sewer,AVENUE U,EAST    5 STREET,,,,,,,
59445755,2023-09-29T09:42:41.000,2023-09-29T13:00:00.000,DEP,Department of Environmental Protection,Sewer Maintenance,Flooding on Street,11378,59-78 54 AVENUE,54 AVENUE,UNNAMED STREET,MAURICE AVENUE,ADDRESS,MASPETH,Closed,,2023-09-29T13:00:00.000,02 QUEENS,4026560086,QUEENS,1010158,204854,PHONE,Unspecified,QUEENS,40.72891565223909,-73.90652348009894,"{'latitude': '40.72891565223909', 'longitude': '-73.90652348009894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,UNNAMED STREET,MAURICE AVENUE,54 AVENUE,,,,,,
