unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,road_ramp,bridge_highway_segment,bridge_highway_direction,due_date,taxi_company_borough,taxi_pick_up_location
58859814,2023-09-15T08:01:48.000,2023-09-15T08:38:15.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,,,,,,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T08:38:18.000,0 Unspecified,,Unspecified,1036539,219182,MOBILE,Unspecified,Unspecified,40.76812570440924,-73.81122918479944,"{'latitude': '40.76812570440924', 'longitude': '-73.81122918479944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865211,2023-09-15T08:01:39.000,2023-09-15T08:21:50.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T08:21:55.000,0 Unspecified,,Unspecified,,192300,MOBILE,Unspecified,Unspecified,,,,,,,,,,,
58830147,2023-09-15T08:01:38.000,2023-09-18T11:04:53.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11238,379 PROSPECT PLACE,PROSPECT PLACE,UNDERHILL AVENUE,WASHINGTON AVENUE,UNDERHILL AVENUE,WASHINGTON AVENUE,ADDRESS,BROOKLYN,PROSPECT PLACE,Closed,The Department of Sanitation collected the requested items.,2023-09-16T09:46:34.000,08 BROOKLYN,3011530042,BROOKLYN,994198,185812,ONLINE,Unspecified,BROOKLYN,40.67668218488976,-73.96413555837773,"{'latitude': '40.67668218488976', 'longitude': '-73.96413555837773', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58834284,2023-09-15T08:01:32.000,2023-09-16T12:49:27.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,,,,,,,,,,,Closed,The Department of Sanitation collected the requested items.,2023-09-16T11:44:44.000,0 Unspecified,,Unspecified,946827,171234,ONLINE,Unspecified,Unspecified,40.636595305185104,-74.13483607084105,"{'latitude': '40.636595305185104', 'longitude': '-74.13483607084105', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58858902,2023-09-15T08:01:30.000,2023-09-19T13:35:15.000,DSNY,Department of Sanitation,Obstruction,Merchandise,Sidewalk,11222,533 MEEKER AVENUE,MEEKER AVENUE,RUSSELL STREET,NORTH HENRY STREET,RUSSELL STREET,NORTH HENRY STREET,ADDRESS,BROOKLYN,MEEKER AVENUE,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-19T13:35:18.000,01 BROOKLYN,3027280001,BROOKLYN,999915,201880,ONLINE,Unspecified,BROOKLYN,40.72077681648233,-73.94348731326997,"{'latitude': '40.72077681648233', 'longitude': '-73.94348731326997', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867234,2023-09-15T08:01:20.000,2023-09-15T09:51:37.000,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T09:51:42.000,0 Unspecified,,Unspecified,981768,158600,PHONE,Unspecified,Unspecified,40.601996311413096,-74.00893807472713,"{'latitude': '40.601996311413096', 'longitude': '-74.00893807472713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58858828,2023-09-15T08:01:14.000,2023-09-19T10:28:53.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11235,1629 JEROME AVENUE,JEROME AVENUE,SHEEPSHEAD BAY ROAD,EAST   17 STREET,SHEEPSHEAD BAY ROAD,EAST   17 STREET,ADDRESS,BROOKLYN,JEROME AVENUE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-19T10:28:57.000,15 BROOKLYN,3074600081,BROOKLYN,997417,153231,MOBILE,Unspecified,BROOKLYN,40.587250054857336,-73.95259401758273,"{'latitude': '40.587250054857336', 'longitude': '-73.95259401758273', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857604,2023-09-15T08:01:13.000,2023-09-15T08:40:46.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T08:40:51.000,0 Unspecified,,Unspecified,998993,194876,ONLINE,Unspecified,Unspecified,40.70155408924809,-73.94682883525863,"{'latitude': '40.70155408924809', 'longitude': '-73.94682883525863', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58860831,2023-09-15T08:01:12.000,2023-09-15T11:31:30.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T11:31:34.000,0 Unspecified,,Unspecified,1021956,266287,MOBILE,Unspecified,Unspecified,40.897489416805456,-73.86361103531516,"{'latitude': '40.897489416805456', 'longitude': '-73.86361103531516', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58859216,2023-09-15T08:01:03.000,2023-09-15T08:30:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T08:30:45.000,0 Unspecified,,Unspecified,1010174,221289,ONLINE,Unspecified,Unspecified,40.7740254970498,-73.90640239224112,"{'latitude': '40.7740254970498', 'longitude': '-73.90640239224112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857623,2023-09-15T08:00:30.000,2023-09-15T09:52:33.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-15T09:52:37.000,0 Unspecified,,Unspecified,1014341,251231,PHONE,Unspecified,Unspecified,40.85619463817714,-73.89122337089276,"{'latitude': '40.85619463817714', 'longitude': '-73.89122337089276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58830178,2023-09-15T08:00:05.000,2023-09-16T12:53:45.000,DSNY,Department of Sanitation,Dead Animal,Squirrel,Street,,,,,,,,,,,Closed,The Department of Sanitation removed the items.,2023-09-16T12:06:15.000,0 Unspecified,,Unspecified,930332,138857,PHONE,Unspecified,Unspecified,40.54764210972022,-74.19400946624201,"{'latitude': '40.54764210972022', 'longitude': '-74.19400946624201', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58856853,2023-09-15T07:59:35.000,2023-09-15T08:29:53.000,DHS,Department of Homeless Services,Encampment,N/A,Store/Commercial,,,,,,,,,,,Closed,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,2023-09-15T08:29:58.000,0 Unspecified,,Unspecified,984463,206542,MOBILE,Unspecified,Unspecified,40.733586737924476,-73.99923143852472,"{'latitude': '40.733586737924476', 'longitude': '-73.99923143852472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58868424,2023-09-15T07:59:35.000,2023-09-15T08:11:17.000,NYPD,New York City Police Department,Encampment,N/A,Store/Commercial,,,,,,,,,,,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-15T08:11:23.000,0 Unspecified,,Unspecified,984463,206542,MOBILE,Unspecified,Unspecified,40.733586737924476,-73.99923143852472,"{'latitude': '40.733586737924476', 'longitude': '-73.99923143852472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58862241,2023-09-15T07:59:25.000,2023-09-15T08:25:19.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T08:25:23.000,0 Unspecified,,Unspecified,960995,174221,MOBILE,Unspecified,Unspecified,40.64484250476092,-74.08379872373126,"{'latitude': '40.64484250476092', 'longitude': '-74.08379872373126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58862604,2023-09-15T07:59:23.000,2023-09-15T08:42:31.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T08:42:36.000,0 Unspecified,,Unspecified,988570,218072,ONLINE,Unspecified,Unspecified,40.765232628022915,-73.98440486772996,"{'latitude': '40.765232628022915', 'longitude': '-73.98440486772996', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58856724,2023-09-15T07:59:11.000,,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Worker Activity,Mobile Food Vendor,,,,,,,,,,,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-09-15T09:41:07.000,0 Unspecified,,Unspecified,984299,211136,PHONE,Unspecified,Unspecified,40.74619612926188,-73.99982316131407,"{'latitude': '40.74619612926188', 'longitude': '-73.99982316131407', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863847,2023-09-15T07:59:10.000,2023-09-15T10:38:49.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Store/Commercial,,,,,,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T10:38:55.000,0 Unspecified,,Unspecified,1022393,261484,ONLINE,Unspecified,Unspecified,40.88430483804905,-73.86205769340944,"{'latitude': '40.88430483804905', 'longitude': '-73.86205769340944', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58866564,2023-09-15T07:58:59.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,11215,425 FIFTH AVENUE,FIFTH AVENUE,8 STREET,9 STREET,8 STREET,9 STREET,ADDRESS,BROOKLYN,5 AVENUE,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-15T11:20:05.000,06 BROOKLYN,3010050009,BROOKLYN,988162,183246,MOBILE,Unspecified,BROOKLYN,40.669643816384024,-73.98589798080901,"{'latitude': '40.669643816384024', 'longitude': '-73.98589798080901', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58827633,2023-09-15T07:58:55.000,2023-10-03T11:46:56.000,DSNY,Department of Sanitation,Dumpster Complaint,Blocking Sidewalk or Street,Sidewalk,10019,20 WEST   54 STREET,WEST   54 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   54 STREET,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-16T04:35:49.000,05 MANHATTAN,1012690020,MANHATTAN,990819,216681,ONLINE,Unspecified,MANHATTAN,40.76141330649698,-73.97628737263915,"{'latitude': '40.76141330649698', 'longitude': '-73.97628737263915', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58866585,2023-09-15T07:58:40.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-23T09:58:07.000,Unspecified MANHATTAN,,MANHATTAN,982745,204462,MOBILE,Unspecified,MANHATTAN,40.727877521824496,-74.00542998086519,"{'latitude': '40.727877521824496', 'longitude': '-74.00542998086519', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,1,King St & Varick St to Uptown & The Bron,Entrance,,,,
58857166,2023-09-15T07:58:36.000,2023-09-15T08:30:13.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T08:30:18.000,0 Unspecified,,Unspecified,978834,167139,ONLINE,Unspecified,Unspecified,40.62543279590992,-74.01951072179848,"{'latitude': '40.62543279590992', 'longitude': '-74.01951072179848', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58859365,2023-09-15T07:58:29.000,2023-09-15T17:04:07.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-15T17:04:12.000,0 Unspecified,,Unspecified,,237079,PHONE,Unspecified,Unspecified,,,,,,,,,,,
58822312,2023-09-15T07:58:18.000,2023-09-18T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Privately Owned Public Space/Non-Compliance,,11101,29-37 QUEENS PLAZA NORTH,QUEENS PLAZA NORTH,,,,,ADDRESS,LONG ISLAND CITY,,Closed,"The Department of Buildings attempted to investigate this complaint but could not locate the premises. If the problem still exists, please call 311 and file a new complaint with additional information about how to locate the building. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-18T00:00:00.000,01 QUEENS,,QUEENS,1001823,212487,UNKNOWN,Unspecified,QUEENS,40.74988682314219,-73.93657635379327,"{'latitude': '40.74988682314219', 'longitude': '-73.93657635379327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58856803,2023-09-15T07:58:02.000,,DPR,Department of Parks and Recreation,Wood Pile Remaining,Remove Debris,Street,,,,,,,,,,,In Progress,,,0 Unspecified,,Unspecified,974854,167913,ONLINE,Unspecified,Unspecified,40.62755393597147,-74.03384944080312,"{'latitude': '40.62755393597147', 'longitude': '-74.03384944080312', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58828936,2023-09-15T07:57:55.000,2023-09-16T12:10:16.000,DSNY,Department of Sanitation,Litter Basket Request,Replacement Basket,Street,,,,,,,,,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-15T11:24:13.000,0 Unspecified,,Unspecified,991347,228180,ONLINE,Unspecified,Unspecified,40.79297462355084,-73.97436926492558,"{'latitude': '40.79297462355084', 'longitude': '-73.97436926492558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867551,2023-09-15T07:57:55.000,2023-09-15T08:12:55.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,,,,,,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T08:13:00.000,0 Unspecified,,Unspecified,955921,,ONLINE,Unspecified,Unspecified,,,,,,,,,,,
58823195,2023-09-15T07:57:51.000,2023-09-15T07:57:51.000,DOB,Department of Buildings,General Construction/Plumbing,Cons - Contrary/Beyond Approved Plans/Permits,,11217,689 SACKETT STREET,SACKETT STREET,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-09-15T00:00:00.000,06 BROOKLYN,3009490068,BROOKLYN,989440,186123,UNKNOWN,Unspecified,BROOKLYN,40.6775398778858,-73.98128881764148,"{'latitude': '40.6775398778858', 'longitude': '-73.98128881764148', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58834215,2023-09-15T07:57:47.000,2023-09-16T04:34:58.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,,,,,,,,,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-16T04:35:04.000,0 Unspecified,,Unspecified,989440,217358,ONLINE,Unspecified,Unspecified,40.763272414356834,-73.9812647327388,"{'latitude': '40.763272414356834', 'longitude': '-73.9812647327388', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58867140,2023-09-15T07:57:44.000,2023-09-15T10:51:26.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T10:51:31.000,0 Unspecified,,Unspecified,993520,157604,ONLINE,Unspecified,Unspecified,40.59925799283512,-73.96661863153962,"{'latitude': '40.59925799283512', 'longitude': '-73.96661863153962', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863282,2023-09-15T07:57:43.000,2023-09-15T11:02:46.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T11:02:51.000,0 Unspecified,,Unspecified,,217582,MOBILE,Unspecified,Unspecified,,,,,,,,,,,
58859295,2023-09-15T07:57:40.000,2023-09-15T08:46:46.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T08:46:51.000,0 Unspecified,,Unspecified,1005437,217912,MOBILE,Unspecified,Unspecified,40.76476913719903,-73.92351578512367,"{'latitude': '40.76476913719903', 'longitude': '-73.92351578512367', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58835447,2023-09-15T07:57:28.000,2023-09-16T04:35:38.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,,,,,,,,,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-16T04:35:44.000,0 Unspecified,,Unspecified,988955,210303,MOBILE,Unspecified,Unspecified,40.74390850135913,-73.98302046013151,"{'latitude': '40.74390850135913', 'longitude': '-73.98302046013151', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863413,2023-09-15T07:57:13.000,2023-09-15T08:07:36.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T08:07:49.000,0 Unspecified,,Unspecified,1017416,208342,PHONE,Unspecified,Unspecified,40.73846510899793,-73.88031932333577,"{'latitude': '40.73846510899793', 'longitude': '-73.88031932333577', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58870291,2023-09-15T07:57:09.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,,,,,,,,,,,In Progress,,,0 Unspecified,,Unspecified,,183013,ONLINE,Unspecified,Unspecified,,,,,,,,,,,
58862709,2023-09-15T07:57:03.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,11215,269 EIGHTH STREET,EIGHTH STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,8 STREET,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-15T11:19:53.000,06 BROOKLYN,3009987503,BROOKLYN,988016,183412,MOBILE,Unspecified,BROOKLYN,40.670099512597076,-73.9864241904129,"{'latitude': '40.670099512597076', 'longitude': '-73.9864241904129', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58861241,2023-09-15T07:56:58.000,2023-09-15T10:19:55.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T10:20:00.000,0 Unspecified,,Unspecified,,203751,MOBILE,Unspecified,Unspecified,,,,,,,,,,,
58857366,2023-09-15T07:56:46.000,2023-09-15T15:20:41.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T15:20:45.000,0 Unspecified,,Unspecified,991716,158366,ONLINE,Unspecified,Unspecified,40.60135123161908,-73.97311401204387,"{'latitude': '40.60135123161908', 'longitude': '-73.97311401204387', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58865554,2023-09-15T07:56:41.000,2023-09-15T09:04:45.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,,,,,,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T09:04:49.000,0 Unspecified,,Unspecified,,203498,PHONE,Unspecified,Unspecified,,,,,,,,,,,
58859257,2023-09-15T07:56:28.000,2023-09-15T08:41:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,,,,,,,,,,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T08:41:11.000,0 Unspecified,,Unspecified,1016754,206066,PHONE,Unspecified,Unspecified,40.73222051370358,-73.88271916684197,"{'latitude': '40.73222051370358', 'longitude': '-73.88271916684197', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
