unique_key,created_date,agency,agency_name,complaint_type,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,descriptor,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,facility_type,road_ramp,due_date,taxi_pick_up_location
58873115,2023-09-20T05:56:33.000,DHS,Department of Homeless Services,Homeless Person Assistance,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-10-10T10:15:47.000,Unspecified BROOKLYN,,BROOKLYN,987290,183579,MOBILE,Unspecified,BROOKLYN,40.67055816931585,-73.98904122546709,"{'latitude': '40.67055816931585', 'longitude': '-73.98904122546709', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,F,,Mezzanine,,,,
58871072,2023-09-20T05:56:30.000,NYPD,New York City Police Department,Noise - Residential,Residential Building/House,10451,875 MELROSE AVENUE,MELROSE AVENUE,EAST  161 STREET,EAST  162 STREET,EAST  161 STREET,EAST  162 STREET,ADDRESS,BRONX,MELROSE AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-20T06:34:57.000,03 BRONX,2024080001,BRONX,1008107,239598,ONLINE,Unspecified,BRONX,40.824284503815676,-73.91380016204445,"{'latitude': '40.824284503815676', 'longitude': '-73.91380016204445', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:34:55.000,Banging/Pounding,,,,,,,
58871076,2023-09-20T05:55:58.000,NYPD,New York City Police Department,Noise - Residential,Residential Building/House,10029,315 EAST  102 STREET,EAST  102 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST  102 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-20T06:12:52.000,11 MANHATTAN,1016740010,MANHATTAN,999822,226311,ONLINE,Unspecified,MANHATTAN,40.787833852003956,-73.9437662377238,"{'latitude': '40.787833852003956', 'longitude': '-73.9437662377238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:12:48.000,Banging/Pounding,,,,,,,
58879708,2023-09-20T05:55:38.000,DSNY,Department of Sanitation,Commercial Disposal Complaint,Street,10013,145 HUDSON STREET,HUDSON STREET,ERICSSON PLACE,HUBERT STREET,ERICSSON PLACE,HUBERT STREET,ADDRESS,NEW YORK,HUDSON STREET,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-20T19:21:09.000,01 MANHATTAN,1002147502,MANHATTAN,981922,201983,ONLINE,Unspecified,MANHATTAN,40.72107308980226,-74.00839847498452,"{'latitude': '40.72107308980226', 'longitude': '-74.00839847498452', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T19:21:04.000,No Private Carter,,,,,,,
58876534,2023-09-20T05:55:30.000,HPD,Department of Housing Preservation and Development,GENERAL,RESIDENTIAL BUILDING,11206,417 LORIMER STREET,LORIMER STREET,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-10T00:00:00.000,01 BROOKLYN,3030220025,BROOKLYN,998497,197731,ONLINE,Unspecified,BROOKLYN,40.70939120268948,-73.94861163637752,"{'latitude': '40.70939120268948', 'longitude': '-73.94861163637752', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-10T08:44:41.000,BELL/BUZZER/INTERCOM,,,,,,,
58879019,2023-09-20T05:55:04.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10035,125 EAST  128 STREET,EAST  128 STREET,PARK AVENUE,LEXINGTON AVENUE,PARK AVENUE,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST  128 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T06:18:13.000,11 MANHATTAN,1017770005,MANHATTAN,1001807,233128,ONLINE,Unspecified,MANHATTAN,40.8065409384437,-73.9365801652211,"{'latitude': '40.8065409384437', 'longitude': '-73.9365801652211', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:18:10.000,Loud Music/Party,,,,,,,
58872664,2023-09-20T05:54:54.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,RESIDENTIAL BUILDING,11208,765 LINCOLN AVENUE,LINCOLN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,05 BROOKLYN,3042719001,BROOKLYN,1021474,183447,PHONE,Unspecified,BROOKLYN,40.67011812462209,-73.86581352291451,"{'latitude': '40.67011812462209', 'longitude': '-73.86581352291451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T19:42:38.000,MOLD,,,,,,,
58880655,2023-09-20T05:54:54.000,HPD,Department of Housing Preservation and Development,WATER LEAK,RESIDENTIAL BUILDING,11208,765 LINCOLN AVENUE,LINCOLN AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-22T00:00:00.000,05 BROOKLYN,3042719001,BROOKLYN,1021474,183447,PHONE,Unspecified,BROOKLYN,40.67011812462209,-73.86581352291451,"{'latitude': '40.67011812462209', 'longitude': '-73.86581352291451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T19:42:38.000,HEAVY FLOW,,,,,,,
58880446,2023-09-20T05:54:31.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Residential Building/House,11373,40-42 WARREN STREET,WARREN STREET,40 ROAD,41 AVENUE,40 ROAD,41 AVENUE,ADDRESS,ELMHURST,WARREN STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T06:58:37.000,04 QUEENS,4015950023,QUEENS,1020296,211918,ONLINE,Unspecified,QUEENS,40.74826905609677,-73.86990759262633,"{'latitude': '40.74826905609677', 'longitude': '-73.86990759262633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:58:32.000,Other (complaint details),,,,,,,
58880080,2023-09-20T05:54:16.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,11215,463 3 AVENUE,3 AVENUE,9 STREET,CULVER/6 AVENUE LINE,9 STREET,CULVER/6 AVENUE LINE,ADDRESS,BROOKLYN,3 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T07:07:59.000,06 BROOKLYN,3010090005,BROOKLYN,986675,183799,ONLINE,Unspecified,BROOKLYN,40.67116220990394,-73.99125813523213,"{'latitude': '40.67116220990394', 'longitude': '-73.99125813523213', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T07:07:55.000,Double Parked Blocking Traffic,,,,,,,
58880213,2023-09-20T05:53:46.000,NYPD,New York City Police Department,Blocked Driveway,Street/Sidewalk,10466,682 EAST  236 STREET,EAST  236 STREET,RICHARDSON AVENUE,WHITE PLAINS ROAD,RICHARDSON AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,EAST  236 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T06:40:22.000,12 BRONX,2049960083,BRONX,1023849,265665,PHONE,Unspecified,BRONX,40.89577393478654,-73.85676742562896,"{'latitude': '40.89577393478654', 'longitude': '-73.85676742562896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:40:13.000,Partial Access,,,,,,,
58874803,2023-09-20T05:53:17.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,11433,162-10 TUSKEGEE AIRMEN WAY,TUSKEGEE AIRMEN WAY,UNION HALL STREET,GUY R BREWER BOULEVARD,UNION HALL STREET,GUY R BREWER BOULEVARD,ADDRESS,JAMAICA,SOUTH ROAD,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T06:02:33.000,12 QUEENS,4101290007,QUEENS,1041290,194175,MOBILE,Unspecified,QUEENS,40.69945845749823,-73.79428945917765,"{'latitude': '40.69945845749823', 'longitude': '-73.79428945917765', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:02:29.000,Commercial Overnight Parking,,,,,,,
58872126,2023-09-20T05:52:59.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,10451,3138 PARK AVENUE,PARK AVENUE,EAST  159 STREET,EAST  160 STREET,EAST  159 STREET,EAST  160 STREET,ADDRESS,BRONX,PARK AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T06:32:58.000,03 BRONX,2024190004,BRONX,1007132,239503,MOBILE,Unspecified,BRONX,40.824026335490366,-73.91732334266297,"{'latitude': '40.824026335490366', 'longitude': '-73.91732334266297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:32:55.000,Blocked Hydrant,,,,,,,
58872514,2023-09-20T05:52:24.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Residential Building/House,11373,40-42 WARREN STREET,WARREN STREET,40 ROAD,41 AVENUE,40 ROAD,41 AVENUE,ADDRESS,ELMHURST,WARREN STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T06:58:14.000,04 QUEENS,4015950023,QUEENS,1020296,211918,ONLINE,Unspecified,QUEENS,40.74826905609677,-73.86990759262633,"{'latitude': '40.74826905609677', 'longitude': '-73.86990759262633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:58:09.000,Other (complaint details),,,,,,,
58872251,2023-09-20T05:50:47.000,NYPD,New York City Police Department,Blocked Driveway,Street/Sidewalk,11212,2052 UNION STREET,UNION STREET,EAST NEW YORK AVENUE,SUTTER AVENUE,EAST NEW YORK AVENUE,SUTTER AVENUE,ADDRESS,BROOKLYN,UNION STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T06:35:32.000,16 BROOKLYN,3035090056,BROOKLYN,1006006,182032,PHONE,Unspecified,BROOKLYN,40.66628579078828,-73.92157767804714,"{'latitude': '40.66628579078828', 'longitude': '-73.92157767804714', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:35:28.000,No Access,,,,,,,
58875154,2023-09-20T05:50:15.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,10026,60 WEST  117 STREET,WEST  117 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,WEST  117 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T05:54:41.000,10 MANHATTAN,1016007501,MANHATTAN,998599,231567,MOBILE,Unspecified,MANHATTAN,40.80226221585639,-73.94817151632553,"{'latitude': '40.80226221585639', 'longitude': '-73.94817151632553', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T05:54:38.000,Loud Talking,,,,,,,
58877787,2023-09-20T05:50:05.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Residential Building/House,11373,40-42 WARREN STREET,WARREN STREET,40 ROAD,41 AVENUE,40 ROAD,41 AVENUE,ADDRESS,ELMHURST,WARREN STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T06:57:49.000,04 QUEENS,4015950023,QUEENS,1020296,211918,ONLINE,Unspecified,QUEENS,40.74826905609677,-73.86990759262633,"{'latitude': '40.74826905609677', 'longitude': '-73.86990759262633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:57:46.000,Other (complaint details),,,,,,,
58875121,2023-09-20T05:49:46.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Street/Sidewalk,11433,108-21 160 STREET,160 STREET,108 AVENUE,109 AVENUE,108 AVENUE,109 AVENUE,ADDRESS,JAMAICA,160 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T05:59:56.000,12 QUEENS,4101497501,QUEENS,1041676,192625,ONLINE,Unspecified,QUEENS,40.69520158366142,-73.79291059915037,"{'latitude': '40.69520158366142', 'longitude': '-73.79291059915037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T05:59:52.000,Loud Music/Party,,,,,,,
58877941,2023-09-20T05:49:36.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,RESIDENTIAL BUILDING,10462,1868 HOLLAND AVENUE,HOLLAND AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-23T00:00:00.000,11 BRONX,2040520033,BRONX,1021650,247891,PHONE,Unspecified,BRONX,40.84699940301224,-73.86482057337778,"{'latitude': '40.84699940301224', 'longitude': '-73.86482057337778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-23T08:34:08.000,PESTS,,,,,,,
58876267,2023-09-20T05:49:06.000,NYPD,New York City Police Department,Blocked Driveway,Street/Sidewalk,11102,27-30 21 STREET,21 STREET,27 ROAD,28 AVENUE,27 ROAD,28 AVENUE,ADDRESS,ASTORIA,21 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T06:29:12.000,01 QUEENS,4005390038,QUEENS,1004608,220378,PHONE,Unspecified,QUEENS,40.77153961247574,-73.92650097081732,"{'latitude': '40.77153961247574', 'longitude': '-73.92650097081732', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:29:06.000,No Access,,,,,,,
58875772,2023-09-20T05:48:57.000,DHS,Department of Homeless Services,Homeless Person Assistance,Subway,,,,,,,,ADDRESS,,,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-27T22:21:11.000,Unspecified QUEENS,,QUEENS,1012386,212417,MOBILE,Unspecified,QUEENS,40.74966739007307,-73.89845319094752,"{'latitude': '40.74966739007307', 'longitude': '-73.89845319094752', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,R,,Mezzanine,,,,
58876302,2023-09-20T05:48:34.000,DOB,Department of Buildings,Building/Use,,11358,42-14 194 STREET,194 STREET,,,,,ADDRESS,FLUSHING,,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-06T00:00:00.000,11 QUEENS,4053690020,QUEENS,1043039,215932,UNKNOWN,Unspecified,QUEENS,40.75916448203051,-73.78779175968226,"{'latitude': '40.75916448203051', 'longitude': '-73.78779175968226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-06T00:00:00.000,Illegal. Commercial Use In Resident Zone,,,,N/A,,,
58875175,2023-09-20T05:48:20.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Street/Sidewalk,11373,40-42 WARREN STREET,WARREN STREET,40 ROAD,41 AVENUE,40 ROAD,41 AVENUE,ADDRESS,ELMHURST,WARREN STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T06:57:24.000,04 QUEENS,4015950023,QUEENS,1020296,211918,ONLINE,Unspecified,QUEENS,40.74826905609677,-73.86990759262633,"{'latitude': '40.74826905609677', 'longitude': '-73.86990759262633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:57:21.000,Other (complaint details),,,,,,,
58878656,2023-09-20T05:47:57.000,NYPD,New York City Police Department,Illegal Parking,Street/Sidewalk,10455,418 EAST  153 STREET,EAST  153 STREET,MELROSE AVENUE,ELTON AVENUE,MELROSE AVENUE,ELTON AVENUE,ADDRESS,BRONX,EAST  153 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T06:11:14.000,01 BRONX,2023740080,BRONX,1007501,237578,ONLINE,Unspecified,BRONX,40.818741793230835,-73.91599675209956,"{'latitude': '40.818741793230835', 'longitude': '-73.91599675209956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:11:09.000,Blocked Hydrant,,,,,,,
58878375,2023-09-20T05:47:53.000,NYPD,New York City Police Department,Panhandling,Subway,,,,,,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-20T06:14:08.000,Unspecified BRONX,,BRONX,1011624,253635,MOBILE,Unspecified,BRONX,40.86280173401429,-73.90103528820221,"{'latitude': '40.86280173401429', 'longitude': '-73.90103528820221', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:14:04.000,N/A,4,,Mezzanine,,,,
58877083,2023-09-20T05:47:37.000,DHS,Department of Homeless Services,Homeless Person Assistance,Street/Sidewalk,10036,208 WEST   41 STREET,WEST   41 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,NEW YORK,WEST   41 STREET,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-20T08:53:23.000,05 MANHATTAN,1010120038,MANHATTAN,987564,214568,MOBILE,Unspecified,MANHATTAN,40.75561548114431,-73.98803823923103,"{'latitude': '40.75561548114431', 'longitude': '-73.98803823923103', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
