unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp
58831880,2023-09-16T08:59:44.000,2023-09-16T11:50:58.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11416,97-04 ATLANTIC AVENUE,ATLANTIC AVENUE,ADDRESS,OZONE PARK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T11:51:04.000,09 QUEENS,4090420004,QUEENS,1027062,190357,PHONE,Unspecified,QUEENS,40.689059220050495,-73.8456258307544,"{'latitude': '40.689059220050495', 'longitude': '-73.8456258307544', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",97 STREET,98 STREET,97 STREET,98 STREET,ATLANTIC AVENUE,,,,,,
58836764,2023-09-16T08:59:41.000,2023-09-30T06:41:28.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,10465,625 CLARENCE AVENUE,CLARENCE AVENUE,ADDRESS,BRONX,Closed,The Department of Sanitation collected the requested items.,2023-09-18T06:04:01.000,10 BRONX,2054850064,BRONX,1035743,241089,ONLINE,Unspecified,BRONX,40.82825898893302,-73.81393486143611,"{'latitude': '40.82825898893302', 'longitude': '-73.81393486143611', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SCHLEY AVENUE,RANDALL AVENUE,SCHLEY AVENUE,RANDALL AVENUE,CLARENCE AVENUE,,,,,,
58835790,2023-09-16T08:59:01.000,2023-09-16T12:15:20.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10470,4324 KEPLER AVENUE,KEPLER AVENUE,ADDRESS,BRONX,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T12:15:24.000,12 BRONX,2033780010,BRONX,1019930,266872,MOBILE,Unspecified,BRONX,40.89910347836182,-73.87093629055806,"{'latitude': '40.89910347836182', 'longitude': '-73.87093629055806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  237 STREET,EAST  238 STREET,EAST  237 STREET,EAST  238 STREET,KEPLER AVENUE,,,,,,
58827705,2023-09-16T08:59:00.000,2023-09-23T12:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11209,,,INTERSECTION,BROOKLYN,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-23T12:00:00.000,10 BROOKLYN,,BROOKLYN,974722,166138,ONLINE,Unspecified,BROOKLYN,40.62268179246803,-74.03432247017972,"{'latitude': '40.62268179246803', 'longitude': '-74.03432247017972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,88 STREET,RIDGE BOULEVARD,,N/A,,,,,
58828838,2023-09-16T08:59:00.000,2023-09-19T11:30:23.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper/Metal/Glass/Rigid Plastic,Street,11103,40-05 30 AVENUE,30 AVENUE,ADDRESS,ASTORIA,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-16T16:39:31.000,01 QUEENS,4006630045,QUEENS,1007887,217543,ONLINE,Unspecified,QUEENS,40.76375011690937,-73.91467268686883,"{'latitude': '40.76375011690937', 'longitude': '-73.91467268686883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEWTOWN ROAD,41 STREET,NEWTOWN ROAD,41 STREET,30 AVENUE,,,,,,
58826370,2023-09-16T08:59:00.000,2023-09-23T12:30:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10457,2104 RYER AVENUE,RYER AVENUE,ADDRESS,BRONX,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-23T12:30:00.000,05 BRONX,2031490082,BRONX,1011729,250204,ONLINE,Unspecified,BRONX,40.85338434735667,-73.90066974943997,"{'latitude': '40.85338434735667', 'longitude': '-73.90066974943997', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",E 180 ST,E 181 ST,,,,N/A,,,,,
58835847,2023-09-16T08:58:59.000,2023-09-16T09:28:27.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11215,305 13 STREET,13 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-16T09:28:32.000,06 BROOKLYN,3010290056,BROOKLYN,987869,181965,PHONE,Unspecified,BROOKLYN,40.666127881441724,-73.98695487799252,"{'latitude': '40.666127881441724', 'longitude': '-73.98695487799252', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,13 STREET,,,,,,
58836860,2023-09-16T08:58:57.000,2023-09-30T09:31:29.000,DSNY,Department of Sanitation,Sanitation Worker or Vehicle Complaint,Spilled Garbage,Street,10469,1287 GIVAN AVENUE,GIVAN AVENUE,ADDRESS,BRONX,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-19T07:10:58.000,12 BRONX,2047340043,BRONX,1025754,257454,PHONE,Unspecified,BRONX,40.873228586625956,-73.8499277917749,"{'latitude': '40.873228586625956', 'longitude': '-73.8499277917749', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BOUCK AVENUE,WILSON AVENUE,BOUCK AVENUE,WILSON AVENUE,GIVAN AVENUE,,,,,,
58829855,2023-09-16T08:58:52.000,2023-09-16T09:19:55.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11225,507 BROOKLYN AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T09:20:00.000,09 BROOKLYN,3013327503,BROOKLYN,999348,180576,PHONE,Unspecified,BROOKLYN,40.66230325146866,-73.94558055501295,"{'latitude': '40.66230325146866', 'longitude': '-73.94558055501295', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LEFFERTS AVENUE,EAST NEW YORK AVENUE,LEFFERTS AVENUE,EAST NEW YORK AVENUE,BROOKLYN AVENUE,,,,,,
58832319,2023-09-16T08:58:41.000,2023-09-16T09:02:10.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10010,342 EAST   23 STREET,EAST   23 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-16T09:02:14.000,06 MANHATTAN,1009287503,MANHATTAN,989857,207930,MOBILE,Unspecified,MANHATTAN,40.73739468074807,-73.97976727459847,"{'latitude': '40.73739468074807', 'longitude': '-73.97976727459847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,EAST   23 STREET,,,,,,
58829454,2023-09-16T08:58:41.000,2023-09-16T09:35:19.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,150 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,ADDRESS,BROOKLYN,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-16T09:35:22.000,03 BROOKLYN,3016360024,BROOKLYN,1003623,190063,PHONE,Unspecified,BROOKLYN,40.688334599490894,-73.93014442097454,"{'latitude': '40.688334599490894', 'longitude': '-73.93014442097454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GATES AVENUE,MONROE STREET,GATES AVENUE,MONROE STREET,MALCOLM X BOULEVARD,,,,,,
58829939,2023-09-16T08:58:22.000,2023-10-02T11:53:33.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Park,11222,MCCARREN PARK,MCCARREN PARK,UNRECOGNIZED,BROOKLYN,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-10-02T11:53:36.000,01 BROOKLYN,3026960001,BROOKLYN,997610,201904,ONLINE,Unspecified,BROOKLYN,40.72084647199604,-73.95180272776703,"{'latitude': '40.72084647199604', 'longitude': '-73.95180272776703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BAYARD STREET,DRIGGS AVENUE,BAYARD STREET,DRIGGS AVENUE,MCCARREN PARK,,,,,,
58831107,2023-09-16T08:58:20.000,2023-10-02T11:15:30.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10030,123 WEST  135 STREET,WEST  135 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,10 MANHATTAN,1019200018,MANHATTAN,1000341,236043,PHONE,Unspecified,MANHATTAN,40.81454459375653,-73.94186869780427,"{'latitude': '40.81454459375653', 'longitude': '-73.94186869780427', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58828523,2023-09-16T08:58:20.000,2023-10-02T11:15:29.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10030,123 WEST  135 STREET,WEST  135 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-02T00:00:00.000,10 MANHATTAN,1019200018,MANHATTAN,1000341,236043,PHONE,Unspecified,MANHATTAN,40.81454459375653,-73.94186869780427,"{'latitude': '40.81454459375653', 'longitude': '-73.94186869780427', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,
58830659,2023-09-16T08:58:09.000,2023-09-16T09:27:23.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11694,177 BEACH  134 STREET,BEACH  134 STREET,ADDRESS,FAR ROCKAWAY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T09:27:27.000,14 QUEENS,4162790018,QUEENS,1025470,148317,PHONE,Unspecified,QUEENS,40.57367605296293,-73.85162312380362,"{'latitude': '40.57367605296293', 'longitude': '-73.85162312380362', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,OCEAN PROMENADE,ROCKAWAY BEACH BOULEVARD,BEACH  134 STREET,,,,,,
58832592,2023-09-16T08:58:02.000,2023-09-16T09:18:54.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11694,320 BEACH  100 STREET,BEACH  100 STREET,ADDRESS,FAR ROCKAWAY,Closed,The Police Department responded to the complaint and a report was prepared.,2023-09-16T09:19:00.000,14 QUEENS,4161550021,QUEENS,1033703,152775,MOBILE,Unspecified,QUEENS,40.585870257596675,-73.82195480282432,"{'latitude': '40.585870257596675', 'longitude': '-73.82195480282432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CROSS BAY BRIDGE EXIT RAMP,BEACH  100 STREET,CROSS BAY BRIDGE EXIT RAMP,BEACH  100 STREET,BEACH  100 STREET,,,,,,
58828627,2023-09-16T08:57:47.000,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11206,136 MCKIBBIN STREET,MCKIBBIN STREET,ADDRESS,BROOKLYN,In Progress,,,01 BROOKLYN,3030890008,BROOKLYN,1000133,196199,PHONE,Unspecified,BROOKLYN,40.70518344000625,-73.94271426463045,"{'latitude': '40.70518344000625', 'longitude': '-73.94271426463045', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GRAHAM AVENUE,DEAD END,GRAHAM AVENUE,DEAD END,MC KIBBIN STREET,,,,,,
58831502,2023-09-16T08:57:42.000,2023-09-20T05:39:06.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Street,11423,EPSOM COURSE,EPSOM COURSE,INTERSECTION,,Closed,The Department of Sanitation found an open service request already exists for the same location.,2023-09-16T10:16:14.000,08 QUEENS,,QUEENS,1049438,203384,ONLINE,Unspecified,QUEENS,40.72467860892961,-73.764815264584,"{'latitude': '40.72467860892961', 'longitude': '-73.764815264584', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EPSOM COURSE,FRANCIS LEWIS BOULEVARD,EPSOM COURSE,FRANCIS LEWIS BOULEVARD,,,,,,,
58830155,2023-09-16T08:56:42.000,2023-09-30T06:41:34.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10465,625 CLARENCE AVENUE,CLARENCE AVENUE,ADDRESS,BRONX,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-18T06:06:44.000,10 BRONX,2054850064,BRONX,1035743,241089,ONLINE,Unspecified,BRONX,40.82825898893302,-73.81393486143611,"{'latitude': '40.82825898893302', 'longitude': '-73.81393486143611', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SCHLEY AVENUE,RANDALL AVENUE,SCHLEY AVENUE,RANDALL AVENUE,CLARENCE AVENUE,,,,,,
58829064,2023-09-16T08:56:27.000,2023-09-16T09:16:36.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11101,45-30 23 STREET,23 STREET,ADDRESS,LONG ISLAND CITY,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T09:16:40.000,02 QUEENS,4000760025,QUEENS,999334,211126,MOBILE,Unspecified,QUEENS,40.746155817304896,-73.94556258578667,"{'latitude': '40.746155817304896', 'longitude': '-73.94556258578667', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",45 ROAD,DAVIS STREET,45 ROAD,DAVIS STREET,23 STREET,,,,,,
58831518,2023-09-16T08:56:27.000,2023-09-19T14:43:16.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,Street,11691,8 HIGHLAND COURT,HIGHLAND COURT,ADDRESS,FAR ROCKAWAY,Closed,The Department of Sanitation collected the requested items.,2023-09-16T13:06:47.000,14 QUEENS,4157830068,QUEENS,1051178,156533,ONLINE,Unspecified,QUEENS,40.59607045941994,-73.75900276802915,"{'latitude': '40.59607045941994', 'longitude': '-73.75900276802915', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WATJEAN COURT,DUNE STREET,WATJEAN COURT,DUNE STREET,HIGHLAND COURT,,,,,,
58830538,2023-09-16T08:56:26.000,2023-09-16T10:15:58.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11219,970 41 STREET,41 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T10:16:03.000,12 BROOKLYN,3055907502,BROOKLYN,985650,173912,MOBILE,Unspecified,BROOKLYN,40.64402478671058,-73.99495520285376,"{'latitude': '40.64402478671058', 'longitude': '-73.99495520285376', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9 AVENUE,NEW UTRECHT AVENUE,9 AVENUE,NEW UTRECHT AVENUE,41 STREET,,,,,,
58827368,2023-09-16T08:56:25.000,2023-10-30T10:49:32.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Structure - Outdoors,Park,10065,EAST   61 STREET,EAST   61 STREET,INTERSECTION,,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-10-30T10:49:39.000,08 MANHATTAN,,MANHATTAN,995661,216136,PHONE,Unspecified,MANHATTAN,40.75991249796519,-73.95880975786145,"{'latitude': '40.75991249796519', 'longitude': '-73.95880975786145', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST   61 STREET,YORK AVENUE,EAST   61 STREET,YORK AVENUE,,,,,,,
58827479,2023-09-16T08:56:06.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Residential Building/House,11104,45-09 39 PLACE,39 PLACE,ADDRESS,SUNNYSIDE,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-16T11:36:53.000,02 QUEENS,4001940023,QUEENS,1004954,210114,MOBILE,Unspecified,QUEENS,40.743366759582834,-73.92528340587957,"{'latitude': '40.743366759582834', 'longitude': '-73.92528340587957', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",QUEENS BOULEVARD,47 AVENUE,QUEENS BOULEVARD,47 AVENUE,39 PLACE,,,,,,
58828969,2023-09-16T08:56:00.000,2023-09-23T14:30:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10461,2918 BAISLEY AVENUE,BAISLEY AVENUE,ADDRESS,BRONX,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-23T14:30:00.000,10 BRONX,2053110039,BRONX,1031514,243769,ONLINE,Unspecified,BRONX,40.83563844751283,-73.82919703451967,"{'latitude': '40.83563844751283', 'longitude': '-73.82919703451967', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRADFORD AVE,EDISON AVE,,,,N/A,,,,,
58826357,2023-09-16T08:56:00.000,2023-09-18T09:12:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10465,319 QUINCY AVENUE,QUINCY AVENUE,ADDRESS,BRONX,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-18T09:12:00.000,10 BRONX,2055790103,BRONX,1034064,237493,ONLINE,Unspecified,BRONX,40.818398638094735,-73.8200284497056,"{'latitude': '40.818398638094735', 'longitude': '-73.8200284497056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MILES AVE,SAMPSON AVE,,,,N/A,,,,,
58835784,2023-09-16T08:55:47.000,2023-09-16T09:00:42.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11225,507 BROOKLYN AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-16T09:00:46.000,09 BROOKLYN,3013327503,BROOKLYN,999348,180576,PHONE,Unspecified,BROOKLYN,40.66230325146866,-73.94558055501295,"{'latitude': '40.66230325146866', 'longitude': '-73.94558055501295', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LEFFERTS AVENUE,EAST NEW YORK AVENUE,LEFFERTS AVENUE,EAST NEW YORK AVENUE,BROOKLYN AVENUE,,,,,,
58828308,2023-09-16T08:55:34.000,2023-09-16T09:06:36.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10301,311 JERSEY STREET,JERSEY STREET,ADDRESS,STATEN ISLAND,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-16T09:06:41.000,01 STATEN ISLAND,,STATEN ISLAND,960095,172639,MOBILE,Unspecified,STATEN ISLAND,40.640497847888646,-74.08703618157669,"{'latitude': '40.640497847888646', 'longitude': '-74.08703618157669', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",TAFT AVENUE,PAUW STREET,TAFT AVENUE,PAUW STREET,JERSEY STREET,,,,,,
