unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,due_date,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
58868173,2023-09-15T13:13:07.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11237,85 WYCKOFF AVENUE,WYCKOFF AVENUE,ADDRESS,BROOKLYN,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-15T13:13:07.000,04 BROOKLYN,3032220008,BROOKLYN,1006304,196168,MOBILE,Unspecified,BROOKLYN,40.70508512364257,-73.92045722923052,"{'latitude': '40.70508512364257', 'longitude': '-73.92045722923052', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-21T11:46:41.000,SUYDAM STREET,HART STREET,SUYDAM STREET,HART STREET,WYCKOFF AVENUE,,,,,,,,
58866310,2023-09-15T13:12:41.000,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11413,216-05 133 AVENUE,133 AVENUE,ADDRESS,SPRINGFIELD GARDENS,Closed,"NYC Parks inspected and determined this site does not rate high enough to be repaired by NYC Parks at this time.   We understand conditions may become worse over time. In three years, you may submit a service request via 311, the Parks website, or NYC Tree Map for a new inspection.   You can repair the sidewalk yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website.",2023-10-16T19:51:56.000,13 QUEENS,4129240001,QUEENS,1053040,187626,PHONE,Unspecified,QUEENS,40.681399495158686,-73.75198103265981,"{'latitude': '40.681399495158686', 'longitude': '-73.75198103265981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-16T19:51:51.000,SPRINGFIELD BOULEVARD,217 STREET,SPRINGFIELD BOULEVARD,217 STREET,133 AVENUE,,,,,,,,
58822729,2023-09-15T13:12:22.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10456,1240 WASHINGTON AVENUE,WASHINGTON AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,03 BRONX,2023730006,BRONX,1010091,242323,PHONE,Unspecified,BRONX,40.83175826487734,-73.9066211054951,"{'latitude': '40.83175826487734', 'longitude': '-73.9066211054951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-24T11:25:04.000,,,,,,,,,,,,,
58820085,2023-09-15T13:12:21.000,HPD,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,10467,3435 OLINVILLE AVENUE,OLINVILLE AVENUE,ADDRESS,BRONX,Closed,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2023-09-22T00:00:00.000,12 BRONX,2046270029,BRONX,1020724,258615,ONLINE,Unspecified,BRONX,40.876437389391874,-73.86810916351783,"{'latitude': '40.876437389391874', 'longitude': '-73.86810916351783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-22T16:10:24.000,,,,,,,,,,,,,
58866094,2023-09-15T13:12:11.000,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T14:05:54.000,0 Unspecified,,Unspecified,988828,185600,MOBILE,Unspecified,Unspecified,40.67610469862822,-73.98349557816368,"{'latitude': '40.67610469862822', 'longitude': '-73.98349557816368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T14:05:50.000,,,,,,,,,,,,,
58823620,2023-09-15T13:12:07.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10030,2321 ADAM C POWELL BOULEVARD,ADAM C POWELL BOULEVARD,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,10 MANHATTAN,1019210001,MANHATTAN,999990,236597,PHONE,Unspecified,MANHATTAN,40.8160658007736,-73.94313544165297,"{'latitude': '40.8160658007736', 'longitude': '-73.94313544165297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-05T19:42:45.000,,,,,,,,,,,,,
58825992,2023-09-15T13:12:07.000,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10030,2321 ADAM C POWELL BOULEVARD,ADAM C POWELL BOULEVARD,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-05T00:00:00.000,10 MANHATTAN,1019210001,MANHATTAN,999990,236597,PHONE,Unspecified,MANHATTAN,40.8160658007736,-73.94313544165297,"{'latitude': '40.8160658007736', 'longitude': '-73.94313544165297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-05T19:42:46.000,,,,,,,,,,,,,
58824328,2023-09-15T13:12:07.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10030,2321 ADAM C POWELL BOULEVARD,ADAM C POWELL BOULEVARD,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,10 MANHATTAN,1019210001,MANHATTAN,999990,236597,PHONE,Unspecified,MANHATTAN,40.8160658007736,-73.94313544165297,"{'latitude': '40.8160658007736', 'longitude': '-73.94313544165297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-05T19:42:45.000,,,,,,,,,,,,,
58825965,2023-09-15T13:12:07.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10030,2321 ADAM C POWELL BOULEVARD,ADAM C POWELL BOULEVARD,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-05T00:00:00.000,10 MANHATTAN,1019210001,MANHATTAN,999990,236597,PHONE,Unspecified,MANHATTAN,40.8160658007736,-73.94313544165297,"{'latitude': '40.8160658007736', 'longitude': '-73.94313544165297', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-05T19:42:46.000,,,,,,,,,,,,,
58855517,2023-09-15T13:12:07.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T13:58:00.000,0 Unspecified,,Unspecified,1003557,,ONLINE,Unspecified,Unspecified,,,,2023-09-15T13:57:57.000,,,,,,,,,,,,,
58824340,2023-09-15T13:12:02.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11225,13 LEFFERTS AVENUE,LEFFERTS AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-22T00:00:00.000,09 BROOKLYN,3013180001,BROOKLYN,995289,180382,PHONE,Unspecified,BROOKLYN,40.661776755340206,-73.96021118732527,"{'latitude': '40.661776755340206', 'longitude': '-73.96021118732527', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-22T08:47:30.000,,,,,,,,,,,,,
58846869,2023-09-15T13:12:01.000,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,Street,,,,,,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-18T15:01:27.000,0 Unspecified,,Unspecified,1021248,246856,ONLINE,Unspecified,Unspecified,40.84416032894209,-73.8662792798968,"{'latitude': '40.84416032894209', 'longitude': '-73.8662792798968', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T15:01:24.000,,,,,,,,,,,,,
58825249,2023-09-15T13:11:41.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11368,35-42 100 STREET,100 STREET,ADDRESS,CORONA,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-07T00:00:00.000,03 QUEENS,4017400023,QUEENS,1020927,213746,PHONE,Unspecified,QUEENS,40.75328385392096,-73.8676203050156,"{'latitude': '40.75328385392096', 'longitude': '-73.8676203050156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-07T17:07:10.000,,,,,,,,,,,,,
58822768,2023-09-15T13:11:41.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10013,110 MULBERRY STREET,MULBERRY STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-25T00:00:00.000,02 MANHATTAN,1002050006,MANHATTAN,984717,200688,ONLINE,Unspecified,MANHATTAN,40.71751892039621,-73.99831534421676,"{'latitude': '40.71751892039621', 'longitude': '-73.99831534421676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T10:47:11.000,,,,,,,,,,,,,
58824456,2023-09-15T13:11:41.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10013,110 MULBERRY STREET,MULBERRY STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,02 MANHATTAN,1002050006,MANHATTAN,984717,200688,ONLINE,Unspecified,MANHATTAN,40.71751892039621,-73.99831534421676,"{'latitude': '40.71751892039621', 'longitude': '-73.99831534421676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-25T10:47:11.000,,,,,,,,,,,,,
58837809,2023-09-15T13:11:25.000,DSNY,Department of Sanitation,Missed Collection,Bulky Recycling,Street,,,,,,Closed,The Department of Sanitation collected the requested items.,2023-09-17T03:35:08.000,0 Unspecified,,Unspecified,1027313,228582,ONLINE,Unspecified,Unspecified,40.79397592925587,-73.84447604485574,"{'latitude': '40.79397592925587', 'longitude': '-73.84447604485574', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-20T06:02:29.000,,,,,,,,,,,,,
58870434,2023-09-15T13:11:15.000,DHS,Department of Homeless Services,Homeless Person Assistance,,Other,,,,ADDRESS,,Closed,The Department of Homeless Services did not have enough information to act on your request.,2023-09-15T13:22:25.000,0 Unspecified,,Unspecified,,215138,PHONE,Unspecified,Unspecified,,,,2023-09-15T13:22:25.000,,,,,,,,,,,,,
58869667,2023-09-15T13:11:13.000,NYPD,New York City Police Department,Non-Emergency Police Matter,Other (complaint details),Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T13:53:10.000,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,2023-09-15T13:53:05.000,,,,,,,,,,,,,
58835567,2023-09-15T13:11:08.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,,,,,,Closed,The Department of Sanitation collected the requested items.,2023-09-16T05:11:44.000,0 Unspecified,,Unspecified,,162238,ONLINE,Unspecified,Unspecified,,,,2023-09-16T11:30:20.000,,,,,,,,,,,,,
58821289,2023-09-15T13:11:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11370,31-18 77 STREET,77 STREET,ADDRESS,EAST ELMHURST,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-18T12:14:00.000,03 QUEENS,4011470018,QUEENS,1014560,215510,ONLINE,Unspecified,QUEENS,40.75814969868129,-73.89059298246998,"{'latitude': '40.75814969868129', 'longitude': '-73.89059298246998', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-18T12:14:00.000,31 AVE,32 AVE,,,,N/A,,,,,,,
58822137,2023-09-15T13:11:00.000,DOT,Department of Transportation,Street Light Condition,Glassware Hanging,,10467,,,INTERSECTION,BRONX,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-15T16:57:00.000,11 BRONX,,BRONX,1020658,254596,UNKNOWN,Unspecified,BRONX,40.865406749355486,-73.8683696587852,"{'latitude': '40.865406749355486', 'longitude': '-73.8683696587852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T16:57:00.000,,,ALLERTON AVENUE,OLINVILLE AVENUE,,,,,,,,,
58861225,2023-09-15T13:10:58.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,,,,,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T14:13:09.000,0 Unspecified,,Unspecified,996952,177209,MOBILE,Unspecified,Unspecified,40.653065338289046,-73.95422307173325,"{'latitude': '40.653065338289046', 'longitude': '-73.95422307173325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T14:13:05.000,,,,,,,,,,,,,
58847598,2023-09-15T13:10:46.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11357,3-31 147 PLACE,147 PLACE,ADDRESS,WHITESTONE,Closed,The Department of Sanitation collected the requested items.,2023-09-22T00:30:33.000,07 QUEENS,4044710035,QUEENS,1033617,229451,ONLINE,Unspecified,QUEENS,40.79632812522432,-73.82170253706309,"{'latitude': '40.79632812522432', 'longitude': '-73.82170253706309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-27T10:43:06.000,3 AVENUE,5 AVENUE,3 AVENUE,5 AVENUE,147 PLACE,,,,,,,,
58857358,2023-09-15T13:10:41.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T13:50:21.000,0 Unspecified,,Unspecified,984160,188428,ONLINE,Unspecified,Unspecified,40.68386810055574,-74.00032450215981,"{'latitude': '40.68386810055574', 'longitude': '-74.00032450215981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T13:50:18.000,,,,,,,,,,,,,
58864817,2023-09-15T13:10:40.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Street,,,,,,Closed,N/A,2023-09-15T15:02:04.000,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,2023-09-15T15:02:05.000,,,,,,,,,,,,,
58868279,2023-09-15T13:10:33.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Park,10025,RIVERSIDE PARK,RIVERSIDE PARK,UNRECOGNIZED,NEW YORK,Closed,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",2023-10-24T09:34:42.000,07 MANHATTAN,1012540002,MANHATTAN,991626,230829,ONLINE,Unspecified,MANHATTAN,40.800245180318555,-73.97335875005403,"{'latitude': '40.800245180318555', 'longitude': '-73.97335875005403', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-10-24T09:34:14.000,HENRY HUDSON PY SB EN W   96 ST,HENRY HUDSON PARKWAY ET   12 NB,HENRY HUDSON PY SB EN W   96 ST,HENRY HUDSON PARKWAY ET   12 NB,RIVERSIDE PARK,,,,,,,,
58858626,2023-09-15T13:10:27.000,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,Sidewalk,11218,74 LOUISA STREET,LOUISA STREET,ADDRESS,BROOKLYN,Closed,"The Department of Transportation will inspect the complaint location and notify the property owner within 180 days if a defective sidewalk condition exists. The property owner is responsible for maintaining, repairing and installing sidewalks adjoining their property, according to Section 19-152 of the New York City Administrative Code.",2023-09-27T12:30:40.000,12 BROOKLYN,3053110069,BROOKLYN,989188,173506,ONLINE,Unspecified,BROOKLYN,40.642909138120984,-73.98220657717896,"{'latitude': '40.642909138120984', 'longitude': '-73.98220657717896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-27T12:30:34.000,STORY STREET,CHESTER AVENUE,STORY STREET,CHESTER AVENUE,LOUISA STREET,,,,,,,,
58855126,2023-09-15T13:10:19.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,Street,,,,,,Closed,The Department of Sanitation collected the requested items.,2023-09-18T11:22:38.000,0 Unspecified,,Unspecified,987075,187764,ONLINE,Unspecified,Unspecified,40.68204512146443,-73.98981451618518,"{'latitude': '40.68204512146443', 'longitude': '-73.98981451618518', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-19T14:07:35.000,,,,,,,,,,,,,
58857989,2023-09-15T13:10:12.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T13:48:09.000,0 Unspecified,,Unspecified,999916,228789,ONLINE,Unspecified,Unspecified,40.79463512720601,-73.94342100419664,"{'latitude': '40.79463512720601', 'longitude': '-73.94342100419664', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T13:48:05.000,,,,,,,,,,,,,
58824847,2023-09-15T13:10:11.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T22:21:31.000,0 Unspecified,,Unspecified,1035155,189674,ONLINE,Unspecified,Unspecified,40.68714169875365,-73.81644882776827,"{'latitude': '40.68714169875365', 'longitude': '-73.81644882776827', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T22:21:25.000,,,,,,,,,,,,,
58822931,2023-09-15T13:10:02.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T18:10:41.000,0 Unspecified,,Unspecified,1002818,220375,ONLINE,Unspecified,Unspecified,40.77153531938377,-73.9329634610981,"{'latitude': '40.77153531938377', 'longitude': '-73.9329634610981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-15T18:10:37.000,,,,,,,,,,,,,
58826278,2023-09-15T13:09:45.000,DOB,Department of Buildings,Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,,11225,489 MAPLE STREET,MAPLE STREET,ADDRESS,BROOKLYN,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-16T00:00:00.000,09 BROOKLYN,3047930066,BROOKLYN,999676,180182,UNKNOWN,Unspecified,BROOKLYN,40.66122124331255,-73.94439920889073,"{'latitude': '40.66122124331255', 'longitude': '-73.94439920889073', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2023-09-16T00:00:00.000,,,,,,,,,,,,,
58869010,2023-09-15T13:09:43.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,,,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T13:47:05.000,0 Unspecified,,Unspecified,,212353,MOBILE,Unspecified,Unspecified,,,,2023-09-15T13:47:02.000,,,,,,,,,,,,,
