unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,status,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,resolution_description,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,due_date,bridge_highway_direction,road_ramp,taxi_company_borough
58906583,2023-09-23T17:06:16.000,2023-10-11T13:42:57.000,HPD,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,11238,401 ST MARKS AVENUE,ST MARKS AVENUE,ADDRESS,BROOKLYN,Closed,2023-10-11T00:00:00.000,08 BROOKLYN,3011480080,BROOKLYN,995011,185933,ONLINE,Unspecified,BROOKLYN,40.67701335157808,-73.96120434513685,"{'latitude': '40.67701335157808', 'longitude': '-73.96120434513685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,,
58906523,2023-09-23T17:06:16.000,2023-10-11T13:42:58.000,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,11238,401 ST MARKS AVENUE,ST MARKS AVENUE,ADDRESS,BROOKLYN,Closed,2023-10-11T00:00:00.000,08 BROOKLYN,3011480080,BROOKLYN,995011,185933,ONLINE,Unspecified,BROOKLYN,40.67701335157808,-73.96120434513685,"{'latitude': '40.67701335157808', 'longitude': '-73.96120434513685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,,
58906807,2023-09-23T17:06:04.000,2023-09-23T17:36:36.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,10001,WEST   30 STREET,WEST   30 STREET,INTERSECTION,,Closed,2023-09-23T17:36:38.000,04 MANHATTAN,,MANHATTAN,983191,213710,MOBILE,Unspecified,MANHATTAN,40.75326104677971,-74.00382228632859,"{'latitude': '40.75326104677971', 'longitude': '-74.00382228632859', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,11 AVENUE,WEST   30 STREET,11 AVENUE,WEST   30 STREET,,The Police Department issued a summons in response to the complaint.,,,,,,,,
58907816,2023-09-23T17:05:45.000,2023-09-23T17:40:41.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,11231,191 UNION STREET,UNION STREET,ADDRESS,BROOKLYN,Closed,2023-09-23T17:40:43.000,06 BROOKLYN,3003370027,BROOKLYN,984166,188346,ONLINE,Unspecified,BROOKLYN,40.68364302931577,-74.00030286766025,"{'latitude': '40.68364302931577', 'longitude': '-74.00030286766025', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,HICKS STREET,HENRY STREET,HICKS STREET,HENRY STREET,UNION STREET,The Police Department responded to the complaint and determined that police action was not necessary.,,,,,,,,
58906384,2023-09-23T17:05:39.000,2023-09-23T17:10:28.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11220,478 60 STREET,60 STREET,ADDRESS,BROOKLYN,Closed,2023-09-23T17:10:31.000,07 BROOKLYN,3057820035,BROOKLYN,979583,172395,ONLINE,Unspecified,BROOKLYN,40.63985982839338,-74.01681614205087,"{'latitude': '40.63985982839338', 'longitude': '-74.01681614205087', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,60 STREET,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,,,,,,,,
58909011,2023-09-23T17:05:02.000,2023-09-23T17:07:25.000,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,10028,1000 5 AVENUE,5 AVENUE,ADDRESS,NEW YORK,Closed,2023-09-23T17:07:31.000,64 MANHATTAN,1011110001,MANHATTAN,994623,222956,ONLINE,Central Park,MANHATTAN,40.77863290127972,-73.96254609596876,"{'latitude': '40.77863290127972', 'longitude': '-73.96254609596876', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Park/Playground,EAST   81 STREET,EAST   82 STREET,EAST   81 STREET,EAST   82 STREET,5 AVENUE,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58908395,2023-09-23T17:05:01.000,2023-09-23T20:15:56.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,11420,111 AVENUE,111 AVENUE,INTERSECTION,,Closed,2023-09-23T20:16:00.000,10 QUEENS,,QUEENS,1034052,187345,PHONE,Unspecified,QUEENS,40.68075541354919,-73.8204431827191,"{'latitude': '40.68075541354919', 'longitude': '-73.8204431827191', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,111 AVENUE,120 STREET,111 AVENUE,120 STREET,,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58907842,2023-09-23T17:04:34.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Wall/Retaining Wall - Bulging/Cracked,11377,72-34 47 AVENUE,47 AVENUE,ADDRESS,WOODSIDE,Closed,2023-10-02T00:00:00.000,02 QUEENS,4024470025,QUEENS,1014271,208522,UNKNOWN,Unspecified,QUEENS,40.738970398705604,-73.89166735090359,"{'latitude': '40.738970398705604', 'longitude': '-73.89166735090359', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",,,,,,,,
58909174,2023-09-23T17:04:01.000,2023-09-25T19:31:33.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,10453,1750 GRAND AVENUE,GRAND AVENUE,ADDRESS,BRONX,Closed,2023-09-25T00:00:00.000,05 BRONX,2028670118,BRONX,1008201,248727,PHONE,Unspecified,BRONX,40.849340697752865,-73.91342792378171,"{'latitude': '40.849340697752865', 'longitude': '-73.91342792378171', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,,,,,,,,
58907938,2023-09-23T17:03:51.000,2023-09-23T17:57:01.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10309,40 SPRUCE LANE,SPRUCE LANE,ADDRESS,STATEN ISLAND,Closed,2023-09-23T17:57:04.000,03 STATEN ISLAND,5072670234,STATEN ISLAND,922665,135811,ONLINE,Unspecified,STATEN ISLAND,40.53923151854402,-74.22156927685806,"{'latitude': '40.53923151854402', 'longitude': '-74.22156927685806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,WHITE OAK LANE,RED CEDAR LANE,WHITE OAK LANE,RED CEDAR LANE,SPRUCE LANE,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58908754,2023-09-23T17:03:36.000,2023-09-27T15:53:31.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,11203,811 BROOKLYN AVENUE,BROOKLYN AVENUE,ADDRESS,BROOKLYN,Closed,2023-09-27T15:53:34.000,17 BROOKLYN,3048570018,BROOKLYN,999759,177573,MOBILE,Unspecified,BROOKLYN,40.65405996746712,-73.94410604779165,"{'latitude': '40.65405996746712', 'longitude': '-73.94410604779165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,LENOX ROAD,LINDEN BOULEVARD,LENOX ROAD,LINDEN BOULEVARD,BROOKLYN AVENUE,NYC Parks performed the work necessary to correct the condition.,,,,,,,,
58906149,2023-09-23T17:03:34.000,2023-09-26T11:07:54.000,DSNY,Department of Sanitation,Missed Collection,Trash and Bulky Trash,11423,91-11 184 STREET,184 STREET,ADDRESS,HOLLIS,Closed,2023-09-26T04:13:00.000,12 QUEENS,4099050048,QUEENS,1046249,198005,ONLINE,Unspecified,QUEENS,40.70993751815062,-73.77637000445895,"{'latitude': '40.70993751815062', 'longitude': '-73.77637000445895', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,91 AVENUE,91 ROAD,91 AVENUE,91 ROAD,184 STREET,The Department of Sanitation collected the requested items.,,,,,,,,
58906552,2023-09-23T17:03:19.000,2023-11-01T18:56:52.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10075,314 EAST   78 STREET,EAST   78 STREET,ADDRESS,NEW YORK,Closed,2023-11-01T00:00:00.000,08 MANHATTAN,1014520041,MANHATTAN,996723,220686,ONLINE,Unspecified,MANHATTAN,40.77239963434574,-73.95496781790868,"{'latitude': '40.77239963434574', 'longitude': '-73.95496781790868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,,
58908949,2023-09-23T17:03:17.000,2023-09-23T19:05:18.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11368,100-02 34 AVENUE,34 AVENUE,ADDRESS,CORONA,Closed,2023-09-23T19:05:24.000,03 QUEENS,4017340001,QUEENS,1020826,214559,PHONE,Unspecified,QUEENS,40.75551574820058,-73.86798042513641,"{'latitude': '40.75551574820058', 'longitude': '-73.86798042513641', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,100 STREET,101 STREET,100 STREET,101 STREET,34 AVENUE,The Police Department issued a summons in response to the complaint.,,,,,,,,
58906368,2023-09-23T17:03:14.000,2023-09-23T20:08:56.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10458,2342 CROTONA AVENUE,CROTONA AVENUE,ADDRESS,BRONX,Closed,2023-09-23T20:09:00.000,06 BRONX,2031020018,BRONX,1016291,249995,ONLINE,Unspecified,BRONX,40.852795327934736,-73.88418018781327,"{'latitude': '40.852795327934736', 'longitude': '-73.88418018781327', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,EAST  183 STREET,EAST  187 STREET,EAST  183 STREET,EAST  187 STREET,CROTONA AVENUE,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,,,,,,,,
58908616,2023-09-23T17:03:01.000,2023-09-23T17:27:27.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10468,2460 GRAND AVENUE,GRAND AVENUE,ADDRESS,BRONX,Closed,2023-09-23T17:27:32.000,07 BRONX,2032030007,BRONX,1011120,253829,MOBILE,Unspecified,BRONX,40.86333575351765,-73.90285661069947,"{'latitude': '40.86333575351765', 'longitude': '-73.90285661069947', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,WEST FORDHAM ROAD,WEST  188 STREET,WEST FORDHAM ROAD,WEST  188 STREET,GRAND AVENUE,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,,,
58908747,2023-09-23T17:02:50.000,2023-09-23T19:01:35.000,NYPD,New York City Police Department,Animal-Abuse,Tortured,10305,1084 BAY STREET,BAY STREET,ADDRESS,STATEN ISLAND,Closed,2023-09-23T19:01:44.000,01 STATEN ISLAND,5028450039,STATEN ISLAND,965380,163913,ONLINE,Unspecified,STATEN ISLAND,40.616559659772534,-74.06796868809548,"{'latitude': '40.616559659772534', 'longitude': '-74.06796868809548', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,SYLVATON TERRACE,CHURCH LANE,SYLVATON TERRACE,CHURCH LANE,BAY STREET,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,,,
58909498,2023-09-23T17:02:43.000,2023-09-23T17:35:50.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11229,2806 AVENUE W,AVENUE W,ADDRESS,BROOKLYN,Closed,2023-09-23T17:35:53.000,15 BROOKLYN,3074050802,BROOKLYN,1000141,156318,PHONE,Unspecified,BROOKLYN,40.59571878463982,-73.94277937060028,"{'latitude': '40.59571878463982', 'longitude': '-73.94277937060028', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,EAST   28 STREET,EAST   29 STREET,EAST   28 STREET,EAST   29 STREET,AVENUE W,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58905669,2023-09-23T17:02:42.000,2023-09-23T18:47:52.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,10301,46 WILLIS AVENUE,WILLIS AVENUE,ADDRESS,STATEN ISLAND,Closed,2023-09-23T18:47:58.000,01 STATEN ISLAND,5005740008,STATEN ISLAND,961423,170908,MOBILE,Unspecified,STATEN ISLAND,40.63575014668669,-74.08224523006196,"{'latitude': '40.63575014668669', 'longitude': '-74.08224523006196', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,FIEDLER AVENUE,AVON PLACE,FIEDLER AVENUE,AVON PLACE,WILLIS AVENUE,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58907512,2023-09-23T17:02:17.000,2023-09-23T17:11:46.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10023,2012 BROADWAY,BROADWAY,ADDRESS,NEW YORK,Closed,2023-09-23T17:11:52.000,07 MANHATTAN,1011400046,MANHATTAN,989197,221990,MOBILE,Unspecified,MANHATTAN,40.775986188079784,-73.98213852360924,"{'latitude': '40.775986188079784', 'longitude': '-73.98213852360924', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,WEST   68 STREET,WEST   69 STREET,WEST   68 STREET,WEST   69 STREET,BROADWAY,The Police Department responded to the complaint and determined that police action was not necessary.,,,,,,,,
58908848,2023-09-23T17:02:00.000,2023-09-25T12:25:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),11106,31-01 VERNON BOULEVARD,VERNON BOULEVARD,ADDRESS,ASTORIA,Closed,2023-09-25T12:25:00.000,01 QUEENS,4005030005,QUEENS,1002172,219614,ONLINE,Unspecified,QUEENS,40.76944790656133,-73.93529776039408,"{'latitude': '40.76944790656133', 'longitude': '-73.93529776039408', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,31 AVE,BEND,,,,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,N/A,,,,,,,
58908877,2023-09-23T17:01:56.000,2023-09-23T20:00:42.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11379,62-14 80 STREET,80 STREET,ADDRESS,MIDDLE VILLAGE,Closed,2023-09-23T20:00:50.000,05 QUEENS,4029660012,QUEENS,1018260,202572,PHONE,Unspecified,QUEENS,40.72262468186302,-73.877302887832,"{'latitude': '40.72262468186302', 'longitude': '-73.877302887832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,62 AVENUE,JUNIPER BOULEVARD NORTH,62 AVENUE,JUNIPER BOULEVARD NORTH,80 STREET,The Police Department responded and upon arrival those responsible for the condition were gone.,,,,,,,,
58908485,2023-09-23T17:01:36.000,2023-09-23T18:34:35.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,11207,366 GLENMORE AVENUE,GLENMORE AVENUE,ADDRESS,BROOKLYN,Closed,2023-09-23T18:34:39.000,05 BROOKLYN,3037200018,BROOKLYN,1012816,184495,ONLINE,Unspecified,BROOKLYN,40.67302681777982,-73.8970197329652,"{'latitude': '40.67302681777982', 'longitude': '-73.8970197329652', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Store/Commercial,SHEFFIELD AVENUE,PENNSYLVANIA AVENUE,SHEFFIELD AVENUE,PENNSYLVANIA AVENUE,GLENMORE AVENUE,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58909832,2023-09-23T17:01:16.000,,DPR,Department of Parks and Recreation,New Tree Request,For One Address,11372,37-19 79 STREET,79 STREET,ADDRESS,JACKSON HEIGHTS,In Progress,,03 QUEENS,4012900067,QUEENS,1015552,212223,UNKNOWN,Unspecified,QUEENS,40.7491242689456,-73.88702756355917,"{'latitude': '40.7491242689456', 'longitude': '-73.88702756355917', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,37 AVENUE,ROOSEVELT AVENUE,37 AVENUE,ROOSEVELT AVENUE,79 STREET,,,,,,,,,
58908979,2023-09-23T17:01:00.000,2023-09-23T19:05:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,,,INTERSECTION,,Closed,2023-09-23T19:05:00.000,Unspecified BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,,,,ROSEDALE AVE,BRUCKNER EXPY E S/R,,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,N/A,,,,,,,
58909885,2023-09-23T17:00:40.000,2023-10-24T10:37:46.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Snow or Ice,10034,269 DYCKMAN STREET,DYCKMAN STREET,ADDRESS,NEW YORK,Closed,2023-10-24T10:37:50.000,12 MANHATTAN,1022552000,MANHATTAN,1003940,255093,MOBILE,Inwood Hill Park,MANHATTAN,40.86682398380518,-73.92881081177171,"{'latitude': '40.86682398380518', 'longitude': '-73.92881081177171', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Park,PAYSON AVENUE,HENSHAW STREET,PAYSON AVENUE,HENSHAW STREET,DYCKMAN STREET,NYC Parks has completed the requested work order and corrected the problem.,,,,,,,,
58906079,2023-09-23T17:00:38.000,2023-09-23T17:24:21.000,NYPD,New York City Police Department,Animal-Abuse,Neglected,10021,481 EAST   71 STREET,EAST   71 STREET,ADDRESS,NEW YORK,Closed,2023-09-23T17:24:27.000,08 MANHATTAN,,MANHATTAN,996752,218514,ONLINE,Unspecified,MANHATTAN,40.766438019164134,-73.95486715741612,"{'latitude': '40.766438019164134', 'longitude': '-73.95486715741612', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,1 AVENUE,YORK AVENUE,1 AVENUE,YORK AVENUE,EAST   71 STREET,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58909890,2023-09-23T17:00:30.000,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,11369,LA GUARDIA AIRPORT,LA GUARDIA AIRPORT,UNRECOGNIZED,EAST ELMHURST,In Progress,2023-10-19T14:40:34.000,80 QUEENS,4009260001,QUEENS,1018236,221443,ONLINE,Unspecified,QUEENS,40.77442086598845,-73.87729410513894,"{'latitude': '40.77442086598845', 'longitude': '-73.87729410513894', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,94 STREET,GRAND CENTRAL PARKWAY ET    7 EB,94 STREET,GRAND CENTRAL PARKWAY ET    7 EB,LA GUARDIA AIRPORT,"The Taxi and Limousine Commission (TLC) has received your complaint. Within 30 days, the TLC representative who will be handling your case will contact you.",,,,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369",,,,
58906805,2023-09-23T17:00:28.000,2023-09-23T17:24:43.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,10021,EAST   76 STREET,EAST   76 STREET,BLOCKFACE,,Closed,2023-09-23T17:24:52.000,Unspecified MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,Street/Sidewalk,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,,The Police Department responded and upon arrival those responsible for the condition were gone.,,,,,,,,
58909764,2023-09-23T17:00:14.000,2023-10-06T21:16:23.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10039,2853 FREDERICK DOUGLASS BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,Closed,2023-10-06T00:00:00.000,10 MANHATTAN,1020460063,MANHATTAN,1001240,240720,PHONE,Unspecified,MANHATTAN,40.82737995171843,-73.93860907651263,"{'latitude': '40.82737995171843', 'longitude': '-73.93860907651263', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,,,,,,,,
58907959,2023-09-23T17:00:14.000,2023-09-23T19:39:54.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10468,2829 SEDGWICK AVENUE,SEDGWICK AVENUE,ADDRESS,BRONX,Closed,2023-09-23T19:39:59.000,08 BRONX,2032530099,BRONX,1011365,257383,MOBILE,Unspecified,BRONX,40.87308964533921,-73.90195647932322,"{'latitude': '40.87308964533921', 'longitude': '-73.90195647932322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,WEST  197 STREET,WEST  229 STREET,WEST  197 STREET,WEST  229 STREET,SEDGWICK AVENUE,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58907291,2023-09-23T16:59:35.000,2023-09-23T17:29:31.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,10468,2823 SEDGWICK AVENUE,SEDGWICK AVENUE,ADDRESS,BRONX,Closed,2023-09-23T17:29:33.000,08 BRONX,2032530117,BRONX,1011353,257339,MOBILE,Unspecified,BRONX,40.872968915782586,-73.90200004736613,"{'latitude': '40.872968915782586', 'longitude': '-73.90200004736613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,WEST  197 STREET,WEST  229 STREET,WEST  197 STREET,WEST  229 STREET,SEDGWICK AVENUE,The Police Department issued a summons in response to the complaint.,,,,,,,,
58905644,2023-09-23T16:59:11.000,2023-09-23T17:06:17.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,10024,59 WEST   91 STREET,WEST   91 STREET,ADDRESS,NEW YORK,Closed,2023-09-23T17:06:22.000,07 MANHATTAN,1012050006,MANHATTAN,992859,226837,PHONE,Unspecified,MANHATTAN,40.78928710671135,-73.96891041589816,"{'latitude': '40.78928710671135', 'longitude': '-73.96891041589816', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,CENTRAL PARK WEST,COLUMBUS AVENUE,CENTRAL PARK WEST,COLUMBUS AVENUE,WEST   91 STREET,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,,,,,,,,
58905627,2023-09-23T16:59:07.000,2023-09-23T17:33:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11362,243-03 73 AVENUE,73 AVENUE,ADDRESS,LITTLE NECK,Closed,2023-09-23T17:33:12.000,11 QUEENS,4083340032,QUEENS,1058638,211997,MOBILE,Unspecified,QUEENS,40.74824647392774,-73.73152853819481,"{'latitude': '40.74824647392774', 'longitude': '-73.73152853819481', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,243 STREET,244 STREET,243 STREET,244 STREET,73 AVENUE,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58907146,2023-09-23T16:58:34.000,2023-11-27T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,10039,2855 FREDERICK DOUGLASS BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,Closed,2023-11-27T00:00:00.000,10 MANHATTAN,1020460063,MANHATTAN,1001246,240731,UNKNOWN,Unspecified,MANHATTAN,40.82741013202918,-73.93858736851621,"{'latitude': '40.82741013202918', 'longitude': '-73.93858736851621', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",,,,,,,,
58908441,2023-09-23T16:58:31.000,2023-09-23T17:15:58.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11229,2220 EAST   13 STREET,EAST   13 STREET,ADDRESS,BROOKLYN,Closed,2023-09-23T17:16:02.000,15 BROOKLYN,3073730014,BROOKLYN,995987,156365,ONLINE,Unspecified,BROOKLYN,40.59585426467218,-73.95773709217704,"{'latitude': '40.59585426467218', 'longitude': '-73.95773709217704', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,AVENUE V,GRAVESEND NECK ROAD,AVENUE V,GRAVESEND NECK ROAD,EAST   13 STREET,The Police Department issued a summons in response to the complaint.,,,,,,,,
58909074,2023-09-23T16:58:27.000,2023-09-23T20:05:41.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10471,6211 BROADWAY,BROADWAY,ADDRESS,BRONX,Closed,2023-09-23T20:05:46.000,08 BRONX,2058251572,BRONX,1012781,265876,ONLINE,Unspecified,BRONX,40.896395792492356,-73.89680027435357,"{'latitude': '40.896395792492356', 'longitude': '-73.89680027435357', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,WEST  251 STREET,WEST  252 STREET,WEST  251 STREET,WEST  252 STREET,BROADWAY,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58906415,2023-09-23T16:57:57.000,2023-09-23T17:35:32.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10037,28 WEST  131 STREET,WEST  131 STREET,ADDRESS,NEW YORK,Closed,2023-09-23T17:35:37.000,10 MANHATTAN,1017280051,MANHATTAN,1000703,234625,MOBILE,Unspecified,MANHATTAN,40.81065191293579,-73.94056439134113,"{'latitude': '40.81065191293579', 'longitude': '-73.94056439134113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,WEST  131 STREET,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
58905827,2023-09-23T16:57:57.000,2023-09-23T17:00:12.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11220,478 60 STREET,60 STREET,ADDRESS,BROOKLYN,Closed,2023-09-23T17:00:16.000,07 BROOKLYN,3057820035,BROOKLYN,979583,172395,ONLINE,Unspecified,BROOKLYN,40.63985982839338,-74.01681614205087,"{'latitude': '40.63985982839338', 'longitude': '-74.01681614205087', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,60 STREET,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,,,,,,,,
58905652,2023-09-23T16:57:54.000,2023-09-23T17:41:34.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,11433,92-48 172 STREET,172 STREET,ADDRESS,JAMAICA,Closed,2023-09-23T17:41:39.000,12 QUEENS,4102120037,QUEENS,1043160,196671,PHONE,Unspecified,QUEENS,40.70629712049661,-73.78752363414172,"{'latitude': '40.70629712049661', 'longitude': '-73.78752363414172', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,TIFF COURT,PAIGE COURT,TIFF COURT,PAIGE COURT,172 STREET,The Police Department responded to the complaint and took action to fix the condition.,,,,,,,,
