unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,bridge_highway_name,bridge_highway_segment,due_date,road_ramp,bridge_highway_direction
58859820,2023-09-14T22:44:45.000,2023-09-14T22:46:28.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11435,135-30 GRAND CENTRAL PARKWAY SR EB,GRAND CENTRAL PARKWAY SR EB,135 STREET,UNION TURNPIKE,135 STREET,UNION TURNPIKE,ADDRESS,JAMAICA,GRAND CENTRAL PARKWAY SR EB,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T22:46:37.000,08 QUEENS,4066360001,QUEENS,1033321,200227,ONLINE,Unspecified,QUEENS,40.71611751034009,-73.82298487788441,"{'latitude': '40.71611751034009', 'longitude': '-73.82298487788441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58857398,2023-09-14T22:44:36.000,2023-09-15T04:16:45.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11417,103-19 96 STREET,96 STREET,103 AVENUE,LIBERTY AVENUE,103 AVENUE,LIBERTY AVENUE,ADDRESS,OZONE PARK,96 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T04:16:50.000,10 QUEENS,4091190060,QUEENS,1027568,187784,PHONE,Unspecified,QUEENS,40.68199447256395,-73.84381781042373,"{'latitude': '40.68199447256395', 'longitude': '-73.84381781042373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58867308,2023-09-14T22:44:33.000,2023-09-14T23:15:03.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11210,2754 BEDFORD AVENUE,BEDFORD AVENUE,FARRAGUT ROAD,GLENWOOD ROAD,FARRAGUT ROAD,GLENWOOD ROAD,ADDRESS,BROOKLYN,BEDFORD AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T23:15:08.000,14 BROOKLYN,3052450054,BROOKLYN,997202,170729,MOBILE,Unspecified,BROOKLYN,40.63527877397814,-73.95333453413747,"{'latitude': '40.63527877397814', 'longitude': '-73.95333453413747', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58867628,2023-09-14T22:44:25.000,2023-09-14T23:22:02.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10019,725 10 AVENUE,10 AVENUE,WEST   49 STREET,WEST   50 STREET,WEST   49 STREET,WEST   50 STREET,ADDRESS,NEW YORK,10 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T23:22:04.000,04 MANHATTAN,1010780023,MANHATTAN,986440,217724,MOBILE,Unspecified,MANHATTAN,40.764278242124526,-73.99209424765353,"{'latitude': '40.764278242124526', 'longitude': '-73.99209424765353', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58855647,2023-09-14T22:44:20.000,2023-09-15T02:09:47.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10461,2930 HASKIN STREET,HASKIN STREET,EAST TREMONT AVENUE,EDISON AVENUE,EAST TREMONT AVENUE,EDISON AVENUE,ADDRESS,BRONX,HASKIN STREET,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-15T02:09:51.000,10 BRONX,2053090079,BRONX,1031679,243344,ONLINE,Unspecified,BRONX,40.83447106290915,-73.82860376305042,"{'latitude': '40.83447106290915', 'longitude': '-73.82860376305042', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58815021,2023-09-14T22:44:00.000,2023-09-18T04:15:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11220,,,,,56 STREET,3 AVENUE,INTERSECTION,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-18T04:15:00.000,07 BROOKLYN,,BROOKLYN,979245,174016,ONLINE,Unspecified,BROOKLYN,40.64430894076145,-74.01803522672081,"{'latitude': '40.64430894076145', 'longitude': '-74.01803522672081', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58818433,2023-09-14T22:44:00.000,2023-09-19T22:06:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10028,1251 LEXINGTON AVENUE,LEXINGTON AVENUE,E 84 ST,E 85 ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-19T22:06:00.000,08 MANHATTAN,1015130020,MANHATTAN,996352,222906,PHONE,Unspecified,MANHATTAN,40.77849346629018,-73.95630326786453,"{'latitude': '40.77849346629018', 'longitude': '-73.95630326786453', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58816155,2023-09-14T22:44:00.000,2023-09-15T19:02:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10026,240 WEST  113 STREET,WEST  113 STREET,ADAM CLAYTON POWELL JR BLVD,FREDERICK DOUGLASS BLVD,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-15T19:02:00.000,10 MANHATTAN,1018280015,MANHATTAN,996734,231357,ONLINE,Unspecified,MANHATTAN,40.80168865532673,-73.95490827194348,"{'latitude': '40.80168865532673', 'longitude': '-73.95490827194348', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,
58857846,2023-09-14T22:43:59.000,2023-09-14T22:57:57.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,133-15 130 PLACE,130 PLACE,133 AVENUE,135 AVENUE,133 AVENUE,135 AVENUE,ADDRESS,SOUTH OZONE PARK,130 PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T22:58:03.000,10 QUEENS,4117900019,QUEENS,1037359,183257,ONLINE,Unspecified,QUEENS,40.669515577174536,-73.80855232867076,"{'latitude': '40.669515577174536', 'longitude': '-73.80855232867076', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58863774,2023-09-14T22:43:51.000,2023-09-15T00:27:06.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11207,312 NEW LOTS AVENUE,NEW LOTS AVENUE,GEORGIA AVENUE,GEORGIA AVENUE,GEORGIA AVENUE,GEORGIA AVENUE,ADDRESS,BROOKLYN,NEW LOTS AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T00:27:10.000,05 BROOKLYN,3042960009,BROOKLYN,1013415,180127,ONLINE,Unspecified,BROOKLYN,40.6610356852701,-73.89487924009778,"{'latitude': '40.6610356852701', 'longitude': '-73.89487924009778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58865602,2023-09-14T22:43:48.000,2023-09-14T23:25:08.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,190 EAST    7 STREET,EAST    7 STREET,AVENUE B,AVENUE C,AVENUE B,AVENUE C,ADDRESS,NEW YORK,EAST    7 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T23:25:13.000,03 MANHATTAN,1003890011,MANHATTAN,989588,203366,MOBILE,Unspecified,MANHATTAN,40.7248677858747,-73.9807415753938,"{'latitude': '40.7248677858747', 'longitude': '-73.9807415753938', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58857823,2023-09-14T22:43:39.000,2023-09-14T22:57:28.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11436,117-15 147 STREET,147 STREET,FOCH BOULEVARD,119 AVENUE,FOCH BOULEVARD,119 AVENUE,ADDRESS,JAMAICA,147 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T22:57:33.000,12 QUEENS,4120220052,QUEENS,1041500,187086,MOBILE,Unspecified,QUEENS,40.67999948170046,-73.79359235412535,"{'latitude': '40.67999948170046', 'longitude': '-73.79359235412535', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58866291,2023-09-14T22:43:33.000,2023-09-14T22:43:33.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Parking Lot/Garage,11368,59-30 108 STREET,108 STREET,WALDRON STREET,PENROD STREET,WALDRON STREET,PENROD STREET,ADDRESS,CORONA,108 STREET,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-14T22:43:33.000,04 QUEENS,4019640001,QUEENS,1025063,208536,MOBILE,Unspecified,QUEENS,40.7389656076036,-73.85272372520579,"{'latitude': '40.7389656076036', 'longitude': '-73.85272372520579', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58867509,2023-09-14T22:43:27.000,2023-09-15T00:29:21.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11223,1684 WEST   10 STREET,WEST   10 STREET,AVENUE P,KINGS HIGHWAY,AVENUE P,KINGS HIGHWAY,ADDRESS,BROOKLYN,WEST   10 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T00:29:24.000,11 BROOKLYN,3066210042,BROOKLYN,988921,160073,ONLINE,Unspecified,BROOKLYN,40.60603851285432,-73.98317797138695,"{'latitude': '40.60603851285432', 'longitude': '-73.98317797138695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58817866,2023-09-14T22:42:49.000,2023-09-17T10:12:50.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,10467,3150 ROCHAMBEAU AVENUE,ROCHAMBEAU AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-17T00:00:00.000,07 BRONX,2033350060,BRONX,1017336,257918,PHONE,Unspecified,BRONX,40.87453769186875,-73.88036367689082,"{'latitude': '40.87453769186875', 'longitude': '-73.88036367689082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58816613,2023-09-14T22:42:49.000,2023-09-17T10:12:50.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10467,3150 ROCHAMBEAU AVENUE,ROCHAMBEAU AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-17T00:00:00.000,07 BRONX,2033350060,BRONX,1017336,257918,PHONE,Unspecified,BRONX,40.87453769186875,-73.88036367689082,"{'latitude': '40.87453769186875', 'longitude': '-73.88036367689082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58817900,2023-09-14T22:42:49.000,2023-09-17T10:12:50.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,10467,3150 ROCHAMBEAU AVENUE,ROCHAMBEAU AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-17T00:00:00.000,07 BRONX,2033350060,BRONX,1017336,257918,PHONE,Unspecified,BRONX,40.87453769186875,-73.88036367689082,"{'latitude': '40.87453769186875', 'longitude': '-73.88036367689082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58859326,2023-09-14T22:42:47.000,2023-09-14T23:08:53.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11216,26 ST ANDREWS PLACE,ST ANDREWS PLACE,HERKIMER STREET,ATLANTIC AVENUE,HERKIMER STREET,ATLANTIC AVENUE,ADDRESS,BROOKLYN,ST ANDREWS PLACE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-14T23:08:58.000,03 BROOKLYN,3018690027,BROOKLYN,1000014,186491,ONLINE,Unspecified,BROOKLYN,40.67853743958593,-73.94316618317782,"{'latitude': '40.67853743958593', 'longitude': '-73.94316618317782', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58856088,2023-09-14T22:42:40.000,2023-09-14T23:10:52.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10459,1057 HOE AVENUE,HOE AVENUE,ALDUS STREET,EAST  165 STREET,ALDUS STREET,EAST  165 STREET,ADDRESS,BRONX,HOE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T23:10:58.000,02 BRONX,2027430030,BRONX,1014548,239609,ONLINE,Unspecified,BRONX,40.824294950566255,-73.89052758692546,"{'latitude': '40.824294950566255', 'longitude': '-73.89052758692546', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58865698,2023-09-14T22:42:38.000,2023-09-15T02:07:32.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,1561 SHERIDAN AVENUE,SHERIDAN AVENUE,EAST  172 STREET,MOUNT EDEN PARKWAY,EAST  172 STREET,MOUNT EDEN PARKWAY,ADDRESS,BRONX,SHERIDAN AVENUE,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-15T02:07:36.000,04 BRONX,2028210052,BRONX,1008856,246109,ONLINE,Unspecified,BRONX,40.84215325972917,-73.91107000229586,"{'latitude': '40.84215325972917', 'longitude': '-73.91107000229586', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58855932,2023-09-14T22:42:37.000,2023-09-14T23:11:35.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11204,5709 19 AVENUE,19 AVENUE,55 STREET,58 STREET,55 STREET,58 STREET,ADDRESS,BROOKLYN,19 AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-14T23:11:38.000,12 BROOKLYN,3055060006,BROOKLYN,988836,165975,ONLINE,Unspecified,BROOKLYN,40.622238328097545,-73.98348007983238,"{'latitude': '40.622238328097545', 'longitude': '-73.98348007983238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58861780,2023-09-14T22:42:36.000,2023-09-14T22:56:59.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11213,ST MARKS PLAYGROUND,ST MARKS PLAYGROUND,KINGSTON AVENUE,ALBANY AVENUE,KINGSTON AVENUE,ALBANY AVENUE,UNRECOGNIZED,BROOKLYN,ST MARKS PLAYGROUND,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T22:57:03.000,08 BROOKLYN,3200709999,BROOKLYN,1000839,185091,ONLINE,Unspecified,BROOKLYN,40.674693248781885,-73.94019526449351,"{'latitude': '40.674693248781885', 'longitude': '-73.94019526449351', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58861793,2023-09-14T22:42:30.000,2023-09-14T23:06:35.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11105,21 AVENUE,21 AVENUE,21 AVENUE,31 STREET,21 AVENUE,31 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T23:06:43.000,01 QUEENS,,QUEENS,1009601,222722,ONLINE,Unspecified,QUEENS,40.77796036514822,-73.90846577892076,"{'latitude': '40.77796036514822', 'longitude': '-73.90846577892076', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58855518,2023-09-14T22:42:27.000,2023-09-14T23:26:13.000,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11412,110-30 DUNKIRK STREET,DUNKIRK STREET,FONDA AVENUE,WOOD STREET,FONDA AVENUE,WOOD STREET,ADDRESS,SAINT ALBANS,DUNKIRK STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T23:26:18.000,12 QUEENS,4103040038,QUEENS,1047522,194295,ONLINE,Unspecified,QUEENS,40.699745464263955,-73.77181318147132,"{'latitude': '40.699745464263955', 'longitude': '-73.77181318147132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58812047,2023-09-14T22:42:23.000,2023-09-19T16:57:22.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10452,1155 GERARD AVENUE,GERARD AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-19T00:00:00.000,04 BRONX,2024880046,BRONX,1006130,243265,ONLINE,Unspecified,BRONX,40.8343544837579,-73.92093147210099,"{'latitude': '40.8343544837579', 'longitude': '-73.92093147210099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58817759,2023-09-14T22:42:23.000,2023-09-15T18:11:06.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10452,1155 GERARD AVENUE,GERARD AVENUE,,,,,ADDRESS,BRONX,,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-09-15T00:00:00.000,04 BRONX,2024880046,BRONX,1006130,243265,ONLINE,Unspecified,BRONX,40.8343544837579,-73.92093147210099,"{'latitude': '40.8343544837579', 'longitude': '-73.92093147210099', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58855851,2023-09-14T22:42:16.000,2023-09-14T23:01:34.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11230,1827 CONEY ISLAND AVENUE,CONEY ISLAND AVENUE,AVENUE N,AVENUE O,AVENUE N,AVENUE O,ADDRESS,BROOKLYN,CONEY ISLAND AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T23:01:38.000,14 BROOKLYN,3067490058,BROOKLYN,994535,162656,ONLINE,Unspecified,BROOKLYN,40.61312357962291,-73.96295591280976,"{'latitude': '40.61312357962291', 'longitude': '-73.96295591280976', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
58868359,2023-09-14T22:42:15.000,2023-09-15T00:48:33.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11103,41-16 BROADWAY,BROADWAY,41 STREET,42 STREET,41 STREET,42 STREET,ADDRESS,ASTORIA,BROADWAY,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T00:48:36.000,01 QUEENS,4006770040,QUEENS,1007053,215575,ONLINE,Unspecified,QUEENS,40.758350654986806,-73.91769002091814,"{'latitude': '40.758350654986806', 'longitude': '-73.91769002091814', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,
