unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date,vehicle_type
58848925,2023-09-18T09:08:33.000,2023-09-18T10:41:06.000,DSNY,Department of Sanitation,Dirty Condition,Trash,11385,52-22 METROPOLITAN AVENUE,METROPOLITAN AVENUE,ADDRESS,RIDGEWOOD,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-18T10:41:11.000,05 QUEENS,4033780057,QUEENS,1008045,199198,ONLINE,Unspecified,QUEENS,40.7133972411331,-73.91416721207426,"{'latitude': '40.7133972411331', 'longitude': '-73.91416721207426', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,STARR STREET,GRANDVIEW AVENUE,STARR STREET,GRANDVIEW AVENUE,METROPOLITAN AVENUE,,,,,,,,
58846904,2023-09-18T09:08:19.000,2023-09-18T17:44:33.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10451,690 GERARD AVENUE,GERARD AVENUE,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-18T17:44:38.000,04 BRONX,2024730001,BRONX,1004390,239340,MOBILE,Unspecified,BRONX,40.823585624536996,-73.9272311513361,"{'latitude': '40.823585624536996', 'longitude': '-73.9272311513361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,EAST  153 STREET,JEROME AVENUE LINE,EAST  153 STREET,JEROME AVENUE LINE,GERARD AVENUE,,,,,,,,
58850152,2023-09-18T09:08:13.000,2023-09-19T06:57:47.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,11419,94-19 112 STREET,112 STREET,ADDRESS,SOUTH RICHMOND HILL,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-19T06:57:47.000,09 QUEENS,4093980044,QUEENS,1030385,191402,ONLINE,Unspecified,QUEENS,40.6919108014773,-73.83363642232112,"{'latitude': '40.6919108014773', 'longitude': '-73.83363642232112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,ATLANTIC AVENUE,95 AVENUE,ATLANTIC AVENUE,95 AVENUE,112 STREET,,,,,,,,
58852257,2023-09-18T09:08:08.000,2023-09-18T09:43:09.000,NYPD,New York City Police Department,Drug Activity,Use Outside,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,ADDRESS,FRESH MEADOWS,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-18T09:43:15.000,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,40.72195913199264,-73.80969682426189,"{'latitude': '40.72195913199264', 'longitude': '-73.80969682426189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,PARSONS BOULEVARD,,,,,,,,
58854214,2023-09-18T09:08:04.000,2023-09-18T10:11:00.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,11222,188 GREEN STREET,GREEN STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T10:11:08.000,01 BROOKLYN,3025230016,BROOKLYN,997056,206635,MOBILE,Unspecified,BROOKLYN,40.733832731949,-73.95379232373845,"{'latitude': '40.733832731949', 'longitude': '-73.95379232373845', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,GREEN STREET,,,,,,,,
58852846,2023-09-18T09:08:00.000,2023-09-19T11:14:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),10019,211 WEST   56 STREET,WEST   56 STREET,ADDRESS,NEW YORK,Closed,The Department of Environmental Protection (DEP) mailed you the free lead test kit you requested. The kit includes instructions for collecting a water sample and contact information for DEP's Lead Program Unit if you have any questions. Please use the included pre-paid label to mail the sample to the lab for analysis. It may take the lab up to 30 days to complete their analysis and mail you the test results. This Service Request is closed and no further status will be available from 311.,2023-09-19T11:14:00.000,05 MANHATTAN,1010280017,MANHATTAN,989456,218038,ONLINE,Unspecified,MANHATTAN,40.765138829467396,-73.98120644804382,"{'latitude': '40.765138829467396', 'longitude': '-73.98120644804382', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,7 AVE,BROADWAY,,,,N/A,,,,,,,
58851978,2023-09-18T09:07:56.000,2023-09-18T09:17:57.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10038,180 WATER STREET,WATER STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T09:18:06.000,01 MANHATTAN,1000700032,MANHATTAN,982832,196778,ONLINE,Unspecified,MANHATTAN,40.706786799744656,-74.00511446961036,"{'latitude': '40.706786799744656', 'longitude': '-74.00511446961036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,FLETCHER STREET,JOHN STREET,FLETCHER STREET,JOHN STREET,WATER STREET,,,,,,,,
58846005,2023-09-18T09:07:32.000,2023-11-09T00:00:00.000,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,10459,1224 PROSPECT AVENUE,PROSPECT AVENUE,ADDRESS,BRONX,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-11-09T00:00:00.000,02 BRONX,2026937502,BRONX,1012320,240580,UNKNOWN,Unspecified,BRONX,40.826967428890434,-73.89857370319393,"{'latitude': '40.826967428890434', 'longitude': '-73.89857370319393', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58847984,2023-09-18T09:07:31.000,2023-09-28T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Posted Notice Or Order Removed/Tampered With,11377,72-10 41 AVENUE,41 AVENUE,ADDRESS,WOODSIDE,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-28T00:00:00.000,04 QUEENS,4013120010,QUEENS,1013908,210718,UNKNOWN,Unspecified,QUEENS,40.74499909172425,-73.89296757512533,"{'latitude': '40.74499909172425', 'longitude': '-73.89296757512533', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58851776,2023-09-18T09:07:31.000,2023-10-10T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11201,18 GARDEN PLACE,GARDEN PLACE,ADDRESS,BROOKLYN,Closed,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-10-10T00:00:00.000,02 BROOKLYN,3002610035,BROOKLYN,985301,191658,UNKNOWN,Unspecified,BROOKLYN,40.692733646962026,-73.99621003201676,"{'latitude': '40.692733646962026', 'longitude': '-73.99621003201676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,,,,,
58850630,2023-09-18T09:07:30.000,2023-09-18T20:13:07.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,11379,65-53 79 PLACE,79 PLACE,ADDRESS,MIDDLE VILLAGE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T20:13:10.000,05 QUEENS,4030420043,QUEENS,1019400,200441,MOBILE,Unspecified,QUEENS,40.71677114980598,-73.87320126958929,"{'latitude': '40.71677114980598', 'longitude': '-73.87320126958929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,FURMANVILLE AVENUE,JUNIPER VALLEY ROAD,FURMANVILLE AVENUE,JUNIPER VALLEY ROAD,79 PLACE,,,,,,,,
58845503,2023-09-18T09:07:29.000,2023-09-18T10:35:03.000,NYPD,New York City Police Department,Blocked Driveway,No Access,10463,3035 NETHERLAND AVENUE,NETHERLAND AVENUE,ADDRESS,BRONX,Closed,The Police Department issued a summons in response to the complaint.,2023-09-18T10:35:11.000,08 BRONX,2057350243,BRONX,1008449,260502,PHONE,Unspecified,BRONX,40.8816588077862,-73.91248899667566,"{'latitude': '40.8816588077862', 'longitude': '-73.91248899667566', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,WEST  230 STREET,WEST  231 STREET,WEST  230 STREET,WEST  231 STREET,NETHERLAND AVENUE,,,,,,,,
58852677,2023-09-18T09:07:25.000,2023-09-28T16:36:52.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,10452,971 WOODYCREST AVENUE,WOODYCREST AVENUE,ADDRESS,BRONX,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-19T03:22:10.000,04 BRONX,2025110101,BRONX,1004036,242403,ONLINE,Unspecified,BRONX,40.831993482362904,-73.92850117280071,"{'latitude': '40.831993482362904', 'longitude': '-73.92850117280071', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Sidewalk,WEST  163 STREET,WEST  164 STREET,WEST  163 STREET,WEST  164 STREET,WOODYCREST AVENUE,,,,,,,,
58854854,2023-09-18T09:07:19.000,,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,11230,1073 EAST   12 STREET,EAST   12 STREET,ADDRESS,BROOKLYN,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-10-19T07:37:52.000,14 BROOKLYN,3067140058,BROOKLYN,994291,166297,UNKNOWN,Unspecified,BROOKLYN,40.623117647632476,-73.96382932676926,"{'latitude': '40.623117647632476', 'longitude': '-73.96382932676926', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,CARY COURT,AVENUE K,CARY COURT,AVENUE K,EAST   12 STREET,,,,,,,,
58853087,2023-09-18T09:07:15.000,2023-09-18T09:23:10.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11214,2772 BATH AVENUE,BATH AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T09:23:19.000,13 BROOKLYN,3069020044,BROOKLYN,988491,154439,MOBILE,Unspecified,BROOKLYN,40.59057453838484,-73.98473010012343,"{'latitude': '40.59057453838484', 'longitude': '-73.98473010012343', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,BAY   47 STREET,28 AVENUE,BAY   47 STREET,28 AVENUE,BATH AVENUE,,,,,,,,
58847349,2023-09-18T09:07:15.000,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,11205,PARK AVENUE,PARK AVENUE,INTERSECTION,,In Progress,,,03 BROOKLYN,,BROOKLYN,996028,193097,PHONE,Unspecified,BROOKLYN,40.69667559311081,-73.95752532455738,"{'latitude': '40.69667559311081', 'longitude': '-73.95752532455738', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3+ Family Mixed Use Building,PARK AVENUE,SKILLMAN STREET,PARK AVENUE,SKILLMAN STREET,,,,,,,,,
58847265,2023-09-18T09:06:56.000,2023-09-18T10:02:12.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,10033,723 WEST  177 STREET,WEST  177 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T10:02:24.000,12 MANHATTAN,1021760001,MANHATTAN,1001267,248106,MOBILE,Unspecified,MANHATTAN,40.84765232283593,-73.9384927765209,"{'latitude': '40.84765232283593', 'longitude': '-73.9384927765209', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,BROADWAY,FORT WASHINGTON AVENUE,BROADWAY,FORT WASHINGTON AVENUE,WEST  177 STREET,,,,,,,,
58855270,2023-09-18T09:06:52.000,2023-09-18T10:10:26.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,11222,177 HURON STREET,HURON STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-18T10:10:36.000,01 BROOKLYN,3025230057,BROOKLYN,997013,206373,MOBILE,Unspecified,BROOKLYN,40.73311366863439,-73.95394797689718,"{'latitude': '40.73311366863439', 'longitude': '-73.95394797689718', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,MANHATTAN AVENUE,MCGUINNESS BOULEVARD,HURON STREET,,,,,,,,
58852326,2023-09-18T09:06:41.000,2023-09-18T09:53:00.000,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,11420,149-60 127 STREET,127 STREET,ADDRESS,SOUTH OZONE PARK,Closed,The Police Department responded to the complaint and a report was prepared.,2023-09-18T09:53:10.000,10 QUEENS,4118700001,QUEENS,1035944,181887,MOBILE,Unspecified,QUEENS,40.665763616064574,-73.81366361966423,"{'latitude': '40.665763616064574', 'longitude': '-73.81366361966423', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,SOUTH CONDUIT AVENUE,150 AVENUE,SOUTH CONDUIT AVENUE,150 AVENUE,127 STREET,,,,,,,,
58850406,2023-09-18T09:06:28.000,2023-09-18T09:22:55.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11235,2954 BRIGHTON    3 STREET,BRIGHTON    3 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-18T09:23:04.000,13 BROOKLYN,3086620133,BROOKLYN,993953,150370,MOBILE,Unspecified,BROOKLYN,40.57940164639907,-73.96506978166852,"{'latitude': '40.57940164639907', 'longitude': '-73.96506978166852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,BRIGHTON    3 LANE,BRIGHTON    2 LANE,BRIGHTON    3 LANE,BRIGHTON    2 LANE,BRIGHTON    3 STREET,,,,,,,,
58848325,2023-09-18T09:06:26.000,2023-09-20T20:19:34.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,11233,146 SACKMAN STREET,SACKMAN STREET,ADDRESS,BROOKLYN,Closed,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-20T00:00:00.000,16 BROOKLYN,3014430036,BROOKLYN,1010251,185125,ONLINE,Unspecified,BROOKLYN,40.67476393030718,-73.90626410562189,"{'latitude': '40.67476393030718', 'longitude': '-73.90626410562189', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,
58846062,2023-09-18T09:06:10.000,2023-09-19T13:08:06.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,10314,278 MANOR ROAD,MANOR ROAD,ADDRESS,STATEN ISLAND,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-19T13:08:09.000,01 STATEN ISLAND,5003640077,STATEN ISLAND,949854,165676,ONLINE,Unspecified,STATEN ISLAND,40.621352053698644,-74.12390139888797,"{'latitude': '40.621352053698644', 'longitude': '-74.12390139888797', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,COLLEGE AVENUE,MAINE AVENUE,COLLEGE AVENUE,MAINE AVENUE,MANOR ROAD,,,,,,,,
58853511,2023-09-18T09:06:04.000,2023-09-25T10:49:03.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,10034,241 SHERMAN AVENUE,SHERMAN AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,12 MANHATTAN,1022230005,MANHATTAN,1006543,254798,PHONE,Unspecified,MANHATTAN,40.86600810878767,-73.9194006525354,"{'latitude': '40.86600810878767', 'longitude': '-73.9194006525354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,
58854710,2023-09-18T09:06:04.000,2023-09-25T10:49:03.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10034,241 SHERMAN AVENUE,SHERMAN AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,12 MANHATTAN,1022230005,MANHATTAN,1006543,254798,PHONE,Unspecified,MANHATTAN,40.86600810878767,-73.9194006525354,"{'latitude': '40.86600810878767', 'longitude': '-73.9194006525354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,
58852238,2023-09-18T09:06:04.000,2023-09-25T10:49:02.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,10034,241 SHERMAN AVENUE,SHERMAN AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,12 MANHATTAN,1022230005,MANHATTAN,1006543,254798,PHONE,Unspecified,MANHATTAN,40.86600810878767,-73.9194006525354,"{'latitude': '40.86600810878767', 'longitude': '-73.9194006525354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,
58852148,2023-09-18T09:06:04.000,2023-09-25T10:49:02.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,10034,241 SHERMAN AVENUE,SHERMAN AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,12 MANHATTAN,1022230005,MANHATTAN,1006543,254798,PHONE,Unspecified,MANHATTAN,40.86600810878767,-73.9194006525354,"{'latitude': '40.86600810878767', 'longitude': '-73.9194006525354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,
58852132,2023-09-18T09:06:04.000,2023-09-25T10:49:02.000,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,10034,241 SHERMAN AVENUE,SHERMAN AVENUE,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-25T00:00:00.000,12 MANHATTAN,1022230005,MANHATTAN,1006543,254798,PHONE,Unspecified,MANHATTAN,40.86600810878767,-73.9194006525354,"{'latitude': '40.86600810878767', 'longitude': '-73.9194006525354', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,
