unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,due_date,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp
58901081,2023-09-22T21:41:47.000,2023-09-23T02:48:17.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11373,52-07 90 STREET,90 STREET,52 AVENUE,53 AVENUE,52 AVENUE,53 AVENUE,ADDRESS,ELMHURST,90 STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T02:48:22.000,04 QUEENS,4018540080,QUEENS,1019230,208421,ONLINE,Unspecified,QUEENS,40.73867495557456,-73.87377303861714,"{'latitude': '40.73867495557456', 'longitude': '-73.87377303861714', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892137,2023-09-22T21:41:38.000,2023-09-22T22:26:49.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10455,576 SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,EAST  149 STREET,AVENUE ST JOHN,EAST  149 STREET,AVENUE ST JOHN,ADDRESS,BRONX,SOUTHERN BOULEVARD,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T22:26:54.000,02 BRONX,2026030017,BRONX,1011126,235299,ONLINE,Unspecified,BRONX,40.81247629491569,-73.90290917094163,"{'latitude': '40.81247629491569', 'longitude': '-73.90290917094163', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897088,2023-09-22T21:41:37.000,2023-09-23T11:51:22.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,11414,164-33 95 STREET,95 STREET,164 AVENUE,165 AVENUE,164 AVENUE,165 AVENUE,ADDRESS,HOWARD BEACH,95 STREET,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-23T11:51:30.000,10 QUEENS,4142090046,QUEENS,1029835,176297,ONLINE,Unspecified,QUEENS,40.65045388186125,-73.83572187654126,"{'latitude': '40.65045388186125', 'longitude': '-73.83572187654126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896335,2023-09-22T21:41:27.000,2023-09-22T22:03:43.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10468,2829 SEDGWICK AVENUE,SEDGWICK AVENUE,WEST  197 STREET,WEST  229 STREET,WEST  197 STREET,WEST  229 STREET,ADDRESS,BRONX,SEDGWICK AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T22:03:48.000,08 BRONX,2032530099,BRONX,1011365,257383,MOBILE,Unspecified,BRONX,40.87308964533921,-73.90195647932322,"{'latitude': '40.87308964533921', 'longitude': '-73.90195647932322', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902490,2023-09-22T21:41:25.000,2023-09-23T02:46:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11373,51-26 CODWISE PLACE,CODWISE PLACE,VAN KLEECK STREET,KNEELAND AVENUE,VAN KLEECK STREET,KNEELAND AVENUE,ADDRESS,ELMHURST,CODWISE PLACE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-23T02:47:00.000,04 QUEENS,4024720018,QUEENS,1016723,207754,MOBILE,Unspecified,QUEENS,40.7368537676179,-73.88282287349135,"{'latitude': '40.7368537676179', 'longitude': '-73.88282287349135', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58894909,2023-09-22T21:41:16.000,2023-09-22T22:03:57.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11436,142-25 122 AVENUE,122 AVENUE,DEAD END,143 STREET,DEAD END,143 STREET,ADDRESS,JAMAICA,122 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T22:04:01.000,12 QUEENS,4120370142,QUEENS,1040547,185351,ONLINE,Unspecified,QUEENS,40.675243423895395,-73.79704275604877,"{'latitude': '40.675243423895395', 'longitude': '-73.79704275604877', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892488,2023-09-22T21:41:13.000,2023-10-19T18:34:47.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10453,1471 POPHAM AVENUE,POPHAM AVENUE,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-19T00:00:00.000,05 BRONX,2028770202,BRONX,1005753,248030,ONLINE,Unspecified,BRONX,40.847433940245175,-73.92227857147367,"{'latitude': '40.847433940245175', 'longitude': '-73.92227857147367', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896874,2023-09-22T21:41:13.000,2023-09-23T10:12:59.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11379,63-07 ELIOT AVENUE,ELIOT AVENUE,63 STREET,64 STREET,63 STREET,64 STREET,ADDRESS,MIDDLE VILLAGE,ELIOT AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-23T10:13:03.000,05 QUEENS,4027620095,QUEENS,1012210,200010,MOBILE,Unspecified,QUEENS,40.71561380368692,-73.8991399576948,"{'latitude': '40.71561380368692', 'longitude': '-73.8991399576948', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900089,2023-09-22T21:41:00.000,2023-09-28T08:42:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11385,1652 PUTNAM AVENUE,PUTNAM AVENUE,PUTNAM AVE,MYRTLE AVE,,,ADDRESS,RIDGEWOOD,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-28T08:42:00.000,05 QUEENS,4035460035,QUEENS,1009855,194081,ONLINE,Unspecified,QUEENS,40.69934723814275,-73.90765768329265,"{'latitude': '40.69934723814275', 'longitude': '-73.90765768329265', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58897373,2023-09-22T21:40:50.000,2023-09-22T22:03:58.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10468,2823 SEDGWICK AVENUE,SEDGWICK AVENUE,WEST  197 STREET,WEST  229 STREET,WEST  197 STREET,WEST  229 STREET,ADDRESS,BRONX,SEDGWICK AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-22T22:04:01.000,08 BRONX,2032530117,BRONX,1011353,257339,MOBILE,Unspecified,BRONX,40.872968915782586,-73.90200004736613,"{'latitude': '40.872968915782586', 'longitude': '-73.90200004736613', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900289,2023-09-22T21:40:44.000,2023-09-22T21:42:28.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11372,72-15 37 AVENUE,37 AVENUE,72 STREET,73 STREET,72 STREET,73 STREET,ADDRESS,JACKSON HEIGHTS,37 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-22T21:42:33.000,03 QUEENS,4012720040,QUEENS,1013791,212103,MOBILE,Unspecified,QUEENS,40.74880095774174,-73.89338373116325,"{'latitude': '40.74880095774174', 'longitude': '-73.89338373116325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897732,2023-09-22T21:40:19.000,2023-09-22T22:12:51.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11385,491 GRANDVIEW AVENUE,GRANDVIEW AVENUE,HARMAN STREET,GREENE AVENUE,HARMAN STREET,GREENE AVENUE,ADDRESS,RIDGEWOOD,GRANDVIEW AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T22:12:56.000,05 QUEENS,4033690002,QUEENS,1009751,197933,ONLINE,Unspecified,QUEENS,40.709920366184676,-73.90801816315987,"{'latitude': '40.709920366184676', 'longitude': '-73.90801816315987', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58902629,2023-09-22T21:40:03.000,2023-09-22T22:01:24.000,NYPD,New York City Police Department,Encampment,N/A,Street/Sidewalk,10023,CENTRAL PARK WEST,CENTRAL PARK WEST,CENTRAL PARK WEST,WEST   61 STREET,CENTRAL PARK WEST,WEST   61 STREET,INTERSECTION,,,Closed,The Police Department visited the location and no Encampment was found.,2023-09-22T22:01:28.000,07 MANHATTAN,,MANHATTAN,989507,219544,PHONE,Unspecified,MANHATTAN,40.76927237880526,-73.9810211612066,"{'latitude': '40.76927237880526', 'longitude': '-73.9810211612066', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58899255,2023-09-22T21:40:03.000,2023-09-23T00:16:27.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10306,415 LYNN STREET,LYNN STREET,OAK AVENUE,ISABELLA AVENUE,OAK AVENUE,ISABELLA AVENUE,ADDRESS,STATEN ISLAND,LYNN STREET,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-23T00:16:31.000,03 STATEN ISLAND,5040210036,STATEN ISLAND,952065,143285,MOBILE,Unspecified,STATEN ISLAND,40.55990160478143,-74.11583028304906,"{'latitude': '40.55990160478143', 'longitude': '-74.11583028304906', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58901667,2023-09-22T21:40:02.000,2023-09-22T21:43:17.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,11372,72-15 37 AVENUE,37 AVENUE,72 STREET,73 STREET,72 STREET,73 STREET,ADDRESS,JACKSON HEIGHTS,37 AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-22T21:43:20.000,03 QUEENS,4012720040,QUEENS,1013791,212103,MOBILE,Unspecified,QUEENS,40.74880095774174,-73.89338373116325,"{'latitude': '40.74880095774174', 'longitude': '-73.89338373116325', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58898290,2023-09-22T21:39:36.000,2023-09-23T05:34:17.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11358,190-18 35 AVENUE,35 AVENUE,190 STREET,191 STREET,190 STREET,191 STREET,ADDRESS,FLUSHING,35 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-23T05:34:23.000,11 QUEENS,4053050029,QUEENS,1041922,217880,ONLINE,Unspecified,QUEENS,40.76451858287193,-73.79180702134474,"{'latitude': '40.76451858287193', 'longitude': '-73.79180702134474', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893213,2023-09-22T21:39:30.000,2023-09-22T22:09:11.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11230,2072 OCEAN AVENUE,OCEAN AVENUE,AVENUE O,AVENUE P,AVENUE O,AVENUE P,ADDRESS,BROOKLYN,OCEAN AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-22T22:09:16.000,14 BROOKLYN,3067667501,BROOKLYN,997096,162096,MOBILE,Unspecified,BROOKLYN,40.611583152421005,-73.95373287591379,"{'latitude': '40.611583152421005', 'longitude': '-73.95373287591379', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58897623,2023-09-22T21:39:07.000,2023-09-22T22:41:03.000,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10305,BUEL AVENUE,BUEL AVENUE,BUEL AVENUE,HYLAN BOULEVARD,BUEL AVENUE,HYLAN BOULEVARD,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T22:41:07.000,02 STATEN ISLAND,,STATEN ISLAND,958305,152509,ONLINE,Unspecified,STATEN ISLAND,40.58524011872275,-74.0934086253421,"{'latitude': '40.58524011872275', 'longitude': '-74.0934086253421', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893430,2023-09-22T21:39:04.000,2023-09-23T00:44:50.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11103,28-21 35 STREET,35 STREET,28 AVENUE,30 AVENUE,28 AVENUE,30 AVENUE,ADDRESS,ASTORIA,35 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-23T00:44:54.000,01 QUEENS,4006290012,QUEENS,1007214,218624,MOBILE,Unspecified,QUEENS,40.76671895496002,-73.9170984580179,"{'latitude': '40.76671895496002', 'longitude': '-73.9170984580179', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58896336,2023-09-22T21:39:00.000,2023-09-22T22:21:56.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10467,2220 HOLLAND AVENUE,HOLLAND AVENUE,PELHAM PARKWAY NORTH,ASTOR AVENUE,PELHAM PARKWAY NORTH,ASTOR AVENUE,ADDRESS,BRONX,HOLLAND AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T22:22:01.000,11 BRONX,2043450019,BRONX,1021424,252038,PHONE,Unspecified,BRONX,40.85838262662407,-73.86561443664871,"{'latitude': '40.85838262662407', 'longitude': '-73.86561443664871', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893494,2023-09-22T21:38:40.000,2023-09-22T21:56:56.000,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11209,3 AVENUE,3 AVENUE,3 AVENUE,85 STREET,3 AVENUE,85 STREET,INTERSECTION,,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T21:57:01.000,10 BROOKLYN,,BROOKLYN,975726,166737,PHONE,Unspecified,BROOKLYN,40.62432694495243,-74.03070654341498,"{'latitude': '40.62432694495243', 'longitude': '-74.03070654341498', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58893834,2023-09-22T21:38:23.000,2023-09-24T18:18:25.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11373,81-31 BAXTER AVENUE,BAXTER AVENUE,,,,,ADDRESS,ELMHURST,,Closed,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2023-09-24T00:00:00.000,04 QUEENS,4014920032,QUEENS,1016469,211078,MOBILE,Unspecified,QUEENS,40.74597824093309,-73.88372349670446,"{'latitude': '40.74597824093309', 'longitude': '-73.88372349670446', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58892387,2023-09-22T21:38:12.000,2023-11-20T12:17:43.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11207,21 PENNSYLVANIA AVENUE,PENNSYLVANIA AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-11-20T00:00:00.000,05 BROOKLYN,3036600005,BROOKLYN,1012729,186171,PHONE,Unspecified,BROOKLYN,40.67762733742439,-73.89732628532184,"{'latitude': '40.67762733742439', 'longitude': '-73.89732628532184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58895967,2023-09-22T21:38:03.000,2023-09-22T22:30:18.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11373,90-27 53 AVENUE,53 AVENUE,90 STREET,92 STREET,90 STREET,92 STREET,ADDRESS,ELMHURST,53 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T22:30:22.000,04 QUEENS,4018540062,QUEENS,1019407,208257,ONLINE,Unspecified,QUEENS,40.73822411485469,-73.87313518384369,"{'latitude': '40.73822411485469', 'longitude': '-73.87313518384369', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
58900074,2023-09-22T21:38:00.000,2023-09-22T22:00:00.000,DEP,Department of Environmental Protection,Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",,10036,640 8 AVENUE,8 AVENUE,W 41 ST,W 42 ST,,,ADDRESS,NEW YORK,,Closed,The Department of Environmental Protection will keep the location under observation for idling commercial vehicles.Â Summonses will be issued when warranted.,2023-09-22T22:00:00.000,05 MANHATTAN,1010137501,MANHATTAN,986967,214950,ONLINE,Unspecified,MANHATTAN,40.75666417742652,-73.99019293432467,"{'latitude': '40.75666417742652', 'longitude': '-73.99019293432467', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,
58896416,2023-09-22T21:37:52.000,2023-09-22T21:47:22.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11231,17 DWIGHT STREET,DWIGHT STREET,DELAVAN STREET,VERONA STREET,DELAVAN STREET,VERONA STREET,ADDRESS,BROOKLYN,DWIGHT STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-22T21:47:26.000,06 BROOKLYN,3005240010,BROOKLYN,982466,186380,MOBILE,Unspecified,BROOKLYN,40.67824662645154,-74.00643181172616,"{'latitude': '40.67824662645154', 'longitude': '-74.00643181172616', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,
