unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,landmark,bbl,facility_type,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,taxi_pick_up_location,road_ramp,due_date
58931507,2023-09-26T12:11:55.000,2023-10-12T15:46:12.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Public Garden,11219,58 STREET,58 STREET,58 STREET,FORT HAMILTON AVENUE,58 STREET,FORT HAMILTON AVENUE,INTERSECTION,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-26T12:11:55.000,12 BROOKLYN,BROOKLYN,983110,170282,PHONE,Unspecified,BROOKLYN,40.634061249947,-74.00410729292852,"{'latitude': '40.634061249947', 'longitude': '-74.00410729292852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,,,,,,
58935587,2023-09-26T12:11:36.000,2023-09-27T07:01:40.000,DSNY,Department of Sanitation,Obstruction,Trash or Recycling,Sidewalk,10002,269 EAST HOUSTON STREET,EAST HOUSTON STREET,SUFFOLK STREET,AVENUE B,SUFFOLK STREET,AVENUE B,ADDRESS,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-27T07:01:40.000,03 MANHATTAN,MANHATTAN,988531,202206,ONLINE,Unspecified,MANHATTAN,40.721684441439336,-73.98455575543393,"{'latitude': '40.721684441439336', 'longitude': '-73.98455575543393', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,EAST HOUSTON STREET,1003500012,,,,,,,
58933110,2023-09-26T12:11:20.000,2023-10-03T11:45:43.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Street,11234,1072 EAST   49 STREET,EAST   49 STREET,GLENWOOD ROAD,KINGS HIGHWAY,GLENWOOD ROAD,KINGS HIGHWAY,ADDRESS,Closed,The Department of Sanitation found an open service request already exists for the same location.,2023-09-27T11:43:00.000,18 BROOKLYN,BROOKLYN,1003788,170582,MOBILE,Unspecified,BROOKLYN,40.634863211702665,-73.92960591033219,"{'latitude': '40.634863211702665', 'longitude': '-73.92960591033219', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,EAST   49 STREET,3077320045,,,,,,,
58926176,2023-09-26T12:11:16.000,2023-09-30T17:30:38.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11216,808 PROSPECT PLACE,PROSPECT PLACE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-30T00:00:00.000,08 BROOKLYN,BROOKLYN,998251,184937,PHONE,Unspecified,BROOKLYN,40.67427502491574,-73.94952553906852,"{'latitude': '40.67427502491574', 'longitude': '-73.94952553906852', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3012340005,,,,,,,
58926344,2023-09-26T12:11:12.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,11412,120-05 NASHVILLE BOULEVARD,NASHVILLE BOULEVARD,120 AVENUE,121 AVENUE,120 AVENUE,121 AVENUE,ADDRESS,In Progress,"NYC Parks reviewed this request and will visit the location to investigate the condition.  Under NYC Parksâ Tree Risk Management Program, all trees under the agency's jurisdiction are assessed for risk, and work is prioritized to address the conditions with the highest risk first.  For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   To learn more about the trees in your neighborhood, visit the NYC Tree Map at nyc.gov/parks/treemap.",2023-09-26T12:43:03.000,12 QUEENS,QUEENS,1054312,191262,ONLINE,Unspecified,QUEENS,40.69136946453376,-73.74735711498653,"{'latitude': '40.69136946453376', 'longitude': '-73.74735711498653', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SAINT ALBANS,NASHVILLE BOULEVARD,4126940039,,,,,,,
58934091,2023-09-26T12:11:09.000,2023-10-02T08:26:57.000,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Park,11415,80-30 PARK LANE,PARK LANE,FOREST PARK DRIVE,80 ROAD,FOREST PARK DRIVE,80 ROAD,ADDRESS,Closed,NYC Parks performed the work necessary to correct the condition.,2023-10-02T08:27:02.000,82 QUEENS,QUEENS,1029953,198339,UNKNOWN,Unspecified,QUEENS,40.71095344959411,-73.83514714122289,"{'latitude': '40.71095344959411', 'longitude': '-73.83514714122289', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",KEW GARDENS,PARK LANE,4033122000,,,,,,,
58930870,2023-09-26T12:11:09.000,2023-09-26T13:13:18.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11367,153-37 77 AVENUE,77 AVENUE,153 STREET,PARSONS BOULEVARD,153 STREET,PARSONS BOULEVARD,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T13:13:23.000,08 QUEENS,QUEENS,1036575,202976,PHONE,Unspecified,QUEENS,40.72364418882474,-73.8112253020203,"{'latitude': '40.72364418882474', 'longitude': '-73.8112253020203', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLUSHING,77 AVENUE,4068110061,,,,,,,
58935447,2023-09-26T12:11:08.000,2023-10-03T16:08:36.000,DOT,Department of Transportation,Sidewalk Condition,Sidewalk Grating - Defective,Sidewalk,11375,70 ROAD,70 ROAD,70 ROAD,AUSTIN STREET,70 ROAD,AUSTIN STREET,INTERSECTION,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-10-03T16:08:40.000,06 QUEENS,QUEENS,1026967,201836,ONLINE,Unspecified,QUEENS,40.72056678305982,-73.84589556916187,"{'latitude': '40.72056678305982', 'longitude': '-73.84589556916187', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58929625,2023-09-26T12:11:00.000,2023-10-06T07:45:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11236,10527 FLATLANDS   10 STREET,FLATLANDS   10 STREET,105 ST E,108 ST E,FLATLANDS 10 STREET,EAST 105 STREET,INTERSECTION,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-10-06T07:45:00.000,18 BROOKLYN,BROOKLYN,1016341,171837,UNKNOWN,Unspecified,BROOKLYN,40.638271332855986,-73.88437237588592,"{'latitude': '40.638271332855986', 'longitude': '-73.88437237588592', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3083090068,,,,,,,
58932816,2023-09-26T12:10:58.000,2023-10-03T09:44:00.000,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,10023,329 WEST   71 STREET,WEST   71 STREET,WEST END AVENUE,RIVERSIDE BOULEVARD,WEST END AVENUE,RIVERSIDE BOULEVARD,ADDRESS,Closed,"The Department of Transportation will inspect the condition to determine if the location can be added to a curb contract (3-5 years). The property owner will be notified if there are sidewalk defects. Property owners are responsible for repairing and installing sidewalks adjoining their property, according to Section 19-152 of the NYC Administrative Code. Community Boards and elected officials may contribute funding for curb, affecting timeframe for construction.",2023-10-03T09:44:04.000,07 MANHATTAN,MANHATTAN,988236,223233,PHONE,Unspecified,MANHATTAN,40.779398381043215,-73.98560754132663,"{'latitude': '40.779398381043215', 'longitude': '-73.98560754132663', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST   71 STREET,1011830021,,,,,,,
58929912,2023-09-26T12:10:47.000,2023-10-06T07:43:38.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11208,765 LINCOLN AVENUE,LINCOLN AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-06T00:00:00.000,05 BROOKLYN,BROOKLYN,1021474,183447,ONLINE,Unspecified,BROOKLYN,40.67011812462209,-73.86581352291451,"{'latitude': '40.67011812462209', 'longitude': '-73.86581352291451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3042719001,,,,,,,
58933830,2023-09-26T12:10:47.000,2023-10-02T12:34:03.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11208,765 LINCOLN AVENUE,LINCOLN AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,05 BROOKLYN,BROOKLYN,1021474,183447,ONLINE,Unspecified,BROOKLYN,40.67011812462209,-73.86581352291451,"{'latitude': '40.67011812462209', 'longitude': '-73.86581352291451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3042719001,,,,,,,
58932527,2023-09-26T12:10:47.000,2023-10-01T13:40:30.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11208,765 LINCOLN AVENUE,LINCOLN AVENUE,,,,,ADDRESS,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-01T00:00:00.000,05 BROOKLYN,BROOKLYN,1021474,183447,ONLINE,Unspecified,BROOKLYN,40.67011812462209,-73.86581352291451,"{'latitude': '40.67011812462209', 'longitude': '-73.86581352291451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3042719001,,,,,,,
58930798,2023-09-26T12:10:31.000,2023-09-26T12:38:09.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10019,117 WEST   57 STREET,WEST   57 STREET,AVENUE OF THE AMERICAS,6 1/2 AVENUE,AVENUE OF THE AMERICAS,6 1/2 AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T12:38:13.000,05 MANHATTAN,MANHATTAN,990368,217854,MOBILE,Unspecified,MANHATTAN,40.76463321291506,-73.97791431457263,"{'latitude': '40.76463321291506', 'longitude': '-73.97791431457263', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,WEST   57 STREET,1010100023,,,,,,,
58932051,2023-09-26T12:10:18.000,2023-09-26T13:46:22.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11375,1 TENNIS PLACE,TENNIS PLACE,DARTMOUTH STREET,BURNS STREET,DARTMOUTH STREET,BURNS STREET,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T13:46:26.000,06 QUEENS,QUEENS,1026762,201267,MOBILE,Unspecified,QUEENS,40.719006004974794,-73.84663871262093,"{'latitude': '40.719006004974794', 'longitude': '-73.84663871262093', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FOREST HILLS,TENNIS PLACE,4032190001,,,,,,,
58925836,2023-09-26T12:10:16.000,2023-09-26T12:58:11.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11426,248-10 87 DRIVE,87 DRIVE,248 STREET,249 STREET,248 STREET,249 STREET,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-26T12:58:14.000,13 QUEENS,QUEENS,1062591,205071,PHONE,Unspecified,QUEENS,40.729202283179156,-73.71734264078792,"{'latitude': '40.729202283179156', 'longitude': '-73.71734264078792', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BELLEROSE,87 DRIVE,4086390048,,,,,,,
58934734,2023-09-26T12:10:06.000,2023-09-26T17:54:24.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11229,2232 EAST   12 STREET,EAST   12 STREET,AVENUE V,GRAVESEND NECK ROAD,AVENUE V,GRAVESEND NECK ROAD,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-26T17:54:27.000,15 BROOKLYN,BROOKLYN,995452,156275,ONLINE,Unspecified,BROOKLYN,40.59560792517385,-73.95966368363167,"{'latitude': '40.59560792517385', 'longitude': '-73.95966368363167', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,EAST   12 STREET,3073710023,,,,,,,
58932736,2023-09-26T12:10:03.000,2023-11-17T10:24:57.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,11358,47-11 188 STREET,188 STREET,47 AVENUE,48 AVENUE,47 AVENUE,48 AVENUE,ADDRESS,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-11-17T10:25:01.000,11 QUEENS,QUEENS,1042116,212693,UNKNOWN,Unspecified,QUEENS,40.75028036472228,-73.7911513373459,"{'latitude': '40.75028036472228', 'longitude': '-73.7911513373459', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FLUSHING,188 STREET,4056060026,,,,,,,
58930785,2023-09-26T12:10:02.000,2023-09-26T15:13:21.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10452,1175 GRAND CONCOURSE,GRAND CONCOURSE,MCCLELLAN STREET,TUDOR PLACE,MCCLELLAN STREET,TUDOR PLACE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-26T15:13:20.000,04 BRONX,BRONX,1006762,242968,MOBILE,Unspecified,BRONX,40.83353771636046,-73.91864858945218,"{'latitude': '40.83353771636046', 'longitude': '-73.91864858945218', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,GRAND CONCOURSE,2024630016,,,,,,,
58934739,2023-09-26T12:09:58.000,2023-09-26T12:57:27.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11215,337 NEVINS STREET,NEVINS STREET,PRESIDENT STREET,CARROLL STREET,PRESIDENT STREET,CARROLL STREET,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T12:57:32.000,06 BROOKLYN,BROOKLYN,987550,186304,PHONE,Unspecified,BROOKLYN,40.678037588301855,-73.9881026276832,"{'latitude': '40.678037588301855', 'longitude': '-73.9881026276832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,NEVINS STREET,3004470003,,,,,,,
58933341,2023-09-26T12:09:56.000,2023-09-26T12:14:29.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10472,WATSON AVENUE,WATSON AVENUE,WATSON AVENUE,WHEELER AVENUE,WATSON AVENUE,WHEELER AVENUE,INTERSECTION,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-26T12:14:32.000,09 BRONX,BRONX,1017599,240200,PHONE,Unspecified,BRONX,40.82590608376135,-73.87950082181479,"{'latitude': '40.82590608376135', 'longitude': '-73.87950082181479', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58930443,2023-09-26T12:09:39.000,2023-09-29T15:56:50.000,DSNY,Department of Sanitation,Illegal Dumping,Removal Request,Sidewalk,11222,97 GREEN STREET,GREEN STREET,FRANKLIN STREET,MANHATTAN AVENUE,FRANKLIN STREET,MANHATTAN AVENUE,ADDRESS,Closed,The Department of Sanitation cleaned the location.,2023-09-27T11:25:08.000,01 BROOKLYN,BROOKLYN,996032,206513,PHONE,Unspecified,BROOKLYN,40.733499295334305,-73.95748741890043,"{'latitude': '40.733499295334305', 'longitude': '-73.95748741890043', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,GREEN STREET,3025120001,,,,,,,
58928460,2023-09-26T12:09:38.000,2023-09-26T12:40:59.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10457,623 EAST  179 STREET,EAST  179 STREET,ARTHUR AVENUE,HUGHES AVENUE,ARTHUR AVENUE,HUGHES AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-26T12:41:02.000,06 BRONX,BRONX,1014182,248141,ONLINE,Unspecified,BRONX,40.84771405228585,-73.89181193874188,"{'latitude': '40.84771405228585', 'longitude': '-73.89181193874188', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,EAST  179 STREET,2030690101,,,,,,,
58926400,2023-09-26T12:09:37.000,2023-09-26T12:09:37.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10031,305 CONVENT AVENUE,CONVENT AVENUE,WEST 142 STREET,WEST 143 STREET,WEST  142 STREET,WEST  143 STREET,ADDRESS,Closed,The Department of Health and Mental Hygiene found violations on the property you reported. Follow-up inspections will be scheduled.,2023-09-26T12:09:37.000,09 MANHATTAN,MANHATTAN,998824,239159,ONLINE,Unspecified,MANHATTAN,40.823099768253336,-73.94734233371373,"{'latitude': '40.823099768253336', 'longitude': '-73.94734233371373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,CONVENT AVENUE,1020500015,,,,,,,
58930316,2023-09-26T12:09:15.000,2023-09-29T07:20:29.000,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,11385,77-44 79 STREET,79 STREET,77 AVENUE,78 AVENUE,77 AVENUE,78 AVENUE,ADDRESS,Closed,This request required re-assignment to a new DOT unit.,2023-09-29T07:20:38.000,05 QUEENS,QUEENS,1019753,196413,ONLINE,Unspecified,QUEENS,40.70571384947942,-73.87194911385299,"{'latitude': '40.70571384947942', 'longitude': '-73.87194911385299', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RIDGEWOOD,79 STREET,4038150034,,,,,,,
58933413,2023-09-26T12:09:09.000,2023-09-27T00:00:00.000,DOB,Department of Buildings,Cranes and Derricks,Crane/Suspension Scaffold - No Permit/License/Cert./Unsafe/Illegal,,11222,140 HURON STREET,HURON STREET,,,,,ADDRESS,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-27T00:00:00.000,01 BROOKLYN,BROOKLYN,996428,206294,UNKNOWN,Unspecified,BROOKLYN,40.73289765787593,-73.95605894248976,"{'latitude': '40.73289765787593', 'longitude': '-73.95605894248976', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3025320030,,,,,,,
58932146,2023-09-26T12:09:09.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,11215,337 NEVINS STREET,NEVINS STREET,,,,,ADDRESS,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-02T00:00:00.000,06 BROOKLYN,BROOKLYN,987550,186304,UNKNOWN,Unspecified,BROOKLYN,40.678037588301855,-73.9881026276832,"{'latitude': '40.678037588301855', 'longitude': '-73.9881026276832', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,3004470003,,,,,,,
58925881,2023-09-26T12:09:09.000,2023-09-27T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Working Contrary To Stop Work Order,,10303,400 LAKE AVENUE,LAKE AVENUE,,,,,ADDRESS,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-27T00:00:00.000,01 STATEN ISLAND,STATEN ISLAND,942045,167476,UNKNOWN,Unspecified,STATEN ISLAND,40.62625891080774,-74.1520422105987,"{'latitude': '40.62625891080774', 'longitude': '-74.1520422105987', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,,5011830033,,,,,,,
