unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,bridge_highway_direction,vehicle_type,taxi_company_borough,road_ramp,due_date
58920498,2023-09-25T15:30:11.000,,HPD,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,10312,60 NIPPON AVENUE,NIPPON AVENUE,ADDRESS,STATEN ISLAND,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-25T00:00:00.000,03 STATEN ISLAND,,STATEN ISLAND,930244,137116,PHONE,Unspecified,STATEN ISLAND,40.54286287039093,-74.19431221338111,"{'latitude': '40.54286287039093', 'longitude': '-74.19431221338111', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58924924,2023-09-25T15:30:11.000,2023-10-10T08:44:43.000,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,11691,14-19 BEACH CHANNEL DRIVE,BEACH CHANNEL DRIVE,ADDRESS,FAR ROCKAWAY,Closed,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-10-10T00:00:00.000,14 QUEENS,4156510065,QUEENS,1052559,161122,ONLINE,Unspecified,QUEENS,40.60865574579334,-73.75398362128011,"{'latitude': '40.60865574579334', 'longitude': '-73.75398362128011', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58920645,2023-09-25T15:30:01.000,2023-09-26T10:47:15.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,11434,137-06 161 STREET,161 STREET,ADDRESS,JAMAICA,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-09-26T10:47:20.000,12 QUEENS,4123080008,QUEENS,1046599,183918,PHONE,Unspecified,QUEENS,40.67126961742814,-73.7752379376049,"{'latitude': '40.67126961742814', 'longitude': '-73.7752379376049', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,137 AVENUE,140 AVENUE,137 AVENUE,140 AVENUE,161 STREET,,,,,,,,,
58922610,2023-09-25T15:29:22.000,2023-09-25T16:00:38.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,11226,1044 FLATBUSH AVENUE,FLATBUSH AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T16:00:42.000,14 BROOKLYN,3051250065,BROOKLYN,995886,174516,MOBILE,Unspecified,BROOKLYN,40.64567510317057,-73.95806949019844,"{'latitude': '40.64567510317057', 'longitude': '-73.95806949019844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,REGENT PLACE,DURYEA PLACE,REGENT PLACE,DURYEA PLACE,FLATBUSH AVENUE,,,,,,,,,
58916649,2023-09-25T15:29:21.000,2023-09-25T16:23:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11214,174 BAY   35 STREET,BAY   35 STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T16:23:54.000,11 BROOKLYN,3068740001,BROOKLYN,986054,156591,MOBILE,Unspecified,BROOKLYN,40.59648217704268,-73.99350404704833,"{'latitude': '40.59648217704268', 'longitude': '-73.99350404704833', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,BENSON AVENUE,BATH AVENUE,BENSON AVENUE,BATH AVENUE,BAY   35 STREET,,,,,,,,,
58923015,2023-09-25T15:29:09.000,2023-10-16T10:27:03.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,11420,135-56 115 STREET,115 STREET,ADDRESS,SOUTH OZONE PARK,Closed,"NYC Parks created a work order for the tree condition.  Please note that addressing this work can take up to a year or more depending on the higher priority work identified during this period and resources available to address this work.    NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.   Alternatively, you may choose complete the work yourself by hiring an independent contractor. The contractor must complete a Tree Work Permit application on the NYC Parks website at nyc.gov/parks/trees.",2023-10-16T10:27:10.000,10 QUEENS,4118010001,QUEENS,1032890,183763,PHONE,Unspecified,QUEENS,40.67093011208879,-73.82465851303645,"{'latitude': '40.67093011208879', 'longitude': '-73.82465851303645', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,135 AVENUE,149 AVENUE,135 AVENUE,149 AVENUE,115 STREET,,,,,,,,,
58922230,2023-09-25T15:29:00.000,2023-09-27T16:45:00.000,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),11229,BRAGG STREET,BRAGG STREET,BLOCKFACE,BROOKLYN,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-27T16:45:00.000,15 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,AVENUE U,AVENUE V,,,,N/A,,,,,,,,
58920118,2023-09-25T15:28:51.000,2023-09-25T19:07:39.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,10473,453 OLMSTEAD AVENUE,OLMSTEAD AVENUE,ADDRESS,BRONX,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T19:07:44.000,09 BRONX,2035070041,BRONX,1025666,236421,ONLINE,Unspecified,BRONX,40.81549966854907,-73.85037588983104,"{'latitude': '40.81549966854907', 'longitude': '-73.85037588983104', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,NORTON AVENUE,LACOMBE AVENUE,NORTON AVENUE,LACOMBE AVENUE,OLMSTEAD AVENUE,,,,,,,,,
58921144,2023-09-25T15:28:09.000,2023-09-25T17:05:14.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11101,43-11 34 AVENUE,34 AVENUE,ADDRESS,LONG ISLAND CITY,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T17:05:17.000,01 QUEENS,4006910004,QUEENS,1006889,214529,MOBILE,Unspecified,QUEENS,40.75548007448019,-73.91828551900949,"{'latitude': '40.75548007448019', 'longitude': '-73.91828551900949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,43 STREET,44 STREET,43 STREET,44 STREET,34 AVENUE,,,,,,,,,
58918343,2023-09-25T15:27:42.000,2023-10-02T17:02:05.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,10451,960 GRAND CONCOURSE,GRAND CONCOURSE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-02T00:00:00.000,04 BRONX,2024610058,BRONX,1006017,241425,PHONE,Unspecified,BRONX,40.82930449373355,-73.9213457943975,"{'latitude': '40.82930449373355', 'longitude': '-73.9213457943975', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58920961,2023-09-25T15:27:35.000,2023-09-26T13:10:45.000,DSNY,Department of Sanitation,Dirty Condition,Dirt or Gravel,11379,66-54 71 STREET,71 STREET,ADDRESS,MIDDLE VILLAGE,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-26T08:01:21.000,05 QUEENS,4030540029,QUEENS,1016328,199092,PHONE,Unspecified,QUEENS,40.71308014246852,-73.88428949642423,"{'latitude': '40.71308014246852', 'longitude': '-73.88428949642423', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,66 DRIVE,METROPOLITAN AVENUE,66 DRIVE,METROPOLITAN AVENUE,71 STREET,,,,,,,,,
58918508,2023-09-25T15:27:33.000,2023-09-26T14:18:06.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Other (Explain Below),10025,382 CENTRAL PARK WEST,CENTRAL PARK WEST,ADDRESS,NEW YORK,Closed,"A letter was sent to the owner or manager of the property you reported instructing them to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.",2023-09-26T14:18:06.000,07 MANHATTAN,1018337501,MANHATTAN,993755,228365,PHONE,Unspecified,MANHATTAN,40.79348013659224,-73.96567253916751,"{'latitude': '40.79348013659224', 'longitude': '-73.96567253916751', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3+ Family Apartment Building,97 ST TRANSVERSE,COLUMBUS AVENUE,97 ST TRANSVERSE,COLUMBUS AVENUE,CENTRAL PARK WEST,,,,,,,,,
58923030,2023-09-25T15:27:23.000,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,11218,2905 FORT HAMILTON PARKWAY,FORT HAMILTON PARKWAY,ADDRESS,BROOKLYN,In Progress,,,07 BROOKLYN,3052820060,BROOKLYN,990452,175637,ONLINE,Unspecified,BROOKLYN,40.64875747808591,-73.97764996314088,"{'latitude': '40.64875747808591', 'longitude': '-73.97764996314088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,EAST    4 STREET,EAST    3 STREET,EAST    4 STREET,EAST    3 STREET,FORT HAMILTON PARKWAY,,,,,,,,,
58924496,2023-09-25T15:27:21.000,2023-09-29T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,11221,1103 JEFFERSON AVENUE,JEFFERSON AVENUE,ADDRESS,BROOKLYN,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-29T00:00:00.000,04 BROOKLYN,3033810060,BROOKLYN,1007646,190270,UNKNOWN,Unspecified,BROOKLYN,40.68889304661713,-73.91563749062205,"{'latitude': '40.68889304661713', 'longitude': '-73.91563749062205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,N/A,,,,,,,,
58918326,2023-09-25T15:27:17.000,2023-11-15T20:20:22.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10453,1982 WALTON AVENUE,WALTON AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-15T00:00:00.000,05 BRONX,2028290006,BRONX,1009715,249629,PHONE,Unspecified,BRONX,40.851812182607574,-73.90795207369989,"{'latitude': '40.851812182607574', 'longitude': '-73.90795207369989', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58917178,2023-09-25T15:27:17.000,2023-11-15T20:20:22.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,10453,1982 WALTON AVENUE,WALTON AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-11-15T00:00:00.000,05 BRONX,2028290006,BRONX,1009715,249629,PHONE,Unspecified,BRONX,40.851812182607574,-73.90795207369989,"{'latitude': '40.851812182607574', 'longitude': '-73.90795207369989', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58922751,2023-09-25T15:27:05.000,2023-09-27T14:28:40.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,11225,1146 PRESIDENT STREET,PRESIDENT STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,09 BROOKLYN,3012820018,BROOKLYN,997425,182711,ONLINE,Unspecified,BROOKLYN,40.66816642202017,-73.95250766978037,"{'latitude': '40.66816642202017', 'longitude': '-73.95250766978037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58925126,2023-09-25T15:27:05.000,2023-09-27T14:28:40.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,11225,1146 PRESIDENT STREET,PRESIDENT STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,09 BROOKLYN,3012820018,BROOKLYN,997425,182711,ONLINE,Unspecified,BROOKLYN,40.66816642202017,-73.95250766978037,"{'latitude': '40.66816642202017', 'longitude': '-73.95250766978037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58921674,2023-09-25T15:27:05.000,2023-09-27T14:28:40.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,11225,1146 PRESIDENT STREET,PRESIDENT STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-27T00:00:00.000,09 BROOKLYN,3012820018,BROOKLYN,997425,182711,ONLINE,Unspecified,BROOKLYN,40.66816642202017,-73.95250766978037,"{'latitude': '40.66816642202017', 'longitude': '-73.95250766978037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58925105,2023-09-25T15:27:05.000,2023-09-27T14:28:40.000,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,11225,1146 PRESIDENT STREET,PRESIDENT STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-27T00:00:00.000,09 BROOKLYN,3012820018,BROOKLYN,997425,182711,ONLINE,Unspecified,BROOKLYN,40.66816642202017,-73.95250766978037,"{'latitude': '40.66816642202017', 'longitude': '-73.95250766978037', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,,,,
58923609,2023-09-25T15:27:00.000,2023-09-28T14:10:00.000,DOT,Department of Transportation,Traffic Signal Condition,Post,10027,,,INTERSECTION,MANHATTAN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-28T14:10:00.000,09 MANHATTAN,,MANHATTAN,995677,234388,UNKNOWN,Unspecified,MANHATTAN,40.810009344195606,-73.95872095568345,"{'latitude': '40.810009344195606', 'longitude': '-73.95872095568345', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,AMSTERDAM AVENUE,WEST 121 STREET,,N/A,,,,,,,,
58922078,2023-09-25T15:26:48.000,2023-09-25T17:18:37.000,NYPD,New York City Police Department,Panhandling,N/A,,,,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T17:18:41.000,Unspecified MANHATTAN,,MANHATTAN,989336,217208,MOBILE,Unspecified,MANHATTAN,40.76286076343741,-73.98164027353906,"{'latitude': '40.76286076343741', 'longitude': '-73.98164027353906', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Subway,,,,,,,D,Mezzanine,,,,,,
58916740,2023-09-25T15:26:08.000,2023-09-25T15:47:15.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,10021,245 EAST   72 STREET,EAST   72 STREET,ADDRESS,NEW YORK,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-25T15:47:18.000,08 MANHATTAN,1014270018,MANHATTAN,995452,219562,PHONE,Unspecified,MANHATTAN,40.769316249754006,-73.95955847477597,"{'latitude': '40.769316249754006', 'longitude': '-73.95955847477597', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,EAST   72 STREET,,,,,,,,,
58924878,2023-09-25T15:26:02.000,2023-09-25T16:03:00.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,11226,1042 FLATBUSH AVENUE,FLATBUSH AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-25T16:02:56.000,14 BROOKLYN,3051250064,BROOKLYN,995885,174533,MOBILE,Unspecified,BROOKLYN,40.64572176581079,-73.95807306439274,"{'latitude': '40.64572176581079', 'longitude': '-73.95807306439274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,REGENT PLACE,DURYEA PLACE,REGENT PLACE,DURYEA PLACE,FLATBUSH AVENUE,,,,,,,,,
58924472,2023-09-25T15:26:00.000,2023-09-25T19:35:00.000,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11694,311 BEACH  102 STREET,BEACH  102 STREET,ADDRESS,FAR ROCKAWAY,Closed,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed and is attributed to a defective sewer.,2023-09-25T19:35:00.000,14 QUEENS,4161580039,QUEENS,1033284,152351,PHONE,Unspecified,QUEENS,40.58470879190072,-73.8234663970846,"{'latitude': '40.58470879190072', 'longitude': '-73.8234663970846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,ROCKAWAY FRWY,BEACH CHANNEL DR,,,,,,,,,,,,
58916888,2023-09-25T15:25:55.000,2023-09-25T16:16:30.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,11212,199 RIVERDALE AVENUE,RIVERDALE AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-25T16:16:34.000,16 BROOKLYN,,BROOKLYN,1009458,180084,MOBILE,Unspecified,BROOKLYN,40.660929809442926,-73.90914178813966,"{'latitude': '40.660929809442926', 'longitude': '-73.90914178813966', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Store/Commercial,CHESTER STREET,ROCKAWAY AVENUE,CHESTER STREET,ROCKAWAY AVENUE,RIVERDALE AVENUE,,,,,,,,,
58919634,2023-09-25T15:25:26.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,10310,1194 FOREST AVENUE,FOREST AVENUE,ADDRESS,STATEN ISLAND,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-28T08:54:42.000,01 STATEN ISLAND,5003540067,STATEN ISLAND,948231,167537,MOBILE,Unspecified,STATEN ISLAND,40.62645365389137,-74.12975769733315,"{'latitude': '40.62645365389137', 'longitude': '-74.12975769733315', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Restaurant/Bar/Deli/Bakery,MUNDY AVENUE,LLEWELLYN PLACE,MUNDY AVENUE,LLEWELLYN PLACE,FOREST AVENUE,,,,,,,,,
