unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,bbl,facility_type,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,due_date,taxi_pick_up_location,taxi_company_borough
58952838,2023-09-28T09:55:24.000,2023-11-05T09:17:12.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11215,277 21 STREET,21 STREET,5 AVENUE,6 AVENUE,5 AVENUE,6 AVENUE,ADDRESS,BROOKLYN,21 STREET,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-11-05T09:17:17.000,07 BROOKLYN,BROOKLYN,986428,179948,ONLINE,Unspecified,BROOKLYN,40.66059213463842,-73.99214978782553,"{'latitude': '40.66059213463842', 'longitude': '-73.99214978782553', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3008910059,,,,,,,,
58950645,2023-09-28T09:55:11.000,2023-10-01T06:41:46.000,DHS,Department of Homeless Services,Encampment,N/A,Store/Commercial,10014,91 7 AVENUE SOUTH,7 AVENUE SOUTH,BARROW STREET,GROVE STREET,BARROW STREET,GROVE STREET,ADDRESS,NEW YORK,7 AVENUE SOUTH,Closed,"The Department of Homeless Services (DHS) visited the location but could not find the condition you reported. If it still exists, please submit a new Service Request.",2023-10-01T06:41:49.000,02 MANHATTAN,MANHATTAN,983341,206240,MOBILE,Unspecified,MANHATTAN,40.73275777801478,-74.0032798764792,"{'latitude': '40.73275777801478', 'longitude': '-74.0032798764792', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58953052,2023-09-28T09:55:11.000,2023-09-28T10:36:34.000,NYPD,New York City Police Department,Encampment,N/A,Store/Commercial,10014,91 7 AVENUE SOUTH,7 AVENUE SOUTH,BARROW STREET,GROVE STREET,BARROW STREET,GROVE STREET,ADDRESS,NEW YORK,7 AVENUE SOUTH,Closed,The Police Department visited the location and has referred the complaint to the Department of Homeless Services (DHS) for further action. DHS will inspect the condition and update your Service Request with more information.,2023-09-28T10:35:25.000,02 MANHATTAN,MANHATTAN,983341,206240,MOBILE,Unspecified,MANHATTAN,40.73275777801478,-74.0032798764792,"{'latitude': '40.73275777801478', 'longitude': '-74.0032798764792', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58947565,2023-09-28T09:55:09.000,2023-09-28T17:51:55.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10457,1779 WEEKS AVENUE,WEEKS AVENUE,CROSS BRONX EXPRESSWAY,EAST  175 STREET,CROSS BRONX EXPRESSWAY,EAST  175 STREET,ADDRESS,BRONX,WEEKS AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-28T17:51:59.000,05 BRONX,BRONX,1009857,247602,ONLINE,Unspecified,BRONX,40.84624825882384,-73.90744653048277,"{'latitude': '40.84624825882384', 'longitude': '-73.90744653048277', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58949767,2023-09-28T09:55:03.000,2023-09-28T18:53:51.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11378,58-35 69 STREET,69 STREET,58 ROAD,CALDWELL AVENUE,58 ROAD,CALDWELL AVENUE,ADDRESS,MASPETH,69 STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-28T18:53:56.000,05 QUEENS,QUEENS,1013555,202980,MOBILE,Unspecified,QUEENS,40.72376137978315,-73.8942752161803,"{'latitude': '40.72376137978315', 'longitude': '-73.8942752161803', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4027940067,,,,,,,,
58955009,2023-09-28T09:54:43.000,2023-09-28T10:07:11.000,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11433,108-09 159 STREET,159 STREET,108 AVENUE,109 AVENUE,108 AVENUE,109 AVENUE,ADDRESS,JAMAICA,159 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T10:07:17.000,12 QUEENS,QUEENS,1041408,192609,ONLINE,Unspecified,QUEENS,40.69515940246868,-73.79387719182293,"{'latitude': '40.69515940246868', 'longitude': '-73.79387719182293', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58947324,2023-09-28T09:54:38.000,2023-09-28T10:46:44.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11212,729 SARATOGA AVENUE,SARATOGA AVENUE,DUMONT AVENUE,LIVONIA AVENUE,DUMONT AVENUE,LIVONIA AVENUE,ADDRESS,BROOKLYN,SARATOGA AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T10:45:25.000,16 BROOKLYN,BROOKLYN,1007619,180741,PHONE,Unspecified,BROOKLYN,40.66273817309998,-73.91576788873961,"{'latitude': '40.66273817309998', 'longitude': '-73.91576788873961', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58949730,2023-09-28T09:54:37.000,2023-09-28T11:51:28.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11101,13-08 43 AVENUE,43 AVENUE,13 STREET,21 STREET,13 STREET,21 STREET,ADDRESS,LONG ISLAND CITY,43 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-28T11:51:34.000,02 QUEENS,QUEENS,999117,212883,MOBILE,Unspecified,QUEENS,40.750978706542426,-73.94634184374958,"{'latitude': '40.750978706542426', 'longitude': '-73.94634184374958', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58950474,2023-09-28T09:54:31.000,,DOHMH,Department of Health and Mental Hygiene,Unleashed Dog,Unleashed Dog in Public,Public/Unfenced Area,11355,42-66 PHLOX PLACE,PHLOX PLACE,BEECH AVENUE,CHERRY AVENUE,BEECH AVENUE,CHERRY AVENUE,ADDRESS,FLUSHING,PHLOX PLACE,In Progress,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after the initial complaint, please submit a new Service Request.",2023-10-02T10:04:09.000,07 QUEENS,QUEENS,1034220,214958,ONLINE,Unspecified,QUEENS,40.75654534803905,-73.81963248331942,"{'latitude': '40.75654534803905', 'longitude': '-73.81963248331942', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4051900014,,,,,,,,
58954484,2023-09-28T09:54:30.000,2023-09-29T11:30:30.000,DSNY,Department of Sanitation,Litter Basket Request,Replacement Basket,Street,10019,10 AVENUE,10 AVENUE,10 AVENUE,WEST   53 STREET,10 AVENUE,WEST   53 STREET,INTERSECTION,,,Closed,The Department of Sanitation investigated this complaint and found no condition at the location.,2023-09-28T11:27:54.000,04 MANHATTAN,MANHATTAN,986903,218556,PHONE,Unspecified,MANHATTAN,40.766561740228866,-73.99042252049695,"{'latitude': '40.766561740228866', 'longitude': '-73.99042252049695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58949875,2023-09-28T09:54:18.000,2023-09-28T12:43:55.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11368,102-54 47 AVENUE,47 AVENUE,102 STREET,104 STREET,102 STREET,104 STREET,ADDRESS,CORONA,47 AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-28T12:44:01.000,04 QUEENS,QUEENS,1022664,210795,MOBILE,Unspecified,QUEENS,40.74517673717835,-73.86136775151114,"{'latitude': '40.74517673717835', 'longitude': '-73.86136775151114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4019820023,,,,,,,,
58953204,2023-09-28T09:54:16.000,2023-10-29T00:02:18.000,DCWP,Department of Consumer and Worker Protection,Consumer Complaint,Tow Truck Company,Business,11236,504 REMSEN AVENUE,REMSEN AVENUE,LINDEN BOULEVARD,RALPH AVENUE,LINDEN BOULEVARD,RALPH AVENUE,ADDRESS,BROOKLYN,REMSEN AVENUE,Closed,The Department of Consumer and Worker Protection (DCWP) closed your complaint. It was closed because you didn't submit a completed complaint form or requested documents within 30 days of DCWP's request.,2023-10-29T00:02:23.000,17 BROOKLYN,BROOKLYN,1006102,177531,PHONE,Unspecified,BROOKLYN,40.65393130589978,-73.92124622027247,"{'latitude': '40.65393130589978', 'longitude': '-73.92124622027247', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58951733,2023-09-28T09:54:15.000,2023-09-29T09:56:07.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11237,1517 DEKALB AVENUE,DEKALB AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,KNICKERBOCKER AVENUE,IRVING AVENUE,ADDRESS,BROOKLYN,DEKALB AVENUE,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-28T09:54:15.000,04 BROOKLYN,BROOKLYN,1006016,195050,MOBILE,Unspecified,BROOKLYN,40.702017190644426,-73.92149957979451,"{'latitude': '40.702017190644426', 'longitude': '-73.92149957979451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3032360044,,,,,,,,
58953497,2023-09-28T09:54:04.000,2023-09-28T10:45:12.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11354,33-01 PRINCE STREET,PRINCE STREET,33 AVENUE,LINNEAUS PLACE,33 AVENUE,LINNEAUS PLACE,ADDRESS,FLUSHING,PRINCE STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T10:45:17.000,07 QUEENS,QUEENS,1030399,218540,ONLINE,Unspecified,QUEENS,40.766397769094596,-73.83339981945632,"{'latitude': '40.766397769094596', 'longitude': '-73.83339981945632', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4049490001,,,,,,,,
58948551,2023-09-28T09:54:00.000,2023-09-28T10:42:12.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10463,5791 BROADWAY,BROADWAY,WEST  236 STREET,WEST  237 STREET,WEST  236 STREET,WEST  237 STREET,ADDRESS,BRONX,BROADWAY,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-28T10:42:16.000,08 BRONX,BRONX,1011587,261445,ONLINE,Unspecified,BRONX,40.884237884636256,-73.9011371869125,"{'latitude': '40.884237884636256', 'longitude': '-73.9011371869125', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58948733,2023-09-28T09:54:00.000,2023-09-28T15:35:00.000,DOT,Department of Transportation,Traffic Signal Condition,Base Door,,10019,,,,,8 AVENUE,WEST 58 STREET,INTERSECTION,MANHATTAN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-28T15:35:00.000,04 MANHATTAN,MANHATTAN,989135,218857,UNKNOWN,Unspecified,MANHATTAN,40.76738695563547,-73.98236465612317,"{'latitude': '40.76738695563547', 'longitude': '-73.98236465612317', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,,
58948503,2023-09-28T09:54:00.000,2023-09-28T13:26:06.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204,2343 62 STREET,62 STREET,23 AVENUE,24 AVENUE,23 AVENUE,24 AVENUE,ADDRESS,BROOKLYN,62 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T13:26:11.000,11 BROOKLYN,BROOKLYN,990799,162837,PHONE,Unspecified,BROOKLYN,40.6136239362014,-73.97641190655155,"{'latitude': '40.6136239362014', 'longitude': '-73.97641190655155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3065560059,,,,,,,,
58954837,2023-09-28T09:53:59.000,2023-09-28T10:20:51.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11220,5209 FIFTH AVENUE,FIFTH AVENUE,52 STREET,53 STREET,52 STREET,53 STREET,ADDRESS,BROOKLYN,5 AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T10:20:41.000,07 BROOKLYN,BROOKLYN,981032,173854,MOBILE,Unspecified,BROOKLYN,40.643865115225424,-74.0115957988619,"{'latitude': '40.643865115225424', 'longitude': '-74.0115957988619', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58948619,2023-09-28T09:53:55.000,2023-09-28T10:53:20.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11373,52-19 94 STREET,94 STREET,52 AVENUE,53 AVENUE,52 AVENUE,53 AVENUE,ADDRESS,ELMHURST,94 STREET,Closed,The Police Department issued a summons in response to the complaint.,2023-09-28T10:53:25.000,04 QUEENS,QUEENS,1020580,208794,PHONE,Unspecified,QUEENS,40.739693304375066,-73.86889949335335,"{'latitude': '40.739693304375066', 'longitude': '-73.86889949335335', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4018860036,,,,,,,,
58949902,2023-09-28T09:53:54.000,2023-09-28T10:20:38.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10029,1823 3 AVENUE,3 AVENUE,EAST  100 STREET,EAST  101 STREET,EAST  100 STREET,EAST  101 STREET,ADDRESS,NEW YORK,3 AVENUE,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-28T10:19:04.000,11 MANHATTAN,MANHATTAN,998917,226487,ONLINE,Unspecified,MANHATTAN,40.78831847303747,-73.94703399766016,"{'latitude': '40.78831847303747', 'longitude': '-73.94703399766016', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1016490001,,,,,,,,
58954142,2023-09-28T09:53:48.000,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,Residence,11363,38-26 254 STREET,254 STREET,38 AVENUE,39 AVENUE,38 AVENUE,39 AVENUE,ADDRESS,LITTLE NECK,254 STREET,In Progress,,,11 QUEENS,QUEENS,1055818,221882,PHONE,Unspecified,QUEENS,40.77540141259837,-73.74160081628087,"{'latitude': '40.77540141259837', 'longitude': '-73.74160081628087', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58954576,2023-09-28T09:53:25.000,2023-09-28T10:30:25.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,10024,302 WEST   83 STREET,WEST   83 STREET,WEST END AVENUE,RIVERSIDE DRIVE,WEST END AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST   83 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-28T10:30:29.000,07 MANHATTAN,MANHATTAN,989939,226003,MOBILE,Unspecified,MANHATTAN,40.78700036235281,-73.97945608466077,"{'latitude': '40.78700036235281', 'longitude': '-73.97945608466077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58946541,2023-09-28T09:53:07.000,2023-10-01T10:28:35.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10030,102 WEST  134 STREET,WEST  134 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,10 MANHATTAN,MANHATTAN,1000377,235696,ONLINE,Unspecified,MANHATTAN,40.8135921102262,-73.94173947586344,"{'latitude': '40.8135921102262', 'longitude': '-73.94173947586344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1019180038,,,,,,,,
58947769,2023-09-28T09:53:05.000,2023-10-03T13:13:10.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10036,605 WEST   42 STREET,WEST   42 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,04 MANHATTAN,MANHATTAN,984633,216515,PHONE,Unspecified,MANHATTAN,40.76096011122231,-73.99861746470174,"{'latitude': '40.76096011122231', 'longitude': '-73.99861746470174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1010907502,,,,,,,,
58953989,2023-09-28T09:53:05.000,2023-10-03T13:13:10.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10036,605 WEST   42 STREET,WEST   42 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-03T00:00:00.000,04 MANHATTAN,MANHATTAN,984633,216515,PHONE,Unspecified,MANHATTAN,40.76096011122231,-73.99861746470174,"{'latitude': '40.76096011122231', 'longitude': '-73.99861746470174', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1010907502,,,,,,,,
58947771,2023-09-28T09:53:05.000,2023-10-04T18:57:35.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10128,1729 1 AVENUE,1 AVENUE,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-04T00:00:00.000,08 MANHATTAN,MANHATTAN,998722,223138,PHONE,Unspecified,MANHATTAN,40.779126682242314,-73.94774540304574,"{'latitude': '40.779126682242314', 'longitude': '-73.94774540304574', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1015520027,,,,,,,,
58946238,2023-09-28T09:53:00.000,2023-09-28T12:30:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller,,10312,,,,,RICHMOND AVENUE,ARTHUR KILL ROAD,INTERSECTION,STATEN ISLAND,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-28T12:30:00.000,02 STATEN ISLAND,STATEN ISLAND,937062,143743,UNKNOWN,Unspecified,STATEN ISLAND,40.56109157965003,-74.16982751543821,"{'latitude': '40.56109157965003', 'longitude': '-74.16982751543821', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,N/A,,,,,,,
58952241,2023-09-28T09:52:52.000,2023-09-28T10:30:38.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11211,211 NORTH    6 STREET,NORTH    6 STREET,DRIGGS AVENUE,ROEBLING STREET,DRIGGS AVENUE,ROEBLING STREET,ADDRESS,BROOKLYN,NORTH    6 STREET,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-28T10:30:42.000,01 BROOKLYN,BROOKLYN,996382,200137,ONLINE,Unspecified,BROOKLYN,40.71599825151604,-73.95623602032444,"{'latitude': '40.71599825151604', 'longitude': '-73.95623602032444', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3023290034,,,,,,,,
58948542,2023-09-28T09:52:49.000,2023-09-28T13:27:16.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11212,NEWPORT STREET,NEWPORT STREET,NEWPORT STREET,ROCKAWAY AVENUE,NEWPORT STREET,ROCKAWAY AVENUE,INTERSECTION,,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-28T13:27:21.000,16 BROOKLYN,BROOKLYN,1009739,179555,PHONE,Unspecified,BROOKLYN,40.659477017335306,-73.90813096891438,"{'latitude': '40.659477017335306', 'longitude': '-73.90813096891438', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
