unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,status,resolution_description,resolution_action_updated_date,community_board,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,city,bbl,landmark,facility_type,taxi_pick_up_location,due_date,taxi_company_borough,bridge_highway_name,bridge_highway_segment
58810661,2023-09-14T12:24:26.000,2023-10-25T00:00:00.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,,10305,179 MCCLEAN AVENUE,MCCLEAN AVENUE,,,,,ADDRESS,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-10-25T00:00:00.000,02 STATEN ISLAND,STATEN ISLAND,965357,156981,UNKNOWN,Unspecified,STATEN ISLAND,40.597532694449804,-74.06803214093117,"{'latitude': '40.597532694449804', 'longitude': '-74.06803214093117', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STATEN ISLAND,5031000020,,N/A,,,,,
58814142,2023-09-14T12:24:25.000,2023-09-14T12:24:25.000,DOB,Department of Buildings,Special Projects Inspection Team (SPIT),Adult Establishment,,10018,356 WEST   40 STREET,WEST   40 STREET,,,,,ADDRESS,Assigned,,2023-09-14T00:00:00.000,04 MANHATTAN,MANHATTAN,986386,214927,UNKNOWN,Unspecified,MANHATTAN,40.75660120773806,-73.99229007270412,"{'latitude': '40.75660120773806', 'longitude': '-73.99229007270412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,1007630072,,,,,,,
58817518,2023-09-14T12:24:25.000,2023-09-14T12:24:25.000,DOB,Department of Buildings,General Construction/Plumbing,Building Shaking/Vibrating/Structural Stability,,10453,124 EAST  177 STREET,EAST  177 STREET,,,,,ADDRESS,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-09-14T00:00:00.000,05 BRONX,BRONX,1009846,248807,UNKNOWN,Unspecified,BRONX,40.849555658547196,-73.90748168864674,"{'latitude': '40.849555658547196', 'longitude': '-73.90748168864674', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,2028050045,,N/A,,,,,
58819279,2023-09-14T12:23:51.000,2023-09-18T14:13:51.000,DOT,Department of Transportation,Street Condition,Cave-in,Street,11411,119 AVENUE,119 AVENUE,119 AVENUE,223 STREET,119 AVENUE,223 STREET,INTERSECTION,Closed,The Department of Transportation inspected and has requested the Department of Environmental Protection address the issue. The condition will be re-inspected in 60 days.,2023-09-18T14:13:56.000,13 QUEENS,QUEENS,1056568,191151,UNKNOWN,Unspecified,QUEENS,40.691046649789804,-73.73922324000723,"{'latitude': '40.691046649789804', 'longitude': '-73.73922324000723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58818086,2023-09-14T12:23:36.000,2023-09-15T02:43:43.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10461,1400 BENSON STREET,BENSON STREET,TRATMAN AVENUE,FRISBY AVENUE,TRATMAN AVENUE,FRISBY AVENUE,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T02:43:47.000,10 BRONX,BRONX,1027398,245587,PHONE,Unspecified,BRONX,40.84064939080307,-73.84405973476271,"{'latitude': '40.84064939080307', 'longitude': '-73.84405973476271', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,2039840001,BENSON STREET,,,,,,
58810884,2023-09-14T12:23:33.000,2023-09-22T20:09:13.000,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,10025,964 AMSTERDAM AVENUE,AMSTERDAM AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-22T00:00:00.000,07 MANHATTAN,MANHATTAN,993922,231227,PHONE,Unspecified,MANHATTAN,40.80133536650071,-73.96506529386701,"{'latitude': '40.80133536650071', 'longitude': '-73.96506529386701', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,1018790031,,,,,,,
58815579,2023-09-14T12:23:31.000,2023-09-18T09:25:00.000,DOT,Department of Transportation,Street Condition,Pothole,,10461,EAST TREMONT AVENUE,EAST TREMONT AVENUE,CODDINGTON AVENUE,LA SALLE AVENUE,,,BLOCKFACE,Closed,The Department of Transportation inspected this complaint and repaired the problem.,2023-09-18T09:25:00.000,10 BRONX,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,BRONX,,,N/A,,,,,
58818596,2023-09-14T12:23:23.000,2023-09-14T12:36:53.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10467,3475 KNOX PLACE,KNOX PLACE,WEST MOSHOLU PARKWAY NORTH,WEST GUN HILL ROAD,WEST MOSHOLU PARKWAY NORTH,WEST GUN HILL ROAD,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-14T12:36:56.000,07 BRONX,BRONX,1016658,260831,ONLINE,Unspecified,BRONX,40.88253548264862,-73.88280117494658,"{'latitude': '40.88253548264862', 'longitude': '-73.88280117494658', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,2033240063,KNOX PLACE,,,,,,
58814790,2023-09-14T12:23:14.000,2023-10-03T16:00:00.000,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Sewage Odor,3+ Family Apt. Building,11233,1711 FULTON STREET,FULTON STREET,STUYVESANT AVENUE,MALCOLM X BOULEVARD,STUYVESANT AVENUE,MALCOLM X BOULEVARD,ADDRESS,Closed,The Department of Health and Mental Hygiene has investigated the complaint and no violations were cited.,2023-10-03T16:00:00.000,03 BROOKLYN,BROOKLYN,1003562,186785,PHONE,Unspecified,BROOKLYN,40.67933737332684,-73.93037377096427,"{'latitude': '40.67933737332684', 'longitude': '-73.93037377096427', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,3016910012,FULTON STREET,,,,,,
58812128,2023-09-14T12:23:13.000,2023-09-14T20:46:05.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11106,32-20 34 AVENUE,34 AVENUE,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-14T00:00:00.000,01 QUEENS,QUEENS,1004688,215875,PHONE,Unspecified,QUEENS,40.75917986116187,-73.92622583667851,"{'latitude': '40.75917986116187', 'longitude': '-73.92622583667851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ASTORIA,4006090029,,,,,,,
58815515,2023-09-14T12:23:07.000,2023-09-15T17:46:27.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11694,222 BEACH  100 STREET,BEACH  100 STREET,,,,,ADDRESS,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-15T00:00:00.000,14 QUEENS,QUEENS,1033831,152270,ONLINE,Unspecified,QUEENS,40.58448342080703,-73.82149767178022,"{'latitude': '40.58448342080703', 'longitude': '-73.82149767178022', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",FAR ROCKAWAY,4161550011,,,,,,,
58811644,2023-09-14T12:23:00.000,2023-09-14T18:40:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,11237,899 HART STREET,HART STREET,IRVING AVE,WYCKOFF AVE,,,ADDRESS,Closed,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",2023-09-14T18:40:00.000,04 BROOKLYN,BROOKLYN,1006098,195595,MOBILE,Unspecified,BROOKLYN,40.70351288507832,-73.92120207377113,"{'latitude': '40.70351288507832', 'longitude': '-73.92120207377113', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,,,,,,,,
58812760,2023-09-14T12:23:00.000,2023-09-14T12:30:00.000,DEP,Department of Environmental Protection,Sewer,Street Flooding (SJ),,10470,342 EAST  241 STREET,EAST  241 STREET,KATONAH AVE,MARTHA AVE,,,ADDRESS,Closed,The Department of Environmental Protection investigated this complaint and resolved the street flooding.,2023-09-14T12:30:00.000,12 BRONX,BRONX,1021046,267850,PHONE,Unspecified,BRONX,40.901783187689986,-73.86689406292669,"{'latitude': '40.901783187689986', 'longitude': '-73.86689406292669', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,2033890020,,,,,,,
58816210,2023-09-14T12:23:00.000,2023-09-18T11:40:00.000,DOT,Department of Transportation,Traffic Signal Condition,Ped Multiple Lamps,,10018,,,,,BROADWAY,WEST 38 STREET,INTERSECTION,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-18T11:40:00.000,05 MANHATTAN,MANHATTAN,987766,213576,UNKNOWN,Unspecified,MANHATTAN,40.75289261512591,-73.98730964641686,"{'latitude': '40.75289261512591', 'longitude': '-73.98730964641686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MANHATTAN,,,N/A,,,,,
58818451,2023-09-14T12:23:00.000,2023-09-14T14:00:00.000,DEP,Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),,11378,57-54 PAGE PLACE,PAGE PLACE,MASPETH AVE,GRAND AVE,,,ADDRESS,Closed,The Department of Environmental Protection investigated this complaint and resolved the issue with the sewer manhole cover.,2023-09-14T14:00:00.000,05 QUEENS,QUEENS,1007129,201385,PHONE,Unspecified,QUEENS,40.71940244569115,-73.91746395155205,"{'latitude': '40.71940244569115', 'longitude': '-73.91746395155205', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MASPETH,4026030130,,,,,,,
58816829,2023-09-14T12:22:56.000,2023-09-16T13:34:15.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch Cracked and Will Fall,Street,11379,84 STREET,84 STREET,84 STREET,ELIOT AVENUE,84 STREET,ELIOT AVENUE,INTERSECTION,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-16T13:34:18.000,05 QUEENS,QUEENS,1018977,204200,ONLINE,Unspecified,QUEENS,40.72709035659125,-73.87470778584657,"{'latitude': '40.72709035659125', 'longitude': '-73.87470778584657', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58814838,2023-09-14T12:22:54.000,2023-09-28T16:30:19.000,DSNY,Department of Sanitation,Litter Basket Request,New Basket,Sidewalk,10459,888 WESTCHESTER AVENUE,WESTCHESTER AVENUE,HEWITT PLACE,EAST  162 STREET,HEWITT PLACE,EAST  162 STREET,ADDRESS,Closed,The location does not meet the criteria for Litter Basket placement.,2023-09-15T09:52:17.000,02 BRONX,BRONX,1012095,238334,PHONE,Unspecified,BRONX,40.82080351232939,-73.89939602328806,"{'latitude': '40.82080351232939', 'longitude': '-73.89939602328806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,2026960030,WESTCHESTER AVENUE,,,,,,
58819223,2023-09-14T12:22:52.000,2023-09-15T02:42:44.000,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10461,1451 BENSON STREET,BENSON STREET,TRATMAN AVENUE,FRISBY AVENUE,TRATMAN AVENUE,FRISBY AVENUE,ADDRESS,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T02:42:52.000,10 BRONX,BRONX,1027393,245582,MOBILE,Unspecified,BRONX,40.840635691711206,-73.84407783728282,"{'latitude': '40.840635691711206', 'longitude': '-73.84407783728282', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,2039830001,BENSON STREET,,,,,,
58817382,2023-09-14T12:22:50.000,2023-09-14T12:44:28.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11222,86 INDIA STREET,INDIA STREET,FRANKLIN STREET,MANHATTAN AVENUE,FRANKLIN STREET,MANHATTAN AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T12:44:32.000,01 BROOKLYN,BROOKLYN,996230,206007,MOBILE,Unspecified,BROOKLYN,40.7321101838451,-73.95677388345572,"{'latitude': '40.7321101838451', 'longitude': '-73.95677388345572', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,3025400015,INDIA STREET,,,,,,
58819284,2023-09-14T12:22:48.000,2023-09-20T10:13:17.000,DOT,Department of Transportation,Street Condition,"Rough, Pitted or Cracked Roads",Street,11224,NEPTUNE AVENUE,NEPTUNE AVENUE,NEPTUNE AVENUE,STILLWELL AVENUE,NEPTUNE AVENUE,STILLWELL AVENUE,INTERSECTION,Closed,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2023-09-20T10:13:22.000,13 BROOKLYN,BROOKLYN,989267,150295,PHONE,Unspecified,BROOKLYN,40.57919967661309,-73.981939155722,"{'latitude': '40.57919967661309', 'longitude': '-73.981939155722', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58811886,2023-09-14T12:22:39.000,2023-09-14T12:32:04.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10468,233 LANDING ROAD,LANDING ROAD,CEDAR AVENUE,MAJOR DEEGAN EXPRESSWAY,CEDAR AVENUE,MAJOR DEEGAN EXPRESSWAY,ADDRESS,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T12:32:08.000,07 BRONX,BRONX,1008841,253488,ONLINE,Unspecified,BRONX,40.86240645467484,-73.91109714827905,"{'latitude': '40.86240645467484', 'longitude': '-73.91109714827905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRONX,2032367501,LANDING ROAD,,,,,,
58815672,2023-09-14T12:22:35.000,2023-09-19T11:47:09.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11201,314 PACIFIC STREET,PACIFIC STREET,SMITH STREET,HOYT STREET,SMITH STREET,HOYT STREET,ADDRESS,Closed,NYC Parks visited the location but could not find the tree condition you reported.,2023-09-19T11:47:14.000,02 BROOKLYN,BROOKLYN,987498,189739,ONLINE,Unspecified,BROOKLYN,40.68746590021492,-73.98828844570228,"{'latitude': '40.68746590021492', 'longitude': '-73.98828844570228', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,3001880014,PACIFIC STREET,,,,,,
58811675,2023-09-14T12:22:22.000,2023-09-14T12:52:56.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11222,100 INDIA STREET,INDIA STREET,FRANKLIN STREET,MANHATTAN AVENUE,FRANKLIN STREET,MANHATTAN AVENUE,ADDRESS,Closed,The Police Department issued a summons in response to the complaint.,2023-09-14T12:53:00.000,01 BROOKLYN,BROOKLYN,996359,206023,MOBILE,Unspecified,BROOKLYN,40.73215392424967,-73.9563083982238,"{'latitude': '40.73215392424967', 'longitude': '-73.9563083982238', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,3025400022,INDIA STREET,,,,,,
58811229,2023-09-14T12:22:17.000,2023-09-19T15:03:24.000,DOT,Department of Transportation,Curb Condition,Broken Curb,Sidewalk,11203,788 SCHNECTADY AVENUE,SCHNECTADY AVENUE,LENOX ROAD,LINDEN BOULEVARD,LENOX ROAD,LINDEN BOULEVARD,ADDRESS,Closed,"The Department of Transportation will inspect the condition to determine if the location can be added to a curb contract (3-5 years). The property owner will be notified if there are sidewalk defects. Property owners are responsible for repairing and installing sidewalks adjoining their property, according to Section 19-152 of the NYC Administrative Code. Community Boards and elected officials may contribute funding for curb, affecting timeframe for construction.",2023-09-19T15:03:27.000,17 BROOKLYN,BROOKLYN,1002679,177625,PHONE,Unspecified,BROOKLYN,40.654197100587574,-73.93358232049799,"{'latitude': '40.654197100587574', 'longitude': '-73.93358232049799', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,3048670023,SCHENECTADY AVENUE,,,,,,
58816953,2023-09-14T12:22:01.000,,EDC,Economic Development Corporation,Noise - Helicopter,Other,Above Address,11414,88-08 151 AVENUE,151 AVENUE,88 STREET,89 STREET,88 STREET,89 STREET,ADDRESS,In Progress,,,10 QUEENS,QUEENS,1026720,182861,ONLINE,Unspecified,QUEENS,40.66848607627237,-73.84690627257683,"{'latitude': '40.66848607627237', 'longitude': '-73.84690627257683', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HOWARD BEACH,4114340007,151 AVENUE,,,,,,
58812297,2023-09-14T12:21:57.000,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11412,115-60 198 STREET,198 STREET,115 AVENUE,116 AVENUE,115 AVENUE,116 AVENUE,ADDRESS,In Progress,,,12 QUEENS,QUEENS,1052177,193068,PHONE,Unspecified,QUEENS,40.69634314078833,-73.75503765160241,"{'latitude': '40.69634314078833', 'longitude': '-73.75503765160241', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SAINT ALBANS,4110380075,198 STREET,,,,,,
58819348,2023-09-14T12:21:56.000,2023-09-14T12:54:27.000,NYPD,New York City Police Department,Encampment,N/A,Store/Commercial,10011,160 8 AVENUE,8 AVENUE,WEST   17 STREET,WEST   18 STREET,WEST   17 STREET,WEST   18 STREET,ADDRESS,Closed,The Police Department visited the location and no Encampment was found.,2023-09-14T12:54:30.000,04 MANHATTAN,MANHATTAN,984040,209666,MOBILE,Unspecified,MANHATTAN,40.74216134446661,-74.00075783418582,"{'latitude': '40.74216134446661', 'longitude': '-74.00075783418582', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",NEW YORK,1007670071,8 AVENUE,,,,,,
58819131,2023-09-14T12:21:56.000,2023-09-15T11:32:24.000,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,11377,39-19 50 STREET,50 STREET,39 AVENUE,SKILLMAN AVENUE,39 AVENUE,SKILLMAN AVENUE,ADDRESS,Closed,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2023-09-15T11:32:29.000,02 QUEENS,QUEENS,1008116,211899,PHONE,Unspecified,QUEENS,40.74825816674807,-73.91386605321279,"{'latitude': '40.74825816674807', 'longitude': '-73.91386605321279', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WOODSIDE,4001290027,50 STREET,,,,,,
58816124,2023-09-14T12:21:48.000,2023-09-14T12:44:59.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,11222,116 INDIA STREET,INDIA STREET,FRANKLIN STREET,MANHATTAN AVENUE,FRANKLIN STREET,MANHATTAN AVENUE,ADDRESS,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T12:45:02.000,01 BROOKLYN,BROOKLYN,996507,206042,MOBILE,Unspecified,BROOKLYN,40.732205870726,-73.95577435122672,"{'latitude': '40.732205870726', 'longitude': '-73.95577435122672', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BROOKLYN,3025407504,INDIA STREET,,,,,,
