unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,facility_type,intersection_street_1,intersection_street_2,landmark,bridge_highway_name,bridge_highway_segment,bridge_highway_direction,road_ramp
58845033,2023-09-17T08:09:50.000,2023-09-17T08:45:45.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11222,100 MESEROLE AVENUE,MESEROLE AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T08:45:49.000,01 BROOKLYN,3026190001,BROOKLYN,997282,204143,MOBILE,Unspecified,BROOKLYN,40.72699247279165,-73.95298167828521,"{'latitude': '40.72699247279165', 'longitude': '-73.95298167828521', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LORIMER STREET,MANHATTAN AVENUE,,LORIMER STREET,MANHATTAN AVENUE,MESEROLE AVENUE,,,,
58840991,2023-09-17T08:09:44.000,2023-09-25T12:33:27.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11355,143-27 OAK AVENUE,OAK AVENUE,ADDRESS,FLUSHING,Closed,The Department of Sanitation collected the requested items.,2023-09-19T04:45:16.000,07 QUEENS,4052260029,QUEENS,1036022,212390,ONLINE,Unspecified,QUEENS,40.74948648732384,-73.81314792681106,"{'latitude': '40.74948648732384', 'longitude': '-73.81314792681106', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BOWNE STREET,BURLING STREET,,BOWNE STREET,BURLING STREET,OAK AVENUE,,,,
58837472,2023-09-17T08:09:40.000,2023-09-17T10:50:10.000,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11237,161 STARR STREET,STARR STREET,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T10:50:12.000,04 BROOKLYN,3031870043,BROOKLYN,1005188,195680,ONLINE,Unspecified,BROOKLYN,40.70374839006221,-73.92448385253739,"{'latitude': '40.70374839006221', 'longitude': '-73.92448385253739', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",KNICKERBOCKER AVENUE,IRVING AVENUE,,KNICKERBOCKER AVENUE,IRVING AVENUE,STARR STREET,,,,
58844995,2023-09-17T08:09:31.000,2023-10-02T11:47:34.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Park,11206,90 BEAVER STREET,BEAVER STREET,ADDRESS,BROOKLYN,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-10-02T11:47:38.000,04 BROOKLYN,3031370001,BROOKLYN,1001798,194204,ONLINE,Unspecified,BROOKLYN,40.699704489031724,-73.9367142551178,"{'latitude': '40.699704489031724', 'longitude': '-73.9367142551178', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LOCUST STREET,BELVIDERE STREET,,LOCUST STREET,BELVIDERE STREET,BEAVER STREET,,,,
58838758,2023-09-17T08:09:28.000,2023-09-17T08:45:18.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11209,476 BAY RIDGE PARKWAY,BAY RIDGE PARKWAY,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T08:45:23.000,10 BROOKLYN,3059410038,BROOKLYN,977770,168767,MOBILE,Unspecified,BROOKLYN,40.62990059887612,-74.02334526246865,"{'latitude': '40.62990059887612', 'longitude': '-74.02334526246865', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4 AVENUE,5 AVENUE,,4 AVENUE,5 AVENUE,BAY RIDGE PARKWAY,,,,
58844617,2023-09-17T08:09:12.000,2023-09-17T08:35:59.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10026,2124 FREDRICK DOUGLAS BOULEVARD,FREDRICK DOUGLAS BOULEVARD,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T08:36:03.000,10 MANHATTAN,1018300063,MANHATTAN,996435,232039,PHONE,Unspecified,MANHATTAN,40.80356097547812,-73.95598701055724,"{'latitude': '40.80356097547812', 'longitude': '-73.95598701055724', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST  114 STREET,WEST  115 STREET,,WEST  114 STREET,WEST  115 STREET,8 AVENUE,,,,
58837731,2023-09-17T08:09:09.000,2023-09-17T11:56:56.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11228,1472 BAY RIDGE PARKWAY,BAY RIDGE PARKWAY,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-17T11:56:58.000,11 BROOKLYN,3062230037,BROOKLYN,983203,164461,MOBILE,Unspecified,BROOKLYN,40.618083838416794,-74.0037713213705,"{'latitude': '40.618083838416794', 'longitude': '-74.0037713213705', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14 AVENUE,15 AVENUE,,14 AVENUE,15 AVENUE,BAY RIDGE PARKWAY,,,,
58841279,2023-09-17T08:09:06.000,2023-10-02T00:00:00.000,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,,10469,915 ARNOW AVENUE,ARNOW AVENUE,ADDRESS,BRONX,Closed,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,2023-10-02T00:00:00.000,11 BRONX,2045520002,BRONX,1022725,255463,UNKNOWN,Unspecified,BRONX,40.867777630752805,-73.86089161266001,"{'latitude': '40.867777630752805', 'longitude': '-73.86089161266001', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58841945,2023-09-17T08:08:49.000,2023-09-17T11:56:11.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11204,1702 BAY RIDGE PARKWAY,BAY RIDGE PARKWAY,ADDRESS,BROOKLYN,Closed,The Police Department issued a summons in response to the complaint.,2023-09-17T11:56:17.000,11 BROOKLYN,3062260010,BROOKLYN,984731,163249,MOBILE,Unspecified,BROOKLYN,40.61475719829092,-73.99826751176839,"{'latitude': '40.61475719829092', 'longitude': '-73.99826751176839', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17 AVENUE,18 AVENUE,,17 AVENUE,18 AVENUE,BAY RIDGE PARKWAY,,,,
58841021,2023-09-17T08:08:41.000,2023-09-17T10:01:54.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,11220,6823 4 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,Closed,N/A,2023-09-17T10:01:59.000,10 BROOKLYN,3058640001,BROOKLYN,977780,170661,ONLINE,Unspecified,BROOKLYN,40.63509923484876,-74.02331105166084,"{'latitude': '40.63509923484876', 'longitude': '-74.02331105166084', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",68 STREET,BAY RIDGE AVENUE,,68 STREET,BAY RIDGE AVENUE,4 AVENUE,,,,
58838649,2023-09-17T08:08:35.000,,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Source/Protection,Mobile Food Vendor,10011,363 WEST   23 STREET,WEST   23 STREET,ADDRESS,NEW YORK,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-09-18T10:06:26.000,04 MANHATTAN,1007470001,MANHATTAN,984204,211069,PHONE,Unspecified,MANHATTAN,40.74601223108109,-74.00016601136937,"{'latitude': '40.74601223108109', 'longitude': '-74.00016601136937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8 AVENUE,9 AVENUE,,8 AVENUE,9 AVENUE,WEST   23 STREET,,,,
58841946,2023-09-17T08:08:34.000,2023-09-18T04:46:26.000,DOT,Department of Transportation,Street Condition,Plate Condition - Noisy,Street,10011,7 AVENUE,7 AVENUE,INTERSECTION,,Closed,The Department of Transportation has determined that this issue is not within its jurisdiction.,2023-09-18T04:46:34.000,02 MANHATTAN,,MANHATTAN,984338,208351,ONLINE,Unspecified,MANHATTAN,40.738551998380736,-73.9996824485918,"{'latitude': '40.738551998380736', 'longitude': '-73.9996824485918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7 AVENUE,WEST   14 STREET,,7 AVENUE,WEST   14 STREET,,,,,
58844098,2023-09-17T08:08:31.000,2023-09-20T05:29:03.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,11412,186-48 HILBURN AVENUE,HILBURN AVENUE,ADDRESS,SAINT ALBANS,Closed,The Department of Sanitation collected the requested items.,2023-09-18T10:17:32.000,12 QUEENS,4104240027,QUEENS,1048337,194673,ONLINE,Unspecified,QUEENS,40.70077711752332,-73.76887034757915,"{'latitude': '40.70077711752332', 'longitude': '-73.76887034757915', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MAYVILLE STREET,HANNIBAL STREET,,MAYVILLE STREET,HANNIBAL STREET,HILBURN AVENUE,,,,
58838998,2023-09-17T08:08:25.000,2023-09-17T08:33:35.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10453,1669 DR MARTIN LUTHER KING JR BLVD,DR MARTIN LUTHER KING JR BLVD,ADDRESS,BRONX,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-17T08:33:39.000,05 BRONX,2028780090,BRONX,1006904,248444,MOBILE,Unspecified,BRONX,40.8485673696439,-73.91811694792587,"{'latitude': '40.8485673696439', 'longitude': '-73.91811694792587', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRANDT PLACE,WEST  176 STREET,,BRANDT PLACE,WEST  176 STREET,UNIVERSITY AVENUE,,,,
58838759,2023-09-17T08:08:23.000,2023-09-17T11:56:37.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11204,1782 BAY RIDGE PARKWAY,BAY RIDGE PARKWAY,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T11:56:42.000,11 BROOKLYN,3062260038,BROOKLYN,985193,162883,MOBILE,Unspecified,BROOKLYN,40.61375256676063,-73.99660350973888,"{'latitude': '40.61375256676063', 'longitude': '-73.99660350973888', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17 AVENUE,18 AVENUE,,17 AVENUE,18 AVENUE,BAY RIDGE PARKWAY,,,,
58837920,2023-09-17T08:08:00.000,2023-09-24T11:30:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,11217,398 ATLANTIC AVENUE,ATLANTIC AVENUE,ADDRESS,BROOKLYN,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-24T11:30:00.000,02 BROOKLYN,3001830033,BROOKLYN,988334,189603,ONLINE,Unspecified,BROOKLYN,40.68709226513101,-73.98527410103854,"{'latitude': '40.68709226513101', 'longitude': '-73.98527410103854', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HOYT ST,BOND ST,N/A,,,,,,,
58839844,2023-09-17T08:08:00.000,2023-09-17T11:55:37.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11204,1906 BAY RIDGE PARKWAY,BAY RIDGE PARKWAY,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T11:55:42.000,11 BROOKLYN,3062280009,BROOKLYN,986027,162224,MOBILE,Unspecified,BROOKLYN,40.61194361960655,-73.9935997882843,"{'latitude': '40.61194361960655', 'longitude': '-73.9935997882843', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19 AVENUE,20 AVENUE,,19 AVENUE,20 AVENUE,BAY RIDGE PARKWAY,,,,
58840250,2023-09-17T08:07:53.000,2023-09-17T10:26:16.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,77-02 79 STREET,79 STREET,ADDRESS,RIDGEWOOD,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-17T10:26:20.000,05 QUEENS,4038150012,QUEENS,1019688,196619,MOBILE,Unspecified,QUEENS,40.70627953086608,-73.87218246893929,"{'latitude': '40.70627953086608', 'longitude': '-73.87218246893929', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",77 AVENUE,78 AVENUE,,77 AVENUE,78 AVENUE,79 STREET,,,,
58843607,2023-09-17T08:07:35.000,2023-09-17T09:23:39.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11379,66-16 79 STREET,79 STREET,ADDRESS,MIDDLE VILLAGE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T09:23:44.000,05 QUEENS,4030670023,QUEENS,1019075,199904,ONLINE,Unspecified,QUEENS,40.71529850017904,-73.87437643829556,"{'latitude': '40.71529850017904', 'longitude': '-73.87437643829556', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",JUNIPER VALLEY ROAD,66 ROAD,,JUNIPER VALLEY ROAD,66 ROAD,79 STREET,,,,
58836944,2023-09-17T08:07:18.000,2023-09-17T08:09:58.000,NYPD,New York City Police Department,Illegal Parking,Unauthorized Bus Layover,Street/Sidewalk,10453,1685 DR MARTIN LUTHER KING JR BLVD,DR MARTIN LUTHER KING JR BLVD,ADDRESS,BRONX,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-17T08:10:03.000,05 BRONX,2028780100,BRONX,1006994,248535,MOBILE,Unspecified,BRONX,40.848816906297884,-73.91779133375834,"{'latitude': '40.848816906297884', 'longitude': '-73.91779133375834', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BRANDT PLACE,WEST  176 STREET,,BRANDT PLACE,WEST  176 STREET,UNIVERSITY AVENUE,,,,
58845035,2023-09-17T08:07:16.000,2023-09-17T11:55:54.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11204,1863 BAY RIDGE PARKWAY,BAY RIDGE PARKWAY,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T11:55:58.000,11 BROOKLYN,3062160050,BROOKLYN,985699,162490,MOBILE,Unspecified,BROOKLYN,40.61267379451854,-73.99478108710669,"{'latitude': '40.61267379451854', 'longitude': '-73.99478108710669', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",18 AVENUE,19 AVENUE,,18 AVENUE,19 AVENUE,BAY RIDGE PARKWAY,,,,
58840370,2023-09-17T08:07:09.000,2023-09-17T08:20:48.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11368,98-32 57 AVENUE,57 AVENUE,ADDRESS,CORONA,Closed,This complaint does not fall under the Police Department's jurisdiction.,2023-09-17T08:20:53.000,04 QUEENS,4019180072,QUEENS,1022730,208193,ONLINE,Unspecified,QUEENS,40.738034617226845,-73.86114444976704,"{'latitude': '40.738034617226845', 'longitude': '-73.86114444976704', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",98 PLACE,99 STREET,,98 PLACE,99 STREET,57 AVENUE,,,,
58837204,2023-09-17T08:06:58.000,2023-09-17T08:47:13.000,NYPD,New York City Police Department,Noise - House of Worship,Loud Talking,House of Worship,11205,171 CLERMONT AVENUE,CLERMONT AVENUE,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T08:47:18.000,02 BROOKLYN,3020750012,BROOKLYN,992370,191577,ONLINE,Unspecified,BROOKLYN,40.69250765806443,-73.97071889982843,"{'latitude': '40.69250765806443', 'longitude': '-73.97071889982843', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",MYRTLE AVENUE,WILLOUGHBY AVENUE,,MYRTLE AVENUE,WILLOUGHBY AVENUE,CLERMONT AVENUE,,,,
58838848,2023-09-17T08:06:52.000,2023-09-23T13:26:33.000,DSNY,Department of Sanitation,Missed Collection,Recycling - Paper,Street,11206,99 VARET STREET,VARET STREET,ADDRESS,BROOKLYN,Closed,The Department of Sanitation collected the requested items.,2023-09-18T11:51:50.000,01 BROOKLYN,3031060030,BROOKLYN,1000487,195464,ONLINE,Unspecified,BROOKLYN,40.70316539578502,-73.94143925385255,"{'latitude': '40.70316539578502', 'longitude': '-73.94143925385255', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GRAHAM AVENUE,HUMBOLDT STREET,,GRAHAM AVENUE,HUMBOLDT STREET,VARET STREET,,,,
58842976,2023-09-17T08:06:48.000,2023-09-17T11:55:22.000,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11204,1973 BAY RIDGE PARKWAY,BAY RIDGE PARKWAY,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-17T11:55:27.000,11 BROOKLYN,3062170045,BROOKLYN,986441,161903,MOBILE,Unspecified,BROOKLYN,40.61106244796524,-73.99210879078274,"{'latitude': '40.61106244796524', 'longitude': '-73.99210879078274', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19 AVENUE,20 AVENUE,,19 AVENUE,20 AVENUE,BAY RIDGE PARKWAY,,,,
58842036,2023-09-17T08:06:39.000,2023-09-18T11:07:51.000,DSNY,Department of Sanitation,Missed Collection,Trash,Street,10314,37 MERRILL AVENUE,MERRILL AVENUE,ADDRESS,STATEN ISLAND,Closed,The Department of Sanitation collected the requested items.,2023-09-18T04:36:36.000,02 STATEN ISLAND,5015800039,STATEN ISLAND,939462,161537,ONLINE,Unspecified,STATEN ISLAND,40.609944934309645,-74.16130796958893,"{'latitude': '40.609944934309645', 'longitude': '-74.16130796958893', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RICHMOND AVENUE,DANNY COURT,,RICHMOND AVENUE,DANNY COURT,MERRILL AVENUE,,,,
58837030,2023-09-17T08:06:34.000,2023-09-17T08:53:12.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11223,410 AVENUE W,AVENUE W,ADDRESS,BROOKLYN,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-17T08:53:14.000,15 BROOKLYN,3071790001,BROOKLYN,993218,155316,PHONE,Unspecified,BROOKLYN,40.592978205236484,-73.9677091738177,"{'latitude': '40.592978205236484', 'longitude': '-73.9677091738177', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST    3 STREET,EAST    4 STREET,,EAST    3 STREET,EAST    4 STREET,AVENUE W,,,,
58842084,2023-09-17T08:06:30.000,2023-09-21T18:30:00.000,DSNY,Department of Sanitation,Illegal Dumping,Chronic Dumping,Sidewalk,10011,207 10 AVENUE,10 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-21T18:30:05.000,04 MANHATTAN,1006940033,MANHATTAN,983002,211517,MOBILE,Unspecified,MANHATTAN,40.747241790690026,-74.00450404375833,"{'latitude': '40.747241790690026', 'longitude': '-74.00450404375833', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST   22 STREET,WEST   23 STREET,,WEST   22 STREET,WEST   23 STREET,10 AVENUE,,,,
