unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,due_date,bridge_highway_name,bridge_highway_segment,taxi_pick_up_location,vehicle_type,taxi_company_borough,bridge_highway_direction,road_ramp
58825710,2023-09-15T17:12:55.000,2023-09-15T17:51:10.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11236,757 EAST   88 STREET,EAST   88 STREET,GLENWOOD ROAD,FLATLANDS AVENUE,GLENWOOD ROAD,FLATLANDS AVENUE,ADDRESS,BROOKLYN,EAST   88 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T17:51:13.000,18 BROOKLYN,3080090014,BROOKLYN,1009635,172552,ONLINE,Unspecified,BROOKLYN,40.64025561178145,-73.90853216780532,"{'latitude': '40.64025561178145', 'longitude': '-73.90853216780532', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58821059,2023-09-15T17:12:51.000,2023-09-15T17:19:07.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11432,82-68 164 STREET,164 STREET,82 ROAD,GRAND CENTRAL PARKWAY,82 ROAD,GRAND CENTRAL PARKWAY,ADDRESS,JAMAICA,164 STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T17:19:12.000,08 QUEENS,4068580001,QUEENS,1038740,200651,ONLINE,Unspecified,QUEENS,40.71724956934783,-73.80343340538089,"{'latitude': '40.71724956934783', 'longitude': '-73.80343340538089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58861894,2023-09-15T17:12:50.000,2023-09-15T17:14:22.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11226,1054 FLATBUSH AVENUE,FLATBUSH AVENUE,DURYEA PLACE,BEVERLEY ROAD,DURYEA PLACE,BEVERLEY ROAD,ADDRESS,BROOKLYN,FLATBUSH AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T17:14:27.000,14 BROOKLYN,3051250071,BROOKLYN,995893,174367,MOBILE,Unspecified,BROOKLYN,40.645266121158336,-73.9580445227562,"{'latitude': '40.645266121158336', 'longitude': '-73.9580445227562', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58824816,2023-09-15T17:12:44.000,2023-09-15T17:37:05.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,10002,169 SUFFOLK STREET,SUFFOLK STREET,STANTON STREET,EAST HOUSTON STREET,STANTON STREET,EAST HOUSTON STREET,ADDRESS,NEW YORK,SUFFOLK STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T17:37:10.000,03 MANHATTAN,1003550061,MANHATTAN,988416,202026,MOBILE,Unspecified,MANHATTAN,40.72119043980494,-73.98497074376712,"{'latitude': '40.72119043980494', 'longitude': '-73.98497074376712', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58824299,2023-09-15T17:12:14.000,2023-09-15T18:15:23.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10458,2846 BRIGGS AVENUE,BRIGGS AVENUE,EAST  198 STREET,EAST  199 STREET,EAST  198 STREET,EAST  199 STREET,ADDRESS,BRONX,BRIGGS AVENUE,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-15T18:15:29.000,07 BRONX,2032960010,BRONX,1014999,255981,ONLINE,Unspecified,BRONX,40.86922967591349,-73.88882296149524,"{'latitude': '40.86922967591349', 'longitude': '-73.88882296149524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58856840,2023-09-15T17:12:09.000,2023-09-15T17:16:39.000,NYPD,New York City Police Department,Encampment,N/A,Residential Building/House,10030,2400 7 AVENUE,7 AVENUE,WEST  140 STREET,WEST  141 STREET,WEST  140 STREET,WEST  141 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,The Police Department visited the location and no Encampment was found.,2023-09-15T17:16:45.000,10 MANHATTAN,1020260029,MANHATTAN,1000482,237497,ONLINE,Unspecified,MANHATTAN,40.81853515725049,-73.94135579635707,"{'latitude': '40.81853515725049', 'longitude': '-73.94135579635707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58823151,2023-09-15T17:12:07.000,2023-09-15T18:28:28.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11229,1933 EAST   21 STREET,EAST   21 STREET,AVENUE R,AVENUE S,AVENUE R,AVENUE S,ADDRESS,BROOKLYN,EAST   21 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T18:28:31.000,15 BROOKLYN,3068270071,BROOKLYN,997717,159881,MOBILE,Unspecified,BROOKLYN,40.60550251026896,-73.95150065280855,"{'latitude': '40.60550251026896', 'longitude': '-73.95150065280855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58821506,2023-09-15T17:12:00.000,2023-09-15T19:30:00.000,DOT,Department of Transportation,Traffic Signal Condition,Controller Cabinet,,11204,,,,,17 AVENUE,61 STREET,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-15T19:30:00.000,11 BROOKLYN,,BROOKLYN,987000,166175,UNKNOWN,Unspecified,BROOKLYN,40.62278804645872,-73.99009372994992,"{'latitude': '40.62278804645872', 'longitude': '-73.99009372994992', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,
58825338,2023-09-15T17:11:55.000,2023-09-15T17:17:54.000,NYPD,New York City Police Department,Drug Activity,Use Outside,Street/Sidewalk,11366,158-33 78 AVENUE,78 AVENUE,PARSONS BOULEVARD,160 STREET,PARSONS BOULEVARD,160 STREET,ADDRESS,FRESH MEADOWS,78 AVENUE,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-15T17:17:57.000,08 QUEENS,4068280015,QUEENS,1037047,202519,ONLINE,Unspecified,QUEENS,40.72238703289527,-73.8095260418184,"{'latitude': '40.72238703289527', 'longitude': '-73.8095260418184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58862721,2023-09-15T17:11:22.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Store/Commercial,10018,1370 BROADWAY,BROADWAY,WEST 36 STREET,WEST 37 STREET,WEST   36 STREET,WEST   37 STREET,ADDRESS,NEW YORK,BROADWAY,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",2023-09-16T01:04:22.000,05 MANHATTAN,1008120049,MANHATTAN,987712,213268,MOBILE,Unspecified,MANHATTAN,40.75204725445699,-73.98750470802945,"{'latitude': '40.75204725445699', 'longitude': '-73.98750470802945', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58819600,2023-09-15T17:11:00.000,2023-09-18T09:15:00.000,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10455,665 WESTCHESTER AVENUE,WESTCHESTER AVENUE,TRINITY AVE,JACKSON AVE,,,ADDRESS,BRONX,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-18T09:15:00.000,01 BRONX,2026280001,BRONX,1009677,236675,ONLINE,Unspecified,BRONX,40.81625731768569,-73.9081385356089,"{'latitude': '40.81625731768569', 'longitude': '-73.9081385356089', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,,
58822518,2023-09-15T17:10:59.000,2023-09-15T18:04:38.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10032,142 AUDUBON AVENUE,AUDUBON AVENUE,WEST  172 STREET,WEST  173 STREET,WEST  172 STREET,WEST  173 STREET,ADDRESS,NEW YORK,AUDUBON AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T18:04:41.000,12 MANHATTAN,1021290017,MANHATTAN,1001839,246466,ONLINE,Unspecified,MANHATTAN,40.84314988477399,-73.93642960935001,"{'latitude': '40.84314988477399', 'longitude': '-73.93642960935001', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58824049,2023-09-15T17:10:53.000,2023-09-15T18:19:09.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11222,50 GREENPOINT AVENUE,GREENPOINT AVENUE,WEST STREET,FRANKLIN STREET,WEST STREET,FRANKLIN STREET,ADDRESS,BROOKLYN,GREENPOINT AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T18:19:11.000,01 BROOKLYN,3025627501,BROOKLYN,995649,205147,PHONE,Unspecified,BROOKLYN,40.72975046261954,-73.9588716984749,"{'latitude': '40.72975046261954', 'longitude': '-73.9588716984749', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58825610,2023-09-15T17:10:47.000,2023-09-15T18:32:01.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10453,153 WEST  175 STREET,WEST  175 STREET,MONTGOMERY AVENUE,POPHAM AVENUE,MONTGOMERY AVENUE,POPHAM AVENUE,ADDRESS,BRONX,WEST  175 STREET,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-15T18:32:06.000,05 BRONX,2028770336,BRONX,1006168,248385,MOBILE,Unspecified,BRONX,40.848407289775864,-73.92077741681166,"{'latitude': '40.848407289775864', 'longitude': '-73.92077741681166', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58864333,2023-09-15T17:10:46.000,2023-09-20T14:54:58.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11209,447 74 STREET,74 STREET,4 AVENUE,5 AVENUE,4 AVENUE,5 AVENUE,ADDRESS,BROOKLYN,74 STREET,Closed,This service request was closed because the Department of Health and Mental Hygiene received an earlier complaint about the same location.  You can find inspection results for this address by going to the online Rat Portal at www.nyc.gov/rats.,2023-09-15T17:10:46.000,10 BROOKLYN,3059190059,BROOKLYN,977700,169149,MOBILE,Unspecified,BROOKLYN,40.63094905668205,-74.02359781967309,"{'latitude': '40.63094905668205', 'longitude': '-74.02359781967309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58850168,2023-09-15T17:10:45.000,2023-09-18T21:51:38.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Trash or Recycling Not Secure,Sidewalk,11221,147 STANHOPE STREET,STANHOPE STREET,MYRTLE AVENUE,WILSON AVENUE,MYRTLE AVENUE,WILSON AVENUE,ADDRESS,BROOKLYN,STANHOPE STREET,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-18T21:51:42.000,04 BROOKLYN,3032560030,BROOKLYN,1005740,193811,ONLINE,Unspecified,BROOKLYN,40.69861710121383,-73.92249894377912,"{'latitude': '40.69861710121383', 'longitude': '-73.92249894377912', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58832912,2023-09-15T17:10:38.000,2023-09-16T09:58:20.000,DSNY,Department of Sanitation,Missed Collection,Bulky Trash,Street,11691,830 HURLEY COURT,HURLEY COURT,CAFFREY AVENUE,GATEWAY BOULEVARD,CAFFREY AVENUE,GATEWAY BOULEVARD,ADDRESS,FAR ROCKAWAY,HURLEY COURT,Closed,The Department of Sanitation investigated and found this complaint to be out of jurisdiction. The Department of Sanitation reviewed this and found it not to be meeting the criteria for a complaint or service request.,2023-09-16T09:58:20.000,14 QUEENS,4155720042,QUEENS,1054372,158851,ONLINE,Unspecified,QUEENS,40.60240817886113,-73.74747767551776,"{'latitude': '40.60240817886113', 'longitude': '-73.74747767551776', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58824523,2023-09-15T17:10:19.000,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11215,10 AVENUE,10 AVENUE,10 AVENUE,16 STREET,10 AVENUE,16 STREET,INTERSECTION,,,In Progress,"NYC Parks created a work order for the tree condition and expects to address the issue within 120 days from the date of the tree assessment, barring any weather-related requests.   NYC Parks work priority categories range from Category A through D, with A being the most critical and time-sensitive. We will complete all work in Category A first and address work in lower priority categories in accordance with available resources. For more information about the Tree Risk Management Program, visit the NYC Urban Forest page on the NYC Parks website at nyc.gov/parks/trees.",2023-09-15T21:22:41.000,07 BROOKLYN,,BROOKLYN,990350,179462,PHONE,Unspecified,BROOKLYN,40.65925633836895,-73.97801407905706,"{'latitude': '40.65925633836895', 'longitude': '-73.97801407905706', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58827287,2023-09-15T17:10:17.000,2023-09-19T13:55:43.000,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,Street,11422,139-08 LAURELTON PARKWAY,LAURELTON PARKWAY,139 AVENUE,MENTONE AVENUE,139 AVENUE,MENTONE AVENUE,ADDRESS,ROSEDALE,LAURELTON PARKWAY,Closed,NYC Parks performed the work necessary to correct the condition.,2023-09-19T13:55:49.000,13 QUEENS,4131890043,QUEENS,1056344,182600,ONLINE,Unspecified,QUEENS,40.66757802314377,-73.74012245119049,"{'latitude': '40.66757802314377', 'longitude': '-73.74012245119049', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58824194,2023-09-15T17:10:12.000,2023-09-15T19:42:21.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11207,188 SCHAEFER STREET,SCHAEFER STREET,CENTRAL AVENUE,WILSON AVENUE,CENTRAL AVENUE,WILSON AVENUE,ADDRESS,BROOKLYN,SCHAEFER STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T19:42:25.000,04 BROOKLYN,3034290025,BROOKLYN,1009812,190552,ONLINE,Unspecified,BROOKLYN,40.689661080673005,-73.90782615110615,"{'latitude': '40.689661080673005', 'longitude': '-73.90782615110615', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58821549,2023-09-15T17:10:12.000,2023-09-15T17:37:23.000,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10028,1594 YORK AVENUE,YORK AVENUE,EAST   84 STREET,EAST   85 STREET,EAST   84 STREET,EAST   85 STREET,ADDRESS,NEW YORK,YORK AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T17:37:28.000,08 MANHATTAN,1015810001,MANHATTAN,998651,221526,MOBILE,Unspecified,MANHATTAN,40.77470228330141,-73.94800522022558,"{'latitude': '40.77470228330141', 'longitude': '-73.94800522022558', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58826011,2023-09-15T17:10:05.000,2023-09-17T18:06:38.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10459,900 FOX STREET,FOX STREET,,,,,ADDRESS,BRONX,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-17T00:00:00.000,02 BRONX,2027220048,BRONX,1013578,237936,ONLINE,Unspecified,BRONX,40.819706316090034,-73.89403968924076,"{'latitude': '40.819706316090034', 'longitude': '-73.89403968924076', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58820077,2023-09-15T17:10:01.000,2023-09-24T17:29:49.000,HPD,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,11212,9507 KINGS HIGHWAY,KINGS HIGHWAY,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-24T00:00:00.000,17 BROOKLYN,3046500070,BROOKLYN,1006336,179391,ONLINE,Unspecified,BROOKLYN,40.65903601566667,-73.92039680197846,"{'latitude': '40.65903601566667', 'longitude': '-73.92039680197846', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58825167,2023-09-15T17:09:58.000,2023-09-29T02:02:41.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11209,8517 3 AVENUE,3 AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,10 BROOKLYN,3060340001,BROOKLYN,975703,166653,ONLINE,Unspecified,BROOKLYN,40.624096360394695,-74.03078929140095,"{'latitude': '40.624096360394695', 'longitude': '-74.03078929140095', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
58826062,2023-09-15T17:09:58.000,2023-09-29T02:02:41.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11209,8517 3 AVENUE,3 AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-29T00:00:00.000,10 BROOKLYN,3060340001,BROOKLYN,975703,166653,ONLINE,Unspecified,BROOKLYN,40.624096360394695,-74.03078929140095,"{'latitude': '40.624096360394695', 'longitude': '-74.03078929140095', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,
