unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,facility_type,taxi_pick_up_location,due_date,vehicle_type,taxi_company_borough
58875647,2023-09-20T15:39:25.000,,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Milk/Dairy Products,Mobile Food Vendor,11235,2001 ORIENTAL BOULEVARD,ORIENTAL BOULEVARD,ADDRESS,BROOKLYN,In Progress,The Department of Health and Mental Hygiene has received and processed your complaint. All restaurants and mobile food vendors are inspected annually. Restaurant inspection results can be found on WWW.NYC.GOV or a copy of the inspection can be requested from 311.,2023-09-22T09:57:32.000,15 BROOKLYN,3087600060,BROOKLYN,1002334,150045,PHONE,Unspecified,BROOKLYN,40.57849645091775,-73.93489956212686,"{'latitude': '40.57849645091775', 'longitude': '-73.93489956212686', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",BEND,DECATUR AVENUE,BEND,DECATUR AVENUE,ORIENTAL BOULEVARD,,,,,
58878876,2023-09-20T15:39:00.000,2023-09-21T09:35:00.000,DOT,Department of Transportation,Traffic Signal Condition,Pedestrian Signal,,11206,,,INTERSECTION,BROOKLYN,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-21T09:35:00.000,01 BROOKLYN,,BROOKLYN,1001274,195793,UNKNOWN,Unspecified,BROOKLYN,40.70406694417109,-73.93860001033288,"{'latitude': '40.70406694417109', 'longitude': '-73.93860001033288', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,BUSHWICK AVENUE,MOORE STREET,,N/A,,,,
58872891,2023-09-20T15:38:38.000,2023-09-20T15:38:38.000,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10128,1702 1 AVENUE,1 AVENUE,ADDRESS,NEW YORK,Closed,The Department of Health and Mental Hygiene inspected the property you reported and did not find any violations at the time of the inspection. The property passed inspection.,2023-09-20T15:38:38.000,08 MANHATTAN,1015680001,MANHATTAN,998593,222893,ONLINE,Unspecified,MANHATTAN,40.778454432314355,-73.94821171111035,"{'latitude': '40.778454432314355', 'longitude': '-73.94821171111035', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST 88 STREET,EAST 89 STREET,EAST   88 STREET,EAST   89 STREET,1 AVENUE,,,,,
58877368,2023-09-20T15:38:37.000,2023-09-20T15:52:04.000,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11207,HINSDALE STREET,HINSDALE STREET,BLOCKFACE,,Closed,The Police Department reviewed your complaint and provided additional information below.,2023-09-20T15:52:08.000,Unspecified BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,LIVONIA AVENUE,RIVERDALE AVENUE,LIVONIA AVENUE,RIVERDALE AVENUE,,,,,,
58879663,2023-09-20T15:38:30.000,,DHS,Department of Homeless Services,Homeless Person Assistance,,Street/Sidewalk,10023,1900 BROADWAY,BROADWAY,ADDRESS,NEW YORK,Closed,The mobile outreach response team went to the location provided but could not find the individual that you reported.,2023-09-20T19:10:18.000,07 MANHATTAN,1011167501,MANHATTAN,989194,220360,MOBILE,Unspecified,MANHATTAN,40.771512266762976,-73.98215055452675,"{'latitude': '40.771512266762976', 'longitude': '-73.98215055452675', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",WEST 63 STREET,WEST 64 STREET,WEST   63 STREET,WEST   64 STREET,BROADWAY,,,,,
58874783,2023-09-20T15:38:20.000,2023-09-20T15:59:15.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10035,1667 PARK AVENUE,PARK AVENUE,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T15:59:19.000,11 MANHATTAN,1016450003,MANHATTAN,1000172,230849,PHONE,Unspecified,MANHATTAN,40.80028880821591,-73.94249155591358,"{'latitude': '40.80028880821591', 'longitude': '-73.94249155591358', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  117 STREET,EAST  118 STREET,EAST  117 STREET,EAST  118 STREET,PARK AVENUE,,,,,
58879559,2023-09-20T15:38:10.000,2023-10-02T11:33:28.000,DPR,Department of Parks and Recreation,Maintenance or Facility,Grass/Weeds,Park,11224,ASSER LEVY PARK,ASSER LEVY PARK,UNRECOGNIZED,BROOKLYN,Closed,NYC Parks has completed the requested work order and corrected the problem.,2023-10-02T11:33:31.000,13 BROOKLYN,3086570001,BROOKLYN,992078,148780,PHONE,Unspecified,BROOKLYN,40.57503926333756,-73.97182151002542,"{'latitude': '40.57503926333756', 'longitude': '-73.97182151002542', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",OCEAN PARKWAY,WEST    5 STREET,OCEAN PARKWAY,WEST    5 STREET,ASSER LEVY PARK,,,,,
58878294,2023-09-20T15:38:09.000,2023-10-03T08:05:27.000,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,11201,304 STATE STREET,STATE STREET,ADDRESS,BROOKLYN,Closed,This request required re-assignment to a new DOT unit.,2023-10-03T08:05:39.000,02 BROOKLYN,3001760012,BROOKLYN,987650,190245,ONLINE,Unspecified,BROOKLYN,40.68885469695894,-73.98774011268965,"{'latitude': '40.68885469695894', 'longitude': '-73.98774011268965', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SMITH STREET,HOYT STREET,SMITH STREET,HOYT STREET,STATE STREET,,,,,
58873014,2023-09-20T15:38:05.000,2023-09-21T16:18:59.000,DOT,Department of Transportation,Street Condition,Defective Hardware,Street,11210,965 EAST   24 STREET,EAST   24 STREET,ADDRESS,BROOKLYN,Closed,This request required re-assignment to a new DOT unit.,2023-09-21T16:19:08.000,14 BROOKLYN,3075880017,BROOKLYN,997366,167746,PHONE,Unspecified,BROOKLYN,40.62709082949678,-73.95274944706019,"{'latitude': '40.62709082949678', 'longitude': '-73.95274944706019', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AVENUE I,AVENUE J,AVENUE I,AVENUE J,EAST   24 STREET,,,,,
58878609,2023-09-20T15:38:00.000,2023-09-22T13:46:00.000,DEP,Department of Environmental Protection,Sewer,Catch Basin Search (SC2),,10019,,,INTERSECTION,MANHATTAN,Closed,The Department of Environmental Protection resolved this complaint by speaking to the complainant on the phone.,2023-09-22T13:46:00.000,05 MANHATTAN,,MANHATTAN,988757,216332,PHONE,Unspecified,MANHATTAN,40.76045668270954,-73.98373096728758,"{'latitude': '40.76045668270954', 'longitude': '-73.98373096728758', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,WEST 49 STREET,7 AVENUE,,,,,,
58881129,2023-09-20T15:37:49.000,2023-09-20T16:53:39.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,10463,2663 KINGSBRIDGE TERRACE,KINGSBRIDGE TERRACE,ADDRESS,BRONX,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T16:53:44.000,07 BRONX,2032400064,BRONX,1010425,256336,MOBILE,Unspecified,BRONX,40.870218790457216,-73.90535945707414,"{'latitude': '40.870218790457216', 'longitude': '-73.90535945707414', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HEATH AVENUE,WEST KINGSBRIDGE ROAD,HEATH AVENUE,WEST KINGSBRIDGE ROAD,KINGSBRIDGE TERRACE,,,,,
58873581,2023-09-20T15:37:43.000,2023-09-20T18:45:34.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10463,5959 BROADWAY,BROADWAY,ADDRESS,BRONX,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-20T18:45:39.000,08 BRONX,2057760621,BRONX,1012305,263164,ONLINE,Unspecified,BRONX,40.88895374353878,-73.8985333792576,"{'latitude': '40.88895374353878', 'longitude': '-73.8985333792576', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",VAN CORTLANDT PARK SOUTH,WEST  242 STREET,VAN CORTLANDT PARK SOUTH,WEST  242 STREET,BROADWAY,,,,,
58873588,2023-09-20T15:37:42.000,2023-09-20T16:39:52.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10458,2470 ARTHUR AVENUE,ARTHUR AVENUE,ADDRESS,BRONX,Closed,The Police Department issued a summons in response to the complaint.,2023-09-20T16:39:56.000,06 BRONX,2030770040,BRONX,1015719,251561,PHONE,Unspecified,BRONX,40.85709558451909,-73.8862404641324,"{'latitude': '40.85709558451909', 'longitude': '-73.8862404641324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",EAST  188 STREET,EAST  189 STREET,EAST  188 STREET,EAST  189 STREET,ARTHUR AVENUE,,,,,
58870926,2023-09-20T15:37:41.000,2023-10-04T00:00:00.000,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,,10467,3144 DECATUR AVENUE,DECATUR AVENUE,ADDRESS,BRONX,Closed,The Department of Buildings investigated this complaint and determined that no further action was necessary.,2023-10-04T00:00:00.000,07 BRONX,2033530017,BRONX,1018316,257169,UNKNOWN,Unspecified,BRONX,40.872478191078706,-73.87682388841934,"{'latitude': '40.872478191078706', 'longitude': '-73.87682388841934', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58875198,2023-09-20T15:37:39.000,2023-09-26T11:00:43.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10033,608 WEST  177 STREET,WEST  177 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-26T00:00:00.000,12 MANHATTAN,1021440021,MANHATTAN,1001956,247824,PHONE,Unspecified,MANHATTAN,40.84687696137512,-73.93600316082807,"{'latitude': '40.84687696137512', 'longitude': '-73.93600316082807', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58872300,2023-09-20T15:37:00.000,2023-09-22T11:27:00.000,DOT,Department of Transportation,Street Light Condition,Lamppost Base Door/Cover Missing,,10452,,,INTERSECTION,BRONX,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-22T11:27:00.000,04 BRONX,,BRONX,1003990,245248,UNKNOWN,Unspecified,BRONX,40.8398022848503,-73.92865902582713,"{'latitude': '40.8398022848503', 'longitude': '-73.92865902582713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,SEDGWICK AVENUE,WEST 167 STREET,,,,,,
58877841,2023-09-20T15:36:56.000,2023-10-06T17:29:29.000,HPD,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,10023,342 WEST   71 STREET,WEST   71 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,07 MANHATTAN,1011820049,MANHATTAN,988182,223256,ONLINE,Unspecified,MANHATTAN,40.77946153415141,-73.98580250848741,"{'latitude': '40.77946153415141', 'longitude': '-73.98580250848741', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58872678,2023-09-20T15:36:56.000,2023-10-06T17:29:29.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10023,342 WEST   71 STREET,WEST   71 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,07 MANHATTAN,1011820049,MANHATTAN,988182,223256,ONLINE,Unspecified,MANHATTAN,40.77946153415141,-73.98580250848741,"{'latitude': '40.77946153415141', 'longitude': '-73.98580250848741', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58871379,2023-09-20T15:36:56.000,2023-10-06T17:29:30.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10023,342 WEST   71 STREET,WEST   71 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,07 MANHATTAN,1011820049,MANHATTAN,988182,223256,ONLINE,Unspecified,MANHATTAN,40.77946153415141,-73.98580250848741,"{'latitude': '40.77946153415141', 'longitude': '-73.98580250848741', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58879148,2023-09-20T15:36:56.000,2023-09-20T17:25:06.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10455,676 UNION AVENUE,UNION AVENUE,ADDRESS,BRONX,Closed,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2023-09-20T00:00:00.000,01 BRONX,2026750009,BRONX,1010764,236534,PHONE,Unspecified,BRONX,40.81586711679546,-73.90421203345569,"{'latitude': '40.81586711679546', 'longitude': '-73.90421203345569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58875269,2023-09-20T15:36:56.000,2023-10-06T17:29:30.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10023,342 WEST   71 STREET,WEST   71 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,07 MANHATTAN,1011820049,MANHATTAN,988182,223256,ONLINE,Unspecified,MANHATTAN,40.77946153415141,-73.98580250848741,"{'latitude': '40.77946153415141', 'longitude': '-73.98580250848741', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58871279,2023-09-20T15:36:56.000,2023-10-06T17:29:30.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10023,342 WEST   71 STREET,WEST   71 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,07 MANHATTAN,1011820049,MANHATTAN,988182,223256,ONLINE,Unspecified,MANHATTAN,40.77946153415141,-73.98580250848741,"{'latitude': '40.77946153415141', 'longitude': '-73.98580250848741', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58876605,2023-09-20T15:36:55.000,2023-09-22T17:33:55.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10455,729 EAST  147 STREET,EAST  147 STREET,ADDRESS,BRONX,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-22T00:00:00.000,01 BRONX,2025790044,BRONX,1009432,235002,PHONE,Unspecified,BRONX,40.81166610408653,-73.909029936251,"{'latitude': '40.81166610408653', 'longitude': '-73.909029936251', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58873959,2023-09-20T15:36:52.000,,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11238,697 FRANKLIN AVENUE,FRANKLIN AVENUE,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-20T00:00:00.000,08 BROOKLYN,3012310008,BROOKLYN,996315,185088,ONLINE,Unspecified,BROOKLYN,40.67469233611844,-73.95650466588656,"{'latitude': '40.67469233611844', 'longitude': '-73.95650466588656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58880464,2023-09-20T15:36:52.000,2023-10-14T16:33:38.000,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11214,2250 83 STREET,83 STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-10-14T00:00:00.000,11 BROOKLYN,3063310018,BROOKLYN,986773,158952,PHONE,Unspecified,BROOKLYN,40.60296246827102,-73.99091414630634,"{'latitude': '40.60296246827102', 'longitude': '-73.99091414630634', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58871325,2023-09-20T15:36:52.000,,HPD,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11238,697 FRANKLIN AVENUE,FRANKLIN AVENUE,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2023-09-20T00:00:00.000,08 BROOKLYN,3012310008,BROOKLYN,996315,185088,ONLINE,Unspecified,BROOKLYN,40.67469233611844,-73.95650466588656,"{'latitude': '40.67469233611844', 'longitude': '-73.95650466588656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,,,
58876918,2023-09-20T15:36:52.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,Restaurant/Bar/Deli/Bakery,11106,24-06 34 AVENUE,34 AVENUE,ADDRESS,ASTORIA,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-21T13:02:41.000,01 QUEENS,4005620001,QUEENS,1003258,216757,MOBILE,Unspecified,QUEENS,40.761603914190836,-73.9313851497439,"{'latitude': '40.761603914190836', 'longitude': '-73.9313851497439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24 STREET,CRESCENT STREET,24 STREET,CRESCENT STREET,34 AVENUE,,,,,
58874527,2023-09-20T15:36:49.000,2023-09-20T16:01:39.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,10013,56 NORTH MOORE STREET,NORTH MOORE STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T16:01:43.000,01 MANHATTAN,1001870021,MANHATTAN,981720,201592,PHONE,Unspecified,MANHATTAN,40.71999983360606,-74.00912706166154,"{'latitude': '40.71999983360606', 'longitude': '-74.00912706166154', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",HUDSON STREET,GREENWICH STREET,HUDSON STREET,GREENWICH STREET,NORTH MOORE STREET,,,,,
58880179,2023-09-20T15:36:35.000,2023-09-20T16:59:15.000,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11106,34-02 31 STREET,31 STREET,ADDRESS,ASTORIA,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-20T16:59:19.000,01 QUEENS,4006070029,QUEENS,1004345,215963,MOBILE,Unspecified,QUEENS,40.75942218478039,-73.92746368531552,"{'latitude': '40.75942218478039', 'longitude': '-73.92746368531552', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34 AVENUE,35 AVENUE,34 AVENUE,35 AVENUE,31 STREET,,,,,
