unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,incident_zip,incident_address,street_name,address_type,city,facility_type,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,location_type,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,due_date,taxi_company_borough
58796784,2023-09-12T23:47:03.000,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Rodents/Insects/Garbage,11385,66-67 FRESH POND ROAD,FRESH POND ROAD,ADDRESS,RIDGEWOOD,,In Progress,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2023-09-13T09:44:51.000,05 QUEENS,4036190020,QUEENS,1012779,196818,ONLINE,Unspecified,QUEENS,40.70685071188409,-73.89710093308737,"{'latitude': '40.70685071188409', 'longitude': '-73.89710093308737', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Restaurant/Bar/Deli/Bakery,MADISON STREET,PUTNAM AVENUE,MADISON STREET,PUTNAM AVENUE,FRESH POND ROAD,,,,,,
58788664,2023-09-12T23:47:00.000,2023-09-13T19:02:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),10036,328 WEST   44 STREET,WEST   44 STREET,ADDRESS,NEW YORK,N/A,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-13T19:02:00.000,04 MANHATTAN,1010340046,MANHATTAN,987064,215781,ONLINE,Unspecified,MANHATTAN,40.75894502981831,-73.98984246307847,"{'latitude': '40.75894502981831', 'longitude': '-73.98984246307847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,8 AVE,9 AVE,,,,,,,,,
58791549,2023-09-12T23:47:00.000,2023-09-13T09:27:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),10461,,,INTERSECTION,BRONX,,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-13T09:27:00.000,10 BRONX,,BRONX,1031358,244258,ONLINE,Unspecified,BRONX,40.83698144195801,-73.82975735255866,"{'latitude': '40.83698144195801', 'longitude': '-73.82975735255866', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,EDISON AVENUE,PAINE STREET,,,,,,,
58794403,2023-09-12T23:47:00.000,2023-10-11T10:55:00.000,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),11414,87-05 163 AVENUE,163 AVENUE,ADDRESS,HOWARD BEACH,,Closed,The Department of Environmental Protection investigated this complaint and repaired or replaced the hydrant.,2023-10-11T10:55:00.000,10 QUEENS,4140610029,QUEENS,1027611,176872,ONLINE,Unspecified,QUEENS,40.65204329808557,-73.84373296005951,"{'latitude': '40.65204329808557', 'longitude': '-73.84373296005951', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,87 ST,88 ST,,,,,,,,,
58793388,2023-09-12T23:46:27.000,2023-09-13T01:09:19.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,11217,104 SOUTH PORTLAND AVENUE,SOUTH PORTLAND AVENUE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T01:09:24.000,02 BROOKLYN,3021140023,BROOKLYN,991347,189246,ONLINE,Unspecified,BROOKLYN,40.68611047883598,-73.97441034104355,"{'latitude': '40.68611047883598', 'longitude': '-73.97441034104355', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,FULTON STREET,HANSON PLACE,FULTON STREET,HANSON PLACE,SOUTH PORTLAND AVENUE,,,,,,
58792346,2023-09-12T23:46:03.000,2023-09-13T04:12:54.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11354,38-35 147 STREET,147 STREET,ADDRESS,FLUSHING,,Closed,The Police Department issued a summons in response to the complaint.,2023-09-13T04:12:57.000,07 QUEENS,4050260001,QUEENS,1034389,217494,MOBILE,Unspecified,QUEENS,40.763505046443676,-73.81900356310801,"{'latitude': '40.763505046443676', 'longitude': '-73.81900356310801', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,38 AVENUE,ROOSEVELT AVENUE,38 AVENUE,ROOSEVELT AVENUE,147 STREET,,,,,,
58796209,2023-09-12T23:46:03.000,2023-09-13T00:04:48.000,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10002,147 ORCHARD STREET,ORCHARD STREET,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2023-09-13T00:04:52.000,03 MANHATTAN,1004160067,MANHATTAN,987298,201791,ONLINE,Unspecified,MANHATTAN,40.72054587734027,-73.98900414549702,"{'latitude': '40.72054587734027', 'longitude': '-73.98900414549702', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,RIVINGTON STREET,STANTON STREET,RIVINGTON STREET,STANTON STREET,ORCHARD STREET,,,,,,
58790525,2023-09-12T23:46:03.000,2023-09-13T00:40:32.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,10029,2215 1 AVENUE,1 AVENUE,ADDRESS,NEW YORK,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T00:40:35.000,11 MANHATTAN,1016840001,MANHATTAN,1001854,228788,ONLINE,Unspecified,MANHATTAN,40.794628734242586,-73.93642176913897,"{'latitude': '40.794628734242586', 'longitude': '-73.93642176913897', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,THOMAS JEFFERSON PARK PATH,EAST  114 STREET,THOMAS JEFFERSON PARK PATH,EAST  114 STREET,1 AVENUE,,,,,,
58799063,2023-09-12T23:46:00.000,2023-09-13T00:28:35.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10461,1680 PELHAM PARKWAY SOUTH,PELHAM PARKWAY SOUTH,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T00:28:40.000,11 BRONX,2042230039,BRONX,1029020,251277,MOBILE,Unspecified,BRONX,40.85625866053893,-73.83815971912294,"{'latitude': '40.85625866053893', 'longitude': '-73.83815971912294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,STILLWELL AVENUE,DEAD END,STILLWELL AVENUE,DEAD END,PELHAM PARKWAY SOUTH,,,,,,
58794633,2023-09-12T23:45:52.000,2023-09-13T01:04:49.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11234,2009 EAST   53 STREET,EAST   53 STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T01:04:56.000,18 BROOKLYN,3085440038,BROOKLYN,1005579,162230,ONLINE,Unspecified,BROOKLYN,40.61193459587884,-73.92317945154295,"{'latitude': '40.61193459587884', 'longitude': '-73.92317945154295', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,AVENUE T,EAST   52 STREET,AVENUE T,EAST   52 STREET,EAST   53 STREET,,,,,,
58791019,2023-09-12T23:45:40.000,2023-11-24T08:30:20.000,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Passenger,11215,4 AVENUE,4 AVENUE,INTERSECTION,,,Closed,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",2023-11-24T08:30:22.000,06 BROOKLYN,,BROOKLYN,988952,186074,PHONE,Unspecified,BROOKLYN,40.67740565662153,-73.98304820765676,"{'latitude': '40.67740565662153', 'longitude': '-73.98304820765676', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,4 AVENUE,UNION STREET,4 AVENUE,UNION STREET,,"4 AVENUE AND UNION STREET, BROOKLYN, NY, 11215",,,,,
58796106,2023-09-12T23:45:26.000,2023-09-13T01:07:07.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11373,86-27 55 ROAD,55 ROAD,ADDRESS,ELMHURST,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T01:07:11.000,04 QUEENS,4028670028,QUEENS,1018263,206628,PHONE,Unspecified,QUEENS,40.73375739000778,-73.87727156357036,"{'latitude': '40.73375739000778', 'longitude': '-73.87727156357036', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,VAN HORN STREET,SEABURY STREET,VAN HORN STREET,SEABURY STREET,55 ROAD,,,,,,
58799133,2023-09-12T23:45:12.000,2023-09-13T00:21:47.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,11225,56 WINTHROP STREET,WINTHROP STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-13T00:21:53.000,09 BROOKLYN,3050480031,BROOKLYN,995868,178496,PHONE,Unspecified,BROOKLYN,40.6565993600456,-73.95812749783279,"{'latitude': '40.6565993600456', 'longitude': '-73.95812749783279', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,FLATBUSH AVENUE,BEDFORD AVENUE,FLATBUSH AVENUE,BEDFORD AVENUE,WINTHROP STREET,,,,,,
58796805,2023-09-12T23:45:10.000,2023-09-14T16:18:37.000,TLC,Taxi and Limousine Commission,Lost Property,Bag/Wallet,11430,JFK,JFK,UNRECOGNIZED,JAMAICA,,Closed,See notes for information.,2023-09-14T16:18:40.000,83 QUEENS,4142600001,QUEENS,1043001,175548,PHONE,Unspecified,QUEENS,40.64832048620134,-73.78828125130184,"{'latitude': '40.64832048620134', 'longitude': '-73.78828125130184', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Taxi,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,JOHN F KENNEDY AIRPORT,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,
58794792,2023-09-12T23:45:08.000,2023-09-13T00:30:38.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10460,1801 ARCHER STREET,ARCHER STREET,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T00:30:43.000,09 BRONX,2039200029,BRONX,1021015,244438,MOBILE,Unspecified,BRONX,40.83752460469645,-73.86713465880064,"{'latitude': '40.83752460469645', 'longitude': '-73.86713465880064', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,BEACH AVENUE,TAYLOR AVENUE,BEACH AVENUE,TAYLOR AVENUE,ARCHER STREET,,,,,,
58799115,2023-09-12T23:45:05.000,2023-09-13T00:30:02.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,11213,EASTERN PARKWAY,EASTERN PARKWAY,BLOCKFACE,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-13T00:30:08.000,Unspecified BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,Street/Sidewalk,TROY AVENUE,SCHENECTADY AVENUE,TROY AVENUE,SCHENECTADY AVENUE,,,,,,,
58789956,2023-09-12T23:44:51.000,2023-09-13T13:20:09.000,DSNY,Department of Sanitation,Residential Disposal Complaint,Waste Left in Front of Other Residence,11369,24-41 92 STREET,92 STREET,ADDRESS,EAST ELMHURST,,Closed,The Department of Sanitation investigated this complaint and found no violation at the location.,2023-09-13T13:20:15.000,03 QUEENS,4011030049,QUEENS,1018155,218032,PHONE,Unspecified,QUEENS,40.76505887893429,-73.87760376169419,"{'latitude': '40.76505887893429', 'longitude': '-73.87760376169419', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,24 AVENUE,25 AVENUE,24 AVENUE,25 AVENUE,92 STREET,,,,,,
58794234,2023-09-12T23:44:23.000,2023-09-13T01:02:08.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,11201,7 EVERIT STREET,EVERIT STREET,ADDRESS,BROOKLYN,,Closed,N/A,2023-09-13T01:02:13.000,02 BROOKLYN,3002010004,BROOKLYN,985826,195229,ONLINE,Unspecified,BROOKLYN,40.70253513253691,-73.99431601548454,"{'latitude': '40.70253513253691', 'longitude': '-73.99431601548454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street,OLD FULTON STREET,COLUMBIA HEIGHTS,OLD FULTON STREET,COLUMBIA HEIGHTS,EVERIT STREET,,,,,,
58799282,2023-09-12T23:44:17.000,2023-10-06T12:07:40.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,10039,700 ESPLANADE GDNS PLAZA,ESPLANADE GDNS PLAZA,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-06T00:00:00.000,10 MANHATTAN,1017440001,MANHATTAN,1001924,238226,PHONE,Unspecified,MANHATTAN,40.820533288941945,-73.93614411094367,"{'latitude': '40.820533288941945', 'longitude': '-73.93614411094367', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,
58793381,2023-09-12T23:44:08.000,2023-09-13T00:12:08.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,11225,2116 BEEKMAN PLACE,BEEKMAN PLACE,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T00:12:13.000,09 BROOKLYN,,BROOKLYN,995106,179737,MOBILE,Unspecified,BROOKLYN,40.66000659902708,-73.96087182826301,"{'latitude': '40.66000659902708', 'longitude': '-73.96087182826301', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,DEAD END,FLATBUSH AVENUE,DEAD END,FLATBUSH AVENUE,BEEKMAN PLACE,,,,,,
58797646,2023-09-12T23:44:08.000,2023-09-12T23:49:11.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11221,150 MALCOLM X BOULEVARD,MALCOLM X BOULEVARD,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-12T23:49:14.000,03 BROOKLYN,3016360024,BROOKLYN,1003623,190063,ONLINE,Unspecified,BROOKLYN,40.688334599490894,-73.93014442097454,"{'latitude': '40.688334599490894', 'longitude': '-73.93014442097454', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Residential Building/House,GATES AVENUE,MONROE STREET,GATES AVENUE,MONROE STREET,MALCOLM X BOULEVARD,,,,,,
58792931,2023-09-12T23:44:00.000,2023-09-13T20:48:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),10019,,,INTERSECTION,MANHATTAN,N/A,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-13T20:48:00.000,04 MANHATTAN,,MANHATTAN,988345,219297,ONLINE,Unspecified,MANHATTAN,40.768595042659975,-73.98521636785432,"{'latitude': '40.768595042659975', 'longitude': '-73.98521636785432', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,9 AVENUE,WEST 58 STREET,,,,,,,
58789022,2023-09-12T23:44:00.000,2023-09-26T07:30:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,11234,5309 GLENWOOD ROAD,GLENWOOD ROAD,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-26T07:30:00.000,18 BROOKLYN,3079710004,BROOKLYN,1004870,170766,UNKNOWN,Unspecified,BROOKLYN,40.635365799710826,-73.9257069772405,"{'latitude': '40.635365799710826', 'longitude': '-73.9257069772405', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,53 ST E,54 ST E,GLENWOOD ROAD,EAST 53 STREET,,,,,,,
58797204,2023-09-12T23:44:00.000,2023-09-13T20:43:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),10036,460 WEST   41 STREET,WEST   41 STREET,ADDRESS,NEW YORK,N/A,Closed,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,2023-09-13T20:43:00.000,04 MANHATTAN,1010500001,MANHATTAN,985603,215675,ONLINE,Unspecified,MANHATTAN,40.75865443122161,-73.995116173606,"{'latitude': '40.75865443122161', 'longitude': '-73.995116173606', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,DYER AVE,10 AVE,,,,,,,,,
58789212,2023-09-12T23:43:58.000,2023-09-21T15:01:39.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,11212,159 EAST   96 STREET,EAST   96 STREET,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-21T00:00:00.000,17 BROOKLYN,3046150041,BROOKLYN,1005571,180696,PHONE,Unspecified,BROOKLYN,40.6626198266009,-73.9231499160619,"{'latitude': '40.6626198266009', 'longitude': '-73.9231499160619', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENTIAL BUILDING,,,,,,,,,,,
58796266,2023-09-12T23:43:56.000,2023-09-13T00:20:44.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,11211,338 BROADWAY,BROADWAY,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T00:20:48.000,01 BROOKLYN,3021520009,BROOKLYN,996351,197167,ONLINE,Unspecified,BROOKLYN,40.707846351639844,-73.9563531854583,"{'latitude': '40.707846351639844', 'longitude': '-73.9563531854583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,RODNEY STREET,JAMAICA LINE,RODNEY STREET,JAMAICA LINE,BROADWAY,,,,,,
58796837,2023-09-12T23:43:55.000,2023-09-13T02:54:09.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10463,3004 HEATH AVENUE,HEATH AVENUE,ADDRESS,BRONX,,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-13T02:54:13.000,08 BRONX,2032560172,BRONX,1011075,258451,ONLINE,Unspecified,BRONX,40.87602186087904,-73.90300079606398,"{'latitude': '40.87602186087904', 'longitude': '-73.90300079606398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,WEST  230 STREET,ALBANY CRESCENT,WEST  230 STREET,ALBANY CRESCENT,HEATH AVENUE,,,,,,
58796118,2023-09-12T23:43:40.000,2023-09-13T01:30:27.000,NYPD,New York City Police Department,Blocked Driveway,No Access,11210,1557 EAST   23 STREET,EAST   23 STREET,ADDRESS,BROOKLYN,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-13T01:30:32.000,14 BROOKLYN,3067700075,BROOKLYN,997864,162495,PHONE,Unspecified,BROOKLYN,40.6126771783895,-73.95096598523156,"{'latitude': '40.6126771783895', 'longitude': '-73.95096598523156', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Street/Sidewalk,AVENUE O,KINGS HIGHWAY,AVENUE O,KINGS HIGHWAY,EAST   23 STREET,,,,,,
