unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,facility_type,taxi_pick_up_location,bridge_highway_name,bridge_highway_segment,due_date,bridge_highway_direction,taxi_company_borough,road_ramp
58811041,2023-09-14T20:28:43.000,2023-09-20T09:45:24.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11212,42 LOTT AVENUE,LOTT AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-20T00:00:00.000,16 BROOKLYN,3036210030,BROOKLYN,1008588,178746,ONLINE,Unspecified,BROOKLYN,40.657259729710866,-73.91228239135441,"{'latitude': '40.657259729710866', 'longitude': '-73.91228239135441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58817885,2023-09-14T20:28:43.000,2023-09-20T09:45:24.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11212,42 LOTT AVENUE,LOTT AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-20T00:00:00.000,16 BROOKLYN,3036210030,BROOKLYN,1008588,178746,ONLINE,Unspecified,BROOKLYN,40.657259729710866,-73.91228239135441,"{'latitude': '40.657259729710866', 'longitude': '-73.91228239135441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58813249,2023-09-14T20:28:43.000,2023-09-20T09:45:24.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11212,42 LOTT AVENUE,LOTT AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-20T00:00:00.000,16 BROOKLYN,3036210030,BROOKLYN,1008588,178746,ONLINE,Unspecified,BROOKLYN,40.657259729710866,-73.91228239135441,"{'latitude': '40.657259729710866', 'longitude': '-73.91228239135441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58818956,2023-09-14T20:28:43.000,2023-09-20T09:45:24.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11212,42 LOTT AVENUE,LOTT AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-09-20T00:00:00.000,16 BROOKLYN,3036210030,BROOKLYN,1008588,178746,ONLINE,Unspecified,BROOKLYN,40.657259729710866,-73.91228239135441,"{'latitude': '40.657259729710866', 'longitude': '-73.91228239135441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58811018,2023-09-14T20:28:42.000,2023-09-20T09:45:23.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11212,42 LOTT AVENUE,LOTT AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-20T00:00:00.000,16 BROOKLYN,3036210030,BROOKLYN,1008588,178746,ONLINE,Unspecified,BROOKLYN,40.657259729710866,-73.91228239135441,"{'latitude': '40.657259729710866', 'longitude': '-73.91228239135441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58812019,2023-09-14T20:28:42.000,2023-09-20T09:45:23.000,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11212,42 LOTT AVENUE,LOTT AVENUE,,,,,ADDRESS,BROOKLYN,,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2023-09-20T00:00:00.000,16 BROOKLYN,3036210030,BROOKLYN,1008588,178746,ONLINE,Unspecified,BROOKLYN,40.657259729710866,-73.91228239135441,"{'latitude': '40.657259729710866', 'longitude': '-73.91228239135441', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58813186,2023-09-14T20:28:38.000,2023-09-20T13:33:42.000,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11226,297 LENOX ROAD,LENOX ROAD,,,,,ADDRESS,BROOKLYN,,Closed,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2023-09-20T00:00:00.000,17 BROOKLYN,3048370089,BROOKLYN,998329,177624,ONLINE,Unspecified,BROOKLYN,40.654202340327004,-73.94925961550564,"{'latitude': '40.654202340327004', 'longitude': '-73.94925961550564', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58869642,2023-09-14T20:28:34.000,2023-09-14T20:56:18.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10009,424 EAST   14 STREET,EAST   14 STREET,1 AVENUE,AVENUE A,1 AVENUE,AVENUE A,ADDRESS,NEW YORK,EAST   14 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T20:56:25.000,03 MANHATTAN,1004410019,MANHATTAN,989410,205553,ONLINE,Unspecified,MANHATTAN,40.730870673147855,-73.98138208638649,"{'latitude': '40.730870673147855', 'longitude': '-73.98138208638649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58863814,2023-09-14T20:28:14.000,2023-09-14T21:39:05.000,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11208,1157 GLENMORE AVENUE,GLENMORE AVENUE,SHERIDAN AVENUE,GRANT AVENUE,SHERIDAN AVENUE,GRANT AVENUE,ADDRESS,BROOKLYN,GLENMORE AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T21:39:11.000,05 BROOKLYN,3042030041,BROOKLYN,1021359,186154,ONLINE,Unspecified,BROOKLYN,40.67754870535581,-73.86621317481398,"{'latitude': '40.67754870535581', 'longitude': '-73.86621317481398', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58819803,2023-09-14T20:28:02.000,2023-09-19T00:00:00.000,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,11231,60 WEST    9 STREET,WEST    9 STREET,,,,,ADDRESS,BROOKLYN,,Assigned,The Department of Buildings attempted to investigate this complaint but could not gain access to the location. Please schedule an appointment for a follow up inspection by contacting the appropriate unit at Department of Buildings. You can find contact information at https://www1.nyc.gov/site/buildings/about/contact-us.page.,2023-09-19T00:00:00.000,06 BROOKLYN,3005390012,BROOKLYN,983115,185748,UNKNOWN,Unspecified,BROOKLYN,40.67651203623937,-74.00409188140993,"{'latitude': '40.67651203623937', 'longitude': '-74.00409188140993', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58814157,2023-09-14T20:28:00.000,2023-09-15T15:11:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,10465,,,,,LAFAYETTE AVENUE,EDISON AVENUE,INTERSECTION,BRONX,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-15T15:11:00.000,10 BRONX,,BRONX,1032955,241841,UNKNOWN,Unspecified,BRONX,40.830338823685985,-73.82400355131155,"{'latitude': '40.830338823685985', 'longitude': '-73.82400355131155', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857164,2023-09-14T20:28:00.000,2023-09-14T23:02:55.000,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,10463,GREYSTONE AVENUE,GREYSTONE AVENUE,GREYSTONE AVENUE,RIVERDALE AVENUE,GREYSTONE AVENUE,RIVERDALE AVENUE,INTERSECTION,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-14T23:03:03.000,08 BRONX,,BRONX,1009804,261498,ONLINE,Unspecified,BRONX,40.884388696010404,-73.90758510484332,"{'latitude': '40.884388696010404', 'longitude': '-73.90758510484332', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857005,2023-09-14T20:27:44.000,2023-09-15T04:10:44.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11235,2710 EAST   27 STREET,EAST   27 STREET,VOORHIES AVENUE,SHORE PARKWAY,VOORHIES AVENUE,SHORE PARKWAY,ADDRESS,BROOKLYN,EAST   27 STREET,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-15T04:10:49.000,15 BROOKLYN,3087860008,BROOKLYN,1000306,153020,MOBILE,Unspecified,BROOKLYN,40.58666613979634,-73.94219307233404,"{'latitude': '40.58666613979634', 'longitude': '-73.94219307233404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58858956,2023-09-14T20:27:30.000,2023-09-14T22:01:30.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Street,10011,120 WEST   23 STREET,WEST   23 STREET,AVENUE OF THE AMERICAS,7 AVENUE,AVENUE OF THE AMERICAS,7 AVENUE,ADDRESS,NEW YORK,WEST   23 STREET,Closed,N/A,2023-09-14T22:01:37.000,04 MANHATTAN,1007980054,MANHATTAN,986012,210063,ONLINE,Unspecified,MANHATTAN,40.74325083738835,-73.99364130632112,"{'latitude': '40.74325083738835', 'longitude': '-73.99364130632112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857638,2023-09-14T20:27:25.000,2023-09-14T21:05:11.000,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11221,478 LEXINGTON AVENUE,LEXINGTON AVENUE,THROOP AVENUE,MARCUS GARVEY BOULEVARD,THROOP AVENUE,MARCUS GARVEY BOULEVARD,ADDRESS,BROOKLYN,LEXINGTON AVENUE,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,2023-09-14T21:05:16.000,03 BROOKLYN,3018060112,BROOKLYN,1000508,190219,ONLINE,Unspecified,BROOKLYN,40.688769053683174,-73.94137617467368,"{'latitude': '40.688769053683174', 'longitude': '-73.94137617467368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58868969,2023-09-14T20:27:08.000,2023-09-15T00:55:47.000,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11435,139-15 95 AVENUE,95 AVENUE,CRESSKILL PLACE,BRISBIN STREET,CRESSKILL PLACE,BRISBIN STREET,ADDRESS,JAMAICA,95 AVENUE,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2023-09-15T00:55:55.000,12 QUEENS,4099910068,QUEENS,1036899,193353,MOBILE,Unspecified,QUEENS,40.69722947814444,-73.8101316497627,"{'latitude': '40.69722947814444', 'longitude': '-73.8101316497627', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58866681,2023-09-14T20:27:02.000,2023-09-14T20:38:38.000,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11206,243 WALLABOUT STREET,WALLABOUT STREET,UNION AVENUE,HARRISON AVENUE,UNION AVENUE,HARRISON AVENUE,ADDRESS,BROOKLYN,WALLABOUT STREET,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,2023-09-14T20:38:45.000,01 BROOKLYN,3022490122,BROOKLYN,998221,194689,MOBILE,Unspecified,BROOKLYN,40.70104207063964,-73.94961346858712,"{'latitude': '40.70104207063964', 'longitude': '-73.94961346858712', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58817579,2023-09-14T20:27:00.000,2023-09-27T08:26:00.000,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11204,6098 47 STREET,47 STREET,16 AVENUE,17 AVENUE,47 STREET,16 AVENUE,INTERSECTION,BROOKLYN,,Closed,Service Request status for this request is available on the Department of Transportationâs website. Please click the âLearn Moreâ link below.,2023-09-27T08:26:00.000,12 BROOKLYN,,BROOKLYN,988595,169589,UNKNOWN,Unspecified,BROOKLYN,40.6321581195785,-73.984345895668,"{'latitude': '40.6321581195785', 'longitude': '-73.984345895668', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58864342,2023-09-14T20:26:47.000,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11211,390 SOUTH    2 STREET,SOUTH    2 STREET,HOOPER STREET,HEWES STREET,HOOPER STREET,HEWES STREET,ADDRESS,BROOKLYN,SOUTH    2 STREET,In Progress,,,01 BROOKLYN,3024250014,BROOKLYN,997600,197776,ONLINE,Unspecified,BROOKLYN,40.70951611588307,-73.95184698988226,"{'latitude': '40.70951611588307', 'longitude': '-73.95184698988226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58857242,2023-09-14T20:26:20.000,2023-09-15T09:32:37.000,DOT,Department of Transportation,Street Sign - Damaged,One Way,Street,11249,BERRY STREET,BERRY STREET,BERRY STREET,NORTH    6 STREET,BERRY STREET,NORTH    6 STREET,INTERSECTION,,,Closed,The Department of Transportation inspected the condition you reported and found that the condition meets its standards and/or there is a valid permit to conduct work.,2023-09-15T09:32:42.000,01 BROOKLYN,,BROOKLYN,995447,200895,ONLINE,Unspecified,BROOKLYN,40.71808001228529,-73.95960760113076,"{'latitude': '40.71808001228529', 'longitude': '-73.95960760113076', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58861536,2023-09-14T20:26:18.000,2023-09-14T20:58:53.000,NYPD,New York City Police Department,Drinking,In Public,Store/Commercial,10030,2400 7 AVENUE,7 AVENUE,WEST  140 STREET,WEST  141 STREET,WEST  140 STREET,WEST  141 STREET,ADDRESS,NEW YORK,7 AVENUE,Closed,The Police Department responded to the complaint and took action to fix the condition.,2023-09-14T20:59:00.000,10 MANHATTAN,1020260029,MANHATTAN,1000482,237497,ONLINE,Unspecified,MANHATTAN,40.81853515725049,-73.94135579635707,"{'latitude': '40.81853515725049', 'longitude': '-73.94135579635707', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58810489,2023-09-14T20:26:00.000,2023-09-16T01:00:00.000,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11206,54 BOERUM STREET,BOERUM STREET,LORIMER ST,LEONARD ST,,,ADDRESS,BROOKLYN,,Closed,"The Department of Environmental Protection (DEP) didn't observe a violation of the NYC Air or Noise Code at the time of inspection and couldn't issue a summons.  If the problem still exists, please go to nyc.gov/311 or call 311 to file a new Service Request. If you're outside of New York City, please call (212) NEW-YORK (212-639-9675).",2023-09-16T01:00:00.000,01 BROOKLYN,3030770001,BROOKLYN,998900,196318,ONLINE,Unspecified,BROOKLYN,40.705512194226436,-73.947161106022,"{'latitude': '40.705512194226436', 'longitude': '-73.947161106022', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",N/A,,,,,,,
58859352,2023-09-14T20:25:56.000,2023-09-15T03:38:48.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11378,64-25 PERRY AVENUE,PERRY AVENUE,64 STREET,REMSEN PLACE,64 STREET,REMSEN PLACE,ADDRESS,MASPETH,PERRY AVENUE,Closed,The Police Department issued a summons in response to the complaint.,2023-09-15T03:38:53.000,05 QUEENS,4027150041,QUEENS,1011611,202960,MOBILE,Unspecified,QUEENS,40.72371271106966,-73.90128873545498,"{'latitude': '40.72371271106966', 'longitude': '-73.90128873545498', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
58815490,2023-09-14T20:25:38.000,2023-10-01T10:57:34.000,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10026,63 WEST  119 STREET,WEST  119 STREET,,,,,ADDRESS,NEW YORK,,Closed,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2023-10-01T00:00:00.000,10 MANHATTAN,1017180015,MANHATTAN,998946,231980,PHONE,Unspecified,MANHATTAN,40.80339521703659,-73.94691725116941,"{'latitude': '40.80339521703659', 'longitude': '-73.94691725116941', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,,,,,,
